http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Owen Marshall: Counselor at Law,74
I'm in the Band,38
Expeditie Robinson,185
Iron Man: Armored Adventures,46
Wujcio Dobra Rada,123
Thicker than Water (1973 TV series),9
Kourtney and Kim Take Miami,29
"The Killing (série télévisée, 2007)",39
Close to Home (1989 TV series),19
Drei Engel für Charlie,113
Charlie's Angels (televisieserie),116
幼虎遊龍,79
Saranno famosi a Los Angeles,25
荒原 (電視劇),6
لحبك (مسلسل),82
One Week to Save Your Marriage,9
Bystre Oko,29
Whale Wars,64
Diff'rent Strokes,188
Eesti Laul,13
Chuggington,154
Spenser (Fernsehserie),63
E! News,7369
İntikam,41
Clarence (série télévisée d'animation),77
Człowiek-Pająk i jego niezwykli przyjaciele,21
The Beast (série de televisão),14
Method & Red,14
Finger Tips,106
Flo (serie televisiva),29
菜鸟警察,75
Duch Filharmonii,14
Work Out,23
Il potere del mito,6
Commando Cody: Sky Marshal of the Universe,13
Street Fighter: Assassin's Fist,6
Cutting Ties (web series),5
Extra (Australian TV series),4198
Cory in the House,36
Ménage à trois (série télévisée),22
Vicini terribili,36
Paper Dolls,15
La antorcha encendida,74
Родители (телесериал),100
Where the Legend Begins,27
Animal Atlas,262
十月初五的月光,18
Life (Fernsehserie),35
Mission Scooby-Doo,56
Cesar Millan's Leader of the Pack,11
That's Life,34
The Pebbles and Bamm-Bamm Show,8
Stargate Atlantis,92
La antorcha encendida,136
Biz Kid$,68
So Notorious,10
Un inviato molto speciale,8
Masters of Horror,26
La Famille Passiflore (série télévisée),48
Stargate Universe,41
Action Man (serial animowany),25
WCW Monday Nitro,274
Mandrake (série télévisée),14
Fargo (serie de televisión),20
Sortilegio (telenovela),86
Tom Brown's Schooldays (TV serial),5
California Dreams,73
Sorted (TV series),6
Conflictos de un médico,19
Cold Feet (series 3),8
Cuando me enamoro (telenovela),191
Xuxa (TV series),72
Draw Your Own Toons,21
Lucky 7 (série télévisée),8
Xiaolin Showdown,57
Backstrom (Fernsehserie),12
The David Letterman Show,91
Nurse Jackie,82
Pietro il Grande (miniserie televisiva),4
Amen (TV series),119
The Raw Sessions,8
項羽と劉邦 King's War,73
網中人,76
Son de Fierro,251
Deadly Games,13
Power Play (TV series),25
Trauma (serie televisiva),18
Sunes jul,22
The Election,15
Enquêtes à la une,14
The War at Home,42
Palace of Desire (TV series),37
Pink Panther and Pals,23
Металлопокалипсис,68
时间分解,31
Whatever Happened to That Guy?,8
"Hey, Jeannie!",31
Kurze pause,239
I segreti di Twin Peaks,32
Lo zio d'America,11
Słodki biznes,183
Охотники (телесериал),14
The Doctors (1969 TV series),143
陌生血親,13
Aşk-ı Memnu,77
لا يمكن أن تكون أجاثا,5
Qual é o Seu Talento?,106
Range Rider,79
Close to Home,48
The Brain (game show),33
Highlander: The Series,118
The Emperor's New School,47
不滅の李舜臣,112
Concentration (game show),4207
Hero 108,98
Stand By Your Man (TV series),8
Beetlejuice – Ein außergewöhnlicher Geist,91
"Machos (série télévisée, 2003)",150
Le Muppet Show,122
Bangers and Mash (TV series),25
N1ckola,89
Special Squad (1984),47
アイ・ラブ・ルーシー,169
Angry Birds Stella (TV series),28
Glam Fairy,18
Klinika dla pluszaków,109
King Arthur's Disasters,28
Children's Ward,139
Яркая Радуга,4
The Walking Dead (Fernsehserie),77
Falcon Crest,220
Made (programa de televisão),302
Drumbeat (TV series),20
Buscando Novia a Papá (serie de televisión),73
كان يا ما كان الحياة (مسلسل),28
Family (serie de televisión),92
Martin Chuzzlewit (TV series),6
معجب عجيب (برنامج تلفزيوني),202
Jay Jay le petit avion,58
Audrina,11
Hootenanny (muziekprogramma),20
Ramez Wakel el-Gaw (TV show),28
Hollywood Squares,45
チャーリーズ・エンジェル,105
Hubworld,58
Exclusive (Malaysian TV series),19
Exile (TV series),3
Driving Force (TV series),25
Huntik: Secrets & Seekers,54
Shit! My Dad Says,18
ごめん、愛してる,16
传奇皇帝朱元璋,51
The Last Templar (miniseries),2
Future Weapons,28
Jam and Jerusalem,16
Transformers: Cyber Missions,13
李小龙传奇,57
Nurses,68
Reno 911!,86
Two-A-Days,16
Miami Medical,12
Вершина зла,35
朱蒙 (テレビドラマ),80
Devotion (TV series),28
Vidas Cruzadas (webnovela),15
Royal Pains,96
Home in Toa Payoh,33
Wolverine and the X-Men,28
Poor Nastya,127
Oswald la pieuvre,25
Band of Brothers (TV series),13
Squadra speciale Lipsia,300
Hyperdrive,12
Monty Python's Flying Circus,49
"Paradise, znaczy raj",53
Stargate Universe,36
Mona the Vampire,63
American Justice,241
Jayce il cavaliere dello spazio,67
成吉思汗 (無綫電視劇),11
101beonjjae propose,16
سوكي فو,23
Emily Erdbeer,52
Amoureusement vôtre,3196
Pan Tau,30
Malparida,157
Плоть и кости,8
Ginga Patrol PJ,24
Forensic Heroes,26
Destruido en segundos,36
La squadra del cuore (serie televisiva),110
Happy Valley (serial telewizyjny),12
Smash (Fernsehserie),34
Clifford's Puppy Days,38
Vamp (telenovela),177
Jack & Bobby,20
Anjo Mau (1976 telenovela),180
Lost : Les Disparus,123
L'undicesima ora,41
Storyteller (serie televisiva),4
Crossbones (serie televisiva),9
Homemade,16
Więzy krwi (serial telewizyjny 1996),8
冒險王奇克,48
Ironside (2013 TV series),9
A Favorita,212
ダークエンジェル (テレビドラマ),42
Timmy geht zur Schule,26
Vai Diego,72
"The Good, the Bad and the Ugly (1979 TV series)",79
Los Trotamúsicos,27
Hope Island (TV series),21
Head over Heels (TV series),8
Rizzoli & Isles,103
Mi pecado,114
Next of Kin (TV series),22
Sanctuary (série télévisée),55
Hank (serie televisiva 1965),27
Man in a Landscape,10
Vrijbuiters (televisieserie),104
Geronimo Stilton (serial animowany),87
Raw (série télévisée),30
Southland (serie de televisión),44
Arriva Cristina,38
Download (game show),262
Impact Wrestling,704
Jumanji (serie animata),43
Legenda Korry,53
The Price Is Right (U.S. game show),91
Warriors in Transit,8
Verbotene Liebe,4950
Bad Guys (TV series),10
Pitt & Kantrop,39
La Légende d'Hawkeye,23
La chica de ayer (serie de televisión),8
Buzzer Beat,12
Backyard Blitz,146
The Family (telessérie),11
Дамское счастье (телесериал),17
Kommissar Rex,96
Mexico's Next Top Model,50
"Be Cool, Scooby-Doo!",21
Le avventure di Chuck & Friends,36
Night Court,207
アドベンチャーズ・オブ・ソニック・ザ・ヘッジホッグ,61
Der Sentinel – Im Auge des Jägers,69
La intrusa (telenovela mexicana),128
Total Wipeout,52
La Légende de Dick et Dom,37
The Real World: Austin,25
Герои (телесериал),75
Absolutely Fabulous,40
Sanctuary (televisieserie),64
The Skatebirds,17
Goodyear Television Playhouse,160
Iron Man (TV series),27
Hollywood Girls Night,6
The High Fructose Adventures of Annoying Orange,62
Line of Fire (2003 TV series),12
Stargate Universe,35
Ang Iibigin Ay Ikaw,226
Flor - Speciale come te,355
The Amazing Spiez!,52
Survive This,28
Kulisy II wojny światowej,6
Jack & Bobby,23
El club de la herradura,75
30 Rock,151
رحلة الأصدقاء,28
"Партнёры (телесериал, 2014)",11
Blackfly (TV series),25
The Killing (série de televisão),44
瑠璃の島,9
K-9 (série télévisée),26
Podróż do serca świata,24
Uncle Grandpa,115
Iron Chef,13
Prenez garde à Batman !,26
The Royal Bodyguard,6
The Game (Fernsehserie),161
G.I. Joe: Renegaci,27
Let's Get Inventin',93
Patrol ng Pilipino,131
666 Park Avenue,13
The Fresh Prince of Bel-Air,147
Elliot Moose (TV series),24
Ed and Oucho's Excellent Inventions,26
Orphan Black,40
愛情魔髮師,19
Goło i wesoło (program telewizyjny),120
Las máscaras,77
Psych,125
Llamas de la vida,246
Banshee (TV series),36
The Four (TV series),25
My Secret Identity,68
Hawaii Fünf-Null,276
恩賜之地,41
Pasión morena,188
The Night Shift (TV series),34
Winner Takes All (game show),248
"Naked City (série télévisée, 1958)",96
Kindred: The Embraced,8
Strange Luck,17
Shasta (série télévisée),20
触摸未来,26
Ironside,200
Vinnie & Bobby,7
آفاتار: أسطورة أنج,68
Who Do You Think You Are? (U.S. TV series),59
M.A.N.T.I.S.,23
Men of a Certain Age,21
The Cube (game show),85
Banshee – Small Town. Big Secrets.,38
Je ne devrais pas être en vie,58
Brain,20
Crossbones (TV series),9
Ziemia: Ostatnie starcie,121
Sylvanian Families (1987 TV series),13
Kya Mast Hai Life,121
Reno 911!,84
Bollywood Hero,3
Wo de yi wan mian bao,11
In the Heat of the Night (TV series),152
Sentinel (serie televisiva),62
Delta (serie televisiva 1992),18
Dancing Stars (season 2),21
Beagle: In Darwin's wake,32
Zbuntowany anioł,285
10 أشياء أكرهها بشأنك (مسلسل),20
Cień anioła,45
Touch (série télévisée),25
Perfect Strangers (televisieserie),159
Conspiracy in the Court,8
Glee プロジェクト 〜主役は君だ!,20
Popples (serie televisiva),41
HomeMADE,16
Police Women of Memphis,12
К-9 (телесериал),26
Plaże Malibu,10
Angie Tribeca,20
The Flying Fox of Snowy Mountain (1999 TV series),41
Tęczowa kraina,4
The City (2008 TV series),37
The Janice Dickinson Modeling Agency,38
Miłosna szkoła przetrwania,63
Nasaan Ka Maruja?,14
Victorinos,138
Record Breakers,243
El nuevo show del Pájaro Loco,47
The Quatermass Experiment,6
Byli sobie odkrywcy,27
Clarence (2014 TV series),71
King of Cars,25
The Doctors,5244
Znudzony na śmierć,25
Обитель Анубиса,182
Rosita Fresita: Aventuras en Tutti Frutti,68
مغامرات تشاك والأصدقاء,36
Sa Re Ga Ma Pa Marathi L'il Champs,62
繾綣仙凡間,19
英雄·刀·少年,21
The Glee Project,24
迷失,133
Biuro (brytyjski serial telewizyjny),12
Il était une fois... les Explorateurs,25
Stargate SG-1,187
New Adam-12,56
Lopez Tonight,297
I Fantaeroi,56
Dog Bites Man,9
East Side/West Side,25
Booker,21
The Story of Maths,4
Jugni Chali Jalandhar,316
River Monsters,51
超級英雄 (電視劇),13
我一定要成功,206
マットの鉄道万歳!,8
Aquarius (serie de televisión),27
Laverne & Shirley,180
"Help Me Anthea, I'm Infested",3
A Picture of Katherine Mansfield,6
Mako: Island of Secrets,63
Broken Arrow (TV series),71
La vita secondo Jim,184
Lost (série de televisão),115
Deep Water (TV series),4
CHAOS,14
The Player (2015 TV series),9
Bait Car (TV series),127
Rebus (TV series),15
Alles was zählt,2271
Cielo negro,18
كان يا ما كان المكتشفون,25
Wallace y Gromit,6
City of Angels (2000 TV series),24
Deal or No Deal (Hong Kong),56
Por tu amor,82
Wolf Lake,9
Игрок (телесериал),9
小爸爸上學去,16
Disband (TV series),30
Ragin' Cajuns (TV series),7
باباي (رسوم متحركة),36
雪人波利,38
Nowhere Man (serie de televisión),27
Misión S.O.S,136
C.P.O. Sharkey,38
Prawdziwe przekręty,103
Cracker (televisieserie),25
Parker Lewis – Der Coole von der Schule,79
The Big Impression,32
The Man from Blackhawk,37
Powers (U.S. TV series),20
電子戦隊デンジマン,49
That's Life (2000 TV series),33
"Taxi (série télévisée, 1978)",124
Affari a quattro ruote,14
Resurrection (série télévisée),20
Life (telessérie),31
Más sabe el diablo,187
The Kids in the Hall,99
Full English (TV series),6
Batman (serial animowany 2004),61
"Goede tijden, slechte tijden",5174
Mara Clara,1039
ゆかいなブレディー家,9
Camp Molloy,62
Iss Jungle Se Mujhe Bachao,38
Næturvaktin,13
Laverne & Shirley,167
The Office (serie televisiva 2001),13
According to Jim,189
Secta de sangre,8
Cucumber (TV series),8
Smash (TV series),33
扶伤,19
O Máskara (desenho animado),49
Objection!,40
Foofur,24
Be Happy (TV series),19
Polizeibericht (Fernsehserie),783
Atrévete a soñar,250
Expedition Africa,8
Pan Tau (serie televisiva),34
Le Juste Prix,5317
PopPixie,51
Open House (TV series),26
Can't Lose,19
美味關係 (台灣電視劇),19
心理探偵フィッツ,23
Оружие будущего (телесериал),31
Mystery 6,6
Dr House,177
おっはよー!アンクル・グランパ,108
泰星來客,97
"Justice (série télévisée, 2006)",14
Dead Famous (TV series),32
Kyodai Ken Byclosser,33
Captain Z-Ro,27
Hollywood Squares,625
Measure of Man,25
The Real World: Denver,27
ChuckleVision,270
My Drunk Kitchen,45
Smile Again (2006 TV series),17
Farscape: The Peacekeeper Wars,2
Katorse,98
The Night Shift,36
Backstrom,13
Легион Супергероев (сериал),24
Tiny Toon Abenteuer,107
Awake (telessérie),14
Declassified,14
Zero (TV series),19
彼女がラブハンター,17
Huang Taizi Mishi,30
隨時候命,28
The Skinny Dip,8
FNS歌謡祭,44
Men of a Certain Age,22
106 & Gospel,6
Masters of Horror,23
"I'm Sorry, I Love You",17
Valeria medico legale,23
A-Team,110
Lo que el tiempo nos dejó,6
Prairie Profile,15
Throb,49
Tabaluga,70
Prince Regent (TV series),8
El reino del suricato,55
Empire (2012 TV series),5
والاس وغروميت,1
余光,12
L'Homme de fer (série télévisée),196
Siostra Jackie,81
Planet Sheen,23
Final Fu,19
قوس قزح (رسوم متحركة),4
Quark (TV series),8
ذا دوكس اوف هازرد,153
Paris Hilton's Dubai BFF,9
Forbrydelsen,40
Era Uma Vez... as Américas,29
Spellbinder 2: Terra do Senhor do Dragão,26
Mount Royal (TV series),15
Off Their Rockers (Australian TV series),8
Fee Fi Fo Yum,27
Null gewinnt,895
El sol sale para todos,145
Wallace & Gromit,30
Mito Kōmon,1242
Unzipped (TV series),14
Trust Me (serie televisiva),12
Mel and Joey,326
Papi Ricky,148
Lo que es el amor,126
Shibuya Fifteen,12
Iridella (serie televisiva),4
The Doctors,4703
Do Not Disturb,7
ウォーキング・デッド,89
Chuck (televisieserie),87
Il giovane Montalbano,13
奇男怪女,192
Grow Your Own Drugs,12
Копы-новобранцы,71
The Brady Bunch,9
My Alibi,18
幪面超人電王,46
Érase una vez... el hombre,26
Thunder (TV series),12
Aftermath (2016 TV series),4
Malowanki,48
The T.O. Show,27
Silk Stalkings,156
High Society (1995 TV series),14
Butch Patterson: Private Dick,36
Hustle (televisieserie),45
Double Time (TV drama),1
Jeden plus dziesięć,90
Wind at My Back,71
Imperium (serial telewizyjny 2015),38
Zakon ljubavi,74
كيك باتاوسكي: المغامر,107
Ozzy & Drix,25
An Age of Kings,16
Парень встречает девушку,4
Italian Restaurant,8
Ravenswood (Fernsehserie),11
Zanzibar (TV series),41
Thirtysomething,81
Уоллес и Громит,32
Bad Guy,17
Flashpoint (TV series),69
The Incredible Human Journey,5
Parenthood,115
Samantha (telenovela),109
The Curiosity Show,484
Clueless – Die Chaos-Clique,63
Orgoglio (TV series),41
Flashpoint (serie televisiva),77
Don Amor,128
Toddlers & Tiaras,108
Victoria Wood with All the Trimmings,1
Kyle XY,45
T.I.'s Road to Redemption,9
Top Cat,34
Wonder Woman (televisieserie),63
Alles Atze,67
Bright Promise,577
Bookaboo,59
Conan l'Aventurier (série télévisée d'animation),66
Batman (Zeichentrickserie),83
RuPaul's Drag Race,117
Sanctuary – Wächter der Kreaturen,8
Terapie,45
先生貴性,18
K-9 (TV series),27
Mona le vampire,69
Nickelodeon Launch Box,9
Wallace & Gromit,2
Принцесса Сисси,54
World Chess News,377
Soccer Aid,12
Doctor in the House (serial telewizyjny),26
The IFC Media Project,6
Spring Waltz,19
Hollywood Squares,1091
La Légende des super-héros,26
"Sex, Chips & Rock n' Roll",6
Hollywood Squares,42
سمانتا (مسلسل),122
Brothers & Sisters - Segreti di famiglia,94
HGTV Star,68
イケメン探偵倶楽部MIT,16
Las aventuras de Tintín (serie de televisión),41
Conan (émission de télévision),935
Line of Fire (2002 TV series),98
Tripp’s Rockband,42
Rush Hours,14
Epic Rap Battles of History,73
The Man from U.N.C.L.E.,112
Nurse Jackie,86
The Stranger (1973),1
'Til Death,80
反轉劇,99
السيارة العجيبة,12
Boys and Girls Alone,4
Ashes to Ashes (série télévisée),23
Macy's Thanksgiving Day Parade,81
Homemade Jam,3
Sport Billy,24
Life (serie de televisión),32
Animal Mechanicals,33
McMillan y esposa,44
Nothing in Common (TV series),7
Gormenghast (TV serial),4
Street Fighter (TV series),25
90 Days,28
Whale Wars,69
Heroes Reborn,12
時空戰記RAYFORCE,56
Villa Dulce,28
Bajarz (serial telewizyjny 1987),9
Jane the Virgin,49
Adventures of Sonic the Hedgehog,63
Shark Tank,135
Til Death - Per tutta la vita,87
Op zoek naar Mary Poppins,9
Mask Man (cartoon),38
برنامج الدائرة,119
Chunja's Happy Events,117
Open House with Gloria Hunniford,128
The Black Adder,6
Downtown no Gaki no Tsukai ya Arahende!!,1224
Canavial de Paixões,113
The Dr. Oz Show,933
Последний тамплиер,2
Char Khooneh,189
祖先保佑,20
Wielki świat małych ludzi,248
Когда рушатся плотины,2
StarStruck (season 1),77
A Touch of Cloth,6
Honey West (TV series),28
Папашина армия,76
Лучше звоните Солу,20
Cambio de Clase,68
Los pioneros del mañana,18
霹靂MIT,17
Personne n'y avait pensé !,109
Entourage (televisieserie),109
Queen Seondeok,63
Les Petites Crapules,55
The Last of the Baskets,12
Murder Prevention,6
A Indomada,215
The Ghost of Faffner Hall,13
Lost (serie televisiva),111
Xena – Die Kriegerprinzessin,134
Fragolina Dolcecuore,49
