http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
"Warren High School (Warren, Illinois)",139
North-Eastern Federal University,16405
リール第1大学,20401
Bolsa Grande High School,1731
Basic Education High School No. 9 Mawlamyine,2659
Université nationale Taras-Chevtchenko de Kiev,20912
College of San Mateo,10102
馬禮遜美國學校,69
Technische Universiteit van Mauritius,4313
Technische Universiteit Kaunas,9522
Université d'État de Savannah,4661
Sidney High School (Nebraska),355
Blacklick Valley School District,646
Università degli Studi di Teramo,8934
Colegio Ponceño,986
サレルノ大学,33242
Livingstone Adventist Academy,267
Colony High School,2661
مدرسة هونغ كونغ الدولية,2701
Université islamique de Médine,21226
Walter Reed Middle School,1944
Lackawanna Trail School District,1135
Birmingham Blue Coat School,1
清泉インターナショナルスクール,781
Dryden High School,604
Peabody Magnet High School,805
Российско-таджикский (славянский) университет,2692
Дартмутский колледж,6135
Natick High School,1558
Katholische Universität von Temuco,9646
威廉米特大学法学院,308
Mid-State Technical College,7622
Epworth School,816
Elida High School (Ohio),1015
Université de Lviv,11156
كلية هارفرد للأعمال,1794
Université George Mason,35492
Sullivan County School District,686
Bolton Sixth Form College,1793
International Christian School of Vienna,238
Libera Università Internazionale degli Studi Sociali Guido Carli,7104
Windermere Preparatory School,1428
Augusta Preparatory Day School,588
Université de Kinshasa,24324
Line Mountain Jr./Sr. High School,583
"North High School (Eastlake, Ohio)",1308
長春理工大学,21478
Université de Séoul,12316
Cowichan Secondary School,1676
Academia de Artes da Islândia,492
Shiraz University of Technology,1072
University of Santa Monica,477
Universidad Tecnológica Chalmers,11781
Université de Reggio de Calabre,10
Armand Hammer United World College of the American West,53
Col·legi Casp,1598
Université catholique de l'Ouest,11065
Mid Valley School District,1761
William A. Hough High School,2466
Sparrows Point High School,891
Broadland High School,716
The Hill School,49699
Black Mountain College,1089
Zurich University of Applied Sciences,15602
Università Tecnica di Lisbona,22002
オスナブリュック大学,11421
Saint Louis University Laboratory High School,2467
Northern Nash High School,1467
"Junípero Serra High School (San Mateo, California)",840
King Edward VII School (Johannesburg),1146
Mount Graham High School,137
Chryston High School,1886
Lisle High School,618
Hudson High School (Wisconsin),1707
エクス＝アン＝プロヴァンス政治学院,1946
Rogers High School (Arkansas),1763
Shanghai University of International Business and Economics,10391
Bristol Borough School District,1361
Beaverton High School,1556
Asutosh College,4050
桂林理工大学,36958
The Bear Creek School,811
Mascoutah Community High School,958
Mount Morris Consolidated Schools,717
University of Illinois at Chicago College of Dentistry,427
"Northwestern High School (Maple, Wisconsin)",433
Universidad Politécnica Estatal de San Petersburgo,28308
Cadet College Hasan Abdal,1
Bellefonte Area School District,3215
Universidad de Stavanger,10861
Waverly High School (Kansas),124
Flint Hill School,1200
ANU College of Physical and Mathematical Sciences,2249
Westonbirt School,194
Father Leo J. Austin Catholic Secondary School,979
City Christian Schools,298
Università di Richmond,506
Cape Breton Highlands Education Centre,375
哈佛大学文理研究生院,3751
Nogales High School (Arizona),1764
E. L. Crossley Secondary School,795
"Don Bosco School, Park Circus",3980
Anne Arundel Community College,46388
Three Lakes High School,71
Universität Stockholm,68119
Islamische Universität Medina,22409
Westview High School (San Diego),2145
University of Hawaii,48229
Universidad Nacional de San Antonio Abad del Cusco,15963
Angelo State University College of Graduate Studies,680
La Joya Community High School,1907
Escuela Nacional de Santa Brígida,965
Harper College,48856
جامعة الشمال الغربي مدرسة فينبرغ للطب,684
University of Iloilo,7361
SUCCESS Academy,391
Little Flower Academy,429
Backwell School,1597
Hostos Community College,6932
Nationale Forschungsuniversität für Elektronische Technologie,4191
Strong Vincent High School,603
Universidad de Concepción,23764
Dartmouth College,5633
Moniteau School District,1366
"Zahira College, Colombo",4811
Lindenhurst Senior High School,2309
Arlington Heights High School,1733
Morton Ranch High School,3692
Marche Polytechnic University,18974
Smoky Hill High School,2088
High Arcal School,1217
哥伦比亚大学,25612
Eagle Point High School,1206
"Anglo Chinese School, Klang",1131
Vignan University,6825
Universiteit van Niš,26976
Blackheath High School,641
卡尔斯鲁厄理工学院,25074
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1376
Branham High School,1490
British School in the Netherlands,2465
South Eugene High School,1641
ESME Sudria,1429
Università di Tunisi,25623
Universität La Réunion,10956
Seaford Senior High School,809
Universidad de Concepción,22946
Norwegian School of Economics,3551
Universidad de Dalarna,17006
Nuova Università di Lisbona,17379
Foothills School of Arts and Sciences,148
Universidad Anáhuac del Sur,2078
St Mary Redcliffe and Temple School,1669
University of Primorska,5034
Республиканский университет (Уругвай),85659
Brookwood School,364
Franklin College (Indiana),1058
Nash Central High School,1359
University of Swaziland,5690
Morgantown High School,1917
Reed College,1332
林奈大學,14719
Edgewood Senior High School,533
The Khaitan School,3199
"Benedictine High School (Cleveland, Ohio)",429
Nestucca High School,216
أكاديمية كونمينغ الدولية,85
Owen Valley Community High School,863
Bezalel Academy of Arts and Design,2086
モンペリエ大学,45713
Forres Academy,1044
Norwegische Handelshochschule,3367
"Lawrence School (Sagamore Hills, Ohio)",321
Greeley West High School,1361
Wingate University,3182
Upper Darby High School,3909
ニューヨークフィルムアカデミー,7111
Escuela de Santa María (Puerto España),1139
جامعة البنجاب,44041
Universidade de Magallanes,6
Lakshmi Narain College of Technology,5049
الجامعة الاتحادية في باهيا,26534
Fort Hays State University,15667
Celje First Grammar School,1084
Goffs School,1409
Université de Stuttgart,24094
William Penn High School (Delaware),2220
École nationale supérieure des arts et industries textiles,10057
Byuksung College,481
Chesapeake College,2603
Black Mountain College,1097
ワーナー・パシフィック大学,1449
"The Village School (Houston, Texas)",1604
Whitefield Christian Schools,258
Università della Città di Manila,12655
Lejeune High School,490
海南大学,33422
Institut de technologie de Karlsruhe,25636
"Highlands High School (Natrona Heights, Pennsylvania)",892
المدرسة الأمريكية في الدوحة,2267
Jiangnan University,31537
Royal University of Phnom Penh,22431
Eleanor Roosevelt High School (California),3541
Cleveland Heights High School,1722
Trinity Washington University,2120
"School of Economics, UNAM",3
杜克大学医学院,432
Universität Singidunum,10775
RCSI-Bahrain,1156
Los Angeles City College,22527
"Washington High School (Phoenix, Arizona)",1847
アリゾナ州立大学,11543
"Meridian School, Royston",503
Pine Hills Adventist Academy,139
Windesheim (onderwijsinstelling),19123
Government College of Commerce & Economics,4041
筲箕灣官立中學,992
Университет Коста-Рики,45
Alton C. Crews Middle School,1239
Zurich International School,1425
Pontificia Universidad Católica del Perú,19180
マリー・キュリー・スクウォドフスカ大学,24809
Leolo High School,569
"Stanborough School, Welwyn Garden City",1004
Avonworth High School,484
EMLYON Business School,3576
Staatsuniversiteit van Linguïstiek Jerevan,4344
Wilmington Academy,775
Birkdale School,955
Université d'État de l'Arizona,14011
Università degli Studi di Bari Aldo Moro,52437
Ticonderoga High School,313
Saint Louis University School of Social Work,1109
素罗娜丽科技大学,14637
Andrews High School (South Carolina),506
Université de Busitema,1421
جامعة داكوتا الشمالية مدرسة الطب والعلوم الصحية,258
Escuela de Música de Calcuta,1013
Ballou High School,1179
Norwegian International School,206
Université de sciences appliquées de Mayence,5104
Université pontificale catholique du Pérou,17698
Staatliche Polytechnische Universität Sankt Petersburg,26760
"Mariner High School (Everett, Washington)",2092
Päpstliche Katholische Universität von Argentinien,16921
Wills Point High School,706
ジェームズ・マディソン大学,18503
كلية الأمير سلطان لعلوم الطيران,6726
Pine Tree Independent School District,4450
Franklin Heights High School,1104
Uniwersytet Damasceński,219324
Technical University of Liberec,9312
Universidad Católica De La Santísima Concepción,5445
Poynton High School,1824
Tung Wah Group of Hospitals S. C. Gaw Memorial College,1002
McAllen High School,2303
美国天主教大学哥伦布法学院,524
伍德罗·威尔逊高中,1797
Southborough High School,745
St. Charles West High School,685
Universidade de Estocolmo,63111
Universidade de Montpellier,36367
Driffield School,2050
كلية هارفرد للأعمال,1627
Stratford High School (Connecticut),1144
Universidad San Francisco de Quito,5358
Olean High School,730
Maliyadeva College,4622
Gorgan University,3279
"Clint Junior High School (El Paso, Texas)",406
"North Star Academy (Redwood City, California)",587
Florida State University student housing,7301
Albany High School (Georgia),893
Madison Central High School (Kentucky),1642
福州格致中学,2106
University of Banja Luka,18610
"Good Shepherd Convent, Chennai",988
I.E.S. Mariano Quintanilla,759
Uniwersytet w Niszu,26775
Manzar-e-Islam,356
Bayside High School (Virginia),2084
Columbia-universiteit,2016
École nationale vétérinaire d'Alfort,735
Texas Tech University Health Sciences Center El Paso,520
Amphitheater Public Schools,17371
Bellarine Secondary College,1531
Pavol Jozef Šafárik Universität in Košice,5902
"Royal Academy of Art, The Hague",994
Białoruski Uniwersytet Państwowy,44584
Alexander Jan Cuza-universiteit van Iași,26846
جامعة دمشق,223952
Sonoraville High School,1184
Union High School (Oregon),236
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,1822
Union High School (Utah),924
Saba University School of Medicine,536
"St. Joseph High School (Hilo, Hawaii)",270
Centro Universitario de Svalbard,454
Cactus High School,1185
Stanford University,15642
広西師範大学,22670
Falls Church High School,1603
Università della Florida Meridionale,50429
Universidad Panthéon-Assas,18289
Kalinga Polytechnic,1211
Community College of Baltimore County,63243
Robert M. La Follette School of Public Affairs,111
Albertus Magnus High School,465
Daugavpils University,3845
馬禮遜美國學校,227
Novia University of Applied Sciences,4194
Oak Hill Academy (New Jersey),397
Polytechnic University of the Philippines,48014
Human Resources University,51942
Cypress Bay High School,4013
"Aquinas Academy (Livingston, New Jersey)",165
مدرسة KIIT الدولية,87
Kingswood Regional High School,670
Community Baptist Christian School,114
聖方濟大學,3650
Theodore Roosevelt High School (San Antonio),2876
V. J. and Angela Skutt Catholic High School,567
Cégep Limoilou,3411
Canton Area School District,1000
TC Beirne School of Law,1862
东北财经大学,21861
City of Liverpool College,21277
St. Dominic Savio Catholic High School,334
Harvard Business School,1874
Turlock High School,2330
West Albany High School,1411
Cabot High School,2019
Morrison Academy,138
Instituto de Tecnología de Georgia,22828
Seneca High School (New Jersey),1221
Escola Brasileira de Administração Pública e de Empresas,723
جامعة تونس المنار,46300
Hanover Public School District,1779
Goerdeler-Gymnasium Paderborn,851
Hoover High School (Alabama),2564
Wisconsin Lutheran Seminary,224
Universidad de Colombo,11529
Thomas Aquinas College,364
Université de Messine,21825
North Knox High School,625
Campus Bio-Medico,1620
Centre national d’enseignement à distance,134120
Alexander Hamilton Jr./Sr. High School,474
Laguna College of Art and Design,527
Montebello High School,3305
Bellwood-Antis School District,1294
Mahidol Wittayanusorn School,715
Академия музыкальных искусств (Прага),1361
"St Augustine's Roman Catholic High School, Billington",1101
Central Christian Schools,275
Testbourne Community School,805
جامعة دالهاوسي,20459
Cégep Garneau,8393
Montgomery High School (New Jersey),1839
Asian Institute of Tourism,368
Great Lakes Christian College,241
جامعة جوزيف فورييه,16797
University of Missouri–Kansas City School of Law,417
Texas A&M University System,142339
Francis Howell North High School,1672
Colton High School (California),2921
Yamagata University,9319
Instituto Gwangju de Ciencia y Tecnología,1728
Touro College of Osteopathic Medicine,563
Tai Poutini Polytechnic,2787
Harvard Business School,2200
Universidade Tecnológica Nacional (Argentina),68477
Freeport Area School District,1966
جامعة دركسل,28054
St. Augustine Catholic High School (Ontario),1496
Edgewood High School of the Sacred Heart,500
Crawford County High School (Indiana),729
Universidad de Macquarie,39669
Academy of Technology,2675
Hilltop Christian School,322
Texas Wesleyan University,3563
Millbrook School,324
Universidad William Penn,1618
Christopher Columbus High School (Miami-Dade County),1253
La Pine Senior High School,523
East Carolina University College of Business,3446
Sir John Cass Redcoat School,1937
UWC-USA,26
Chaffey High School,3176
冰島藝術學院,410
Università di Wageningen,10422
Valjevo Gymnasium,819
Highgate School,1383
Woodchurch High School,1313
EHOVE Career Center,745
Greenwood High School (Arkansas),725
Washington State Community College,2198
The Wellington Academy,1012
Cocke County High School,1198
Universidad Francesa en Armenia,1986
亞利桑那州立大學,14494
Mid-Valley Christian Academy,75
Brown University,9268
Durban High School,1110
Riverside High School (South Carolina),1543
Université de Playa Ancha,11897
Cass City Jr./Sr. High School,485
Texas A&M University–Commerce,11900
Armstrong School District (Pennsylvania),4913
Hotel Institute Montreux,1384
Université d'Ankara,40065
University of the Republic (Uruguay),84972
Newburgh Free Academy,4134
亨利四世中学,1884
Centreville Layton School,90
Dniepropetrowski Uniwersytet Narodowy im. Ołesia Honczara,18910
Christian Brothers Academy (New Jersey),939
The Benjamin Britten Music Academy,778
Laboratory School of Phranakhon Si Ayutthaya Rajabhat University,673
Universidad de Kragujevac,14764
Bangpakok Wittayakom School,3259
Universidade de Kent (Estados Unidos),45316
Universidad Metropolitana de Ciencias de la Educación,6600
Illinois College of Optometry,622
Harvard Business School,166
Hampton Roads Academy,653
El Colegio de México,485
Monroe Township High School,2107
Harrisburg Christian School,284
Kingsburg High School,867
Craigroyston Community High School,372
Uniwersytet Świętych Cyryla i Metodego w Skopje,51464
Fakir Mohan University,13591
Fayetteville-Manlius Central School District,1675
Universidad de Perugia,29442
Ecole Polytechnique de l'Université d'Orléans,1064
Blue Mountain High School,926
約翰·霍普金斯大學醫學院,1538
ESME Sudria,1560
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10458
Brethren Christian Junior/Senior High School,366
Universidad Federal del Extremo Oriente,42666
East Hall High School,1185
義守大學,19866
Lahore College of Arts and Sciences,3979
Semmelweis University,9840
John Dwyer Technology Academy,960
Oxford Spires Academy,714
Gayatri Vidya Parishad College of Engineering,2605
Ithaca College School of Humanities and Sciences,2190
"Royal University of Agriculture, Cambodia",9975
Universidade do Estado do Arizona,10575
Shaker Heights High School,1815
Bridgewater School,581
Uniwersytet w Maceracie,10760
莱姆顿学院,3235
Lake Region High School (Florida),1585
Cody High School (Wyoming),632
Betty Shabazz International Charter School,586
SMK Mambau,1190
IE商学院,5607
Our Lady of Sion School,581
Punjab University Law College,1566
St George's School in Switzerland,463
The Charter School,1082
مدرسة طب سان دييغو (جامعة كاليفورنيا),509
MacEwan University,19795
Viktor Rydberg Gymnasium,1330
Deer Park High School (Texas),4230
Colony High School (Alaska),1152
East Aurora High School (New York),679
Carlisle Area School District,4448
Université catholique de sciences appliquées de Mayence,1026
Oregon City Service Learning Academy,177
Valentines High School,1741
Uniwersytet Panamerykański,17102
"Heritage High School (Saginaw, Michigan)",1674
Acadia University,4447
Lycée International de Saint-Germain-en-Laye,2819
Institut d'études politiques de Lyon,1309
纽约大学法学院,1716
St. Anne's College (Sri Lanka),2875
Università di Economia Nazionale e Mondiale,21239
Université de Nottingham,40954
"Parkside School, Cullingworth",947
London Contemporary Dance School,175
Whitewater High School (Georgia),1873
Bedford Area School District,2182
Liberton High School,650
Academia Secondary School,887
高雄市私立普門高級中學,1099
Shandong University of Science and Technology,51
Xaveriuscollege (Borgerhout),812
North Augusta High School,1655
Universidad Pedagógica Nacional (Kolumbien),11062
Jeffersonville High School,2255
New College School,174
Winterhill School,1171
East Boston High School,1335
Universiteit van Dar es Salaam,18467
歐洲大學,3
Pakistan Urdu School,1971
Box Hill School,411
Antietam School District,1187
Easton Area High School,2463
"The Pentecostal Assembly School, Bokaro",1753
University of Colorado Denver,19489
Ursuline College (Chatham),1422
Lyceum-Northwestern University,4767
Ballyclare High School,1144
Wayne High School (Ohio),1695
Southern New Hampshire University,57613
ORT Braude College of Engineering,5537
Lycée Alborz,1755
East Pennsboro Area School District,2823
Rumson Country Day School,448
"North High School (Phoenix, Arizona)",2574
Universidade Rey Juan Carlos,43009
"Heritage High School (Lynchburg, Virginia)",1085
المدرسة العليا للعلوم بهانسونغ,336
Alde Valley Academy,1
Индианский университет,121400
Blairsville-Saltsburg School District,1594
Word of God Christian Academy,166
Universidade de Concepción (Chile),22210
Citadel High School,1221
Carpenter Community Charter School,989
American University of Afghanistan,1245
Alta High School (Utah),2364
Albanian School of Magistrates,27
Islamic University in Uganda,6846
St. Maurice School,736
University of Papua New Guinea,14607
Holy Cross Catholic Academy,805
"Oak Grove School (Ojai, California)",184
安徽工程大学,20656
Antelope High School,1542
Indian Mountain School,245
Ithaca College,7056
Los Angeles Southwest College,7754
IE Business School,5395
Université normale du Zhejiang,21493
John Dewey High School,3377
Donald A Wilson Secondary School,1501
Harvard Business School,1791
Université de Calabre,37103
American School in Taichung,175
EU Business School,3
Norwegian School of Economics,3132
Burlington High School (Iowa),1521
Coudersport Area School District,770
El Colegio de México,459
"Ponderosa High School (Parker, Colorado)",1462
Timmins High and Vocational School,863
魏瑪包豪斯大學,3896
Université d'Alger,87385
Université de Tsukuba,16647
Old Scona Academic High School,337
Captain John L. Chapin High School,1996
Mount Royal Collegiate,907
Fort Meade Middle-Senior High School,741
Montanuniversität Leoben,3863
"Indian Institute of Information Technology and Management, Gwalior",717
Waltham Forest College,9853
Arizona State University,3756
Bullis School,692
"St. Joseph's Boys' High School, Bangalore",13
Universidad Cristiana de Abilene,4659
Barnwell School,1692
جامعة الطب وطب الأسنان في نيوجيرسي - مدرسة طب روبرت وود جونسون,565
Trillium Charter School,336
Ohio State University,57770
Università degli Studi di Foggia,11549
Northeast Metropolitan Regional Vocational High School,1310
Otto-Hahn-Gymnasium (Gifhorn),1437
Francis Howell Central High School,1705
EU Business School,3
Penn Cambria School District,1821
"Bluffton High School (Bluffton, Ohio)",350
Université islamique d'Ouganda,6153
Distrito Escolar Independiente de Lake Travis,7738
Université d'État de l'Iowa,37062
Universidade Federal de Juiz de Fora,14496
Harding Academy (Memphis),963
"Dulles High School (Sugar Land, Texas)",1919
"Apeejay School, Pitampura, Delhi",2378
Farragut High School,1769
Mihai Eminescu National College (Oradea),0
Sarasas Ektra School,2895
香港公開大學,17783
College Zarządzania - Studia Akademickie,12702
Georgia State University College of Law,474
Ridgewood High School (Illinois),843
Kingsway Regional High School,1681
Woodside High School (Virginia),2159
Chace Community School,1101
Broadoak Mathematics and Computing College,971
Opportunity Center,139
Tashi Namgyal Academy,2117
福州第一中学,1983
Princeton University,7418
Georges Vanier Secondary School,947
"Faculdade de Engenharia, Pune",4298
Universität Erfurt,5405
Highworth Warneford School,847
Ardhi University,2584
Universidad Federal del Estado de Río de Janeiro,8547
M. M. Robinson High School,855
Universität Messina,25465
Bridgton Academy,179
Armwood High School,2216
Fuzhou Gezhi High School,1866
Ramapo College,5773
Pacific Crest Community School,79
Pace University High School,407
Teaneck High School,1365
Weiser High School,545
Université de Sassari,13124
Università degli Studi di Messina,21069
Escuela Preparatoria Malibú,1236
Institut national des sciences appliquées de Toulouse,1995
Canyonville Christian Academy,119
Universidad de Yamanashi,4636
Koninklijke Academie van Beeldende Kunsten,1039
Barbara Ingram School for the Arts,253
Iowa State University,40043
Townsend Harris High School,1165
American School of Milan,732
Miramar High School,2899
Colorado Heights University,355
Instituto Tecnológico de Massachusetts,11792
جامعة غوتنبرغ,37065
North Cambridge Academy,487
Greenfields School,111
Artesia High School (California),1764
Fayetteville-Manlius Central School District,1456
Red River High School,1065
Норвежская школа менеджмента,19467
Lycée Henri-IV,1827
New Brunswick Community College,3728
Los Osos High School,3883
南新罕布什爾大學,60304
Peninsula High School (San Bruno),253
达特茅斯学院,6291
Северо-Восточный федеральный университет,16646
西印度群岛大学,39851
Deutsche Evangelische Oberschule Kairo,1303
Winchester High School (Massachusetts),1110
Devenish College,593
"St. Paul High School (Santa Fe Springs, California)",558
Scuola di economia di Stoccolma,1476
Greer High School,3072
"Redhill School, Stourbridge",1235
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1982
Wren Hollow Elementary School,494
University of Mosul,33025
Landmark School,308
Cooper City High School,2341
Università Islamica di Medina,24033
Universidad Regiomontana,9084
Sturgis Charter Public School,748
Texas A&M International University,7570
Городской университет Нью-Йорка,489262
Christian Academy of Madison,112
Université catholique argentine,16630
"North High School (North St. Paul, Minnesota)",2262
"Grange School, Northwich",1128
Seattle Jewish Community School,91
"Concord High School (Elkhart, Indiana)",1790
Cristo Rey Jesuit College Preparatory of Houston,468
Minnetonka High School,3245
極東連邦大学,43965
深圳中学,3664
جامعة ماكواري,37836
"Sainik School, Korukonda",504
Bell County High School,700
Académie tchèque des arts musicaux,1438
Nootka Elementary School,423
State Elementary School Pondok Kelapa 09 Pagi,376
Anatolia College,2151
Королевский университет Пномпеня,18588
Secondary Board High School,1034
アリゾナ州立大学,12722
黎巴嫩大學,72007
Umatilla High School (Oregon),356
Barrington Municipal High School,692
German European School Singapore,1503
Integrated College Dungannon,551
Académie russe des arts du théâtre,1611
Silverton High School (Texas),170
William Horlick High School,12
Cass High School (Indiana),742
Lakehill Preparatory School,403
Jorhat Engineering College,1539
Kimberley School,1383
Технологический институт Карлсруэ,26839
Harvard Business School,154
Royal Oak High School,1813
Harrogate High School,594
TAGOS Leadership Academy,81
Dominican College Sion Hill,410
Medford School District (Oregon),935
"College of Engineering, Adoor",1658
中華基督教會協和書院,1325
Royal Blind School,77
マサチューセッツ大学,70272
Maastricht Academy of Music,563
Beaumont College,292
École de l'Air,486
Mar Baselios College of Engineering and Technology,2542
Eau Gallie High School,9
Allen Academy,330
St. Andrew's Preparatory School,209
Saint Camillus Academy,187
"Southwest High School (Fort Worth, Texas)",1267
Carlisle Area School District,4990
台中美國學校,184
"New College, Teachers College, Columbia University",664
Milwaukee Area Technical College,9003
Ramona Convent Secondary School,445
"Theodore Roosevelt High School (Kent, Ohio)",1335
Università tecnica statale di Novosibirsk,15425
Universiti Teknikal Malaysia Melaka,11411
Leeds Business School,5026
KIIT International School,1423
Birmingham Conservatoire,645
Norden High School and Sports College,648
Spotsylvania County Public Schools,25082
Terre Haute South Vigo High School,1654
University of Sassari,12355
Feinberg School of Medicine,3217
Adventist University of Health Sciences,1794
Shattuck-Saint Mary's,464
Holly Springs High School,2590
UC Berkeley School of Public Health,433
Kearny High School (New Jersey),1571
Tallinn University,8923
Chatsmore Catholic High School,652
Украинский физико-математический лицей,309
University of León,14
Geneva Academy,37
"Foothill High School (Palo Cedro, California)",1640
Roger Bacon High School,415
Lawrence High School (Kansas),1426
Marple Hall School,1300
The Academy of Science and Entrepreneurship,125
Неаполитанский университет,71102
旧金山大学,11585
Dalton Public Schools,5571
Coolum State High School,735
"Evergreen High School (Vancouver, Washington)",2314
Sagesse High School,984
Llandovery College,365
San Bernardino High School,851
曼隆學院,838
Technische Universiteit Chalmers,10012
Cros-Lex High School,855
Aldridge School,1377
Prempeh College,2155
Humphreys College Laurence Drivon School of Law,152
Institut national des sciences appliquées de Toulouse,2043
Moraine Valley Community College,35937
Princess Nora bint Abdul Rahman University,48972
McNeil High School,2556
Instituto Politécnico Nacional,187104
Maria Curie-Skłodowska University,23507
Université Columbia,2166
Университет Николая Коперника,27898
ワシュテノー・コミュニティ・カレッジ,11827
Université de Tunis - El Manar,47421
جامعة الملكة أروى,5403
Université de Cagliari,32680
Uniwersytet Kolombo,11053
Universidad Sofía de Tokio,11586
Western Beaver County School District,771
"Campion College, Regina",925
Collège Saint-Xavier de Calcutta,1992
Lycée français de Pondichéry,1423
Russian-Tajik Slavonic University,3045
Riverton High School (Utah),2023
Pensacola Catholic High School,670
Knightdale High School,1608
Portland Waldorf School,351
Universität Yamagata,9023
Sandia High School,2116
Calcutta School of Music,960
Estacada High School,720
Noakhali Government College,10361
Federale Universiteit van Bahia,24438
Geneva High School (Ohio),742
New Kent High School,960
Whitinsville Christian School,612
Helene-Lange-Gymnasium (Hamburg),969
Birmingham School of Law,483
Westview Centennial Secondary School,1204
European University of Lefke,5
"St. George's Girls' School (Penang, Malaysia)",1440
St Francis of Assisi Catholic Technology College,975
Buchtel Community Learning Center,862
"College of Engineering, Pune",4143
Warrior Run School District,1410
Institut d'Administration des Entreprises,47351
UIUC College of Applied Health Sciences,2228
Archbishop Tenison's Church of England School,512
廣州美國人國際學校,923
"Saint Mary's School (Raleigh, North Carolina)",310
Hochschule für Musik Carl Maria von Weber,1
哈佛商学院,1839
Universität Fukushima,4296
Portledge School,456
Columbia University,2119
"New College, Telford",1383
Tomlinson Middle School,860
Sharda Group of Institutions,20611
Eagle High School,1392
Uniwersytet Techniczny w Warnie,8253
Carman-Ainsworth High School,1470
"St. Joseph's Convent High School, Adilabad",2637
Lehman Catholic High School,180
Grant Community High School,1860
Commercial Academy of Satu Mare,951
The Elizabethan Academy,1086
Stanford University,15047
American University School of International Service,828
Ithaca College,6702
Carlucci American International School of Lisbon,651
Prince Edward School,1166
Tenali Engineering College,348
Connections Alternative School,86
"Huntington School, York",1555
Académie militaire turque,4135
Harvard Graduate School of Design,181
Sargodha Institute of Technology,1202
Hall High School (Arkansas),1138
カウナス工科大学附属ギムナジウム,322
Weydon School,1026
University of Rijeka,21341
Sydney Law School,3267
Macquarie University,36895
EU Business School,3
Delaware County Community College,14332
San Benito High School (Texas),1910
Hall Garth Community Arts College,771
ヘルシンキ芸術デザイン大学,1913
Университет сельского хозяйства Фейсалабада,17086
Mayville State University,1064
キエフ大学,21475
MEF International School Istanbul,492
Holliston High School,957
High School of Fashion Industries,1874
Cambridge Rindge and Latin School,1757
Harvard Business School,153
جامعة قرطاج,45774
Charleston Southern University,3478
Odle Middle School,859
Grantham Preparatory School,118
Hayesfield Girls' School,1108
Harvard Graduate School of Design,342
Bullitt Central High School,1220
亞利桑那州立大學,3559
Cuyamaca College,8029
Benjamin Elijah Mays High School,1808
Quaker Valley School District,1959
