http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
ウジャエ環礁,467
Saint-Pierre (atol),0
Mili,1052
Geografía de Puerto Rico,4189343
Long Island (Western Australia),0
トスカーナ群島,36134
Isole Daitō,2085
Sark,602
تينوس,9239
スンバワ島,1383741
Délos,15
Lütje Hörn,0
Пентекост,15553
Ambrym,8078
Poel,2645
スマトラ島,51197057
Ellesmere Island,153
Drvenik veliki,131
Tōshi-jima,3121
Svínoy,57
Oléron,20166
Vava'u,15480
Geografía de Mauricio,1329836
La Graciosa,645
Baltrum,477
Reao (Atoll),369
Makatea,61
Isabela Island (Galápagos),1679
上島,1755
Sable Island,5
Tresco,173
Norderney,6160
Narcondam,15
Durrat Al Bahrain,1134
Yonaguni,1748
Keppel Island,0
Ljusterö,1570
Masira,13574
Maliku,10524
Isola Cornwallis (Nunavut),202
Lampedusa,6093
Isla María,2
Сан-Николау (Кабо-Верде),11857
Mercury (wyspa),2
キフヌ島,530
Isla Saona,294
Wallis (island),11524
Bougainville (Papúa Nueva Guinea),171357
Isla Molokini,0
Cornwallis (Canada),199
براسلين,7134
Саут-Маниту,1
Ахе,565
Tarout Island,80467
Hasslö,1559
Geography of Saint Lucia,147553
Kosrae,6987
Lindhard Ø,0
Siberut,33474
Godøy,1206
Haʻapai,6321
希乌马岛,8230
Île d'Achill,2351
Costa de la Columbia Británica,4367
斯特羅恩吉利島,0
Fergusson,12200
Askø,55
Isla Anchor,0
Buru (Indonesia),167707
Thorland,0
Île de Frégate,196
Мили,1161
克佩爾島,0
Geography of Svalbard,2513
Bornholm,38960
Pantelleria,8041
坪洲,4906
ジャルート環礁,1637
Ouessant,882
Sanana,51202
Heimaey,4821
South Bishop,0
Île Banks,128
Ilha de Lobos,0
Cooper-Insel (Südgeorgien),0
Taquile Island,1767
Mataiva,301
Astove,2
Кинг-Джордж (остров),546
Alegranza,0
Feøy,45
Isola di Tokunoshima,27266
Peng Chau,4563
Chalky Island,0
シロス島,22615
中安達曼島,57003
Marquesas Keys,0
Manuae (Îles de la Société),0
Wielki Nikobar,7104
Lütje Hörn,0
Наветренные острова,437660
Île Prince-de-Galles (Queensland),20
Anuta,275
Havelock Island,6233
Barbuda,1556
Nólsoy,260
Idse,176
Sipora,16146
Trinity-Insel,0
Isola d'Anticosti,220
Wotho,176
格什姆岛,126869
Makanruši,0
Namorik,767
Эрикуб,0
普拉特島 (塞舌爾),3
Isola Tajmyr,0
プリンシペ島,4995
查塔姆群岛,658
布塔里塔里環礁,4593
Viðoy,637
Брач,14986
琉球群岛,1431240
Pašman,2689
Ornö,284
Jéthou,3
Dōgo-jima,13312
Ясава (остров),1183
Iberian Peninsula,58748255
Îles du Maïs,7773
موريا,17377
Santo Antão (Kap Verde),40072
Saint-Christophe (île),47843
Sardinien,1626416
Timor,3022808
ハルマヘラ島,422778
Fakarava,804
Minicoy,11165
端島 (長崎県),0
Eubeia,206327
Guesalaga Peninsula,0
卡梅倫島,0
Geography of Montserrat,4695
Серф (остров),96
神津島,2013
Géographie de La Réunion,830734
Lesbos,84073
Schiza,0
Jan Mayen,0
Tåsinge,6693
Каргадос-Карахос,66
Ян-Майен,0
Isla Saturna,394
Île Mackinac,485
Pemba (Tanzânia),442410
Winter Island (Nunavut),0
Île Dawson,432
博奈尔,15165
施皮克罗格,820
Walney (île),11421
Secretary Island,0
Grímsey,90
Тортю,27329
莫阿拉島,2860
ブリテン諸島,70789832
Nancowry (île),1118
梅吉特島,270
Grand Turk Island,3695
Samosir,101633
パナイ島,4532572
Solentiname Islands,995
لا ديغو,2566
Frégate,211
Akamaru,24
Olib,147
Île-d'Arz,242
Île Yagishiri,295
Rarotonga,11165
Géographie de Jersey,100498
Chichi-jima,2034
Niutao,646
Мадура,3463654
Makin,1669
Megalonisi (Crète),0
Île du Cap-Breton,135036
Île Mocha,826
Roque del Oeste,0
جزيرة المحرق,187782
瓜达尔卡纳尔岛,106461
Аламаган,0
Pašman,2883
穆拉武卡德,23917
Butaritari,4462
Thérèse Island,0
Saltholm,5
バレアレス諸島,1196659
Skokholm,2
Islas Baleares,1094980
Dokos,19
Andamanen,331761
Île Unimak,70
Heibergeilanden,0
Amager,172367
Elafonissos (Kreta),0
Isla Araki,138
Aukena,44
Rockall,0
Graciosa (Wyspy Kanaryjskie),682
亞歷山大塞爾扣克島,63
Arrecife Kingman,0
Lošinj,9033
Guadalcanal,116332
Klädesholmen,366
Île des Sœurs,16834
羅密歐島,0
Havelock Island,5960
ウィンドワード諸島 (ソシエテ諸島),204074
Korčula (eiland),15957
エロマンガ島,2082
Archipiélago Toscano,32894
Isola di Noirmoutier,9714
Narcondam,17
Puffin Island,0
جزر البليار,989299
Korallenmeerinseln,4
Smith Island (Szetlandy Południowe),0
Фаркуар,19
喜界島,7181
Islas Chatham,606
Flinderseiland,698
曼塞爾島,0
Manitoulin,13494
Insel Poel,2645
Lae (Marshall),320
Raiatea,12416
Tiengemeten,10
Kharimkotan,0
式根島,603
Woleai,1007
Menorca,94955
Futuna (Vanuatu),565
Tierra de Peary,0
Alphonse-Atoll,81
Kauaʻi,65470
Čiovo,6377
Andaman Meridionale,191440
Kolbeinsey,0
Husøya,408
موالا,3133
Drvenik Mali,82
Ilhas do Canal,155317
"City Island, Bronx",4229
魯賓遜克魯索島,871
Ilhéu dos Pássaros,0
Hvar,11469
Île de Noirmoutier,9185
坎加鲁岛,4064
リーワード諸島 (ソシエテ諸島),33435
Матуа,0
Silda (Vågsøy),34
Bougainville Island,158882
Asinara,1
Naxos,18800
林迪斯法恩,179
Inishbofin,154
Fatu Hiva,569
Ilhéu Caroço,0
Isola Herring (Windmill),0
伊麗薩岩,0
Tybee Island,2856
Marajó,234741
Isla de Flores (Indonesia),1646363
Borrello Island,0
Vrgada,240
Drejø,65
Raivavae,903
キング島,1620
Península de Kamchatka,300636
Bornholm (eiland),40987
Andimilos,0
敏莪里島,36451
Karabane,374
Ilhéu de Cima (Kap Verde),0
霍西森島,18
Рангироа,2431
Morter,5450
غودش,35189
Socotra,40287
Sable-eiland,5
Kotakara-jima,46
Aldabra,12
奧德伯特島,0
Sainte-Anne (Seychellen),35
Porto Santo,5147
阿森松岛,906
Ilha de la Gonâve,71455
Inamba-jima,0
Rennell,1580
Dangerous Reef,0
布里克島,2
Sandy Island (Nowa Kaledonia),0
Tiengemeten,9
阿基爾貝格島,0
Тринити (остров),0
Isla de Elba,36595
Fakarava,712
Isle La Motte,432
Islote Rabo de Junco,0
Ilhabela,31779
Moreton (wyspa),308
Spinalonga,0
Gotland,50537
Lítla Dímun,0
Ilha de São Nicolau,13618
Bubaque,9613
Föhr,8654
Pampus (eiland),2
St. Kitts,42005
Бенгтшер,1
Wyspa Szmidta,0
Tubuai,2142
ゴゾ島,39850
Spitzberg,2745
Fitzroy Islands (Tasmania),0
Bornholm,39868
Géographie de Chypre,773492
Vanua Lava,2554
Asinara,1
Фаркуар (острова),20
Tahiti,191740
Isola di Pentecoste,18444
St. Vincent,100757
ماراجو,218907
Geografia da Groenlândia,56042
Erikub,0
Jethou,3
Cayos Cochinos,104
Bjarnarey,3
Hjelm (island),0
Isla de Madura,3918751
Andrott,10823
Аилингинаэ,0
Spinalonga,0
ウルフ島 (オンタリオ湖),1508
Остров Броутона,0
Isla Dawson,413
Триндади-э-Мартин-Вас,31
Isola di Salsette,16111710
Lanzarote,150312
Nuku Hiva,2537
Diskoinsel,1024
Lindisfarne,167
Ilha Kangaroo,4142
Caher Island,0
Asinara,1
Palmyra (atollo),4
Olib,142
Ammassalik Island,1975
Ilhas Ashmore e Cartier,0
Koiluoto,0
Isole Esterne,0
Honshū,112447055
Poel,2781
Jan Mayen,0
Лос-Рокес (архипелаг),3
康沃利斯岛 (加拿大),244
Géographie des îles Malouines,3111
帕什曼島,2772
Whidbey Island,59879
Tinos,8046
西表島,2448
Saint Peter and Saint Paul Archipelago,4
Trindade e Martim Vaz,30
Мансел (остров),0
阿斯克島,56
Anaa,558
Attu (Aleoeten),0
Makrónisos,0
維多利亞島 (俄羅斯),0
スバティック島,28033
Amager,188594
Ilha Anticosti,264
Tabiteuea,4961
Ilhéu das Cabras,0
Als,52863
平島 (鹿児島県),82
Ilha Vega,0
Cima (eiland),0
Gozo,39796
Isla Margarita,469841
Île Notre-Dame,0
馬拉若島,275486
Tegua,58
Флиндерс (остров),717
Tinos,9161
Джету,3
جزيرة ألور,159193
小鹿島病院,1043
Geografia Martyniki,457735
Isole della Lealtà,19664
派里斯泰拉島,33
Daskalio,0
Giava,129844220
Gran Canaria,821000
Honshū,99052844
Gyaros,0
Isla Kuchinoerabu,141
Buru,171659
Maui,160826
Sitra,77474
Ilha de Ascensão,922
Comoro Islands,1072439
Tunø,114
Воар,2784
Nouvelle-Guinée,10680162
Литл-Корнуоллис,0
Als (Dänemark),48442
Leyte (ilha),2559474
Bonaire,19021
Galápagos,24522
Hiw,236
Rangiroa,2721
スウェインズ島,17
Hikueru,154
Agios Minas,3
Landkreis Penghu,94708
Skúvoy,51
Эспириту-Санто (остров),41961
Принс-Эдуард (острова),0
Самос,33032
ماديرا,269313
Футуна (Вануату),483
Beaver Island (Lake Michigan),651
Вангероге,928
罗斯环礁,0
فلفلة (جزيرة),0
Zaquintos,36301
Balearen,1159611
洛普德島,226
Кенгуру (остров),4815
Lesbos,90412
Роке-дель-Оэсте,0
Wangerooge,963
Восточный Фолкленд,2426
格陵兰地理,55881
Hiiumaa,8762
Cargados Carajos,66
Grand Cayman,47980
Alor,147335
阿爾斯島,47010
Aitutaki,2162
Taquile,1721
Ист (остров),165
Burhou,0
Isla de Bangka,957221
Lib (Insel),117
Yeongheungdo,4352
Croker Island,290
Ometepe,30790
Kwakéa,24
Rimatara,810
Огненная Земля (архипелаг),121059
Mangareva,1193
Skorpios,5
Alegranza,0
Borðoy,5285
Tåsinge,6633
パンテッレリーア,7788
Isla Uvita,0
Jawa,146008544
"Beigan, Lienchiang",2229
Монреаль (остров),1921752
Oʻahu,986811
Непин (остров),0
Smith Island (Antarktis),0
Isola Ardery,0
Rimatara,930
Pemba Island,407972
Île Anvers,46
Ferro (Canarische Eilanden),10696
Ilhéu das Rolas,196
西比路島,37133
Lidingö,31155
Атокос,0
Hvar (eiland),10572
ファイス島,226
Fugloy,48
Basse-Terre (eiland),189574
Ærø,6340
Swains,16
Puffin Island (Alaska),0
Бавеан,72445
Coche (île),7917
Grand Turk,3505
ショルタ島,1780
バリンタン諸島,0
Принсипи,5068
Buøy,1201
إلبا,33305
Ометепе,30777
Atol Palmyra,4
Tagula,3781
ナヌマンガ島,507
Wyspa Kangura,4321
Mejit,308
Agatti Island,8003
Kotelny-Insel,1
Jabat,103
ロウェット島,0
Île à la Croix,0
Susak,141
Čiovo,5759
Atol Ailinginae,0
Alamagan,0
Kiska,0
Ítaca,3279
Île Laurie,27
Brouton,0
Sipura,17012
Ekarma,0
Signy Island,5
Робинзон-Крузо,898
耶爾姆島,0
Cousin,6
هوبن (سفالبارد),4
Chatham Island,624
Tinos,8871
Al-Muharrak (wyspa),213718
Tubuai,2063
テルナテ島,180212
Питиузские острова,138195
塔古拉島,4033
Parama Island,411
Mindanau,22043075
Saona Island,308
Терсди,2768
Dønna,1339
Южный Андаман,197017
Île Moyenne,1
Saaremaa,30711
Awaji (wyspa),149994
Atollo di Bikini,5
ブトゥン島,427023
Kabara,711
Île Melville (Nunavut et les Territoires du Nord-Ouest),0
Satawal,542
Borneo,20183934
Tepoto (North),60
Guanaja,5493
Ниулакита,29
Gran Canaria,863303
Bayonnaise Rocks,0
Groote Eylandt,1570
St. Martin (Insel),78620
Anziferow-Insel,0
São Tomé (isola),156426
Corn Islands,6716
Муайен,1
Proti,0
Minicoy,10851
Thirassía,298
Мануаэ (Французская Полинезия),0
北极群岛,12889
Edgeøya,0
バウンティ諸島,0
Islote de Lobos (Canarias),0
Wyspa Aleksandra,0
Terceira,55000
阿什角,0
Cameron Island,0
Maui,150256
Bjørøya,0
Šolta,1859
Amini,7034
Islas Exteriores,0
Ist (Insel),171
Santo Antão (Cap-Vert),38521
Maiana,2283
Боа-Вишта (остров),8660
Хайда-Гуаи,5013
Sumba (Indonésie),745930
Isla Alejandro I,0
巴拉諾夫島,8358
Isla Ushi,0
Los Roques archipelago,3
Ha'apai,6865
皮拉米德島,0
مينسينرأوخ,0
Tahiti,171026
Hatsushima,203
Juist,1666
Islas Amirante,291
Geography of Martinique,436671
غينيا الجديدة,12132980
難達群島,0
Ketoï,0
阿魯圖阿環礁,739
Isla Mancera,52
Terihi,0
Wyspa Bougainville’a,172055
Gyali,10
弁天島 (稚内市),0
Brač,13048
Hiddensee,1068
シエス諸島,3
Usedom,71335
馬貴斯礁島群,0
Tasos,12999
White Island (Isole Scilly),0
迪克森島,1109
Isola di Kotlin,45710
Ustica,1378
Pantelleria,7987
Nonouti,2651
Ifalik,507
Isla Nepean,0
ジェソー島,3
Namorik,773
Peleliu,602
ゴットランド島,56460
Hikueru,161
努根特島,0
Holl-Insel,0
Nias,738182
Hao,978
Херехеретуэ,57
Розе (атолл),0
Иль-д’Ар,264
"Grip, Norway",114
Северный Тепото,62
Matua,0
Nordstrandischmoor,22
塔拉瓦环礁,58718
ラパ島,474
Saba,1835
Niutao,543
Isola Boving,0
Hokkaidō,5826963
Sumba (Indonesien),735819
Nuku Hiva,2723
Géographie de Sainte-Lucie,170706
トゥトゥイラ島,49484
Îles Swan,10
Ireland,6354357
Isla Iki,31759
Es Vedrà,0
Trinity Island,0
ステファンソン島,0
奥埃迪克,105
