http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
ArticlesBase,13
Schering AG,25988
Grezzo,58
Milestone (compañía),16
Bombardier Aerospace,22582
Pacific Access,95
川崎重工業,34529
ヘイズ・スペシャリスト・リクルートメント,8062
FirstGroup,118449
日立製作所,365810
Saxo Bank,1351
Agrale,11941
GFI Group,1909
Caleres,12193
Old Dutch Foods,1069
ブラジル・フーズ,112445
Fitch Ratings,1940
スターム・ルガー,2054
大日本住友製藥,7947
Petrof,968
ThyssenKrupp,149534
GGB Bearing Technology,1157
Warner Music Group,3380
Bwin,1651
"Герцог, Фокс и Неэман",264
Enagás,1278
China Resources Vanguard,13769
京福電氣鐵道,901
PrivatBank,0
Cellcom (Israel),7526
Qt Development Frameworks,181
SieMatic,515
Cavalier Corporation,971
三越伊勢丹控股,19957
Selex ES,14874
神華集團,195146
Intelsat,1071
Oliver Typewriter Company,890
Cambridge Antibody Technology,289
セブン-イレブン,40027
Warner Music Group,3693
Id Software,184
Cing,29
Océ,20852
PSION,853
Wincor Nixdorf,8775
Riot Games,976
CBS Films,18
WH Group,67427
Gyldendal,415
Ace Hardware,91423
Uber (entreprise),7310
TeliaSonera,28934
Imperial Chemical Industries,26665
Indra (azienda),37233
Pegasus Airlines,3354
Mitsubishi Research Institute DCS,1818
Opel,35483
Mashable,113
Fibria,17058
ロビンソン・ヘリコプター,1324
FactSet,7095
Satuit Technologies,44
Кредит Европа банк,4704
Cirkle,23
Look (company),509
فياكوم,10104
MSC Crociere,14884
Brightstar Corporation,8956
Cortefiel,10699
Companhia Paulista de Força e Luz,7561
OpenX (company),507
Eaton Vance,965
ESET,1055
Cyrela Brazil Realty,8815
American Airlines,111126
ストアブランド (ノルウェーの企業),2275
Red Bull GmbH,10282
Astellas Pharma,19918
Pronar,1947
Nutreco,10768
KT Corporation,30703
Wells Fargo,250379
ENSafrica,1134
Rhön-Klinikum,37258
MSC Crociere,15615
OGK-3,5461
美泰兒,29587
Hino Motors,22740
Nihon Bussan,30
Barilla,8
Gree,41495
MBH Architects,163
Bharti Airtel,26162
Fox Entertainment Group,11999
Tod’s,2780
Toyota Motor,348179
斯特姆，儒格,2171
English Retreads,6
American Gear Manufacturers Association,10
Mary Kay,4745
MGM Resorts International,56834
Škoda Auto,28609
List of Nintendo development teams,2968
Five Star Bank,618
BenQ Mobile,2848
Klépierre,1189
Australia and New Zealand Banking Group,50721
Eight Inc.,175
Astellas Pharma,18484
Sumitomo Dainippon Pharma,4707
Idemitsu Kōsan,8231
Pride Microfinance Limited,651
Perodua,10777
Nero AG,445
Hy-Gain Antennas and Rotators,79
Uralkali,10822
Citroën,13599
كادبوري,2102
Compass Group,484977
アイルランド放送協会,1995
Zenith Records,4
Israel Postal Company,4960
طيران نيكي,748
Kaspersky,3295
Kao Corporation,5752
シエロ (企業),1278
Next Big Sound,23
Bain Capital,899
Siebel Systems,4788
Imperial Chemical Industries,31865
Jastrzębska Spółka Węglowa,21738
Почта Сербии,15480
Simbin Studios,56
イドロ・ケベック,20923
Entel Chile,4105
Live Nation Entertainment,12567
American Century Investments,1221
The Cheesecake Factory,37904
Mitutoyo,4869
Kwik Trip,13211
Aircastle,109
Knjaz Miloš a.d.,896
コレコ,510
Barilla,8
Tracerco,220
Jazz (airline),4559
Fred. Olsen Energy,1165
Liskom,47
500px,44
Hyundai Motor Manufacturing Alabama,3074
Velcro Industries,2662
الطاقة الذرية الكندية المحدودة,2877
Mobility CarSharing,172
Bunge Limited,35721
Hoffmann-La Roche,78436
Paon (entreprise),129
Behaviour Interactive,365
ターゲット・コーポレーション,382996
ASRock,322
Roke Manor Research,468
Owens-Illinois,22607
Meyer Werft,4794
Sivensa,2874
Amedei,36
FireEye,2985
Psion Teklogix,1231
Bank of Ireland,9572
Conair Corporation,4375
Altri,655
SDL (Unternehmen),4711
Anadolu Isuzu Automotive Industry & Trading,5887
Hybricon Corporation,104
Tabasco (saus),197
Domino's Pizza Enterprises,22615
Shuanghui,63461
Oriental Bank,478
Raiffeisen Bank (Serbia),1935
American Book Company (1996),23
Citizens National Bank (Eastern Kentucky),172
Thrifty White,1769
MIPS Technologies,151
Lucent Technologies,32085
Livechat Software,68
SimilarWeb,308
Earth Fare,2259
BMW,108907
Wittenstein,2040
Bunge Limited,34069
Bardahl,36
7-Eleven (winkelketen),46232
State Street Corporation,33283
Takeda Pharmaceutical,30312
Alexander Schleicher (azienda),118
Facebook,14593
Banco Etcheverría,145
Infitec,23
Tripwire (company),394
H.R. Gray,55
Novelis,11414
Olympus,39044
Vietnam Electricity,112665
Piranha Games,61
Ronimo Games,18
Rhön-Klinikum,39764
Toei,326
Raven Software,163
SodaHead.com,25
Flagstar Bank,2578
Time Inc.,6928
Perusahaan Gas Negara,1288
Damon's Grill,205
Energetický a průmyslový holding,10500
CUBE Entertainment,51
Banco Safra,5248
VZ Holding,691
シュウェップス・オーストラリア,1806
Canwest,11033
Bombardier Inc.,63586
三菱集团,322603
微软,121092
アドバンスト・マイクロ・デバイセズ,7601
DUCA Financial Services Credit Union Ltd.,150
Enel,70992
XMobots,21
Mazda,35462
Kapiti Fine Foods,261
Gorenje,11706
Capcom,2442
Rio Tinto Alcan,76128
AWS Truepower,102
Id Software,209
Bose Corporation,11839
KT (Télécommunication),31756
Kaō,6200
Axios Systems,219
Capcom,2618
Stemilt Growers,1534
Fairfield Materials Management Ltd,7
State Street Corporation,27118
Lowe’s,263939
سي بي إس إنتراكتيف,2154
Mizuho Financial Group,59811
Groupalia,241
Bank of Ireland,10448
Riot Games,941
BMW,110690
COSI Columbus,197
コスモ石油,1767
Haiku Studios,11
Discovery Communications,7393
Cadbury plc,77405
ノリリスク・ニッケル,104907
Warner Music Group,3950
Allegis Group,8937
Postlethwaite & Netterville,756
Phase One,324
Ferrovial,65572
Cosan,41976
OPI Products,490
Artland,44
Ontario Power Generation,9627
Transmeta,25
Postnord,42028
Brüel & Kjær,1114
Morris Air,1914
بوميس,9
Oriflame,7881
BBC,19567
Viacom,10428
Türkmengaz,26137
Seznam.cz,921
Aerostich,99
Elia (netbeheerder),856
Marvelous Interactive Inc.,172
Villeroy & Boch,8075
Grob Aircraft,285
CK Hutchison,236883
Fiat Industrial,63798
Grupo PRISA,15765
"Ryan Companies US, Inc.",598
SUNeVision,158
New World Computing,93
Onkyo (merk),2085
Lycos (portail web),64
شركة أكسل شبرينقر,15159
LS Cable & System,9394
Banco Português de Investimento,7823
Coleco,563
Toyota Peugeot Citroën Automobile,3032
Viscom AG,376
Nexans,24667
工業技術研究院 (台湾),6030
Gio-Goi,49
Malibu Boats,610
ZyXEL,2131
Dynamo Sports,11
AET (company),2535
Epcos,24147
BTicino,3309
アミューズ,202
Mission Network News,5
Gigaset Communications,1425
PPG Industries,40502
Ingenious Media,205
Accident Fund,716
Wilderness Scotland,15
Hays (Personaldienstleister),9426
Nichia,8541
Alabama National BanCorporation,1745
PopCap Games,403
Peugeot,208165
Goldstone Tires,67435
Gameforge,408
Marfin Investment Group,13312
Nordea,28692
Telecom Éireann,13668
Volkswagen,604
Polycom,4285
Goldwind,5011
Hyundai Motor Company,106775
Bic (entreprise),10234
ブライトスター,9142
Gold Fields,48600
Mobilitec,77
Bain Capital,925
Gainward,18
Hoffmann-La Roche,78530
Istrabenz,4541
OpenDNS,214
MACTEC,3053
Long John Silver's,9284
Harley-Davidson,5672
Buck Knives,324
Bosphorus Cymbals,19
Bain & Company,6138
Wittenstein SE,1771
Société nationale des chemins de fer du Kazakhstan,167125
Adobe Systems,14083
Arion Bank,1195
Global Bank Liberia,71
Midcounties Co-operative,8511
Nissan,137947
安達集團股份,21593
Coca-Cola Amatil,14069
Saria Bio-Industries,4220
红蜂媒体,2527
Texas Emerging Technology Fund,8
Oracle,134754
Bodum,458
David's Supermarkets,575
Dongfeng,161493
Jerry's Foods,1922
Oliver Wyman,3599
Nokia,116007
ダイムラー (自動車メーカー),267990
Digital Equipment Corporation,145526
Western Union (bedrijf),6402
Shell Australia,1056
Glitnir (banque),1963
Schering AG,26573
Automatic Duck,4
Equistone Partners Europe,44
RealNetworks,954
Dangote,23751
Eset,916
Engie - Electrabel,7957
Fitch Ratings,2174
Z8Games,45
E.ON UK,15920
Metrovías,4365
万代南梦宫娱乐,1009
Blue Yonder Aviation,3
Brisa – Auto-estradas de Portugal,2660
21st Century Fox,19115
Saab,14882
Georgia Tech Research Institute,1780
VTB,87
Piedmont Airlines,5021
Valor Security Services,7118
BenQ-Siemens,2794
Imperial Chemical Industries,27211
Nintendo,5504
Western National Bank,150
日本政策投資銀行,1067
エイトインク,178
三星火灾海上保险,5644
Chipotle Mexican Grill,42991
Crescent Capital Group,151
Glitnir (banco),2053
Automobile Dacia,14537
Foursquare,203
Bega Group,8767
HS Produkt,2052
Groupon,9431
Firefly Studios,25
TDC (Unternehmen),9148
سوق.كوم,2264
Škoda Auto,27474
General Electric,270758
Fábrica Argentina de Aviones,1408
Sector3 Studios,47
RealNetworks,1065
Centenary Bank,1813
NQ Mobile,1868
Private Media Group,36
500px,41
500px,46
MGM Resorts International,57066
LucasVarity,49030
IMG (company),2919
Stream Energy,226
Mieschke Hofmann und Partner,1494
Servpro,472
Fox Entertainment Group,11327
Henry Schein,18614
Howaldtswerke-Deutsche Werft,2161
Victorian Curriculum and Assessment Authority,211
Apple,125324
オペル,35613
康泰旅行社,1156
Daume,24
Imagi Animation Studios,420
KUKA,12129
أدوبي سيستمز,15534
Seibu Tetsudō,3254
松井証券,120
Energie atomique du Canada Limited,2910
福兰媒体集团,1042
Hochteif Concessions,223
Esoko,92
MullenLowe Profero,580
WiQuest Communications,122
Pinnacle Foods,3987
Jimdo,218
Netflix,3220
Ascension Health,137865
Monte dei Paschi di Siena,25596
Toyota,374386
Wyndham Worldwide,29263
EMS (pharmaceuticals),4235
Bandai Namco Games,933
Westmalle Brewery,23
EA Canada,1226
Ceccato motorcycles,628
Oroton,917
Hitachi Maxell,4229
Tyco,71246
EvoBus,13139
Mashable,110
صن ميكروسيستمز,37519
Krones,11434
Wockhardt,8408
Bankrate,394
美國滙豐銀行,42767
FBR Capital Markets,265
RCN Corporation,1477
Bic (компания),10228
Raven Software,158
Short Brothers,4929
Coop (Schweiz),71704
Ingredion,9636
Keimfarben,468
Oji Paper,30164
Agrale,12432
Environics Communications,130
Boeing,163128
BDO (audit),63114
Cosmo Oil Company,1739
ロート製薬,5600
Niki Luftfahrt,738
Wattpad,89
NIIT,2429
Aston Martin,1361
Gehl,521
DPL Inc.,1547
Bankinter,4
Target Corporation,371654
Buyer's Best Friend,42
E-Trade,3265
Telelogic,1229
Cascades (company),12961
Blizzard Entertainment,4490
Grezzo (videogiochi),58
Heckler & Koch,659
Morgan Stanley Wealth Management,18900
Sofradir,526
GFI Group,2062
DelSolar,709
Venture Stores,10596
EasyJet,9200
Muxlim,7
漫步者,3136
Edison International,15671
Tidewater,9327
LG CNS,11033
Sol Meliá,38932
Technip,35396
TE Connectivity,67524
Lionbridge,10544
Norddeutsche Landesbank,6077
NOVA Greece,325
Focal-JMLab,208
住友精密工業,1784
19 Entertainment,111
Little Tikes,462
劲量,6051
DNB ASA,12536
Vyatta,53
ポリゴンマジック,188
هوندا,200871
MRV Engenharia,6122
Sun Microsystems,36124
Eidos Montréal,494
Allaire Iron Works,1764
Union Bancaire Privée,1479
維亞康姆,10178
Televisa,22591
CrossRail Benelux,30
Robinson Helicopter Company,1336
Metrovías,4169
苏格兰银行,20237
Oi (Unternehmen),18034
Madhya Gujarat Vij,9065
Invictus Games,53
Astarsa,1518
Deluxe Corporation,5727
Diamond Offshore Drilling,3511
Yara,12457
FSC (autofabrikant),2745
Endesa (Chile),2275
Japan Transport Engineering Company,1220
The Pokémon Company,378
ヘリーハンセン,628
Fulcrum Worldwide,959
Cessna,8130
Tōhō,1929
Chunsoft,73
Lancaster Laboratories,1245
Harris Corporation,23015
Realex Payments,179
Sun Chemical,7786
Eletrobrás,24016
Anixter,8138
Ikea,162777
MetroLyrics,10
Toho (filmstudio),1841
Издательский дом ИДР-ФОРМАТ,374
Denel,8477
Bank Mendes Gans,147
Ametek,13640
Altria Group,9632
Zwitserleven,7689
Soitec,1234
Polygon Magic,153
Extreme Pita,1803
Fox Brothers,21
ブルーナイル (企業),301
CodeWeavers,33
Oando,1009
Ascom (company),1847
Nortel,19
Politico (quotidiano),289
Mandarake,159
アレキサンダー・シュライハー,119
Ecology Building Society,25
Powszechny Zakład Ubezpieczeń,15067
Energizer,6284
Moxie Software,221
فيليبس,96586
Bain Capital,904
South Jersey Industries,640
Würth,67946
1E Efficience IT,261
Sanzaru Games,63
阿伯蒂斯基建公司,17029
Müller (entreprise),28247
Esse stoves,89
Reynolds and Reynolds,3940
Triotech,100
National Computing Centre,532
Toyota,341541
Brasil Kirin,9297
فورسكوير,173
Fraport,21388
Banco Etcheverría,145
Benetton Group,8424
ディッシュ・ネットワーク,17252
Nova (platforma cyfrowa),319
Осем,4709
SCE Bend Studio,98
アルテアエンジニアリング,1536
Cumerio,4
Thermaltake Technology,444
Triad Securities,34
Glencore,104983
Rural Electrification Corporation,632
Takeda Pharmaceutical Company,29835
EA Canada,1318
Mattel,33531
Johnny Cupcakes,31
扶桑社,182
Parrish & Heimbecker,1352
A.S. Watson Group,110985
Red Hat,10248
Spotify,1507
Companhia Zaffari,9704
Pepperstone,109
ETX Capital,90
ABA Games,1
Telenor Srbija,1128
Steorn,17
Red Link Communications,483
Allianz,147718
Psion (company),973
Gertrude Hawk Chocolates,555
ゼネラルモーターズ,241346
Evoma,136
"Trailer Park, Inc.",553
Benetton,7576
Zastava Arms,2317
MSC Software,1260
بليزارد إنترتينمنت,4758
コレクションズ・コーポレイション・オブ・アメリカ,18393
Bodum,478
Avebe,1306
Yarrow Shipbuilders,2903
Polycom,3728
Rostelekom,182636
Thermaltake,539
SDL International,5164
Coca-Cola Amatil,14228
Abu Dhabi Media,1652
Sindicatum,91
Safeway Insurance Group,522
Aera Energy,1293
American Electric Power,17347
动视,3608
Steve Jackson Games,46
MTN Syria,1402
Kalypso Media,108
Vinci (Unternehmen),195241
Bloomberg,20052
Lionbridge,8912
Lonrho,3278
Taser International,524
Subtv (UK),19
Promise Technology,458
Road Ranger,1101
Pošta Srbije,14808
Corrections Corporation of America,16020
Lucas Bols,26
Caterpillar,122380
ACE Limited,17850
Piranha Bytes,24
Sony,129
Deutsche Flugsicherung,6045
雷達錶,542
Tengelmann,74315
Nine West Holdings,5744
G&K Services,8047
Austin Ventures,56
Dongfeng Motor Corporation,155092
Motala Verkstad,216
Seibu Railway,3588
TCL Corporation,75766
Atomic Energy of Canada Limited,3158
Harley-Davidson,5929
إيه في جي لتكنولوجيات,1748
The Hong Kong and China Gas Company,2249
EquaTerra,316
QR Limited,6379
E4グループ,16189
東横イン,7693
Bain & Company,4974
United Continental Holdings,87668
Barilla Group,8
Tamedia,3491
Maule Air,36
Tramway de Kyoto,821
エフ・ホフマン・ラ・ロシュ,94005
EA Canada,1378
Nynas,762
AVG Technologies,1949
بورلاند,1140
Essel Group,10707
Cube Entertainment,53
フィールプラス,74
香港中華ガス,2418
小学館,799
Pirelli,39405
EasyJet Airlines,10574
Capvis,19
Industries iraniennes de l'électronique,1542
Toray Industries,46907
هارلي-ديفيدسون,5300
Elia System Operator,1059
Ernst & Young,250279
Mint.com,35
لايكوس,72
The Grasshopper Company,319
Meritech Capital Partners,18
Washington Mutual,49908
Syniverse,2706
Equistone Partners Europe,43
Oji Paper Company,29499
Tsubakimoto Chain,6390
Nintendo Software Planning & Development,61
AOL,5960
PopCap Games,430
Thermaltake,542
Fraport,20576
GlobalSpec,187
Frontiers (uitgeverij),136
Garanti Bank,17620
TE Connectivity,63318
Carlyle Group,1513
A. Lange & Söhne,505
BenQ-Siemens,2890
Siebel Systems,4958
Burger Boat Company,337
花王,5647
Nevada State Bank,859
Atomics International,9719
XO Communications,3307
Radwin,275
Extra (supermarket),9725
U-Right,414
Gainward Technology,19
Chartered Semiconductor Manufacturing,4775
Detroit Diesel,2407
Eletrobras,24014
OmniScriptum,77
BTicino,2802
Entel Chile,4339
@Home Network,1377
Bauer Group,11125
CMA CGM,20694
Raidió Teilifís Éireann,1767
EF Education First,39826
Chipotle Mexican Grill,45003
Nova Grecia,337
LifeWise Health Plan of Oregon,262
Mary Kay,5644
Olympus Partners,20
Canadian Information Processing Society,2
Chelyabinsk Tractor Plant,12848
Sparkpr,57
ST Engineering,21329
Arika,49
Villeroy & Boch,9619
Parexel,17551
Hydro-Québec,19461
Harley-Davidson,6565
川崎重工業,33928
Idemitsu Kosan,7200
جاكو (شركة ملابس رياضة),170
Técnicas Reunidas,9765
Clipper Magazine,1316
Related Designs,50
International Watch Company,266
Ericsson,121174
Aker Arctic,47
Sowind Group,252
Moritz (bière),110
Cing,26
Nissan,139417
GGB Bearing Technology,984
贝恩资本,863
アズダ,199471
Bic (company),10509
Lagardère (entreprise),25372
Lubrizol,9324
SEAT,11984
Nortel,19
Bombardier Aerospace,26443
Wincor Nixdorf,9015
Kaspersky Lab,3393
Alawar,345
Taiheiyo Cement,13831
Holden (constructeur automobile),3302
Sankalp Semiconductor,499
Laboratoires Servier,21377
龐巴迪公司,63298
Sanzaru Games,66
Unipetrol,3290
ゾディアック・エアロスペース,28473
Kanbawza Bank,1965
Dean Markley USA,20
奥利弗打字机公司,962
Lockheed Martin,136347
Capybara Games,24
Cochin Special Economic Zone,14957
Elia System Operator,1292
Onkyo,2067
نيتف إنسترمنتس,414
Nissan,149985
Visionary Related Entertainment,62
Meyer Werft,5490
Auto-Owners Insurance,3956
バシネフチ,8879
レゴ,14468
Lowe's,242364
Axel Springer SE,14317
Id Software,183
OnePiece,55
阿提哈德航空,21043
Telefónica,123551
Mizuho Financial Group,57705
AVG Technologies,1650
Abbott (entreprise),70296
ホーンビィ,205
ديسكفري كوميونيكيشنز,6971
Storebrand,2235
Western Union,7504
CBA (distribution),29912
Gehl Company,462
United Airlines,85343
Piedmont Airlines,5438
Piranha Bytes,28
WestJet,14606
Fitch Ratings,1998
Mammoet,3505
Tanzania Ports Authority,3478
A.S. Watson Group,111032
Shenhua,199727
大日本住友製薬,7556
FactSet Research Systems,7234
Trust (Unternehmen),236
Каменск-Уральский металлургический завод,3785
Allianz France,28956
Gimlet Media,68
Mumias Sugar Company Limited,1736
Teijin Aramid,1340
Vanity (clothing),1842
Hanza Media,1914
Extra (Handelskette),10851
Toyota,371543
Spark New Zealand,4853
Mondeca,23
Claas,9424
Raidió Teilifís Éireann,1773
Groupe Safra,28987
SOASTA,265
Abertis,15589
TechniSat,2454
ZyXEL,2248
Wells Fargo,260909
雅科,154
Edutech,267
沃倫貝格工業,3004
Wells Fargo,247028
カバ・グループ,7046
CMA CGM,21081
WestJet,13538
General Electric,322725
華納音樂集團,3578
イー・トレード,3625
Siebel,4531
Corrections Corporation of America,17771
エドウイン,377
IBM jStart,26
Chunghwa Telecom,26807
Procter & Gamble,109458
Perfetti Van Melle,17593
EPCOR Utilities,2146
Alvarez Guitars,704
Bank of the Philippine Islands,13387
Artech Digital Entertainment,61
SimilarWeb,310
Air New Zealand,9497
ASRock,296
Boeing,140808
The Co-operators,4958
Banca Popolare di Milano,7352
LG Display,50598
ولز فارجو,272139
Polycom,3642
MPM Capital,29
Ritek,3400
イーストマン・ケミカル,13585
ジェットアジア・エアウェイズ,433
Lonrho,3300
Discover Financial,11830
Core-Mark,6598
Stadler Rail,5943
