http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Tuxcacuesco,3676
Karnaprayag,6958
Narasaraopet,117224
Sancoale,15035
Mustafabad,8402
Daugai,1616
Añora,1489
拉坎帕纳,4825
萨拉曼卡,232594
Vadia,4536
Шехр-э-Пир,6638
Limla,6933
Bikapur,13044
Nurmahal,12846
Stebnik (Ukraina),19714
巴鲁伊胡达,9413
Tottori,181059
拉迈,3941
Chandapur,5019
نظر كهريزي,1168
Manglaur,83935
Mayang Imphal,23971
San Diego de Alejandría,6412
Wolnowacha,23775
"Tempoal de Sánchez, Veracruz",12020
Molakalmuru,12812
Diego de Almagro (Chile),14929
Leova,9807
Khatauli Rural,9544
Tursunzoda,37343
Villaharta,788
Florești (Moldavia),15903
Sundargarh,48045
Montemorelos,50636
Mucuri,33410
Rayachoti,123920
Буский повят,69804
برينسفيل (كيبك),5766
Khowai,23209
Lakarka,6532
瓦尔扎甘,3292
Рудрапраяг,2117
Maheshtala,395040
Maheshtala,412827
Belagachhia,4879
Bojarka,34989
Kiryū,117713
Rushan,550517
Chincholi,20196
Aïn Draham,34706
雷濟納,13864
Carrión de los Céspedes,2313
"Tikri, Uttar Pradesh",13762
San Ramón de la Nueva Orán,90030
Bhanvad,23968
Sirik,3629
Sufian,7767
Kudamatsu,52288
Dharchula Dehat,4120
Lehragaga,22608
Summerset,1915
Kalmunai,112445
Garian,182781
Opština Šuto Orizari,15871
"Nobeoka, Miyazaki",142706
Caivano,40441
苏高利,35955
巴瓦尔,27350
Khrystynivka,18169
Azadshahr,39130
Ashikaga (miasto),166791
Kichha,30662
Uenohara,22820
Arauco,38295
Dalkhola,69659
足利市,146880
Sailu,46951
Amlash,14277
Narkatiaganj,46988
金沢市,498716
Kotkapura,83958
غوراب زرميخ,4229
Vyara,42043
Surajgarha,307511
Ranirbazar,17916
"Plessisville, Quebec",7187
乔穆汉,12306
Taixing,1186039
فوينتي أوبيخونا (قرطبة),4648
Kaptanganj,11949
莫雷利亚 (卡斯特利翁省),3008
Karad (India),85712
Chibougamau,7308
Noorpur,41850
Waldshut-Tiengen,24993
Tottori,183221
引佐町,14829
Polasara,21821
Kodala,12910
Koshksaray,7953
Katghar Lalganj,613141
شيمبارونغو (تشيلي),34099
Komaki,144534
Chust (Uzbekistan),58776
Clement Town,20565
Treguaco,5797
Dhandera,16472
Imabari,169989
Raichur,209092
"Johns Creek, Georgia",69602
فولنوفاخا,24575
Uenohara,25666
Faizganj,11094
Švenčionys,4940
Minneapolis,356349
Haifa,288394
Avola,28630
Ramian,12467
普拉恩蒂杰,23819
Jhalu,16998
高松市,418393
德沃萨尔,9260
Harij,17265
河仙镇,39255
Chimbarongo,36082
Vergara (Uruguay),4047
Casimiro Castillo,18364
تيروبور,821687
Jōetsu,193990
Dniprorudne,18818
إواكوني (ياماغوتشي),125705
Micomeseng,5832
Naâma,7790
新米爾霍羅德,11343
港北区,329693
达达帕特纳,4590
Kahla (Turyngia),6638
カズルー・ルーダ,7078
Jalalpore,18065
卡茲盧魯達,7337
Karn Prayag,6449
拉拜库迪卡杜,11602
拉杰纳加尔,10963
Montalto Uffugo,17674
Muni Ki Reti,8103
Ивакуни,144713
Nasukarasuyama,30537
雲博,103308
Azizpur,11047
Basaria,4121
Alcaudete,11131
General Carneiro (Paraná),15402
هاجرستاون,37332
سلامنكا (المكسيك),252097
ラートゥール,375039
Chongzhou,630277
Таканек,5651
楠德杰,8024
Bolonia,356690
"Urban water management in Bogotá, Colombia",7
フエンラブラダ,183198
Sholavandan,19544
Pratapsasan,11079
Razveh,4808
Musafirkhana,7569
Aqsu (Pawlodar),66312
Kolar,136152
Bereket,26921
Parvat,18623
穆库里,39778
Sotunki,578
Namegata,35807
Khomam,19201
Khariar,15797
"Shirvan, Iran",91869
Montizón,1682
"Inabu, Aichi",2792
Pehowa,35590
Phaphund,13660
貝爾加拉 (烏拉圭),3930
Mayang Imphal,27179
Хуалянь,116373
Guliaipole,13596
Uncha Siwana,10574
Maheshtala,429735
Днепрорудное,20809
Teocuitatlán de Corona,9640
Tchoust,64906
Szamocin,4196
Jiexiu,377630
Tachikawa,183850
Aksu (obwód pawłodarski),73758
Metepec (gemeente),177678
Taltal,10137
Maebashi,372980
Sandi,24062
Jiexiu,325421
Gyōda (Saitama),79859
Bajva,8850
"Rajpur, Baroda",3523412
Naoriya Pakhanglakpa,6276
Tsuchiura,148743
Райчур,243147
كاراهيو (مدينة),28031
Kustai,13796
Мачали,39752
Aizu-Wakamatsu,124395
弗洛雷斯塔尔,6232
Agrestina,24459
Jafrabad,25060
Mulchén,27061
Koilwar,18041
Могилёв-Подольский,31743
Динчжоу,1213328
卡尔恩普拉耶格,6418
Sarajevo Oriental,76761
Savarkundla,76008
大鹿村,1236
Guarenas (Venezuela),197136
Lora de Estepa,746
Gaozhou,1352978
塔爾塔爾,11791
Aweil,32272
Gularia Bhindara,6834
غاليكش,18930
"Bilaspur, Gautam Buddh Nagar",7125
Itaparica,21624
General Alvear (Mendoza),29688
Visavadar,15904
科利普利,24247
Kumagaya,195406
熊本市,792449
Bhawanipatna,74480
Dehdez,3442
Bangura,5398
科亞卡科,311214
Suzano,251528
Ashta,55300
Kusunti,15162
Sholavandan,23598
甘德维,15393
Maebashi,324580
Lakarka,6867
Dahegam,44263
Shahapur,10936
欧弗利 (北达科他州),19
"Safiabad, Khuzestan",7035
塞克迈巴扎尔,4560
Belalcázar,2433
皮恩乔雷,35710
奇霍塔乌代普尔,25936
Panipat Taraf Rajputan,20496
Songadh,38410
بوينت وينتشر (تكساس),741
Kingsey Falls,2156
Rewari (Rural),4767
多拉,7898
维萨瓦达尔,16799
Bromont,7363
拉明 (胡齊斯坦省),14853
Yumbo,89312
وراوي (فارس),3945
Kanazawa,417726
Ghatampur,35348
Venturosa,14351
Bandia,8052
Nambol,16747
帕爾薩巴德,83366
Villa Purificación,11035
"Kuroshio, Kōchi",14373
Chincholi,20632
Lakarka,6703
Salehabad (Razavi Khorasan),8313
Jhalda,18095
Guirim,6604
Antracyt (miasto),49240
Касгандж,110339
Tokushima (stad),296572
Curaçá,30701
"Ij, Iran",5930
Jharia,83533
Nurmahal,13494
حيفا,269172
Nagano (stad),391824
Mahroni,8468
Geniczesk,28074
"Niyodogawa, Kōchi",7160
Piplya Mandi,12366
Tindwari,8545
"San Buenaventura, Chihuahua",7079
شيموتسوكا (توتشيغي),55443
María Elena (Chile),4686
Zogbodomey,72870
Hadiach,25154
穆尼基雷蒂,7213
Sedeh Lenjan,18345
Kotwa,10729
Ramyan,12989
برزك,3187
Dehram,3057
"Allapur, Uttar Pradesh",22916
Ube (Yamaguchi),197535
Kasganj,103996
Pokrovs'k,59376
Malkangiri,31015
阿尼奥拉,1474
Curacautín,16066
كوداماتسو (ياماغوتشي),55210
San Antonio de Padua (Buenos Aires),35165
Ботоу,545326
FRI and College Area,15775
厚木市,212029
Ahualulco de Mercado,21306
Okha Port,20360
غل تبه (همدان),1875
乳山市,540022
Kitakyūshū,1075658
ハーデャチ,26287
Beitun,79713
Matsue,196931
Kailudih,9012
آب بر,4895
Olavarría,119419
Beyarjomand,2051
Сундаргарх,45806
ボローニャ,354190
Gulaothi,40951
Tsukubamirai (Ibaraki),51240
图尔贾普尔,33067
薩拉曼卡 (瓜納華托州),258467
Kachnal Gosain,4601
Xinle,450666
Surubim,62206
فوسامبو سور لو لاك (كيبك),1529
Maswasi,14497
Ranipur,17998
アルコルコン,181146
Daugai,1554
فالبوي,6833
仁淀川町,8145
Chhaya,38946
Antrazyt,47729
Tirumakudal-Narsipur,11108
Chillán Viejo,31784
Chhatral INA,1667
Maswasi,17206
Villarrobledo,27485
Sawahlunto,63686
Udaipura,14560
Songadh,45329
Nezahualcóyotl (ville),1222130
Корияма,340957
Sundar Nagar,30551
Pilar (Buenos Aires),1
Jhusi Kohna,15480
Ōtsu,334891
Alcorcón,171684
Tiltil,14479
Chitbara Gaon,17709
Kawnpui do Norte,6948
Kshidirpur,8643
Orocó,13362
Pont-Rouge,9453
Mansa (Gujarat),34465
利亞哈維奇,11581
Hlobyne,10337
Heriok,2652
Starokonstantynów,32559
Rashidpur Garhi,6201
Villa Corona,15465
扎拉賽,7880
市浦村,2460
Lambha,17020
尾上町,9433
阿尔考德特,10600
大崎市,136587
Zhydachiv,10673
乌特兰,12691
Suchindram,11340
アナニンデウア,471886
Tuljapur,34932
"Аксу (город, Павлодарская область)",77143
Olavarría,108200
Maham,18968
Amami,44660
Самбалпур,359389
Tanna (Thuringe),4257
Araioses,39922
Kevadiya,13474
Nobeoka,131686
平舘村 (青森県),2157
坎奇拉帕拉,126921
"Morella, Castellón",2991
Сабанг,29895
Franklin (Wisconsin),35355
Rudraprayag,2287
Molina (Chili),38639
Kathera,5758
Nagano,402841
Sankarankoil,77586
Jagadanandapur,19816
博里亚维,42429
Mohanpur Mohammadpur,10666
Techaluta de Montenegro,2929
Itaituba,102615
Colonelganj,22116
H̨awţah Sudayr,30950
Carrión de los Céspedes,2690
Zawlnuam,2896
Machalí,42787
Ambala Cantonment,54134
Kalejbar,9381
Modelo,3516
Dadhapatna,4758
Hodal,78094
马尔瓦尔均奇蒂奥恩,11034
曼特城,104053
Gunnaur,24916
Harij,20407
斯哈赫甘杰,24606
Acayucan,95501
Gomishan,15926
Panipat Taraf Ansar,28047
Makhdumpur,31656
埃舒,28443
Sawahlunto,60815
奇尔库恩达,51084
沙赫喬爾斯克 (烏克蘭),47466
Dhrol,26070
غيودا (سايتاما),83514
Sarapaka,17215
Геническ,26748
بيش قلعه,1689
بازار جمعه,3646
Bajpur,24848
Kotwa,11461
Вернамхваст,17479
赤壁市,548663
تاكاوكا (توياما),179330
Tanakpur,36595
Пенко (Чили),48679
哈尔道尔,20268
سمرسيت,1943
Jaspur,52061
Berezan,15848
Kodigenahalli,13779
Takamatsu,421585
"Saint-Joseph-de-Sorel, Quebec",1846
Bridgeport (Connecticut),144206
Ganj Dundawara,43468
Ла-Флореста (Уругвай),1516
Khailar,12048
Jalalpore,16344
Loudi,3444079
Pachperwa,14649
Coelemu,14890
"Hussainabad, Jharkhand",36745
奇基蒂,10330
Narkanda,2444
Viamão,242934
Brjanka,44975
دافلويفيل (كيبك),1014
Jingjiang,730168
Villa del Río,8239
Нушабад,10940
曼恰尔,21446
Khagaul,48570
Sviatohirsk,4504
Duyun,503997
Хебибабад (Исфахан),8611
El Quisco,11008
Bablari Dewanganj,6521
Kannad,40493
L'Île-Cadieux,96
Sanvordem,4605
Наягарх,17024
"Gangapur, Sawai Madhopur",417984
穆德加尔,18659
貢薩萊斯卡坦,183843
Minmaya,2437
Tabacundo,5912
Gauribidanur,83496
Salamanca (Guanajuato),266054
Shahganj,25228
Kot Kapura,99573
Chimbarongo,37490
Vayqan,3959
San Francisco (Córdoba),59080
Sukhrali,10104
布里安卡,49977
Bhagatdih,34082
劍町,11170
Tetiiv,14242
Venturosa,16072
Bansi,95980
Sundergarh,49046
Raman (India),45395
Kuhsar,7488
Atengo,4825
Mahaban,8529
Nandej,7233
Andahuaylas,31019
Dharmanagar,50645
Kurgunta,9193
Chivilcoy,53272
Sefrou,63133
Pandavapura,16731
库拉奥利,19273
Huangshi,2501951
Мирноград,48633
拉姆普拉普尔,49064
科特卡普拉,87163
N'Dali,65501
Belpahar,37445
Municipio Villa Corona,16860
Lora del Río,19980
Chaumuhan,12429
El Hajeb,24543
Dumai,253916
班西,88908
Kahla,7143
Tlajomulco de Zúñiga,28900
Sari,292850
Harnaut,193166
Maebashi,319907
ルサカ,1737771
索基里亞尼,8797
Varavi,4043
Challakere,51805
Khatiguda,5754
كيسارازو (تشيبا),138233
Sitarganj,152302
Dhaunsar,9487
"General Alvear, Mendoza",29700
Nadigaon,16973
Kantilo,9142
Rafah,137322
Songadh,43201
L'Île-Cadieux,96
Chitbara Gaon,20507
عتق,40435
Вилкавишкис,11743
Berezan,16786
Aistala,18569
米科梅森,5184
Carmelo (Uruguai),18165
Даран,17862
Gorontalo (miasto),204376
بهاران شهر,11437
Bansdih,21650
"Ranipur, Uttar Pradesh",16631
马克塔姆普尔,10425
加雷齊亞丁,21275
Khamaria (Sant Ravidas Nagar),29720
Chincholi,19894
"Hōrai, Aichi",13865
Los Palacios y Villafranca,35588
バタンバン,143346
Parcem,4027
Gangaghat,80318
Obilić (Kosovo),21461
Kenduadih,8857
Tocuyito,188743
فيلا ديل ريو (قرطبة),7743
Huejúcar,5052
阿恩达达,12327
Kevadiya,11547
Kisarazu,137721
Añora,1644
Kishtwar,15534
Mikomeseng,5531
Tekmal,35615
"Yonago, Tottori",152991
Beauceville,5877
Maheshtala,482066
Shimonoseki,294714
格尼奇斯克,26849
Municipio Metepec (México),213625
Zhashkiv,13079
Penco,45423
Sausar,28605
ヴィリノヒールシク,22758
Malekan,26159
Cauquenes,37988
巴瓦尼凯拉,18883
Fuente Obejuna,5665
Jalda,11849
Sa'adabad,7783
Chikiti,11751
Fatehgarh Sahib,47876
Cauquenes (Maule),36740
شادي كوف,2764
Abdanan,12229749
Tokushima (cidade),267226
Barika,96179
Makarba,19163
سردشت (هرمزغان),831
艾因烏塞拉,128402
Fatehpur Chaurasi,5279
Zarasai,9026
Navagam Ghed,40074
古伊里姆,7144
سده لنجان,17877
Reasi,36406
Amacueca,4717
佩爾沃邁斯基 (盧甘斯克州),41631
Gródek (obwód lwowski),14607
Ciudad López Mateos,485250
小泊村,3898
Bagasara,29726
Distretto di Busko-Zdrój,81744
Гольшехр,10851
行方市,35218
Ordnance Factory Itarsi,10861
Randers,59034
Naama,7643
宁格托乌孔格,9457
上毛町,8621
Lota,47740
Aizuwakamatsu,128686
Mahaban,9180
Odawara,195745
Chhachhrauli,10408
Prantij,21507
ビールガンジ,229060
Cupcini,9104
Bawani Khera,18828
坎蒂洛,8782
صالح أباد (همدان),7970
"Kalol, Gandhinagar",118753
Jhinjhak,42874
Bahuwa,9088
芒格阿尔韦德,20969
Damnagar,16996
Deorikalan,4154
Uffenheim,6277
Sokyrjany,9795
Udaipura,13395
林格苏古尔,35880
Saint-Marc-des-Carrières,2803
Chrystyniwka,16583
黄石市,2346440
Ghatampur,35810
Bidhuna,25122
أفولا,32510
Overly,18
Toyohashi,377877
Anshun,2292276
Karn Prayag,7318
Chomarlu,1153
Kailashpur,10502
St. Anthony (Minnesota),9281
"Masty, Belarus",18173
Kurume,299399
鳥取市,189423
Now Kandeh,7519
Ishigaki (Okinawa),53195
Udaipur (Rajasthan),422917
Cẩm Phả,180833
Ciudad Mante,117677
Nanjō (Okinawa),43440
Gauribidanur,81778
奇恩乔利,23970
Лагуат,130177
南丹市,35676
毛达哈,40097
卡緬卡,12442
Lamshang,6770
Nasrabad (Esfahan),6419
Siguatepeque,69382
Salempur,125150
哈里杰,18792
Ituzaingó (Corrientes),23648
Beniganj,8475
Catió,8594
乔尔瓦德,23351
卡洛尔 (古吉拉特邦),138521
Xianning,2744881
Kajovka,39789
奇哈普拉巴塔,25180
Ateli,5382
伊奇奇哈波尔,8648
天間林村,8046
普斯罗,83776
Kumagaya,193629
Shahganj,26341
Kundalwadi,15910
لوبيرا,3648
"Orán, Salta",80265
Mingora,221749
Randers,66211
Sadaura,12140
Andacollo,9699
Garian,167607
Villamartín,11629
Zeyarat-e 'Ali,3327
هوفا (ياماغوتشي),127512
Jevargi,18308
Bablari Dewanganj,6476
Ma'mulan,7751
代比德,21727
Sarí,235634
"Rani, Rajasthan",14768
Thirupuvanam,15979
Parola (India),30315
Nakhon Sawan,120502
Nawabganj (Gonda),18429
Bijni,14572
La Manzanilla de La Paz,3891
Neginshahr,7839
إسلام آباد غرب,101682
Malekan,24955
Talne,14280
Tang-e Eram,3279
Tokushima,241474
Kerakat,15447
Smarhon’,33445
马尼克普尔萨尔哈特,14126
Siguatepeque,73434
Ituzaingó (Corrientes),22219
Danzhou,978620
Bhiwadi,109211
Nili,19926
Jhalu,17150
فرانكلين (ويسكونسن),32694
Иидзуна,11213
Shahrabad-e Khavar,1523
Rashidpur Garhi,6652
Sjachtarsk,52075
Katghar Lalganj,636041
Sadaura,12907
General Roca,92172
Барика,105923
钱帕蒂亚,22250
Penco,45756
上德尼普羅夫斯克,17675
Асикага,153571
Salas de los Infantes,2019
基恰,32556
Candon,60069
General Carneiro,12458
Hōfu,111902
Villa Ángela,39871
Sewalkhas,18667
贾姆乔德普尔,20176
Chhatral,1730
"Misakubo, Shizuoka",3084
Tilpat,5656
Khaliapali,5593
Kumarghat,15438
索龍 (印尼),209625
Kalateh Khij,5325
Zibashahr,8964
Vilkaviškis,9948
樺甸市,437013
Anklav,18377
北卡拉斯,6880
Colina (Chile),87286
"Río Tercero, Córdoba",53071
Ciudad López Mateos,533143
Буин-и-Миандешт,10757
Маулвибазар,42380
Waldshut-Tiengen,23842
Goldaszt,23718
Ujhari,19420
Graneros,27195
ジャンビ,510286
Mukrampur Khema,11087
城山町 (神奈川県),22039
Koupiansk,27768
Modelo (Santa Catarina),3910
Farashband,18896
Horodok (Lwiw),16690
东格阿马尔,6475
"Мога (город, Индия)",146847
Kadodara,16116
Sokyriany,9221
奇霍塔普特基,6645
Gularia Bhindara,7284
Dhandera,15408
Malavalli,33616
Pokrowsk (Ukraina),73602
Gawan,9147
