http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
"Герцог, Фокс и Неэман",260
Enagás,1149
China Resources Vanguard,14500
京福電氣鐵道,885
PrivatBank,0
Cellcom (Israel),7254
Qt Development Frameworks,200
SieMatic,500
Cavalier Corporation,1000
三越伊勢丹控股,18799
Selex ES,16000
神華集團,210000
Intelsat,1110
Oliver Typewriter Company,875
Cambridge Antibody Technology,300
セブン-イレブン,45000
Warner Music Group,3550
Id Software,200
Cing,29
Océ,20710
PSION,900
Wincor Nixdorf,9100
Riot Games,1000
CBS Films,18
WH Group,60000
Gyldendal,437
Ace Hardware,86000
Uber (entreprise),6700
TeliaSonera,26166
Imperial Chemical Industries,29130
Indra (azienda),35730
Pegasus Airlines,3608
Mitsubishi Research Institute DCS,1800
Opel,35428
Mashable,120
Fibria,15000
ロビンソン・ヘリコプター,1300
FactSet,8000
Satuit Technologies,50
Кредит Европа банк,4500
Cirkle,26
Look (company),450
فياكوم,10580
MSC Crociere,16500
Brightstar Corporation,9000
Cortefiel,10592
Companhia Paulista de Força e Luz,7924
OpenX (company),500
Eaton Vance,1024
ESET,1000
Cyrela Brazil Realty,8000
American Airlines,113300
ストアブランド (ノルウェーの企業),2160
Red Bull GmbH,10997
Astellas Pharma,17649
Pronar,2000
Nutreco,9717
KT Corporation,32186
Wells Fargo,265200
ENSafrica,1020
Rhön-Klinikum,38060
MSC Crociere,16500
OGK-3,6000
美泰兒,31000
Hino Motors,25820
Nihon Bussan,30
Barilla,8
Gree,40000
MBH Architects,152
Bharti Airtel,24868
Fox Entertainment Group,12100
Tod’s,3100
Toyota Motor,346219
斯特姆，儒格,2000
English Retreads,6
American Gear Manufacturers Association,11
Mary Kay,5000
MGM Resorts International,61396
Škoda Auto,25889
List of Nintendo development teams,3000
Five Star Bank,600
BenQ Mobile,3000
Klépierre,1137
Australia and New Zealand Banking Group,50152
Eight Inc.,170
Astellas Pharma,17649
Sumitomo Dainippon Pharma,4291
Idemitsu Kōsan,7503
Pride Microfinance Limited,585
Perodua,10000
Nero AG,410
Hy-Gain Antennas and Rotators,75
Uralkali,11300
Citroën,13900
كادبوري,2000
Compass Group,500000
アイルランド放送協会,1856
Zenith Records,4
Israel Postal Company,5000
طيران نيكي,800
Kaspersky,3000
Kao Corporation,5924
シエロ (企業),1174
Next Big Sound,23
Bain Capital,900
Siebel Systems,5036
Imperial Chemical Industries,29130
Jastrzębska Spółka Węglowa,22300
Почта Сербии,15148
Simbin Studios,50
イドロ・ケベック,19794
Entel Chile,4505
Live Nation Entertainment,13000
American Century Investments,1300
The Cheesecake Factory,35000
Mitutoyo,5107
Kwik Trip,14000
Aircastle,100
Knjaz Miloš a.d.,910
コレコ,567
Barilla,8
Tracerco,250
Jazz (airline),4723
Fred. Olsen Energy,1245
Liskom,50
500px,40
Hyundai Motor Manufacturing Alabama,3000
Velcro Industries,2500
الطاقة الذرية الكندية المحدودة,3200
Mobility CarSharing,186
Bunge Limited,35000
Hoffmann-La Roche,88509
Paon (entreprise),120
Behaviour Interactive,375
ターゲット・コーポレーション,341000
ASRock,324
Roke Manor Research,475
Owens-Illinois,24000
Meyer Werft,5150
Sivensa,2800
Amedei,33
FireEye,3200
Psion Teklogix,1229
Bank of Ireland,11086
Conair Corporation,4000
Altri,690
SDL (Unternehmen),5000
Anadolu Isuzu Automotive Industry & Trading,6000
Hybricon Corporation,100
Tabasco (saus),200
Domino's Pizza Enterprises,26000
Shuanghui,60000
Oriental Bank,520
Raiffeisen Bank (Serbia),1778
American Book Company (1996),25
Citizens National Bank (Eastern Kentucky),187
Thrifty White,1800
MIPS Technologies,146
Lucent Technologies,30500
Livechat Software,65
SimilarWeb,300
Earth Fare,2500
BMW,122244
Wittenstein,1987
Bunge Limited,35000
Bardahl,34
7-Eleven (winkelketen),45000
State Street Corporation,29970
Takeda Pharmaceutical,30481
Alexander Schleicher (azienda),115
Facebook,14495
Banco Etcheverría,150
Infitec,24
Tripwire (company),400
H.R. Gray,49
Novelis,11000
Olympus,39727
Vietnam Electricity,106011
Piranha Games,65
Ronimo Games,17
Rhön-Klinikum,38060
Toei,311
Raven Software,173
SodaHead.com,25
Flagstar Bank,2713
Time Inc.,7200
Perusahaan Gas Negara,1351
Damon's Grill,200
Energetický a průmyslový holding,10860
CUBE Entertainment,53
Banco Safra,5456
VZ Holding,708
シュウェップス・オーストラリア,1800
Canwest,12072
Bombardier Inc.,65698
三菱集团,350000
微软,114000
アドバンスト・マイクロ・デバイセズ,8099
DUCA Financial Services Credit Union Ltd.,150
Enel,68961
XMobots,20
Mazda,37745
Kapiti Fine Foods,230
Gorenje,10700
Capcom,2601
Rio Tinto Alcan,68000
AWS Truepower,100
Id Software,200
Bose Corporation,11700
KT (Télécommunication),32186
Kaō,5924
Axios Systems,250
Capcom,2601
Stemilt Growers,1500
Fairfield Materials Management Ltd,7
State Street Corporation,29970
Lowe’s,265000
سي بي إس إنتراكتيف,2080
Mizuho Financial Group,56109
Groupalia,250
Bank of Ireland,11086
Riot Games,1000
BMW,122244
COSI Columbus,200
コスモ石油,1837
Haiku Studios,11
Discovery Communications,7000
Cadbury plc,71657
ノリリスク・ニッケル,96193
Warner Music Group,3550
Allegis Group,10000
Postlethwaite & Netterville,700
Phase One,300
Ferrovial,61587
Cosan,45000
OPI Products,500
Artland,46
Ontario Power Generation,10840
Transmeta,24
Postnord,38000
Brüel & Kjær,1150
Morris Air,2000
بوميس,10
Oriflame,7500
BBC,20951
Viacom,10580
Türkmengaz,25000
Seznam.cz,1001
Aerostich,100
Elia (netbeheerder),955
Marvelous Interactive Inc.,184
Villeroy & Boch,7400
Grob Aircraft,250
CK Hutchison,253983
Fiat Industrial,68257
Grupo PRISA,14987
"Ryan Companies US, Inc.",600
SUNeVision,170
New World Computing,100
Onkyo (merk),2149
Lycos (portail web),72
شركة أكسل شبرينقر,15023
LS Cable & System,9168
Banco Português de Investimento,8529
Coleco,567
Toyota Peugeot Citroën Automobile,3200
Viscom AG,362
Nexans,25000
工業技術研究院 (台湾),5855
Gio-Goi,50
Malibu Boats,595
ZyXEL,2170
Dynamo Sports,12
AET (company),2600
Epcos,23600
BTicino,3000
アミューズ,232
Mission Network News,5
Gigaset Communications,1250
PPG Industries,42600
Ingenious Media,200
Accident Fund,675
Wilderness Scotland,14
Hays (Personaldienstleister),8823
Nichia,8600
Alabama National BanCorporation,1789
PopCap Games,400
Peugeot,198210
Goldstone Tires,71000
Gameforge,450
Marfin Investment Group,12723
Nordea,29397
Telecom Éireann,13100
Volkswagen,610
Polycom,3800
Goldwind,5000
Hyundai Motor Company,104731
Bic (entreprise),10449
ブライトスター,9000
Gold Fields,49715
Mobilitec,75
Bain Capital,900
Gainward,20
Hoffmann-La Roche,88509
Istrabenz,4722
OpenDNS,201
MACTEC,3100
Long John Silver's,8400
Harley-Davidson,5900
Buck Knives,320
Bosphorus Cymbals,21
Bain & Company,5700
Wittenstein SE,1987
Société nationale des chemins de fer du Kazakhstan,155134
Adobe Systems,14154
Arion Bank,1190
Global Bank Liberia,68
Midcounties Co-operative,9487
Nissan,142925
安達集團股份,20000
Coca-Cola Amatil,14700
Saria Bio-Industries,3900
红蜂媒体,2500
Texas Emerging Technology Fund,8
Oracle,136262
Bodum,500
David's Supermarkets,550
Dongfeng,161377
Jerry's Foods,2100
Oliver Wyman,4000
Nokia,114256
ダイムラー (自動車メーカー),284015
Digital Equipment Corporation,140000
Western Union (bedrijf),7000
Shell Australia,1000
Glitnir (banque),1980
Schering AG,26000
Automatic Duck,4
Equistone Partners Europe,45
RealNetworks,1060
Dangote,26000
Eset,1000
Engie - Electrabel,8750
Fitch Ratings,2000
Z8Games,50
E.ON UK,15000
Metrovías,4500
万代南梦宫娱乐,1047
Blue Yonder Aviation,3
Brisa – Auto-estradas de Portugal,2670
21st Century Fox,20500
Saab,13968
Georgia Tech Research Institute,1765
VTB,96
Piedmont Airlines,5221
Valor Security Services,8000
BenQ-Siemens,3000
Imperial Chemical Industries,29130
Nintendo,5120
Western National Bank,170
日本政策投資銀行,1064
エイトインク,170
三星火灾海上保险,5406
Chipotle Mexican Grill,45200
Crescent Capital Group,140
Glitnir (banco),1980
Automobile Dacia,13800
Foursquare,200
Bega Group,10000
HS Produkt,2000
Groupon,10000
Firefly Studios,26
TDC (Unternehmen),8594
سوق.كوم,2500
Škoda Auto,25889
General Electric,305000
Fábrica Argentina de Aviones,1600
Sector3 Studios,50
RealNetworks,1060
Centenary Bank,1767
NQ Mobile,1742
Private Media Group,38
500px,40
500px,40
MGM Resorts International,61396
LucasVarity,55000
IMG (company),3000
Stream Energy,245
Mieschke Hofmann und Partner,1500
Servpro,450
Fox Entertainment Group,12100
Henry Schein,19000
Howaldtswerke-Deutsche Werft,2400
Victorian Curriculum and Assessment Authority,196
Apple,115000
オペル,35428
康泰旅行社,1100
Daume,25
Imagi Animation Studios,400
KUKA,12102
أدوبي سيستمز,14154
Seibu Tetsudō,3289
松井証券,108
Energie atomique du Canada Limited,3200
福兰媒体集团,970
Hochteif Concessions,219
Esoko,90
MullenLowe Profero,650
WiQuest Communications,120
Pinnacle Foods,4000
Jimdo,200
Netflix,3500
Ascension Health,150000
Monte dei Paschi di Siena,25731
Toyota,346219
Wyndham Worldwide,33200
EMS (pharmaceuticals),4500
Bandai Namco Games,900
Westmalle Brewery,22
EA Canada,1300
Ceccato motorcycles,600
Oroton,900
Hitachi Maxell,4040
Tyco,69000
EvoBus,14382
Mashable,120
صن ميكروسيستمز,38600
Krones,12285
Wockhardt,7900
Bankrate,384
美國滙豐銀行,43000
FBR Capital Markets,303
RCN Corporation,1315
Bic (компания),10449
Raven Software,173
Short Brothers,5330
Coop (Schweiz),79953
Ingredion,10000
Keimfarben,450
Oji Paper,27360
Agrale,12300
Environics Communications,130
Boeing,156921
BDO (audit),64303
Cosmo Oil Company,1837
ロート製薬,5518
Niki Luftfahrt,800
Wattpad,96
NIIT,2372
Aston Martin,1250
Gehl,500
DPL Inc.,1500
Bankinter,4
Target Corporation,341000
Buyer's Best Friend,38
E-Trade,3421
Telelogic,1237
Cascades (company),14130
Blizzard Entertainment,4700
Grezzo (videogiochi),57
Heckler & Koch,654
Morgan Stanley Wealth Management,17649
Sofradir,500
GFI Group,2062
DelSolar,810
Venture Stores,10000
EasyJet,10104
Muxlim,7
漫步者,3000
Edison International,16677
Tidewater,8500
LG CNS,10000
Sol Meliá,40000
Technip,37500
TE Connectivity,72000
Lionbridge,10000
Norddeutsche Landesbank,6343
NOVA Greece,340
Focal-JMLab,200
住友精密工業,1674
19 Entertainment,100
Little Tikes,500
劲量,5500
DNB ASA,11047
Vyatta,50
ポリゴンマジック,165
هوندا,198561
MRV Engenharia,5706
Sun Microsystems,38600
Eidos Montréal,500
Allaire Iron Works,1863
Union Bancaire Privée,1300
維亞康姆,10580
Televisa,24362
CrossRail Benelux,31
Robinson Helicopter Company,1300
Metrovías,4500
苏格兰银行,20000
Oi (Unternehmen),18947
Madhya Gujarat Vij,8000
Invictus Games,50
Astarsa,1500
Deluxe Corporation,5400
Diamond Offshore Drilling,3400
Yara,12883
FSC (autofabrikant),3000
Endesa (Chile),2447
Japan Transport Engineering Company,1154
The Pokémon Company,400
ヘリーハンセン,600
Fulcrum Worldwide,1000
Cessna,8500
Tōhō,2010
Chunsoft,67
Lancaster Laboratories,1200
Harris Corporation,23000
Realex Payments,170
Sun Chemical,8000
Eletrobrás,25809
Anixter,8200
Ikea,172000
MetroLyrics,10
Toho (filmstudio),2010
Издательский дом ИДР-ФОРМАТ,360
Denel,7634
Bank Mendes Gans,157
Ametek,15000
Altria Group,9000
Zwitserleven,7492
Soitec,1149
Polygon Magic,165
Extreme Pita,2000
Fox Brothers,20
ブルーナイル (企業),301
CodeWeavers,30
Oando,1000
Ascom (company),1658
Nortel,18
Politico (quotidiano),300
Mandarake,168
アレキサンダー・シュライハー,115
Ecology Building Society,25
Powszechny Zakład Ubezpieczeń,16822
Energizer,5500
Moxie Software,220
فيليبس,105365
Bain Capital,900
South Jersey Industries,650
Würth,63571
1E Efficience IT,250
Sanzaru Games,60
阿伯蒂斯基建公司,16500
Müller (entreprise),27000
Esse stoves,100
Reynolds and Reynolds,4500
Triotech,106
National Computing Centre,500
Toyota,346219
Brasil Kirin,10041
فورسكوير,200
Fraport,20400
Banco Etcheverría,150
Benetton Group,7714
ディッシュ・ネットワーク,18000
Nova (platforma cyfrowa),340
Осем,4707
SCE Bend Studio,100
アルテアエンジニアリング,1500
Cumerio,4
Thermaltake Technology,500
Triad Securities,30
Glencore,110378
Rural Electrification Corporation,600
Takeda Pharmaceutical Company,30481
EA Canada,1300
Mattel,31000
Johnny Cupcakes,30
扶桑社,182
Parrish & Heimbecker,1500
A.S. Watson Group,120000
Red Hat,9300
Spotify,1600
Companhia Zaffari,9206
Pepperstone,103
ETX Capital,80
ABA Games,1
Telenor Srbija,1153
Steorn,18
Red Link Communications,500
Allianz,147425
Psion (company),900
Gertrude Hawk Chocolates,550
ゼネラルモーターズ,216000
Evoma,150
"Trailer Park, Inc.",500
Benetton,7714
Zastava Arms,2189
MSC Software,1200
بليزارد إنترتينمنت,4700
コレクションズ・コーポレイション・オブ・アメリカ,16750
Bodum,500
Avebe,1314
Yarrow Shipbuilders,3000
Polycom,3800
Rostelekom,170000
Thermaltake,500
SDL International,5000
Coca-Cola Amatil,14700
Abu Dhabi Media,1800
Sindicatum,104
Safeway Insurance Group,483
Aera Energy,1370
American Electric Power,18710
动视,4000
Steve Jackson Games,43
MTN Syria,1281
Kalypso Media,120
Vinci (Unternehmen),183320
Bloomberg,19000
Lionbridge,10000
Lonrho,3415
Taser International,485
Subtv (UK),20
Promise Technology,450
Road Ranger,1100
Pošta Srbije,15148
Corrections Corporation of America,16750
Lucas Bols,28
Caterpillar,114233
ACE Limited,20000
Piranha Bytes,25
Sony,125
Deutsche Flugsicherung,6000
雷達錶,470
Tengelmann,72714
Nine West Holdings,6000
G&K Services,7800
Austin Ventures,60
Dongfeng Motor Corporation,161377
Motala Verkstad,190
Seibu Railway,3289
TCL Corporation,73537
Atomic Energy of Canada Limited,3200
Harley-Davidson,5900
إيه في جي لتكنولوجيات,1806
The Hong Kong and China Gas Company,2331
EquaTerra,300
QR Limited,7312
E4グループ,18000
東横イン,7067
Bain & Company,5700
United Continental Holdings,84000
Barilla Group,8
Tamedia,3400
Maule Air,36
Tramway de Kyoto,885
エフ・ホフマン・ラ・ロシュ,88509
EA Canada,1300
Nynas,860
AVG Technologies,1806
بورلاند,1100
Essel Group,10000
Cube Entertainment,53
フィールプラス,71
香港中華ガス,2331
小学館,792
Pirelli,36753
EasyJet Airlines,10104
Capvis,20
Industries iraniennes de l'électronique,1600
Toray Industries,45881
هارلي-ديفيدسون,5900
Elia System Operator,955
Ernst & Young,231000
Mint.com,35
لايكوس,72
The Grasshopper Company,300
Meritech Capital Partners,20
Washington Mutual,49403
Syniverse,2500
Equistone Partners Europe,45
Oji Paper Company,27360
Tsubakimoto Chain,6100
Nintendo Software Planning & Development,70
AOL,5600
PopCap Games,400
Thermaltake,500
Fraport,20400
GlobalSpec,201
Frontiers (uitgeverij),140
Garanti Bank,19036
TE Connectivity,72000
Carlyle Group,1650
A. Lange & Söhne,500
BenQ-Siemens,3000
Siebel Systems,5036
Burger Boat Company,350
花王,5924
Nevada State Bank,800
Atomics International,9000
XO Communications,3000
Radwin,250
Extra (supermarket),9700
U-Right,400
Gainward Technology,20
Chartered Semiconductor Manufacturing,5125
Detroit Diesel,2300
Eletrobras,25809
OmniScriptum,70
BTicino,3000
Entel Chile,4505
@Home Network,1350
Bauer Group,10405
CMA CGM,20000
Raidió Teilifís Éireann,1856
EF Education First,40500
Chipotle Mexican Grill,45200
Nova Grecia,340
LifeWise Health Plan of Oregon,240
Mary Kay,5000
Olympus Partners,20
Canadian Information Processing Society,2
Chelyabinsk Tractor Plant,13000
Sparkpr,60
ST Engineering,21508
Arika,50
Villeroy & Boch,10200
Parexel,18660
Hydro-Québec,19794
Harley-Davidson,5900
川崎重工業,34010
Idemitsu Kosan,7503
جاكو (شركة ملابس رياضة),160
Técnicas Reunidas,8820
Clipper Magazine,1400
Related Designs,50
International Watch Company,309
Ericsson,115300
Aker Arctic,48
Sowind Group,280
Moritz (bière),120
Cing,29
Nissan,142925
GGB Bearing Technology,1100
贝恩资本,900
アズダ,180000
Bic (company),10449
Lagardère (entreprise),25784
Lubrizol,9000
SEAT,12700
Nortel,18
Bombardier Aerospace,25550
Wincor Nixdorf,9100
Kaspersky Lab,3000
Alawar,400
Taiheiyo Cement,13087
Holden (constructeur automobile),2900
Sankalp Semiconductor,450
Laboratoires Servier,21200
龐巴迪公司,65698
Sanzaru Games,60
Unipetrol,3647
ゾディアック・エアロスペース,30000
Kanbawza Bank,2061
Dean Markley USA,20
奥利弗打字机公司,875
Lockheed Martin,126000
Capybara Games,22
Cochin Special Economic Zone,15000
Elia System Operator,1229
Onkyo,2149
نيتف إنسترمنتس,450
Nissan,142925
Visionary Related Entertainment,60
Meyer Werft,5150
Auto-Owners Insurance,4500
バシネフチ,8150
レゴ,13974
Lowe's,265000
Axel Springer SE,15023
Id Software,200
OnePiece,55
阿提哈德航空,20000
Telefónica,120497
Mizuho Financial Group,56109
AVG Technologies,1806
Abbott (entreprise),74000
ホーンビィ,200
ديسكفري كوميونيكيشنز,7000
Storebrand,2160
Western Union,7000
CBA (distribution),30000
Gehl Company,500
United Airlines,86000
Piedmont Airlines,5221
Piranha Bytes,25
WestJet,14211
Fitch Ratings,2000
Mammoet,3200
Tanzania Ports Authority,3470
A.S. Watson Group,120000
Shenhua,210000
大日本住友製薬,7009
FactSet Research Systems,8000
Trust (Unternehmen),250
Каменск-Уральский металлургический завод,3980
Allianz France,30585
Gimlet Media,60
Mumias Sugar Company Limited,1689
Teijin Aramid,1300
Vanity (clothing),2000
Hanza Media,1700
Extra (Handelskette),9700
Toyota,346219
Spark New Zealand,5092
Mondeca,21
Claas,9697
Raidió Teilifís Éireann,1856
Groupe Safra,30000
SOASTA,250
Abertis,16500
TechniSat,2500
ZyXEL,2170
Wells Fargo,265200
雅科,160
Edutech,250
沃倫貝格工業,2850
Wells Fargo,265200
カバ・グループ,7404
CMA CGM,20000
WestJet,14211
General Electric,305000
華納音樂集團,3550
イー・トレード,3421
Siebel,5036
Corrections Corporation of America,16750
エドウイン,365
IBM jStart,27
Chunghwa Telecom,28722
Procter & Gamble,110000
Perfetti Van Melle,17000
EPCOR Utilities,2000
Alvarez Guitars,750
Bank of the Philippine Islands,12355
Artech Digital Entertainment,60
SimilarWeb,300
Air New Zealand,10861
ASRock,324
Boeing,156921
The Co-operators,5017
Banca Popolare di Milano,7743
LG Display,49000
ولز فارجو,265200
Polycom,3800
MPM Capital,30
Ritek,3723
イーストマン・ケミカル,15000
ジェットアジア・エアウェイズ,460
Lonrho,3415
Discover Financial,11650
Core-Mark,5933
Stadler Rail,6000
