http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
John Cabot Catholic Secondary School,985
The Elizabethan Academy,1198
كلية الأطباء والجراحين بجامعة كولومبيا,776
Rockford University,1298
Carbondale Area School District,1477
Gonzaga University School of Law,506
Belgrade-Brooten-Elrosa High School,380
Sujaul Senior Fazil Madrasha,757
North Lakhimpur College,4200
Oasis Academy John Williams,805
Purdue University,39409
Université de Tsukuba,16459
Uniwersytet Czarnogóry,21595
Université d'État de l'Arizona,50246
"Campion College, Regina",900
St. Lawrence's Boys School,1068
San Bernardino Valley College,12508
"Presidency College, Bangalore",4000
Sankt-Petersburski Państwowy Instytut Górniczy,16500
St. Augustine Catholic High School (Ontario),1340
Art Institute of Dallas,850
SMK Sentul Utama,1000
Arizona State University,4173
黎巴嫩大學,70000
Peabody Magnet High School,784
Bellefonte Area School District,2912
Ottawa – Glandorf Local School District,2000
Université polytechnique des Marches,17500
Cumberland High School (Rhode Island),1536
Ulidia Integrated College,530
Central Alabama Community College,2177
Università statale del Kansas,23779
University School of Milwaukee,1066
Scholars Online,158
Universidade de Berna,17430
جامعة الشمال الغربي مدرسة فينبرغ للطب,638
Université de Nice - Sophia Antipolis,25049
Los Medanos College,9192
Pasco High School,1800
Monsignor Edward Pace High School,920
Uniwersytet w Sztokholmie,66944
Asian Institute of Tourism,10
National Technological University,75000
Happy Hill Farm Academy,183
"École supérieure Aalto d'art, de design et d'architecture d'Helsinki",2000
Long Stratton High School,650
Hochschule Mainz,4805
Universidad de Berna,17430
Rice University,6623
Polytechnikum Mailand,40670
Академия изобразительных искусств (Вена),1268
Université de Banja Luka,17000
Indian Institute of Management Udaipur,252
PAF Public School Sargodha,400
Tajik National University,23000
国立图卢兹应用科学学院,2200
Williamson Senior High School,551
Basic Education High School No. 9 Mawlamyine,2500
Cheikh Anta Diop University,60000
Glenville State College,1882
Instituto Rio Branco,134
Von Steuben Metropolitan High School,1648
University of Santo Tomas College of Commerce and Business Administration,3846
Asutosh College,4000
École spéciale de mécanique et d'électricité,1500
Midlands Christian College,458
The Hudson School,195
Universität Tsukuba,16459
Buchtel Community Learning Center,764
Georgia Institute of Technology,25017
Université de Catane,66235
Zionsville Community High School,1839
Massachusetts Institute of Technology,11319
Radyr Comprehensive School,1400
"Diocesan School for Girls, Grahamstown",520
Universidad de Orán,26216
Georgiana Bruce Kirby Preparatory School,250
Coudersport Area School District,889
水原大学校,12415
Universiteit van Perugia,27934
Carmi-White County High School,385
光启学校,4000
Liberty Classical Academy,160
St. John's School (Texas),1325
Institut d'études politiques de Toulouse,1738
Polytechnic University of the Philippines Santo Tomas,3000
Riverton Parke Junior-Senior High School,479
Universität Bergamo,15
Bandon Senior High School,273
Uniwersytet Dyneburski,4200
National University of Defense Technology,15700
NewSchool of Architecture and Design,600
St. Thomas University (Florida),4000
克劳斯塔尔工业大学,4
Jeffersonville High School,2051
Université de Mossoul,30000
远东联邦大学,41000
Университет штата Огайо,58322
James Madison High School (Brooklyn),3072
Harrisburg High School (Oregon),244
Moreau Catholic High School,964
Bridgeport High School (West Virginia),724
Санкт-Петербургский государственный университет сервиса и экономики,38000
Universidad Pedagógica Nacional (México),25000
浙江理工大学,26000
"East High School (Pueblo, Colorado)",1040
University of Ioannina,15000
Sagornal Senior Alim Madrasha,486
Lawrence County High School (Kentucky),650
Flagler Palm Coast High School,2379
Technische Universität Kielce,10000
Erasmus-Universität Rotterdam,26212
John Dwyer Technology Academy,1070
Portlethen Primary School,286
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2000
Факультет свободных искусств и наук СПбГУ,550
Fessenden School,526
Universiteit van Valladolid,31780
Queen Creek High School,1790
Salzmannschule Schnepfenthal,393
North Carolina Central University,9600
Universidad de Finlandia Oriental,15000
"Singapore International School, Indonesia",1700
"Friends' School, Lisburn",950
Flushing High School,3000
St. Mark's Senior Secondary Public School,3800
Universidad de Costa Rica,42
Instituto de estudios políticos de Aix-en-provence,1925
Fachhochschule Dortmund,12300
Danmarks Designskole,650
Andover Elementary School,30
Escuela Superior de Comercio Carlos Pellegrini,2500
Central Greene School District,1991
Ecclesbourne School,1402
Dakota County Technical College,3000
Laney College,18806
Fullerton Union High School,2155
Penn-Delco School District,3318
Universität Oradea,21000
Canby High School,1670
Universidade Estadual de Iowa,36660
Hochschule für Musik Carl Maria von Weber Dresden,1
Принстонский университет,8088
University of Mindanao,42000
Universidade Bolivariana da Venezuela,180000
Libera Università Internazionale degli Studi Sociali,7682
Northmont High School,1486
Nonsuch High School,1219
International Hotel and Tourism Training Institute,448
Hotel Institute Montreux,1324
Le Cordon Bleu,20000
Belle Vernon Area School District,2748
Central Dauphin East High School,1338
Institut national des sciences appliquées de Toulouse,2200
Taras Shevchenko National University of Kyiv,20000
Nyack College,2938
Santiago College,1500
西方學院,2114
エドモンズコミュニティカレッジ,12000
George Watson's College,2358
ソウル市立大学校,11855
Université polytechnique de Saint-Pétersbourg,30197
萊斯大學,6623
Korea National Open University,173758
Thomas McKean High School,1062
Butler High School (New Jersey),454
Wethersfield High School (Connecticut),1121
Kloof High School,1000
Union Theological Seminary (Philippines),118
"New Tech High School, Coppell",385
"Fremont High School (Sunnyvale, California)",1964
University of New York in Prague,700
New Hope High School (Mississippi),928
British School in the Netherlands,2300
Carl Sandburg High School,3758
Penn State York,1400
UIUC College of Media,1153
Johns Hopkins Bloomberg School of Public Health,2056
Mahindra United World College of India,240
Escuela de Medios y Cine Báltico,430
"Eisenhower High School (Yakima, Washington)",2064
Newtown High School (Queens),2162
Peebles High School (Ohio),455
"St John Fisher Catholic High School, Harrogate",2000
Cranston High School West,1526
Montana Academy,70
北京师范大学附属实验中学,4000
North Battleford Comprehensive High School,815
Gibault Catholic High School,257
Augusta High School (Kentucky),105
"St. Andrew's College, Grahamstown",490
Anderson County High School (Kansas),546
Highgate School,1455
BI挪威商學院,18728
Polyvalente Thomas-Albert,627
Smolny College,550
Arizona State University,13750
Driffield School,1890
كلية الحرس السلطاني العماني التقنية,291
Университет ИТМО,12000
Gujarat University,343528
The Lodge School,973
David Oppenheimer Elementary School,360
"Woodlands Academy, Coventry",799
Charlestown High School,959
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1500
Mediterranea University of Reggio Calabria,10
"Rye High School (Rye, New York)",960
The Kurt Hahn Expeditionary Learning School,369
Bradford Area High School,941
Universidad Tecnológica de Pomerania Occidental,15389
Shelton State Community College,7000
"Northwestern High School (Rock Hill, South Carolina)",1791
Ánimo Venice Charter High School,620
Университет Анкары,42830
Arizona State University,3701
Sacred Heart Sr. Sec. School (Sidhpur),2200
West York Area High School,964
Spruce Creek High School,2727
Bishopshalt School,1262
Mackintosh School of Architecture,450
Tomlinscote School,1570
TC Beirne School of Law,2000
ANU College of Physical and Mathematical Sciences,2293
Lehi High School,2248
Wolverhampton Grammar School,726
Pennsylvania Governor's School for the Arts,200
Université nationale de Chungbuk,18334
"La Salle University, Colombia",15
Kangwon National University School of Law,120
James E. Taylor High School,2908
"Northwest High School (Canal Fulton, Ohio)",726
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5700
Harvard Graduate School of Design,878
"Prince of Wales' College, Moratuwa",5000
Woodham High School,780
Conemaugh Township Area School District,965
Universidad Rice,6623
"Cedar Ridge Middle School (Hyde Park, Utah)",600
Daniel Boone Area School District,3928
Allen Academy,340
Black Mountain College,1200
Springbrook High School,1736
Northern Michigan University,8879
KIIT International School,90
Smithers Secondary School,450
アイントホーフェン工科大学,7100
Feinberg School of Medicine,638
Universidade de Economia Mundial e Nacional,21430
Henley College Coventry,5000
ジョージア工科大学,25017
University of Palermo,48
"Universidade de São Petersburgo de Tecnologia da Informação, Mecânica e Ótica",12000
Little Rock Christian Academy,1450
Reedsport Community Charter School,302
福建省福州第一中学,2100
Georgia Institute of Technology,25017
Universiteit van Indiana,110436
Roundwood Park School,1200
Alfredo M. Velayo College of Accountancy,3638
Universidad de tecnología de Mauricio,4500
Lango College,850
George Washington University Law School,270
EMLYON経営大学院,3300
Abercorn School,400
"Legacy High School (Vancouver, Washington)",273
Union High School (Oregon),236
"Facultad de Radiofísica, Electrónica y Sistemas Informáticos (Universidad de Kiev)",600
Triton Regional High School (New Jersey),1287
Institut d'études politiques de Toulouse,1738
Pisgah High School,976
"Canterbury School (St. Petersburg, Florida)",475
St. Augustine Preparatory School,689
Maastricht School of Management,2000
Chancellor's School,1043
Cranberry Area School District,1201
Massachusetts Institute of Technology,11319
Hochschule für Technik Stuttgart,4
"Ursuline High School, Wimbledon",1299
Collège Montmorency,7390
Deerfield High School (Wisconsin),238
Chung Ling Butterworth High School,2393
ダーラナ大学,16000
Regional Institute of Management and Technology,12000
IE Business School,5600
École internationale de Hô Chi Minh-Ville,1000
Lassiter High School,2150
Glen Ridge High School,845
Universität Stavanger,10100
College of Osteopathic Medicine of the Pacific,1110
Carman-Ainsworth High School,1360
Университет Пенджаба,45000
Universidade Federal de Juiz de Fora,16361
Iowa State University,36660
International School of Uganda,550
四川农业大学,40000
Mandalay Technological University,3000
Азербайджанский государственный университет нефти и промышленности,10200
SupOptique,241
Austin Area School District,209
St. Paul High School (Virginia),200
Sidney Stringer Academy,1320
Päpstliche Universität Heiliger Thomas von Aquin,1007
Distrito Escolar Independiente de Tyler,18029
Myanmar Aerospace Engineering University,279
St Peter's Church of England Aided School,2000
Great Marlow School,1260
Dryden High School,586
Stanford University,15877
Sandia High School,1897
约阿尼纳大学,15000
Université de Kagoshima,10498
Coleg Glan Hafren,12000
Budapest University of Technology and Economics,21171
Thousand Oaks High School,2585
克劳斯塔尔工业大学,1
Universidade de Bréscia,14000
Canandaigua Academy,1200
纽约市立大学,516000
Ironwood Ridge High School,2025
Клаустальский технический университет,1
Arizona State University,4173
جامعة رايس,6623
Arcadia High School (Wisconsin),347
Wauconda High School,1317
Elizabeth High School (New Jersey),816
Иркутский государственный лингвистический университет,4200
大阪府立清水谷高等學校,960
Blue Mountain High School,864
Bucerius Law School,557
Small Heath School,1322
Университет Коменского,26624
Zabol University,15000
Dartmouth College,6350
"Università di Medicina e Farmacia ""Grigore T. Popa""",11922
Heller School for Social Policy and Management,533
Angelo State University College of Graduate Studies,701
Fort Hays State University,14210
Università degli Studi dell'Insubria,9
Shiraz University of Technology,1100
"Jefferson High School (Edgewater, Colorado)",598
Sant Gadge Baba Amravati University,90000
Serra Catholic High School,335
University of Nordland,5800
Eureka High School (Illinois),504
Universidad de Lyon I - Claude Bernard,35000
Оснабрюкский университет,11034
"Evangelical Christian School (Fort Myers, Florida)",645
Strathcona-Tweedsmuir School,714
北密歇根大學,8879
Menlo-Atherton High School,2275
Comenius-Universität Bratislava,26624
جامعة ولاية نيويورك - جامعة أبستيت الطبية,1542
Nueva Granada Military University,23
Bell Gardens High School,3570
Université des sciences et technologies de Mbarara,3000
State Elementary School Cipinang Melayu 11 Petang,330
Kesteven and Sleaford High School,844
Римский университет Ла Сапиенца,112564
Université d'État de Bélarus d'informatique et de radioélectronique,17000
Universiteit van Nottingham,43893
"Aalto University School of Arts, Design and Architecture",2000
Harmony Area School District,361
Gymnasium der Technischen Universität Kaunas,310
جامعة البحرين الطبية,1186
浙江海洋学院,14400
Harvard Graduate School of Education,876
Columbia University,2014
Uniwersytet Acadia,4358
East Linn Christian Academy,275
Bellaire High School (Ohio),502
Permian High School,3654
Bodwell High School,578
Dr. Babasaheb Ambedkar Technological University,4000
Innisfree House School,750
Ursuline College (Chatham),1300
Coral Springs Charter School,1600
亞利桑那州立大學,50246
University of Central Punjab,5000
"Pacific High School (San Bernardino, California)",1300
Central Tech High School,1200
"St Augustine's Roman Catholic High School, Billington",1062
Lviv University,11649
East Kentwood High School,1884
Universität Pierre und Marie Curie,32000
Sheridan Japanese School,88
جامعة كينت,40782
Киевский национальный университет имени Тараса Шевченко,20000
Blacklick Valley School District,679
阿尔托大学艺术设计学院,2000
University of Minnesota Crookston,1874
"Roosevelt High School (Lubbock, Texas)",310
Université Alexandru Ioan Cuza de Iași,25724
St Augustine's Church of England High School,1000
University of Perpetual Help System JONELTA - GMA Campus,4000
West Side Leadership Academy,1075
里斯本新大學,19500
St. Andrew's Episcopal School (Maryland),527
Rye Neck High School,416
J. W. Sexsmith Elementary School,404
Camborne Science and International Academy,1267
鹿兒島大學,10498
Blessed John Henry Newman Roman Catholic College,1441
Pimlico Academy,1262
Cocalico School District,3174
Umatilla High School (Oregon),400
Université islamique d'Ouganda,6000
Rosebery School for Girls,1470
Bradley Stoke Community School,1117
Carre's Grammar School,815
デウスト大学,2245
Columbia University,2014
Riddle High School,214
Université du Rosaire,12393
Accademia di belle arti di Vienna,1268
Black Mountain College,1200
Stockport Academy,681
Sprague High School,1765
Black Mountain College,1200
Federale Universiteit van Bahia,27549
University of Virginia College of Arts and Sciences,12000
Technische Staatsuniversiteit van Armenië,10000
Banbury Academy,985
St Gregory's Catholic High School,964
Xaveriuscollege (Borgerhout),800
كلية المكسيك,453
Stayton High School,775
Universidad de Bulacán,30000
Asheville–Buncombe Technical Community College,25123
Bristol Law School,300
Cégep Garneau,8000
Conemaugh Valley School District,1026
