http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/height
Tera Patrick,1.7526
Moana Pozzi,1.78
Nikki Charm,1.4986
Erik Rhodes (attore pornografico),1.905
Melanie Moore (Pornodarstellerin),1.7526
アレクサンドラ・シルク,1.6256
Calli Cox,1.6002
Anita Rinaldi,1.65
Salma de Nora,1.6256
Rod Barry,1.524
Kazuko Shirakawa,1.58
Hitomi Shiraishi,1.59
Noriko Kijima,0.0
Aja (atriz pornô),1.6764
莎夏·葛蕾,1.6764
珍娜·荷茲,1.6002
ポルシェ・リン,1.778
Nikki Dial,1.5494
Shyla Jennings,1.5748
Britney Amber,1.651
Arpad Miklos,1.8796
Adriana Chechik,1.5748
Kagney Linn Karter,1.6256
Fuko,1.52
Jeanna Fine,1.7018
井上正大,1.82
Brianna Love,1.6002
Мэри Лав,1.7272
Mr. Pete,1.778
帕維爾·諾沃提尼,1.8796
John Holmes,1.8542
Monique (actress),1.5748
Maya Gold,1.65
川島和津実,1.56
"Подкапова, Зденка",1.6764
柳美稀,1.67
Houston (actrice),1.7018
Satine Phoenix,1.524
Jeanna Fine,1.7018
桃瀬美咲,1.51
Alicia Rio,1.5748
Sophia Santi,1.778
"Лаурен, Дианна",1.6764
艾丽卡·坎贝尔,1.651
杉原杏璃,1.57
森下くるみ,1.64
Vicky Vette,1.6764
Yōko Satomi,1.53
ジェナ・ジェイムソン,1.7018
Audrey Hollander,1.6764
Brad Patton,1.83
鮎川あみ,1.62
ニッキー・アンダーソン,1.6764
Sinnamon Love,1.6002
泰拉·派翠克,1.7526
竜星涼,1.83
Tanya Tate,1.6764
小澤マリア,1.62
山口絵里奈 (1985年生),1.65
"Марголис, Синди",1.7145
Seka,1.7272
Tyffany Million,1.651
Monica Sweetheart,1.5748
Gracie Glam,1.651
Skin Diamond,1.651
井浦新,1.83
Andy San Dimas,1.6764
Roman Heart,1.78
Marco Banderas,1.8796
"Лукас, Майкл",1.8034
Patrícia Araújo,1.8
"Мицци, Сюзанна",1.6256
Olivia O'Lovely,1.70688
テイラー・ウェイン,1.5748
Nikki Dial,1.5494
Tammi Ann,1.6764
ليز تايلر,1.651
Bionca,1.7526
Mia Murano,1.6
Mayu Asada,1.58
米婭·卡莉法,1.5748
Mia Khalifa,1.5748
Belladonna (Pornodarstellerin),1.6256
Aki Hoshino,1.65
Kristara Barrington,1.6256
Brianna Love,1.6002
Brooke Ballentyne,1.7272
グロリア・レナード,1.7272
Kimberly Carson,1.5748
Aya Sugimoto,1.68
Noname Jane,1.6002
風間恭子,1.56
Candida Royalle,1.6002
Hikaru Kawamura,1.5
Danica Dillan,1.6002
Gauge,1.4986
Logan McCree,1.524
Sonia Baby,1.65
Jeff Stryker,1.7526
Yuma Asami,1.58
Kazuki Shimizu,1.73
Amy Ried,1.7018
Tim Hamilton,1.78
エリカ・キャンベル,1.651
Riley Reid,1.6256
Chris Stone (actor),1.7018
Michael Stefano,1.778
Aleska Diamond,1.524
Lena Nitro,1.6002
Andrea Absolonová,1.7018
Джада Стивенс,1.5748
Valentina Nappi,1.6002
Mia Malkova,1.651
Danni Ashe,1.5748
塔拉·懷特,1.7018
Misha Cross,1.6764
オードリー・ホランダー,1.6764
Catalina Cruz,1.6002
Billy Herrington,1.8542
Nikita Denise,1.7272
罗恩·杰里米,1.6764
Capri Anderson,1.524
Skin Diamond,1.651
Jeff Palmer,1.7272
Jennifer Stewart,1.778
Kitana Baker,1.79324
アラナ・エヴァンス,1.651
Misti Dawn,1.5748
