http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/elevation
Sieben Berge (Höhenzug),395.0
Brenta (Gebirge),3173.0
Catena del Caucaso,5642.0
Ghaty Wschodnie,1680.0
Centrale Alpen,4049.0
Серра-да-Мантикейра,2798.0
Three Sisters (Siskiyou County),1358.0
Slieve Miskish Mountains,490.0
Cariboo Mountains,3516.0
Ouled Naïl Range,1491.0
Maverick Springs Range,2283.0
Montagnes Intérieures,2748.0
Cady Mountains,1072.0
Fannin Range,1657.0
Шу-Сёстре,1072.0
Stanowoihochland,3072.0
阿尔卑斯山,4808.73
Gruppo del Granatspitze,3232.0
Karpaty,2655.0
Diablo Range,1597.0
Ötztaler Alpen,3774.0
Mullaghareirk Mountains,408.0
Góry Opawskie,975.0
White Hills (Santa Barbara County),233.0
トランシルヴァニアアルプス山脈,2544.0
Monte Cristo Mountains,2004.0
Taylor Range,287.0
Sichote-Aliń,2090.0
Cordillera Huallanca,5470.0
Lipper Bergland,496.0
Chaînon de l'Académie des Sciences,7495.0
Góry Strażowskie,1213.0
Marmarole,2932.0
Montanhas de Aïr,2022.0
岷山山脈,5588.0
Kozjak (góry w Słowenii),1052.0
Pala (Dolomiten),3192.0
貝爾尼納山脈,4049.0
Parâng Mountains,2519.0
Summit Range,1104.0
Owlshead Mountains,712.0
Belasica,2029.0
Piryn,2915.0
Alpi di Livigno,3439.0
Siebengebirge,460.0
Djurdjura,2308.0
哥倫比亞西部山脈,4100.0
Восточные Альпы,4049.0
Adelbert Range,1716.0
Zevengebergte,460.0
阿拉瓦利嶺,1722.0
Supramonte,1463.0
Monti del Gennargentu,1834.0
Lusatian Highlands,608.0
Alpes bernoises,4274.0
ポントス山脈,3937.0
Osnabrück Uplands,232.5
Scott Bar Mountains,1627.0
Sunnmørsalpane,1717.0
Ischkaschimkette,6096.0
Uly Balkan,1880.0
貝爾加莫阿爾卑斯山脈,3052.0
Kaiserstuhl,556.6
Jura (Gebirge),1720.0
Salt Spring,509.0
Serra de Los Filabres,2168.0
Dalou Shan,2251.0
Massif de Lechquellen,2753.0
Sierra del Merendón,2400.0
Trollheimen,1850.0
Alpes pennines,4634.0
Кучилья-Гранде,513.66
Insular Mountains,2196.82
Pamir,7649.0
Monti Min,5588.0
Rodman Mountains,1323.0
Nördliche Kalkalpen,3036.0
Fiemme Mountains,2847.0
Sierra de las Minas,3015.0
Augusta Mountains,2563.0
Monts Maya,1124.0
Atlas (massif),4165.0
Заалайский хребет,7134.0
Long Rhön,926.0
Appenzell Alps,2502.0
韋斯特林山,656.5
Nordtiroler Kalkalpen,3036.0
Urali,1895.0
New Pass Range,2744.0
Phu Phan Mountains,624.0
Ammergauer Alpen,2340.0
Monte Rosa,4634.0
Eggegebergte,468.0
アラカン山脈,3094.0
Bieszczady Mountains,1405.0
Bellunes Alps,2472.0
Gurvan Saikhan Uul,2825.0
Биг-Салмон,2174.0
West-Ghats,2695.0
Jebel Marra,3042.0
Chilean Coast Range,3114.0
Jestřebí hory,739.0
Duck Creek Range,2700.0
Ruszon (góry),6083.0
Sierra Madre Oriental,3700.0
Cordillera Urubamba,5818.0
Monte Albo,1127.0
أدرار إيفوغاس,890.0
Montañas Akaishi,3193.0
Annamitisch gebergte,2598.0
Cordillera Volcánica Central (Costa Rica),3432.0
Mürzsteger Alpen,1981.0
Chaînon Yazgoulem,6974.0
Soutpansberg,1747.0
Himalaya,8848.0
Kisogebergte,2956.0
Chaîne Diablo,1597.0
Sierra Madre Oriental,3700.0
Caha Mountains,685.0
Northern Styrian Alps,2369.0
岷山,5588.0
Sierra de Montánchez,995.0
Ichabod Range,2000.0
Cordilleras Béticas,3478.0
Sierra Madre Mountains (California),1783.0
Sierra de Santa Cruz,1100.0
Sierra de Jémez,3524.0
Jumbled Hills,1955.0
Soonwald,657.5
Monti Owen Stanley,4038.0
Sierra del Merendón,2400.0
Юра (горы),1720.0
Aurès Mountains,2328.0
横贯南极山脉,4528.0
Spessart,586.0
Reuberg,328.2
Beaufort Range,1556.0
Montagne Noire (Slovaquie),1029.0
Cordillera Sarikol,6351.0
Гималаи,8848.0
Braeburn Range,1469.0
Leppy Hills,1988.0
Nephin Beg Range,806.0
Lushai Hills,2157.0
Chaîne Côtière,4019.0
Sistema Ibérico,2313.0
奇爾特恩丘陵,267.0
Monts Saltoro,7742.0
Kikai (vulkaan),704.0
Wyżyna Górnoswratecka,836.0
Croda da Lago,2715.0
Schobergruppe,3283.0
Cang Mountain,4122.0
Hinterautal-Vomper-Kette,2749.0
Andes tropicales,6768.0
الأطلس الصغير,3304.0
Sudety Zachodnie,1602.0
Tatra (Gebirge),2655.0
Monti di Luang Prabang,2120.0
Prealpi Vicentine,2336.0
ジュラ山脈,1720.0
Belianske Tatras,2151.5
Temblor Range,1176.0
Niyamgiri,1509.0
Solling,527.8
里夫山脈,2455.0
Mackenzie Mountains,2972.0
Seckau Tauern,2417.0
Heuchelberg,353.0
Alpi Venoste,3774.0
Anti Atlante,3304.0
Monts Tanzawa,1673.0
Góry Jazgulemskie,6974.0
Titiwangsa Mountains,2183.0
Sierra Morena,1332.0
Lebombobergen,776.0
Sierra de Solorio,1366.0
Sierra Madre de Chiapas,4220.0
赤石山脈,3193.0
Pelvoux,4102.0
جبل مرة,3042.0
Alpes Apuanos,1946.0
Twelve Bens,729.0
Libanon (Gebirge),3088.0
Eulengebirge,1014.8
Alpes de Platta,3386.0
薩爾托洛山脈,7742.0
Fortification Range,2570.0
Cordillera Penibética,3479.0
Hagengebirge,2363.0
Massiccio degli Écrins,4102.0
エルスワース山脈,4892.0
Alpes de Livigno,3439.0
Transalaigebirge,7134.0
