http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/runwayLength
Aéroport de Poltava,2600.0
Aéroport d'Haradh,2430.0
Milas–Bodrum Airport,2890.11
Djougou Airport,990.6
Ponikve Airport,3200.1
Aeroporto di Uetersen,899.77
Aeropuerto Jalil Hamer,1342.64
Lexington Municipal Airport,891.54
مطار تورونتو بيرسون الدولي,3389.38
Port lotniczy Astrachań-Narimanowo,2500.0
Juan de Ayolas Airport,1850.0
Aéroport de Bertoua,1865.0
Aeroporto di Lamezia Terme,2414.02
Loakan Airport,1802.0
"Foggia ""Gino Lisa"" Airport",1440.0
Happy Valley Airport,690.0
Granite Falls Municipal Airport,1326.0
Toussus-le-Noble Airport,1050.04
Port lotniczy Røst,880.0
Double Eagle II Airport,2255.52
Windham Airport,1303.93
Aeropuerto de Zaragoza,3718.56
Lowcountry Regional Airport,1829.41
Aeropuerto Internacional Sir Seewoosagur Ramgoolam,3370.0
Toronto Pearson International Airport,2770.02
Ras Mishab Airport,3215.94
Aeropuerto Juan Mendoza,2461.26
Panghyon Airport,2590.8
مطار نالاتي,2300.0
مطار لوليانغ,2600.0
Flughafen Saarbrücken,2000.1
ラギンディガン国際空港,2100.07
Flughafen Bari,1683.0
Vitry-En-Artois Airport,900.0
Kirk Field,851.0
Aérodrome de Haguenau,4963.67
腓特烈港机场,2356.0
Port lotniczy Alghero,3000.0
Bokoro Airport,1271.02
Николаев (аэропорт),1800.0
Khatanga Airport,2728.87
Keshod Airport,1371.6
Port lotniczy Reunion,2670.0
Miller Airstrip,518.0
哈拉波罗夫国际机场,2500.0
Groningen Airport Eelde,2500.0
Camaxilo Airport,1996.0
Flughafen Hermannstadt,2630.0
Nyeri Airport,1234.44
Aeropuerto Internacional Shaikh Zayed,3000.0
Port lotniczy Wa,2015.0
Aéroport de Saint-Brieuc Armor,2200.0
Bacolod-Silay Airport,2002.0
Aeropuerto de Salamanca,2500.0
Aeroporto Internacional de Mashhad,3810.91
Aeropuerto de Nóvgorod,1320.0
Lleida–Alguaire Airport,2499.97
Port lotniczy Hualian,2749.91
東京国際空港,3360.12
Port lotniczy Groningen-Eelde,1499.92
Malden Regional Airport,1527.35
Цзянбэй (аэропорт),3000.0
RAAF Base Amberley,1523.0
مطار بيجي فيشونغ,2600.0
サイパン国際空港,2651.76
Santa Rosa Route 66 Airport,1527.96
Davison Army Airfield,1712.0
Накнек (аэропорт),610.0
神農架紅坪機場,2800.0
Port lotniczy Leeuwarden,2956.86
RAF Edzell,1422.81
Kharkiv International Airport,2500.0
Base Aérea de Tres Esquinas,1896.0
Internationaler Flughafen König Mswati III.,3599.69
サラマンカ空港,2009.85
Flughafen Brünn,2649.93
Gordon K. Bush Airport,1707.0
Aeropuerto de Pärnu,799.0
Aeropuerto de Bathpalathang,1200.0
Aeropuerto de Río Cuarto,2075.0
Southern Seaplane Airport,975.0
Perry Municipal Airport (Iowa),707.746
Aeropuerto Internacional Kuala Namu,3749.95
Wurtsboro–Sullivan County Airport,640.0
Chartres – Champhol Aerodrome,900.0
Aéroport Capitán Nicolás-Rojas,2833.12
Platte Island Airport,915.0
Tabing Airport,2146.0
Aeroporto di Trapani-Birgi Vincenzo Florio,2694.74
Aéroport d'Åre Östersund,2499.97
Port lotniczy Presidente Carlos Ibanez del Campo,2400.0
Aeroporto di Parakou,1600.2
مطار زويبروكين,2675.0
Port lotniczy Diapaga,1189.0
Port lotniczy Umeå,2302.0
Aeroporto di Ibiza,2800.0
Aéroport d'Umeå,2301.54
Aéroport de Bordeaux-Mérignac,2414.93
Penggung Airport,1259.13
Aeropuerto Internacional Presidente Carlos Ibáñez del Campo,2790.0
Albert – Picardie Airport,1000.0
Fitchburg Municipal Airport,1068.02
Port lotniczy Chaskowo-Malewo,2203.7
Virgil I. Grissom Municipal Airport,1371.9
洞海機場,2400.0
McGrath Airport,1809.29
Deer Park Airport,975.36
Gifu Air Field,2700.0
Aérodrome de Chambéry - Challes-les-Eaux,990.0
Alice Springs Airport,2438.0
San Ignacio Airfield,1513.0
Port lotniczy Lenkoran,3300.0
Bogashevo Airport,2500.0
Port lotniczy Presidente Carlos Ibanez del Campo,1678.0
Грейт-Барриер-Риф (аэропорт),1764.0
錫永機場,555.0
Flughafen Poitiers-Biard,2350.0
Aeropuerto de Vadsø,997.001
Paintsville-Prestonsburg Combs Field,936.0
Swan River Airport,1199.39
Base da Força Aérea de Overberg,2111.04
錫永機場,2000.1
Hinton-in-the-Hedges Airfield,321.259
Aéroport de Bari,2819.7
Decorah Municipal Airport,1219.5
Aérodrome de Qala i Naw,1999.0
Monte Real Air Base,2743.2
Aeroporto di Yamagata,2000.0
Alderney Airport,733.0
Kirk Field,1372.0
連科蘭國際機場,3300.07
RAF Pocklington,1000.0
Broadford Airfield,793.0
مطار شيهيان ودانغشان,2600.0
Port lotniczy Sogndal,1110.0
Ronneby Airport,2331.0
Balchik Airfield,2467.36
Port lotniczy Bamako,2706.32
Лейк-Худ (аэродром),670.56
Valence-Chabeuil Airport,400.0
Aeroporto di Linz,2999.84
Militärflugplatz Solenzara,2627.07
哈利机场,2599.94
Aeroporto di Granada,2899.87
Aeródromo de Opinaca,1498.0
ウルハーバー空港,737.006
Aéroport de Bergerac-Dordogne-Périgord,2204.92
Gabrovnitsa Air Base,2522.22
Aéroport Wolfgang Amadeus Mozart de Salzbourg,2749.91
Bălți International Airport,2240.0
Minami Torishima Airport,1371.0
Port lotniczy Notodden,1392.94
Paegam Airport,1463.0
Aeroporto Internacional Juanda,3000.0
Villa Dolores Airport,1409.0
Бол (аэропорт),1439.88
Erie–Ottawa International Airport,1219.5
Eshott Airfield,549.859
Flughafen Bursa Yenişehir,2992.53
Ranai Airport,2563.37
Luchthaven Târgu Mureș,2099.77
Aeroporto Inácio Luís do Nascimento,1200.0
Morrilton Municipal Airport,1219.0
Aeropuerto de Santa Teresita,1500.0
Roland Garros Airport,2670.0
Aeroporto di Yamoussoukro,3000.0
暹粒-吴哥国际机场,2550.0
Miskolc Airport,800.0
Homa Bay Airport,1200.0
Aeroporto di Riunione-Roland Garros,2670.05
Duchesne Municipal Airport,1338.07
Riverside Municipal Airport,1646.0
Tampa Executive Airport,993.0
Port lotniczy Jassy,2400.0
Aéroport de Petropavlovsk-Kamtchatski,3400.0
Flugplatz French Frigate Shoals,914.0
مطار براغا,939.0
Port lotniczy Monterrey,1801.06
Aeroporto di Firenze-Peretola,1749.86
Aeropuerto José Celestino Mutis,1210.97
Кенай (аэропорт),1402.08
Base aérienne 102 Dijon-Longvic,2400.0
Aeropuerto de Ibiza,2800.0
Aeroporto de Redenção,960.0
Aek Godang Airport,1395.98
Bokoro Airport,1271.0
Насосная (аэродром),2505.0
Vliegbasis Woensdrecht,2439.92
Flughafen Menorca,2100.0
Aérodrome de Château-Thierry - Belleau,930.0
Aeroporto di Bari-Palese,1680.06
Port lotniczy Alghero,3000.15
Aeropuerto de Biarritz-Anglet-Bayonne,2250.03
Сарагоса (аэропорт),3718.56
Sierraville Dearwater Airport,994.0
Militärflugplatz Getafe,2479.85
Flughafen Tivat,2500.0
Port lotniczy Victoria Falls,4000.0
Flughafen Alice Springs,2438.0
Aeropuerto Les Eplatures,1130.0
"Pauloff Harbor, Alaska",914.0
Pärnu Airport,799.0
Port lotniczy Djougou,990.6
Melun Villaroche Aerodrome,1300.0
Naval Air Station North Island,2438.0
Växjö Småland Airport,2103.12
مطار إيلوليسات,845.0
Минск-1 (аэропорт),2000.1
Durant Regional Airport–Eaker Field,914.4
Aeroporto Internazionale di Tokyo,3360.12
Aeropuerto de Kaliningrado-Jrabrovo,2500.0
Aeropuerto Rafael Cabrera,1623.0
Bisbee Municipal Airport,1807.0
ア・コルーニャ空港,2338.0
Stony River Airport,792.785
Aeroporto de Porto Seguro,2000.0
Aeropuerto de Craiova,2500.0
Moritz Memorial Airport,1100.33
Aeroporto di Parma,2122.0
Рашен-Мишен (аэропорт),1097.0
La Plata Airport,1427.0
Vliegveld Craiova,2500.27
Atkinson Municipal Airport,1219.2
Base aérienne Iswahyudi,2574.95
Port lotniczy Denis Island,845.0
Toronto Pearson International Airport,3389.38
Aeropuerto Internacional de Taskent,3905.1
Invercargill Airport,426.0
El-Adem,2997.71
Dillon Airport,1981.0
サンタンデール空港,2419.81
Aeródromo Teniente Rodolfo Marsh Martin,1291.74
Киттиля (аэропорт),2500.0
Moises R. Espinosa Airport,1499.92
Aéroport régional Les Éplatures,1130.0
Aeroporto Internacional de Tóquio,3000.0
W. K. Kellogg Airport,3049.22
Aeropuerto Gustaf III,650.0
インバーカーギル空港,426.0
PAF Base Masroor,2749.91
DeFuniak Springs Airport,822.96
Flugplatz Rechlin-Lärz,1880.0
東京国際空港,3000.15
Aéroport de Bordeaux - Mérignac,3100.12
Port lotniczy Grenada-Federico García Lorca,2899.87
Flugplatz Flensburg-Schäferhaus,1220.11
Fort Morgan Municipal Airport,751.942
Bamyan Airport,2000.1
Aeropuerto de Grenoble-Isère,3050.13
مطار سانمينغ شياتشيان,2600.0
Ховд (аэропорт),1999.79
Flughafen Lwiw,3305.0
Limoges – Bellegarde Airport,2440.0
Beringin Airport,904.0
Ourilândia do Norte Airport,1200.0
Flughafen Umeå,2301.54
Pepa Airport,2100.07
Aéroport Rennes St. Jacques,650.0
Aéroport de Saragosse,3024.0
New Castle Air National Guard Base,1403.0
Driggs–Reed Memorial Airport,2225.0
W. H. 'Bud' Barron Airport,1829.41
Port lotniczy Mongo,1600.2
Ingersoll Airport,1188.42
Kiruna Airport,2501.8
Aeroporto di Grenoble Isère,899.77
グワーハーティー国際空港,3108.96
Mannheim City Airport,1066.0
مطار دونج هوا,2400.0
Талуксак (аэропорт),750.0
Kenai Municipal Airport,2386.58
Jorge Isaacs Airport,1486.2
Aéroport international de Coimbatore,2974.85
Lokpriya Gopinath Bordoloi International Airport,3108.96
Algona Municipal Airport,878.0
Vadsø Airport,997.001
Allen Army Airfield,2743.2
Don Muang Royal Thai Air Force Base,3700.0
Zhangjiakou Ningyuan Airport,2500.0
Бастия-Поретта,2520.0
Madison Municipal Airport (South Dakota),1524.0
Aéroport international de Siem Reap-Angkor,2549.96
Gorakhpur Airport,2743.0
Arrabury Airport,1144.0
Port lotniczy Taszkent,4000.0
Villa International Airport,1799.84
Aéroport international Pearson de Toronto,2955.65
Chesterfield County Airport,1676.0
Mekoryuk Airport,936.0
Port lotniczy Mikołajów,1800.0
Roland Garros Airport,3200.0
Aeroporto di Badajoz-Talavera La Real,2852.01
Aeroporto di Vicenza,1499.92
Aéroport de Győr-Pér,2029.97
Aeródromo Victoria,1060.0
Aérodrome de Chaghcharan,2.0
Ток (аэропорт),515.0
Dalhart Municipal Airport,1728.0
Port lotniczy Reales Tamarindos,2271.06
Порт-Грейам (аэропорт),602.0
Aéroport Meidl de Fertőszentmiklós,985.0
Toronto Pearson International Airport,2770.02
Flughafen Allakaket,1219.2
Etimesgut Air Base,1509.0
Panagarh Airport,2743.0
Flugplatz Minami-Torishima,1371.0
Madisonville Municipal Airport (Kentucky),1844.04
مطار تشونغتشينغ جيانغبى الدولي,3000.0
Keshod Airport,1372.0
Hradčany Air Base,2799.89
Aeropuerto de Porto Seguro,2000.0
Aeropuerto Internacional Toronto Pearson,3368.04
Madison Municipal Airport (South Dakota),731.52
Flugplatz Giebelstadt,2135.12
Flughafen Ibiza,2799.89
Istrana Air Base,2991.92
M. Graham Clark Downtown Airport,1139.34
Flughafen Anvik,902.208
Zutendaal Air Base,2980.0
Princeton Municipal Airport (Maine),1218.9
Dalhart Municipal Airport,1950.72
Амундсен — Скотт (аэропорт),3658.0
Flughafen Dabba-Yardêng,4200.0
Flughafen Essen/Mülheim,2000.0
Meyers–Diver's Airport,554.736
Pala Airport,1569.72
Flughafen Leipzig/Halle,2500.0
Aeroporto Internacional de Tóquio,3360.0
Aeroporto della Contea di Sonoma-Charles M. Schulz,1585.57
