http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Floridsdorfer AC,2776
Adelaide Blue Eagles,7013
BCF Wolfratshausen,4300
Olimpia Poznań,22105
AC Cattolica Calcio,2167
Chicago Soul FC,7516
FC Fastav Zlín,7163
CP Olivenza,4646
ウドーンターニーFC,3269
Тауро (футбольный клуб),26792
Olympique Club de Khouribga,8925
CD Alcoyano,4438
Club Deportivo Idoya,944
ギョズテペSK,11158
FCサムトレディア,2719
Ferroviário Maputo,52868
Club Deportivo INECEL,20978
ハノイT&T FC,22032
Changwon FC,13470
Al-Jazira Club,44796
CE Sant Gabriel (women),2
CSパンドゥリイ・トゥルグ・ジウ,24682
Sporting '89,2143
"Герта (футбольный клуб, Берлин)",63922
OFK Petrovac,1557
Amurrio Club de Fútbol,4361
Chonburi Football Club,7891
FKオレンブルク,8413
Real Club Deportivo Carabanchel,2
Hobro IK,8080
Podosfairiki Anonymi Etaireia Atromitos,9374
SPAL 2013,18044
BFC Preussen,5229
Club Oriental de Football,1638
Sociedade Esportiva Matsubara,42449
El Mansoura SC,17032
FC Khimik Novomoskovsk,4955
Vannes Olympique Club,11554
UD Pájara Playas de Jandía,3179
FK Karvan,4639
FK Anji Makhatchkala,28691
UE Llagostera,4257
Синара (мини-футбольный клуб),4698
FK Dečić Tuzi,2830
Witbank Spurs F.C.,23460
Chimik Dzierżyńsk,4901
FK Dečić,2649
Krung Thai Bank Football Club,27365
Football Club Jazz,12338
نادي اتحاد طنجة,39833
Сариньена (футбольный клуб),3634
Celta de Vigo,24264
Pakhtakor Futbol Klubi,29522
ساو كريستوفاو,7861
Шибеник (футбольный клуб),7558
Atlético Valdemoro,3008
Qviding Fräntorps Idrottsförening,4
Apollon Limasol,10977
Сьон (футбольный клуб),12554
V-Varen Nagasaki,20409
Депортес Толима,35833
Hapoël Petah-Tikva,11909
Каха Сеговия,2418
Castilla-La Mancha Fútbol Sala,2940
Carrick Rangers FC,4736
FC Torpedo Zhodino,3126
FC VSS Košice,7272
アミアンSC,12220
Hobro Idræts Klub,6812
"Спартак (футбольный клуб, Куба)",2261
Kruoja Pokroje,2299
DAC 1904 Dunajská Streda,15847
Stade malien,48398
Velež Mostar,7640
TSV Amicitia Viernheim,4239
FC Callatis Mangalia,4226
Yeedzin Football Club,23078
Депортиво Перейра,34488
نادي الباطن,2976
ENPPI Club,19064
Deportes Quindío,18231
Association Sportive Beauvais Oise,11083
Timersoqatigiiffik Nagdlunguak 1948,2210
Associazione Calcio Renate,2396
Дахук (футбольный клуб),25166
JK Viljandi Tulevik,2239
Nooit Opgeven Altijd Doorzetten Aangenaam Door Vermaak En Nuttig Door Ontspanning Combinatie Breda,15345
FC Astana,34303
Antalyaspor,33660
AD Atlética do Paraná,2643
Wołga Niżny Nowogród,15712
Beanibazar SC,15602
Benidorm Club de Fútbol,5502
Clube Ferroviário do Recife,5838
"Нистру (футбольный клуб, Отачь)",1964
大田コレイル,14880
نادي روان,12389
Inter de Tijuana,11147
CD Puerta Bonita,4060
Kawkab de Marrakech,46
Gibraltar United Football Club,5310
Heredia Jaguares de Petén,8409
Club Athlétique Bizertin,24020
Siderurgistul Galați,5062
FC Bülach,3688
Sampaio Corrêa FC,41470
Атлетико Букараманга,24906
Club de Fútbol Fuenlabrada,2139
"Черноморец (футбольный клуб, Новороссийск)",11842
Al-Masry,20811
Tractor Sazi F.C.,54676
Pachtakor Tasjkent,34238
Athlītikos Syllogos Olympiakos Volou 1937,7359
Haro Deportivo,3197
Olympique Nîmes,18534
Les Astres Football Club,27259
Kozani FC,4566
Fotbal Club UTA Bătrâna Doamnă Arad,2139
FK Lietava Jonava,907
FC Évian Thonon Gaillard,14890
Sporting Pizarro,14617
Vallecas Club de Fútbol,2398
バレンシアCF,59580
Club Atlético Douglas Haig,14797
Thể Công,18381
Monagas SC,45207
Al Kuwait SC,22205
AD Tarma,10798
Cobresol Moquegua,21285
FSV Zwickau,8829
Football Club La Chaux-de-Fonds,14782
Tarpieda-BiełAZ Żodzino,3217
ニューヨーク・シティFC,37031
SV Horn,3539
Club Atlético River Plate (Uruguay),5517
KMKM,3810
Comunicaciones Fútbol Club,15537
نادي بران,20514
Futbol'nyj Klub Dinamo Kirov,2540
Sport Unie Brion Trappers,7509
Nogometni Klub Zagorje,1069
Persela Lamongan,13982
Südwest Ludwigshafen,13818
FK Mladost Lučani,7550
A.F.C. Euro Kickers,20523
Siderurgistul Galați,6008
Power Dynamos Football Club,12132
West Ham United Football Club,61639
Real Noroeste Capixaba Futebol Clube,4219
Vancouver Whitecaps FC,20108
FKヴェレジュ・モスタル,7334
Clube Recreativo Desportivo do Libolo,8004
FC Hradec Králové,8335
Club Sport Águila,20475
維拉體育俱樂部,5508
Amiens Sporting Club,11015
Cardiff City F.C.,40343
Club Atlético San Martín (San Miguel de Tucumán),31449
Persatuan Sepak Bola Indonesia Bandung,37041
FK Sileks Kratovo,1875
كانو بيلارس,20862
FC Sankt Veit,2406
FC Yelets,8766
上奧里亞霍維察火車頭足球會,8698
Club Deportivo Palestino,11668
Skellefteå FF,1402
Земун (футбольный клуб),8310
比卓拿博布魯斯克足球會,4175
Hapoel Rishon LeZion,6519
Boca Juniors-Carolina,12993
川崎前鋒,25323
Associazione Calcio Ponte San Pietro-Isola,1940
NK Jadran Hrpelje-Kozina,1178
VfL Oldenburg,3610
Мюлуз (футбольный клуб),11225
Rionegro Águilas,15646
US Sainte-Marienne,1548
Lok Gorna Orjachowiza,12344
AFC Săgeata Năvodari,5217
Harland & Wolff Welders F.C.,3085
CD Llanes,1871
Pumas FC,22909
曼谷聯足球會,22268
Olympiakos Volos (Fußball),9352
Akonangui Fútbol Club,3894
FC Iskra-Stal Rîbnița,4658
Deportes Santa Cruz,4878
Centre d'Esports L'Hospitalet,7433
Club Deportivo Árabe Unido,3944
EGS Gafsa,9399
نادي السويق,12665
EGS Gafsa,11240
穆斯达圣约瑟夫足球俱乐部,17760
NK Svoboda Lublana,503
Orihuela CF,7244
AE Apollon Patras,3257
هيلينيك أفسي,5009
Sport Lisboa e Benfica B,2817
FC Avenir Beggen,5036
CF Vimenor,1797
FC Pajtakor Tashkent,38933
Free State Stars Football Club,18036
UD Villa de Santa Brígida B,844
Sport Huancayo,22684
Yeedzin F.C.,24183
İnter Peşəkar İdman Klubu,7131
Unió Esportiva Cornellà,1905
Unión Estepona,3523
格迪爾體育會,11527
UCAM Murcia CF,6163
Atlético Clube Goianiense,12135
Lombard Pápa Termál Futball Club,5498
Sanat Mes Kerman FC,16138
Racing Club Haïtien,8320
Clube Recreativo da Caála,10087
Borussia VfB Neunkirchen,18973
İnter Peşəkar İdman Klubu,8229
Sydney FC (Frauenfußball),50781
PSAP Sigli,13613
FUS Rabat,14742
Ascot United F.C.,1142
Sporting Clube da Praia,8391
Sport Victoria,8385
Delfines de Coatzacoalcos,4241
Орша (футбольный клуб),2649
ECペロタス,19910
VfR Pforzheim,9915
FC Amur-2010 Blagoveshchensk,15276
紐約紅牛,23741
普雷紹夫足球俱樂部,5607
Annfield Plain F.C.,3476
尼姆奧林匹克,19329
Deportivo Galicia,16663
Sportivo Italiano,7015
Sociedad Deportiva San Pedro,9534
نادي وحدت قم,2899
El Mansoura SC,22415
Central Coast Mariners FC (W-League),21369
AD Ceutí Atlético,814
Manta S.C.,17969
米卡足球俱乐部,8254
Аль-Кува,9992
FCコペル,4423
BC Augsburg,21728
Al-Arabi Sporting Club,27618
Brisbane Roar Football Club,55272
US Monastir,26146
Ferroviário da Beira,8
JKT Ruvu Stars,20948
NK Dugo Selo,312
Futebol Clube da Lixa,6185
FC Dinamo Batumi,5372
Indios de Ciudad Juárez,21257
A.S.D. Pol. Tamai,1248
SV Spittal/Drau,5916
Amed S.K.,1539
OFK Mladost Lješkopolje,1411
Asociación Fútbol Club Euro Kickers,26327
嘉莱黄英足球俱乐部,12543
Club Deportivo Colonia Ofigevi,1323
Marsa FC,3325
Kristianstads FF,5174
Népal Police Club,19233
ND Slovenj Gradec,866
Deportes Antofagasta,25433
US Fiumana,9238
Гихуэло (футбольный клуб),1468
Navbahor Namangan,20453
Filathlo Somateio Kozani,4542
Znamia Truda Oriechowo-Zujewo,7303
Golden Arrows,8872
Hobro IK,7054
Club Olímpico de Totana,1357
Borussia Mönchengladbach,46499
Juventud Escuintleca,3490
Атлетико Малагеньо,1434
Berliner Fußball-Club Viktoria 1889,11534
Ilva Bagnolese,7984
Cambridge United Football Club,7547
Sestao River Club,10286
鲁维奥尼尤俱乐部,4394
カイザー・チーフスFC,85655
Roan United,7890
Tallinna FC TVMK,4447
彭亨足球協會,36152
聖喬治體育會,32470
Desportivo Maputo,4
Дайнава (футбольный клуб),3750
Sportsklubben Brann,16339
伊赫拉瓦足球俱樂部,4257
Ettifaq FC,25310
SO Cholet,773
Цуг-94 (футбольный клуб),5437
Club Deportivo Don Benito,3616
Пахтакор (футбольный клуб),35210
SC Mineiro Aljustrelense,4307
Coria Club de Fútbol,5952
JK Tulevik Viljandi,2681
Holwell Sports F.C.,815
MFK Karviná,5099
Centro Ítalo Fútbol Club,13360
Enköpings SK,4591
Club Deportivo Alhaurino,1578
AO Itabaiana,13603
Colchagua Club de Deportes,4504
SDC Putten,3
Salahaddin FC,9123
نادي ناساف كارشي,15050
Toulouse Fontaines Club,2285
Ribarroja Club de Fútbol,3181
Futbol'ny Klub Naftan Navapolack,5064
FK Ienisseï Krasnoïarsk,22546
Yeni Malatyaspor,14776
GKS Tychy (Fußball),15184
格勒迪希足球俱樂部,4611
迪利然脉冲足球俱乐部,1169
Авеш (футбольный клуб),4220
نادي أوسبيتاليت,7191
FCラ・ショー＝ド＝フォン,12051
Club Deportivo Orientación Marítima,7561
Associazione Sportiva Dilettantistica Oplonti Pro Savoia,11381
SVホルン,3497
Agrupación Deportiva Unión Adarve,814
Club Comunicaciones,4065
Kawkab Marrakesch,49
Sandefjord BK,8560
SV Wilhelmshaven,7548
Cork Hibernians Football Club,25606
考納斯競技足球俱樂部,1
Альдосиви,37766
AD Carregado,1050
CA Candeleda,2013
Оспиталет (футбольный клуб),7787
長崎成功丸,16656
Nea Kavala F.C.,10559
FC Clifton Hill,2284
阿比讓非洲體育會,19524
FC Smena-Zenit,23821
"Текстильщик (футбольный клуб, Камышин)",10144
Topos de Reynosa FC,24094
Ashanti Gold S.C.,35741
Club Deportivo Pozoblanco,3694
万卡约体育,22831
Omladinski Fudbalski Klub Petrovac,1936
PFK Turan Tovuz,9863
FC Zimbru Chișinău,10078
FC Basel,39338
Alto Rendimiento Tuzo,928
"Córdoba Club de Fútbol ""B""",2949
Marsa Football Club,2973
Cheongju FC,23264
Vallecas CF,2307
Manchester Central,6529
FC Tskhinvali,1333
FC Dynamo Vologda,9930
Club Defensores de Cambaceres,9373
نادي دهوك,32036
Оран (футбольный клуб),43433
Guarani Esporte Clube (Minas Gerais),5291
Górniczy Klub Sportowy Bełchatów,4787
Club Deportivo Sariñena,3829
F. C. Basel,36737
Torhout 1992 KM,2100
نادي الأنصار (لبنان),24096
NK Olimpija Ljubljana (extinto),8175
Football-Club Bex,2226
IFK Hässleholm,5387
Atlético Clube Goianiense,12743
Ayr United F.C.,1638
泰港足球會,10560
Adelaide United Football Club,15649
卡域克流浪足球會,6504
Al Hala Sports Club,10374
FK Gaber,513
Qviding FIF,4
伊提洛爾足球會,23070
الترجي الرياضي الجرجيسي,7244
Young Buffaloes FC,4577
Apollon Limassol,10809
Аделаида Юнайтед,17384
CD Comarca de Níjar,3128
FKスタル・ドニプロゼルジーンシク,2497
Keilor Park SC,1964
Futbol'nyj Klub Čita,12169
プラチュワップFC,6746
FC Wiltz 71,2247
Werder Bremen,45487
Klubi Futbollit Adriatiku Mamurrasi,1010
Deportivo Azogues,9990
Moadon Kaduregel Maccabi Herzliya,9079
KS Flamurtari Vlora,9472
Kalmar AIK FK,9032
Yeni Malatyaspor,13195
FC New York,5953
"Аль-Ахли (футбольный клуб, Дубай)",9461
FC Spartaki Zchinwali,1297
Middelfart G&BK,4374
SC Apolda,5629
Dynamo Czeskie Budziejowice,7658
Warrenpoint Town F.C.,1337
FC Shurtan Guzar,6526
Yangon United F.C.,2908
Sportclub Young Fellows Juventus,2936
Al-Ahli Club,9407
陸軍聯足球會,22253
Руан (футбольный клуб),10424
Dhaka Mohammedan,35302
МАС Фес,45449
PFC Dobroedzja Dobritsj,13406
FC Aarau,8729
Football club municipal d'Aubervilliers,2342
Erbil SC,34756
كارديف سيتي,30689
Entente Sportive de Sétif,22854
Jerez CF,2684
Aswan SC,25068
Notre Dame SC,16165
Cobán Imperial,16054
FC Porto B,8269
Associazione Sportiva Dilettantistica Tritium Calcio 1908,3159
"Атромитос (футбольный клуб, Афины)",10016
Cultural Deportiva Guarnizo,2843
Hapoel Kefar Saba,6817
Polonija Vilnius,6051
Guarani Esporte Clube (Ceará),18032
FK Sutjeska Nikšić,5569
Zanaco FC,9467
Yokohama Flügels,18551
CD Lugo,6979
Forfar Athletic,644
FC Milsami Orhei,2393
Futebol Clube de Felgueiras,7965
Adelaide United (Frauenfußball),2313
C.D. Con Con National,2
Ball-Club Farchet Wolfratshausen e.V.,5748
Poitiers FC,13181
アル・アハリ・ドバイ,7827
F.C. Niutao,1661
FC Darida,5663
SSV Jahn Regensburg II,4796
Dunakanyar-Vác FC,12442
Basler Sportclub Old Boys,7963
Fussballclub Baden,6815
Club Atlético Douglas Haig,16378
アル・ジャイシュ・ダマスカス,30416
Football Club de Rouen 1899,12272
FC Tuggen,3052
Vannes Olympique Club,10581
拉達陶裡亞蒂足球會,17911
V-Varen Nagasaki,19858
FC VSS Košice,9581
Hertha Berliner Sport-Club,69542
UD Barbastro,4466
Defensores de Belgrano Villa Ramallo,2952
希伯尼安斯足球俱乐部,3264
Shahrdari Tabriz F.C.,5466
FC YPA,506
Union sportive Avranches Mont-Saint-Michel,790
Hartlepool United FC,7781
Sociedad Deportiva Lagunak (femenino),898
Enköpings Sportklubb,4044
Albinegros de Orizaba,5704
JEF United Ichihara Chiba Ladies,13962
Ettifaq FC,29435
FC Chindia Târgoviște,11614
Corporación Deportes Quindío,19619
Looktabfah F.C.,15672
West Ham United Football Club,65306
FK Lietava,1010
Igreja Nova Futebol Clube,4885
FK AS Trenčín,3211
ジローナFC,8505
FK Sirijus Klaipėda,8666
Hvidovre IF,12738
V-Varen Nagasaki,17984
Boyacá Chicó Fútbol Club,23035
Sestao River Club,7838
Al-Hedood FC,8795
SV Wilhelmshaven,7133
Carolina RailHawks Football Club,8235
CD Mengíbar,1644
Icasa Juazeiro do Norte,19604
Kossa FC,22617
Clube Recreativo da Caála,10739
チャイナートFC,10926
Cork Hibernians F.C.,28206
CD Domingo Salvio,10200
Wuhan Zall F.C.,22796
NK Zagorje,1143
Рюмеланж (футбольный клуб),2989
Club Atlético River Ebro,3713
Unió Atlètica d'Horta,4785
Fudbalski Klub Belasica,7180
Форфар Атлетик,647
FC Berne,13834
نادي القوة الجوية,8239
FK Qäbälä,1680
Влазния (футбольный клуб),15102
Central Español Fútbol Club,6280
Vasas SC,20750
Rionegro Águilas,13143
Diwaniya FC,5192
NK Višnjevac,1636
Rheindorf Altach,8936
Club Deportivo Huachipato,10407
Kjelsås Fotball,1532
Chamois Niortais F.C.,9742
José Gálvez FBC,23797
CD Elá Nguema,16568
Football Club de Rouen 1899,12006
International Marine Incorporated Fútbol Club,8162
FK Velež,6505
Zanaco Football Club,8759
Albinegros de Orizaba,8386
Club Deportivo Aoiz,2060
Mouloudia d'Oujda,30593
Диошдьёр (футбольный клуб),11039
Club Deportivo Alcoyano,4144
CS Duguwolofila,9312
Action 21 Charleroi,3466
杭州绿城足球俱乐部,52384
CD Santa Eugenia,573
FC Valenciennes,21776
SC Olhanense,6953
Club Deportivo Artístico Navalcarnero,1551
Olympique Club de Safi,16651
Club Deportivo Jorge Wilstermann,43881
Al-Jazira Club,36456
Army United,17831
FC Dinamo-2 Minsk,1383
Dili Leste,5771
بوروسيا مونشنغلادباخ,47253
JEF United Ichihara Chiba,18247
FK AS Trenčín,3289
Racing Club Haïtien,9119
Aravaca CF,2283
Viljandi Tulevik,2280
C.D. INECEL,22430
Club Irapuato,31262
Red Bull Ghana,1138
Urawa Red Diamonds Ladies,17611
SO Cholet,696
Progrès Niedercorn,4292
Jeunesse Esch,3438
Pärnu Linnameeskond,1542
Dinamo Kirow,2175
Runcorn Linnets F.C.,1355
Club de Deportes Coquimbo Unido,19014
Sportsklubben Brann,16444
Al-Suwaiq,17426
Stade Malien de Bamako,73388
Al-Khor SC,10963
Hapoel Petach Tikwa,10707
名門世家加義,1606
エヴィアン・トノン・ガイヤールFC,13916
Municipal Real Mamoré,10369
Vasas SC (piłka nożna),15850
نادي أسوان,22618
U.S.D. 1913 Seregno Calcio,3861
Tarpeda-BelAZ Zjodzina,2539
FC Arda Kardzhali,26162
FC Gloria Buzău,18914
MFK Zemplín Michalovce,4613
FC Vysočina Jihlava,3825
Real Cuautitlán,4022
Koninklijke HFC,915
Atletas Kowno,1
Futbol'nyj Klub Baltika,17454
Arab Contractors SC,36931
نادي الشارقة,10875
VfL Herzlake,7043
Vancouver Whitecaps FC (2009),23740
VfL Neckarau,5673
Nistru Otaci,2283
デポルテス・キンディオ,22072
FK Mladost Apatin,3074
Каравака (футбольный клуб),1577
Gaborone United Sporting Club,25422
FK Kruoja Pakruojis,1787
Union Sportive Monastir,28534
ENPPI Club,17473
TJ Sokol Dolná Ždaňa,762
Gaborone United,24793
Club Atlético Pulpileño,2171
Aiglon du Lamentin,9066
Sporting Club de Huelva,778
Volga Nizjni Novgorod,20368
نادي سبال,15790
塞提夫協定體育俱樂部,25495
PAE Ergotelis Héraklion,28207
Klubi Sportiv Vllaznia,16201
ДАК 1904,17845
Luparense Calcio a 5,882
利亚戈斯特拉体育联盟,4490
Millwall Lionesses Ladies Football Club,17770
Ferrocarril Urquiza Buenos Aires,990
Пауэр Дайнамоз,13539
Club Atlético Progreso,8239
Unión Deportiva Las Zocas,2349
FK Zemun,10255
維京加高泰,1844
Trélissac FC,2831
Muleño Club de Fútbol,2063
Hapoel Ramat Gan Giv'atayim Football Club,37242
Albinegros de Orizaba,6432
Inter de Tijuana,13466
Ферровиариу ди Мапуту,49723
Football Club Mantois,4313
Sriwijaya FC,27072
FK DAC 1904 Dunajská Streda,14158
AD Alcorcón,6420
ES FC Malley,2969
Desportivo Brasil,12663
Salalah SC,11569
FC Milsami,3028
AC Renate,3102
Saham Club,21249
"Ривер Плейт (Клуб Атлетико, Монтевидео)",6818
Rising Stars F.C.,16167
Club Deportivo Marte Soyapango,958
ملادوست بودغوريتسا,1973
Naftan Nawapolazk,5321
Al-Olympic (Zawiya),7274
Red Bull Ghana,983
Blauw-Wit Amsterdam,2024
FC Dürrenast,11204
Sriwijaya Football Club,23580
NAC Breda,17516
PFC Svetkavitsa Targovishte,8146
Club Deportivo Marchamalo,1777
Ayamonte Club de Fútbol,4823
1461 Trabzon,6447
Petrol Ofisi SK,5012
Бани Яс,9400
Hà Nội T&T F.C.,20587
Araklıspor,1401
Glasgow City Football Club,10402
Agrupación Deportiva Sala 10,2268
Stade Tunisien,21111
Kano Pillars Football Club,25570
FC YPA,659
FC Hradec Králové,8451
DRB-Hicom F.C.,3024
Yeedzin Football Club,22306
Amed SK,1358
Shkëndija Tetowo,15533
Jönköpings Södra Idrottsförening,6012
Delfines de Coatzacoalcos,5151
نادي المريخ,47587
BSV Halle-Ammendorf,9360
Cambridge United Football Club,8204
Inter Club Brazzaville,37653
Unión Deportiva Mutilvera,922
Difaa El Jadida,17722
Albirex Niigata,38462
FBグルベネ,1601
Zayar Shwe Myay Football Club,4402
S.C. Olhanense,5503
Al-Nesoor SC,16785
Nepal Police Club,17196
Kaizer Chiefs,86446
Athlétic Club Amiens Football,1404
Mladost Podgorica,1973
Swindon Supermarine F.C.,3491
Olympic Real de Bangui,34520
FC Stal Kamianske,2565
Gryphons de London,3198
New York Red Bulls,22671
Deportes Tolima,30337
Феррокарриль Оэсте,27016
格拉纳达足球俱乐部,27229
Zimbru Kiszyniów,8136
FC Zestafoni,4709
FC Baden,7542
Real Saltillo Soccer,9902
NA Hussein Dey,23887
"Заря (футбольный клуб, Бельцы)",6977
Carshalton Athletic F.C.,4915
FC Chiasso,9893
Free State Stars,17250
Hvidovre IF,13555
FK Dainava Alytus,3570
SC Erebuni Dilijan,1207
FC Santa Claus,4288
Virginia Beach Mariners,11199
Randers Sportsklub Freja,11494
Granada Club de Fútbol,22163
نادي كارنتين,32645
KS Vllaznia Shkodër,13776
CA Cirbonero,893
UD Mérida,14834
VV Sparta Nijkerk,4869
Al Jaish Damas,31064
Puerto Real Club de Fútbol,2779
卡爾夏登競技足球會,4747
FK Zemun Belgrado,9598
Union Sportive de Boulogne,15702
Inti Gas Deportes,17545
FC Mulhouse,10808
Torpedo Schodsina,3263
Valencia CF,70083
KSディナモ・ティラナ,8742
地拉那戴拿模體育會,10863
نادي سونغ لام نغي أن,18146
Burnham Ramblers F.C.,2456
Persita Tangerang,26210
Coquimbo Unido,15857
Colorado Caribous,66350
Pahang F.C.,35634
Nagdlunguaq-48,1926
Porto Alegre Futebol Clube,590
Daejeon Korail FC,20005
Budapesti Vasutas Sport Club-Zugló 1911,4299
