http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Wide Bay-Burnett,217082
"Matanga, Madagascar",21446
涅夫尔河畔拉塞尔,154
Strongyli (Crete),0
Recologne-lès-Rioz,220
Stare Biskupice (województwo lubuskie),90
"Kula, Bulgaria",2919
利亚诺德奥尔梅多,67
Ribera de Urgellet,953
"Brody, Zielona Góra County",736
Boissy-le-Châtel,2954
Le Plessis-Dorin,233
Loria,7561
Gant (Piecki),61902
"Marada, Libya",2249
Coin-lès-Cuvry,759
غراندفونتين,327
濱海布洛涅 (布宜諾斯艾利斯省),85220
Miloslavskij rajon,16682
Rope (Cheshire),1663
海利根克罗伊茨,1338
Bokeo,155301
圣西普里安 (卢瓦尔省),2456
Saint-Sauveur-des-Landes,1255
诺伊恩基尔兴,1211
Limbach (Baden),4701
Castelvecchio di Rocca Barbena,195
"Stawno, Kamień County",123
Mées,1587
Сен-Сиприен (Коррез),380
三陸町,7290
Saint-Saturnin-du-Limet,572
Saint-Brice (Charente),1191
Selva di Progno,1137
Martín García Island,120
La Villedieu-du-Clain,1336
Akbarabad-e Sardasht,287
Saint-Perreux,937
"Saint-Brice, Mayenne",509
Saint-Sauveur (Vienne),1179
"Saka, Morocco",19575
Tremblay-sur-Mauldre,1266
Morašice (Chrudim District),690
ノイエンキルヒェン (アルテス・ラント),733
Dompierre (Oise),209
Sowjetskyj,9795
Breitscheid (Westerwald),2459
Campana (Corsica),20
Saint-Brice-de-Landelles,720
Blankenburg (Berlin),5682
Liebenau (Austria),1617
Libkov (Domažlice District),110
Rixton-with-Glazebrook,2251
Karsin (plaats),2641
Abbéville-lès-Conflans,209
Saman District,12236
"Matamoros, Coahuila",55552
弗赖纳河畔多马尔坦,359
チャンパーサック県,572803
"Mala, Nepal",2623
Muri (India),9994
Kuła,2962
卡巴纳,4187
Gournay-sur-Aronde,536
Мединилья (Авила),160
Saint-Sauveur (Altos-Alpes),415
Oberdorf-Spachbach,357
普莱桑瑟,156
Puch bei Weiz,2022
Saint-Martin-des-Champs (Cher),335
Newcastle Township (Ohio),382
"Alga, Burkina Faso",1538
Promina,1154
Kulina (Aleksinac),703
Montastruc (Tarn-et-Garonne),212
Saint-Saturnin-lès-Avignon,5237
埃文鎮區 (堪薩斯州科菲縣),162
Dźwirzyno,586
Galera,1166
Bokeo,120413
马尔茨,1986
Saint-Gratien-Savigny,139
Pogrodzie,575
Oliva de la Frontera,4845
Tertry,163
وخان دي كويو (مدينة),90310
Вири-Нурёй,2013
Промина,1041
Enskede-Årsta-Vantör,96769
"Tejada, Province of Burgos",41
"Banica, Gmina Uście Gorlickie",263
Anville,231
"Cedar Township, Floyd County, Iowa",312
Ashington,24972
特里安,142
Dolní Hořice,811
La Celle-sur-Loire,762
Saint-Sauveur-en-Rue,1070
Saint-Sauveur (Somme),1547
District de Gaoping,687309
Aragon (Aude),400
Marsac-sur-Don,1253
Jolo,458333
Biskupice (Olomouc),257
Abos,544
Le Plessis-Hébert,470
Brusque (miasto w Brazylii),109356
Dompierre-sous-Sanvignes,68
"Pleasant Valley Township, Fayette County, Iowa",852
Charmoille (Doubs),329
ウスチ＝マヤ地区,9193
Брайтшайд (Хунсрюк),128
Velle-sur-Moselle,282
"Juda, Wisconsin",392
Boissy-en-Drouais,267
加加林區,129782
"Breitenstein, Saxony-Anhalt",468
Blain (Loire-Atlantique),7960
Rozogi,1543
Jiangning District,782909
"Pepperell (condado de Middlesex, Massachusetts)",2703
Хорка (коммуна в Германии),2101
テルヴェル (都市),6808
Belleau (Meurthe e Mosella),737
拉塞勒圣西,788
Sono (Burkina Faso),7630
Gampel-Bratsch,1607
坎纳,847
Akbarabad-e Qushchi,42
Coin-sur-Seille,283
巴尔托,585
Dragomireşti (Dâmboviţa),7118
Тямпасак (провинция),631239
Requena de Campos,37
Gmund am Tegernsee,6589
Brzeziny (Biłgoraj),166
Distrito de Samán,12756
"Naik, Iran",21
Amancio (Cuba),44454
Raz (Iran),4556
Podmokly nad Berounkou,340
Kingscote (Gloucestershire),279
Guerville (Yvelines),1850
Campello (Tessino),54
La Celle-sous-Chantemerle,131
パーン郡,144307
Oberdorf am Hochegg,632
Neuenkirchen (Rügen),382
Gmund am Tegernsee,5186
Grandfontaine (Bas-Rhin),430
Boissy-le-Châtel,2968
حفر الباطن,269149
"Kirovsk, Luhansk Oblast",26110
Belleau (Aisne),117
Dipartimento di Minas (Neuquén),5999
Heiligenkreuz am Waasen,1694
"Municipio de Pleasant (condado de Steuben, Indiana)",15035
Saint-Perreux,1091
"Belleau, Aisne",121
Góralice,571
"Orang, Nepal",1993
"Enoggera Reservoir, Queensland",19
Villedieu-le-Château,424
Bana (Komárom-Esztergom),1621
Arnouville-lès-Mantes,770
Henshaw,729
Marey-sur-Tille,351
Caballero (Coclé),3973
"Janów, Brzeziny County",51
Montagny (Savoia),582
Oberdorf-Spachbach,353
圣马丹代尚普 (谢尔省),380
Seri (Darchula),1423
"Barani, Sistan and Baluchestan",328
Saint-Brice (Orne),133
Suba (Palestyna),736
Cressy,296
"Municipio de Nevada (condado de Livingston, Illinois)",1444
Alausí Parish,10616
Limbach (Westerwaldkreis),436
Luzino,7183
Dompierre-sous-Sanvignes,81
Kikai,6668
Saint-Sauveur-des-Landes,1479
布瓦西弗雷斯努瓦,1079
"Saint-Sauveur, Gironde",1187
Nessa (Teuchern),1000
Шпиталь-ам-Пихрн,2245
Champlin (Ardenas),67
Saint-Brice (Mayenne),539
Montastruc-la-Conseillère,3393
Rejon gagariński,124427
Addur,5527
Weyer (Bas-Rhin),526
La Celle-Saint-Avant,909
"Gans, Gironde",217
栋皮埃尔贝克坎库尔,569
Landser (Haut-Rhin),1566
Arriaga (Chiapas),34523
Bischdorf (Radlau),353
"Kora, Burkina Faso",1998
ʿAmrān,98328
ラ・ヴィルデュー＝アン＝フォントネット,142
"Parava, Iran",20
伊斯特島,207
Montagny (Savoie),537
Nakhla,12483
"Dragomirești, Neamț",2730
多马尔坦苏阿芒克,294
Сен-Мартен-де-Шан (Шер),289
Le Plessis-Gassot,71
El Milia,91999
Majskij rajon (Cabardino-Balcaria),42192
"Garden Plain Township, Whiteside County, Illinois",1325
Kusma,5633
拉维莱迪厄迪克兰,1596
Lesnica (Trgovište),133
"Malo, Washington",27
"Ovacık, Kuyucak",253
Goole Fields,220
Sanga (Burkina Faso),45904
Isla Martín García,141
South East Queensland,4082962
تخت (تخت بندر عباس),2355
Mirabello (Italia),3269
"Saint-Cyprien-de-Napierville, Quebec",2004
Seri Yek-e Zarruk,656
Кладно (район),141916
罗蒙 (孚日省),312
Lagny,515
"Akbarabad, Kuhdasht",730
Krasne (powiat człuchowski),11
"Ballyrory, County Londonderry",79
Bevern (Schleswig-Holstein),707
Sankt Martin an der Raab,1835
Saint-Sauveur-d'Aunis,1581
"Majewo, Warmian-Masurian Voivodeship",259
普萊森特瓦利鎮區 (費耶特縣),1004
Guantánamo (província),534446
Janów Podlaski (village),2437
Florești (Moldavië),15404
Wenecja Euganejska,5514670
Neuenkirchen (Rügen),300
Vigneux-de-Bretagne,5527
Raión de Lenin (Sebastopol),105221
ガザ,421009
Valle de Matamoros,474
Janów (powiat turecki),257
Llano de Olmedo,67
Sandberg (Beieren),2368
"Kalam, East Azerbaijan",49
La Forge (Vosges),582
Virgilio (Italia),11627
"Kabila, Viljandi County",86
Steinfeld (Meclemburgo-Pomerania Anteriore),611
Stod,2993
セルヴァ・ディ・プローニョ,794
"Anju, Iran",287
Montel-de-Gelat,537
Le Plessis-Bouchard,8424
Marsac (Charente),946
Vigneux-de-Bretagne,5455
Kuzhalmannam-I,20579
"Lenta, Piedmont",1045
Saint-Sauveur-Lalande,105
Distretto di Paracas,1040
Bourguignon-lès-Conflans,105
"Neuenkirchen, Anklam-Land",214
Boissy-sans-Avoir,676
Dębki,162
"Virgilio, Lombardy",13851
"Akbarabad, Khusf",536
"Akbarabad, Kohgiluyeh and Boyer-Ahmad",2179
"Orville, Pas-de-Calais",334
Вайскирхен-ин-Штайермарк,1459
Saint-Martin-des-Champs (Yonne),309
مرز (غرمخان),227
"Bernal, Querétaro",2859
Hagen (Holstein),369
Saint-Sauveur-Gouvernet,170
Campânia,5281112
Kněžice (powiat Nymburk),655
Ле-Ме (Альпы Верхнего Прованса),3534
"Ovacık, Lüleburgaz",678
Saint-Sauveur-de-Meilhan,213
Mala Remeta,166
Boissy-le-Châtel,2511
Bana (Ungheria),1643
Brody (Nowy Tomyśl),646
La Celle-sur-Nièvre,181
Scheidt (Saarbrücken),5215
Cantón Alausí,48829
Heiligenkreuz im Lafnitztal,1117
Regione Autonoma del Tibet,3184048
"Llandrillo, Denbighshire",594
Jussy (Moselle),562
Enskede-Årsta-Vantör,122179
施塔弗尔湖畔塞豪森,2281
马尔马尼 (谢尔省),1962
Weißkirchen an der Traun,2530
Svoboda nad Úpou,2540
Épinay,247
Pommiers (Gard),64
Alberdi Department,17393
Ljubija (Mozirje),494
La Oliva,23001
克拉斯涅 (圖爾卡區),520
Ramallah,23864
Lora de Estepa,916
"Brusque, Aveyron",332
Barrancas,20065
Dommartin (Ródano),2612
Субпрефектура Эрмелину-Матараззу,194291
Ashington,31594
那賀町,10595
Gmina Cedar (hrabstwo Cherokee),370
Łabędź (województwo śląskie),96
Medinilla,171
Bourguignon-lès-Conflans,114
Coin-lès-Cuvry,577
Nasavrky (Ústí nad Orlicí),121
Paine (Chile),56210
Puch bei Weiz,2403
Pogorzała Wieś,540
Villarino de los Aires,810
Lignerolles (Orne),182
Limbach,4935
Ain Ehel Taya,5183
"Barzun, Pyrénées-Atlantiques",511
Mineral del Monte,13707
Пьомбино-Дезе,9476
Gaza,490577
Sankt Martin am Wöllmißberg,962
Ahigal de Villarino,35
Hamr (okres Jindřichův Hradec),311
Saint-Sauveur-la-Vallée,41
布瓦西莱布瓦,222
Saint-Jouin-de-Marnes,622
Pommiers (Gard),63
Gmina Bistra,4738
Saint-Brice (Gironda),258
Marnes,207
Montagny-près-Louhans,398
"Rostaq, Fars",3522
Veliki Gaber,333
Marsac-sur-l'Isle,2838
"Oldendorf, Schleswig-Holstein",1084
"Brody, Żary County",866
Dompierre-sur-Yon,3799
Kampar (regentschap),804656
Brusque (Aveyron),307
"La Celle, Cher",352
"Grunwald, Warmian-Masurian Voivodeship",723
Олива-де-ла-Фронтера,5804
Moncey,430
Saman (Iran),16806
Mirabello (Ferrara),3523
Dommartin-le-Coq,59
Dommartin-lès-Cuiseaux,629
Ustronie Morskie,2166
Shrewton,1895
"Kotla, Himachal Pradesh",4101
Mory-Montcrux,106
"Broadford, Victoria",2664
Oliva de la Frontera,6887
Pommiers (Loira),366
Nessa (Alta Córsega),116
阿曼西奧,43532
Villedieu-lès-Bailleul,262
Ахметский муниципалитет,41369
多马尔坦莱圣佩尔,287
Ла-Сель-Дюнуаз,628
"Unikowo, Warmian-Masurian Voivodeship",623
Costești (Vaslui),2990
Perreux (Yonne),287
"Sand Ridge Township, Jackson County, Illinois",758
Liga Państw Arabskich,375912006
Siget,268
Luján de Cuyo,117025
Le Plessis-Luzarches,164
"Miti, Estonia",17
"Martell, South Tyrol",913
Faramans (Isère),1071
Cromac,262
Drama (Šentjernej),102
Le Plessis-Feu-Aussoux,537
Maarja-Magdaleena,203
"Matamoros Municipality, Coahuila",88783
Carville-la-Folletière,325
Blankenheim (Saksonia-Anhalt),1128
Le Plessis-Lastelle,232
Zastawno,184
Mud Rural District,5165
"Ela Township, Lake County, Illinois",44559
"Pommiers, Aisne",605
"Trient, Switzerland",140
Brody (Zielona Góra),780
古尔奈莱盖兰,187
Ribera d'Ondara,432
Heiligenkreuz (Baixa Áustria),1532
Штайнен (Вестервальд),246
Ustronie Morskie,1772
Bourguignon-lès-Conflans,126
Perthes (Sekwana i Marna),1817
Crépy (Pas-de-Calais),193
サリム,4543
布赖茨夏伊特,1004
圣马克西曼 (加尔省),642
Biedkowo,171
"Wiscasset (CDP), Maine",1077
Hamry nad Sázavou,1474
Montagny-lès-Buxy,252
"Bartow, Germany",637
Frymburk,1085
Sebastopol,483927
Biskupice (powiat wielicki),964
Wiscasset (Maine),3487
La Celle-sous-Montmirail,137
Boissy-Lamberville,253
Gampel-Bratsch,1690
Барранка (провинция),138918
"Brookside, Telford",6001
Labrador (regione),26596
Bourguignon-lès-Conflans,113
Нойенкирхен (Альтес-Ланд),816
Adjamé,434925
Villedieu (Cantal),473
Němčice (Zlín),433
"Jatki, West Pomeranian Voivodeship",155
Montagny (Loara),1283
Takht-e Qeysar,1375
Nathowal,3267
Épinay-sous-Sénart,13941
哈費爾巴廷,211886
Lány (powiat Havlíčkův Brod),60
La Entrada,14163
平南县,425971
Podunajské Biskupice,20063
Saint-Brice-sous-Rânes,178
Dompierre-les-Églises,362
قسم تخت الريفي (مقاطعة بندر عباس),6746
Tremblay-les-Villages,2131
Dommartin-sur-Vraine,345
Mée (Mayenne),193
Horka I,373
魏茨附近普赫,2391
Fournes-en-Weppes,2151
Atan (Armenia),370
ヘブロン,194827
Fors (Deux-Sèvres),1914
勒普莱西圣奥波尔坦,280
拉佩鲁斯莫尔奈,888
Janów (gmina Brochów),397
Aqsu (Pawlodar),62437
"Pleasant Valley Township, Jo Daviess County, Illinois",286
Fournes-en-Weppes,1842
Fournes-Cabardès,65
"Bryn Mawr, Minneapolis",2722
Steinen (Renania-Palatinato),252
Breitscheid (Westerwald),2401
Němčice u Boskovic,463
Brza Palanka,986
卡里尼昂,3061
Zulia Department,165014
"Saru, Mazandaran",1416
Kallar-e Sofla,255
جزر الولايات المتحدة الصغيرة النائية,292
圣萨蒂尔南 (洛泽尔省),86
Grandfontaine (Basso Reno),385
Gaza,451047
Л’Иль-Адам,12672
Saint-Sauveur-de-Peyre,305
Lor (Syunik),338
Fuente-Olmedo,37
Região Autônoma do Tibete,3046774
Les Angles (Pyrénées-Orientales),476
Horka (Saksen),1881
"Akbarabad, Tabas",96
Gmund am Tegernsee,5745
Krutyń,277
Тервел (община),16701
Жечица (гмина),5463
Kowale Oleckie,2363
Бистра (Хорватия),7501
Les Angles (Hautes-Pyrénées),130
Hilldale,1056
Oberdorf (França),611
Provincia di Bokeo,154912
Abbéville-lès-Conflans,254
Costești (Vaslui),2750
圣布里克德朗代莱 (芒什省),630
伊斯兰合作组织,1364509466
Municipio Comanche,3771
圣布里克 (吉伦特省),251
Hinterthal,294
Talki (Wydminy),222
Брюск,329
Steinfeld (Rijnland-Palts),2055
甘佩爾-布拉奇,2066
Enskede-Årsta-Vantör,120362
Maarja-Magdaleena,303
"Agios Theodoros, Larnaca",642
أوبردورف سباتشباتش,430
韦埃 (下莱茵省),560
"Minas Department, Córdoba",4405
Montastruc (Tarn i Garonna),188
Orville (Pas-de-Calais),295
圣萨蒂尔南 (康塔尔省),199
圣索弗德卡尔鲁热 (奥恩省),221
Guantánamo (provincie),524441
Saint-Cyprien (Loire),2423
Saint-Brice-sous-Rânes,160
Шацкий район (Рязанская область),20672
La Villedieu,41
Conflans-en-Jarnisy,2633
Saint-Saturnin-sur-Loire,1303
Agnihal,450
Ribera d'Urgellet,820
Dampierre-lès-Conflans,325
Kostelec nad Vltavou,351
Saint-Cyprien (Corrèze),311
Saint-Sauveur (Hautes-Alpes),421
"Taillebourg, Lot-et-Garonne",85
Marr,125
La Celle-les-Bordes,900
Sangha (Kongo),99326
La Celle-sur-Nièvre,208
Leménil-Mitry,3
"Sanriku, Iwate",9360
Viry (Alta Saboia),3051
"Roșiori, Brăila",2953
Oliva de Mérida,1779
Sankt Martin an der Raab,2023
Soto y Amío,973
Spychowo,1032
برك (جلغة بهاباد),104
Газа,574807
Niepoględzie,337
グルンヴァルト,707
Arriaga (municipalité),37566
Saint-Sauveur-la-Pommeraye,268
Lagny-le-Sec,1622
La Celle-sous-Chantemerle,138
Marsac-sur-Don,1559
Bassa (Kogi),149961
法蘭西博納依,699
Beauregard-Vendon,1179
Selva di Cadore,578
Loria (Italie),9849
欧鲁,6296
Kulina (Aleksinac),762
Dommartin-lès-Vallois,65
雲蓋 (智利),14402
"Zano, Boulgou",1650
Dommartin-lès-Cuiseaux,856
Costești (Buzău),4486
大余县,258242
Angles (Pireneje Wschodnie),474
Tremblay,1417
Bonneuil (Indre),84
瑞西 (摩泽尔省),581
"Alu, Mazandaran",363
Perthes-lès-Brienne,77
"Akbarabad, Esmaili",599
Maradah,2526
San Carlo Canavese,3584
Taufkirchen an der Pram,3270
Floresta (Buenos Aires),33932
Achola,814
"Biskupice, Lublin Voivodeship",919
Драге (Штайнбург),251
Orville (Loiret),142
Montel-de-Gelat,470
Taï,36908
Алгинский район,43074
Épinay,289
Saint-Sauveur (Dordoña),726
Jussy (Aisne),1185
皮奥恩比诺德塞,7654
La Celle-sur-Morin,1031
Bako,17328
Санкт-Мартин-им-Иннкрайс,1593
Calabria,1946436
Takht-e Olya,92
Porta (Pirenei Orientali),114
Němčice (district de Domažlice),107
Krzęcin (województwo zachodniopomorskie),1404
Bonpland (Corrientes),887
Moulineaux,977
Oliva de la Frontera,5185
Gorica pri Dobjem,45
Galloway (Virginia Occidental),166
高坪区,500774
Dommartin-lès-Toul,1437
Oliva de Mérida,1907
Сигуатепеке,68562
Yura (distrito),15700
El Rosal (Cundinamarca),16393
巴特多伊奇—阿尔滕堡,1170
Barzan,413
北島 (塞舌爾),142
Villa Oliva,1127
"Cedar Township, Cherokee County, Iowa",362
فينيتو,5239735
Bilaspur (Gautam Budh Nagar),6957
"Desa, Dolj",5190
Dommartin-Lettrée,121
Velle-sur-Moselle,253
Umbrien,875887
Le Plessis-Lastelle,223
Вильярино-де-лос-Айрес,988
Vigneux-Hocquet,270
Marsac-sur-l'Isle,3010
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",191
Ла-Порта,287
Rosta,5316
Hagen (Moselle),265
Hausvik,605
Ozoir-le-Breuil,425
"Lor, Kermanshah",395
道孚县,41871
Sankt Martin im Mühlkreis,4145
セルヴァ・ディ・カドーレ,612
"Neuenkirchen, Rügen",363
泰爾韋爾,6757
سليم تشاف (دهغاه),333
Sassen (Eifel),99
Orvillers-Sorel,431
Carignan (Ardennes),2918
Пушкино (Лори),507
Hamry (Plzeň),116
Drage (Dolna Saksonia),3988
Lapeyrouse-Fossat,2327
Călăraşi (Dolj),6204
Biskupice Ołoboczne,1822
Rožnov,312
Sangha (Mali),34007
Tlacolula de Matamoros (municipio),18708
Boissy-sans-Avoir,503
La Celle-sur-Loire,610
忠县,810857
フムス (リビア),180151
"Municipio de Cedar (condado de Jackson, Kansas)",1479
Niijima (Tokio),3181
Alğa (district),38945
Buda (Buzău),3367
José Tadeo Monagas (Guárico),207544
اكبر أباد (رستاق),19
Saint-Brice (Mayenne),465
La Celle-en-Morvan,544
Дженин,39168
Mikulovice u Jeseníku,3007
Homs (Libia),159891
Zuglio,603
Saint-Sauveur-la-Vallée,47
Regione di Maranoa,13570
Kopenhagen (gemeente),633360
Gmina Soldier (hrabstwo Crawford),358
Montagny-près-Louhans,409
Comuna de Biskupice,9755
Dalmatië (regio),771521
Fara Gera d'Adda,5998
Dragomirești (Dâmbovița),8554
"Saint-Cyprien, Loire",2115
"Akbarabad, Saveh",316
Lolme,166
Hamm am Rhein,2166
埃爾羅薩爾 (昆迪納馬卡省),15664
Brzeziny (powiat biłgorajski),155
Llano de Olmedo,82
"Steinfeld, Saxony-Anhalt",309
Gaoping (Nanchong),678783
Sankt Martin an der Raab,2078
圣萨蒂尔南迪利梅 (马耶讷省),572
District de Jianye,147054
Provincia di Chayanta,90312
Saint-Saturnin-du-Bois,740
Kallar-e Olya,545
Jussy (Yonne),425
"Soldier Township, Crawford County, Iowa",354
澜沧拉祜族自治县,440883
Conflans-sur-Loing,400
Sankt Martin (Pfalz),1827
Warzenko,120
La Villedieu-du-Clain,1306
"Potrerillos, Chiriquí",1741
Dommartin-lès-Toul,1488
Saint-Cyprien (Dordogne),1774
Le Mage,265
Sankt Martin im Innkreis,1647
Sien (Alemanha),702
Яновский (концентрационный лагерь),101731
东皮耶尔勒勒埃格利瑟,323
Krasne (Powiat Rzeszowski),3367
Pommiers (Loire),370
Сен-Сиприен-сюр-Дурду,696
Weyer (Oberösterreich),4044
Saint-Saturnin (Sarthe),1917
Berge (Gardelegen),740
Marsac (Altos Pirineos),213
Horka (Saxônia),2017
Santa Maria degli Angeli,6914
Штайнфельд (Мекленбург),576
Montagny-lès-Seurre,92
Brody (powiat nowotomyski),620
Němčice (Plzeň),114
Saint-Sauveur-de-Landemont,715
Podmokly (Rokycany District),261
Kurzętnik,3553
Gmina Cedar (hrabstwo Black Hawk),1567
Labrador,26618
Bemowo Piskie,1381
Half Moon Lake (Alberta),276
Épinay-sous-Sénart,11251
Salim Pakel,35
Lety (okres Praha-západ),1473
Bischheim (Alemanha),713
Le Plessis-Sainte-Opportune,310
Taufkirchen an der Pram,3306
Saint-Saturnin-du-Bois,782
Делта (Минас-Жерайс),6014
Reyes (plaats),6095
Luc-la-Primaube,5160
Perthes (Alto Marne),583
Charmoille (Doubs),272
La Celle (Cher),373
"Blankenheim, Saxony-Anhalt",1218
Санкт-Мартин-им-Зульмталь,2822
"Białobrzegi, Legionowo County",1427
Proseč (Vysočina),78
ساوتهيل (بيدفوردشير),1120
Biskupice-Pulkov,242
Gorica pri Slivnici,659
阿爾韋迪縣,17281
Brza Palanka,805
Olmedo (Espagne),4616
Piotrowice (powiat polkowicki),387
"Horst, Lauenburg",253
塞尔河畔宽,311
錫瓜特佩克 (科馬亞瓜省),66832
San Carlo Canavese,3705
"Janów, Silesian Voivodeship",1032
Grotte di Castro,2715
合衆国領有小離島,268
Beauregard-de-Terrasson,684
Banica (gemeente Uście Gorlickie),301
Saint-Saturnin (Cantal),237
Fournes-Cabardès,61
Mory (Pas-de-Calais),350
Sébastopol,402274
Malaba (Uganda),15009
La Tourette (Loire),480
Świętajno (powiat olecki),1737
勒普莱西格拉穆瓦尔,2081
Campania,5184546
瑪拉諾亞區政府,12182
"Municipio de Menominee (condado de Jo Daviess, Illinois)",977
Anju District,675081
Домпьер-сюр-Шарант,439
Villedieu-lès-Bailleul,244
Montastruc-la-Conseillère,3001
Torrente de Cinca,1169
Fara Novarese,2001
"Ovacık, Silifke",899
Taufkirchen (Vils),10304
Mory,369
Marsac-sur-l'Isle,2903
Velle-le-Châtel,134
"Muri, Ranchi",12476
Březnice u Zlína,1306
"Saint-Placide, Quebec",1678
Marey (Vosgos),75
