http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Universität Teramo,9064
Tawrijski Uniwersytet Narodowy im. Władimira Wiernadskiego,16669
Charlotte Latin School,1353
Mar Athanasius Memorial Higher Secondary School,1574
Stockton Collegiate International Schools,933
Barr-Reeve Junior-Senior High School,316
Palatine High School,2948
Jay County High School,1077
安徽医科大学,19266
Portland Christian Junior/Senior High School,429
St. Francis' College,2951
Burris Laboratory School,689
Université de Niš,25009
Cushing Academy,428
Conservatorio de Maastricht,758
Universidad de las Ryūkyūs,8398
German European School Singapore,1533
Canon-McMillan School District,5298
Boyd-Buchanan School,743
龍谷大學,23080
"Unity High School (Tolono, Illinois)",476
Homer-Center School District,894
Pine Technical College,1401
Pu-Men High School,993
جامعة جبل سانت فنسنت,4117
Technische Universität Bergakademie Freiberg,5167
Briarcliff High School,645
Bolivarian University of Venezuela,150308
Northwestern School District,1694
Slovak University of Technology in Bratislava,18495
Gulf Islands Secondary School,681
Llantarnam School,1644
Arcadia High School (Wisconsin),293
Academia de Bellas Artes Nanyang,2818
جامعة تاراس شفتشينكو الوطنية في كييف,19484
St. John's School (Texas),1601
湖南中医薬大学,3
Universität Fukushima,4659
"Heritage High School (Brentwood, California)",3127
Alleyn's School,1113
Clements High School,3330
De La Salle Collegiate High School,751
Università americana in Afghanistan,944
Sistema de Ensino Superior do Estado da Pensilvânia,128228
Assisi Vidyaniketan,1822
マッコーリー大学,42017
East Lycoming School District,1611
Clover Hill High School,2009
University of Maine School of Law,251
Erasmus-Universität Rotterdam,25668
Lamar State College–Port Arthur,1817
Universidad Autónoma de Occidente,8348
Fred T. Foard High School,1233
Université française en Arménie,2293
Université du Svalbard,487
Shandong University of Science and Technology,39
Freie Waldorfschule Wetterau,525
Coppenhall High School,657
Perry Hall High School,2059
South Bromsgrove High School,1393
Liaocheng University,27
Weifang Medical University,13252
Mill Creek High School,3633
Universidad Católica de Santo Domingo,4941
Hollis/Brookline High School,798
Francisco P. Felix Memorial National High School,14307
Broward College,73583
St. Andrew's Preparatory School,159
Universiteit van Macerata,11923
Thomas Goode Jones School of Law,349
Heppner Junior/Senior High School,225
"Pius X High School (Downey, California)",927
バイーア連邦大学,30116
Portland Waldorf School,399
George Enescu University of Arts of Iași,1286
Universidade de Bremen,19806
University of the West Indies,37262
Challney High School for Boys,881
Heritage Hall School,929
جامعة كايزرسلاوترن للتكنولوجيا,13
جامعة ماريا كوري-سكلودوفسكا,23370
Fleming College,4724
Université James Madison,20292
South Elgin High School,2525
Westmont Hilltop School District,1534
Bethel Park High School,1887
Kwalikum Secondary School,683
Montebello High School,3614
Frogmore Community College,551
Crandall University,599
جامعة لوند,44874
Camborne Science and International Academy,1187
West Greene School District,755
Belmont High School (New Hampshire),481
مدرسة ديليا كندا (هونغ كونغ),1137
Universidad de Luxemburgo,6547
Freeport High School (Maine),515
Hans Raj Model School,5709
Bakalia Government High School,1385
Dunkirk High School,552
Nora School,47
Oasis Academy John Williams,933
Scranton State School for the Deaf,73
卡斯商学院,3751
Hakuoh University,3764
Netherhall School,1113
Universität Évry,9136
萊比錫孟德爾頌音樂戲劇學院,795
Taras Shevchenko National University of Kyiv,21822
Edgemont Junior – Senior High School,955
ISCTE – Instituto Universitário de Lisboa,10076
Kantonsschule Küsnacht,505
King Philip Regional High School,1628
Rock Bridge High School,2030
Shri Kalyan Government College,9159
Bryant High School (Arkansas),2772
جامعة نيس صوفيا انتيبوليس,23749
Brantford Collegiate Institute,1242
The Holmesdale School,889
D. H. Conley High School,1731
الجامعة الأوروبية,3
Atlantic Cape Community College,5930
Rocky Mountain College,1014
Junction City High School (Oregon),502
Université de Tunis - El Manar,52418
Heidelberg University (Ohio),1547
Wageningen University and Research Centre,9281
Ștefan cel Mare University of Suceava,10015
Edgewood High School of the Sacred Heart,519
Rajalakshmi Engineering College,6429
Universidad Pedagógica Nacional de Colombia,10672
DePaul University College of Law,123
Highline Big Picture,201
Deshler High School (Alabama),506
König-Abdulaziz-Universität,173200
CUNY Graduate School of Journalism,135
St Edward's School,402
Catholic University of Pusan,1042
Burscough Priory Science College,675
Fleming College,10259
Faith Bible High School,142
Universidad de tecnología de Papúa Nueva Guinea,2907
St. Augustine Preparatory School,817
James I. O'Neill High School,689
Laurel High School (Montana),733
"Columbia High School (West Columbia, Texas)",921
Dover High School (New Jersey),730
Rockledge High School,1092
Université de Rome « Campus bio-médical »,1972
Central State University,1832
Sylvia Young Theatre School,221
Beacon College,293
Alberta School for the Deaf,77
Штутгартский университет,22090
Université d'Afrique,1100
Universidade Rey Juan Carlos,38603
"Northwestern High School (Maple, Wisconsin)",357
Weston Favell Academy,1125
"Department of Business Management, University of Calcutta",33
Gilbert Junior-Senior High School,333
Université fédérale de Bahia,21278
Inner Mongolia University,26637
Busan Foreign School,113
Watson Technology Center,624
莱里达大学,9765
Pine Crest School,2463
Canandaigua Academy,1223
Georgia State University College of Law,473
Crow Middle/High School,215
南新罕布什爾大學,62383
Norman Paterson School of International Affairs,115
Berlin High School (Connecticut),1088
Avila University,2059
Occidental College,2537
"Canyon High School (Anaheim, California)",2308
"Marymount High School, Jamaica",733
Hampton Park Secondary College,1260
Collège Montmorency,6026
Belmont Community School,648
Universität Pierre und Marie Curie,28971
Universidad Católica de la Santísima Concepción,5044
École des mines de Saint-Pétersbourg,17501
Dodge City High School,1426
Collège Jean de la Mennais,1455
Charleston Southern University,3280
Monroe High School (Oregon),113
University Hill Secondary School,712
Worksop College Preparatory School,209
جامعة إراسموس روتردام,28623
Island Trees High School,893
Кливлендский институт музыки,475
Oswego East High School,2076
Foothills School of Arts and Sciences,132
Granada Hills Charter High School,3935
Broward Virtual Education High,377
奥斯纳布吕克大学,13742
John Swett High School,613
Sacred Heart of Mary Girls' School,664
La Salle Academy (Iligan),3052
"Staatliche Universität für Informationstechnologien, Mechanik und Optik Sankt Petersburg",11833
Tring Park School for the Performing Arts,282
Culver High School,238
Uniwersytet w Maceracie,10653
"Elkins High School (Missouri City, Texas)",1869
Maret School,568
FIU Robert Stempel College of Public Health and Social Work,1460
Иркутский государственный университет,17188
International School Ho Chi Minh City,1170
Highcliffe School,1207
Universität Stavanger,11752
Princess Nora bint Abdul Rahman University,60228
Hamilton Southeastern High School,3209
"Eisenhower High School (Yakima, Washington)",1924
Milo Adventist Academy,74
Hudson Catholic Regional High School,565
"Denbigh High School, Denbighshire",418
Universidad de la Cuenca del Plata,1727
Université préfectorale de Hyōgo,5148
University of North Texas System,43051
Bourne End Academy,870
Alternative Center for Excellence,95
De La Salle Institute,1076
貝魯特阿拉伯大學,12604
John Ruskin School,219
Fairfield Area School District,1302
جامعة نيو إنكلاند كلية الطب التقويمي,549
Alliance Charter Academy,243
Winchester Thurston School,523
Sulphur High School (Oklahoma),303
Columbia University,23819
巴勒莫大学,60
École Normale de Musique de Paris,935
Ясский университет,22432
Fairfield Area School District,1142
كلية رويال ناشونال كوليدج للمكفوفين,196
Aspen University,3799
Nebraska College of Technical Agriculture,276
Auburn High School (Washington),1460
Université des Indes occidentales,35204
Ramona Convent Secondary School,445
Sapienza – Uniwersytet Rzymski,115955
Università statale dell'Iowa,43159
Университет штата Баия,28233
Instituto Nacional de Ciencias Aplicadas de Toulouse,2110
Goerdeler-Gymnasium Paderborn,826
Университет Святых Кирилла и Мефодия в Скопье,53809
St. Joseph School Endicott,109
Cressex Community School,774
Sophia High School,1536
Jewish Community High School of the Bay,170
University of Mosul,31485
Hochschule Wismar,11620
Université de Sfax,48388
Lawrence High School (Massachusetts),3598
Pennsylvania Governor's School for the Arts,193
Hilliard Davidson High School,1765
Packer Collegiate Institute,951
Kamehameha Schools Hawaii Campus,1310
Sonapur Ali Akber High School,1011
Archbishop MacDonald High School,1043
Levine School of Music,3836
Université du Ghana,42376
"Heritage High School (Conyers, Georgia)",1407
麥地那伊斯蘭大學,20461
Silver Lake College,9
Boston Conservatory,697
Corner Brook Regional High,1014
江南大学,28154
ジャワハルラール・ネルー大学,6988
Perry Traditional Academy,530
Stone Ridge School of the Sacred Heart,708
潍坊医学院,13118
Western Institute of Technology at Taranaki,5288
Blenheim High School,1331
UC Davis College of Biological Sciences,6745
Academia Secondary School,760
Oswego High School (Illinois),2621
Landmark School,470
South High School (Denver),1497
Universidad Linneo,17316
Guangdong Pharmaceutical University,16443
"Thomas A. Edison High School (Fairfax County, Virginia)",1720
Université panaméricaine,18407
Central Greene School District,1919
Universität Wakayama,4704
Winterhill School,1310
Université pontificale catholique du Pérou,18361
Samuel Robertson Technical Secondary School,982
Madison High School (Idaho),1015
Riverton High School (Utah),1761
Marlin High School (Texas),245
Lawrence Academy (North Carolina),256
エラスムス・ロッテルダム大学,24256
Middletown High School (California),583
Westminster School (Connecticut),390
Escuelas Públicas de San Luis,24334
Beacon College,335
Lone Oak High School (Kentucky),998
International Christian School of Vienna,232
Lincoln-Way Central High School,1953
Centro de Aprendizaje Edward Roybal,2782
Université de Playa Ancha,12541
Adamjee Government Science College,1631
Оборонный научно-технический университет НОАК,18200
New York Film Academy,6665
Livingston High School (New Jersey),2154
James Buchanan High School,854
Secondary Board High School,1235
Y Pant School,1084
Университет Анкары,49367
"St John's School, Billericay",412
Judah Christian School,111
Университет Перуджи,30234
Theodore Roosevelt High School (Los Angeles),4719
Fleming College,9224
Harvard Graduate School of Design,166
Escola Lomonossov,426
Université KIMEP,2532
Texas A&M University–Commerce,10143
Bridgeport High School (West Virginia),742
Universität des Nahen Ostens,23736
夏威夷大学,51393
St. Louis Community College–Wildwood,1978
Technical University of Crete,3911
Université d'État de l'Iowa,35988
Neenah High School,2102
Lawrence High School (Kansas),1662
كولورادو دينفر,19825
Bonita Vista High School,2666
Northern Caribbean University,7245
Université Mount Saint Vincent,4080
Santa Fe Indian School,1931
Community College of Beaver County,1497
Southern New Hampshire University,72644
Mountain Lakes High School,724
布隆博格公共卫生学院,1659
Po Leung Kuk Mrs. Ma Kam Ming-Cheung Fook Sien College,1134
École spéciale de mécanique et d'électricité,1727
Peters Township School District,4038
Trinity School for Ministry,216
Heritage Christian Academy (New Jersey),78
Принстонский университет,6342
GateWay Community College,15450
Università statale dell'Arizona,14567
Meoncross School,344
École nationale vétérinaire d’Alfort,662
Braintree High School,1483
St. John's High School (Massachusetts),860
Simon Fraser University,37121
Madrid–Waddington Central School,792
Hampton Roads Academy,833
IAE Paris,1944
"Trinity High School (Euless, Texas)",2338
Far Brook School,222
Ewha Womans University,16059
Universidade de Salento,16356
Rishi Valley School,382
Mountain View College (Philippines),2174
West Lakes Academy,1050
Georgia Institute of Technology,29960
Universidad Nacional del Chaco Austral,1850
American International School of Guangzhou,794
ロサンゼルス・シティー・カレッジ,22158
Lake Mary High School,2944
Celal Bayar University,48124
Dakota State University,3063
Beachwood High School,519
Universidade de Kinshasa,22254
St Gregory's Catholic High School,947
كلية الهندسة (بونه),3573
斯德哥尔摩经济学院,1948
Busitema University,1377
Universidad federal Urdu,12633
Lycée Henri-IV,2223
المعهد الملكي للتكنولوجيا,14722
Collegiate School (New Jersey),116
"Legacy High School (North Las Vegas, Nevada)",3314
Concord High School (North Carolina),1074
Sharon City School District,2476
Università di Stanford,12811
Echo School (Oregon),346
Design and Architecture High School,573
Academia de Estudios Económicos de Bucarest,24226
Churubusco High School,597
Madras High School,910
Medical College of Nanchang University,12423
首爾市立大學,11285
Anglo-American University,1036
Santa Ana High School,3345
Line Mountain Jr./Sr. High School,150
Queensbridge School,890
College of the Holy Cross,3161
Philippine Science High School Eastern Visayas Campus,427
Institut polytechnique des sciences avancées,1269
Brooklyn Latin School,564
"Southwest Christian School (Beaverton, Oregon)",198
School of the Holy Child,312
Muskego-Norway School District,5396
"Don Bosco School, Park Circus",3097
الجامعة الفرنسية في أرمينيا,1821
大葉大学,12798
"Cooper High School (Cooper, Texas)",245
Tabb High School,1030
挪威生命科學大學,4925
La Salle High School Faisalabad,2403
Greenwood High School (Arkansas),705
Derry Area School District,2817
Delta State University,3048
Sacred Heart Higher Secondary School Hundung,2870
University School of Milwaukee,980
Lanakila Baptist High School,67
David and Mary Thomson Collegiate Institute,833
Hope Christian College,597
University of Salerno,36962
Allama Iqbal Medical College,1858
"Heritage High School (Vancouver, Washington)",1937
John McDonogh High School,559
"Jefferson High School (Jefferson, Oregon)",395
"New College, Swindon",4641
Matthew McNair Secondary School,1047
Luther High School (Wisconsin),10
Universidade Técnica de Varna,6955
British School in the Netherlands,2249
Chung Ling Butterworth High School,2970
Government Medical College (Kota),640
Manchester Health Academy,324
Apollo-Ridge School District,1392
North Central College,3110
韓国放送通信大学校,160536
Pen Argyl Area School District,1857
Lone Star College–Tomball,8204
Université catholique de sciences appliquées de Mayence,1104
Celebration High School,1738
Central Christian Schools,258
Monarch High School (Colorado),1426
St Brigid's High School,245
Angelo State University College of Business,819
Pendekanti Law College,638
Ankeny High School,1086
Canadian International School (Singapore),3882
UNSW School of Computer Science and Engineering,253
Conservatoire de Boston,782
St. Xavier's Collegiate School,2518
McClelland College,757
ConVal Regional High School,801
Università russa di arti teatrali,1722
ليسيه الدولي دي سان جيرمان أونلي,2923
Prestwick Academy,1209
Midpeninsula Free University,982
Неаполитанский университет,91002
Université technique slovaque,17260
Baltimore Civitas Middle/High School,290
Northern Michigan University,9394
Universität Primorska,5698
"New College, Telford",1455
The Marin School,97
Snow Canyon High School (Utah),1068
Cherry Hill High School East,2533
Национальный университет Узбекистана,9498
Highlands School District (Pennsylvania),2070
Université de l'Insubrie,10
William E. Grady CTE High School,808
Blessed Cardinal Newman Catholic High School,1022
Jerome I. Case High School,2064
Karlsruher Institut für Technologie,24366
王立プノンペン大学,19640
City of Westminster College,6552
Krannert School of Management,3068
Birla Institute of Applied Sciences,632
Université de Pérouse,32788
Oldham Sixth Form College,2088
"Faculdade de Engenharia, Pune",3538
Westmont Hilltop School District,1332
James Hubert Blake High School,1491
"Pacific High School (Ventura, California)",19
リェイダ大学,9372
Technische Universität Kreta,3659
Holy Cross School (New Orleans),777
"Presentation College, Bray",562
جامعة باليرمو,54
Vanguard High School,1803
Massachusetts Institute of Technology,11031
Universidade de Nápoles Federico II,71213
Macquarie University Faculty of Science,3908
Queen Creek High School,1700
University of La Réunion,13169
Hartsville High School,1479
Université de la Ville de Manille,12264
"King Edward VI High School for Girls, Birmingham",533
East Hall High School,1036
Columbia University College of Physicians and Surgeons,884
Outwood Academy Valley,1514
Cégep de l'Abitibi-Témiscamingue,2926
Catholic High School of Pointe Coupee,300
مدرسة طب شيكاغو - جامعة روزالند فرانكلن,2443
James Caldwell High School,801
Southern New Hampshire University,60513
Barnard Castle School,651
Uniwersytet Technologiczny Chalmers,12135
Università di Lucerna,2405
Cambridge Rindge and Latin School,1670
Weydon School,1149
The Mountbatten School,0
Hempstead High School (Texas),404
Instituto de Tecnologia de Karlsruhe,22391
Centralia College,4753
James Campbell High School,3210
Bauhaus-Universiteit Weimar,3900
Gloucester High School (Massachusetts),1003
"Campion School, Mumbai",760
Université de Kragujevac,13428
Warrior Run School District,1811
Université polytechnique de Madrid,42545
Slinger High School,793
Miami Dade College,169597
The High School at Moorpark College,89
Comenius Universiteit Bratislava,22477
Dunmore School District,1420
"European School, Bergen",540
Joliet Catholic Academy,699
École Navale,1371
Aalesund University College,2512
Seaford Senior High School,681
Jane Addams Business Careers Center,549
"Nimitz High School (Harris County, Texas)",3793
Glendale Community College (California),18396
Kaunas University of Technology Gymnasium,340
Universidad de los Andes (Chile),8611
Université du Rosaire,13193
"Norwood School (Montgomery County, Maryland)",396
"Clark High School (Plano, Texas)",1762
Cranbourne Business and Enterprise College,779
ハーバード・ビジネス・スクール,1940
Hillsong International Leadership College,1194
Université d'Aix-Marseille III,24761
Dinajpur Medical College,687
Academia de Belas-Artes de Viena,1338
West Toronto Collegiate Institute,338
Университет штата Аризона,43793
Académie tchèque des arts musicaux,1485
Académie Saint-Dominique,703
Blessed George Napier Roman Catholic School,783
St Martin's Ampleforth,217
Windsor High School (California),2071
École des mines de Freiberg,5559
Alton C. Crews Middle School,1032
EU Business School,3
北京陈经纶中学,2734
冰島藝術學院,473
Penn State Worthington Scranton,1474
Sturgis Charter Public School,681
Russian-Tajik Slavonic University,3558
Bismarck State College,3804
Smyrna High School (Tennessee),1889
Hyundai Chungun High School,600
聯合書院,2658
Saint Joseph Seminary College,143
Think Global School,45
Bedlingtonshire Community High School,931
Université des sports de Pékin,14699
Merlo Station High School,491
Cuyamaca College,7060
Миланский технический университет,42199
Beavercreek High School,2011
National Pedagogic University (Colombia),9482
University of L'Aquila,18549
Universidade de Valhadolide,31659
Carroll T. Welch Intermediate School,715
大阪府立清水谷高等学校,990
汕头市实验学校,2753
"Colerain High School (Cincinnati, Ohio)",1985
Европейский Университет,3
IULM University of Milan,6
St. Alban's College,624
Hunan University of Traditional Chinese Medicine,3
Universidade de Módena e Reggio Emília,23081
Wilcox Central High School,683
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1441
Universidade Nacional de Entre Ríos,13369
Perrydale School,317
蒙彼利埃大學,43826
Holliston High School,753
Selinsgrove Area High School,707
Sengunthar Higher Secondary School,2016
جامعة ولاية كنساس,26002
Penncrest High School,1624
Cardinal Newman College,3334
Elkton High School (Oregon),103
Collinwood High School (Tennessee),386
University of Manila,9126
Middlesex Middle School,1263
"Oakwood School (Morgan Hill, California)",476
浸信會呂明才中學,1049
University City High School (San Diego),1606
Southeastern Greene School District,606
Frazier School District,1055
Armand Hammer United World College of the American West,48
Triad School,254
Middleton Regional High School,814
ブラウン大学,11413
St. Charles North High School,2354
Université KIMEP,537
"Martin High School (Martin, Michigan)",282
Medfield High School,892
克劳斯塔尔工业大学,4
David Oppenheimer Elementary School,315
Universidad de Edimburgo,43801
Science Hill High School,2723
Western Beaver County School District,731
Community School of Naples,846
Cumberland Presbyterian Church Yao Dao Secondary School,1046
جامعة كينت,37432
Słowiański Uniwersytet Tadżycko-Rosyjski,3126
マリー・キュリー・スクウォドフスカ大学,30187
Petre Andrei University of Iași,2503
"The Center School (Seattle, Washington)",235
"Wayland Academy, Wisconsin",187
Beechwood Sacred Heart School,437
Universiteit van Concepción (Chili),24144
University of Nordland,6188
Merritt College,5753
Kazan State Medical University,4559
Arizona State University,14481
Mount Angel Abbey,207
North Carolina School for the Deaf,96
Sun Prairie High School,1574
Midlothian High School (Virginia),1818
معهد ماساتشوستس للتكنولوجيا,10277
Université d'État de l'Arizona,10869
Rose and Alex Pilibos Armenian School,1078
Universidade Nova de Lisboa,18575
BI Norwegian Business School,16981
Littlefield Unified School District,122
Wyedean School,1245
Yadanabon University,21677
Faculté des sciences d'Aix-Marseille,8802
Scuola germanica di Milano,764
"St Michael's Catholic School, High Wycombe",1067
Université de technologie de Chemnitz,9456
Holy Name of Mary Catholic Secondary School,878
Varga Katalin Secondary School,431
Università di Tallinn,11568
Beijing Sport University,14323
Nutley High School,1218
North-Eastern Federal University,15615
International Health Sciences University,720
"St. Cyprian's School, Cape Town",929
Universidad Metropolitana de Ciencias de la Educación,5463
Roy High School (Utah),1746
Plainview – Old Bethpage John F. Kennedy High School,1827
Morrison Academy,134
Columbia-universiteit,30609
Colégio de Aplicação da UFRJ,716
Национальный университет дистанционного образования,279346
Päpstliche Universität Heiliger Thomas von Aquin,1236
Sagesse High School,1229
McCord Junior High School,538
State University of Zanzibar,2026
Branham High School,1455
The Hazeley Academy,1084
山梨大學,5319
Louis E. Dieruff High School,2085
John Stark Regional High School,664
Abraham Lincoln High School (Denver),1341
Midd-West School District,2260
Università degli Studi di Sassari,12584
South Side Area School District,1078
Jefferson County High School (Georgia),997
Université Corvinus de Budapest,11639
Texas A&M University–Kingsville,8287
Connellsville Area School District,5949
Butler County Community College (Pennsylvania),1739
Colony High School,2662
St Edward's School,633
Malone University,2834
S. R. Butler High School,978
Università Cheikh Anta Diop,49355
Universidade de Lviv,10286
North Country School,93
University of Minnesota Crookston,1837
Eric Hamber Secondary School,1363
Universidade Politécnica de Madrid,32156
University of Luxembourg,7395
Kolej Tuanku Ja'afar,718
St Peter's Church of England Aided School,2147
Dartmouth Academy,593
SUCCESS Academy,432
Sullivan County School District,663
ダルエスサラーム大学,20985
Cawthra Park Secondary School,1414
Mid-State Technical College,8874
Sapienza - Università di Roma,117731
Oakdale High School (California),1736
"Казахстанский институт менеджмента, экономики и прогнозирования",113
Polytechnikum Mailand,42444
"St Francis' College, Letchworth",367
"Freedom High School (Tampa, Florida)",1924
Kellogg Community College,16596
Universidade de Ratisbona,22938
Universidade Aberta,14736
Pikeville High School,572
Sistema Universitario del Norte de Texas,33967
Hostos Community College,6835
Università Erasmus di Rotterdam,27614
Université de Foggia,10525
"University of Puerto Rico, Medical Sciences Campus",2515
Fort Lauderdale High School,1743
Hermiston High School,1531
馬禮遜美國學校,208
"Lakewood High School (Lakewood, Ohio)",1831
Aichi Gakuin University,0
Worsley Wardley Grammar School,477
Collegiate School (New York City),738
المدرسة المحمدية للمهندسين,612
Bethany High,2226
"Woodlands Academy, Coventry",711
Ipswich State High School,1285
Lakeridge High School,1047
Sree Chitra Thirunal College of Engineering,2073
جامعة إنسوبريا,8
Basic Education High School No. 6 Botataung,5618
"The Martin High School, Anstey",624
Coombe Boys' School,720
ANU College of Physical and Mathematical Sciences,2295
North Hall High School,1026
Brooklyn Friends School,828
Middletown High School North,1609
North Bengal Medical College,6
Medizinische Universität Lublin,6322
Hunters Lane High School,1395
Rouse High School,2301
Simon Fraser University,27686
University of Koblenz and Landau,10775
Washington and Lee High School,454
Anderson County High School (Kansas),616
IE Business School,5763
"Carthage Senior High School (Carthage, New York)",926
Monroe High School (Tehachapi),106
Leigh Academy,1645
Santa Cruz High School,1183
Academia de Artes de Islandia,519
Greenford High School,0
Marco Antonio Firebaugh High School,1687
Universidade de Paris X - Nanterre,30470
University of Cagliari,36379
Reynoldsburg High School,2060
MacEwan University,15630
Hutchinson Community College,11286
Little Flower Public School,2415
山形大学,7864
St. Patrick's Institute of Science & Technology,262
维也纳美术学院,1112
Bishop Anstey East,957
National University of Patagonia San Juan Bosco,12961
Catherine M. McGee Middle School,614
École secondaire de Par-en-Bas,414
St. James High School (Philippines),872
Harper Green School,1539
Gorgan University,3729
Madison East High School,1433
Polk State College,19431
"Serra High School (San Diego, California)",1478
University of Magallanes,6
Manzano High School,1672
孔聖廟中華學校,2337
兵庫縣立大學,6097
Nationale Bergbauuniversität der Ukraine,16475
Watkins Mill High School,1396
Sullivan East High School,678
Université Félix-Houphouët-Boigny,48986
Uniwersytet w Lund,40308
デウスト大学,2101
Buxton Community School,1421
Universität Skopje,50955
Technische Universität Clausthal,4
Carpenter Community Charter School,1002
No.1 Senior High School of Ürümqi,1886
Università Politecnica delle Marche,18841
Universidad Católica de Temuco,9849
Universidad Politécnica de Filipinas,43855
Milton High School (Georgia),1790
Udayapur Secondary English School,757
Hamilton High School (New Jersey),1273
Cypress College,15087
Aston Manor Academy,848
University of the City of Manila,12780
キング・アブドゥルアズィーズ大学,193706
St. Clement of Ohrid University of Bitola,16028
"St. George's School, Newport",326
Valley Springs High School,259
Judson University,1331
A. R. Johnson Health Science and Engineering Magnet High School,312
North Bengal Medical College,171
Sakha-Korean School,288
Grand Saline Independent School District,1151
St John Fisher Catholic College,1135
Immaculate Heart High School (Los Angeles),206
Род-Айлендский университет,15057
阿爾卡拉大學,23424
North Davidson High School,1665
Lassiter High School,2099
The Evergreen School,397
Humphrey Perkins School,891
Cleveland Heights High School,2062
Ketchikan High School,503
İnönü Üniversitesi,41872
Katholieke Universiteit Leuven,51115
Archbishop Spalding High School,1074
Université technique de Crète,3813
Guildford High School,965
Andrews Osborne Academy,345
アイルランド王立外科医学院,4719
Lawton High School (Oklahoma),1736
Australian International School Hong Kong,1184
Henry Foss High School,974
Gwangju Institute of Science and Technology,1745
Earl Wooster High School,1533
Universidad de Hawái,56636
Universiteit Luxemburg,5884
Manila Central University,4609
Harlington Upper School,1251
Cranberry Area School District,1344
Uniwersytet Piura,6817
المدرسة الأسترالية الدولية في هونغ كونغ,1062
Northern Nash High School,1378
South Lakes High School,2404
"All Saints College, Galle",7225
Brentwood Borough School District,1291
Haywood Early College High School,173
University of Montpellier,40645
Buckingham School,1093
Sullivan Upper School,1010
Harris Academy,1276
Khallikote University,5517
Academy of Art University,16375
Renton Technical College,3146
湖南人文科技学院,14444
Sandia View Academy,38
Harrison High School (Michigan),1061
Université Ștefan cel Mare,9459
Tenoroc High School,1371
Rumson Country Day School,368
Universität Ryūkyū,9384
"St Ninian's High School, Douglas",1447
"Braeside School, Buckhurst Hill",180
Escola Naval (Portugal),258
Kalinga Polytechnic,1216
Gordo High School,467
Eindhoven University of Technology,5662
Claude Bernard University Lyon 1,34411
Universidade Nacional de Educação à Distância,248881
Римский университет Тор Вергата,38879
Universiteit Daugavpils,4160
جامعة نصير الدين الطوسي للتكنولوجيا,8594
Strathcona-Tweedsmuir School,687
Transilvania University of Brașov,19
كلية هارفرد للأعمال,1770
Memphis Catholic High School,300
"Chaparral High School (Paradise, Nevada)",2714
马德里理工大学,32937
Korah Collegiate & Vocational School,748
"Nalanda College, Colombo",4930
Технический университет Эйндховена,6707
Mercersburg Academy,77
H. L. Bourgeois High School,1344
جامعة ساليرنو,40773
"Sacred Heart Girls High School, Thalassery",1207
ブダペシュト・コルヴィヌス大学,14057
