http://dbpedia.org/ontology/SoccerClub,SoccerClub,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,11
http://dbpedia.org/resource/Vipers_SC,Vipers SC,11
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,10
http://dbpedia.org/resource/FK_Brskovo,FK Brskovo,13
http://dbpedia.org/resource/F.C._Cape_Town,F.C. Cape Town,27
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,3
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,8
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,11
http://dbpedia.org/resource/2015–16_KS_Cracovia_(football)_season,2015–16 KS Cracovia (football) season,17
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,7
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,2
http://dbpedia.org/resource/2015–16_KS_Cracovia_(football)_season,2015–16 KS Cracovia (football) season,19
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,10
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,16
http://dbpedia.org/resource/2003–04_Manchester_City_F.C._season,2003–04 Manchester City F.C. season,27
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,13
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,16
http://dbpedia.org/resource/Fortuna_Ålesund,Fortuna Ålesund,12
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,11
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,15
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,35
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,1
http://dbpedia.org/resource/Toledo_BM,Toledo BM,18
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,10
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,19
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,22
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,21
http://dbpedia.org/resource/Toledo_BM,Toledo BM,20
http://dbpedia.org/resource/Toledo_BM,Toledo BM,19
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,21
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,5
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,12
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,46
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,4
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,47
http://dbpedia.org/resource/FK_Bratstvo_Cijevna,FK Bratstvo Cijevna,16
