http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
FactSet,7450
Satuit Technologies,50
Кредит Европа банк,4610
Cirkle,20
Look (company),462
فياكوم,11313
MSC Crociere,15170
Brightstar Corporation,9132
Cortefiel,10955
Companhia Paulista de Força e Luz,7403
OpenX (company),550
Eaton Vance,930
ESET,1117
Cyrela Brazil Realty,9060
American Airlines,97070
ストアブランド (ノルウェーの企業),2005
Red Bull GmbH,9332
Astellas Pharma,17387
Pronar,1777
Nutreco,10941
KT Corporation,28982
Wells Fargo,264785
ENSafrica,1246
Rhön-Klinikum,37664
MSC Crociere,13775
OGK-3,6123
美泰兒,28088
Hino Motors,20335
Nihon Bussan,33
Barilla,8
Gree,44597
MBH Architects,170
Bharti Airtel,25930
Fox Entertainment Group,13538
Tod’s,3108
Toyota Motor,358019
斯特姆，儒格,2409
English Retreads,6
American Gear Manufacturers Association,11
Mary Kay,5388
MGM Resorts International,59171
Škoda Auto,31154
List of Nintendo development teams,3301
Five Star Bank,547
BenQ Mobile,2845
Klépierre,1145
Australia and New Zealand Banking Group,49271
Eight Inc.,192
Astellas Pharma,19279
Sumitomo Dainippon Pharma,4067
Idemitsu Kōsan,8860
Pride Microfinance Limited,598
Perodua,9327
Nero AG,495
Hy-Gain Antennas and Rotators,76
Uralkali,12143
Citroën,11666
كادبوري,2289
Compass Group,448478
アイルランド放送協会,1858
Zenith Records,4
Israel Postal Company,4931
طيران نيكي,848
Kaspersky,3302
Kao Corporation,5569
シエロ (企業),1237
Next Big Sound,21
Bain Capital,831
Siebel Systems,5377
Imperial Chemical Industries,31418
Jastrzębska Spółka Węglowa,19441
Почта Сербии,15733
Simbin Studios,50
イドロ・ケベック,20092
Entel Chile,3958
Live Nation Entertainment,11278
American Century Investments,1232
The Cheesecake Factory,40491
Mitutoyo,5445
Kwik Trip,12544
Aircastle,110
Knjaz Miloš a.d.,966
コレコ,469
Barilla,9
Tracerco,238
Jazz (airline),4516
Fred. Olsen Energy,1148
Liskom,44
500px,45
Hyundai Motor Manufacturing Alabama,3181
Velcro Industries,2992
الطاقة الذرية الكندية المحدودة,2787
Mobility CarSharing,165
Bunge Limited,33194
Hoffmann-La Roche,75605
Paon (entreprise),120
Behaviour Interactive,397
ターゲット・コーポレーション,374290
ASRock,360
Roke Manor Research,470
Owens-Illinois,22018
Meyer Werft,4311
Sivensa,2808
Amedei,40
FireEye,3010
Psion Teklogix,1129
Bank of Ireland,9325
Conair Corporation,4683
Altri,565
SDL (Unternehmen),4431
Anadolu Isuzu Automotive Industry & Trading,6437
Hybricon Corporation,110
Tabasco (saus),168
Domino's Pizza Enterprises,21635
Shuanghui,64378
Oriental Bank,487
Raiffeisen Bank (Serbia),1954
American Book Company (1996),24
Citizens National Bank (Eastern Kentucky),159
Thrifty White,1632
MIPS Technologies,152
Lucent Technologies,28782
Livechat Software,59
SimilarWeb,273
Earth Fare,2214
BMW,94576
Wittenstein,2184
Bunge Limited,33083
Bardahl,33
7-Eleven (winkelketen),42904
State Street Corporation,33735
Takeda Pharmaceutical,30978
Alexander Schleicher (azienda),118
Facebook,16685
Banco Etcheverría,162
Infitec,24
Tripwire (company),349
H.R. Gray,50
Novelis,11137
Olympus,43860
Vietnam Electricity,114380
Piranha Games,67
Ronimo Games,16
Rhön-Klinikum,34696
Toei,343
Raven Software,160
SodaHead.com,25
Flagstar Bank,2609
Time Inc.,7358
Perusahaan Gas Negara,1141
Damon's Grill,214
Energetický a průmyslový holding,10448
CUBE Entertainment,45
Banco Safra,4834
VZ Holding,667
シュウェップス・オーストラリア,1843
Canwest,9878
Bombardier Inc.,63626
三菱集团,363383
微软,116031
アドバンスト・マイクロ・デバイセズ,6808
DUCA Financial Services Credit Union Ltd.,163
Enel,79919
XMobots,24
Mazda,32119
Kapiti Fine Foods,295
Gorenje,10981
Capcom,2536
Rio Tinto Alcan,83772
AWS Truepower,102
Id Software,213
Bose Corporation,13055
KT (Télécommunication),27637
Kaō,5964
Axios Systems,246
Capcom,2521
Stemilt Growers,1385
Fairfield Materials Management Ltd,8
State Street Corporation,28194
Lowe’s,282480
سي بي إس إنتراكتيف,1967
Mizuho Financial Group,51313
Groupalia,258
Bank of Ireland,11059
Riot Games,898
BMW,104174
COSI Columbus,188
コスモ石油,1689
Haiku Studios,11
Discovery Communications,7800
Cadbury plc,78313
ノリリスク・ニッケル,95369
Warner Music Group,3693
Allegis Group,8947
Postlethwaite & Netterville,787
Phase One,357
Ferrovial,59369
Cosan,37842
OPI Products,542
Artland,38
Ontario Power Generation,9790
Transmeta,24
Postnord,36872
Brüel & Kjær,1147
Morris Air,2191
بوميس,10
Oriflame,7804
BBC,21402
Viacom,10409
Türkmengaz,22363
Seznam.cz,964
Aerostich,96
Elia (netbeheerder),872
Marvelous Interactive Inc.,148
Villeroy & Boch,8319
Grob Aircraft,243
CK Hutchison,268180
Fiat Industrial,68234
Grupo PRISA,16429
"Ryan Companies US, Inc.",592
SUNeVision,136
New World Computing,81
Onkyo (merk),2378
Lycos (portail web),61
شركة أكسل شبرينقر,15578
LS Cable & System,8445
Banco Português de Investimento,8779
Coleco,589
Toyota Peugeot Citroën Automobile,3417
Viscom AG,323
Nexans,27887
工業技術研究院 (台湾),5301
Gio-Goi,46
Malibu Boats,572
ZyXEL,1872
Dynamo Sports,11
AET (company),2407
Epcos,21936
BTicino,3747
アミューズ,191
Mission Network News,5
Gigaset Communications,1508
PPG Industries,42491
Ingenious Media,195
Accident Fund,640
Wilderness Scotland,14
Hays (Personaldienstleister),9217
Nichia,8208
Alabama National BanCorporation,2003
PopCap Games,420
Peugeot,204932
Goldstone Tires,72428
Gameforge,396
Marfin Investment Group,14369
Nordea,30346
Telecom Éireann,11775
Volkswagen,596
Polycom,4322
Goldwind,4278
Hyundai Motor Company,99812
Bic (entreprise),10328
ブライトスター,8744
Gold Fields,53124
Mobilitec,78
Bain Capital,813
Gainward,17
Hoffmann-La Roche,77951
Istrabenz,4230
OpenDNS,198
MACTEC,2676
Long John Silver's,7910
Harley-Davidson,5928
Buck Knives,329
Bosphorus Cymbals,18
Bain & Company,6331
Wittenstein SE,1958
Société nationale des chemins de fer du Kazakhstan,163412
Adobe Systems,15342
Arion Bank,1275
Global Bank Liberia,77
Midcounties Co-operative,7588
Nissan,157039
安達集團股份,23317
Coca-Cola Amatil,15596
Saria Bio-Industries,4089
红蜂媒体,2480
Texas Emerging Technology Fund,7
Oracle,142368
Bodum,430
David's Supermarkets,516
Dongfeng,157446
Jerry's Foods,2044
Oliver Wyman,3717
Nokia,114310
ダイムラー (自動車メーカー),245812
Digital Equipment Corporation,129170
Western Union (bedrijf),5991
Shell Australia,1111
Glitnir (banque),2131
Schering AG,30410
Automatic Duck,4
Equistone Partners Europe,50
RealNetworks,941
Dangote,21813
Eset,917
Engie - Electrabel,7918
Fitch Ratings,2467
Z8Games,51
E.ON UK,14450
Metrovías,4911
万代南梦宫娱乐,1079
Blue Yonder Aviation,3
Brisa – Auto-estradas de Portugal,2812
21st Century Fox,20985
Saab,14169
Georgia Tech Research Institute,2040
VTB,99
Piedmont Airlines,4744
Valor Security Services,7573
BenQ-Siemens,2797
Imperial Chemical Industries,27286
Nintendo,4818
Western National Bank,164
日本政策投資銀行,1138
エイトインク,157
三星火灾海上保险,5779
Chipotle Mexican Grill,44874
Crescent Capital Group,131
Glitnir (banco),1938
Automobile Dacia,16513
Foursquare,193
Bega Group,9100
HS Produkt,2201
Groupon,8712
Firefly Studios,23
TDC (Unternehmen),8473
سوق.كوم,2586
Škoda Auto,29558
General Electric,269459
Fábrica Argentina de Aviones,1279
Sector3 Studios,46
RealNetworks,1137
Centenary Bank,1770
NQ Mobile,2083
Private Media Group,37
500px,38
500px,43
MGM Resorts International,58128
LucasVarity,44236
IMG (company),3236
Stream Energy,210
Mieschke Hofmann und Partner,1510
Servpro,532
Fox Entertainment Group,10175
Henry Schein,20344
Howaldtswerke-Deutsche Werft,2476
Victorian Curriculum and Assessment Authority,201
Apple,143180
オペル,35140
康泰旅行社,1184
Daume,26
Imagi Animation Studios,414
KUKA,13836
أدوبي سيستمز,14944
Seibu Tetsudō,3636
松井証券,122
Energie atomique du Canada Limited,2706
福兰媒体集团,1198
Hochteif Concessions,231
Esoko,79
MullenLowe Profero,657
WiQuest Communications,140
Pinnacle Foods,4412
Jimdo,231
Netflix,3602
Ascension Health,126022
Monte dei Paschi di Siena,28596
Toyota,426122
Wyndham Worldwide,25157
EMS (pharmaceuticals),4467
Bandai Namco Games,935
Westmalle Brewery,21
EA Canada,1344
Ceccato motorcycles,695
Oroton,1016
Hitachi Maxell,3998
Tyco,65148
EvoBus,11551
Mashable,100
صن ميكروسيستمز,36033
Krones,11104
Wockhardt,8545
Bankrate,426
美國滙豐銀行,45385
FBR Capital Markets,226
RCN Corporation,1430
Bic (компания),9493
Raven Software,167
Short Brothers,4372
Coop (Schweiz),61395
Ingredion,8727
Keimfarben,400
Oji Paper,32567
Agrale,12972
Environics Communications,131
Boeing,160624
BDO (audit),61364
Cosmo Oil Company,1622
ロート製薬,6045
Niki Luftfahrt,831
Wattpad,96
NIIT,2361
Aston Martin,1310
Gehl,480
DPL Inc.,1560
Bankinter,4
Target Corporation,409757
Buyer's Best Friend,39
E-Trade,3375
Telelogic,1161
Cascades (company),14076
Blizzard Entertainment,4769
Grezzo (videogiochi),55
Heckler & Koch,720
Morgan Stanley Wealth Management,17908
Sofradir,544
GFI Group,1949
DelSolar,605
Venture Stores,9562
EasyJet,8248
Muxlim,8
漫步者,2776
Edison International,17457
Tidewater,8503
LG CNS,11930
Sol Meliá,39938
Technip,35903
TE Connectivity,68819
Lionbridge,10363
Norddeutsche Landesbank,6618
NOVA Greece,361
Focal-JMLab,219
住友精密工業,1803
19 Entertainment,105
Little Tikes,494
劲量,6524
DNB ASA,12713
Vyatta,55
ポリゴンマジック,173
هوندا,223108
MRV Engenharia,6650
Sun Microsystems,39790
Eidos Montréal,555
Allaire Iron Works,1906
Union Bancaire Privée,1677
維亞康姆,11089
Televisa,21958
CrossRail Benelux,31
Robinson Helicopter Company,1475
Metrovías,3766
苏格兰银行,21515
Oi (Unternehmen),16455
Madhya Gujarat Vij,8209
Invictus Games,50
Astarsa,1719
Deluxe Corporation,5145
Diamond Offshore Drilling,3620
Yara,12323
FSC (autofabrikant),2562
Endesa (Chile),2375
Japan Transport Engineering Company,1089
The Pokémon Company,377
ヘリーハンセン,606
Fulcrum Worldwide,1099
Cessna,7916
Tōhō,1674
Chunsoft,83
Lancaster Laboratories,1256
Harris Corporation,21763
Realex Payments,192
Sun Chemical,6984
Eletrobrás,25093
Anixter,7338
Ikea,150334
MetroLyrics,10
Toho (filmstudio),2026
Издательский дом ИДР-ФОРМАТ,396
Denel,9072
Bank Mendes Gans,141
Ametek,12821
Altria Group,8911
Zwitserleven,7059
Soitec,1189
Polygon Magic,150
Extreme Pita,1729
Fox Brothers,20
ブルーナイル (企業),322
CodeWeavers,33
Oando,922
Ascom (company),2020
Nortel,21
Politico (quotidiano),292
Mandarake,172
アレキサンダー・シュライハー,125
Ecology Building Society,28
Powszechny Zakład Ubezpieczeń,15335
Energizer,6265
Moxie Software,217
فيليبس,102251
Bain Capital,1005
South Jersey Industries,610
Würth,71550
1E Efficience IT,258
Sanzaru Games,63
阿伯蒂斯基建公司,16264
Müller (entreprise),26109
Esse stoves,80
Reynolds and Reynolds,3971
Triotech,102
National Computing Centre,491
Toyota,333601
Brasil Kirin,10384
فورسكوير,167
Fraport,22965
Banco Etcheverría,128
Benetton Group,8122
ディッシュ・ネットワーク,18133
Nova (platforma cyfrowa),282
Осем,5227
SCE Bend Studio,108
アルテアエンジニアリング,1647
Cumerio,4
Thermaltake Technology,448
Triad Securities,35
Glencore,103248
Rural Electrification Corporation,706
Takeda Pharmaceutical Company,30487
EA Canada,1423
Mattel,29708
Johnny Cupcakes,33
扶桑社,185
Parrish & Heimbecker,1229
A.S. Watson Group,116983
Red Hat,10876
Spotify,1311
Companhia Zaffari,8962
Pepperstone,104
ETX Capital,97
ABA Games,1
Telenor Srbija,1238
Steorn,15
Red Link Communications,472
Allianz,167877
Psion (company),927
Gertrude Hawk Chocolates,543
ゼネラルモーターズ,276635
Evoma,151
"Trailer Park, Inc.",592
Benetton,7950
Zastava Arms,2593
MSC Software,1228
بليزارد إنترتينمنت,5078
コレクションズ・コーポレイション・オブ・アメリカ,18383
Bodum,488
Avebe,1200
Yarrow Shipbuilders,2631
Polycom,4169
Rostelekom,196076
Thermaltake,609
SDL International,4658
Coca-Cola Amatil,15288
Abu Dhabi Media,1832
Sindicatum,86
Safeway Insurance Group,538
Aera Energy,1486
American Electric Power,17006
动视,3685
Steve Jackson Games,46
MTN Syria,1471
Kalypso Media,96
Vinci (Unternehmen),179018
Bloomberg,19766
Lionbridge,8918
Lonrho,3420
Taser International,562
Subtv (UK),17
Promise Technology,475
Road Ranger,1016
Pošta Srbije,15833
Corrections Corporation of America,13672
Lucas Bols,23
Caterpillar,129732
ACE Limited,17150
Piranha Bytes,27
Sony,142
Deutsche Flugsicherung,5253
雷達錶,511
Tengelmann,76315
Nine West Holdings,5588
G&K Services,7565
Austin Ventures,51
Dongfeng Motor Corporation,164698
Motala Verkstad,196
Seibu Railway,3991
TCL Corporation,85407
Atomic Energy of Canada Limited,3596
Harley-Davidson,6548
إيه في جي لتكنولوجيات,1864
The Hong Kong and China Gas Company,2146
EquaTerra,325
QR Limited,5902
E4グループ,17806
東横イン,6644
Bain & Company,5000
United Continental Holdings,78449
Barilla Group,7
Tamedia,3072
Maule Air,34
Tramway de Kyoto,757
エフ・ホフマン・ラ・ロシュ,96202
EA Canada,1286
Nynas,740
AVG Technologies,2127
بورلاند,1136
Essel Group,12251
Cube Entertainment,47
フィールプラス,64
香港中華ガス,2292
小学館,795
Pirelli,35890
EasyJet Airlines,10948
Capvis,17
Industries iraniennes de l'électronique,1359
Toray Industries,49753
هارلي-ديفيدسون,4573
Elia System Operator,948
Ernst & Young,273393
Mint.com,40
لايكوس,71
The Grasshopper Company,325
Meritech Capital Partners,19
Washington Mutual,46419
Syniverse,2441
Equistone Partners Europe,47
Oji Paper Company,32504
Tsubakimoto Chain,6971
Nintendo Software Planning & Development,61
AOL,6715
PopCap Games,474
Thermaltake,563
Fraport,21515
GlobalSpec,174
Frontiers (uitgeverij),121
Garanti Bank,19737
TE Connectivity,72724
Carlyle Group,1444
A. Lange & Söhne,443
BenQ-Siemens,2463
Siebel Systems,4780
Burger Boat Company,310
花王,5105
Nevada State Bank,792
Atomics International,10863
XO Communications,3434
Radwin,239
Extra (supermarket),10060
U-Right,413
Gainward Technology,21
Chartered Semiconductor Manufacturing,4879
Detroit Diesel,2357
Eletrobras,20441
OmniScriptum,87
BTicino,2914
Entel Chile,4978
@Home Network,1530
Bauer Group,11637
CMA CGM,19874
Raidió Teilifís Éireann,1503
EF Education First,42843
Chipotle Mexican Grill,49297
Nova Grecia,344
LifeWise Health Plan of Oregon,269
Mary Kay,5537
Olympus Partners,21
Canadian Information Processing Society,2
Chelyabinsk Tractor Plant,12095
Sparkpr,52
ST Engineering,20582
Arika,48
Villeroy & Boch,10047
Parexel,19970
Hydro-Québec,19135
Harley-Davidson,5876
川崎重工業,29593
Idemitsu Kosan,6948
جاكو (شركة ملابس رياضة),171
Técnicas Reunidas,9970
Clipper Magazine,1222
Related Designs,57
International Watch Company,259
Ericsson,129268
Aker Arctic,45
Sowind Group,231
Moritz (bière),107
Cing,26
Nissan,134395
GGB Bearing Technology,1022
贝恩资本,825
アズダ,212630
Bic (company),11249
Lagardère (entreprise),28595
Lubrizol,9282
SEAT,10764
Nortel,20
Bombardier Aerospace,26455
Wincor Nixdorf,9559
Kaspersky Lab,3233
Alawar,391
Taiheiyo Cement,15367
Holden (constructeur automobile),3092
Sankalp Semiconductor,501
Laboratoires Servier,23541
龐巴迪公司,71434
Sanzaru Games,66
Unipetrol,2976
ゾディアック・エアロスペース,25116
Kanbawza Bank,1949
Dean Markley USA,20
奥利弗打字机公司,996
Lockheed Martin,134632
Capybara Games,26
Cochin Special Economic Zone,13863
Elia System Operator,1262
Onkyo,2093
نيتف إنسترمنتس,396
Nissan,162363
Visionary Related Entertainment,58
Meyer Werft,5615
Auto-Owners Insurance,4398
バシネフチ,8081
レゴ,14166
Lowe's,253669
Axel Springer SE,14050
Id Software,201
OnePiece,53
阿提哈德航空,23311
Telefónica,122808
Mizuho Financial Group,54759
AVG Technologies,1636
Abbott (entreprise),72428
ホーンビィ,201
ديسكفري كوميونيكيشنز,6907
Storebrand,2230
Western Union,8086
CBA (distribution),34140
Gehl Company,459
United Airlines,81224
Piedmont Airlines,5955
Piranha Bytes,26
WestJet,16735
Fitch Ratings,1752
Mammoet,3348
Tanzania Ports Authority,3870
A.S. Watson Group,114783
Shenhua,196501
大日本住友製薬,8117
FactSet Research Systems,6368
Trust (Unternehmen),238
Каменск-Уральский металлургический завод,3692
Allianz France,32224
Gimlet Media,75
Mumias Sugar Company Limited,1867
Teijin Aramid,1520
Vanity (clothing),1783
Hanza Media,2077
Extra (Handelskette),10199
Toyota,414719
Spark New Zealand,4966
Mondeca,23
Claas,10494
Raidió Teilifís Éireann,1653
Groupe Safra,29595
SOASTA,240
Abertis,13350
TechniSat,2234
ZyXEL,2257
Wells Fargo,244800
雅科,174
Edutech,264
沃倫貝格工業,3390
Wells Fargo,277224
カバ・グループ,7458
CMA CGM,19123
WestJet,12479
General Electric,309160
華納音樂集團,3344
イー・トレード,3579
Siebel,4784
Corrections Corporation of America,18444
エドウイン,363
IBM jStart,28
Chunghwa Telecom,27131
Procter & Gamble,119579
Perfetti Van Melle,18188
EPCOR Utilities,2083
Alvarez Guitars,771
Bank of the Philippine Islands,15038
Artech Digital Entertainment,55
SimilarWeb,277
Air New Zealand,9665
ASRock,307
Boeing,143010
The Co-operators,5142
Banca Popolare di Milano,8377
LG Display,51707
ولز فارجو,235482
Polycom,3913
MPM Capital,31
Ritek,3268
イーストマン・ケミカル,15260
ジェットアジア・エアウェイズ,375
Lonrho,2973
Discover Financial,11920
Core-Mark,7296
Stadler Rail,6493
