http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Bosnia and Herzegovina football transfers summer 2012,21
List of Ukrainian football transfers winter 2014–15,13
List of Hungarian football transfers winter 2013–14,84
Syracuse Orange men's soccer,24
2010–11 Tigres UANL season,5
2014–15 UEFA Youth League squads,10
List of Azerbaijan football transfers winter 2012,25
List of South Korean football transfers summer 2012,44
2003–04 Fulham F.C. season,33
Al Sadd Handball Team,4
2013–14 Valenciennes FC season,8
St. Francis Brooklyn Terriers men's soccer,18
List of Ukrainian football transfers summer 2009,12
2013年中国足球冬季转会列表,49
Unione Sportiva Città di Palermo 2003-2004,18
List of German football transfers summer 2013,41
List of Albanian football transfers summer 2013,4
List of Hungarian football transfers winter 2013–14,25
2014 Indonesian Inter Island Cup qualification squads,44
FIU Panthers men's soccer,25
List of Chinese football transfers winter 2011,16
2010–11 Club Atlas season,56
List of Bosnia and Herzegovina football transfers winter 2012–13,13
List of Latvian football transfers winter 2011–12,31
Unione Sportiva Città di Palermo 2003-2004,25
List of Iranian football transfers winter 2013–14,43
List of Mexican football transfers winter 2013–14,15
Laguna F.C.,18
List of Turkish football transfers summer 2013,77
2010 Saint Louis Athletica season,3
List of Azerbaijan football transfers summer 2010,26
List of Belgian football transfers winter 2011–12,24
1980 CIS Men's Soccer Championship,19
List of Latvian football transfers winter 2011–12,23
List of Bosnia and Herzegovina football transfers winter 2012–13,3
List of Maltese football transfers summer 2008,7
List of Russian football transfers summer 2010,58
Toledo BM,2
2002–03 Manchester City F.C. season,17
Al-Sadd Sports Club Handball,19
List of Belgian football transfers summer 2014,70
Penn State Nittany Lions men's soccer,11
List of Cypriot football transfers winter 2011–12,15
2013–14 Maccabi Tel Aviv F.C. season,10
List of South Korean football transfers winter 2013–14,20
List of Latvian football transfers winter 2013–14,29
Laguna Football Club,10
2013年中国足球冬季转会列表,17
قوائم كأس العالم للأندية لكرة القدم 2013,35
List of Mexican football transfers summer 2013,5
List of Mexican football transfers summer 2010,3
2008–09 Sydney FC W-League season,5
List of Cypriot football transfers summer 2013,68
List of Cypriot football transfers winter 2013–14,38
List of Chinese football transfers winter 2011,25
List of Chinese football transfers winter 2014,63
Elencos da Copa do Mundo de Clubes da FIFA de 2013,95
List of Latvian football transfers summer 2012,1
List of Japanese football transfers winter 2009–10,16
List of Cypriot football transfers winter 2011–12,2
2003–04 Fulham F.C. season,5
Клубный чемпионат мира по футболу 2012 (составы),6
"Al-Arabi (Saudi Arabia, handball club)",6
List of Russian football transfers winter 2010–11,69
2014 Indonesian Inter Island Cup qualification squads,93
List of Iranian football transfers summer 2010,32
2010–11 Jaguares de Chiapas season,32
List of Chinese football transfers winter 2014,25
List of Cypriot football transfers winter 2013–14,24
UMBC Retrievers men's soccer,3
2013–14 Vitória F.C. season,16
List of Iranian football transfers winter 2011–12,36
List of Cypriot football transfers winter 2013–14,36
List of Estonian football transfers winter 2012–13,102
2000–01 Fulham F.C. season,6
List of South Korean football transfers winter 2011–12,17
List of Cypriot football transfers winter 2011–12,26
List of Hungarian football transfers summer 2012,43
List of Bulgarian football transfers winter 2011–12,9
List of Bulgarian football transfers summer 2012,3
1988–89 Full Members Cup,6
List of Iranian football transfers summer 2013,5
List of Iranian football transfers winter 2011–12,91
2006 FIFA Club World Cup squads,2
West Ham United FC in het seizoen 2010/11,11
2013–14 UEFA Youth League squads,80
List of Maltese football transfers summer 2010,98
Lisbon Lions,12
List of German football transfers summer 2008,31
1999–2000 Blackpool F.C. season,5
List of Slovak football transfers summer 2013,45
List of Azerbaijan football transfers winter 2012,35
2011 Western New York Flash season,12
قوائم كأس العالم للأندية لكرة القدم 2013,2
2013–14 UEFA Youth League squads,83
2012 FIFA Club World Cup squads,31
Laguna Football Club,24
2014 Indonesian Inter Island Cup qualification squads,35
List of German football transfers winter 2009–10,7
Клубный чемпионат мира по футболу 2012 (составы),29
List of German football transfers winter 2009–10,1
2010–11 Estudiantes Tecos season,25
2013–14 SC Eendracht Aalst season,7
List of Uzbek football transfers 2012,33
List of Russian football transfers summer 2013,94
List of Azerbaijan football transfers summer 2009,58
2008–09 Blackpool F.C. season,33
List of Turkish football transfers summer 2013,47
Sportsklubben Brann 2006,2
List of Maltese football transfers winter 2008–09,1
2014 Indonesian Inter Island Cup qualification squads,8
List of Azerbaijan football transfers winter 2010,2
2005 South Carolina Gamecocks men's soccer team,19
List of Cypriot football transfers winter 2013–14,21
Al Sadd Handball Team,8
Convocazioni per la Coppa del mondo per club FIFA 2012,39
2013–14 Valenciennes FC season,29
List of Ukrainian football transfers winter 2008–09,80
2013–14 SC Eendracht Aalst season,14
List of Azerbaijan football transfers winter 2011,9
Universitario Lima/Lista piłkarzy,12
List of Cypriot football transfers winter 2011–12,18
Full Members Cup 1988-89,8
List of Serbian football transfers winter 2013–14,8
List of Qatari football transfers summer 2012,8
List of Bulgarian football transfers summer 2012,5
2009–10 Paris Saint-Germain F.C. (Ladies) season,24
List of Qatari football transfers summer 2012,27
Full Members Cup 1988-89,6
Convocazioni per la Coppa del mondo per club FIFA 2010,3
Sliema Hotsticks Hockey Club,4
List of Bulgarian football transfers summer 2010,3
2012–13 Walsall F.C. season,15
List of Serbian football transfers summer 2010,13
List of German football transfers summer 2009,36
2010 Saint Louis Athletica season,22
List of Qatari football transfers winter 2011–12,78
2010–11 Club Atlas season,53
List of Russian football transfers winter 2011–12,34
South Florida Bulls men's soccer,24
List of Azerbaijan football transfers winter 2012,14
List of Ukrainian football transfers winter 2008–09,23
Toledo Balonmano,16
List of Swedish football transfers winter 2012–13,26
List of Albanian football transfers summer 2013,34
List of Slovak football transfers summer 2012,4
List of Chinese football transfers summer 2013,33
Club Universidad Nacional 2010-2011,16
2010–11 Jaguares de Chiapas season,31
List of Russian football transfers winter 2011–12,19
List of Cypriot football transfers summer 2013,23
List of Hungarian football transfers winter 2013–14,74
2006 CIS Men's Soccer Championship,16
List of Maltese football transfers summer 2013,15
List of Maltese football transfers winter 2008–09,20
List of Iranian football transfers summer 2012,24
Penn State Nittany Lions men's soccer,2
2013–14 Valenciennes FC season,23
List of Maltese football transfers winter 2012–13,63
2012 Wake Forest Demon Deacons men's soccer team,34
List of Hungarian football transfers winter 2011–12,30
Elencos da Copa do Mundo de Clubes da FIFA de 2013,18
List of Norwegian football transfers summer 2014,100
List of Russian football transfers winter 2010–11,81
List of German football transfers summer 2012,42
List of Iranian football transfers summer 2013,15
2010–11 Jaguares de Chiapas season,14
List of Iranian football transfers summer 2010,44
List of Uzbek football transfers 2010,27
List of Bosnia and Herzegovina football transfers winter 2012–13,44
2000–01 Manchester City F.C. season,23
Maybank HC,11
2013–14 Valenciennes FC season,14
List of Serbian football transfers winter 2011–12,16
2010–11 Deportivo Toluca season,18
List of Turkish football transfers summer 2010,11
Convocazioni per la Coppa del mondo per club FIFA 2006,14
List of Azerbaijan football transfers winter 2014,85
List of Bulgarian football transfers winter 2013–14,43
Markaz Balata,2
1999–2000 Blackpool F.C. season,4
Клубный чемпионат мира по футболу 2012 (составы),39
葉士域治2009年至2010年球季,37
List of Norwegian football transfers winter 2012–13,28
List of Latvian football transfers winter 2011–12,33
List of Latvian football transfers winter 2013–14,90
Penn State Nittany Lions men's soccer,27
List of Azerbaijan football transfers summer 2013,23
St. Francis Brooklyn Terriers men's soccer,92
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,20
List of Latvian football transfers winter 2011–12,24
Michigan Wolverines men's soccer,6
Лиссабонские львы,8
List of Turkish football transfers summer 2013,17
Laguna F.C.,1
2004–05 Fulham F.C. season,2
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,39
List of Latvian football transfers summer 2013,19
List of Estonian football transfers winter 2012–13,28
List of Latvian football transfers winter 2011–12,27
Laguna F.C.,3
2007 CIS Men's Soccer Championship,17
List of Hungarian football transfers summer 2013,9
Manchester City Football Club 2002-2003,20
List of Maltese football transfers summer 2008,6
List of Qatari football transfers summer 2012,3
Michigan Wolverines men's soccer,16
2010–11 Atlante F.C. season,7
List of Hungarian football transfers summer 2010,47
List of Turkish football transfers summer 2013,39
List of Maltese football transfers summer 2013,89
List of Turkish football transfers summer 2010,4
قوائم كأس العالم للأندية لكرة القدم 2013,19
List of German football transfers winter 2008–09,29
List of Iranian football transfers summer 2009,18
Lijst van Bundesliga-transfers zomer 2012,28
List of South Korean football transfers winter 2011–12,35
2010 Rochester Rhinos season,22
List of Bosnia and Herzegovina football transfers summer 2013,1
List of Russian football transfers winter 2011–12,72
List of Hungarian football transfers summer 2012,38
List of Bosnia and Herzegovina football transfers summer 2013,37
2014 Indonesian Inter Island Cup squads,28
List of Estonian football transfers winter 2012–13,21
List of Albanian football transfers summer 2013,7
Los Angeles Skyhawks,6
2010 Rochester Rhinos season,17
List of Club Universitario de Deportes players,17
List of Hungarian football transfers summer 2010,31
List of Belgian football transfers summer 2014,15
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,27
Club Universidad Nacional 2010-2011,1
List of South Korean football transfers winter 2011–12,29
List of Belgian football transfers winter 2008–09,6
Lijst van Bundesliga-transfers zomer 2013,8
Клубный чемпионат мира по футболу 2008 (составы),22
List of Turkish football transfers summer 2010,21
E.I.S. Men's Volleyball,27
E.I.S. Men's Volleyball,8
2010–11 Club América season,48
Charlotte 49ers men's soccer,19
2013–14 C.F. União season,5
1980 CIS Men's Soccer Championship,2
List of Cypriot football transfers summer 2013,20
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,37
2006 CIS Men's Soccer Championship,19
List of Turkish football transfers summer 2013,53
2010–11 Club Universidad Nacional season,8
2010–11 Club Necaxa season,12
List of Russian football transfers summer 2010,29
List of Mexican football transfers winter 2010,21
List of Iranian football transfers winter 2010–11,43
UR La Louvière Centre,8
List of Russian football transfers winter 2011–12,92
Convocazioni per la Coppa del mondo per club FIFA 2012,29
Delaware Fightin' Blue Hens men's soccer,20
List of German football transfers summer 2013,4
List of Iranian football transfers summer 2011,37
List of Azerbaijan football transfers winter 2012,1
List of Bulgarian football transfers summer 2012,27
UMBC Retrievers men's soccer,14
List of Azerbaijan football transfers winter 2014,13
Olympiacos B.C. season 2008–09,14
List of Belgian football transfers summer 2010,23
Lisbon Lions,8
2013–14 SC Eendracht Aalst season,10
List of Iranian football transfers summer 2013,3
2013–14 Valenciennes FC season,10
2002–03 Manchester City F.C. season,38
List of Belgian football transfers summer 2009,11
Wake Forest Demon Deacons men's soccer,7
List of Belgian football transfers summer 2014,4
Al-Sadd Sports Club Handball,7
List of Maltese football transfers summer 2009,20
List of Chinese football transfers winter 2011,32
2010–11 Puebla F.C. season,11
Toledo Balonmano,5
List of Belgian football transfers summer 2010,30
List of Ukrainian football transfers winter 2008–09,37
List of Mexican football transfers summer 2013,26
List of Hungarian football transfers summer 2010,8
List of Bulgarian football transfers summer 2012,75
List of Iranian football transfers summer 2011,35
Manchester City Football Club 2002-2003,11
Клубный чемпионат мира по футболу 2013 (составы),4
List of German football transfers summer 2012,27
List of Iranian football transfers summer 2009,5
List of Chinese football transfers summer 2013,51
List of Iranian football transfers summer 2009,28
Full Members Cup 1988-89,2
2010 FIFA Club World Cup squads,13
List of Estonian football transfers summer 2013,13
UC Santa Barbara Gauchos men's soccer,20
Charlotte 49ers men's soccer,27
2008 FIFA Club World Cup squads,9
2009–10 Paris Saint-Germain F.C. (Ladies) season,6
List of Macedonian football transfers winter 2014–15,19
List of Cypriot football transfers summer 2013,4
List of Hungarian football transfers summer 2010,61
2008–09 Blackpool F.C. season,37
2008–09 Sydney FC W-League season,16
2008 FIFA Club World Cup squads,32
List of German football transfers winter 2012–13,4
2014 Indonesian Inter Island Cup qualification squads,74
List of Mexican Football Transfers Winter 2011–12,34
F.C. Cape Town,24
Elencos da Copa do Mundo de Clubes da FIFA de 2012,15
Lijst van Bundesliga-transfers zomer 2013,4
List of Mexican football transfers winter 2013–14,33
West Ham United F.C. Reserves and Academy,68
2005 South Carolina Gamecocks men's soccer team,8
List of Chinese football transfers winter 2013,12
2014–15 UEFA Youth League squads,84
Toledo Balonmano,17
Delta Queens,1
List of Slovak football transfers summer 2012,34
List of Belgian football transfers winter 2009–10,21
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,12
List of Japanese football transfers summer 2013,23
2013年中国足球冬季转会列表,3
2010–11 Jaguares de Chiapas season,23
List of German football transfers summer 2010,56
2014–15 UEFA Youth League squads,62
List of Serbian football transfers winter 2011–12,5
List of Ukrainian football transfers winter 2014–15,49
List of German football transfers summer 2010,35
Elencos da Copa do Mundo de Clubes da FIFA de 2010,30
List of South Korean football transfers winter 2013–14,43
2006–07 Fulham F.C. season,13
Lisbon Lions,1
2010–11 Club Universidad Nacional season,33
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,12
Convocazioni per la Coppa del mondo per club FIFA 2006,7
List of Hungarian football transfers summer 2010,79
List of Russian football transfers summer 2013,57
Tacoma Tides,9
2008–09 Sydney FC W-League season,4
List of Qatari football transfers winter 2011–12,21
List of Latvian football transfers winter 2011–12,3
2007 CIS Men's Soccer Championship,16
List of Turkish football transfers summer 2014,30
List of Bulgarian football transfers summer 2010,43
List of South Korean football transfers summer 2012,81
List of Maltese football transfers summer 2013,27
List of French football transfers summer 2013,14
2000–01 Manchester City F.C. season,34
List of Ukrainian football transfers winter 2008–09,7
List of Hungarian football transfers winter 2011–12,29
2006–07 Fulham F.C. season,19
2013–14 Vitória F.C. season,25
List of Slovak football transfers summer 2013,94
List of Hungarian football transfers summer 2013,91
List of Japanese football transfers summer 2012,19
2013–14 C.F. União season,4
Lisbon Lions,13
List of Latvian football transfers summer 2012,29
List of Iranian football transfers summer 2010,13
List of South Korean football transfers summer 2012,19
List of Belgian football transfers summer 2009,20
2010–11 Club América season,72
2013–14 UEFA Youth League squads,19
1988–89 Full Members Cup,5
2000–01 Manchester City F.C. season,20
List of Latvian football transfers winter 2013–14,107
2010–11 C.F. Pachuca season,13
List of Cypriot football transfers winter 2011–12,8
Sportsklubben Brann 2007,12
Maryland Terrapins men's soccer,2
2000–01 Fulham F.C. season,20
Lijst van Bundesliga-transfers zomer 2012,45
List of Azerbaijan football transfers summer 2012,70
2005 South Carolina Gamecocks men's soccer team,4
List of Latvian football transfers winter 2013–14,6
Club Universidad Nacional 2010-2011,12
List of Slovak football transfers summer 2013,24
2014 Fordham Rams men's soccer team,31
2014 Indonesian Inter Island Cup qualification squads,32
List of Japanese football transfers winter 2009–10,6
Syracuse Orange men's soccer,27
List of Bosnia and Herzegovina football transfers summer 2012,6
Charlotte 49ers men's soccer,23
2010–11 Atlante F.C. season,1
2013–14 Vitória F.C. season,7
2000–01 Manchester City F.C. season,1
Wake Forest Demon Deacons women's soccer,33
2002–03 Manchester City F.C. season,35
2014 Indonesian Inter Island Cup qualification squads,57
List of Azerbaijan football transfers winter 2014,2
List of Mexican Football Transfers Winter 2011–12,26
Olympiacos B.C. season 2008–09,9
葉士域治2009年至2010年球季,14
List of Chinese football transfers summer 2013,37
List of Ukrainian football transfers winter 2008–09,20
List of German football transfers winter 2009–10,4
List of Iranian football transfers summer 2013,27
List of Azerbaijan football transfers winter 2012,21
List of Japanese football transfers winter 2009–10,35
List of Belgian football transfers summer 2015,20
List of Hungarian football transfers winter 2011–12,39
List of Serbian football transfers winter 2011–12,113
List of French football transfers summer 2013,2
Clemson Tigers men's soccer,25
List of Turkish football transfers summer 2014,8
2010–11 Club América season,41
List of Malaysian football transfers 2012,14
2012–13 Walsall F.C. season,26
Ohio State Buckeyes men's soccer,28
List of Chinese football transfers winter 2013,48
List of Iranian football transfers winter 2011–12,8
List of Azerbaijan football transfers winter 2011,4
List of Hungarian football transfers summer 2012,21
2007 South Carolina Gamecocks men's soccer team,6
Lisbon Lions,8
Delta Queens,14
2010–11 C.D. Guadalajara season,15
List of Iranian football transfers summer 2013,2
Toledo BM,5
Detroit Ignition,25
List of Latvian football transfers summer 2013,18
List of Japanese football transfers summer 2013,18
قوائم كأس العالم للأندية لكرة القدم 2013,12
List of Mexican Football Transfers Winter 2011–12,13
List of Cypriot football transfers summer 2013,8
List of Bulgarian football transfers winter 2011–12,16
List of Azerbaijan football transfers winter 2011,2
2012 FIFA Club World Cup squads,34
List of German football transfers winter 2008–09,32
Elencos da Copa do Mundo de Clubes da FIFA de 2013,13
List of Greek football transfers summer 2012,6
List of Iranian football transfers summer 2012,7
Ohio State Buckeyes men's soccer,17
List of Chinese football transfers winter 2013,40
2013年中国足球冬季转会列表,35
Virginia Cavaliers men's soccer,36
2012–13 Grimsby Town F.C. season,4
Club Universidad Nacional 2010-2011,5
2012 Wake Forest Demon Deacons men's soccer team,36
Michigan Wolverines men's soccer,8
List of Chinese football transfers winter 2013,50
List of Serbian football transfers winter 2013–14,1
2008–09 Paris Saint-Germain F.C. (Ladies) season,3
Ignition de Détroit,4
List of Latvian football transfers winter 2014–15,23
List of Mexican football transfers summer 2012,7
West Ham United F.C. Reserves and Academy,41
2013–14 Vitória F.C. season,12
Convocazioni per la Coppa del mondo per club FIFA 2013,8
Sportsklubben Brann 2007,8
2014 Indonesian Inter Island Cup squads,4
2000–01 Fulham F.C. season,2
2010–11 C.F. Monterrey season,3
2008–09 Blackpool F.C. season,15
List of Belgian football transfers summer 2010,96
2014 Indonesian Inter Island Cup qualification squads,11
2013–14 C.F. União season,22
Клубный чемпионат мира по футболу 2012 (составы),9
List of Serbian football transfers summer 2013,76
List of Maltese football transfers summer 2012,6
2013–14 Stationery Stores season,14
Meelin GAA,15
韋斯咸2012年至2013年球季,42
List of Iranian football transfers winter 2009–10,9
List of German football transfers summer 2009,32
List of Azerbaijan football transfers summer 2012,24
List of Russian football transfers winter 2010–11,71
List of Maltese football transfers summer 2010,90
List of Belgian football transfers winter 2008–09,2
List of Turkish football transfers summer 2010,21
List of Iranian football transfers summer 2009,17
Sliema Hotsticks Hockey Club,18
List of German football transfers winter 2012–13,17
List of Russian football transfers winter 2010–11,49
List of German football transfers winter 2008–09,24
List of Russian football transfers summer 2010,68
List of Iranian football transfers winter 2013–14,33
List of Belgian football transfers winter 2012–13,14
List of Latvian football transfers summer 2014,16
List of Azerbaijan football transfers winter 2014,5
List of Bosnian football transfers winter 2013–14,5
2013–14 Viborg FF season,6
List of Belgian football transfers winter 2012–13,10
List of Russian football transfers summer 2013,55
List of Latvian football transfers summer 2012,66
List of Serbian football transfers summer 2012,34
2013 FIFA Club World Cup squads,18
Wake Forest Demon Deacons men's soccer,7
List of Azerbaijan football transfers summer 2009,23
List of Belgian football transfers summer 2009,7
List of Hungarian football transfers summer 2013,96
List of Latvian football transfers winter 2014–15,27
2008–09 Sydney FC W-League season,1
List of Russian football transfers winter 2010–11,77
Universitario Lima/Lista piłkarzy,18
Cal Poly Mustangs men's soccer,16
2012 Wake Forest Demon Deacons men's soccer team,6
List of Mexican football transfers summer 2010,7
2007 SK Brann season,12
Toledo BM,16
2010–11 West Ham United F.C. season,12
List of Latvian football transfers winter 2013–14,24
List of Serbian football transfers winter 2013–14,8
List of Azerbaijan football transfers summer 2010,1
List of Hungarian football transfers summer 2013,6
葉士域治2009年至2010年球季,20
List of Bulgarian football transfers winter 2013–14,41
2008 CIS Men's Soccer Championship,9
List of Greek football transfers summer 2012,34
List of Russian football transfers winter 2009–10,19
قوائم كأس العالم للأندية لكرة القدم 2013,22
2010–11 Club Necaxa season,23
Клубный чемпионат мира по футболу 2013 (составы),80
List of Belgian football transfers summer 2015,1
List of Azerbaijan football transfers summer 2012,28
List of Bosnia and Herzegovina football transfers summer 2012,29
List of Serbian football transfers winter 2013–14,3
List of Azerbaijan football transfers winter 2010,24
2014–15 UEFA Youth League squads,78
List of Russian football transfers summer 2010,10
List of Iranian football transfers summer 2011,13
List of Russian football transfers winter 2010–11,9
List of Norwegian football transfers winter 2012–13,70
List of Azerbaijan football transfers summer 2010,76
List of Mexican football transfers summer 2010,18
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,25
List of Iranian football transfers summer 2012,1
St. Francis Brooklyn Terriers men's soccer,31
2011 Western New York Flash season,3
2013–14 UEFA Youth League squads,42
Clemson Tigers men's soccer,17
List of Japanese football transfers summer 2013,38
2013–14 Vitória F.C. season,77
Clemson Tigers men's soccer,32
Клубный чемпионат мира по футболу 2008 (составы),26
UMBC Retrievers men's soccer,14
List of Iranian football transfers summer 2009,49
List of German football transfers summer 2008,19
2000–01 Manchester City F.C. season,11
2011 Western New York Flash season,16
List of Cypriot football transfers winter 2011–12,9
List of Estonian football transfers winter 2012–13,13
2014 Indonesian Inter Island Cup squads,26
Toledo Balonmano,17
Virginia Cavaliers men's soccer,12
2006 FIFA Club World Cup squads,9
List of Latvian football transfers summer 2013,12
List of German football transfers summer 2008,27
List of Bulgarian football transfers winter 2013–14,105
List of Maltese football transfers summer 2009,1
List of German football transfers summer 2012,21
List of Ukrainian football transfers summer 2010,14
List of Azerbaijan football transfers summer 2012,24
List of Russian football transfers summer 2010,16
List of Iranian football transfers winter 2011–12,9
List of Turkish football transfers summer 2010,19
List of Belgian football transfers winter 2013–14,27
2008–09 Sydney FC W-League season,27
List of Azerbaijan football transfers summer 2011,28
Ajax Sportsman Combinatie,3
List of Russian football transfers summer 2012,65
List of Iranian football transfers winter 2011–12,26
Penn State Nittany Lions men's soccer,6
2013年中国足球冬季转会列表,44
Cal Poly Mustangs men's soccer,12
List of Hungarian football transfers winter 2013–14,30
West Ham United FC in het seizoen 2010/11,17
List of Chinese football transfers summer 2013,17
2000–01 Manchester City F.C. season,38
List of Russian football transfers winter 2010–11,53
List of German football transfers winter 2009–10,17
2010–11 Deportivo Toluca season,3
List of Russian football transfers summer 2013,30
Sliema Hotsticks Hockey Club,24
List of Turkish football transfers summer 2010,32
List of Chinese football transfers winter 2012,10
2010–11 C.F. Monterrey season,12
List of Bulgarian football transfers winter 2013–14,30
2010–11 Puebla F.C. season,21
FIU Panthers men's soccer,3
2010–11 West Ham United F.C. season,2
List of Russian football transfers summer 2010,47
1996–97 UE Lleida season,13
Charlotte 49ers men's soccer,18
List of Azerbaijan football transfers summer 2011,3
"Al-Arabi (Saudi Arabia, handball club)",9
2014–15 Grimsby Town F.C. season,24
List of Maltese football transfers summer 2012,113
Lijst van Bundesliga-transfers zomer 2012,19
2010–11 Tigres UANL season,1
Elencos da Copa do Mundo de Clubes da FIFA de 2010,75
2013年中国足球冬季转会列表,10
2008–09 Paris Saint-Germain F.C. (Ladies) season,26
Lijst van Bundesliga-transfers zomer 2013,7
List of Hungarian football transfers summer 2010,23
List of Bulgarian football transfers winter 2013–14,31
List of Bosnia and Herzegovina football transfers summer 2013,30
Convocazioni per la Coppa del mondo per club FIFA 2013,33
Charlotte 49ers men's soccer,21
2010–11 Estudiantes Tecos season,33
All-time Saint Louis Athletica roster,3
List of Bulgarian football transfers winter 2013–14,80
2010–11 Puebla F.C. season,30
2013–14 UEFA Youth League squads,88
List of Ukrainian football transfers summer 2010,24
List of Bulgarian football transfers winter 2013–14,104
List of Russian football transfers winter 2010–11,87
Cal Poly Mustangs men's soccer,31
2006–07 Fulham F.C. season,34
2006–07 Fulham F.C. season,23
List of Maltese football transfers summer 2010,10
List of Norwegian football transfers winter 2012–13,22
2010–11 Club Necaxa season,31
List of Latvian football transfers winter 2011–12,2
List of Norwegian football transfers 2010,14
List of French football transfers summer 2013,18
Lisbon Lions,3
UR La Louvière Centre,32
Elencos da Copa do Mundo de Clubes da FIFA de 2013,19
List of Iranian football transfers winter 2011–12,19
2010 Rochester Rhinos season,16
List of Belgian football transfers winter 2012–13,24
Markaz Balata,15
List of Cypriot football transfers winter 2013–14,32
Convocazioni per la Coppa del mondo per club FIFA 2012,28
Radford Highlanders women's soccer,6
List of Cypriot football transfers summer 2013,8
List of Mexican football transfers winter 2013–14,19
List of Russian football transfers winter 2010–11,58
2006–07 Plymouth Argyle F.C. season,22
List of Russian football transfers winter 2011–12,105
FIU Panthers men's soccer,11
2012–13 Walsall F.C. season,33
2008 Colo-Colo season,44
Manchester City Football Club 2002-2003,34
Lisbon Lions,11
List of Russian football transfers winter 2011–12,114
Syracuse Orange men's soccer,7
List of Maltese football transfers summer 2009,14
List of Bulgarian football transfers winter 2011–12,1
Elencos da Copa do Mundo de Clubes da FIFA de 2010,35
Elencos da Copa do Mundo de Clubes da FIFA de 2010,22
Ohio State Buckeyes men's soccer,16
2012–13 Galatasaray S.K. Basketball season,26
2010–11 Querétaro F.C. season,18
