http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Universität La Réunion,11532
Seaford Senior High School,866
Universidad de Concepción,24063
Norwegian School of Economics,3581
Universidad de Dalarna,17618
Nuova Università di Lisbona,17991
Foothills School of Arts and Sciences,160
Universidad Anáhuac del Sur,1875
St Mary Redcliffe and Temple School,1649
University of Primorska,5459
Республиканский университет (Уругвай),89549
Brookwood School,410
Franklin College (Indiana),1040
Nash Central High School,1158
University of Swaziland,5505
Morgantown High School,1874
Reed College,1440
林奈大學,14329
Edgewood Senior High School,546
The Khaitan School,3033
"Benedictine High School (Cleveland, Ohio)",462
Nestucca High School,202
أكاديمية كونمينغ الدولية,95
Owen Valley Community High School,768
Bezalel Academy of Arts and Design,2220
モンペリエ大学,45069
Forres Academy,888
Norwegische Handelshochschule,3571
"Lawrence School (Sagamore Hills, Ohio)",345
Greeley West High School,1548
Wingate University,3006
Upper Darby High School,3427
ニューヨークフィルムアカデミー,6660
Escuela de Santa María (Puerto España),1214
جامعة البنجاب,44763
Universidade de Magallanes,6
Lakshmi Narain College of Technology,4412
الجامعة الاتحادية في باهيا,26650
Fort Hays State University,15686
Celje First Grammar School,1069
Goffs School,1611
Université de Stuttgart,27438
William Penn High School (Delaware),2379
École nationale supérieure des arts et industries textiles,11337
Byuksung College,501
Chesapeake College,2322
Black Mountain College,1143
ワーナー・パシフィック大学,1298
"The Village School (Houston, Texas)",1538
Whitefield Christian Schools,294
Università della Città di Manila,12592
Lejeune High School,549
海南大学,30063
Institut de technologie de Karlsruhe,24011
"Highlands High School (Natrona Heights, Pennsylvania)",909
المدرسة الأمريكية في الدوحة,2091
Jiangnan University,33989
Royal University of Phnom Penh,21410
Eleanor Roosevelt High School (California),3318
Cleveland Heights High School,1760
Trinity Washington University,2112
"School of Economics, UNAM",3
杜克大学医学院,387
Universität Singidunum,10079
RCSI-Bahrain,1070
Los Angeles City College,20276
"Washington High School (Phoenix, Arizona)",1649
アリゾナ州立大学,13232
"Meridian School, Royston",551
Pine Hills Adventist Academy,130
Windesheim (onderwijsinstelling),19835
Government College of Commerce & Economics,3747
筲箕灣官立中學,1118
Университет Коста-Рики,48
Alton C. Crews Middle School,1166
Zurich International School,1591
Pontificia Universidad Católica del Perú,21127
マリー・キュリー・スクウォドフスカ大学,25429
Leolo High School,627
"Stanborough School, Welwyn Garden City",952
Avonworth High School,444
EMLYON Business School,3271
Staatsuniversiteit van Linguïstiek Jerevan,4521
Wilmington Academy,826
Birkdale School,1012
Université d'État de l'Arizona,12011
Università degli Studi di Bari Aldo Moro,45402
Ticonderoga High School,271
Saint Louis University School of Social Work,1153
素罗娜丽科技大学,12620
Andrews High School (South Carolina),481
Université de Busitema,1293
جامعة داكوتا الشمالية مدرسة الطب والعلوم الصحية,290
Escuela de Música de Calcuta,1087
Ballou High School,1054
Norwegian International School,178
Université de sciences appliquées de Mayence,5199
Université pontificale catholique du Pérou,15394
Staatliche Polytechnische Universität Sankt Petersburg,25131
"Mariner High School (Everett, Washington)",1806
Päpstliche Katholische Universität von Argentinien,15560
Wills Point High School,751
ジェームズ・マディソン大学,18641
كلية الأمير سلطان لعلوم الطيران,5726
Pine Tree Independent School District,4638
Franklin Heights High School,1243
Uniwersytet Damasceński,226447
Technical University of Liberec,10117
Universidad Católica De La Santísima Concepción,6017
Poynton High School,1737
Tung Wah Group of Hospitals S. C. Gaw Memorial College,857
McAllen High School,2403
美国天主教大学哥伦布法学院,586
伍德罗·威尔逊高中,1818
Southborough High School,659
St. Charles West High School,623
Universidade de Estocolmo,58610
Universidade de Montpellier,41152
Driffield School,2248
كلية هارفرد للأعمال,1651
Stratford High School (Connecticut),1203
Universidad San Francisco de Quito,6099
Olean High School,811
Maliyadeva College,4676
Gorgan University,2946
"Clint Junior High School (El Paso, Texas)",353
"North Star Academy (Redwood City, California)",646
Florida State University student housing,6363
Albany High School (Georgia),860
Madison Central High School (Kentucky),1850
福州格致中学,2414
University of Banja Luka,17050
"Good Shepherd Convent, Chennai",924
I.E.S. Mariano Quintanilla,703
Uniwersytet w Niszu,26017
Manzar-e-Islam,354
Bayside High School (Virginia),2391
Columbia-universiteit,2117
École nationale vétérinaire d'Alfort,651
Texas Tech University Health Sciences Center El Paso,549
Amphitheater Public Schools,16099
Bellarine Secondary College,1659
Pavol Jozef Šafárik Universität in Košice,5943
"Royal Academy of Art, The Hague",960
Białoruski Uniwersytet Państwowy,42830
Alexander Jan Cuza-universiteit van Iași,27457
جامعة دمشق,233867
Sonoraville High School,1125
Union High School (Oregon),213
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2043
Union High School (Utah),979
Saba University School of Medicine,515
"St. Joseph High School (Hilo, Hawaii)",272
Centro Universitario de Svalbard,386
Cactus High School,1088
Stanford University,17985
広西師範大学,22696
Falls Church High School,1715
Università della Florida Meridionale,57210
Universidad Panthéon-Assas,20094
Kalinga Polytechnic,1201
Community College of Baltimore County,65422
Robert M. La Follette School of Public Affairs,112
Albertus Magnus High School,520
Daugavpils University,3880
馬禮遜美國學校,219
Novia University of Applied Sciences,4450
Oak Hill Academy (New Jersey),369
Polytechnic University of the Philippines,49237
Human Resources University,53736
Cypress Bay High School,3816
"Aquinas Academy (Livingston, New Jersey)",178
مدرسة KIIT الدولية,77
Kingswood Regional High School,669
Community Baptist Christian School,119
聖方濟大學,3834
Theodore Roosevelt High School (San Antonio),2678
V. J. and Angela Skutt Catholic High School,569
Cégep Limoilou,3635
Canton Area School District,1148
TC Beirne School of Law,2131
东北财经大学,23344
City of Liverpool College,21558
St. Dominic Savio Catholic High School,289
Harvard Business School,1832
Turlock High School,2283
West Albany High School,1443
Cabot High School,1748
Morrison Academy,156
Instituto de Tecnología de Georgia,24161
Seneca High School (New Jersey),1329
Escola Brasileira de Administração Pública e de Empresas,724
جامعة تونس المنار,46416
Hanover Public School District,1775
Goerdeler-Gymnasium Paderborn,749
Hoover High School (Alabama),2401
Wisconsin Lutheran Seminary,250
Universidad de Colombo,12756
Thomas Aquinas College,402
Université de Messine,22518
North Knox High School,638
Campus Bio-Medico,1726
Centre national d’enseignement à distance,121088
Alexander Hamilton Jr./Sr. High School,425
Laguna College of Art and Design,584
Montebello High School,3311
Bellwood-Antis School District,1173
Mahidol Wittayanusorn School,697
Академия музыкальных искусств (Прага),1457
"St Augustine's Roman Catholic High School, Billington",1124
Central Christian Schools,307
Testbourne Community School,807
جامعة دالهاوسي,18953
Cégep Garneau,9296
Montgomery High School (New Jersey),1674
Asian Institute of Tourism,421
Great Lakes Christian College,248
جامعة جوزيف فورييه,16538
University of Missouri–Kansas City School of Law,468
Texas A&M University System,121524
Francis Howell North High School,1590
Colton High School (California),2818
Yamagata University,8884
Instituto Gwangju de Ciencia y Tecnología,1942
Touro College of Osteopathic Medicine,638
Tai Poutini Polytechnic,2405
Harvard Business School,2142
Universidade Tecnológica Nacional (Argentina),70874
Freeport Area School District,1927
جامعة دركسل,25839
St. Augustine Catholic High School (Ontario),1418
Edgewood High School of the Sacred Heart,569
Crawford County High School (Indiana),828
Universidad de Macquarie,42939
Academy of Technology,2638
Hilltop Christian School,348
Texas Wesleyan University,3293
Millbrook School,320
Universidad William Penn,1770
Christopher Columbus High School (Miami-Dade County),1342
La Pine Senior High School,587
East Carolina University College of Business,3016
Sir John Cass Redcoat School,2158
UWC-USA,24
Chaffey High School,2767
冰島藝術學院,465
Università di Wageningen,11432
Valjevo Gymnasium,708
Highgate School,1432
Woodchurch High School,1262
EHOVE Career Center,805
Greenwood High School (Arkansas),740
Washington State Community College,2042
The Wellington Academy,985
Cocke County High School,1235
Universidad Francesa en Armenia,2199
亞利桑那州立大學,12883
Mid-Valley Christian Academy,82
Brown University,8347
Durban High School,1063
Riverside High School (South Carolina),1731
Université de Playa Ancha,12646
Cass City Jr./Sr. High School,554
Texas A&M University–Commerce,12187
Armstrong School District (Pennsylvania),4285
Hotel Institute Montreux,1501
Université d'Ankara,35578
University of the Republic (Uruguay),81434
Newburgh Free Academy,4583
亨利四世中学,1745
Centreville Layton School,87
Dniepropetrowski Uniwersytet Narodowy im. Ołesia Honczara,21123
Christian Brothers Academy (New Jersey),888
The Benjamin Britten Music Academy,698
Laboratory School of Phranakhon Si Ayutthaya Rajabhat University,727
Universidad de Kragujevac,15067
Bangpakok Wittayakom School,3042
Universidade de Kent (Estados Unidos),41242
Universidad Metropolitana de Ciencias de la Educación,7479
Illinois College of Optometry,628
Harvard Business School,167
Hampton Roads Academy,637
El Colegio de México,496
Monroe Township High School,2065
Harrisburg Christian School,268
Kingsburg High School,905
Craigroyston Community High School,384
Uniwersytet Świętych Cyryla i Metodego w Skopje,50520
Fakir Mohan University,12022
Fayetteville-Manlius Central School District,1611
Universidad de Perugia,26892
Ecole Polytechnique de l'Université d'Orléans,1007
Blue Mountain High School,810
約翰·霍普金斯大學醫學院,1621
ESME Sudria,1660
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,11344
Brethren Christian Junior/Senior High School,413
Universidad Federal del Extremo Oriente,41525
East Hall High School,1131
義守大學,22808
Lahore College of Arts and Sciences,3543
Semmelweis University,8581
John Dwyer Technology Academy,817
Oxford Spires Academy,754
Gayatri Vidya Parishad College of Engineering,2632
Ithaca College School of Humanities and Sciences,1933
"Royal University of Agriculture, Cambodia",9743
Universidade do Estado do Arizona,10803
Shaker Heights High School,1795
Bridgewater School,618
Uniwersytet w Maceracie,12246
莱姆顿学院,3603
Lake Region High School (Florida),1812
Cody High School (Wyoming),710
Betty Shabazz International Charter School,599
SMK Mambau,1222
IE商学院,6353
Our Lady of Sion School,520
Punjab University Law College,1751
St George's School in Switzerland,512
The Charter School,1099
مدرسة طب سان دييغو (جامعة كاليفورنيا),514
MacEwan University,22581
Viktor Rydberg Gymnasium,1299
Deer Park High School (Texas),4408
Colony High School (Alaska),1287
East Aurora High School (New York),779
Carlisle Area School District,3807
Université catholique de sciences appliquées de Mayence,1110
Oregon City Service Learning Academy,173
Valentines High School,1920
Uniwersytet Panamerykański,17970
"Heritage High School (Saginaw, Michigan)",1774
Acadia University,4713
Lycée International de Saint-Germain-en-Laye,3173
Institut d'études politiques de Lyon,1304
纽约大学法学院,1611
St. Anne's College (Sri Lanka),3050
Università di Economia Nazionale e Mondiale,18238
Université de Nottingham,37940
"Parkside School, Cullingworth",902
London Contemporary Dance School,167
Whitewater High School (Georgia),1796
Bedford Area School District,1889
Liberton High School,636
Academia Secondary School,883
高雄市私立普門高級中學,1087
Shandong University of Science and Technology,54
Xaveriuscollege (Borgerhout),915
North Augusta High School,1814
Universidad Pedagógica Nacional (Kolumbien),11668
Jeffersonville High School,2100
New College School,198
Winterhill School,1257
East Boston High School,1364
Universiteit van Dar es Salaam,19091
歐洲大學,3
Pakistan Urdu School,2054
Box Hill School,471
Antietam School District,1032
Easton Area High School,2511
"The Pentecostal Assembly School, Bokaro",1744
University of Colorado Denver,17356
Ursuline College (Chatham),1364
Lyceum-Northwestern University,4245
Ballyclare High School,1205
Wayne High School (Ohio),1730
Southern New Hampshire University,60556
ORT Braude College of Engineering,6178
Lycée Alborz,1986
East Pennsboro Area School District,3140
Rumson Country Day School,458
"North High School (Phoenix, Arizona)",2541
Universidade Rey Juan Carlos,40862
"Heritage High School (Lynchburg, Virginia)",1069
المدرسة العليا للعلوم بهانسونغ,346
Alde Valley Academy,1
Индианский университет,130446
Blairsville-Saltsburg School District,1472
Word of God Christian Academy,166
Universidade de Concepción (Chile),21186
Citadel High School,1362
Carpenter Community Charter School,1082
American University of Afghanistan,1212
Alta High School (Utah),2709
Albanian School of Magistrates,27
Islamic University in Uganda,7123
St. Maurice School,831
University of Papua New Guinea,16413
Holy Cross Catholic Academy,797
"Oak Grove School (Ojai, California)",174
安徽工程大学,22989
Antelope High School,1563
Indian Mountain School,247
Ithaca College,7712
Los Angeles Southwest College,6994
IE Business School,5033
Université normale du Zhejiang,23093
John Dewey High School,3479
Donald A Wilson Secondary School,1287
Harvard Business School,1789
Université de Calabre,40895
American School in Taichung,180
EU Business School,3
Norwegian School of Economics,3212
Burlington High School (Iowa),1568
Coudersport Area School District,758
El Colegio de México,443
"Ponderosa High School (Parker, Colorado)",1386
Timmins High and Vocational School,788
魏瑪包豪斯大學,3770
Université d'Alger,83933
Université de Tsukuba,15063
Old Scona Academic High School,318
Captain John L. Chapin High School,2105
Mount Royal Collegiate,953
Fort Meade Middle-Senior High School,640
Montanuniversität Leoben,3597
"Indian Institute of Information Technology and Management, Gwalior",643
Waltham Forest College,9220
Arizona State University,4134
Bullis School,773
"St. Joseph's Boys' High School, Bangalore",13
Universidad Cristiana de Abilene,5075
Barnwell School,1684
جامعة الطب وطب الأسنان في نيوجيرسي - مدرسة طب روبرت وود جونسون,618
Trillium Charter School,347
Ohio State University,59650
Università degli Studi di Foggia,10804
Northeast Metropolitan Regional Vocational High School,1486
Otto-Hahn-Gymnasium (Gifhorn),1442
Francis Howell Central High School,1711
EU Business School,3
Penn Cambria School District,1596
"Bluffton High School (Bluffton, Ohio)",398
Université islamique d'Ouganda,5777
Distrito Escolar Independiente de Lake Travis,8607
Université d'État de l'Iowa,36428
Universidade Federal de Juiz de Fora,15901
Harding Academy (Memphis),886
"Dulles High School (Sugar Land, Texas)",1921
"Apeejay School, Pitampura, Delhi",2494
Farragut High School,1769
Mihai Eminescu National College (Oradea),0
Sarasas Ektra School,3071
香港公開大學,16255
College Zarządzania - Studia Akademickie,13118
Georgia State University College of Law,540
Ridgewood High School (Illinois),752
Kingsway Regional High School,1584
Woodside High School (Virginia),2244
Chace Community School,1118
Broadoak Mathematics and Computing College,1086
Opportunity Center,157
Tashi Namgyal Academy,2152
福州第一中学,1994
Princeton University,6517
Georges Vanier Secondary School,807
"Faculdade de Engenharia, Pune",4883
Universität Erfurt,6173
Highworth Warneford School,823
Ardhi University,2575
Universidad Federal del Estado de Río de Janeiro,9212
M. M. Robinson High School,780
Universität Messina,28267
Bridgton Academy,198
Armwood High School,2439
Fuzhou Gezhi High School,1743
Ramapo College,5270
Pacific Crest Community School,69
Pace University High School,369
Teaneck High School,1186
Weiser High School,521
Université de Sassari,14359
Università degli Studi di Messina,18051
Escuela Preparatoria Malibú,1098
Institut national des sciences appliquées de Toulouse,2288
Canyonville Christian Academy,133
Universidad de Yamanashi,5101
Koninklijke Academie van Beeldende Kunsten,915
Barbara Ingram School for the Arts,274
Iowa State University,39869
Townsend Harris High School,1214
American School of Milan,658
Miramar High School,2959
Colorado Heights University,404
Instituto Tecnológico de Massachusetts,11900
جامعة غوتنبرغ,39376
North Cambridge Academy,534
Greenfields School,124
Artesia High School (California),1933
Fayetteville-Manlius Central School District,1548
Red River High School,983
Норвежская школа менеджмента,16961
Lycée Henri-IV,1819
New Brunswick Community College,3202
Los Osos High School,4022
南新罕布什爾大學,57950
Peninsula High School (San Bruno),256
达特茅斯学院,6389
Северо-Восточный федеральный университет,19090
西印度群岛大学,38873
Deutsche Evangelische Oberschule Kairo,1471
Winchester High School (Massachusetts),1164
Devenish College,621
"St. Paul High School (Santa Fe Springs, California)",554
Scuola di economia di Stoccolma,1614
Greer High School,3371
"Redhill School, Stourbridge",1203
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1988
Wren Hollow Elementary School,522
University of Mosul,33739
Landmark School,339
Cooper City High School,2325
Università Islamica di Medina,23756
Universidad Regiomontana,9818
Sturgis Charter Public School,713
Texas A&M International University,7564
Городской университет Нью-Йорка,417343
Christian Academy of Madison,98
Université catholique argentine,14168
"North High School (North St. Paul, Minnesota)",2058
"Grange School, Northwich",1284
Seattle Jewish Community School,92
"Concord High School (Elkhart, Indiana)",1853
Cristo Rey Jesuit College Preparatory of Houston,530
Minnetonka High School,2762
極東連邦大学,44071
深圳中学,4199
جامعة ماكواري,32812
"Sainik School, Korukonda",524
Bell County High School,696
Académie tchèque des arts musicaux,1308
Nootka Elementary School,450
State Elementary School Pondok Kelapa 09 Pagi,415
Anatolia College,1979
Королевский университет Пномпеня,19534
Secondary Board High School,976
アリゾナ州立大学,13613
黎巴嫩大學,78881
Umatilla High School (Oregon),305
Barrington Municipal High School,692
German European School Singapore,1318
Integrated College Dungannon,583
Académie russe des arts du théâtre,1573
Silverton High School (Texas),161
William Horlick High School,12
Cass High School (Indiana),801
Lakehill Preparatory School,446
Jorhat Engineering College,1481
Kimberley School,1291
Технологический институт Карлсруэ,29882
Harvard Business School,169
Royal Oak High School,1835
Harrogate High School,555
TAGOS Leadership Academy,73
Dominican College Sion Hill,438
Medford School District (Oregon),847
"College of Engineering, Adoor",1848
中華基督教會協和書院,1342
Royal Blind School,84
マサチューセッツ大学,79965
Maastricht Academy of Music,638
Beaumont College,320
École de l'Air,522
Mar Baselios College of Engineering and Technology,2447
Eau Gallie High School,8
Allen Academy,307
St. Andrew's Preparatory School,212
Saint Camillus Academy,199
"Southwest High School (Fort Worth, Texas)",1135
Carlisle Area School District,5459
台中美國學校,177
"New College, Teachers College, Columbia University",659
Milwaukee Area Technical College,7709
Ramona Convent Secondary School,467
"Theodore Roosevelt High School (Kent, Ohio)",1164
Università tecnica statale di Novosibirsk,17321
Universiti Teknikal Malaysia Melaka,11225
Leeds Business School,5330
KIIT International School,1378
Birmingham Conservatoire,572
Norden High School and Sports College,700
Spotsylvania County Public Schools,24397
Terre Haute South Vigo High School,1869
University of Sassari,11222
Feinberg School of Medicine,3433
Adventist University of Health Sciences,1621
Shattuck-Saint Mary's,407
Holly Springs High School,2254
UC Berkeley School of Public Health,378
Kearny High School (New Jersey),1757
Tallinn University,9586
Chatsmore Catholic High School,599
Украинский физико-математический лицей,267
University of León,13
Geneva Academy,35
"Foothill High School (Palo Cedro, California)",1698
Roger Bacon High School,429
Lawrence High School (Kansas),1223
Marple Hall School,1457
The Academy of Science and Entrepreneurship,131
Неаполитанский университет,65310
旧金山大学,11758
Dalton Public Schools,6334
Coolum State High School,794
"Evergreen High School (Vancouver, Washington)",1973
Sagesse High School,982
Llandovery College,374
San Bernardino High School,769
曼隆學院,921
Technische Universiteit Chalmers,9263
Cros-Lex High School,805
Aldridge School,1500
Prempeh College,2157
Humphreys College Laurence Drivon School of Law,143
Institut national des sciences appliquées de Toulouse,2270
Moraine Valley Community College,38017
Princess Nora bint Abdul Rahman University,48775
McNeil High School,2199
Instituto Politécnico Nacional,177164
Maria Curie-Skłodowska University,20375
Université Columbia,2411
Университет Николая Коперника,27920
ワシュテノー・コミュニティ・カレッジ,11075
Université de Tunis - El Manar,47842
جامعة الملكة أروى,5871
Université de Cagliari,31027
Uniwersytet Kolombo,12285
Universidad Sofía de Tokio,12580
Western Beaver County School District,849
"Campion College, Regina",1063
Collège Saint-Xavier de Calcutta,2151
Lycée français de Pondichéry,1618
Russian-Tajik Slavonic University,3401
Riverton High School (Utah),1882
Pensacola Catholic High School,726
Knightdale High School,1561
Portland Waldorf School,353
Universität Yamagata,8422
Sandia High School,1841
Calcutta School of Music,872
Estacada High School,718
Noakhali Government College,11433
Federale Universiteit van Bahia,22881
Geneva High School (Ohio),768
New Kent High School,1059
Whitinsville Christian School,668
Helene-Lange-Gymnasium (Hamburg),1025
Birmingham School of Law,459
Westview Centennial Secondary School,1039
European University of Lefke,5
"St. George's Girls' School (Penang, Malaysia)",1603
St Francis of Assisi Catholic Technology College,1052
Buchtel Community Learning Center,770
"College of Engineering, Pune",4294
Warrior Run School District,1370
Institut d'Administration des Entreprises,45150
UIUC College of Applied Health Sciences,1938
Archbishop Tenison's Church of England School,451
廣州美國人國際學校,940
"Saint Mary's School (Raleigh, North Carolina)",305
Hochschule für Musik Carl Maria von Weber,1
哈佛商学院,1740
Universität Fukushima,4185
Portledge School,427
Columbia University,2314
"New College, Telford",1292
Tomlinson Middle School,856
Sharda Group of Institutions,19866
Eagle High School,1432
Uniwersytet Techniczny w Warnie,7303
Carman-Ainsworth High School,1284
"St. Joseph's Convent High School, Adilabad",2484
Lehman Catholic High School,198
Grant Community High School,1835
Commercial Academy of Satu Mare,1021
The Elizabethan Academy,1054
Stanford University,16997
American University School of International Service,708
Ithaca College,7474
Carlucci American International School of Lisbon,614
Prince Edward School,1313
Tenali Engineering College,362
Connections Alternative School,82
"Huntington School, York",1403
Académie militaire turque,4005
Harvard Graduate School of Design,167
Sargodha Institute of Technology,1124
Hall High School (Arkansas),1072
カウナス工科大学附属ギムナジウム,363
Weydon School,1055
University of Rijeka,20683
Sydney Law School,2791
Macquarie University,33258
EU Business School,3
Delaware County Community College,16384
San Benito High School (Texas),1960
Hall Garth Community Arts College,791
ヘルシンキ芸術デザイン大学,2013
Университет сельского хозяйства Фейсалабада,16394
Mayville State University,922
キエフ大学,21052
MEF International School Istanbul,481
Holliston High School,1088
High School of Fashion Industries,2117
Cambridge Rindge and Latin School,1639
Harvard Business School,148
جامعة قرطاج,49653
Charleston Southern University,3316
Odle Middle School,981
Grantham Preparatory School,122
Hayesfield Girls' School,1139
Harvard Graduate School of Design,375
Bullitt Central High School,1193
亞利桑那州立大學,3321
Cuyamaca College,8150
Benjamin Elijah Mays High School,1687
Quaker Valley School District,1857
