http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Ниёдогава,7372
Prado del Rey,6373
Хониара,72879
Coelemu,14645
Manikpur Sarhat,17344
Guadalcázar,1659
Намегата,31724
Bakiabad,3995
"Ukrainka, Kiev Oblast",16429
巴奇拉万,11401
Ishigaki (stad),48787
Керенд-э-Герб,7460
Combarbalá,14002
Javadabad,5245
Graneros,27687
شيمونوسيكي (ياماغوتشي),298644
Lamshang,6213
穆凯里亚恩,150633
Bridgeport (Connecticut),139077
Tocuyito,183908
Tsuchiura,150308
Гуаренас,217269
"Khorramabad, Mazandaran",9030
Акаригуа,253923
Mustafabad (Haryana),7837
北欖坡,118604
Huljajpole,13603
Gmina Szuto Orizari,14656
Erich,9911
Cachi (Salta),1744
Tuxcacuesco,3746
Karnaprayag,6215
Narasaraopet,107824
Sancoale,13769
Mustafabad,9121
Daugai,1713
Añora,1357
拉坎帕纳,4680
萨拉曼卡,201055
Vadia,4431
Шехр-э-Пир,7017
Limla,7107
Bikapur,13046
Nurmahal,14081
Stebnik (Ukraina),21239
巴鲁伊胡达,9821
Tottori,180379
拉迈,4174
Chandapur,4372
نظر كهريزي,1303
Manglaur,83159
Mayang Imphal,26944
San Diego de Alejandría,7244
Wolnowacha,24089
"Tempoal de Sánchez, Veracruz",13646
Molakalmuru,12073
Diego de Almagro (Chile),13428
Leova,10316
Khatauli Rural,10172
Tursunzoda,39387
Villaharta,679
Florești (Moldavia),15150
Sundargarh,44740
Montemorelos,46331
Mucuri,32500
Rayachoti,114078
Буский повят,63308
برينسفيل (كيبك),5459
Khowai,22465
Lakarka,6918
瓦尔扎甘,2985
Рудрапраяг,1808
Maheshtala,351227
Maheshtala,388020
Belagachhia,4768
Bojarka,31262
Kiryū,108347
Rushan,492083
Chincholi,18122
Aïn Draham,33902
雷濟納,12100
Carrión de los Céspedes,2622
"Tikri, Uttar Pradesh",15631
San Ramón de la Nueva Orán,97837
Bhanvad,21949
Sirik,3673
Sufian,8342
Kudamatsu,56911
Dharchula Dehat,3636
Lehragaga,22148
Summerset,1683
Kalmunai,100190
Garian,202695
Opština Šuto Orizari,16776
"Nobeoka, Miyazaki",143270
Caivano,37883
苏高利,40437
巴瓦尔,30847
Khrystynivka,17793
Azadshahr,42446
Ashikaga (miasto),179038
Kichha,31695
Uenohara,19912
Arauco,39832
Dalkhola,74942
足利市,163942
Sailu,42076
Amlash,15013
Narkatiaganj,41484
金沢市,547518
Kotkapura,77307
غوراب زرميخ,4135
Vyara,41251
Surajgarha,282544
Ranirbazar,17037
"Plessisville, Quebec",7543
乔穆汉,13344
Taixing,1138722
فوينتي أوبيخونا (قرطبة),4789
Kaptanganj,11260
莫雷利亚 (卡斯特利翁省),2676
Karad (India),78872
Chibougamau,6470
Noorpur,36371
Waldshut-Tiengen,24229
Tottori,203016
引佐町,14434
Polasara,23478
Kodala,14128
Koshksaray,7479
Katghar Lalganj,653176
شيمبارونغو (تشيلي),30231
Komaki,125968
Chust (Uzbekistan),62210
Clement Town,18376
Treguaco,4928
Dhandera,14910
Imabari,163407
Raichur,214092
"Johns Creek, Georgia",72240
فولنوفاخا,25668
Uenohara,27025
Faizganj,11869
Švenčionys,4373
Minneapolis,346532
Haifa,304754
Avola,24576
Ramian,11552
普拉恩蒂杰,25391
Jhalu,17279
高松市,413387
德沃萨尔,10473
Harij,18671
河仙镇,43124
Chimbarongo,38156
Vergara (Uruguay),4126
Casimiro Castillo,16623
تيروبور,942685
Jōetsu,180839
Dniprorudne,19544
إواكوني (ياماغوتشي),117233
Micomeseng,6482
Naâma,8612
新米爾霍羅德,10494
港北区,353761
达达帕特纳,4775
Kahla (Turyngia),6022
カズルー・ルーダ,7371
Jalalpore,18737
卡茲盧魯達,7310
Karn Prayag,5721
拉拜库迪卡杜,12153
拉杰纳加尔,10568
Montalto Uffugo,16204
Muni Ki Reti,7114
Ивакуни,137766
Nasukarasuyama,34574
雲博,110287
Azizpur,11276
Basaria,3825
Alcaudete,10151
General Carneiro (Paraná),13168
هاجرستاون,39610
سلامنكا (المكسيك),229016
ラートゥール,402810
Chongzhou,539545
Таканек,6156
楠德杰,7471
Bolonia,398364
"Urban water management in Bogotá, Colombia",6
フエンラブラダ,184067
Sholavandan,19838
Pratapsasan,11900
Razveh,4427
Musafirkhana,8586
Aqsu (Pawlodar),58152
Kolar,118737
Bereket,26618
Parvat,19266
穆库里,45049
Sotunki,582
Namegata,37501
Khomam,16751
Khariar,13725
"Shirvan, Iran",98669
Montizón,1625
"Inabu, Aichi",2622
Pehowa,35107
Phaphund,13748
貝爾加拉 (烏拉圭),3519
Mayang Imphal,23160
Хуалянь,121993
Guliaipole,12946
Uncha Siwana,10527
Maheshtala,376251
Днепрорудное,18133
Teocuitatlán de Corona,10974
Tchoust,58236
Szamocin,3578
Jiexiu,387224
Tachikawa,157924
Aksu (obwód pawłodarski),76252
Metepec (gemeente),204245
Taltal,10407
Maebashi,348597
Sandi,24211
Jiexiu,301575
Gyōda (Saitama),81518
Bajva,8992
"Rajpur, Baroda",3968797
Naoriya Pakhanglakpa,6434
Tsuchiura,164199
Райчур,256109
كاراهيو (مدينة),30559
Kustai,13050
Мачали,35940
Aizu-Wakamatsu,123917
弗洛雷斯塔尔,6577
Agrestina,22206
Jafrabad,25613
Mulchén,26632
Koilwar,16043
Могилёв-Подольский,27842
Динчжоу,1154910
卡尔恩普拉耶格,6532
Sarajevo Oriental,70033
Savarkundla,70758
大鹿村,1195
Guarenas (Venezuela),172205
Lora de Estepa,710
Gaozhou,1521743
塔爾塔爾,10298
Aweil,33045
Gularia Bhindara,7138
غاليكش,20659
"Bilaspur, Gautam Buddh Nagar",7130
Itaparica,23100
General Alvear (Mendoza),27913
Visavadar,18148
科利普利,21116
Kumagaya,197478
熊本市,898470
Bhawanipatna,83706
Dehdez,3636
Bangura,5534
科亞卡科,289176
Suzano,284984
Ashta,49735
Kusunti,14050
Sholavandan,25873
甘德维,15199
Maebashi,351734
Lakarka,6878
Dahegam,49603
Shahapur,9761
欧弗利 (北达科他州),21
"Safiabad, Khuzestan",7034
塞克迈巴扎尔,4465
Belalcázar,2490
皮恩乔雷,31070
奇霍塔乌代普尔,28581
Panipat Taraf Rajputan,21948
Songadh,41184
بوينت وينتشر (تكساس),815
Kingsey Falls,2172
Rewari (Rural),4600
多拉,8731
维萨瓦达尔,19226
Bromont,6838
拉明 (胡齊斯坦省),16297
Yumbo,99312
وراوي (فارس),4341
Kanazawa,393360
Ghatampur,30877
Venturosa,15133
Bandia,8134
Nambol,16388
帕爾薩巴德,74920
Villa Purificación,12503
"Kuroshio, Kōchi",12331
Chincholi,19446
Lakarka,7471
Salehabad (Razavi Khorasan),9124
Jhalda,17274
Guirim,6186
Antracyt (miasto),54196
Касгандж,117129
Tokushima (stad),328049
Curaçá,33961
"Ij, Iran",6443
Jharia,74940
Nurmahal,15390
حيفا,242532
Nagano (stad),348835
Mahroni,9602
Geniczesk,25518
"Niyodogawa, Kōchi",6547
Piplya Mandi,11963
Tindwari,9273
"San Buenaventura, Chihuahua",7313
شيموتسوكا (توتشيغي),54787
María Elena (Chile),5328
Zogbodomey,65881
Hadiach,24440
穆尼基雷蒂,8203
Sedeh Lenjan,17654
Kotwa,10263
Ramyan,11653
برزك,3563
Dehram,3470
"Allapur, Uttar Pradesh",21399
Ube (Yamaguchi),202265
Kasganj,105653
Pokrovs'k,57065
Malkangiri,32137
阿尼奥拉,1405
Curacautín,14349
كوداماتسو (ياماغوتشي),62375
San Antonio de Padua (Buenos Aires),30173
Ботоу,575192
FRI and College Area,16704
厚木市,226435
Ahualulco de Mercado,18146
Okha Port,20549
غل تبه (همدان),2117
乳山市,610194
Kitakyūshū,1042315
ハーデャチ,23166
Beitun,68350
Matsue,189145
Kailudih,8799
آب بر,4669
Olavarría,110158
Beyarjomand,2265
Сундаргарх,50081
ボローニャ,355370
Gulaothi,40715
Tsukubamirai (Ibaraki),48363
图尔贾普尔,35837
薩拉曼卡 (瓜納華托州),251605
Kachnal Gosain,4933
Xinle,392795
Surubim,62274
فوسامبو سور لو لاك (كيبك),1673
Maswasi,14921
Ranipur,18601
アルコルコン,181466
Daugai,1495
فالبوي,6597
仁淀川町,9027
Chhaya,36398
Antrazyt,50474
Tirumakudal-Narsipur,10074
Chillán Viejo,34980
Chhatral INA,1542
Maswasi,15061
Villarrobledo,29333
Sawahlunto,67199
Udaipura,12442
Songadh,40529
Nezahualcóyotl (ville),1374658
Корияма,375187
Sundar Nagar,31503
Pilar (Buenos Aires),1
Jhusi Kohna,17554
Ōtsu,366297
Alcorcón,182772
Tiltil,13230
Chitbara Gaon,18602
Kawnpui do Norte,7985
Kshidirpur,8512
Orocó,13431
Pont-Rouge,8319
Mansa (Gujarat),31372
利亞哈維奇,10534
Hlobyne,10125
Heriok,2834
Starokonstantynów,36585
Rashidpur Garhi,5822
Villa Corona,15496
扎拉賽,8315
市浦村,2257
Lambha,15899
尾上町,8729
阿尔考德特,10983
大崎市,139252
Zhydachiv,11793
乌特兰,12593
Suchindram,11464
アナニンデウア,533422
Tuljapur,30725
"Аксу (город, Павлодарская область)",68867
Olavarría,103975
Maham,19632
Amami,43227
Самбалпур,409373
Tanna (Thuringe),4544
Araioses,39256
Kevadiya,14394
Nobeoka,146398
平舘村 (青森県),1956
坎奇拉帕拉,117848
"Morella, Castellón",3357
Сабанг,31497
Franklin (Wisconsin),38647
Rudraprayag,2384
Molina (Chili),41110
Kathera,5124
Nagano,462204
Sankarankoil,71014
Jagadanandapur,18426
博里亚维,41651
Mohanpur Mohammadpur,9365
Techaluta de Montenegro,2830
Itaituba,94844
Colonelganj,23441
H̨awţah Sudayr,28140
Carrión de los Céspedes,2630
Zawlnuam,2462
Machalí,36377
Ambala Cantonment,51902
Kalejbar,9468
Modelo,3883
Dadhapatna,4305
Hodal,78593
马尔瓦尔均奇蒂奥恩,10177
曼特城,104744
Gunnaur,21501
Harij,18038
斯哈赫甘杰,26491
Acayucan,101713
Gomishan,16268
Panipat Taraf Ansar,31061
Makhdumpur,30465
埃舒,28175
Sawahlunto,69579
奇尔库恩达,47703
沙赫喬爾斯克 (烏克蘭),48234
Dhrol,23868
غيودا (سايتاما),76171
Sarapaka,16949
Геническ,27465
بيش قلعه,1914
بازار جمعه,4182
Bajpur,21508
Kotwa,12678
Вернамхваст,17229
赤壁市,618180
تاكاوكا (توياما),155568
Tanakpur,36375
Пенко (Чили),47096
哈尔道尔,19732
سمرسيت,1717
Jaspur,44658
Berezan,16275
Kodigenahalli,15198
Takamatsu,391157
"Saint-Joseph-de-Sorel, Quebec",1796
Bridgeport (Connecticut),134156
Ganj Dundawara,48612
Ла-Флореста (Уругвай),1364
Khailar,11797
Jalalpore,17902
Loudi,3594494
Pachperwa,14219
Coelemu,13361
"Hussainabad, Jharkhand",41131
奇基蒂,9443
Narkanda,2634
Viamão,251638
Brjanka,42674
دافلويفيل (كيبك),1084
Jingjiang,808959
Villa del Río,7728
Нушабад,11775
曼恰尔,20059
Khagaul,42011
Sviatohirsk,4104
Duyun,533063
Хебибабад (Исфахан),7594
El Quisco,10279
Bablari Dewanganj,5735
Kannad,40085
L'Île-Cadieux,103
Sanvordem,4701
Наягарх,16853
"Gangapur, Sawai Madhopur",355301
穆德加尔,16935
貢薩萊斯卡坦,160977
Minmaya,2619
Tabacundo,6558
Gauribidanur,77031
Salamanca (Guanajuato),287344
Shahganj,27906
Kot Kapura,102491
Chimbarongo,36415
Vayqan,3644
San Francisco (Córdoba),58449
Sukhrali,11530
布里安卡,55028
Bhagatdih,35404
劍町,12691
Tetiiv,15917
Venturosa,16303
Bansi,104711
Sundergarh,49873
Raman (India),40347
Kuhsar,6728
Atengo,4648
Mahaban,8443
Nandej,6934
Andahuaylas,29786
Dharmanagar,49814
Kurgunta,10101
Chivilcoy,57670
Sefrou,59214
Pandavapura,15237
库拉奥利,19166
Huangshi,2530637
Мирноград,46969
拉姆普拉普尔,48181
科特卡普拉,97015
N'Dali,57699
Belpahar,40986
Municipio Villa Corona,16352
Lora del Río,17497
Chaumuhan,11531
El Hajeb,27118
Dumai,253311
班西,90794
Kahla,6834
Tlajomulco de Zúñiga,27532
Sari,286879
Harnaut,164492
Maebashi,292553
ルサカ,1820962
索基里亞尼,9917
Varavi,3445
Challakere,53803
Khatiguda,5239
كيسارازو (تشيبا),122578
Sitarganj,161840
Dhaunsar,10826
"General Alvear, Mendoza",30730
Nadigaon,18275
Kantilo,8172
Rafah,152297
Songadh,42583
L'Île-Cadieux,93
Chitbara Gaon,20776
عتق,42042
Вилкавишкис,11724
Berezan,14897
Aistala,16434
米科梅森,4588
Carmelo (Uruguai),17722
Даран,16510
Gorontalo (miasto),175480
بهاران شهر,10167
Bansdih,22775
"Ranipur, Uttar Pradesh",18430
马克塔姆普尔,10206
加雷齊亞丁,22162
Khamaria (Sant Ravidas Nagar),34166
Chincholi,18320
"Hōrai, Aichi",15628
Los Palacios y Villafranca,40844
バタンバン,146592
Parcem,3640
Gangaghat,71159
Obilić (Kosovo),23810
Kenduadih,10064
Tocuyito,212884
فيلا ديل ريو (قرطبة),8236
Huejúcar,5266
阿恩达达,13339
Kevadiya,12662
Kisarazu,147649
Añora,1838
Kishtwar,15200
Mikomeseng,5586
Tekmal,34135
"Yonago, Tottori",147841
Beauceville,6109
Maheshtala,472849
Shimonoseki,301826
格尼奇斯克,26276
Municipio Metepec (México),182110
Zhashkiv,14531
Penco,45051
Sausar,32367
ヴィリノヒールシク,25314
Malekan,25458
Cauquenes,34655
巴瓦尼凯拉,19197
Fuente Obejuna,6198
Jalda,12249
Sa'adabad,7425
Chikiti,11896
Fatehgarh Sahib,49913
Cauquenes (Maule),40911
شادي كوف,2808
Abdanan,11103789
Tokushima (cidade),271681
Barika,98793
Makarba,17000
سردشت (هرمزغان),800
艾因烏塞拉,116803
Fatehpur Chaurasi,4896
Zarasai,9054
Navagam Ghed,44328
古伊里姆,8031
سده لنجان,16138
Reasi,40681
Amacueca,4427
佩爾沃邁斯基 (盧甘斯克州),42389
Gródek (obwód lwowski),13853
Ciudad López Mateos,531333
小泊村,3776
Bagasara,29672
Distretto di Busko-Zdrój,86968
Гольшехр,12138
行方市,29937
Ordnance Factory Itarsi,9863
Randers,54533
Naama,7606
宁格托乌孔格,9802
上毛町,9142
Lota,46266
Aizuwakamatsu,115302
Mahaban,8668
Odawara,179358
Chhachhrauli,9781
Prantij,21795
ビールガンジ,229135
Cupcini,9039
Bawani Khera,17871
坎蒂洛,9170
صالح أباد (همدان),8571
"Kalol, Gandhinagar",126382
Jhinjhak,36895
Bahuwa,9468
芒格阿尔韦德,22770
Damnagar,15664
Deorikalan,4083
Uffenheim,6483
Sokyrjany,9857
Udaipura,13135
林格苏古尔,35436
Saint-Marc-des-Carrières,2918
Chrystyniwka,17727
黄石市,2197060
Ghatampur,34183
Bidhuna,27031
أفولا,30409
Overly,16
Toyohashi,372779
Anshun,2349343
Karn Prayag,7098
Chomarlu,1253
Kailashpur,11123
St. Anthony (Minnesota),10499
"Masty, Belarus",17526
Kurume,281631
鳥取市,196000
Now Kandeh,6848
Ishigaki (Okinawa),53501
Udaipur (Rajasthan),368840
Cẩm Phả,177711
Ciudad Mante,116132
Nanjō (Okinawa),42016
Gauribidanur,83574
奇恩乔利,24790
Лагуат,147527
南丹市,36104
毛达哈,42365
卡緬卡,13330
Lamshang,7602
Nasrabad (Esfahan),6915
Siguatepeque,70120
Salempur,118322
哈里杰,16830
Ituzaingó (Corrientes),22297
Beniganj,9195
Catió,7846
乔尔瓦德,25314
卡洛尔 (古吉拉特邦),147761
Xianning,2837067
Kajovka,33934
奇哈普拉巴塔,28486
Ateli,5779
伊奇奇哈波尔,9496
天間林村,7142
普斯罗,81997
Kumagaya,216666
Shahganj,29851
Kundalwadi,16376
لوبيرا,3648
"Orán, Salta",73942
Mingora,223459
Randers,58698
Sadaura,10524
Andacollo,10095
Garian,176833
Villamartín,10642
Zeyarat-e 'Ali,2910
هوفا (ياماغوتشي),129888
Jevargi,18299
Bablari Dewanganj,6545
Ma'mulan,7689
代比德,20374
Sarí,223732
"Rani, Rajasthan",13221
Thirupuvanam,15953
Parola (India),34805
Nakhon Sawan,110896
Nawabganj (Gonda),18147
Bijni,15618
La Manzanilla de La Paz,3872
Neginshahr,6925
إسلام آباد غرب,100587
Malekan,22456
Talne,14122
Tang-e Eram,3116
Tokushima,243960
Kerakat,14874
Smarhon’,35940
马尼克普尔萨尔哈特,14681
Siguatepeque,71453
Ituzaingó (Corrientes),24161
Danzhou,1113936
Bhiwadi,121724
Nili,17671
Jhalu,18629
فرانكلين (ويسكونسن),35880
Иидзуна,12687
Shahrabad-e Khavar,1427
Rashidpur Garhi,6278
Sjachtarsk,57907
Katghar Lalganj,708909
Sadaura,13405
General Roca,89009
Барика,95710
钱帕蒂亚,19582
Penco,48486
上德尼普羅夫斯克,15544
Асикага,151803
Salas de los Infantes,1879
基恰,34204
Candon,57944
General Carneiro,10868
Hōfu,113126
Villa Ángela,38769
Sewalkhas,16856
贾姆乔德普尔,20080
Chhatral,1663
"Misakubo, Shizuoka",3399
Tilpat,4945
Khaliapali,5689
Kumarghat,14233
索龍 (印尼),212410
Kalateh Khij,5927
Zibashahr,8226
Vilkaviškis,9682
樺甸市,434215
Anklav,17352
北卡拉斯,6508
Colina (Chile),79154
"Río Tercero, Córdoba",56737
Ciudad López Mateos,584816
Буин-и-Миандешт,10572
Маулвибазар,41057
Waldshut-Tiengen,23386
Goldaszt,26023
Ujhari,18986
Graneros,26866
ジャンビ,444539
Mukrampur Khema,10540
城山町 (神奈川県),20397
Koupiansk,24628
Modelo (Santa Catarina),3918
Farashband,20897
Horodok (Lwiw),18672
东格阿马尔,7128
"Мога (город, Индия)",155899
Kadodara,16113
Sokyriany,9354
奇霍塔普特基,7590
Gularia Bhindara,7753
Dhandera,14753
Malavalli,38267
Pokrowsk (Ukraina),67391
Gawan,7875
