http://dbpedia.org/ontology/SportsTeam,SportsTeam,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,13
http://dbpedia.org/resource/Radford_Highlanders_women's_soccer,Radford Highlanders women's soccer,10
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,9
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,9
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,14
http://dbpedia.org/resource/Cincinnati_Kids,Cincinnati Kids,14
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,91
http://dbpedia.org/resource/Ghazir_Volleyball,Ghazir Volleyball,1
http://dbpedia.org/resource/Plataneros_de_Corozal,Plataneros de Corozal,3
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,3
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,2
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,0
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,25
http://dbpedia.org/resource/2013_NSCAA_Men's_Soccer_All-Americans,2013 NSCAA Men's Soccer All-Americans,3
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,15
http://dbpedia.org/resource/UniKL_HC,UniKL HC,20
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,7
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,22
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,30
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,5
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,4
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,5
http://dbpedia.org/resource/UniKL_HC,UniKL HC,2
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,12
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,12
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,2
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,11
http://dbpedia.org/resource/Maybank_HC,Maybank HC,20
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,16
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,12
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,18
http://dbpedia.org/resource/UniKL_HC,UniKL HC,10
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,22
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,13
http://dbpedia.org/resource/Laguna_F.C.,Laguna F.C.,9
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,17
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,23
http://dbpedia.org/resource/Maybank_HC,Maybank HC,19
http://dbpedia.org/resource/Sapura_HC,Sapura HC,13
http://dbpedia.org/resource/Maybank_HC,Maybank HC,2
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,15
