http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
アンダーソン郡 (カンザス州),1379820049
Balsfjord,1275885224
Hrabstwo Bartow,1273320425
Рандаберг,26057977
Øystre Slidre,789133469
Parroquia de Ascension,709990181
Contea di Benzie,786940968
"Bear Lake County, Idaho",2380310432
Contea di Marshall (Kansas),2343332162
Condado de Buchanan (Iowa),1454428375
ブライアン郡 (ジョージア州),1174421749
Sørum,214080897
Halsa,274833746
Rømskog,166656315
バーリントン郡 (ニュージャージー州),2213098288
Skodje,108071017
Sirdal,1480144113
バロン郡 (ウィスコンシン州),2280244274
Notodden,795278982
Condado de Jackson (Kansas),1652170293
Hrabstwo Bowie,2102297340
Hægebostad,404034500
Bledsoe County,1128204999
Albemarle County,1973571043
Oppegård,34179538
مقاطعة بوند (إلينوي),986247423
Osborne County,2414899124
Contea di Linn (Kansas),1479368158
Condado de Bonneville,4865943284
Vik,823973917
Condado de Stevens (Kansas),1836885829
Drangedal,977707051
Bodø,1237849443
Comté d'Anne Arundel,1100142079
布魯斯德縣 (德克薩斯州),13812185559
亞特達爾,709083054
Condado de Billings,2731524935
Aurland,1244479761
Comté de Blue Earth,1791975088
Sel,895712785
Хюллестад,243859355
Condado de Borden,2300365638
巴伯縣 (西維吉尼亞州),815650380
Roan,345830437
مقاطعة أرانساس (تكساس),595459639
"Phillips County, Kansas",2485250671
Comté de Buckingham,1669034298
Хьёме,42515036
Luster (Norwegen),2797454125
مقاطعة بيرغن (نيو جيرسي),540378729
ブラウント郡 (テネシー州),1435754634
Нёустдал,405657702
Volda,492501943
Hrabstwo Audubon,1014129187
Contea di Boone (Illinois),659962888
Grane (Norvegia),1817976274
Sør-Varanger,3538025467
Condado de Meade (Kansas),2702636327
Luisiana,109553579673
Alger County,2307047234
Alta (Norwegen),3995773637
Fedje,9501179
New Jersey,18148346760
Chautauqua County (Kansas),1749933069
Comté de Butler (Ohio),1115265950
錫格達爾,835641075
"Бейлор (округ, Техас)",2446612083
松達爾,751121507
Trysil,2853755537
Ørland,84610912
Condado de Thomas (Kansas),2732002371
比格蘭,1223374445
哈維縣 (堪薩斯州),1490190492
謝斯莫,65346470
Comté de Bernalillo,2725981974
Traill County,2171187835
Hrabstwo Bowman,2957037444
"Garrett County, Maryland",1580424747
"Brown County, Minnesota",1738323741
Distretto di Kalutara,1603587191
"Ниошо (округ, Канзас)",1609111493
Klepp,102365891
Årdal,887267273
Trikunamalaja (dystrykt),2585872192
Lyngen,829083069
マーシャル郡 (カンザス州),2435162650
Comté de Lawrence (Pennsylvanie),932964226
Vadsø,1230686305
"Leka, Norway",119439923
Condado de Bradford (Flórida),700362330
Øvre Eiker,442101920
Arendal,274133346
Hawái,15586867209
"Буллитт (округ, Кентукки)",673168899
亞當斯縣 (愛阿華州),1232068436
Кармёй,202094499
Sigdal,795415720
إلينوي,139629115882
مقاطعة دوغلاس (كانساس),1137075443
مقاطعة رايس (كانساس),1801302920
Alexander County (North Carolina),725451853
Condado de Harvey,1496549900
"Auglaize County, Ohio",1003242358
Френа,327879772
Condado de Bourbon (Kentucky),721546921
Volusia County,2474413687
Fredrikstad,296668200
Sarpsborg,391823800
水牛縣 (威斯康辛州),1765704482
Hrabstwo LaSalle (Illinois),2992741760
Skodje,100389451
Kongsvinger,1045413675
Hemnes,1353538362
スタインシャー,1399674633
Krødsherad,363559374
Comté de Bonner,5000836424
スタントン郡 (カンザス州),1969695540
Leka (Norwegia),97370719
"Beadle County, South Dakota",3156866536
Бэррон (округ),2260845849
Finnøy,107887153
Hrabstwo Lawrence (Pensylwania),948517885
ブレッドソー郡 (テネシー州),1208254732
Fusa (Noruega),331940156
白金漢縣 (維吉尼亞州),1300325219
Comté de Brown (Wisconsin),1583318990
Salangen,498327284
韋斯特沃格于,393080018
Notodden,762829585
مقاطعة بوتلر (آيوا),1522618159
"Benewah County, Idaho",1802895938
Ben Hill County,620615693
رينغريكه,1475578247
Lierne,2534626225
Surnadal,1398651989
"Bibb County, Alabama",1518823593
Hrabstwo Adair (Iowa),1382460093
蔡斯縣 (堪薩斯州),2033912391
Rhode Island (staat),2594227323
بورشانغر,4573612074
アンジェリーナ郡 (テキサス州),2151611258
Lindås,436977156
Contea di Bee,2252441725
Borough di Bristol Bay,1457382855
Barton County (Missouri),1453672797
Krødsherad,300913549
Hrabstwo Boone (Iowa),1501731195
Agdenes,315285583
Condado de Meade (Kansas),2686491442
Vefsn,1733956005
エイキン郡 (サウスカロライナ州),2988640341
ポタワタミー郡 (アイオワ州),2785737900
Jølster,650765040
Йондал,239603130
Bertie County,1830614786
Condado de Allamakee,1706857927
مقاطعة ليون (كانساس),2066812846
Condado de Blackford,385793716
Bremer County,1255173840
Nesodden,60715058
Hrabstwo Beaufort (Karolina Północna),2021942522
Louisiane,109650015938
Sumner County (Kansas),3176109802
Contea di Benton (Washington),4666936181
Fjell (gemeente),157097224
Namsos (gemeente),798158122
"Sande, Møre og Romsdal",87820585
Hrabstwo Huron (Michigan),2134245402
Comté de Barnes,4083515065
"Barton County, Missouri",1629112273
Condado de Boise,4763695486
Condado de Bennington,1752126770
卡特縣 (田納西州),964073508
Beaufort County (North Carolina),1957020929
Condado de Allegheny,1805427661
Hrabstwo Bergen,595861341
Hrabstwo Allendale,1060729156
كانساس,223844452318
Lurøy,230033665
Rhode Island,2740936166
Comté d'Avery,628590728
Bø (Telemark),249648452
Condado de Baltimore,1634782894
Snillfjord,505713707
مقاطعة ترافيز (تكساس),2491790274
Skodje,112126396
Brown County (South Dakota),4242990997
Contea di Blount (Tennessee),1384721801
ボイシ郡 (アイダホ州),4470978986
Kvinnherad,963557460
Hrabstwo Buffalo (Wisconsin),1956767642
Albany County (Wyoming),12363052012
Nedre Eiker,130159689
"Арустук (округ, Мэн)",18093318572
Stranda,768407422
Eidfjord,1466400224
薩爾特達爾,2155139764
Hjartdal,713901416
"Beaver County, Oklahoma",4228443909
Condado de Bourbon (Kentucky),781803713
Audnedal,239251577
Radøy,108153642
Contea di Comanche (Kansas),2250662082
Røst,10447796
كفافيورد,545399818
Condado de Alleghany (Carolina del Norte),526009364
艾倫縣 (肯塔基州),835618865
Nord-Odal,479298874
Gjemnes,336258520
Condado de Bates,2264668579
Seljord,681560466
Smøla,269743665
Aurland,1481117208
Sarpsborg,350181004
"DuPage County, Illinois",917812939
Eide,150222334
Gaspésie–Îles-de-la-Madeleine,22885251733
Osterøy,239142809
Sula (Norvège),50872427
Selje,215050282
Lincoln County (Kansas),1740055685
Contea di Bent,3557573840
"Грейам (округ, Канзас)",2508077472
Condado de Benton (Washington),3928994910
Etne,639654792
Alamosa County,1871963692
Гарретт (округ),1658206153
Lørenskog,62346953
Anderson County (Tennessee),779690336
Asker,91224104
Condado de Buffalo (Nebraska),2466882570
Øygarden,58701506
ハウゲスン,72690492
Verdal,1409714921
Parafia Jefferson,812972234
"Мид (округ, Канзас)",2366331562
Contea di Sedgwick (Kansas),2702878086
Blair County,1383781692
アレン郡 (オハイオ州),946443443
Condado de Brown (Nebraska),3219252659
Agglomération de Montréal,509117070
Førde,530044939
Midtre Gauldal,1833998702
"Brantley County, Georgia",1078499841
南达科他州,173708266301
Skjåk,1836539246
Hrabstwo Ashe,1137841878
Tjeldsund,310394582
Hjelmeland,984277204
Hrabstwo Augusta,2356194767
Hrabstwo Ford (Kansas),2805515865
Bø (Nordland),241892901
Buena Vista County,1587544603
مقاطعة بوكس إلدير (يوتا),14259806418
Stor-Elvdal,1988958226
Condado de LaSalle,2591317820
Folldal,1294749775
Alstahaug,176486796
Giske,36996816
Bjugn,329999661
Condado de Elbert (Colorado),4454003809
Rauma (Norwegen),1304902103
Bjerkreim,509685427
Apache County,26497276603
Åmot (Hedmark),1340547715
Tønsberg,102114232
Hrabstwo De Baca,6083094732
Sandefjord,114646362
Gmina Skånland,438394701
"Bergen County, New Jersey",530540546
Boone County (West Virginia),1387203632
Contea di Wallace,2098889612
Comté de Coffey,1721677150
Delaware,5426982544
Moss,64342312
Vindafjord,577781550
Arkansas,123397526993
"Bø, Nordland",214421173
Condado de Osage (Kansas),1919376100
Rakkestad (gemeente),376509070
Nesset,1026269252
Kearny County,2407459793
Bodø,1234744449
Hrabstwo Alamosa,1798019927
Hrabstwo Austin,1487714035
瑟呂姆,212712599
"Элк (округ, Канзас)",1832405013
Ол (коммуна),1078964602
"Elk County, Kansas",1586194500
Comté d'Alger,2147232851
مقاطعة أندرسون (تينيسي),828376886
Nesset,1075334745
Volda,506605530
Norddal,941774922
"Meade County, Kansas",2387201503
"Бей (округ, Мичиган)",1132272360
Dakota do Sul,195758595043
Ørskog,134222414
Comté d'Elko,47494043199
Hrabstwo Boone (Wirginia Zachodnia),1365709130
Modalen,409458497
Condado de Barrow,419634971
"Gove County, Kansas",2707800183
Contea di Trego,2107682606
موس (النرويج),61511326
Эустеволл,117063506
"Doniphan County, Kansas",1122051605
Hrabstwo Mitchell (Kansas),1764965662
Contea di Gray (Kansas),2091118369
托什肯,240850571
مقاطعة بلاكفورد (إنديانا),430366925
Kragerø (gemeente),267527521
مقاطعة لابيت (كانساس),1461066360
Vågå,1328144168
波特瓦特米縣 (愛阿華州),2659190157
安妮阿倫德爾縣,1221522270
Skiptvet,96126609
Condado de Pottawatomie (Kansas),2245741409
Montérégie,12084919157
Missouri,168233684365
ديلوير,4865812805
ビーバー郡 (ユタ州),6267746848
Contea di Aroostook,19417127596
Condado de Baylor,2152137743
Nore og Uvdal,2141792379
مقاطعة سوري (كارولاينا الشمالية),1427473650
Jondal,225366796
Gjøvik,646172347
Рюгге (Норвегия),65392102
Contea di Addison,1931508947
Comté d'Aroostook,17988970856
Montérégie,11552146742
西謝利德勒,419909450
阿什兰县 (俄亥俄州),1110223846
Comté de Briscoe,2452648647
فيرجينيا الغربية,55614773346
رود آيلاند,2572493237
مقاطعة أتوكا (أوكلاهوما),2798129037
Bardu,2249760484
Herøy (Møre og Romsdal),120347261
アボイルズ郡 (ルイジアナ州),2344046403
Fusa,344513414
Contea di Cowley,2867845751
"Labette County, Kansas",1778591429
Condado de Volusia (Florida),2509444330
"Brazos County, Texas",1360060502
بورشغرون,155972422
Contea di Republic,1619095411
Moss,58603762
Condado de Amite,2013337924
史蒂文斯縣 (堪薩斯州),1808320788
Aremark,263644120
"Buffalo County, South Dakota",1179589156
貝德福縣 (賓夕法尼亞州),2791974046
Валле (Норвегия),1225135012
Lyngdal,341617708
Masfjorden,523448182
Vardø,556409269
Risør,193462506
White County (Georgia),625512174
索倫 (挪威),209198060
Benton County (Iowa),1902202063
玻利瓦爾縣 (密西西比州),2395913996
Condado de Androscoggin,1275705233
Kvinesdal,802297425
Эйер,651614775
"Kane County, Illinois",1387158221
Rygge,62636775
Benton County (Iowa),1860077291
Condado de Barton (Kansas),2304845230
Condado de Brown (Indiana),884998815
Sør-Varanger,3395791151
Comté de Blaine (Nebraska),1965439111
Alleghany County (North Carolina),604384898
Røros,1882613527
本瓦縣 (愛達荷州),1840591717
Fyresdal (gemeente),1185416044
Herøy på Sunnmøre,121884228
Vevelstad,564377282
ベイ郡 (ミシガン州),1052876842
مقاطعة بومان (داكوتا الشمالية),2782764906
韋恩縣 (賓夕法尼亞州),1804565821
Tennessee,111409472577
"Алачуа (округ, Флорида)",2168080829
Vestnes,349229573
شين (النرويج),679751825
Capitale-Nationale,17291855356
霍伯爾,151695818
Condado de Allen (Kentucky),951760339
Engerdal,2166114847
Baxter County,1388160936
Comté d'Armstrong (Pennsylvanie),1744155475
Ulvik,716303122
Condado de Miami (Kansas),1595253189
Bristol County (Rhode Island),59679391
Scott County (Kansas),1742601132
Stord,135004978
Drangedal,1024484169
مقاطعة إلزوورث (كانساس),1936512412
布朗縣 (威斯康辛州),1389173865
Condado de Anoka,1217341980
Luisiana,119835748072
Стейнхьер,1299057871
Balestrand,449863529
Hrabstwo Rooks,2233014517
Steigen,1062180677
Borough de Aleutianas Orientales,16962111716
Bee County,2244952780
阿肯色州,121921251316
Comté de Bradford (Floride),660854496
Kåfjord,967487134
"Beaver County, Utah",6271801313
"Bexar County, Texas",3177579700
納姆索斯,728881018
Condado de Burleson,1885236131
Gausdal,1218391730
Distrito de Colombo,678119157
Modalen,389098965
Burleigh County,4447884186
Condado de Bonner,4436720509
布萊恩縣 (蒙大拿州),10857794285
Тингволл,353845524
Vik (Noorwegen),749668019
"Поттаватоми (округ, Канзас)",2326601341
Condado de Brunswick (Virginia),1336246805
Flesberg,595985327
Contea di Armstrong (Texas),2323684422
勒倫斯科格,67475755
Condado de Mitchell (Kansas),1749363475
Marshall County (Kansas),2360964103
Fræna,369036546
Condado de Boyd (Nebraska),1309309964
Hadsel,610462409
مقاطعة بينغهام (أيداهو),5974753583
Сёр-Эурдал,1174890497
ベネット郡 (サウスダコタ州),2992709777
伍德森縣 (堪薩斯州),1346807294
Suldal,1600034868
مقاطعة أوستن (تكساس),1833624756
مقاطعة بوردين (تكساس),2132908823
Rush County (Kansas),2090105559
Хёйланнет,737036163
Condado de Bullitt,693692967
Hrabstwo Bates,2354535860
ビリングス郡 (ノースダコタ州),2695169638
貝爾萊克縣 (愛達荷州),2564152910
Оппдал,2046734607
ネスナ,188679267
Nedre Eiker,111918553
Hrabstwo Allamakee,1555905891
Comté d'Adams (Indiana),832364031
Contea di Hodgeman,2009745212
مقاطعة بتلر (كنتاكي),1166361368
مقاطعة بوركي (داكوتا الشمالية),2695601439
博伊爾縣 (肯塔基州),421698415
Åfjord,840217813
Bartholomew County,1112478759
Russell County (Kansas),2069795231
Condado de Antrim (Míchigan),1244080093
Namsskogan,1423968138
Contea di Mitchell (Kansas),1989149447
チェイス郡 (カンザス州),1783658810
Frøya,225103818
ジェファーソン郡 (ルイジアナ州),773132398
Søndre Land,678008785
Baraga County,2005107914
Condado de Barnstable,1017879691
靈厄里克,1368954943
Comté d'Auglaize,1024898714
Arendal,281008512
Eid (Norwegen),432574378
Randaberg,25340830
مقاطعة وايت (جورجيا),603163542
Comté de Barnwell,1408782053
Fjaler,393751945
Condado de Boone (Kentucky),683167358
مقاطعة بيفيرهيد (مونتانا),14374556787
مقاطعة أفويليس (لويزيانا),2143186197
Tysfjord,1331608545
Ullensvang,1377539061
مقاطعة توماس (كانساس),3108852424
Arkansas,139846335794
Drammen,137325189
Agdenes,284054915
مقاطعة بايلور (تكساس),2081757103
Gloppen,950151694
Lørenskog,67420729
"Boundary County, Idaho",3308488604
Condado de Ottawa (Kansas),1992847360
東斯利德勒,807877058
Phillips County (Kansas),2485958284
Beaver County (Pennsylvania),1025835466
Fauske,1030977637
مقاطعة فورد (كانساس),2527074884
Hjartdal,726630528
Froland,619444713
Condado de Benzie,853544501
Våler (Hedmark),727225128
Hrabstwo Riley,1438007974
Condado de Bristol (Massachusetts),1401883757
مقاطعة بيكر (أوريغون),8305091913
"Ski, Norway",169621912
哈拉姆,250125571
Condado de Adams (Illinois),2270751362
馬里昂縣 (堪薩斯州),2416180068
"Беркшир (округ, Массачусетс)",2227998190
Condado de Cloud,1770663381
Blaine County (Oklahoma),2656896134
布蘭德縣 (維吉尼亞州),867195323
"Surry County, North Carolina",1331450856
Idaho,225201911884
Colorado,295576253544
Namsskogan,1418369796
アーカンソー州,123898916307
布拉德利縣 (田納西州),906887084
Athens County,1282538428
Grane,1862091894
Condado de Aurora,1956091717
比縣 (德克薩斯州),2127518191
"Butler County, Missouri",1788014418
"Аламанс (округ, Северная Каролина)",1046170668
Sortland,601547420
Kvam,551036941
Hettinger County,3048920205
Condado de Brantley,1110647399
"Элко (округ, Невада)",44163200130
Kalutara District,1556580569
アノーカ郡 (ミネソタ州),1048468720
Condado de Pulaski (Kentucky),1806471666
Bø (Telemark),265621123
South Dakota,193528435804
斯特蘭達,944431143
"Аллен (округ, Индиана)",1551864872
塞尔耶,220228403
貝坎縣,2259557053
Ellsworth County,1993977534
Невада,301580547535
ボックスエルダー郡 (ユタ州),14104195463
مقاطعة بالدوين (جورجيا),614577441
Hrabstwo Banner,1844249440
哈雷德,79490583
Vågsøy,159260928
Maine (États-Unis),83320217753
Comté de Benton (Mississippi),1094740847
Condado de Anderson (Kentucky),552204938
مقاطعة بارو (جورجيا),372107636
Nord-Odal,460461555
Berks County,2312868731
Moss,62256304
Condado de Baraga,2265560575
"Barbour County, Alabama",2501059585
Lesja,1965630998
薩姆南厄爾,239562913
Vefsn,1706727063
Comté de Benzie,914619270
Tingvoll,296360037
"Аранзас (округ, Техас)",706820124
Низовье Святого Лаврентия,21403400799
Træna,15523222
Boone County (Iowa),1569378050
Hemnes,1464915206
Comté d'Alamosa,2118376420
"Авойлз (приход, Луизиана)",1988817116
Хемнес,1293647763
Еррум,76225856
バナム郡,1339761027
Comté de Kiowa (Kansas),1753432597
Hrabstwo Baxter,1489218096
Contea di Jackson (Michigan),1711629250
ブルーアース郡 (ミネソタ州),2145546828
Etnedal,436038450
Contea di Wilson (Kansas),1460180409
Audrain County,1855537391
Рисса,559476210
Contea di Bryan (Oklahoma),2360001446
Comté d'Angelina,1955641013
Hvaler,91326714
Berlevåg,1046765227
Contea di Anderson (Kentucky),545633833
Lierne,2598894228
Skiptvet,90494097
"Alexander County, North Carolina",653219659
Condado de Cumberland (Pensilvania),1517034688
ألاباما,127185871968
阿爾伯馬爾縣 (維吉尼亞州),1761798544
ブーン郡 (ネブラスカ州),1737173018
"Брайан (округ, Оклахома)",2576285692
Comté d'Ashley,2616912959
Båtsfjord,1452970990
Balestrand,354578497
Comté de Boyle,445456872
"Seward County, Kansas",1543801735
Molde,360608061
サムナー郡 (カンザス州),2981608953
Pawnee County (Kansas),1866839174
Ohio,99719384332
Ullensaker,266801373
克維內斯達爾,946867572
Ванюльвен,350287577
Comté de Bear Lake,2327959666
مقاطعة بيرناليلو (نيومكسيكو),3167501193
Eidskog,609660101
Øystre Slidre,917138468
Beaver County (Oklahoma),4664559032
Namsos,749810855
Condado de Burnett,2182251216
Flekkefjord,540853172
Contea di Osage (Kansas),1940809099
Mauricie,36467056491
"Оглейз (округ, Огайо)",1131446264
"Barrow County, Georgia",418054359
Hrabstwo Allen (Kansas),1183867545
Hrabstwo Harvey,1525670921
مقاطعة ماريون (كانساس),2433461935
"Austin County, Texas",1825989345
Kansas,233011797364
Хуф (Вестфолл),141358467
Riley County,1671248530
"Bullock County, Alabama",1733807023
Contea di Armstrong (Pennsylvania),1749797803
Aleutians East Borough,19622476406
Askøy,97295655
"Берти (округ, Северная Каролина)",1770673649
Contea di Bay (Michigan),1221499542
Comté de Blackford,425232173
Borough des Aléoutiennes orientales,17819541429
Condado de La Salle (Illinois),2989643503
Condado de Atlantic,1548326533
Comté de Butler (Kentucky),1091233149
スコット郡 (カンザス州),1925690418
Nes (Akershus),577908224
Condado de Finney,3393071240
Brooks County (Georgia),1197461345
North Carolina,140892607402
Comté de McPherson (Kansas),2198797120
Contea di Bell (Kentucky),840920728
Lillehammer,483026968
Gjerdrum,71776186
伯克利县 (西弗吉尼亚州),833878842
バーリン郡 (ジョージア州),1063720350
Hrabstwo Barbour (Alabama),2180588663
Contea di Stanton (Kansas),1773985106
Aurskog-Høland,850435307
Brunswick County (Virginia),1431197569
Кристиансунн,92626347
Beauregard Parish,2818339460
Contea di Benewah,1838018766
Benton County (Mississippi),992805800
"Баффало (округ, Висконсин)",1872603822
Hrabstwo Lincoln (Kansas),1910190397
Karasjok,5326276675
克拉克縣 (堪薩斯州),2505741698
Eidskog,588278250
Kvinnherad,991634520
Frosta,70886482
Contea di Wayne (Pennsylvania),1663956732
Namsskogan,1289786951
Bartholomew County,1065673504
Конгсвингер,1024504071
Tysnes,248935430
Hrabstwo Woodson,1355107528
Kvalsund,1636040646
ボーデン郡 (テキサス州),2170106652
Andrew County,1152364259
Comté de Benton (Missouri),1654176719
Folldal,1212145873
مقاطعة أليكزاندر (كارولاينا الشمالية),654079196
"McPherson County, Kansas",2365191646
Hrabstwo Berkeley (Karolina Południowa),2952579764
ジュエル郡 (カンザス州),2506176389
Leka (Norwegen),114145877
Paróquia de Jefferson,731194711
米切爾縣 (堪薩斯州),1739162975
مقاطعة رايلي (كانساس),1744279772
Hrabstwo Butler (Ohio),1288132317
Condado de Barton (Kansas),2208486444
Comté de Bryan (Géorgie),1184558541
Condado de Jewell,2357120632
Lardal,248074533
Роде (коммуна),114048408
"Branch County, Michigan",1379969703
Condado de Aiken,2906396797
Comté de Ness,2661336410
Snillfjord,536995181
Comté de Banks,645153794
Contea di Saline (Kansas),1801871691
"Albany County, Wyoming",10249200283
Hattfjelldal,2111642246
Condado de Elk (Kansas),1783536463
本希尔县 (佐治亚州),671333707
مقاطعة برازوريا (تكساس),3562860331
Contea di Botetourt,1413001590
Modum,425222189
Comté de Bristol (Massachusetts),1545723756
Båtsfjord,1227629268
Risør,175647575
Haram (Norvège),268240719
Comté de Barton (Missouri),1525910064
アダムズ郡 (コロラド州),3142150020
纳尔维克,2104873231
"Алламаки (округ, Айова)",1583039701
Eidsberg,230433605
"Адэр (округ, Миссури)",1390235552
Evje og Hornnes,559760793
مقاطعة جيفرسون (لويزيانا),718061135
Bergen County,546260313
Jackson County (Michigan),1716134712
Borough de la Bahía de Bristol,1243637165
爱达荷州,214740734212
Condado de Scott (Kansas),1737433601
"Bailey County, Texas",2435281082
Vermont,24750042777
Edwards County (Kansas),1675466471
"Блэр (округ, Пенсильвания)",1335506561
Vikna,311924869
Aremark,293273569
Allamakee County,1655757224
內斯納,175499188
洛朗第,21276247279
Vefsn,2016808337
Sauda,476196398
Ampara (Distrikt),4442624217
