http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Huhu Uhu – Abenteuer im Kreuzkrötenkraut,28
Una famiglia a tutto gas,42
"Goede tijden, slechte tijden",5478
Monster Allergy,47
What to Eat Now,11
In the Night Garden...,106
スターゲイト ユニバース,39
İntikam,48
Bit Museum,5
Tosh.0,218
Aquarius (U.S. TV series),28
Better Call Saul,21
Brothers & Sisters,114
Amor en custodia (Mexican telenovela),257
Сорвиголова (телесериал),27
Heartbeat (UK TV series),363
Falcon Crest,249
Verbotene Liebe,4976
The Midnight Special (TV series),461
Le avventure di Johnny Quest,54
Plan Totalnej Porażki,27
NASA 360,22
ラリーのミッドライフ★クライシス,70
Jake and the Kid (TV series),13
It's a Knockout (Australian game show),91
ホテル・カエサル,2980
Tokusō Sentai Dekaranger,48
Amoureusement vôtre,3447
Hootenanny (muziekprogramma),19
Familienstreit de Luxe,38
Super Robot Mach Baron,24
Triple Z (TV series),52
Twarda gra,28
Live on Tape,58
星期天真好,501
The Daily Habit,881
I Polykatoikia,146
La que no podía amar,174
Soccer Aid,14
"Dawno, dawno temu",110
Bestia (serial telewizyjny),12
Жили были… первооткрыватели,25
Safe House (Fernsehserie),8
Once Upon a Time,123
The Carrie Diaries (serie de televisión),25
Buzzer Beat,11
Sorted (TV series),6
Desaparecido (série de televisão),14
Było sobie życie,25
Pointless,724
Adventures of Sonic the Hedgehog,63
Mega Disasters,42
Prison Break,87
Металлопокалипсис,67
The Charmings,21
Conviction (2006 TV series),13
Amber Dhara,117
Imbarchiamoci per un grande viaggio,29
Brain (serie de televisión),18
Ulica Sezamkowa,4086
成吉思汗 (無綫電視劇),10
The Story of Maths,4
Neeli Aankhen,26
識法代言人,24
L'Homme de nulle part (série télévisée),23
紅楼夢 〜愛の宴〜,49
Heroes Reborn,13
ストーリーテラー,4
Wolf Lake,9
The Snow Queen (serie de televisión),17
Los sábados secretos,33
الموتى السائرون,89
ستارغيت إس جي 1 (مسلسل),205
L'avvocato Porta,8
Skyways,169
Absolutely Fabulous,36
La mujer perfecta,139
Italia's Next Top Model (cycle 1),12
Podwójne uderzenie (reality show),15
Ivory Tower (Harvard Undergraduate Television),32
Out There,27
Isa TKM,100
Hrvatski Top Model,24
Happy Family (2003 TV series),23
Firefly (TV series),15
Придурки из Хаззарда (телесериал),150
L'Homme qui valait trois milliards,92
Banjun Drama,81
Victorious,62
The Beiderbecke Affair,6
الأسطورة بروس لي,55
Los hermanos Venture,4
Hec Ramsey,11
Polizeibericht (Fernsehserie),303
House of Anubis,183
空港城市,17
College (serie televisiva),13
リロ・アンド・スティッチ ザ・シリーズ,66
The Power of Women,19
A Double Shot at Love,10
Happy Days,232
Grownups (2006 TV series),22
Monday Nitro,282
ザ・コミッシュ,99
Nun-ui yeo-wang,17
Wallace e Gromit,1
Hollywood Squares,1130
Orthros no Inu,9
Cousins (TV series),3
Stoked : Ça va surfer !,51
Burn Notice (season 2),17
ボブとはたらくブーブーズ,292
Kotopies,65
Stompin' Tom's Canada,25
Glue (TV series),8
Highlander: The Series,128
康熙王朝,48
Distretto di Polizia,256
État d'alerte,6
Buffy the Vampire Slayer (televisieserie),153
Es war einmal … der Weltraum,24
Soldiers: A History of Men in Battle,12
Zero Hour (2004 TV series),16
The Real Hustle,98
X-Files : Aux frontières du réel,190
Dead Famous (TV series),27
Body Farm - Corpi da reato,6
"Aşk-ı Memnu (série télévisée, 2008)",87
Nostromo (TV serial),4
Dr. House - Medical Division,161
Alias Smith and Jones,47
Melrose Place (2009 TV series),18
The Game (televisieserie),142
Quiller,12
Classic Goldie,2
Julia (serie de televisión),87
Bébé Clifford,42
The Batman,68
Crackerjack (TV series),453
The Fresh Beat Band,68
This Hour Has Seven Days,45
Life with Louie,36
Cantinflas Show,56
Mammamia!,28
Buck Rogers,37
Chuck (Fernsehserie),93
Pole Position (TV series),13
"Bonkers, der listige Luchs von Hollywood",68
Seeta Aur Geeta (TV series),96
Captain Z-Ro,25
Чёрный Иисус (телесериал),19
Children's Hospital (BBC TV series),107
Animal Kingdom,11
ウォレスとグルミット,1
Grease: You're the One That I Want!,10
Danny Phantom,49
Eye Candy,10
Love Bites (telessérie),8
The New Avengers (TV series),24
Soup of the Day,20
Outlaws (1960 TV series),47
Princess Hours,22
Fly by Night (TV series),12
The City (reality show),32
Heroes Reborn,13
Wonder Woman (televisieserie),64
I favolosi Tiny,97
Ultraman Leo,50
Ascension (mini-série),6
Ja w kapeli,45
Wo de yi wan mian bao,13
The End of Obrenović Dynasty,13
The Office (versión británica),13
Vientos de agua,13
Aşk-ı Memnu (TV series),81
Meet the Press,17680
"Conor, der Kelte",14
快打旋風：暗殺拳,12
Due onesti fuorilegge,53
سبيرل زون (مسلسل كرتوني),68
The Paradise,17
The New Adventures of Old Christine,81
Raccontami,45
Trollz,29
The American West,8
An Aussie Goes Bolly,6
Mission: Impossible,177
My Friend Tony,16
World of Sport,1078
Isa TVB,91
Huntik: Secrets & Seekers,51
Casa Keaton,146
Tylko Ty!,130
Io e i miei parassiti,56
女検察官アナベス・チェイス,45
妻の誘惑,132
宮 (2006年電視劇),21
A Double Shot at Love,10
Table of Glory,23
Awake (serie de televisión),13
Giochiamo all'avventura con l'alce Elliot,28
The Stagers,27
Believe (serie televisiva),13
Pop Fiction,8
Opowieści z Tinga Tinga,113
Graceland (serial telewizyjny),35
BedHead,5
الأشرعة السوداء,30
A Kind of Magic (série animada),25
Indagini ad alta quota,130
Shaggy e Scooby-Doo,27
Sisters (TV series),130
Rizzoli and Isles,111
私の億万LOVE,13
Beast Wars,57
Shagun,707
小爸爸上學去,15
My Kind of Music,50
Moje drugie ja (serial telewizyjny),72
Absolut relativ,24
The Adventures of Chuck and Friends,84
"Goede tijden, slechte tijden",5711
Barrera de amor,119
Súbete a mi moto (telenovela),165
Dark Shadows (soap opera),1312
Dragnet (franchise),94
Un mundo perfecto (programa de televisión),5
Una moglie per papà (serie televisiva),69
La Méthode Becky,25
$h*! My Dad Says,18
Nick Knight – Der Vampircop,76
Life With Louie,36
Nurse Jackie,83
Shark Tank,168
絕代雙驕 (1977年電視劇),55
كيك باتاوسكي: المغامر,59
Sport Nation,18
Room 222,103
Portuguese in Asia,54
10 Things I Hate About You (série),20
Miasteczko Salem (miniserial),2
暗警,21
Dyplomata (film),2
Norma e Felice,18
Хорошая жена (телесериал),145
Ten Dollar Dinners,31
美麗高解像,18
Into the Badlands,6
"Hazardzista, dziewczyna i zabójca",1
Бэкстром,13
Orphan Black,35
Noblesse Oblige (TV series),22
H.R. Pufnstuf,16
Designing Women,166
Newstopia,28
Storyteller (serie televisiva),4
Ai confini dell'universo,26
Russell Howard's Good News,106
Nonni and Manni,6
Silk Stalkings,174
It's Always Jan,28
綁架 (電視劇),14
Русская рулетка (телеигра),121
Sentinel (serie televisiva),68
Beaver Falls (TV series),13
High Society (serie de televisión),16
The Storyteller,4
Verbotene Liebe,4665
Mów mi swatka,18
Butch Patterson: Private Dick,37
Le Dino Train,92
Charlie's Angels,105
Tutti Frutti (1987 TV series),6
被禁止的爱,4340
成吉思汗 (2004年電視劇),29
La llaman Mariamor,178
Daredevil (serial telewizyjny),27
I Love Money (season 4),11
Rita Rocks,45
ゆかいなブレディー家,120
Alegrijes y rebujos,136
Time Warp,32
Raumpatrouille – Die phantastischen Abenteuer des Raumschiffes Orion,7
Honey West (TV series),32
Sonic (serie animata),27
飞天大盗,51
Kidnapped – 13 Tage Hoffnung,12
假面 (電視劇),21
What Would Brian Boitano Make?,15
Komen Eten,1364
Spenser (serie televisiva),61
Огни ночной пятницы,79
Абсурдное природоведение,14
Gorejący krzew (serial telewizyjny),3
High Society (1995 TV series),13
Heroes: Odrodzenie,14
Ultraman Ace,51
Quinceañera,102
Wallace y Gromit,2
30 Rock,137
Jumanji (animatieserie),39
Kosmiczny Szeryf Gavan,40
淵蓋蘇文 (テレビドラマ),107
Floricienta,361
Schneller als das Auge,31
Rose and Maloney,10
Wallace e Gromit,2
Family Ties,159
Cidade Nua,93
Cory en la Casa Blanca,34
Звёздные врата: Бесконечность,24
Expeditie Robinson,178
Temptation Island (TV series),25
In the Heat of the Night (TV series),147
That Was Then,4
Avventure in paradiso,94
獵鷹 (電視劇),18
Belle's,6
The West (film),8
Persone scomparse (serie televisiva),16
Better Call Saul,20
Hollywood Squares,40
"Empire (Fernsehserie, 2005)",6
テレタビーズ,485
JejeMom,13
Flashpoint (série télévisée),68
Real Chance of Love (season 1),13
Camaleones,133
Laguna Beach: The Real Orange County,39
帕瓦特·奥特曼,13
Anubis (série télévisée),212
The Godzilla Power Hour,26
Work Out,26
"Ночная смена (телесериал, 2014)",37
Sounds Good,4
Stargate Universe,36
كل ده خيال,25
香港テロ対策ユニット CTU,19
Bamzooki,14
Ferdy,52
The Oregon Trail (TV series),15
Questa casa non è un albergo,11
Cory alla Casa Bianca,37
Doc (série télévisée),97
Orson Welles' Sketch Book,6
The Unforgettable Memory,999
Уоллес и Громит,6
Iridella (serie televisiva),4
Mes deux papas (série télévisée),56
Guadalupe (telenovela),206
Demony Da Vinci,27
"To, co najważniejsze",2511
Timothy Goes to School,26
Monster Allergy,53
Angie Tribeca,18
The Criminal Investigator II,33
Power (TV series),26
Les Revenants (série télévisée),16
The Pressure Cooker,1
特攻野郎Aチーム,94
Friday Night Lights (série),74
Cro (série télévisée d'animation),18
Til Death - Per tutta la vita,80
Wild Oats (TV series),6
Sensitive Skin (UK TV series),12
Instynkt mordercy (serial telewizyjny),14
双天至尊Ⅲ,32
快打旋風：暗殺拳,1
Heartland (2007 U.S. TV series),9
Homeland (serie de televisión),58
Planeta Sheena,24
Sport Billy,27
La valle dei dinosauri,44
De Kronieken van Narnia (miniserie),19
Quantum Leap,84
Qual é o Seu Talento?,117
Wordplay (UK game show),93
Smash (serie televisiva),29
فيكتوريوس,56
Adventure Time,223
De meester en Margarita (televisieserie uit 2005),9
Los Cuentos de Tinga Tinga,96
Argumental,38
パークス・アンド・レクリエーション,117
Astigs,16
CatDog,65
More Stories from Inside Quebec,6
"The Killing (série télévisée, 2007)",45
Moses Jones,3
Towards the Republic,63
フレンズ (2002年のテレビドラマ),4
The Quatermass Experiment (miniserie televisiva),6
Bad Guys (TV series),12
Homeland Security USA,12
One Night Stand (Canadian TV series),11
Whale Wars,59
Dark Knight,29
Física o Química,80
A corazón abierto,165
Planet Sheen,25
Robotskin,6
パワーパフガールズ,77
Vamp (telenovela),167
Pan ili Propal,56
El nuevo show del Pájaro Loco,155
Die Muppet Show,119
Weird Nature,6
Il capo dei capi,6
コーリー ホワイトハウスでチョー大変!,31
Je ne devrais pas être en vie,55
Amen (TV series),118
Movies That Shook the World,13
Яркая Радуга,14
Блоссом (телесериал),116
ファーゴ (テレビドラマ),18
Pasión Morena,182
A to Z (TV series),12
Bermúdez (telenovela),74
Bêtes de télé,67
ドラ猫大将,29
Genghis Khan (TVB TV series),10
Hrvatski Top Model,23
The Chris Isaak Hour,8
Geronimo Stilton (serial animowany),70
Your Geek News,54
Mehr Schein als Sein,40
Gofrette,25
Le nuove avventure di Braccio di Ferro,32
Single Father (TV series),4
Angie Tribeca,22
Buck Rogers en el siglo XXV,39
Purple Playhouse,8
Sherlock Jak,50
Cheerleader Nation,8
Kick Buttowski: Suburban Daredevil,47
Amor prohibido (serie de televisión),83
Being Victor,6
美味關係 (台灣電視劇),22
"Wyluzuj, Scooby Doo!",23
Dumped,4
The Last of the Baskets,12
"Pueblo chico, infierno grande",130
Часовой (телесериал),69
Big (série télévisée),15
