http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
"Unity High School (Tolono, Illinois)",522
Homer-Center School District,911
Pine Technical College,1254
Pu-Men High School,1096
جامعة جبل سانت فنسنت,3823
Technische Universität Bergakademie Freiberg,5024
Briarcliff High School,592
Bolivarian University of Venezuela,163056
Northwestern School District,1710
Slovak University of Technology in Bratislava,18222
Gulf Islands Secondary School,707
Llantarnam School,1541
Arcadia High School (Wisconsin),336
Academia de Bellas Artes Nanyang,2643
جامعة تاراس شفتشينكو الوطنية في كييف,21676
St. John's School (Texas),1395
湖南中医薬大学,3
Universität Fukushima,4855
"Heritage High School (Brentwood, California)",2887
Alleyn's School,1164
Clements High School,2904
De La Salle Collegiate High School,796
Università americana in Afghanistan,1061
Sistema de Ensino Superior do Estado da Pensilvânia,115292
Assisi Vidyaniketan,2132
マッコーリー大学,37437
East Lycoming School District,1626
Clover Hill High School,1884
University of Maine School of Law,222
Erasmus-Universität Rotterdam,28229
Lamar State College–Port Arthur,1844
Universidad Autónoma de Occidente,8052
Fred T. Foard High School,1076
Université française en Arménie,2135
Université du Svalbard,474
Shandong University of Science and Technology,42
Freie Waldorfschule Wetterau,539
Coppenhall High School,722
Perry Hall High School,2115
South Bromsgrove High School,1312
Liaocheng University,28
Weifang Medical University,14534
Mill Creek High School,4018
Universidad Católica de Santo Domingo,5389
Hollis/Brookline High School,932
Francisco P. Felix Memorial National High School,14213
Broward College,74764
St. Andrew's Preparatory School,187
Universiteit van Macerata,11573
Thomas Goode Jones School of Law,319
Heppner Junior/Senior High School,207
"Pius X High School (Downey, California)",1057
バイーア連邦大学,27697
Portland Waldorf School,352
George Enescu University of Arts of Iași,1281
Universidade de Bremen,20838
University of the West Indies,38195
Challney High School for Boys,827
Heritage Hall School,948
جامعة كايزرسلاوترن للتكنولوجيا,13
جامعة ماريا كوري-سكلودوفسكا,26493
Fleming College,5162
Université James Madison,19731
South Elgin High School,2735
Westmont Hilltop School District,1401
Bethel Park High School,1890
Kwalikum Secondary School,679
Montebello High School,3271
Frogmore Community College,579
Crandall University,605
جامعة لوند,44355
Camborne Science and International Academy,1281
West Greene School District,746
Belmont High School (New Hampshire),500
مدرسة ديليا كندا (هونغ كونغ),1110
Universidad de Luxemburgo,6621
Freeport High School (Maine),460
Hans Raj Model School,6106
Bakalia Government High School,1434
Dunkirk High School,643
Nora School,45
Oasis Academy John Williams,823
Scranton State School for the Deaf,70
卡斯商学院,3885
Hakuoh University,4290
Netherhall School,1073
Universität Évry,9641
萊比錫孟德爾頌音樂戲劇學院,779
Taras Shevchenko National University of Kyiv,21816
Edgemont Junior – Senior High School,1037
ISCTE – Instituto Universitário de Lisboa,9074
Kantonsschule Küsnacht,529
King Philip Regional High School,1434
Rock Bridge High School,1904
Shri Kalyan Government College,9033
Bryant High School (Arkansas),2421
جامعة نيس صوفيا انتيبوليس,23284
Brantford Collegiate Institute,1335
The Holmesdale School,889
D. H. Conley High School,1510
الجامعة الأوروبية,3
Atlantic Cape Community College,6463
Rocky Mountain College,930
Junction City High School (Oregon),437
Université de Tunis - El Manar,48937
Heidelberg University (Ohio),1366
Wageningen University and Research Centre,9733
Ștefan cel Mare University of Suceava,9937
Edgewood High School of the Sacred Heart,564
Rajalakshmi Engineering College,5902
Universidad Pedagógica Nacional de Colombia,11198
DePaul University College of Law,125
Highline Big Picture,183
Deshler High School (Alabama),475
König-Abdulaziz-Universität,163740
CUNY Graduate School of Journalism,152
St Edward's School,411
Catholic University of Pusan,1171
Burscough Priory Science College,761
Fleming College,10938
Faith Bible High School,156
Universidad de tecnología de Papúa Nueva Guinea,3155
St. Augustine Preparatory School,730
James I. O'Neill High School,630
Laurel High School (Montana),652
"Columbia High School (West Columbia, Texas)",889
Dover High School (New Jersey),820
Rockledge High School,1269
Université de Rome « Campus bio-médical »,1817
Central State University,1976
Sylvia Young Theatre School,226
Beacon College,274
Alberta School for the Deaf,80
Штутгартский университет,24939
Université d'Afrique,1180
Universidade Rey Juan Carlos,38881
"Northwestern High School (Maple, Wisconsin)",408
Weston Favell Academy,1162
"Department of Business Management, University of Calcutta",33
Gilbert Junior-Senior High School,380
Université fédérale de Bahia,24405
Inner Mongolia University,23998
Busan Foreign School,107
Watson Technology Center,559
莱里达大学,10552
Pine Crest School,2843
Canandaigua Academy,1188
Georgia State University College of Law,514
Crow Middle/High School,197
南新罕布什爾大學,62030
Norman Paterson School of International Affairs,112
Berlin High School (Connecticut),974
Avila University,1877
Occidental College,2209
"Canyon High School (Anaheim, California)",2348
"Marymount High School, Jamaica",827
Hampton Park Secondary College,1286
Collège Montmorency,6608
Belmont Community School,732
Universität Pierre und Marie Curie,33648
Universidad Católica de la Santísima Concepción,5005
École des mines de Saint-Pétersbourg,15837
Dodge City High School,1665
Collège Jean de la Mennais,1354
Charleston Southern University,3667
Monroe High School (Oregon),126
University Hill Secondary School,715
Worksop College Preparatory School,190
جامعة إراسموس روتردام,25013
Island Trees High School,915
Кливлендский институт музыки,448
Oswego East High School,2139
Foothills School of Arts and Sciences,150
Granada Hills Charter High School,3777
Broward Virtual Education High,358
奥斯纳布吕克大学,12421
John Swett High School,556
Sacred Heart of Mary Girls' School,769
La Salle Academy (Iligan),2667
"Staatliche Universität für Informationstechnologien, Mechanik und Optik Sankt Petersburg",11454
Tring Park School for the Performing Arts,284
Culver High School,229
Uniwersytet w Maceracie,11283
"Elkins High School (Missouri City, Texas)",2143
Maret School,602
FIU Robert Stempel College of Public Health and Social Work,1557
Иркутский государственный университет,18291
International School Ho Chi Minh City,1073
Highcliffe School,1373
Universität Stavanger,11229
Princess Nora bint Abdul Rahman University,54128
Hamilton Southeastern High School,3269
"Eisenhower High School (Yakima, Washington)",2156
Milo Adventist Academy,77
Hudson Catholic Regional High School,504
"Denbigh High School, Denbighshire",470
Universidad de la Cuenca del Plata,2006
Université préfectorale de Hyōgo,5975
University of North Texas System,37855
Bourne End Academy,759
Alternative Center for Excellence,106
De La Salle Institute,1107
貝魯特阿拉伯大學,13786
John Ruskin School,234
Fairfield Area School District,1306
جامعة نيو إنكلاند كلية الطب التقويمي,502
Alliance Charter Academy,257
Winchester Thurston School,606
Sulphur High School (Oklahoma),352
Columbia University,26356
巴勒莫大学,55
École Normale de Musique de Paris,1047
Ясский университет,26135
Fairfield Area School District,1022
كلية رويال ناشونال كوليدج للمكفوفين,196
Aspen University,3843
Nebraska College of Technical Agriculture,245
Auburn High School (Washington),1602
Université des Indes occidentales,40918
Ramona Convent Secondary School,421
Sapienza – Uniwersytet Rzymski,106614
Università statale dell'Iowa,39236
Университет штата Баия,25100
Instituto Nacional de Ciencias Aplicadas de Toulouse,2187
Goerdeler-Gymnasium Paderborn,777
Университет Святых Кирилла и Мефодия в Скопье,52535
St. Joseph School Endicott,127
Cressex Community School,818
Sophia High School,1802
Jewish Community High School of the Bay,165
University of Mosul,29284
Hochschule Wismar,12358
Université de Sfax,47140
Lawrence High School (Massachusetts),3373
Pennsylvania Governor's School for the Arts,205
Hilliard Davidson High School,1729
Packer Collegiate Institute,945
Kamehameha Schools Hawaii Campus,1260
Sonapur Ali Akber High School,926
Archbishop MacDonald High School,913
Levine School of Music,3589
Université du Ghana,37153
"Heritage High School (Conyers, Georgia)",1537
麥地那伊斯蘭大學,23954
Silver Lake College,10
Boston Conservatory,733
Corner Brook Regional High,964
江南大学,27980
ジャワハルラール・ネルー大学,7638
Perry Traditional Academy,514
Stone Ridge School of the Sacred Heart,789
潍坊医学院,12585
Western Institute of Technology at Taranaki,5401
Blenheim High School,1426
UC Davis College of Biological Sciences,6132
Academia Secondary School,825
Oswego High School (Illinois),2323
Landmark School,417
South High School (Denver),1380
Universidad Linneo,15130
Guangdong Pharmaceutical University,18279
"Thomas A. Edison High School (Fairfax County, Virginia)",1734
Université panaméricaine,17509
Central Greene School District,2107
Universität Wakayama,4595
Winterhill School,1285
Université pontificale catholique du Pérou,19359
Samuel Robertson Technical Secondary School,1044
Madison High School (Idaho),1084
Riverton High School (Utah),2050
Marlin High School (Texas),267
Lawrence Academy (North Carolina),236
エラスムス・ロッテルダム大学,24383
Middletown High School (California),535
Westminster School (Connecticut),421
Escuelas Públicas de San Luis,22094
Beacon College,303
Lone Oak High School (Kentucky),938
International Christian School of Vienna,236
Lincoln-Way Central High School,1851
Centro de Aprendizaje Edward Roybal,2664
Université de Playa Ancha,11203
Adamjee Government Science College,1577
Оборонный научно-технический университет НОАК,16218
New York Film Academy,7520
Livingston High School (New Jersey),1925
James Buchanan High School,751
Secondary Board High School,1199
Y Pant School,1167
Университет Анкары,44304
"St John's School, Billericay",436
Judah Christian School,102
Университет Перуджи,28358
Theodore Roosevelt High School (Los Angeles),5297
Fleming College,9362
Harvard Graduate School of Design,172
Escola Lomonossov,468
Université KIMEP,2472
Texas A&M University–Commerce,11801
Bridgeport High School (West Virginia),748
Universität des Nahen Ostens,22808
夏威夷大学,49865
St. Louis Community College–Wildwood,2064
Technical University of Crete,3433
Université d'État de l'Iowa,40513
Neenah High School,2055
Lawrence High School (Kansas),1557
كولورادو دينفر,19085
Bonita Vista High School,2766
Northern Caribbean University,6469
Université Mount Saint Vincent,3927
Santa Fe Indian School,1936
Community College of Beaver County,1398
Southern New Hampshire University,68914
Mountain Lakes High School,704
布隆博格公共卫生学院,1791
Po Leung Kuk Mrs. Ma Kam Ming-Cheung Fook Sien College,995
École spéciale de mécanique et d'électricité,1661
Peters Township School District,4429
Trinity School for Ministry,199
Heritage Christian Academy (New Jersey),79
Принстонский университет,7435
GateWay Community College,16125
Università statale dell'Arizona,12786
Meoncross School,354
École nationale vétérinaire d’Alfort,642
Braintree High School,1604
St. John's High School (Massachusetts),938
Simon Fraser University,38472
Madrid–Waddington Central School,690
Hampton Roads Academy,747
IAE Paris,1765
"Trinity High School (Euless, Texas)",2235
Far Brook School,227
Ewha Womans University,18396
Universidade de Salento,17024
Rishi Valley School,342
Mountain View College (Philippines),2381
West Lakes Academy,1052
Georgia Institute of Technology,26661
Universidad Nacional del Chaco Austral,1722
American International School of Guangzhou,917
ロサンゼルス・シティー・カレッジ,19277
Lake Mary High School,2870
Celal Bayar University,52302
Dakota State University,3372
Beachwood High School,589
Universidade de Kinshasa,23349
St Gregory's Catholic High School,870
كلية الهندسة (بونه),3967
斯德哥尔摩经济学院,1853
Busitema University,1346
Universidad federal Urdu,12376
Lycée Henri-IV,1978
المعهد الملكي للتكنولوجيا,13237
Collegiate School (New Jersey),113
"Legacy High School (North Las Vegas, Nevada)",2989
Concord High School (North Carolina),1132
Sharon City School District,2185
Università di Stanford,14938
Echo School (Oregon),308
Design and Architecture High School,563
Academia de Estudios Económicos de Bucarest,22104
Churubusco High School,673
Madras High School,964
Medical College of Nanchang University,11512
首爾市立大學,11550
Anglo-American University,1045
Santa Ana High School,3622
Line Mountain Jr./Sr. High School,149
Queensbridge School,809
College of the Holy Cross,2948
Philippine Science High School Eastern Visayas Campus,388
Institut polytechnique des sciences avancées,1420
Brooklyn Latin School,562
"Southwest Christian School (Beaverton, Oregon)",231
School of the Holy Child,322
Muskego-Norway School District,4957
"Don Bosco School, Park Circus",3269
الجامعة الفرنسية في أرمينيا,2106
大葉大学,11217
"Cooper High School (Cooper, Texas)",232
Tabb High School,1019
挪威生命科學大學,4869
La Salle High School Faisalabad,2178
Greenwood High School (Arkansas),816
Derry Area School District,2781
Delta State University,3399
Sacred Heart Higher Secondary School Hundung,2568
University School of Milwaukee,1062
Lanakila Baptist High School,63
David and Mary Thomson Collegiate Institute,960
Hope Christian College,616
University of Salerno,32148
Allama Iqbal Medical College,2014
"Heritage High School (Vancouver, Washington)",2122
John McDonogh High School,499
"Jefferson High School (Jefferson, Oregon)",347
"New College, Swindon",4872
Matthew McNair Secondary School,1008
Luther High School (Wisconsin),9
Universidade Técnica de Varna,7010
British School in the Netherlands,2360
Chung Ling Butterworth High School,2662
Government Medical College (Kota),746
Manchester Health Academy,352
Apollo-Ridge School District,1627
North Central College,2832
韓国放送通信大学校,183243
Pen Argyl Area School District,1801
Lone Star College–Tomball,9587
Université catholique de sciences appliquées de Mayence,999
Celebration High School,1910
Central Christian Schools,259
Monarch High School (Colorado),1329
St Brigid's High School,226
Angelo State University College of Business,907
Pendekanti Law College,604
Ankeny High School,1106
Canadian International School (Singapore),3379
UNSW School of Computer Science and Engineering,285
Conservatoire de Boston,807
St. Xavier's Collegiate School,2208
McClelland College,825
ConVal Regional High School,733
Università russa di arti teatrali,1617
ليسيه الدولي دي سان جيرمان أونلي,3034
Prestwick Academy,1228
Midpeninsula Free University,940
Неаполитанский университет,81812
Université technique slovaque,18392
Baltimore Civitas Middle/High School,318
Northern Michigan University,8520
Universität Primorska,5126
"New College, Telford",1411
The Marin School,92
Snow Canyon High School (Utah),1035
Cherry Hill High School East,2307
Национальный университет Узбекистана,8930
Highlands School District (Pennsylvania),2321
Université de l'Insubrie,9
William E. Grady CTE High School,893
Blessed Cardinal Newman Catholic High School,1133
Jerome I. Case High School,2071
Karlsruher Institut für Technologie,25146
王立プノンペン大学,22100
City of Westminster College,6880
Krannert School of Management,3485
Birla Institute of Applied Sciences,608
Université de Pérouse,29300
Oldham Sixth Form College,2286
"Faculdade de Engenharia, Pune",3656
Westmont Hilltop School District,1494
James Hubert Blake High School,1726
"Pacific High School (Ventura, California)",18
リェイダ大学,9800
Technische Universität Kreta,3364
Holy Cross School (New Orleans),911
"Presentation College, Bray",621
جامعة باليرمو,48
Vanguard High School,1731
Massachusetts Institute of Technology,10883
Universidade de Nápoles Federico II,76396
Macquarie University Faculty of Science,4387
Queen Creek High School,1670
University of La Réunion,12456
Hartsville High School,1327
Université de la Ville de Manille,13995
"King Edward VI High School for Girls, Birmingham",588
East Hall High School,1090
Columbia University College of Physicians and Surgeons,867
Outwood Academy Valley,1511
Cégep de l'Abitibi-Témiscamingue,2581
Catholic High School of Pointe Coupee,285
مدرسة طب شيكاغو - جامعة روزالند فرانكلن,2268
James Caldwell High School,748
Southern New Hampshire University,61922
Barnard Castle School,696
Uniwersytet Technologiczny Chalmers,10728
Università di Lucerna,2558
Cambridge Rindge and Latin School,1730
Weydon School,1079
The Mountbatten School,0
Hempstead High School (Texas),429
Instituto de Tecnologia de Karlsruhe,23482
Centralia College,5129
James Campbell High School,3223
Bauhaus-Universiteit Weimar,3859
Gloucester High School (Massachusetts),914
"Campion School, Mumbai",756
Université de Kragujevac,14007
Warrior Run School District,1753
Université polytechnique de Madrid,37227
Slinger High School,907
Miami Dade College,179757
The High School at Moorpark College,93
Comenius Universiteit Bratislava,25763
Dunmore School District,1534
"European School, Bergen",573
Joliet Catholic Academy,791
École Navale,1433
Aalesund University College,2460
Seaford Senior High School,752
Jane Addams Business Careers Center,608
"Nimitz High School (Harris County, Texas)",3702
Glendale Community College (California),18718
Kaunas University of Technology Gymnasium,322
Universidad de los Andes (Chile),7742
Université du Rosaire,11852
"Norwood School (Montgomery County, Maryland)",463
"Clark High School (Plano, Texas)",1600
Cranbourne Business and Enterprise College,720
ハーバード・ビジネス・スクール,1790
Hillsong International Leadership College,1213
Université d'Aix-Marseille III,25172
Dinajpur Medical College,806
Academia de Belas-Artes de Viena,1234
West Toronto Collegiate Institute,358
Университет штата Аризона,50443
Académie tchèque des arts musicaux,1653
Académie Saint-Dominique,689
Blessed George Napier Roman Catholic School,790
St Martin's Ampleforth,193
Windsor High School (California),1820
École des mines de Freiberg,4994
Alton C. Crews Middle School,1199
EU Business School,3
北京陈经纶中学,2487
冰島藝術學院,512
Penn State Worthington Scranton,1315
Sturgis Charter Public School,742
Russian-Tajik Slavonic University,3297
Bismarck State College,3509
Smyrna High School (Tennessee),2035
Hyundai Chungun High School,533
聯合書院,2951
Saint Joseph Seminary College,142
Think Global School,44
Bedlingtonshire Community High School,856
Université des sports de Pékin,14339
Merlo Station High School,431
Cuyamaca College,8003
Миланский технический университет,40174
Beavercreek High School,2101
National Pedagogic University (Colombia),11036
University of L'Aquila,20916
Universidade de Valhadolide,31941
Carroll T. Welch Intermediate School,753
大阪府立清水谷高等学校,934
汕头市实验学校,2961
"Colerain High School (Cincinnati, Ohio)",2218
Европейский Университет,3
IULM University of Milan,6
St. Alban's College,547
Hunan University of Traditional Chinese Medicine,3
Universidade de Módena e Reggio Emília,22773
Wilcox Central High School,653
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1520
Universidade Nacional de Entre Ríos,12748
Perrydale School,323
蒙彼利埃大學,45251
Holliston High School,786
Selinsgrove Area High School,720
Sengunthar Higher Secondary School,2327
جامعة ولاية كنساس,24720
Penncrest High School,1489
Cardinal Newman College,3283
Elkton High School (Oregon),100
Collinwood High School (Tennessee),373
University of Manila,8855
Middlesex Middle School,1150
"Oakwood School (Morgan Hill, California)",506
浸信會呂明才中學,1167
University City High School (San Diego),1800
Southeastern Greene School District,625
Frazier School District,1209
Armand Hammer United World College of the American West,53
Triad School,265
Middleton Regional High School,768
ブラウン大学,10013
St. Charles North High School,2096
Université KIMEP,557
"Martin High School (Martin, Michigan)",299
Medfield High School,930
克劳斯塔尔工业大学,4
David Oppenheimer Elementary School,351
Universidad de Edimburgo,38206
Science Hill High School,2388
Western Beaver County School District,721
Community School of Naples,971
Cumberland Presbyterian Church Yao Dao Secondary School,1147
جامعة كينت,32559
Słowiański Uniwersytet Tadżycko-Rosyjski,2918
マリー・キュリー・スクウォドフスカ大学,26405
Petre Andrei University of Iași,2488
"The Center School (Seattle, Washington)",239
"Wayland Academy, Wisconsin",203
Beechwood Sacred Heart School,381
Universiteit van Concepción (Chili),24434
University of Nordland,5604
Merritt College,6409
Kazan State Medical University,4075
Arizona State University,15301
Mount Angel Abbey,206
North Carolina School for the Deaf,96
Sun Prairie High School,1487
Midlothian High School (Virginia),1599
معهد ماساتشوستس للتكنولوجيا,11630
Université d'État de l'Arizona,11489
Rose and Alex Pilibos Armenian School,1079
Universidade Nova de Lisboa,17839
BI Norwegian Business School,17783
Littlefield Unified School District,130
Wyedean School,1241
Yadanabon University,21489
Faculté des sciences d'Aix-Marseille,8026
Scuola germanica di Milano,790
"St Michael's Catholic School, High Wycombe",1104
Université de technologie de Chemnitz,10369
Holy Name of Mary Catholic Secondary School,812
Varga Katalin Secondary School,497
Università di Tallinn,10367
Beijing Sport University,13928
Nutley High School,1115
North-Eastern Federal University,16474
International Health Sciences University,836
"St. Cyprian's School, Cape Town",942
Universidad Metropolitana de Ciencias de la Educación,6158
Roy High School (Utah),1681
Plainview – Old Bethpage John F. Kennedy High School,1609
Morrison Academy,147
Columbia-universiteit,29245
Colégio de Aplicação da UFRJ,746
Национальный университет дистанционного образования,245573
Päpstliche Universität Heiliger Thomas von Aquin,1103
Sagesse High School,1131
McCord Junior High School,602
State University of Zanzibar,2067
Branham High School,1383
The Hazeley Academy,1234
山梨大學,4673
Louis E. Dieruff High School,1847
John Stark Regional High School,742
Abraham Lincoln High School (Denver),1406
Midd-West School District,2306
Università degli Studi di Sassari,13690
South Side Area School District,1190
Jefferson County High School (Georgia),1081
Université Corvinus de Budapest,13603
Texas A&M University–Kingsville,9209
Connellsville Area School District,5719
Butler County Community College (Pennsylvania),1563
Colony High School,2414
St Edward's School,707
Malone University,2784
S. R. Butler High School,932
Università Cheikh Anta Diop,56073
Universidade de Lviv,10999
North Country School,82
University of Minnesota Crookston,1891
Eric Hamber Secondary School,1484
Universidade Politécnica de Madrid,32989
University of Luxembourg,7124
Kolej Tuanku Ja'afar,639
St Peter's Church of England Aided School,1871
Dartmouth Academy,561
SUCCESS Academy,426
Sullivan County School District,648
ダルエスサラーム大学,20828
Cawthra Park Secondary School,1464
Mid-State Technical College,8302
Sapienza - Università di Roma,103374
Oakdale High School (California),1675
"Казахстанский институт менеджмента, экономики и прогнозирования",113
Polytechnikum Mailand,44120
"St Francis' College, Letchworth",425
"Freedom High School (Tampa, Florida)",1937
Kellogg Community College,14863
Universidade de Ratisbona,22421
Universidade Aberta,12825
Pikeville High School,535
Sistema Universitario del Norte de Texas,35819
Hostos Community College,7268
Università Erasmus di Rotterdam,25039
Université de Foggia,10727
"University of Puerto Rico, Medical Sciences Campus",2519
Fort Lauderdale High School,1925
Hermiston High School,1332
馬禮遜美國學校,194
"Lakewood High School (Lakewood, Ohio)",1836
Aichi Gakuin University,0
Worsley Wardley Grammar School,482
Collegiate School (New York City),658
المدرسة المحمدية للمهندسين,558
Bethany High,2430
"Woodlands Academy, Coventry",780
Ipswich State High School,1176
Lakeridge High School,1158
Sree Chitra Thirunal College of Engineering,1907
جامعة إنسوبريا,9
Basic Education High School No. 6 Botataung,5224
"The Martin High School, Anstey",612
Coombe Boys' School,728
ANU College of Physical and Mathematical Sciences,2434
North Hall High School,1005
Brooklyn Friends School,818
Middletown High School North,1440
North Bengal Medical College,6
Medizinische Universität Lublin,6047
Hunters Lane High School,1570
Rouse High School,2580
Simon Fraser University,32453
University of Koblenz and Landau,12141
Washington and Lee High School,521
Anderson County High School (Kansas),558
IE Business School,6253
"Carthage Senior High School (Carthage, New York)",1007
Monroe High School (Tehachapi),123
Leigh Academy,1477
Santa Cruz High School,1098
Academia de Artes de Islandia,483
Greenford High School,0
Marco Antonio Firebaugh High School,1692
Universidade de Paris X - Nanterre,31760
University of Cagliari,32005
Reynoldsburg High School,2030
MacEwan University,17620
Hutchinson Community College,12906
Little Flower Public School,2104
山形大学,8900
St. Patrick's Institute of Science & Technology,307
维也纳美术学院,1307
Bishop Anstey East,850
National University of Patagonia San Juan Bosco,14714
Catherine M. McGee Middle School,681
École secondaire de Par-en-Bas,394
St. James High School (Philippines),867
Harper Green School,1603
Gorgan University,3721
Madison East High School,1445
Polk State College,19624
"Serra High School (San Diego, California)",1716
University of Magallanes,6
Manzano High School,1880
孔聖廟中華學校,2539
兵庫縣立大學,6733
Nationale Bergbauuniversität der Ukraine,14747
Watkins Mill High School,1457
Sullivan East High School,699
Université Félix-Houphouët-Boigny,55754
Uniwersytet w Lund,41099
デウスト大学,2131
Buxton Community School,1357
Universität Skopje,45784
Technische Universität Clausthal,4
Carpenter Community Charter School,1026
No.1 Senior High School of Ürümqi,1882
Università Politecnica delle Marche,17223
Universidad Católica de Temuco,9461
Universidad Politécnica de Filipinas,46495
Milton High School (Georgia),1872
Udayapur Secondary English School,742
Hamilton High School (New Jersey),1373
Cypress College,16353
Aston Manor Academy,920
University of the City of Manila,14029
キング・アブドゥルアズィーズ大学,178169
St. Clement of Ohrid University of Bitola,14109
"St. George's School, Newport",367
Valley Springs High School,246
Judson University,1255
A. R. Johnson Health Science and Engineering Magnet High School,298
North Bengal Medical College,163
Sakha-Korean School,271
Grand Saline Independent School District,1255
St John Fisher Catholic College,990
Immaculate Heart High School (Los Angeles),185
Род-Айлендский университет,15332
阿爾卡拉大學,24460
North Davidson High School,1846
Lassiter High School,2029
The Evergreen School,425
Humphrey Perkins School,814
Cleveland Heights High School,1879
Ketchikan High School,563
İnönü Üniversitesi,37300
Katholieke Universiteit Leuven,54878
Archbishop Spalding High School,1141
Université technique de Crète,3620
Guildford High School,1021
Andrews Osborne Academy,317
アイルランド王立外科医学院,4419
Lawton High School (Oklahoma),1880
Australian International School Hong Kong,1120
Henry Foss High School,1057
Gwangju Institute of Science and Technology,2014
Earl Wooster High School,1534
Universidad de Hawái,51376
Universiteit Luxemburg,5747
Manila Central University,4940
Harlington Upper School,1242
Cranberry Area School District,1281
Uniwersytet Piura,6411
المدرسة الأسترالية الدولية في هونغ كونغ,1104
Northern Nash High School,1430
South Lakes High School,2132
"All Saints College, Galle",7731
Brentwood Borough School District,1267
Haywood Early College High School,160
University of Montpellier,42724
Buckingham School,1112
Sullivan Upper School,1011
Harris Academy,1163
Khallikote University,5238
Academy of Art University,16817
Renton Technical College,3462
湖南人文科技学院,12887
Sandia View Academy,34
Harrison High School (Michigan),1187
Université Ștefan cel Mare,9549
Tenoroc High School,1429
Rumson Country Day School,386
Universität Ryūkyū,8403
"St Ninian's High School, Douglas",1324
"Braeside School, Buckhurst Hill",183
Escola Naval (Portugal),285
Kalinga Polytechnic,1427
Gordo High School,528
Eindhoven University of Technology,6631
Claude Bernard University Lyon 1,39523
Universidade Nacional de Educação à Distância,253490
Римский университет Тор Вергата,41270
Universiteit Daugavpils,4730
جامعة نصير الدين الطوسي للتكنولوجيا,8698
Strathcona-Tweedsmuir School,733
Transilvania University of Brașov,19
كلية هارفرد للأعمال,1821
Memphis Catholic High School,269
"Chaparral High School (Paradise, Nevada)",2980
马德里理工大学,37141
Korah Collegiate & Vocational School,873
"Nalanda College, Colombo",5152
Технический университет Эйндховена,6426
Mercersburg Academy,77
H. L. Bourgeois High School,1322
جامعة ساليرنو,37083
"Sacred Heart Girls High School, Thalassery",1182
ブダペシュト・コルヴィヌス大学,13341
