http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
ألكاوديتي,11495
أمفروسيييفكا,19760
Chitose,95070
Монтальто-Уффуго,15984
钱帕蒂亚,22873
Encinas Reales,2220
Lanivtsi,9433
Elez Han,9947
迭戈德阿爾馬格羅,16351
Santo Domingo (Ecuador),517288
Jiexiu,412310
Chitrakoot Dham,43687
Heriok,2303
興義市,702725
Los Vilos,18166
Yumbo,106897
Bahuwa,9959
San Francisco (Argentine),52903
貢薩萊斯卡坦,177174
Gularia Bhindara,6126
Myrnohrad,54925
小豆島町,15625
Villamanrique de la Condesa,4011
Сагрис (Сан-Паулу),2476
Shiggaon,25120
Landaura,30006
بندر خمير,10729
Dhandhuka,31010
Tursunzoda,38332
安顺市,2464926
Malekan,24910
靖江市,628437
Vikasnagar,12218
غوغد,6317
Sewalkhas,17294
Khairpur Tamiwali,299541
Biate,1962
Khusrupur,11624
جايزان,1869
Ghiraur,11737
Roșiorii de Vede,25749
Brusque (Santa Catarina),107533
Дестгерд,15744
普拉塔普萨桑,12797
Hindupur,173983
Tirupur,881861
Биджабиджан,4484
Sadaura,13767
江北町,9003
Bilsanda,12723
Valle del Zalabí,2594
千歳市,93866
ロッビオ,5822
Ramyan,12432
Гюмюшан,14952
إميزو (توياما),89764
Varnam-e Khvast,17323
Rishikesh,102025
Témara,312596
Tari Mangal,3051
新亞沃里夫西克,31308
Malavalli,37809
Curanilahue,30447
Gopamau,11185
Safidon,114891
Caeté,47789
Runiz,6500
Zibashahr,8567
Taixing,1183807
Rudrapur (Uttarakhand),1322102
إليز هان,10361
Dhupguri,42584
شونان (ياماغوتشي),151197
立川市,187942
Pipili,15511
El Grullo,23460
Gwangmyeong,363678
Cachi,2064
Geniczesk,25802
Qal'eh-ye Tol,7604
Kumagaya,209703
Maheshtala,454730
Jam Jodhpur,23668
Gopalpur,6912
Kuhsar,7403
Marhanets,50093
Waldshut-Tiengen,20666
Сефидшехр,4863
"Moth, Uttar Pradesh",12562
Babiyal,19651
Jejuri,11395
Ambala Sadar,99283
奧拉瓦里亞,108147
El Harrach,54000
Посо-Альмонте,11481
Ayagawa,27603
Charibatia,5754
Mahemdavad,34370
Sardrud,23592
Koriukiwka,14048
Chibi (Hubei),566882
Šuto Orizari,18983
Лопера,3859
Hualien (stad),115586
Tangerang Selatan,1444457
Yangchun,857771
凯瓦迪耶,12905
Rafah,166632
"Matamoros, Coahuila",52766
San Justo (Buenos Aires),107626
卡伊瓦诺,37823
دزيرزهينسك (دونيتسكا),38863
رباط (إيران),1018
Kamianka-Buzka,10201
Angelim,10820
Khatiguda,6557
塔拉德,26028
"Ituzaingó, Corrientes",21227
Rura,15424
Komeshcheh,4582
Ichchhapor,8508
Hodal,75253
Chibougamau,7100
グアティレ,209242
Coacalco de Berriozábal,294762
Nanjō,41676
Mokama,96134
Kot Kapura,98241
Satigachha,7815
Morella,2880
ウドギル,92360
Ōtsu,335567
小豆島町,15869
Aqqala,24329
Lora del Río,18056
Chattahoochee Hills,2370
Adjohoun,55490
帕拉特迪,8850
فيلامارتن,12964
Amarpur,9913
キーヴェルツィ,14961
Avdiïvka,36787
Šuto Orizari,17256
Tsuno (Kōchi),6773
Bidjabidjan,4344
Sancoale,15785
Chhaya,42447
Villa del Río,7483
Schlieben,2951
Ilamatlán,14574
Сяньнин,2922206
Chaumuhan,13735
Puerto Píritu,11818
Malkangiri,32801
洞海市,170
Antaliya,5009
Labbaikudikadu,12170
厚木市,226476
Komaki,133871
هاجرستاون,38623
坦托尤卡,21456
Surmaq,3236
Ipiales,127754
Hafar Al-Batin,291179
Betim,387975
Новоднестровск,11037
Пуэнте-Альто,493694
Beitun (Xinjiang),79367
Kawardha,42314
Salamanca,219627
Prantij,20851
Bhowali,4976
María Elena,4154
Glória do Goitá,27020
Guadalcázar,1678
巴达尔萨,10796
Colonelganj,26994
Capilla de Guadalupe (Jalisco),26905
Viacha,41371
Święta Katarzyna (miejscowość w Egipcie),4561
Noorpur,38558
Santiago Tuxtla,15627
Sausar,24617
Katras,56540
Jayezan,1927
Bandia (miasto),9140
Ashikaga (Tochigi),154126
Wakayama,358385
Lunkaransar,22386
Villa Carlos Paz,73018
ウダイプル,495725
"Onoe, Aomori",10528
"Kitahiroshima, Hokkaido",65882
Shizuoka,791909
Tangerang Selatan,1287138
Vapi INA,21371
Mangalvedhe,21795
Blitar,142461
Hōfu,121356
贾夫拉巴德,23406
G.C.F Jabalpur,13603
Malyn,25020
Wangoi,8322
Radhakund,5299
Truskawez,33002
Ōmuta,126449
Khawhai,2564
Botou (Hebei),512462
Khariar,14797
Dunajiwzi,17563
Kashinagara,9065
Catió,9621
Bairabi,3605
Huejuquilla el Alto,8379
Carmelo (Uruguay),18496
Такамацу,417753
Halvad,24262
Tuljapur,32782
Bhanvad,21871
أرسنجان,18610
Sanmu,53310
巴瓦尼凯拉,16947
Khedbrahma,23160
"Plessisville, Quebec",6333
Chivacoa,61927
Novoiavorivsk,30809
Aïn Draham,34670
Negur,4112
Treguaco,5689
皮普利亚马恩迪,12845
Salaya,28675
Pudukulam,1197
Caeté,42531
Nowshehra,8632
Jenin,39713
شيبوغامو (كيبك),8170
阿赖奥西斯,40567
Avola (gemeente),30034
Zhodino,57387
Kōhoku (Saga),8436
Rushan,632890
Sarajevo Oriental,81341
Астане,7236
久西科赫纳,15328
Chhaprabhatha,23077
Visnagar,67574
南阿蘇村,10699
Gohand,6177
Maheshtala,413595
Huangshi,2351420
Кудамацу,58731
"Xingyi, Guizhou",718294
宁格托乌孔格,9802
Красилов,21118
Huejúcar,5574
Gakulnagar,9557
Nagano,409079
ヴィーシュホロド,23970
Bélmez de la Moraleda,1865
Villamanrique de la Condesa,4321
Arxan,66978
Gorontalo (city),187731
马德望,137530
Дженин,36126
Mahroni,9502
Char Brahmanagar,4831
Barkhera,9691
香取市,91033
Такаока,167486
Bologna,426697
Наха,306930
Milak,24483
Бабахейдар,10882
巴列德尔萨拉维,2481
Basaria,3765
Fatehgarh Sahib,49117
Mollasani,12981
Camaçari,301959
Dhaunsar,9228
恰普劳利,18820
Chaklasi,37335
Ixtapaluca,536588
Ramallah,26176
Барика,115719
Deoranian,18016
Joshipura,29806
Narauli,15723
Kanazawa,445683
Narkanda,2505
Sagres (São Paulo),2034
Salas de los Infantes,2170
Barbil,49839
Đồng Hới,169
カマサリ,267689
Abbasabad (miasto),11104
达沃尔利姆,11177
會津若松市,124580
قلعة خواجة,810
Hagerstown (Maryland),36871
Bilimora,58826
Фишаменд,4284
ألكوركون,178375
Sirik,3930
Jhabrera,10298
Aweil,35350
Ashta,57490
Plessisville (ville),6522
Léogâne,94306
Mang‘it,28630
"Franklin, Milwaukee County, Wisconsin",33998
Dorcze Pijaz,50806
Беруни (город),47140
Modelo,3557
Pachperwa,14475
Rastan,37850
Гангапур,421131
Hłobyne,9945
Abuzeydabad,4648
شادي كوف,3083
"Kurume, Fukuoka",338125
Gomishan,15987
Paine (Chili),46769
Вакаяма (город),370884
"Viraval, Navsari",7717
Gugan,9985
Huasco,9530
Deesa,102893
Menifee (Kalifornia),81619
Udaipura,13634
Sewastopol,411802
Daugi,1423
Abdan,6170
Fatehganj Pashchimi,19882
Abrama,19618
Loudi,3577392
Chacabuco,44566
خرم أباد (مازندران),8990
柳博京,25576
Añora,1503
نافتش,3633
Abrisham,17835
"Modelo, Santa Catarina",3351
Bandar-e Gaz,17951
Casablanca (Cile),22652
Honiara,65130
Agrestina,24658
El Quisco,12302
Лампа (Чили),41052
Daveluyville,952
Kasganj,101282
كاسابلانكا (تشيلي),25553
أوموتا (فوكوكا),112755
塔拉贾,24718
Piplya Mandi,13760
Chalthan,13098
Imigrante,2881
Šuto Orizari Municipality,16693
Karjan,125788
Ratia,39986
Queula,5026
Mito,242378
Narsingpura,7609
Siwani,17551
Az-Zahran,146703
Takestan,121811
Okayama,692950
烏代浦,492281
Ghatampur,34032
Eslamabad-e Gharb,96271
Nezahualcóyotl (Stadt),1188465
貝爾加拉 (烏拉圭),4107
Collipulli,21379
Kome,2406
أوميتاما (إيباراكي),52427
凯拉卡特,13931
Charata,28380
إواكوني (ياماغوتشي),140167
波索阿爾蒙特,11640
Minamiboso,41894
Rampur Maniharan,27432
Pol-e Sefid,9453
مصيري,5786
Raichur,241535
ハイファ,258246
多加达,2806
行方市,37536
花蓮市,117382
Thaltej,38673
هنديجان,22898
Kuchaman City,64924
Lebedine,26376
博里亚维,43521
Amatepec,28626
Barika,105178
Bansdih,19697
カムファ,211359
Gopalpur,5857
Obejo,1838
Bakhshayesh,5721
Naha,361475
萨姆塔尔,19789
维卡斯纳加尔,11480
"Kalol, Gandhinagar",131163
Ōshika,1382
"Pokrov, Dnipropetrovsk Oblast",42431
Barika,98253
Ōtsu,304278
Qeshm (ville),28053
Chandaur,13132
Takaoka (Toyama),183528
Nowdan,2658
Aweil,30433
Saraidhela,21526
Saint-Ours (Québec),1665
Mangrol,55221
Khawhai,2618
Ambala Cantonment,57537
里夏巴扎尔,10864
Mohammadiyeh,39699
خوردا,132898
San Francisco (Córdoba),58421
Collipulli,22033
Joaçaba,23916
Chivilcoy,52128
Villaharta,711
Surshjan,11936
Imigrante,3220
Kailashpur,10326
Quintero,24748
Salas de los Infantes,2231
خوراسغان,98706
Fischamend,4310
Pozo Almonte,12980
Абдан,6471
恰莫利戈佩斯赫瓦尔,89340
戈羅多克 (利維夫州),14580
Dezab,10459
Penco,44093
Ciudad de Río Tercero,46927
Chibougamau,7570
Forbesganj,52184
Sairang,4917
Skole,6817
Pilar (Buenos Aires),1
Kyōtamba,18500
Mul (India),24616
"Saint-Colomban, Quebec",11285
خاروانا,1502
بوعرفة (المغرب),22222
Dasna,24523
木更津市,128050
Дейер,17357
Jhinjhak,41297
Newai,239364
Bamun Sualkuchi,7416
Metepec (estado de México),193291
Khatauli Rural,11029
Mehr,5559
Hasanpur,51354
伊奇奇哈波尔,7928
宇部市,189754
Hussainabad,36310
Siem Reap,236785
Choghadak,16252
Marjayoun,3097
حفر الباطن,279471
Quintero,23218
Osaki (Miyagi),131853
Ituzaingó (Corrientes),19933
澄迈县,529647
Uffenheim,6810
Shalamzar,7489
Amraudha,8520
Koratty,17610
Channapatna,65194
Forbesganj,51945
Bhagatdih,35433
Tiruppur,873406
贝古马巴德布达纳,16027
Lalkuan,6025
Chibi (China),545067
Chandili,17303
纳姆博尔,19620
Днепрорудное,18268
Tonaya,5393
Aambaliyasan,7199
米歇尔恩,8538
Siem Riep (ciudad),238957
Lisar,2708
Tiltil,14065
比洛皮利亞,18422
بريفوست، كيبك,11395
Lozova (Ucraina),72895
Losowa,68995
"Khorramabad, Mazandaran",9140
Kailudih,8998
Khairabad (Sitapur),52423
Sertânia,36204
Вышгород (Украина),24316
Nagano,371935
Jainagar,31029
"Reti, Pakistan",19696
Satigachha,8224
Ramol,24637
Imizu,94416
Kumagaya,181215
科拉蒂,15788
Ashikaga (Tochigi),144550
Andacollo (Chili),10501
Chirkunda,51035
Bhowrah,47508
Ramallah,24329
كمشجه,5067
Гуляйполе,12727
"Yatsushiro, Kumamoto",139553
Titron,10235
塔德帕特里,102944
Гуатире,184949
Rastane,37808
贝洛尼亚,21231
カズルー・ルーダ,7347
نظر كهريزي,1332
Dharoti Khurd,33719
"Offa, Kwara",89733
Rishikesh,97518
Ixtapaluca,440404
Ananindeua,491350
"Dashtak, Chaharmahal and Bakhtiari",4293
Peumo,15568
Gohand,7214
Bhagwant Nagar,30074
Konan (Kōchi),35268
"Mitoyo, Kagawa",67188
مينجورا,207253
Khawzawl,8284
El Calafate,21487
Dhanera,35238
邓州市,1442170
古拉里亚宾达拉,6239
通化市,2310556
卡高尔,46115
Khairabad (Sitapur),50523
Beniganj,8913
行田市,74141
Morella,3050
Franklin (Wisconsin),34301
Bachhrawan,13226
"Мога (город, Индия)",157606
法罗奥克纳加尔,33255
特拉霍穆爾科,30023
Pervomaïsk (oblast de Louhansk),43292
守口市,163340
Meymah,5640
Kosad,27243
Naraingarh,34683
González Catán,167385
卡拉耶特,17610
德罗尔,23956
"Gol Tappeh, Hamadan",1743
ロタ (チリ),50101
Raniwara,15904
乳山市,544993
伊皮亞萊斯,130792
Ниёдогава,8049
Lamjaotongba,9370
Dungamal,5940
Wakayama,350733
San Antonio de Padua,38177
高松市,463044
Smarhon,37541
Barwadih,7748
صفرو,60349
波拉马尔,92268
Chivacoa,58157
El Calafate,23286
Ботоу,528853
Sohna,24171
木曽町,12812
Daye,750226
布德沃爾,123710
Nanpara,44359
Bolekhiv,21063
萨尔凯杰-奥卡夫,24166
Удайпур,406696
"Integrated urban water management in Medellín, Colombia",2366405
Aïn Abid,31863
Sienne,46617
Abidjan,4799346
洛塔 (智利),49100
Davorlim,11740
Ramallah,29438
拉姆巴,16722
Kapadvanj,63282
つるぎ町,11595
"Ij, Iran",6281
Siguatepeque,84122
卡斯希纳加拉,9529
Shahganj,30018
邁爾季歐雲,2921
سان خوستو (بوينس آيرس),118345
Hindupur,148096
Huajuapan de León,44890
Cauquenes (ville),39793
班斯迪,21858
Лагуат,125661
Kurume,289474
Ranipur (Uttar Pradesh),19561
Siena,49545
Salatiga,191794
Fischamend,4406
Kumarghat,14211
Chongzhou,616009
"Fukude, Shizuoka",19085
乳山市,603593
Симоносеки,303480
Hōfu,104615
Амран (город),93463
Katra (dystrykt Shahjahanpur),40350
الحراش,48730
昆贾班,6539
阿卡里瓜,196214
Балангир,100075
Gohana,61280
Tindwari,9085
Эскада (Пернамбуку),70728
Okayama (Okayama),733027
Khowai,20459
Curacautín,16315
Ab Bar,5281
Tomatlán,39709
阿勞科 (智利),36432
"Brusque, Santa Catarina",115360
Satigachha,7468
Madhogarh,50858
Bouarfa (Maroc),21319
Комаки,152025
Pathardih,37409
Tuxcueca,5558
道恩萨尔,10287
Araioses,35836
Saiyad Raja,16632
Surubim,54749
San Justo (Buenos Aires),101273
Rozwe,5152
Vergara (Uruguay),3688
Vijayapuri (North),20737
Роббьо,6288
"Atsugi, Kanagawa",213636
Belpahar,32324
Kumarghat,16164
Dehri,140430
Gauri Bazar,6519
Pervomajs'k (Oblast' di Mykolaïv),70335
Ipiales,134256
Surubim,61290
Mingora,214892
Guotvand,22332
Efzar,2449
بخشايش,5323
乔根德拉纳加尔,31147
Tachikawa,176309
Sisakht,5898
Bagh-e Bahadoran,8723
Tetyjów,14357
South Dumdum,374432
Collipulli,22527
Chorvad,21052
Herning,46882
沃利諾戈爾斯克,23559
El Hajeb (stad),28324
Rezina,12746
رزوه (إيران),5587
هيجيان,729541
Vijayraghavgarh,7046
Guadalcázar (Córdoba),1687
Mahrajganj,27177
穆克拉姆普尔凯马,11558
Los Vilos,18099
عشق أباد (خراسان),1509
Агрестина,24452
Naqneh,7929
"Darvishabad, Khuzestan",12763
Santa Coloma de Gramanet,115161
Bode (Nepal),6101
السوقر,73927
Roşiori de Vede,26131
Almodóvar del Río,7129
Brjanka,47089
Birganj,226027
Ghatampur,34486
Dinapur Cantonment,29896
أداموز,4678
Camiri,36194
Upleta,76458
サンタデール,11203
"Badi, Raisen",18680
Dadhapatna,4327
Arauco,34554
Lasht-e Nesha,9662
Deorikalan,3789
Mekliganj,11633
Narkatiaganj,45869
Hola Prystan,16911
Бендер-Гез,17249
Calapor,10790
Casablanca (Chile),24313
Venturosa,17947
Koshksaray,8155
Linghai,686658
Ла-Кампана (Испания),5067
Sarigam INA,497
Dingzhou,1214749
Loudi,4205522
Khongman,4973
Siguatepeque,72160
Ube,179299
Puerto Píritu,10285
ムッジョ,21913
Muggiò,24506
Siahkal,15715
Cenxi,927767
Lora de Estepa,774
Yatsushiro,135325
Sarí,269074
Muktsar,124079
巴尔比尔,46539
Namin,10636
Asalem,3331
Hariharpur,10190
"Opala, Democratic Republic of the Congo",15220
Baghestan,57593
馬西里,5605
克羅列韋茨,25023
Carapur,5169
San Cristóbal de la Barranca,2777
Amami,44772
Gopamau,12717
"Ube, Yamaguchi",193065
Radechiw,9208
Vahdattiyeh,10664
Eppelheim,13328
Jharia,90277
جونز كريك,73619
楚雄市,454840
Gangaghat,93111
Dharuhera,44396
Minamibōsō,42192
Pilar (Buenos Aires),1
دييغو دي الماجرو (تشيلي),15417
أبغرم (إيران),4733
Penco,41811
Ōtsu,335769
Niederstotzingen,5510
Kundgol,17882
Сува-Река,65021
Karanjia,19609
根河市,97688
Amatepec,31051
Azizpur,9966
劍町,10873
Jevargi,19702
筑波未來市,45715
Yenín,40246
Genhe,122752
廷巴乌巴,58376
拉法市,171523
Alcaudete,11722
Clement Town,20866
Tairadate,2035
定州市,1301660
Kolar,146762
麻生區,167861
El Grullo,23113
Achalpur,580692
Bilopillia,18156
"Mapimí, Durango",5257
Sarsawan,18169
南島原市,50613
Montemorelos,54946
Viamão,259354
Bawal,30583
Cupcini,9264
Tabacundo,6049
Chivilcoy,54101
Касабланка (Чили),25496
Chamoli Gopeshwar,97105
Machados,11426
Kashinagara,10337
Sorong (city),236688
Coacalco de Berriozábal,274189
Makundapur,4762
Toretsk,32266
Graneros,30247
Zogbodomey,73154
Pandavapura,20137
Чуст,68033
钱迪利,17488
Tocuyito (Venezuela),183031
Shergarh (Uttar Pradesh),13956
Rudra Prayag,2139
Lilong (Thoubal),19348
Leova,12010
Sadabad,30053
Upleta,80562
Varde,13171
小田原市,202530
Uffenheim,6107
Ramgarh Cantonment,951851
إنيرهودار,48487
Tumaco,215048
Хафар-эль-Батин,285375
Bidhuna,23872
Fatehganj Purvi,6903
Gaza,531380
Oppeano,8817
コーラール,149782
Kiwerce,12641
Harij,20188
Treguaco,4673
St. Anthony (Minnesota),9040
Shahkot,25506
阿比让,4516483
Gotvand,19887
Aizuwakamatsu,112598
哈里哈尔普尔,8841
Bhawana,73955
"Princeville, Quebec",5886
埃斯卡达,63095
Аньшунь,2464562
Итайтуба,98321
الخليل,213434
Jejuri,13317
Банджарбару,225336
Rani (Rajasthan),14352
Olavarría,103870
多拉,8173
Molina (Chile),41383
Beled Hawo,81190
芒格劳尔,88318
Borf Anbar,4735
Yangchun,828255
ペタレ,385073
萨达巴德,29279
"Parola, Maharashtra",33576
Obejo,1819
هلوبيني,10466
Gandevi,14906
سيوداد لوبيز ماتيوس,504310
Panipat Taraf Rajputan,19186
تربة (مدينة),33259
نوبيوكا (ميازاكي),124597
كهريزك,9355
Laghouat,142454
Suzano,317934
قشم (إيران),32726
洛佐瓦,72078
Nadigaon,17574
Temara,325976
Dhahran,130176
Sankari,29614
Rushan,636766
Котли,21072
法泰赫甘杰帕斯赫奇米,18244
Dataganj,23401
卡尔恩普拉耶格,7096
Tondi Fatehpur,9166
Takamatsu,444629
لبوئي,5416
Chas,158253
Menifee,70978
Tonghua,2226382
考克內斯,35709
曼甘,4800
Abarkuh,19333
Benacazón,6348
Fermont,2715
Эппельхайм,13315
Baba Heydar,11580
Pilar (Buenos Aires),1
سردرود,27959
Chacabuco (Buenos Aires),39751
Phaphund,17124
Mulchén,28580
El Calafate,22057
Ishigaki,54347
恩基米,3463
"Moga, Punjab",153610
Элохочитлан-де-Флорес-Магон (муниципалитет),4239
Mapimí,5293
Sailu,44678
Kodinar,37831
Gyōda,78894
Laghouat,135142
Đồng Hới,179
Gharaunda,32889
Amacueca,5767
Shimonoseki,299203
Youjnooukraïnsk,38998
San Francisco (miasto w Argentynie),60835
Bavla,44885
Godhar,8997
Imizu,81627
Pipiganj,12025
Shūnan,136645
Gotwand,22397
Джамби (город),501366
弗雷埃兰德贡杰,16077
Duyun,490596
Ube,176768
阿斯萨恩德,23000
Jakhal Mandi,7144
Santiago Papasquiaro,28956
Sankarankoil,74506
Khera Khurd,8989
モヒリーウ・ポジーリシキー,29727
ألفند,71390
Khagrabari,20126
Фарафангана,22574
Sandi,25089
纳尔卡恩达,2911
Acatic,18773
Staré Hobzí,581
Guatire,208032
Tumaco,187482
高州市,1302122
Angarpathar,7348
Ōmuta (Fukuoka),124008
Deoranian,18522
Chorvad,19503
Kitahiroshima,61675
香取市,80876
达姆纳加尔,17654
Dhanauha,6709
رام الله,29964
"Baghin, Iran",7157
Starokostiantyniv,38303
مارهانيتس,45257
Gohana,63942
"Mud, Iran",2309
Namegata (Ibaraki),33455
كاواردا,50173
Nadigaon,16520
Kyōtamba,17085
Sunam,130156
Curanilahue,30845
Tizapán el Alto,20997
Kodyma (miasto),9112
Sadaura,12748
Mudalgi,36511
Bhadohi,408244
Mardsch Uyun,3027
Vijayraghavgarh,7249
Lilong (Imphal West),11363
ラートゥール,386695
Villaharta,737
Allapur,20995
Мейме,5620
Mitoyo,69001
Azizpur,9563
Ningthoukhong,9948
لا تابلادا (مدينة),82689
ماتسوا (شيمانه),175615
Beresan (Stadt),16717
水戶市,290903
"Tikri, Uttar Pradesh",14247
Obra (Indie),189507
"Kirovsk, Luhansk Oblast",31730
Bakiabad,4387
弗雷德里库-韦斯特帕伦,24862
سراب (أذربيجان الشرقية),44246
Dniprorudne,20030
Молина (Чили),39271
Ajhuwa,15411
Kalol INA,137536
Jam Jodhpur,23693
Maebashi,318693
Montizón,1736
Phusro,87297
Torezk,34094
卡洛斯帕斯鎮,79000
Maudaha,44695
卡斯希拉姆普尔,8929
Río Segundo (ciudad),24321
Tokushima (stad),238550
Đồng Hới,149
Sammu,47936
Municipio de La Huerta (Jalisco),17844
Tamazula de Victoria,2190
Hemmatabad,1152
دروزهكيفكا (فولغوغراد),66341
Nkimi,3376
Ube,202665
苏克拉利,9759
Dhahran,138127
كلور (إيران),2614
Chitrakoot Dham,52347
Okha Port,20278
Mahaban,8825
Laksar,16912
Nezahualcóyotl (ville),1030580
Sanmu (Chiba),61718
Mangʻit,28544
马昆达普尔,5392
Pathardi,21662
延岡市,120533
Жидачов,11123
Albanchez de Mágina,1238
Mixtlán,3439
El Hajeb,28502
Deoli,14309
Basudebpur,218286
Fuente Obejuna,4556
Latur,373668
North Dumdum,203302
Nili (Afghanistan),16351
Farrukhnagar,134764
瓦尔萨德,841
Raichur,210751
Kolvanaq,5572
作手村,3500
باريامان,80242
Tepeji,71812
鲁德拉普拉耶格,2235
Sufian,8507
布吕斯克 (圣卡塔琳娜州),122896
Mohylów Podolski,27528
Barf Anbar,4742
Vastral,38979
سردشت (هرمزغان),964
Rura,14470
Modelo (Santa Catarina),3779
Baheri,154686
Mughalsarai Railway Settlement,24713
テルマス・デ・リオ・オンド,27711
Pilar,1
Jambusar,42791
لشت نشا,10632
Roșiori de Vede,26449
Stebnyk,19273
Istočno Sarajevo,73166
"Nandgaon, Uttar Pradesh",10694
Aalborg,108705
贝拉加恰,4345
كاريز (إيران),9364
恰尔坦,13508
Kolowr,2167
Nandgaon (Uttar Pradesh),10802
Habibpur,10423
San Justo (Buenos Aires),98825
Arjomand,1838
比尼卡,15547
Sadabad,31077
Druzhkivka,66192
Tlajomulco de Zúñiga,29456
Naka (Tokushima),12600
Cruz (Ceará),20901
洪格乌恩德,19183
Suchindram,12101
شيلان فيجو (تشيلي),26085
Tanda (Rampur),41360
Mingora,219002
Rožyšče,13685
Santiago Papasquiaro,24406
جنرال روكا، ريو نيغرو (مدينة),87090
Jilotlán de los Dolores,8285
خاوران (فارس),5014
Zagheh,3067
Komaki,161457
莫汉普尔莫哈马德普尔,10389
Qanavat,7711
Quepem,14733
Sari (Stadt),274446
Fischamend,4108
南唐格朗,1423944
Beauceville,6211
Sabroom,5750
Khariar,14365
Dalkhola,69432
Hagerstown (Maryland),35510
Hadiszahr,29352
Adalaj,10596
Mudalgi,45243
Hafar Al-Batin,265111
Mangrulpir,26234
Barkhera,9854
Radekhiv,10194
North Kawnpui,5780
"Gopalpur, Nadia",5972
Molakalmuru,13817
Nantan,32785
巴尔德佩尼亚斯德海恩,4323
Lota,44109
Barkot,17122
"Prévost, Quebec",10953
Camaçari,300927
Maner,39050
库拉萨,30986
Khamaria,28971
Chhatral INA,1607
Baloda Bazar,120691
Hafr al-Batin,267102
Chhaprabhatha,22753
Арасояба,17199
Tottori,190511
Guriahati,17979
Makhdumpur,26887
خمام,17929
Municipio de Šuto Orizari,19282
Radowisz,14291
Battambang,162863
Río Tercero (ville),46071
卡梅洛 (烏拉圭),18278
Kurume,331390
Ambala Cantonment,61573
Đeneral Janković,9673
Cẩm Phả,216301
Huljajpole,15433
漣源市,1097186
蘭訥斯,63373
克拉斯諾佩列科普斯克,27185
Karachiya,8096
Pol-e Sefid,8676
Bagepalli,22738
Vijayapura,31481
Sabroom,5824
Añora,1605
"Shirvan, Iran",85542
Honiara,65199
Barwadih,7324
Musafirkhana,7885
Rezina,13479
Frederico Westphalen,29081
Aïn Abid,27938
Gunnaur,23264
أواجيق,1718
Лос-Вилос,16957
Efzar,2153
Tsukuba (Ibaraki),202944
苏雷恩德拉纳加尔杜德雷杰,143527
Титосе,101182
نمين,10445
今治市,169017
Омута,118313
General Roca,86093
بليتار,128994
Sankhol,5235
Skole,6357
Khrystynivka,17853
شريف أباد,8876
科特努尔,22187
Saint Anthony (Minnesota),7953
Sagwara,43476
Dataganj,19917
Arvandkenar,9242
沙拉姆扎爾,6881
Tres Arroyos,45977
Labbaikudikadu,12174
"Darian, Iran",9031
Tunuyán,44700
Guirim,5785
Kakhovka,35211
Sailu,46361
Kalejbar,9586
