http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/numberOfSeasons
2 Stupid Dogs,2
Happy Tree Friends,5
Take Me Out (Irish game show),4
BoJack Horseman,3
Arrest & Trial,3
Brutti e cattivi,2
House of Mouse,3
Harvey Beaks,2
Mobbed,1
Sabrina's Secret Life,1
The Bachelor,20
フィニアスとファーブ,4
The Cramp Twins,4
الفرقة السرية لمحاربة الأشرار,3
TUFF Puppy,3
عرض لوني تونز,2
樂一通超能特攻隊,2
Best Time Ever with Neil Patrick Harris,1
She-Ra: A Princesa do Poder,2
In Justice,1
Ужасные приключения Билли и Мэнди,6
Sky King,4
ブランディ アンド Mr.ウィスカーズ,2
星際大戰：複製人之戰 (2003年電視影集),3
Vixen (webserie),2
The Ren & Stimpy Show,5
Avatar: la leyenda de Aang,3
Grimmy,2
小小露露秀,3
Sheep in the Big City,2
Teenage Fairytale Dropouts,1
Las nuevas aventuras del Zorro,1
Stargate Infinity,1
House of Mouse - Il Topoclub,3
La vida y obra de Juniper Lee,3
Jumanji (série télévisée d'animation),3
The Wendy Williams Show,8
Der Tick,3
Kenny's World,1
Siamo quelli di Beverly Hills,1
Johnny Bravo,4
Top Gear USA,6
Las aventuras de Jackie Chan,5
La squadra del tempo,2
Shangri-La Plaza (TV pilot),1
The Emperor's New School,2
Jackie Chan Adventures,5
Danny Fantôme,3
Evil Con Carne,2
Mr. Pickles,2
Elegidos (La música en tus manos),2
T.U.F.F. Puppy,3
Mission Hill,1
"Бэтмен (мультсериал, 1992)",2
Człowiek-Pająk i jego niezwykli przyjaciele,3
Cosmic Quantum Ray,1
Justice League (serie animata),2
ブンブン・マギー,1
Pinky and the Brain,4
Super Mario World TV Show,1
W tę i nazad,2
De Grimmige Avonturen van Billy en Mandy,6
O Máskara (desenho animado),3
Batman: The Brave and the Bold,3
DuckTales,4
Pinky y Cerebro,4
Xiaolin Showdown,3
The Face (Australian TV series),1
Fish Hooks,3
Дак Доджерс,3
Dragon Booster,3
Я — горностай,5
RWBY,3
Adventures of Sonic the Hedgehog,1
The Voice (États-Unis),11
Mighty Max,2
Доктор Кац,6
American Idol,14
We Bare Bears,2
Danny Phantom,3
Invasion America,1
Aqua Teen Hunger Force,11
"Batman (série télévisée d'animation, 1997)",2
Новая школа императора,2
"Sagwa, the Chinese Siamese Cat",1
Garfield et ses amis,7
Sunset Tan,2
"China, IL",3
Match of the Day,49
Tutti in scena con Melody,1
Le Croque-monstres Show,1
Pinky and the Brain,4
Due draghi per una cintura nera,2
الفسحة (مسلسل تلفزيوني),6
RocKwiz,14
Star Butterfly,2
Happy Tree Friends,5
The Problem Solverz,2
X-Men: Es geht weiter,4
"Мстители, общий сбор!",3
Kryptonim: Klan na drzewie,6
Dirty Sanchez (TV series),4
La Petite Boutique (série télévisée d'animation),1
The Great Australian Bake Off,2
宇宙奇兵,1
College Bowl,13
مغامرات باسل,2
Gli strani misteri di Archie,1
Tron - La serie,1
Bureau of Alien Detectors,1
La leggenda di Tarzan,2
Galáxia Wander,2
Tiny Toon Adventures,3
Die Garde der Löwen,1
Bill Nye the Science Guy,5
Airtel Super Singer,5
The Jeff Probst Show,1
"Liebling, ich habe die Kinder geschrumpft (Fernsehserie)",3
Animaniacs,5
Age of Love (TV series),1
Animaniacs,5
In einem Land vor unserer Zeit (Zeichentrickserie),1
Polizeibericht (Fernsehserie),17
The Tick,3
Ola i jej zoo,2
Uncle Grandpa,4
The Land of Gorch,1
SpongeBob Kanciastoporty,11
Dwa głupie psy,2
Junior combinaguai,2
Studio 3,7
7K,2
Doug,7
變身國王上學記,2
Impractical Jokers,5
The Rocky and Bullwinkle Show,5
Battle of the Blades,4
Ugly Americans (TV series),2
Space Ghost Coast to Coast,11
Saber Rider,1
Harvey Beaks,2
Batman: The Brave and the Bold,3
Die Biber Brüder,4
Mighty Morphin Power Rangers,1
Darkwing Duck,3
Super President,1
Thank God You're Here,4
George della giungla (serie televisiva 2007),2
Super President,1
Звёздная принцесса и силы зла,2
America's Court with Judge Ross,7
"Batman (série télévisée d'animation, 1992)",4
It's On with Alexa Chung,2
Совершенный Человек-паук,4
スポンジ・ボブ,11
Mighty Max (TV series),2
Pupilek,2
Paisean Faisean,5
Code Monkeys,2
Courage the Cowardly Dog,4
My Gym Partner's a Monkey,4
Danny Phantom,3
Bob's Burgers,7
ダグ (アニメ),7
Spider-Man (1994 TV series),5
Hi Hi Puffy AmiYumi (série animada),3
The Powerpuff Girls,6
Haunted Highway,2
ToddWorld,2
Match of the Day,51
The Tick: The Animated Series,3
Бэтмен будущего,3
クラス・オブ・ミュージック!,2
Duck Dodgers (série animada),3
Extreme dinosaurs,1
Rocket Power,4
The Incredible Hulk (1996 TV series),2
Легион Супергероев (сериал),2
Sabrina Animated Series,1
"Courage, le chien froussard",4
Professor Balthazar,4
Ultimate Spider-Man (série télévisée d'animation),4
Potworne pomidory,2
Capitan Planet e i Planeteers,6
Spider-Man (serial animowany 1994),5
بسبسبوبي,4
Rocko's Modern Life,4
Clarence (série animada),2
音速小子 (動畫),2
SOS Fantômes (série télévisée d'animation),7
Shazzan,1
探險時光,7
The Mighty B!,2
Bharat Ki Shaan: Singing Star,3
Juniper Lee,3
Der ultimative Spider-Man (Fernsehserie),4
Batman of the Future,3
Super Bizz,2
Superman (animatieserie 1988),1
Dungeons & Dragons (televisieserie),3
Kick Chiapposky - Aspirante stuntman,2
キャプテン・プラネット,6
Трансформеры: Роботы под прикрытием,3
Rocket Power,4
Candid Camera,39
Catscratch,1
Los pies mágicos de Franny,4
Nom de code : Kids Next Door,6
Sanjay and Craig,3
The Oblongs,2
الحارس الشجاع,2
Shimmer & Shine,2
Le avventure di Jackie Chan,5
ガール・ミーツ・ワールド,3
Excused,2
Il famoso Jett Jackson,3
Spectacular Spider-Man,2
The Amanda Show,3
La voz Colombia,2
L'ispettore Gadget,2
The Goode Family,1
The Oprah Winfrey Show,24
"Tom et Jerry Show (série télévisée d'animation, 2014)",2
Static Shock,4
Doug Zabawny,3
The Legend of Zelda (serie de televisión),1
Marco e Star contro le forze del male,2
Global guts,4
The Voice of Azerbaijan,1
The Gary Coleman Show,1
She-Ra: The Princess of the Power,2
ドクター・オズ・ショー,8
Invasor Zim,2
