http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
布阿里基島,1059
Haida Gwaii,4491
Тутуила,59666
烏卡拉島,16003
São Nicolau,12120
Islas Amami,111332
Abaiang,5967
塞爾夫島 (毛里裘斯),0
アンホルト島,164
Selvagem Grande,2
Källö-Knippla,330
Île Socorro,45
Manitoulin,12650
Kihnu (wyspa),494
伊斯帕尼奥拉岛,23426280
Galinhas (Guiné-Bissau),1413
Fernando de Noronha,3256
Takaroa,744
Ilha Winter,0
Darnley Island,392
Klein-Cornwallis,0
小迪门岛,0
Capraia Isola,410
Grande Caimão,64129
火地群岛,130101
卡巴拉島,708
ボルネオ島,21115705
Taimyr-Insel,0
Niihau,125
Isla Attu,0
Hrísey,154
コスメル,91140
Lummi Island,918
Bequia,5107
Abd al Kuri,459
エマエ島,712
Nukulaelae,261
Olchon,1396
Attu Island,0
Nekselø,19
Île des Sœurs,21343
Île d'Yeu,4544
バス・テール島,190402
Rømø,602
جزيرة بورو,162709
フォルメンテラ島,12151
Porto Santo,5618
Isola di Dursey,3
Inis Meáin,150
MacCarthy Island,4697
Линдисфарн,191
Baltrum,462
كاواي,72097
Broughton Island (Neuseeland),0
Lindisfarne (Insel),153
弗雷德里克岩,0
希辛延島,124924
Herschel Island,0
Северный Бородино,655
Île Cortes,1080
Île d'Yeu,4413
Capraia,400
莫索島,297
Bangka Island,958467
Isla Dominicos,23
درة البحرين,896
Ilhéu Grande,0
Isla de Lobos,0
Elba,36732
Muna (isola),220384
Amerikiwhati Island,0
普卡魯阿環礁,202
Felicite Island,24
メジット島,280
Tatakoto,277
Maupihaa,10
Gozo,38985
Chrysi,0
Lovund,415
Парама,418
Vranjina,221
Parama Island,410
Sumatra,51222535
"São Vicente, Cape Verde",93174
Amager,168994
Tatakoto,310
Сатавал,395
Кальсой,126
Ilha de São Lourenço,1359
Acaill,3075
Gozo,38713
Калимантан,17323432
Isla Ayon,487
Märket,0
Isla Swains,19
Лампионе,0
شيكوكو,3621571
Tarawa,46616
Zug Island,0
Île à Vache,13550
Heiberg Islands,0
Аунуу,501
Saaremaa,30595
Sorgu,0
南部珊瑚群島,271
Ljusterö,1856
Asinara,1
Wyspy Antypodów,0
Ambelau (île),9801
Pantelleria,7406
Niulakita,31
ディスコ島,1026
Ljusterö,1923
Sazan,0
Maupihaa,9
Isla Victoria (Rusia),0
Öland,24463
Jost Van Dyke,310
Drejø,68
Ilhéu Rabo de Junco,0
Filfla (île),0
Manuae (Isole della Società),0
Madouri,0
Sint Maarten (wyspa),90938
Barren Island (Andamanen),0
Таймыр (остров),0
ウジャエ環礁,474
Saint-Pierre (atol),0
Mili,1012
Geografía de Puerto Rico,3901690
Long Island (Western Australia),0
トスカーナ群島,41171
Isole Daitō,1993
Sark,586
تينوس,9361
スンバワ島,1417926
Délos,16
Lütje Hörn,0
Пентекост,15335
Ambrym,8792
Poel,2694
スマトラ島,51754580
Ellesmere Island,162
Drvenik veliki,130
Tōshi-jima,3421
Svínoy,49
Oléron,19738
Vava'u,13243
Geografía de Mauricio,1384241
La Graciosa,560
Baltrum,539
Reao (Atoll),383
Makatea,54
Isabela Island (Galápagos),1907
上島,1773
Sable Island,5
Tresco,187
Norderney,5531
Narcondam,14
Durrat Al Bahrain,1232
Yonaguni,1793
Keppel Island,0
Ljusterö,1740
Masira,15605
Maliku,11641
Isola Cornwallis (Nunavut),223
Lampedusa,6336
Isla María,2
Сан-Николау (Кабо-Верде),12919
Mercury (wyspa),2
キフヌ島,605
Isla Saona,308
Wallis (island),11314
Bougainville (Papúa Nueva Guinea),160697
Isla Molokini,0
Cornwallis (Canada),202
براسلين,6839
Саут-Маниту,1
Ахе,547
Tarout Island,79495
Hasslö,1548
Geography of Saint Lucia,164124
Kosrae,6958
Lindhard Ø,0
Siberut,37899
Godøy,1172
Haʻapai,6899
希乌马岛,7963
Île d'Achill,2217
Costa de la Columbia Británica,3838
斯特羅恩吉利島,0
Fergusson,13939
Askø,53
Isla Anchor,0
Buru (Indonesia),191600
Thorland,0
Île de Frégate,213
Мили,1304
克佩爾島,0
Geography of Svalbard,2299
Bornholm,36459
Pantelleria,8246
坪洲,5606
ジャルート環礁,1471
Ouessant,872
Sanana,46138
Heimaey,5186
South Bishop,0
Île Banks,140
Ilha de Lobos,0
Cooper-Insel (Südgeorgien),0
Taquile Island,1965
Mataiva,283
Astove,2
Кинг-Джордж (остров),612
Alegranza,0
Feøy,46
Isola di Tokunoshima,29644
Peng Chau,4555
Chalky Island,0
シロス島,20579
中安達曼島,50897
Marquesas Keys,0
Manuae (Îles de la Société),0
Wielki Nikobar,7349
Lütje Hörn,0
Наветренные острова,397249
Île Prince-de-Galles (Queensland),18
Anuta,314
Havelock Island,5679
Barbuda,1482
Nólsoy,249
Idse,181
Sipora,16766
Trinity-Insel,0
Isola d'Anticosti,195
Wotho,183
格什姆岛,124804
Makanruši,0
Namorik,814
Эрикуб,0
普拉特島 (塞舌爾),3
Isola Tajmyr,0
プリンシペ島,5729
查塔姆群岛,666
布塔里塔里環礁,4058
Viðoy,606
Брач,13115
琉球群岛,1423081
Pašman,2650
Ornö,315
Jéthou,3
Dōgo-jima,13210
Ясава (остров),1134
Iberian Peninsula,51867848
Îles du Maïs,8003
موريا,15503
Santo Antão (Kap Verde),45951
Saint-Christophe (île),45122
Sardinien,1483235
Timor,2809383
ハルマヘラ島,366293
Fakarava,901
Minicoy,12240
端島 (長崎県),0
Eubeia,192628
Guesalaga Peninsula,0
卡梅倫島,0
Geography of Montserrat,5259
Серф (остров),91
神津島,2031
Géographie de La Réunion,898671
Lesbos,79083
Schiza,0
Jan Mayen,0
Tåsinge,6430
Каргадос-Карахос,63
Ян-Майен,0
Isla Saturna,363
Île Mackinac,474
Pemba (Tanzânia),403463
Winter Island (Nunavut),0
Île Dawson,410
博奈尔,13438
施皮克罗格,797
Walney (île),10321
Secretary Island,0
Grímsey,102
Тортю,23688
莫阿拉島,3254
ブリテン諸島,74292070
Nancowry (île),1265
梅吉特島,278
Grand Turk Island,3806
Samosir,98061
パナイ島,4354907
Solentiname Islands,903
لا ديغو,2930
Frégate,216
Akamaru,23
Olib,146
Île-d'Arz,214
Île Yagishiri,268
Rarotonga,10326
Géographie de Jersey,114539
Chichi-jima,1760
Niutao,700
Мадура,3558251
Makin,1663
Megalonisi (Crète),0
Île du Cap-Breton,122362
Île Mocha,786
Roque del Oeste,0
جزيرة المحرق,183598
瓜达尔卡纳尔岛,117721
Аламаган,0
Pašman,3312
穆拉武卡德,27488
Butaritari,4669
Thérèse Island,0
Saltholm,5
バレアレス諸島,1239958
Skokholm,2
Islas Baleares,1206425
Dokos,18
Andamanen,333028
Île Unimak,62
Heibergeilanden,0
Amager,193308
Elafonissos (Kreta),0
Isla Araki,141
Aukena,48
Rockall,0
Graciosa (Wyspy Kanaryjskie),594
亞歷山大塞爾扣克島,70
Arrecife Kingman,0
Lošinj,9484
Guadalcanal,115199
Klädesholmen,314
Île des Sœurs,17976
羅密歐島,0
Havelock Island,6136
ウィンドワード諸島 (ソシエテ諸島),222693
Korčula (eiland),18033
エロマンガ島,1920
Archipiélago Toscano,28709
Isola di Noirmoutier,10438
Narcondam,18
Puffin Island,0
جزر البليار,982412
Korallenmeerinseln,4
Smith Island (Szetlandy Południowe),0
Фаркуар,17
喜界島,6291
Islas Chatham,533
Flinderseiland,640
曼塞爾島,0
Manitoulin,13020
Insel Poel,2286
Lae (Marshall),359
Raiatea,12832
Tiengemeten,10
Kharimkotan,0
式根島,557
Woleai,1058
Menorca,101780
Futuna (Vanuatu),518
Tierra de Peary,0
Alphonse-Atoll,85
Kauaʻi,62213
Čiovo,6144
Andaman Meridionale,202892
Kolbeinsey,0
Husøya,462
موالا,3427
Drvenik Mali,92
Ilhas do Canal,165796
"City Island, Bronx",4408
魯賓遜克魯索島,932
Ilhéu dos Pássaros,0
Hvar,10899
Île de Noirmoutier,8535
坎加鲁岛,4246
リーワード諸島 (ソシエテ諸島),29215
Матуа,0
Silda (Vågsøy),34
Bougainville Island,151902
Asinara,1
Naxos,17471
林迪斯法恩,191
Inishbofin,176
Fatu Hiva,533
Ilhéu Caroço,0
Isola Herring (Windmill),0
伊麗薩岩,0
Tybee Island,3035
Marajó,206440
Isla de Flores (Indonesia),1515125
Borrello Island,0
Vrgada,230
Drejø,57
Raivavae,999
キング島,1717
Península de Kamchatka,318103
Bornholm (eiland),36789
Andimilos,0
敏莪里島,40826
Karabane,365
Ilhéu de Cima (Kap Verde),0
霍西森島,17
Рангироа,2682
Morter,6123
غودش,37563
Socotra,45829
Sable-eiland,5
Kotakara-jima,42
Aldabra,13
奧德伯特島,0
Sainte-Anne (Seychellen),36
Porto Santo,5414
阿森松岛,885
Ilha de la Gonâve,74370
Inamba-jima,0
Rennell,1560
Dangerous Reef,0
布里克島,2
Sandy Island (Nowa Kaledonia),0
Tiengemeten,10
阿基爾貝格島,0
Тринити (остров),0
Isla de Elba,32100
Fakarava,625
Isle La Motte,468
Islote Rabo de Junco,0
Ilhabela,29885
Moreton (wyspa),319
Spinalonga,0
Gotland,43484
Lítla Dímun,0
Ilha de São Nicolau,14855
Bubaque,9770
Föhr,7817
Pampus (eiland),2
St. Kitts,37077
Бенгтшер,1
Wyspa Szmidta,0
Tubuai,2368
ゴゾ島,43881
Spitzberg,2807
Fitzroy Islands (Tasmania),0
Bornholm,38370
Géographie de Chypre,883542
Vanua Lava,2518
Asinara,1
Фаркуар (острова),17
Tahiti,183545
Isola di Pentecoste,17391
St. Vincent,96481
ماراجو,239960
Geografia da Groenlândia,64224
Erikub,0
Jethou,3
Cayos Cochinos,114
Bjarnarey,3
Hjelm (island),0
Isla de Madura,3422454
Andrott,12206
Аилингинаэ,0
Spinalonga,0
ウルフ島 (オンタリオ湖),1608
Остров Броутона,0
Isla Dawson,415
Триндади-э-Мартин-Вас,31
Isola di Salsette,16371967
Lanzarote,134988
Nuku Hiva,2547
Diskoinsel,871
Lindisfarne,154
Ilha Kangaroo,4133
Caher Island,0
Asinara,1
Palmyra (atollo),4
Olib,155
Ammassalik Island,1900
Ilhas Ashmore e Cartier,0
Koiluoto,0
Isole Esterne,0
Honshū,127049824
Poel,2856
Jan Mayen,0
Лос-Рокес (архипелаг),3
康沃利斯岛 (加拿大),243
Géographie des îles Malouines,2781
帕什曼島,3119
Whidbey Island,53733
Tinos,7023
西表島,2636
Saint Peter and Saint Paul Archipelago,4
Trindade e Martim Vaz,27
Мансел (остров),0
阿斯克島,59
Anaa,624
Attu (Aleoeten),0
Makrónisos,0
維多利亞島 (俄羅斯),0
スバティック島,28203
Amager,203274
Ilha Anticosti,296
Tabiteuea,5165
Ilhéu das Cabras,0
Als,45177
平島 (鹿児島県),93
Ilha Vega,0
Cima (eiland),0
Gozo,43400
Isla Margarita,531945
Île Notre-Dame,0
馬拉若島,309238
Tegua,65
Флиндерс (остров),691
Tinos,9056
Джету,3
جزيرة ألور,182962
小鹿島病院,957
Geografia Martyniki,447184
Isole della Lealtà,20001
派里斯泰拉島,34
Daskalio,0
Giava,110798528
Gran Canaria,768411
Honshū,86841319
Gyaros,0
Isla Kuchinoerabu,155
Buru,183401
Maui,146930
Sitra,86169
Ilha de Ascensão,892
Comoro Islands,989285
Tunø,108
Воар,3122
Nouvelle-Guinée,11336338
Литл-Корнуоллис,0
Als (Dänemark),48272
Leyte (ilha),2567848
Bonaire,21853
Galápagos,27891
Hiw,222
Rangiroa,2463
スウェインズ島,16
Hikueru,150
Agios Minas,3
Landkreis Penghu,92490
Skúvoy,53
Эспириту-Санто (остров),43889
Принс-Эдуард (острова),0
Самос,35947
ماديرا,262725
Футуна (Вануату),479
Beaver Island (Lake Michigan),712
Вангероге,1019
罗斯环礁,0
فلفلة (جزيرة),0
Zaquintos,36367
Balearen,1314003
洛普德島,242
Кенгуру (остров),5394
Lesbos,99494
Роке-дель-Оэсте,0
Wangerooge,819
Восточный Фолкленд,2750
格陵兰地理,52144
Hiiumaa,8322
Cargados Carajos,72
Grand Cayman,41820
Alor,147946
阿爾斯島,42002
Aitutaki,2020
Taquile,1592
Ист (остров),156
Burhou,0
Isla de Bangka,1003376
Lib (Insel),100
Yeongheungdo,4508
Croker Island,259
Ometepe,28368
Kwakéa,27
Rimatara,908
Огненная Земля (архипелаг),138741
Mangareva,1060
Skorpios,5
Alegranza,0
Borðoy,5988
Tåsinge,6062
パンテッレリーア,7193
Isla Uvita,0
Jawa,141960067
"Beigan, Lienchiang",2504
Монреаль (остров),1714436
Oʻahu,1070812
Непин (остров),0
Smith Island (Antarktis),0
Isola Ardery,0
Rimatara,988
Pemba Island,456945
Île Anvers,47
Ferro (Canarische Eilanden),12209
Ilhéu das Rolas,219
西比路島,39820
Lidingö,29328
Атокос,0
Hvar (eiland),11459
ファイス島,195
Fugloy,47
Basse-Terre (eiland),185178
Ærø,7034
Swains,17
Puffin Island (Alaska),0
Бавеан,69037
Coche (île),8240
Grand Turk,3950
ショルタ島,1807
バリンタン諸島,0
Принсипи,4550
Buøy,1064
إلبا,28327
Ометепе,30962
Atol Palmyra,4
Tagula,4283
ナヌマンガ島,572
Wyspa Kangura,4665
Mejit,301
Agatti Island,8946
Kotelny-Insel,1
Jabat,117
ロウェット島,0
Île à la Croix,0
Susak,138
Čiovo,4907
Atol Ailinginae,0
Alamagan,0
Kiska,0
Ítaca,3369
Île Laurie,28
Brouton,0
Sipura,16384
Ekarma,0
Signy Island,5
Робинзон-Крузо,844
耶爾姆島,0
Cousin,6
هوبن (سفالبارد),4
Chatham Island,550
Tinos,8050
Al-Muharrak (wyspa),229498
Tubuai,2338
テルナテ島,166610
Питиузские острова,142863
塔古拉島,4516
Parama Island,429
Mindanau,22575456
Saona Island,279
Терсди,2499
Dønna,1345
Южный Андаман,207409
Île Moyenne,1
Saaremaa,26358
Awaji (wyspa),160181
Atollo di Bikini,5
ブトゥン島,461855
Kabara,805
Île Melville (Nunavut et les Territoires du Nord-Ouest),0
Satawal,591
Borneo,17437485
Tepoto (North),63
Guanaja,5542
Ниулакита,33
Gran Canaria,873413
Bayonnaise Rocks,0
Groote Eylandt,1565
St. Martin (Insel),67572
Anziferow-Insel,0
São Tomé (isola),140544
Corn Islands,7377
Муайен,1
Proti,0
Minicoy,11619
Thirassía,270
Мануаэ (Французская Полинезия),0
北极群岛,12177
Edgeøya,0
バウンティ諸島,0
Islote de Lobos (Canarias),0
Wyspa Aleksandra,0
Terceira,51124
阿什角,0
Cameron Island,0
Maui,153597
Bjørøya,0
Šolta,1997
Amini,7423
Islas Exteriores,0
Ist (Insel),148
Santo Antão (Cap-Vert),39149
Maiana,1961
Боа-Вишта (остров),8102
Хайда-Гуаи,5600
Sumba (Indonésie),736876
Isla Alejandro I,0
巴拉諾夫島,9416
Isla Ushi,0
Los Roques archipelago,3
Ha'apai,7670
皮拉米德島,0
مينسينرأوخ,0
Tahiti,149383
Hatsushima,224
Juist,1762
Islas Amirante,322
Geography of Martinique,498001
غينيا الجديدة,11101824
難達群島,0
Ketoï,0
阿魯圖阿環礁,775
Isla Mancera,52
Terihi,0
Wyspa Bougainville’a,184241
Gyali,9
弁天島 (稚内市),0
Brač,14147
Hiddensee,993
シエス諸島,3
Usedom,73921
馬貴斯礁島群,0
Tasos,13965
White Island (Isole Scilly),0
迪克森島,1138
Isola di Kotlin,41578
Ustica,1539
Pantelleria,8125
Nonouti,2937
Ifalik,532
Isla Nepean,0
ジェソー島,3
Namorik,845
Peleliu,589
ゴットランド島,51769
Hikueru,150
努根特島,0
Holl-Insel,0
Nias,802781
Hao,1101
Херехеретуэ,58
Розе (атолл),0
Иль-д’Ар,233
"Grip, Norway",123
Северный Тепото,64
Matua,0
Nordstrandischmoor,22
塔拉瓦环礁,52792
ラパ島,421
Saba,1666
Niutao,568
Isola Boving,0
Hokkaidō,5143588
Sumba (Indonesien),718987
Nuku Hiva,2700
Géographie de Sainte-Lucie,145817
トゥトゥイラ島,43070
Îles Swan,9
Ireland,6282025
Isla Iki,30076
Es Vedrà,0
Trinity Island,0
ステファンソン島,0
奥埃迪克,96
