http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Saint Francis Central Coast Catholic High School,251
Zhejiang A & F University,17003
La Joya Community High School,2058
Riverview School District (Pennsylvania),1618
馬里蘭藝術學院,1957
جامعة قرطاج,45304
University of Papua New Guinea,13210
University of Ghana,38928
Universidade São Judas Tadeu,20
Coombeshead Academy,1053
Campus Bio-Medico,1639
International Psychoanalytic University Berlin,389
嘉应学院,15498
"Казахстанский институт менеджмента, экономики и прогнозирования",680
Elm Wood Primary School,0
جامعة جنوب فلوريدا,49415
St. Henry's Marist Brothers' College,652
Национальный университет Узбекистана,10538
Cheshire High School,1515
Monessen City School District,941
Pine Eagle Charter School,197
Kumi University,1023
American University School of International Service,1518
University of Swaziland,5392
Paisley School,98
Cantell School,961
Pir Mehr Ali Shah Arid Agriculture University,7773
普林斯顿大学,9843
Universidad de León,11
Universidad de tecnología de Mauricio,4392
Hudson Catholic Regional High School,539
Londonderry High School,1619
Brocklehurst Secondary School,797
Madisonville Community College,3158
Gilbert Classical Academy,21440
Wit-Russische Staatsuniversiteit voor Informatica en Radio-elektronica,19703
Macmillan Academy,1689
All Saints Catholic Academy,437
University of Arkansas – Fort Smith,8150
Plainville High School,951
Université de la République,70842
Nuova Università Bulgara,0
Roundwood Park School,1201
Lancaster Country Day School,530
Istituto di studi politici di Lione,1490
貝魯特阿拉伯大學,15298
Lubin School of Business,4384
Winsor School,453
Université de technologie de Poméranie occidentale,17912
Isleworth and Syon School,1113
Largo High School (Florida),2432
Line Mountain Jr./Sr. High School,286
Harvard Graduate School of Design,180
美國海軍司法學校,159
Universidad Europea de Madrid,16461
Merced High School,2081
St. Thomas Residential School,2017
Stanley High School (New Brunswick),153
Università di Ankara,47080
布达佩斯考文纽斯大学,16354
"Uniwersytet ""Gabriele d'Annunzio""",27877
Institut d’études politiques de Toulouse,2082
Maritime Christian College,28
Watson Chapel High School,843
Salisbury-Elk Lick School District,224
九龍工業學校,764
Pisgah High School,969
Valley Forge Military Academy and College,733
Journeys School,229
Uniwersytet w Hamburgu,43802
Waterford High School (Connecticut),880
Norwegische Handelshochschule,3721
Bellefonte Area School District,3006
Our Lady's Convent Roman Catholic High School,673
Seashell Trust,108
Davenport Central High School,1533
Université Columbia,29966
Claude Bernard University Lyon 1,33572
The Glenn Gould School,137
South Wasco County High School,118
Anhui Polytechnic University,16945
大阪府立清水谷高等学校,1064
Lycée Ressu,680
Harmony Area School District,407
Polytechnic University of the Philippines,56114
Manuel Dominguez High School,2463
Columbia High School (New Jersey),1842
Staatliche Universität Saratow,25490
Anil Neerukonda Institute of Technology and Sciences,2328
Universidade de Iaşi,30856
Highgate School,1685
Community College of Beaver County,1610
Glasgow High School (Kentucky),598
Bowie High School (Maryland),2869
Sturgis Brown High School,977
Hialeah Gardens High School,585
Университет логистики Кюне,195
State Elementary School Cipinang Melayu 12 Petang,420
Université normale du Zhejiang,21261
Students United,49401
瑪麗安大學 (威斯康星州),2097
IE Business School,6706
Standley Lake High School,1150
Leeds Business School,4362
St. Henry High School,407
Science Hill High School,2854
Salisbury High School (North Carolina),730
Fakir Mohan University,16205
Gymnasium Kiril Pejčinoviḱ,4354
Лёвенский католический университет,62735
Newport Harbor High School,2308
Great Mills High School,1399
"Loreto Convent, Darjeeling",640
Mount Angel Abbey,188
Chopticon High School,1858
Saint Joseph Seminary College,144
Andover Elementary School,34
Miami Dade College,181895
SMK Subang Utama,1404
University of Tolima,34268
Shandong University of Traditional Chinese Medicine,19159
Rajalakshmi Engineering College,5942
كليات التقنية العليا,23150
Bristol Gateway School,84
Amelia High School,1216
Universidad de Argel,94828
Université du Salento,17631
Palmview High School,2444
Worcester Sixth Form College,1392
Российский институт театрального искусства — ГИТИС,1606
جامعة أليكساندرو إيوان كوزا,25944
Lake Central High School,3299
Collège de Maisonneuve,4975
Gulf Islands Secondary School,607
Col·legi Casp,1722
Franklin Area School District,1995
Johnson College,409
New York University School of Law,1248
"University High School (Waco, Texas)",1461
Université d'Oran Es-Senia,24049
Archbishop MacDonald High School,925
Delaware County Community College,15396
Fielding Graduate University,1308
Northside Health Careers High School,847
Manchester Community College (Connecticut),6578
King Edward VII Academy,1655
University of Education,13552
Alpena High School (Michigan),1289
Suranaree University of Technology,13532
Chugiak High School,1184
College Inżynierii Afeka,2566
Оборонный научно-технический университет НОАК,15183
National University of Patagonia San Juan Bosco,12870
City University of New York,464777
Rochester Institute of Technology Croatia,499
Universidade de Perúgia,30223
Petersburg High School (Texas),103
IT University of Copenhagen,1810
白俄罗斯国立信息技术无线电电子大学,15856
Canon-McMillan School District,4942
Bozeman High School,1926
"Kickapoo High School (Viola, Wisconsin)",224
All Saints Central High School,161
Brick Township High School,1734
Université de Playa Ancha,12106
Brooke High School,1139
Zurich University of Applied Sciences,14253
Национальный юридический университет имени Ярослава Мудрого,22177
Edward S. Marcus High School,3270
"Aquinas Academy (Livingston, New Jersey)",159
Institut d'études politiques de Lyon,1165
Saint Louis Park High School,12
The Craig School,139
Millwoods Christian School,793
University of Mauritius,12753
One (sixth form college),1822
浙江师范大学,1999
Deer Park High School (Texas),4628
Father Michael McGivney Catholic Academy,1161
Canyon Crest Academy,2335
Universität Perugia,30896
"Oak Grove High School (Jefferson County, Alabama)",1043
Bayside High School (Virginia),1907
South Lyon East High School,1048
"The Martin High School, Anstey",620
San Roberto International School,1879
The Lodge School,823
Brandon School and Residential Treatment Center,93
Kühne Logistics University,221
Mount Hebron High School,1468
Walker Technology College,1142
"Temple Christian School (Lima, Ohio)",213
Korah Collegiate & Vocational School,1063
Universidad de la Prefectura de Osaka,7117
Universität Paris-Nanterre,34364
"King Edward VI High School for Girls, Birmingham",617
American University of Armenia,1405
Lehman Catholic High School,213
State Elementary School Cipinang Melayu 11 Petang,309
"Nimitz High School (Irving, Texas)",2449
Uniwersytet Świętych Cyryla i Metodego w Skopje,43754
Canandaigua Academy,1018
St. Thomas University (Florida),4169
جامعة ولاية أريزونا,51286
Ryūkoku-Universität,20627
South Plantation High School,1970
西安石油大学,17286
北京聖保羅美國學校,281
Hochschule für Musik Karlsruhe,508
"Heathfield School, Pinner",482
Hele's School,1297
Nootka Elementary School,512
"Downtown High School (Columbus, Ohio)",545
Kent State University,24244
Middletown High School (Rhode Island),608
Woolmer Hill School,1040
Randolph High School (Texas),399
Sargodha Institute of Technology,1161
United Tribes Technical College,919
Brown University,9585
Granada High School (California),2181
Stirling High School,998
Universidad de Bremen,19666
Penn State Wilkes-Barre,498
Université de Berne,20833
Штутгартская высшая техническая школа,4
Hochschule Wismar,9524
East Aurora High School (New York),751
Halfway High School,139
Abbotsholme School,339
Saint Louis University School of Public Health,1189
Drexel University,23326
McIntire School of Commerce,855
D'Evelyn Junior/Senior High School,924
St John's School and College,156
Lancaster Girls' Grammar School,856
"South County High School (Fairfax County, Virginia)",2866
Колледж Святого Креста,2968
"Prince of Wales' College, Moratuwa",4460
George Bush High School,2485
Eastwood Collegiate Institute,1274
Cypress College,16293
Technische und Wirtschaftswissenschaftliche Universität Budapest,19955
Universidad del Aconcagua,3418
"St John's School, Leatherhead",642
High School Attached to Northeast Normal University,7941
Musselburgh Grammar School,1216
哥倫比亞大學醫學院,1604
國立臺中文華高級中學,725
معهد كاليفورنيا للتقنية,2192
"St Hilda's School, Westcliff-on-Sea",128
Chowan University,1368
Robert Wood Johnson Medical School,560
Largo High School (Maryland),992
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2064
Università di Stoccarda,26920
Greenfields School,126
"SMVM Polytechnic, Tanuku",1490
Aeronautical Institute of Bangladesh,315
Alcester Academy,549
The Khaitan School,3032
"St. Cyprian's School, Cape Town",897
Portland Bible College,189
Morrison Academy,81
"St John Fisher Catholic High School, Harrogate",2002
Penn State World Campus,6455
Immaculate Heart High School (Los Angeles),600
El Colegio de México,489
フランクフルト音楽・舞台芸術大学,852
Universidad Politécnica de Madrid,34970
Stone Bridge High School,1477
Chincoteague High School,319
The Colony High School,1688
Instituto Químico-Tecnológico de Praga,3732
"Saint Andrew's School (Saratoga, California)",341
William Carey University,4765
Northern Valley Regional High School at Demarest,1082
Hope High School (Arkansas),678
Marche Polytechnic University,15383
Academia de Bellas Artes Nanyang,2261
Northbrook High School,1785
"Lindbergh High School (Sappington, Missouri)",2157
Electronic Engineering Polytechnic Institute of Surabaya,1616
National University of Laos,27475
"Queen Elizabeth High School, Carmarthen",1510
Alleghany High School (Virginia),816
De La Salle–College of Saint Benilde,8052
The Hundred of Hoo Academy,1875
Mpelembe Secondary School,660
كلية دارتموث,7387
"University of California, Irvine School of Humanities",2199
Universidade Nacional de San Luis,12214
Lowell Catholic High School,324
伍德罗·威尔逊高中,2327
Université du Wisconsin à Manitowoc,671
Université de Messine,27688
Union High School (Utah),1024
College of Saint Rose,4737
Daniel Alcides Carrión National University,8093
FutureSkills High School,154
St. Joseph School of San Jose City,754
المدرسة الألمانية الإنجيلية الثانوية بالقاهرة,1370
Wake Forest School of Medicine,287
Universidad Técnica de Varna,7750
Rosewood High School,515
Università Militare Nueva Granada,26
La Vergne High School,1895
Lincoln Minster School,722
Noosa District State High School,610
El Monte High School,1927
Whitinsville Christian School,675
Université européenne de Chypre,5207
Twin Rivers Unified School District,28853
Ferrahian Armenian School,552
Noakhali Zilla School,1449
Universiteit Luxemburg,6374
Northwest Pennsylvania Collegiate Academy,829
Institut International de Lancy,1360
Florida Gulf Coast University,16080
Istituto Europeo di Design,9483
Taft College,5656
Beechwood Park School,1
St. Patrick's Institute of Science & Technology,335
Stuttgart Technology University of Applied Sciences,4
Newport High School (Arkansas),444
Aldine High School,2608
Markville Secondary School,1103
University of Santo Tomas College of Architecture,2237
East Central College,3227
Oak Bank School,56
Mahwah High School,997
Universidade Federal de Pernambuco,43838
スワジランド大学,5267
Union Area School District,934
Королевский технологический институт,14527
Bacup and Rawtenstall Grammar School,1298
National Louis University,4663
Narodowy Uniwersytet Uzbekistanu,10898
Mars Hill University,1520
圣乔治学校 (温哥华),1131
ANU College of Physical and Mathematical Sciences,2206
Washington Township High School (New Jersey),2790
The Overlake School,571
Nuova Università di Lisbona,18750
Universität Bremen,16287
Sylvia Young Theatre School,210
Polytech Group (France),13338
Calcutta School of Music,1101
"Lakewood High School (Lakewood, Ohio)",1621
Ndejje University,4275
Université de science et de technologie de Gwangju,1844
Scissett Middle School,611
"St. Mary's Convent High School, Goa",677
Salesian College Celbridge,657
Académie de Roberval,578
マドリード・カルロス3世大学,22505
St. Paul High School (Oregon),86
Great Marlow School,1258
Lincoln Achievement Center,66
Französische Universität in Armenien,1954
Washington and Lee High School,458
Miss Edgar's and Miss Cramp's School,409
Vanguard High School,1465
Norfolk Academy,1141
Université de technologie centrale,14
Arts Academy in the Woods,323
Liaocheng University,28
Lyndale Secondary College,1559
Tattnall Square Academy,761
国立法官学校,627
Rutgers School of Public Affairs and Administration,964
Randolph High School (Massachusetts),769
"St Joseph's Roman Catholic High School, Workington",664
Принстонский университет,7601
Nanaimo District Secondary School,1653
South Oldham High School,1303
Parkersburg High School,1838
British International School in Cairo,1013
Université de Séoul,9411
Kings International College,646
Регенсбургский университет,22734
McMath Secondary School,1327
韓国放送通信大学校,188739
Wanda R. Smith High School,229
Brookwood School,423
Kurigram Government College,10690
École polytechnique de Milan,35296
Universidad de Bari,40331
Universidad Estatal de Arizona,51806
Saint Francis College,2845
Moscow High School,863
"Cleveland High School (Portland, Oregon)",1374
Universidad de Lyon I - Claude Bernard,33494
摩蘇爾大學,31708
Charles W. Baker High School,1515
Clarke Central High School,1518
Purdue-universiteit,41357
Madison East High School,1427
Universidad de África,1227
Cypress Ridge High School,2869
Charlestown High School,871
Lagan College,948
Centaurus High School,1083
Instituto de Empresa,1861
Rappahannock County High School,379
Aiyas Matriculation Higher Secondary School,172
Université de Calcul de Chine,12355
Школа права Квиннипэкского университета,391
Llantarnam School,1333
Northlands College,558
Fontbonne Academy,480
UNSW School of Computer Science and Engineering,125
Факультет свободных искусств и наук СПбГУ,475
KIMEP University,3059
Нишский университет,28702
Uniwersytet w Perugii,26619
Manila Central University,4353
Università degli Studi del Molise,8888
Universidad de Stavanger,10203
Stockport Academy,743
Jesse O. Sanderson High School,1738
Puyallup High School,1409
Allegheny-Clarion Valley School District,747
New College Berkeley,209
Purbeck School,868
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,639
The Wellington Academy,1163
University of Sioux Falls,1438
Instituto de Tecnologia da Califórnia,2167
Austin Area School District,211
Università Araba di Beirut,14042
Université Cheikh-Anta-Diop,61951
Purdue University,31590
George Mason University,28958
"St Michael's Church of England High School, Crosby",669
Geneva Academy,33
Universität Damaskus,193231
DuBois Area School District,4765
Бременский университет,21881
Silver Grove School (Kentucky),109
Armand Hammer United World College of the American West,44
Tracy Unified School District,18926
Hochschule Ålesund,2388
Dominican Academy,273
Финансовый университет,75756
Belmont Community School,669
Dame Elizabeth Cadbury Technology College,594
Institut d'optique Graduate School,232
"Zahira College, Colombo",5087
International School of Zanzibar,189
Grossmont–Cuyamaca Community College District,28258
Andrews High School (North Carolina),276
De La Salle Health Sciences Institute,3097
Sonora Independent School District,848
"Immaculate Conception High School (Montclair, New Jersey)",159
Conemaugh Valley School District,976
"North High School (Akron, Ohio)",698
Washington University School of Law,729
Giles County High School,1046
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",80
EMLYON Business School,3242
"St Augustine's Priory, Ealing",519
Università Iuav di Venezia,5366
Colegio San Agustin – Biñan,3084
South Essex College,10030
Natomas Unified School District,11259
Monroe High School (Oregon),135
Macquarie University Faculty of Arts,7244
North Battleford Comprehensive High School,776
Университет Палермо,46
Национальный политехнический университет Армении,10907
Université Pavol Jozef Šafárik,6532
Indian Institute of Technology Ropar,418
John A. Ferguson High School,4781
Sidney High School (New York),455
Lone Oak High School (Kentucky),843
Красноярский государственный университет,13630
Thunderbird High School,1941
Meridian High School (Washington),469
Hostos Community College,7019
"St. Francis de Sales High School (Toledo, Ohio)",768
Highgate School,1365
Université d'État de Zanzibar,2139
Central Dauphin East High School,1245
West Chester Henderson High School (Pennsylvania),1266
Nonsuch High School,1322
École des hautes études en sciences sociales,3422
Sonia Shankman Orthogenic School,44
福州第三中学,1921
Университет Папуа — Новой Гвинеи,13832
Universidade de Estugarda,22713
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1623
Bethany College (Saskatchewan),0
Grape Creek High School,337
吉林省实验中学,6163
Green Lawns High School,1414
Университет Коменского,29934
Mardela Middle and High School,689
Armwood High School,2005
Harvard Graduate School of Design,381
Ulverstone High School,445
Université Saint-Clément d'Ohrid de Bitola,15802
Edgewood High School (Indiana),669
聖彼得堡國立資訊科技機械與光學大學,12269
Gardens Commercial High School,668
Parmiter's School,1318
Academia de Bellas Artes de Viena,1137
College of the Holy Cross,3288
Montebello High School,3285
Schreiner University,1369
Hirschi High School,1017
Mountain View College Academy,132
纽约法学院,37
Bentley Wood High School,1075
A&M Consolidated High School,2724
Connellsville Area School District,5482
Westmont Hilltop High School,663
Università degli Studi di Salerno,34678
Université de Hambourg,44555
"Ambleside Primary School, Nottingham",496
Ysgol Bryn Alyn,831
Sint-Maartenscollege,1546
Academia de Carreras Farragut,1132
West Side Leadership Academy,901
Anhui Jianzhu University,14314
Stillwater Area Public Schools,9339
Sutherlin High School,405
Brearley School,814
Ramona Convent Secondary School,379
Pionier Boys' School,393
Fairfield Area School District,1173
Cedarview Middle School,816
University of Sassari,14049
Polytechnikum Mailand,42163
"Hudson Catholic High School (Hudson, Massachusetts)",101
Menaul School,225
Collegium Civitas,1520
Streator Township High School,932
"Roosevelt High School (Lubbock, Texas)",363
North Paulding High School,2614
Université islamique de Médine,25904
Orchard Farm High School,481
Université de Carthage,45675
Pierre Elliott Trudeau High School,1911
曼谷大學,32029
Magnus Church of England Academy,1212
Kingsway High School,1112
College of Management Academic Studies,11822
جامعة ريدجو كالابريا المتوسطية,11
Bulacan State University,28431
"Sacred Heart School (Saratoga, California)",251
West York Area High School,818
Misr Universität für Wissenschaft und Technologie,15117
Froebel College of Education,212
Universidad Nacional de las Artes,18444
Sistema Universitario de Indiana,111904
Blackhawk School District,3183
The Benjamin Britten Music Academy,704
Universidad Del Pacífico – Ecuador,1395
Midd-West School District,2468
亞歷山德魯伊萬庫扎大學,23056
Davidson Day School,2
Dan Knott Junior High,492
The Willows Academy,233
ニューヨーク大学・ロー・スクール,1499
东芬兰大学,13459
Norges Handelshøyskole,3190
Cranford High School,1187
Universidad de Lund,38591
Nyack College,3371
新躍大學,12473
West Hall High School,1017
Indiana University – Purdue University Columbus,2045
Vineland Senior High School South,2415
St. Patrick's High School (Ottawa),1353
Herbert Henry Dow High School,1190
パデュー大学,37856
Universidad Nacional de San Luis,11076
University of Idaho College of Law,283
George Washington University School of Medicine & Health Sciences,834
Immaculate Heart High School (Los Angeles),213
Libera Università Internazionale degli Studi Sociali Guido Carli,9218
National University of Saint Augustine,26264
United World College–USA,24
Baltimore Civitas Middle/High School,389
Moorpark College,13792
East Carolina University College of Business,4203
Universidad Pedagógica Nacional (México),21042
Lejeune High School,621
Alonzo and Tracy Mourning Senior High Biscayne Bay Campus,1908
Universidad Tecnológica Chalmers,9953
Escuela Preparatoria Palisades Charter,2619
David Anderson High School,504
浙江理工大学,27394
Kibuli Secondary School,1264
Calvin Park Public School,372
Millard South High School,1618
Halifax County High School,1579
麻省药科与健康科学大学,6520
San Dieguito Academy,1586
Community High School (West Chicago),2071
جامعة ستافانغر,9467
International School of Kigali,213
Slowakische Technische Universität Bratislava,19081
Oasis Academy Brightstowe,603
Papieski Uniwersytet Świętego Tomasza z Akwinu,1052
"Notre Dame Academy (Park Hills, Kentucky)",601
Universidade Pantheon-Assas,18829
Sangju National University,3984
Tottenville High School,4267
Kathmandu University High School,685
Università americana in Afghanistan,917
Redwood High School (Visalia),2462
International University of Monaco,596
Ludlow Church of England School,915
Greenway High School,1242
Nogales High School (Arizona),1797
Shau Kei Wan Government Secondary School,930
Valley Forge Military Academy and College,712
Willamina High School,286
Universidad SIM,10343
東ウクライナ国立大学,36012
Université Alexandru Ioan Cuza de Iași,22868
Henry Wise Wood Senior High School,1058
La Salle University (Ozamiz),5840
The John Carroll School,636
Butler County Community College (Pennsylvania),1782
Università Brown,8972
Artesia High School (California),1793
Uniwersytet Ekonomiczny w Poznaniu,9063
École supérieure de musique et de théâtre Felix Mendelssohn Bartholdy de Leipzig,842
Landmark School,148
Harrisburg High School (Oregon),276
Lanakila Baptist High School,64
Universität Hasselt,4933
Nipawin Bible College,47
Britton-Macon Area School District,515
Technische und Humanistische Akademie in Bielsko-Biała,7267
Eastview Secondary School,1665
Rose and Alex Pilibos Armenian School,1147
Università di Richmond,437
"Department of Business Management, University of Calcutta",34
Cégep de l'Abitibi-Témiscamingue,2724
Zionsville Community High School,1500
جامعة بانتيون أساس,16866
جامعة أنقرة,42596
King Ecgbert School,1461
Uniwersytet w Bernie,18011
Macquarie University,42975
Université de Oradea,23501
Webster University Vienna,485
Université normale de Guangxi,24838
Dover High School (Arkansas),321
"Foothill High School (Orange County, California)",2401
Russische Staatliche Geisteswissenschaftliche Universität,6281
Mira Mesa Senior High School,2258
Universidad Pierre y Marie Curie,30678
Union County Academy for Allied Health Sciences,207
King Charles I School,1254
BRAC University,6063
安徽中医药大学,7390
Mapleton Junior/Senior High School,69
Bloomfield Junior-Senior High School,382
Warminster School,525
Monarch Park Collegiate Institute,950
"St Mary's School, Colchester",380
Escuela de cine Marubi,0
Université de Chieti,30315
De Shalit High School,2162
Celje First Grammar School,1151
New College Nottingham,23546
Paraclete High School,962
Universiti Putra Malaysia,26095
Wellsprings Friends School,61
Grove Academy,991
Университет штата Аризона,55112
Lycée Français de Shanghai,1138
希尔中学,54979
Sankt-Petersburski Państwowy Instytut Górniczy,16189
Center for Transnational Legal Studies,49
Welshpool High School,1524
Université Saints-Cyrille-et-Méthode de Skopje,55116
Hatch End High School,1362
Georgiana Bruce Kirby Preparatory School,231
Universidad Estatal Belarusa de Informática y Radioelectrónica,15069
Universiteit voor Scheikunde en Technologie Praag,4146
Cleveland Heights High School,2119
Natick High School,1659
San Francisco Day School,407
Université de sciences appliquées de Mayence,4660
Universidad Externado de Colombia,11803
Bandon Senior High School,262
Eagle Harbor High School,160
埃里温国立大学,9714
Oberoi International School,1555
Kampala International University,11059
"Frontier High School (Bakersfield, California)",2366
巴黎第十大学,31393
Дурбанский технологический университет,23612
Conemaugh Township Area School District,975
Technische Universiteit Eindhoven,7152
Crichton Street Public School,517
Epsom College,765
"Dhaka University of Engineering & Technology, Gazipur",1984
The Gifted Students' School-Iraq,57
Mountain Lakes High School,785
Arizona State University,4427
"New College, Telford",1460
Università degli Studi di Palermo,52
Université pontificale catholique du Pérou,14204
University of San Diego School of Law,912
潍坊医学院,15600
Universidad de La Rioja,7334
Landau Forte College,994
Bronzeville Scholastic Institute,444
University of Brescia,15084
Universidade Federal da Bahia,22397
Свальбардский международный университет,515
Northern Illinois University College of Law,300
Escuela Colombiana de Ingeniería,4708
Mountain Vista High School,1875
Cedar Hill High School,1513
"Columbia Graduate School of Architecture, Planning and Preservation",628
克兰纳特管理学院,2989
École supérieure de réalisation audiovisuelle,1743
Canarsie High School,2688
Riddle High School,204
University of Dar es Salaam,15941
Frazier School District,962
Université du sud du New Hampshire,3786
Armadillo Technical Institute,103
国立台中文華高級中学,2348
Spring Grove Area School District,4381
Unitec Institute of Technology,8640
Tarlac State University – Laboratory School,557
Black Mountain College,1217
Uniwersytet Technologii i Ekonomii w Budapeszcie,22243
NewSchool of Architecture and Design,519
哈佛商学院,1562
Mayo School of Health Sciences,1400
Anschutz Medical Campus,3546
Abilene Christian University,4584
Hardaway High School,1895
Minot High School,2315
Lockport Township High School,4087
Université technique de Crète,3247
Russian State University for the Humanities,5359
Austin Area School District,273
Bhawani Dayal Arya College,966
William Aberhart High School,1464
SMK Sentul Utama,1236
Estacada Alternative High School,151
Vanguard College Preparatory School,234
Kaunas University of Technology Gymnasium,316
Arizona State University,49618
Muskego-Norway School District,5393
"Indian Institute of Science Education and Research, Thiruvananthapuram",535
New York Law School,34
Universidad de Tsukuba,17140
珠海學院,1969
"Theodore Roosevelt High School (Kent, Ohio)",1225
Angelo State University College of Graduate Studies,612
University of Rhode Island,17354
"Pacific High School (Port Orford, Oregon)",81
St. Louis Community College–Wildwood,2448
Goerdeler-Gymnasium Paderborn,904
Fort Collins High School,1540
Great Bridge High School,1564
Bethel-Tate High School,545
"North Side High School (Fort Wayne, Indiana)",1776
KIIT International School,1461
Fruitland High School,402
Orange High School (North Carolina),1319
Dartmouth College,5551
Ponitz Career Technology Center,611
Academia de Arte e Design - Bezalel,2110
Eindhoven University of Technology,6956
Bay de Noc Community College,5676
Cadet College Hasan Abdal,1
West Hempstead High School,884
Longyan University,7315
Oregon Connections Academy,4239
Wit-Russische Pedagogische Staatsuniversiteit,18320
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,9503
Geneva Medical College,614
亨利四世中学,2048
Roosevelt High School (South Dakota),1903
Rockford University,1469
North Carolina Central University,8980
"Mesquite High School (Gilbert, Arizona)",2058
"St Catherine's School, Ventnor",63
Satriwitthaya 2 School,5212
Mill Creek High School,4474
معهد كارلسروه للتكنولوجيا,22235
McCutcheon High School,1544
Université Catholique de l’Ouest,13031
Université d'État de Kent,27975
أكاديمية كونمينغ الدولية,137
Технологический университет имени Насир ад-Дина Туси,7832
West Lothian College,7437
The Fallibroome Academy,1508
コメンスキー大学,24915
淡江大学,28095
Hochschule Dalarna,15320
Midd-West School District,1912
Black Forest Academy,294
Malatya Science High School,393
Clay-Chalkville High School,1267
Oratory Preparatory School,312
Université catholique argentine,13660
Alton Convent School,572
Pakenham Secondary College,1260
Naval School (Portugal),268
Бэйлорский университет,19342
European University of Lefke,5
Rangpur Zilla School,1554
Hartsville High School,1119
Wetherby School,207
Henry P. Becton Regional High School,489
Bernard Mizeki College,418
Arts and Technology High School,70
"Brewer High School (Fort Worth, Texas)",1518
Cypress Falls High School,4261
Lawrence High School (New York),1035
斯德哥尔摩大学,72316
University of Montpellier,43888
"West End Preparatory School, Harrogate",40
Willamette Valley Christian School,162
Fachhochschule St. Pölten,2659
Fachhochschule Dortmund,10840
