http://dbpedia.org/ontology/SportsTeam,SportsTeam,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/UniKL_HC,UniKL HC,19
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),66
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,19
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,27
http://dbpedia.org/resource/Sapura_HC,Sapura HC,20
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,5
http://dbpedia.org/resource/Maybank_HC,Maybank HC,7
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,27
http://dbpedia.org/resource/Shabab_Al-Bireh_Institute,Shabab Al-Bireh Institute,9
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,22
http://dbpedia.org/resource/Markaz_Balata,Markaz Balata,7
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,9
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,8
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,3
