http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
The Muppet Show,120
Towards the Republic,60
K 2000 (série télévisée),90
Viza za budućnost,206
Heartland (Canadian TV series),159
I Simpson,600
Dilbert (serie),30
I delitti del cuoco,11
Nonni and Manni,6
La que no podía amar,162
The Powerpuff Girls,78
Les Maîtres de l'horreur,26
Animali meccanici,37
Hot Pursuit (TV series),55
Animals Do the Funniest Things,25
American Idol Extra,42
The Shapies,27
Shagun,688
الحدائق والمنتزهات (مسلسل),125
Łowca krokodyli (program popularnonaukowy),60
Adventure Inc.,22
Boy Meets Girl (2015 TV series),12
Scrubs: Interns,12
Twin Peaks,30
معجب عجيب (برنامج تلفزيوني),1050
Il bello delle donne,36
فيفي والزهرات الصغيرات,121
超人力霸王銀河S,16
Casa Cecilia,20
Fame L.A.,22
Młode lwy (serial telewizyjny),22
The Bubble (game show),6
Es war einmal … die Entdeckung unserer Welt,26
Timmy Time,82
Un passo dal cielo,46
Don Fumino,26
Rookie Blue,74
Conan (série télévisée),22
Creative Persons,13
Wallace & Gromit,6
Tool Academy (U.S. TV series),27
Eyewitness (1994 TV series),39
My Ghost Story,75
Muchacha de barrio,202
Crime Busters x 2,20
How the Earth Was Made,26
Gawayn,104
A Third Testament,6
Brotherhood (televisieserie),29
The Six Million Dollar Man,106
Und täglich grüßt das Erdmännchen,53
Leap of Faith (TV series),6
Kim Kolwiek,87
Chousei Kantai Sazer-X,38
Designing Women,163
زينا: الأميرة المحاربة,134
The Stones (TV series),10
'Til Death,81
Dr. House,177
Rahe Bipayan,26
Miami Medical,13
Straight Up (TV series),13
Wij Alexander,8
Generations (South African TV series),158
The City,35
Vikings (TV documentary series),3
The Philanthropist (TV series),8
Owen Marshall: Counselor at Law,69
I'm in the Band,42
Expeditie Robinson,192
Iron Man: Armored Adventures,52
Wujcio Dobra Rada,108
Thicker than Water (1973 TV series),9
Kourtney and Kim Take Miami,30
"The Killing (série télévisée, 2007)",40
Close to Home (1989 TV series),19
Drei Engel für Charlie,110
Charlie's Angels (televisieserie),110
幼虎遊龍,72
Saranno famosi a Los Angeles,22
荒原 (電視劇),6
لحبك (مسلسل),90
One Week to Save Your Marriage,9
Bystre Oko,26
Whale Wars,61
Diff'rent Strokes,189
Eesti Laul,14
Chuggington,162
Spenser (Fernsehserie),66
E! News,7500
İntikam,44
Clarence (série télévisée d'animation),78
Człowiek-Pająk i jego niezwykli przyjaciele,24
The Beast (série de televisão),13
Method & Red,13
Finger Tips,120
Flo (serie televisiva),29
菜鸟警察,74
Duch Filharmonii,13
Work Out,23
Il potere del mito,6
Commando Cody: Sky Marshal of the Universe,12
Street Fighter: Assassin's Fist,6
Cutting Ties (web series),5
Extra (Australian TV series),4540
Cory in the House,34
Ménage à trois (série télévisée),22
Vicini terribili,39
Paper Dolls,14
La antorcha encendida,70
Родители (телесериал),103
Where the Legend Begins,27
Animal Atlas,234
十月初五的月光,20
Life (Fernsehserie),32
Mission Scooby-Doo,52
Cesar Millan's Leader of the Pack,12
That's Life,36
The Pebbles and Bamm-Bamm Show,8
Stargate Atlantis,100
La antorcha encendida,140
Biz Kid$,65
So Notorious,10
Un inviato molto speciale,8
Masters of Horror,26
La Famille Passiflore (série télévisée),52
Stargate Universe,40
Action Man (serial animowany),26
WCW Monday Nitro,288
Mandrake (série télévisée),13
Fargo (serie de televisión),20
Sortilegio (telenovela),90
Tom Brown's Schooldays (TV serial),5
California Dreams,78
Sorted (TV series),6
Conflictos de un médico,20
Cold Feet (series 3),8
Cuando me enamoro (telenovela),181
Xuxa (TV series),65
Draw Your Own Toons,20
Lucky 7 (série télévisée),8
Xiaolin Showdown,52
Backstrom (Fernsehserie),13
The David Letterman Show,90
Nurse Jackie,80
Pietro il Grande (miniserie televisiva),4
Amen (TV series),110
The Raw Sessions,8
項羽と劉邦 King's War,80
網中人,80
Son de Fierro,251
Deadly Games,13
Power Play (TV series),26
Trauma (serie televisiva),18
Sunes jul,24
The Election,15
Enquêtes à la une,13
The War at Home,44
Palace of Desire (TV series),37
Pink Panther and Pals,26
Металлопокалипсис,61
时间分解,33
Whatever Happened to That Guy?,8
"Hey, Jeannie!",32
Kurze pause,244
I segreti di Twin Peaks,30
Lo zio d'America,12
Słodki biznes,182
Охотники (телесериал),13
The Doctors (1969 TV series),160
陌生血親,12
Aşk-ı Memnu,79
لا يمكن أن تكون أجاثا,5
Qual é o Seu Talento?,112
Range Rider,79
Close to Home,44
The Brain (game show),36
Highlander: The Series,119
The Emperor's New School,52
不滅の李舜臣,104
Concentration (game show),3770
Hero 108,104
Stand By Your Man (TV series),8
Beetlejuice – Ein außergewöhnlicher Geist,94
"Machos (série télévisée, 2003)",163
Le Muppet Show,120
Bangers and Mash (TV series),24
N1ckola,101
Special Squad (1984),43
アイ・ラブ・ルーシー,181
Angry Birds Stella (TV series),26
Glam Fairy,20
Klinika dla pluszaków,102
King Arthur's Disasters,26
Children's Ward,143
Яркая Радуга,4
The Walking Dead (Fernsehserie),83
Falcon Crest,227
Made (programa de televisão),280
Drumbeat (TV series),22
Buscando Novia a Papá (serie de televisión),73
كان يا ما كان الحياة (مسلسل),26
Family (serie de televisión),86
Martin Chuzzlewit (TV series),6
معجب عجيب (برنامج تلفزيوني),192
Jay Jay le petit avion,60
Audrina,10
Hootenanny (muziekprogramma),22
Ramez Wakel el-Gaw (TV show),30
Hollywood Squares,46
チャーリーズ・エンジェル,110
Hubworld,52
Exclusive (Malaysian TV series),20
Exile (TV series),3
Driving Force (TV series),24
Huntik: Secrets & Seekers,52
Shit! My Dad Says,18
ごめん、愛してる,16
传奇皇帝朱元璋,50
The Last Templar (miniseries),2
Future Weapons,29
Jam and Jerusalem,16
Transformers: Cyber Missions,13
李小龙传奇,50
Nurses,68
Reno 911!,88
Two-A-Days,16
Miami Medical,13
Вершина зла,38
朱蒙 (テレビドラマ),81
Devotion (TV series),25
Vidas Cruzadas (webnovela),15
Royal Pains,104
Home in Toa Payoh,30
Wolverine and the X-Men,26
Poor Nastya,127
Oswald la pieuvre,26
Band of Brothers (TV series),12
Squadra speciale Lipsia,282
Hyperdrive,12
Monty Python's Flying Circus,45
"Paradise, znaczy raj",56
Stargate Universe,34
Mona the Vampire,65
American Justice,255
Jayce il cavaliere dello spazio,65
成吉思汗 (無綫電視劇),10
101beonjjae propose,15
سوكي فو,26
Emily Erdbeer,50
Amoureusement vôtre,3169
Pan Tau,33
Malparida,175
Плоть и кости,8
Ginga Patrol PJ,26
Forensic Heroes,25
Destruido en segundos,33
La squadra del cuore (serie televisiva),104
Happy Valley (serial telewizyjny),12
Smash (Fernsehserie),32
Clifford's Puppy Days,39
Vamp (telenovela),179
Jack & Bobby,22
Anjo Mau (1976 telenovela),175
Lost : Les Disparus,121
L'undicesima ora,39
Storyteller (serie televisiva),4
Crossbones (serie televisiva),9
Homemade,16
Więzy krwi (serial telewizyjny 1996),8
冒險王奇克,52
Ironside (2013 TV series),9
A Favorita,197
ダークエンジェル (テレビドラマ),43
Timmy geht zur Schule,26
Vai Diego,75
"The Good, the Bad and the Ugly (1979 TV series)",80
Los Trotamúsicos,26
Hope Island (TV series),22
Head over Heels (TV series),8
Rizzoli & Isles,105
Mi pecado,110
Next of Kin (TV series),22
Sanctuary (série télévisée),59
Hank (serie televisiva 1965),26
Man in a Landscape,10
Vrijbuiters (televisieserie),104
Geronimo Stilton (serial animowany),78
Raw (série télévisée),30
Southland (serie de televisión),43
Arriva Cristina,36
Download (game show),257
Impact Wrestling,639
Jumanji (serie animata),40
Legenda Korry,52
The Price Is Right (U.S. game show),86
Warriors in Transit,8
Verbotene Liebe,4664
Bad Guys (TV series),11
Pitt & Kantrop,39
La Légende d'Hawkeye,22
La chica de ayer (serie de televisión),8
Buzzer Beat,11
Backyard Blitz,159
The Family (telessérie),12
Дамское счастье (телесериал),16
Kommissar Rex,90
Mexico's Next Top Model,52
"Be Cool, Scooby-Doo!",21
Le avventure di Chuck & Friends,39
Night Court,193
アドベンチャーズ・オブ・ソニック・ザ・ヘッジホッグ,65
Der Sentinel – Im Auge des Jägers,65
La intrusa (telenovela mexicana),135
Total Wipeout,57
La Légende de Dick et Dom,33
The Real World: Austin,24
Герои (телесериал),77
Absolutely Fabulous,39
Sanctuary (televisieserie),59
The Skatebirds,16
Goodyear Television Playhouse,143
Iron Man (TV series),26
Hollywood Girls Night,6
The High Fructose Adventures of Annoying Orange,60
Line of Fire (2003 TV series),13
Stargate Universe,34
Ang Iibigin Ay Ikaw,200
Flor - Speciale come te,361
The Amazing Spiez!,52
Survive This,26
Kulisy II wojny światowej,6
Jack & Bobby,22
El club de la herradura,78
30 Rock,138
رحلة الأصدقاء,26
"Партнёры (телесериал, 2014)",10
Blackfly (TV series),26
The Killing (série de televisão),44
瑠璃の島,10
K-9 (série télévisée),26
Podróż do serca świata,26
Uncle Grandpa,108
Iron Chef,14
Prenez garde à Batman !,26
The Royal Bodyguard,6
The Game (Fernsehserie),147
G.I. Joe: Renegaci,26
Let's Get Inventin',91
Patrol ng Pilipino,119
666 Park Avenue,13
The Fresh Prince of Bel-Air,148
Elliot Moose (TV series),26
Ed and Oucho's Excellent Inventions,26
Orphan Black,40
愛情魔髮師,22
Goło i wesoło (program telewizyjny),120
Las máscaras,80
Psych,121
Llamas de la vida,253
Banshee (TV series),38
The Four (TV series),25
My Secret Identity,72
Hawaii Fünf-Null,279
恩賜之地,38
Pasión morena,185
The Night Shift (TV series),35
Winner Takes All (game show),248
"Naked City (série télévisée, 1958)",99
Kindred: The Embraced,8
Strange Luck,17
Shasta (série télévisée),22
触摸未来,26
Ironside,199
Vinnie & Bobby,7
آفاتار: أسطورة أنج,61
Who Do You Think You Are? (U.S. TV series),61
M.A.N.T.I.S.,22
Men of a Certain Age,22
The Cube (game show),79
Banshee – Small Town. Big Secrets.,38
Je ne devrais pas être en vie,60
Brain,20
Crossbones (TV series),9
Ziemia: Ostatnie starcie,110
Sylvanian Families (1987 TV series),13
Kya Mast Hai Life,126
Reno 911!,88
Bollywood Hero,3
Wo de yi wan mian bao,12
In the Heat of the Night (TV series),142
Sentinel (serie televisiva),65
Delta (serie televisiva 1992),17
Dancing Stars (season 2),22
Beagle: In Darwin's wake,35
Zbuntowany anioł,270
10 أشياء أكرهها بشأنك (مسلسل),20
Cień anioła,43
Touch (série télévisée),26
Perfect Strangers (televisieserie),150
Conspiracy in the Court,8
Glee プロジェクト 〜主役は君だ!,21
Popples (serie televisiva),44
HomeMADE,16
Police Women of Memphis,12
К-9 (телесериал),26
Plaże Malibu,10
Angie Tribeca,20
The Flying Fox of Snowy Mountain (1999 TV series),40
Tęczowa kraina,4
The City (2008 TV series),35
The Janice Dickinson Modeling Agency,41
Miłosna szkoła przetrwania,60
Nasaan Ka Maruja?,15
Victorinos,153
Record Breakers,276
El nuevo show del Pájaro Loco,53
The Quatermass Experiment,6
Byli sobie odkrywcy,26
Clarence (2014 TV series),78
King of Cars,26
The Doctors,5155
Znudzony na śmierć,24
Обитель Анубиса,190
Rosita Fresita: Aventuras en Tutti Frutti,65
مغامرات تشاك والأصدقاء,39
Sa Re Ga Ma Pa Marathi L'il Champs,63
繾綣仙凡間,20
英雄·刀·少年,20
The Glee Project,21
迷失,121
Biuro (brytyjski serial telewizyjny),12
Il était une fois... les Explorateurs,26
Stargate SG-1,214
New Adam-12,52
Lopez Tonight,286
I Fantaeroi,52
Dog Bites Man,10
East Side/West Side,26
Booker,22
The Story of Maths,4
Jugni Chali Jalandhar,330
River Monsters,51
超級英雄 (電視劇),12
我一定要成功,201
マットの鉄道万歳!,8
Aquarius (serie de televisión),26
Laverne & Shirley,178
"Help Me Anthea, I'm Infested",3
A Picture of Katherine Mansfield,6
Mako: Island of Secrets,68
Broken Arrow (TV series),73
La vita secondo Jim,182
Lost (série de televisão),121
Deep Water (TV series),4
CHAOS,13
The Player (2015 TV series),9
Bait Car (TV series),135
Rebus (TV series),14
Alles was zählt,2500
Cielo negro,20
كان يا ما كان المكتشفون,26
Wallace y Gromit,6
City of Angels (2000 TV series),24
Deal or No Deal (Hong Kong),52
Por tu amor,90
Wolf Lake,10
Игрок (телесериал),9
小爸爸上學去,16
Disband (TV series),29
Ragin' Cajuns (TV series),7
باباي (رسوم متحركة),35
雪人波利,36
Nowhere Man (serie de televisión),25
Misión S.O.S,125
C.P.O. Sharkey,37
Prawdziwe przekręty,109
Cracker (televisieserie),25
Parker Lewis – Der Coole von der Schule,73
The Big Impression,31
The Man from Blackhawk,37
Powers (U.S. TV series),20
電子戦隊デンジマン,51
That's Life (2000 TV series),36
"Taxi (série télévisée, 1978)",114
Affari a quattro ruote,13
Resurrection (série télévisée),21
Life (telessérie),32
Más sabe el diablo,182
The Kids in the Hall,102
Full English (TV series),6
Batman (serial animowany 2004),65
"Goede tijden, slechte tijden",5290
Mara Clara,1167
ゆかいなブレディー家,10
Camp Molloy,60
Iss Jungle Se Mujhe Bachao,40
Næturvaktin,12
Laverne & Shirley,178
The Office (serie televisiva 2001),12
According to Jim,182
Secta de sangre,8
Cucumber (TV series),8
Smash (TV series),32
扶伤,18
O Máskara (desenho animado),54
Objection!,38
Foofur,26
Be Happy (TV series),20
Polizeibericht (Fernsehserie),762
Atrévete a soñar,261
Expedition Africa,8
Pan Tau (serie televisiva),33
Le Juste Prix,5387
PopPixie,52
Open House (TV series),24
Can't Lose,18
美味關係 (台灣電視劇),20
心理探偵フィッツ,25
Оружие будущего (телесериал),29
Mystery 6,6
Dr House,177
おっはよー!アンクル・グランパ,108
泰星來客,110
"Justice (série télévisée, 2006)",13
Dead Famous (TV series),31
Kyodai Ken Byclosser,34
Captain Z-Ro,26
Hollywood Squares,585
Measure of Man,25
The Real World: Denver,28
ChuckleVision,292
My Drunk Kitchen,44
Smile Again (2006 TV series),16
Farscape: The Peacekeeper Wars,2
Katorse,100
The Night Shift,35
Backstrom,13
Легион Супергероев (сериал),26
Tiny Toon Abenteuer,100
Awake (telessérie),13
Declassified,13
Zero (TV series),20
彼女がラブハンター,16
Huang Taizi Mishi,32
隨時候命,30
The Skinny Dip,8
FNS歌謡祭,44
Men of a Certain Age,22
106 & Gospel,6
Masters of Horror,26
"I'm Sorry, I Love You",16
Valeria medico legale,21
A-Team,98
Lo que el tiempo nos dejó,6
Prairie Profile,15
Throb,48
Tabaluga,78
Prince Regent (TV series),8
El reino del suricato,53
Empire (2012 TV series),5
والاس وغروميت,1
余光,13
L'Homme de fer (série télévisée),199
Siostra Jackie,80
Planet Sheen,26
Final Fu,20
قوس قزح (رسوم متحركة),4
Quark (TV series),8
ذا دوكس اوف هازرد,147
Paris Hilton's Dubai BFF,9
Forbrydelsen,40
Era Uma Vez... as Américas,26
Spellbinder 2: Terra do Senhor do Dragão,26
Mount Royal (TV series),16
Off Their Rockers (Australian TV series),8
Fee Fi Fo Yum,26
Null gewinnt,831
El sol sale para todos,140
Wallace & Gromit,30
Mito Kōmon,1227
Unzipped (TV series),14
Trust Me (serie televisiva),13
Mel and Joey,360
Papi Ricky,139
Lo que es el amor,140
Shibuya Fifteen,12
Iridella (serie televisiva),4
The Doctors,5155
Do Not Disturb,7
ウォーキング・デッド,83
Chuck (televisieserie),91
Il giovane Montalbano,12
奇男怪女,170
Grow Your Own Drugs,12
Копы-новобранцы,74
The Brady Bunch,10
My Alibi,19
幪面超人電王,49
Érase una vez... el hombre,26
Thunder (TV series),13
Aftermath (2016 TV series),4
Malowanki,50
The T.O. Show,27
Silk Stalkings,176
High Society (1995 TV series),13
Butch Patterson: Private Dick,39
Hustle (televisieserie),48
Double Time (TV drama),1
Jeden plus dziesięć,80
Wind at My Back,65
Imperium (serial telewizyjny 2015),34
Zakon ljubavi,73
كيك باتاوسكي: المغامر,103
Ozzy & Drix,26
An Age of Kings,15
Парень встречает девушку,4
Italian Restaurant,8
Ravenswood (Fernsehserie),10
Zanzibar (TV series),41
Thirtysomething,85
Уоллес и Громит,30
Bad Guy,17
Flashpoint (TV series),75
The Incredible Human Journey,5
Parenthood,103
Samantha (telenovela),120
The Curiosity Show,500
Clueless – Die Chaos-Clique,62
Orgoglio (TV series),39
Flashpoint (serie televisiva),75
Don Amor,126
Toddlers & Tiaras,108
Victoria Wood with All the Trimmings,1
Kyle XY,43
T.I.'s Road to Redemption,9
Top Cat,30
Wonder Woman (televisieserie),59
Alles Atze,63
Bright Promise,605
Bookaboo,55
Conan l'Aventurier (série télévisée d'animation),65
Batman (Zeichentrickserie),86
RuPaul's Drag Race,109
Sanctuary – Wächter der Kreaturen,8
Terapie,45
先生貴性,20
K-9 (TV series),26
Mona le vampire,65
Nickelodeon Launch Box,9
Wallace & Gromit,2
Принцесса Сисси,52
World Chess News,391
Soccer Aid,13
Doctor in the House (serial telewizyjny),26
The IFC Media Project,6
Spring Waltz,20
Hollywood Squares,1050
La Légende des super-héros,26
"Sex, Chips & Rock n' Roll",6
Hollywood Squares,46
سمانتا (مسلسل),120
Brothers & Sisters - Segreti di famiglia,109
HGTV Star,63
イケメン探偵倶楽部MIT,16
Las aventuras de Tintín (serie de televisión),39
Conan (émission de télévision),945
Line of Fire (2002 TV series),103
Tripp’s Rockband,42
Rush Hours,13
Epic Rap Battles of History,64
The Man from U.N.C.L.E.,105
Nurse Jackie,80
The Stranger (1973),1
'Til Death,81
反轉劇,87
السيارة العجيبة,13
Boys and Girls Alone,4
Ashes to Ashes (série télévisée),24
Macy's Thanksgiving Day Parade,89
Homemade Jam,3
Sport Billy,26
Life (serie de televisión),32
Animal Mechanicals,37
McMillan y esposa,40
Nothing in Common (TV series),7
Gormenghast (TV serial),4
Street Fighter (TV series),26
90 Days,26
Whale Wars,61
Heroes Reborn,13
時空戰記RAYFORCE,52
Villa Dulce,26
Bajarz (serial telewizyjny 1987),9
Jane the Virgin,45
Adventures of Sonic the Hedgehog,65
Shark Tank,155
Til Death - Per tutta la vita,81
Op zoek naar Mary Poppins,9
Mask Man (cartoon),39
برنامج الدائرة,131
Chunja's Happy Events,111
Open House with Gloria Hunniford,135
The Black Adder,6
Downtown no Gaki no Tsukai ya Arahende!!,1323
Canavial de Paixões,116
The Dr. Oz Show,1000
Последний тамплиер,2
Char Khooneh,187
祖先保佑,20
Wielki świat małych ludzi,239
Когда рушатся плотины,2
StarStruck (season 1),71
A Touch of Cloth,6
Honey West (TV series),30
Папашина армия,80
Лучше звоните Солу,20
Cambio de Clase,69
Los pioneros del mañana,17
霹靂MIT,16
Personne n'y avait pensé !,125
Entourage (televisieserie),96
Queen Seondeok,62
Les Petites Crapules,52
The Last of the Baskets,13
Murder Prevention,6
A Indomada,203
The Ghost of Faffner Hall,13
Lost (serie televisiva),121
Xena – Die Kriegerprinzessin,134
Fragolina Dolcecuore,50
