http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Nacional Táchira,42500
Carpi FC 1909,4144
MC Oran,40000
Dynamos Football Club (Afrique du Sud),20000
FC Felgueiras,8000
Ascot United F.C.,1150
PSAP Sigli,15000
VV Capelle,4000
Kickers Emden,7200
Витебск (футбольный клуб),8100
Nagdlunguaq-48,2000
AO Kavala,10500
Мелилья (футбольный клуб),12000
Foolad Natanz F.C.,5000
Club Deportivo Coslada,2500
Stade Centrafricain,20000
Erbil SC,40000
FK Mladost Podgorica,2000
كيلتي هارتز,2300
نادي كهر دورود لرستان,3600
FK Zemun Belgrado,10000
Borussia Dortmund,81359
Antalyaspor Kulübü,32539
Deportivo Galicia,15000
Futbol'nogo kluba CSKA Pamir,7000
Győri ETO Football Club,16000
Ballspielverein Borussia 1909 e. V. Dortmund,81359
Audax Italiano La Florida,12000
SC Hakoah Berlin,5700
伊斯克拉斯塔利足球俱樂部,4500
布羅尼體育會,15004
Icheon Citizen,25000
FK Gostivar,1000
SC Fürstenfeldbruck,5000
Pumas Morelos,15000
Смена-Зенит,21570
FC Chiasso,11160
"Рязань (футбольный клуб, 1995)",25000
Nagdlunguaq-48,2000
Lokomotiv Gorna Orjachovitsa,10500
Paxtakor Taschkent,35000
US Ivry,2000
Dakar UC,10000
Akonangui Football Club,4000
Jeunesse sportive de Kabylie,15000
Darwen Football Club,4000
Comunicaciones Buenos Aires,3500
Apolonia Fier,6800
CD As Pontes,2000
Sănătatea Cluj,2000
Sirijus Klaipėda,9000
Heather St John's F.C.,1500
Kırklarelispor,2000
Athletic Club,53289
大田コレイル,17371
Pachuca Juniors,27512
برسيبورا جايابورا,30000
Valdez S.C.,12000
Club Deportivo Lugo,8000
Racing Club Vichy football,4900
FK Banga Gargždai,2000
CD Feirense,5401
KS Iliria,3000
FK Rostów,15840
Sporting Praia,8000
Clodiense S.S.D.,3622
Envigado FC,11000
CS Pandurii Târgu Jiu,20054
Caravaca Club de Fútbol,2000
Гостивар (футбольный клуб),1000
UD Gijón Industrial,3000
Évian Thonon Gaillard Football Club,15660
Forest F.C.,1000
Saint-George SA,35000
1. FC Tatran Prešov,5410
Club Esportiu Alaior,2500
Pärnu Linnameeskond,1501
A.C. Palazzolo,6000
佩塔提克瓦工人足球俱乐部,11500
Bogotá F.C.,8000
Лез Астр,30000
Cabinteely F.C.,1620
Thể Công,22000
伊维恩托农盖拉德足球俱乐部,15660
FC Nanumaga,1500
FC Stavropol,16000
Ordizia KE,1600
Persib Maung Bandung,38000
拉達陶裡亞蒂足球會,18000
Lydney Town A.F.C.,90
Podosfairiki Anonymi Etaireia Atromitos,10300
نادي الوند همدان,8000
Anges de Notsè,1000
Skövde AIK,4500
Al Moqaouloun al-Arab,35000
US Vibonese Calcio,6500
SC Weiz,2000
كاواساكي فرونتال,26232
Nistru Otaci,2000
Football Club Chiasso,11160
FC Darida,6000
Montedio Yamagata,20315
JK Tulevik Viljandi,2506
Virginia Beach Mariners,10000
Sokoł Saratów,15000
Porto Alegre Futebol Clube,500
アフリカ・スポール,20000
Ahli Sidab Club,18000
بوروسيا مونشنغلادباخ,54057
"Неман (футбольный клуб, Мосты)",2500
Clube Atlético Ferroviário,20000
アルビールSC,40000
Цуг-94 (футбольный клуб),4900
Herfølge Boldklub Køge,8
D.C. United,45596
ホアンアイン・ザライFC,12000
Sham Shui Po SA,1216
FC Dynamo Kirov,2000
MKS Kluczbork,2100
Pécsi Mecsek Futball Club,7000
Nepal Police Club,20000
Al-Wakrah Sport Club,12000
Kapaz PFC,27000
Club Deportivo Burriana,4000
Polonia Wilno,5422
HVV Hollandia,2500
Ванкувер Уайткэпс,22120
Melbourne Victory,53359
Club Deportivo Everest,3500
沃绍什体育俱乐部,18000
Guerreros Atlixco,1684
CD Anguiano,1000
В-Варен Нагасаки,20246
Реал Аранхуэс,8000
Rayo Vallecano de Madrid (femminile),2000
Club de Deportes Santiago Morning,5000
Tacuarembó FC,12000
Benfica Lisbonne B,2720
SD Ponferradina B,6000
KP Chemik Police,2795
"Эстремадура (футбольный клуб, 2007)",11580
FC Locarno,11000
A.C. Belluno 1905,2585
IR Tanger,45000
União São João EC,22000
Yaracuyanos FC,10000
Hapoel Kfar Saba,5800
Impuls Diliżan,2100
Barenburger Sportverein Kickers Emden e.V.,7200
SCラインドルフ・アルタッハ,8500
Football Club de Gueugnon,13800
CD Guijuelo,1500
Club Deportivo Unión Juventud,25000
Associação Académica da Praia,8000
UD Salamanca,17341
Association Sportive Beauvais Oise,10178
Maccabi Ahi Nazareth F.C.,4932
Podosfairikos Anonymi Etaireia Apollon,14856
Raed Chabab Kouba,10000
密歇根雄鹿队,2000
نادي لوغانو,6330
CP Valdivia,600
Йени Малатьяспор,13000
SC Opel Rüsselsheim,8000
Jalgpalliklubi Narva Trans,2200
Città di Brindisi,7600
CD Coslada,2500
Atletico Piombino,3
Coton Sport FC de Garoua,22000
Seregno Football Club 1913,3700
BFC Preussen,5000
Brickfield Rangers F.C.,1000
Racing Club Haïtien,10000
SVヴィルヘルムスハーフェン,7500
Melbourne Victory Football Club,30050
Тур (футбольный клуб),16247
CD Guijuelo,1500
Klubi Sportiv Kamza,4800
Sporting de Huelva,800
Seregno Calcio,3700
SpVgg Landshut,10000
Association sportive de Korofina,35000
Rudnianka Rudna Wielka,500
SG Quelle Fürth,7000
Ferroviário Atlético Clube (CE),4200
Hafari Ahvaz F.C.,30000
Sportfreunde Eisbachtal,6000
Real Club España,1000
Apollon Limassol,13331
马斯里体育俱乐部,17988
ドロヘダ・ユナイテッドFC,2000
Maghreb Tétouan,15000
FK Baumit Jablonec,6108
BSC Old Boys Basel,8000
FC Locarno,11000
Águia de Marabá Futebol Clube,4500
Мазаалай,3500
FC Dinamo Kutaisi,14700
California Victory,10000
Highlands Park F.C.,13500
Inter Fútbol Sala,2700
Club de Deportes Santiago Morning,5000
Maritzburg United,12000
伊蒂法克足球俱乐部,26000
Альмерия B,13468
Pandurii Târgu Jiu,20054
HNK Šibenik,8000
Dila Gori,5000
Desportivo Maputo,4
Deportes Quindío,21500
Mangotsfield United F.C.,2500
برسيبو بوجونيغورو,15000
SpVgg Ludwigsburg,18000
Club Deportivo Ferroviario Almirante Arturo Fernández Vial,30448
Samut Prakan United F.C.,1000
FC Milsami Orhei,2539
Futbol'nyj Klub Metallurg Lipeck,14940
Desportivo de Maputo,4
Металлург-Оскол,15000
Porto Alegre FC,500
Club Atlético Progreso,8000
Al-Khor,12000
Sestao River Club,8905
Torslanda Idrottsklubb,1500
جومبي يونايتد,12000
"Свифт (футбольный клуб, Эсперанж)",3058
卡法薩巴夏普爾足球會,5800
El Mansoura Sporting Club,20000
皇家普托斯足球會,32000
Fußball- und Sportverein Erlangen-Bruck e.V.,1000
Glebe Rangers F.C.,1000
Stal Rzeszów,12000
Jönköpings Södra Idrottsförening,5500
Freetown City F.C.,30000
Beitar Nes Tubruk F.C.,500
النادي الأهلي (قطر),18000
Al Mansourah Sporting Club,20000
JEF United Ichihara Chiba,19781
CD Masnou,2000
Dallas Sidekicks (1984–2004),16626
Al-Ahly Benghazi,55000
Barendrechtse Voetbalvereniging Barendrecht,1500
Náxara CD,1000
CD Beniel,4000
Athletic Club,53289
SV Grödig,4128
FC KTP Kotka,4780
Haro Deportivo,4000
Diósgyőri VTK,11500
Fudbalski Klub Makedonija Gjorče Petrov,3000
أولمبيك تشاتيفا,9000
OFC Pomorie,2000
AFC Săgeata Năvodari,5000
Club Deportivo Mendi,1500
FK Kuban Krasnodar,31654
Tipton Town L.F.C.,1000
نادي المغرب الفاسي,45000
Víkingur Gøta,2000
Amiens Sporting Club Football,12097
Monagas Sport Club,51796
FK Sileks Kratovo,1800
Győri ETO FC,16000
FCザリア・バルツィ,5953
Club Deportivo Lagun Onak,1500
Al-Suwaiq,14000
ハノイT&T FC,22500
Persebaya Surabaya,55000
Fútbol Club Deportivo Galicia,15000
CD Ensidesa,1500
FC Avangard Podolsk,11962
SKA-Energia Chabarovsk,15200
US Yatenga Ouahigouya,5000
Budapesti Vasas Sport Club,18000
佩西比萬隆,38000
Club Oriental de Football,2000
Łokomotiw Mezdra,5000
帕莱斯蒂诺体育俱乐部,12000
Futbol'nyj Klub Dinamo Vologda,10000
Club Deportes Cobresal,20752
Sociedade Boca Júnior Futebol Clube,2000
Al-Ansar (Beirut),22000
Кобресоль,21000
FC Arbon 05,1500
FC Clifton Hill,2000
Glebe Rangers FC,1000
11 октября (футбольный клуб),15000
Каха Сеговия,2800
CD La Muela,1500
AD Cerro de Reyes,3500
Patriotas FC,21000
Club de Fútbol Villanovense,4000
AS Cherbourg,7000
FK Rostov,15840
FK İnter Baku,8152
Qviding FIF,4
UN Käerjéng 97,1000
メルボルン・ビクトリーFC,30050
Torslanda IK,1500
Aris SC,2000
CE Alaior,2500
Mouloudia d’Oujda,35000
科佩爾足球俱樂部,4047
ASD Chieri Calcio 1955,3000
Hapoel Ramat Gan FC,41583
Carabobo FC,10400
نادي أنجي محج قلعة,24859
Brisbane Roar,52500
AC Allianssi,4700
Club Deportivo Godoy Cruz Antonio Tomba,21774
Chamois Niort,10898
FK Zemun,10000
Diósgyőri VTK,11500
MFK Viz-Sinara Yekaterinburg,5000
TSV Rain am Lech,3
KS Kastrioti,10000
Эльденсе,4036
Al-Khor Sports Club,12000
FC Iskra-Stal Rîbnița,4500
TSG 1899 Hoffenheim II,6350
União Desportiva Oliveirense,4000
La Roche Vendée Football,9000
メルボルン・ビクトリーFC,53359
Krabi F.C.,6000
Aydınspor Kulübü,15000
ヴェルダー・ブレーメン,42100
نصر حسين داي,20000
Club Deportivo Alcoyano,4500
哈維德夫足球會,12000
Al-Arabi (Qatar),13000
FK Koeban Krasnodar,31654
Nadi Football Club,18000
Portimonense SC,9544
شباب بلوزداد,15000
Jeanne d'Arc de Drancy,2500
Dunakanyar-Vác FC,12000
Real Potosí,32000
Étoile sportive Football Club Malley,3500
Samut Prakan F.C.,3500
Hangzhou Lücheng Zuqiu Julebu,52672
F.C. Vittoria,3000
VV Capelle,4000
CD Puerta Bonita,4000
Jenisiej Krasnojarsk (piłka nożna),22500
Football Club Jazz Pori,12600
Taipei Physical Education College,18000
SV Alsenborn,8000
Melbourne Victory Football Club,53359
Nîmes Olympique,18482
Tallinna JK Legion,500
Ponte San Pietro-Isola,2000
鲁维奥尼尤俱乐部,4500
Hertha BSC Berlin,74475
Universidad San Martín,17000
Al-Gharafa Sports Club,25000
Brusque Futebol Clube,5000
Corporación Club Deportivo Tuluá,16000
Dianella White Eagles SC,1500
Atlético Granadilla,2000
Carolina RailHawks,10000
Racing Club Haïtien,10000
Clube Recreativo Desportivo do Libolo,10000
Хоангань Зялай,12000
普列夫利亞礦工足球俱樂部,5140
Al-Arabi (Koeweit),26000
نادي فارزيم,11000
Clube Recreativo Desportivo do Libolo,10000
Association Sportive des Forces Armées Royales (AS.FAR),52000
Singburi F.C.,3449
祖安奧列治,23000
Olympic Real de Bangui,35000
Zorka-BDU Mińsk,1500
梅西亞天主教大學足球會,6500
Al-Rayyan Sports Club,27000
نيوكاسل يونايتد,52354
الاتحاد الرياضي لمدينة سطيف,30000
Sporting Clube Farense,15000
Ventforet Kofu,17000
Аскар Луго,2500
FC Bern,14000
União Desportiva Oliveirense,4000
圖積蘭奴斯足球會,25000
SD Reocín (women),1000
Club Deportivo Zuera,2500
FC Hakoah,100
"Deportivo Alavés ""B""",2500
Kawkab Marrakech,45
UD Barbastro,5000
Football Club Wiltz 71,2000
GKS Tychy (piłka nożna),15150
Karvan Yevlax,5000
Étoile Carouge Football Club,7200
Association Sportive La Jeunesse d'Esch,4000
نادي كريتيل,12150
Jönköpings Södra Idrottsförening,5500
SC Dornach,2500
Interblock Lublana,500
Timersoqatigiiffik Nagdlunguak 1948,2000
FC Wohlen,5000
TSG 1899 Hoffenheim II,6350
タンペレーン・パロ・ヴェイコト,5040
Эмирейтс (футбольный клуб),4830
Club Deportivo Cobeña,2000
ED Láncara,6000
Windsor Arch Ka I,1700
W Connection,10000
CD San Roque,3500
FC Kreuzlingen,1200
Tractor Sazi FC,66833
VfL Oldenburg,3500
Conilon Futebol Clube de Jaguaré,4000
Zimbru Chișinău,10400
Sociedad Deportiva Huesca,5500
FCスタッド・ニヨン,7200
Diambars Football Club de Saly,2000
Marca Futsal,1100
Shabab Al-Dhahiriya SC,24000
JEF United Ichihara Chiba Ladies,14051
Portland Timbers sub-23,21144
Athlītikos Syllogos Olympiakos Volou 1937,9000
Suwon FC,11808
Нитра (футбольный клуб),5050
Hoboken FC 1912,1720
Аль-Батин (футбольный клуб),3000
FK Púchov,6080
Millwall Lionesses Ladies Football Club,20146
新波洛茨克足球俱樂部,5300
Stade Tunisien,18000
JA Drancy,2500
紐約城足球俱樂部,33444
Grêmio Esportivo Sapucaiense,2500
Inter Moengotapoe,5000
Energhetic Dubosary,3000
AD Guíxols,2500
秋明足球會,13057
FC Cetatea Suceava,12500
Club Deportivo Azuqueca,1000
Tatran Liptowski Mikułasz,1950
El Mansoura SC,20000
Klubi Sportiv Flamurtari Vlorë,8500
BA Stars F.C.,41
Трухильянос (футбольный клуб),25000
Unión Deportiva Puzol,2000
ドンカスター・ローヴァーズ・ベルズLFC,15231
Novelda CF,5000
Floridsdorfer AC,3000
Hibernians Football Club,4000
HNK Šibenik,8000
Нафтан (футбольный клуб),5300
Cwmaman Institute F.C.,5000
Deportes Tolima,30000
Società Sportiva Lazio,70634
FSV Erlangen-Bruck,1000
Teraktor Sazi Tebriz,66833
CD Huachipato,10500
FC Samtredia,3000
Stade Malien,60000
Gölbaşıspor,5124
Al-Ahly Doha Sports Club,18000
"Хапоэль (футбольный клуб, Беэр-Шева)",16126
كريستال بالاس,25456
نادي ناكيفوبو فيلا,5202
FCジェムチュジナ・ソチ,10200
SV Werder Bremen,42100
Al-Fateh Saudi Club,19096
Botafogo FC (João Pessoa),25770
FC Hebros,5000
Sportclub Rheindorf Altach,8500
نادي وحدت قم,3000
FC Breitenrain,1500
Real Maya,5000
Club Atlético San Martín (San Miguel de Tucumán),30500
Al-Gharafa Sports Club,25000
FK Sutjeska Nikšić,5214
UDサラマンカ,17341
Football Club Déifferdeng 03,2400
Elazığspor,13923
Pärnu Linnameeskond,1501
CS Avion,4800
Депортиво Колония,8000
Alfonso Ugarte de Chiclín,25000
SV Wienerberg,3
Кабушкорп,12000
Club Deportivo Jorge Wilstermann,36000
نادي الكرخ,6000
Зимбру (футбольный клуб),10400
MFK Zemplín Michalovce,4440
SV Memmelsdorf/Ofr.,4000
Ferroviário Atlético Clube (Fortaleza),4200
FC Blau-Weiß Linz,2000
نادي المنصورة,20000
CSD Independiente del Valle,8000
PFK Turan Tovuz,10000
Nadi Football Association,18000
Astana Fwtbol Klwbı,30000
Oeste FC,17430
Navarro Club de Fútbol,1500
FK 11 Oktomvri,15000
CF Trival Valderas,1000
呂姆朗日足球俱樂部,2950
Ilva Bagnolese,8000
Mietałłurg-Kuzbass Nowokuźnieck,8500
FC Dunărea Călărași,10000
FK Shkendija 79 Tetovo,15000
"Олимпик (футбольный клуб, Сафи)",15000
Rampla Juniors FC,6000
Ferro Carril Oeste,24442
Acqui Calcio 1911,1500
Turn- und Sportverein 1927 Ampfing,10000
FC Lugano,6330
Postel 2000 FC,30000
Looktabfah F.C.,20000
CP Calasancio,500
UD Almansa,5000
Al-Najaf Football Club,12000
Sportkring Sint-Niklaas,3000
Al-Rayyan Sports Club,27000
インテル・バクーPFC,8152
NKインテルブロック・リュブリャナ,500
Club Deportivo Everest,3500
جمعية الحرس الوطني,10000
نادي اتحاد طنجة,45000
Goslarer SC 08,5001
Envigado F.C.,11000
OFK Mladost Lješkopolje,1200
Yeni Malatyaspor,13000
TPV Tampere,5040
Hartlepool United Football Club,7856
霍布羅體育會,7500
Impuls Sports Club Erebuni Dilidjan,2100
Futbol'nyj Klub Gazovik Orenburg,7500
キャリック・レンジャーズFC,6000
Società Sportiva Maceratese,5846
Deportivo Pereira,30297
Drogheda United F.C.,2000
Tourbillon Football Club,30000
嘉莱黄英足球俱乐部,12000
FC ViOn Zlaté Moravce,4000
卡莱尔联足球俱乐部,18202
CF Gandarío Sanse,1000
PFK Burgas,3000
FC Kalamata,4000
SK Kladno,4000
Gérone Fútbol Club,9286
Playas de Castellón FS,6000
NAC Breda,19000
GÍ Gøta,2000
Goslarer SC,5001
Víkingur Ólafsvík,1130
Cortuluá,16000
Greifswalder SV 04,8000
ENPPI Club,16000
阿拉伯承包商SC,35000
Пярну Линнамеесконд,1501
古迪比足球會,4780
Agrupación Deportiva San Juan,1500
Olympique Club de Khouribga,10000
FSVツヴィッカウ,10000
Futbol'nyj Klub Znamja Truda,8300
F.C. Shahrdari Bandar Abbas,10000
NSTG Asch,3000
NK Rudar Velenje,2341
Football Club de Gueugnon,13800
AD Orcasitas,3000
Vancouver Whitecaps,22120
Moadon Kaduregel Hapoel Ramat Gan Giv'atayim,41583
Фрибур (футбольный клуб),9000
Bobo Sports,10000
Floridsdorfer Athletiksport-Club,3000
Club Deportivo Tuilla,2800
Emirates Club,4830
UN Käerjéng 97,1000
РБ Лейпциг,42959
Enskede Idrottsklubb,1000
FKバンガ・ガルグジュダイ,2000
Лупаренсе,800
UE Llagostera,3724
FC New York,5000
Red Sea FC,20000
Эйр Юнайтед,1597
VfB Helmbrechts,14000
Mes Kerman Football Club,15430
Budapesti Vasutas Sport Club,3816
Unión Deportiva Almansa,5000
Macaé EFC,20
薩利亞巴堤足球會,5953
Torslanda IK,1500
نادي ليناريس,12000
Unione Sportiva Dilettantistica Palmese,5500
Debreceni Vasutas Sport Club,20020
紐約紅牛,25000
FC Istiklol,24000
Red Bull Brasil,19722
Sharjah FC,11073
Győri ETO FC,16000
FC Santa Claus,4000
Águia de Marabá FC,4500
利亚戈斯特拉体育联盟,3724
Hobro IK,7500
Corporación Club Deportes Tolima,30000
Budapesti Vasutas Sport Club,3816
Club Deportivo Illescas,1000
Real Madriz,3000
Charlotte Independence,4300
Club Deportivo Real Mamoré,12000
Unión Deportiva Fuerteventura,2000
Coton Sport FC de Garoua,22000
Varzim SC,11000
Ittihad Alexandrie,86000
CD Fernández Vial,30448
BV Cloppenburg,5001
United Petrotrin Football Club,10000
Athlitikos Syllogos Anagennisi,5800
Lancy Football Club,1500
"Аль-Ахли (футбольный клуб, Дубай)",9415
Selangor FA,80372
Thể Công,22000
Vöcklabrucker SC,5000
C.D. Olivais e Moscavide,3300
Atlético Bello,5000
CA San Martín (Tucumán),30500
Unión Estepona CF,4500
ВА Тлемсен,18000
Club Deportivo Humanes,2000
Club Deportivo Lugo,8000
Blauw-Wit Amsterdam,2000
Tampereen Pallo-Veikot,5040
Maghreb Fez,45000
Sapekhburto Klubi Dila,5000
Avispa Fukuoka,22563
National Port Authority Anchors,10000
CSKA Pomir Doesjanbe,7000
Fussballclub Blau-Weiß Linz,2000
Defensor Villa del Mar,10000
Al-Merreikh Al-Fasher,10000
Deportivo Nueva Concepción,3000
USV Hercules,1000
1. FC Gera 03,15957
"Младост (футбольный клуб, Апатин)",3000
FC Botoșani,12000
Atlético Fútbol Club,33130
Feyenoord Rotterdam,51177
Association sportive Lyon-Duchère,5600
Atlético Levante Unión Deportiva,1000
皇家維戈塞爾塔俱樂部,29000
卡爾季察足球會,5800
Borussia Dortmund,81359
Hapoel Kfar Saba,5800
Club Deportivo Universidad San Martín de Porres,17000
Impulse FC,1280
Albirex Niigata Ladies,18671
"Аякс (футбольный клуб, Кейптаун)",55000
Racing Charleroi Couillet Fleurus,1000
Shkumbini Peqin,5000
Tampereen Pallo-Veikot,5040
Ньон (футбольный клуб),7200
Athlītikos Omilos Kavala,10500
Żemczużyna Soczi,10200
VfL Oldenburg,3500
Club Atlético River Ebro,3000
Monterrey La Raza (2007–10),17599
Skalnik Gracze,1000
Club Deportivo Huarte,1500
Grêmio Atlético Sampaio,6000
Club Deportivo Azogues,9000
Colegio Nacional Iquitos,24000
Santos Futebol Clube de Angola,17000
アル・ムハッラク・クラブ,10000
Doncaster Rovers Belles Ladies Football Club,15231
KF Hajvalia,1000
Ashanti Gold Obuasi,30000
Unión Salaverry,20000
DFK Dainava Alytus,3790
藤枝MYFC,13000
Богота (футбольный клуб),8000
Unione Sportiva Dilettantistica 1913 Seregno Calcio,3700
نادي بريزبن رور,52500
Football Club Niutao,1500
MKS Kluczbork,2100
USブローニュ,15004
FC Ryazan,25000
Carpi F.C. 1909,4144
Пуэрта Бонита,4000
AS Trenčín,3500
Grasshopper Club Zürich (women),1300
Woodley United F.C.,2000
Mouloudia Club d'Oujda,35000
大城府足球會,2000
CD Trofense,5076
アレマ・インドネシアFC,42449
Montego Bay United F.C.,7000
Club Deportivo Puertollano,8000
Suwon FMC WFC,30000
波哥大足球會,8000
AC Bellinzona,5000
SC Borussia 04 Fulda,18000
Valdez Sporting Club,12000
PTTラヨーンFC,12000
FC Monnerich,3300
Agrupación Deportiva Cantabria,1000
1. FC Tatran Prešov,5410
Arema Malang,42449
سبورت وانكايو,20000
Прогресс Нидеркорн,4830
AD Ceuta,6500
UD Collerense (women),1000
Hangzhou Greentown Football Club,52672
Pumas Morelos,15000
Muharraq Club,10000
Sông Lam Nghệ An,18000
C.S.D. Independiente del Valle,8000
Ettifaq FC,26000
FC Chernomorets Novorossiysk,12500
Club Deportes Cobresal,20752
Macaé Esporte Futebol Clube,20
Valencia Club de Fútbol Femenino,3000
Sporting Club de Lutxana,1995
FC Callatis Mangalia,5000
Marca Futsal,1100
Corporación Deportes Quindío,21500
FK Atletas Kaunas,1
Sydney FC (W-League),45500
Фастав (футбольный клуб),6375
Futbolniy Klub Zhemchuzhina-Sochi,10200
Borussia Dortmund,81359
Unió Esportiva Llagostera,3724
Marsa FC,3000
Yangon United F.C.,3500
普雷紹夫足球俱樂部,5410
Deportivo Rayo Cantabria,1000
Stade Malien,60000
Al-Khor Sports Club,12000
塔夸伦博足球俱乐部,12000
VfL Oldenburg,3500
Gaborone United Sporting Club,22500
Étoile Filante de Lomé,10000
Army United Football Club,20000
Petite Rivière Noire SC,5000
Società Sportiva Acqui Calcio 1911,1500
NK Interblock,500
US Rumelange,2950
النادي العربي (قطر),13000
نادي النسور,15000
Fath Union Sport de Rabat,15000
白蘭恩體育會,17686
Silmo Mocuba,5
哈特尔普尔联足球俱乐部,7856
A.C. Rodengo Saiano,2500
MFK Dubnica,5450
FC Koper,4047
Goole A.F.C.,3000
FK Mladost Apatin,3000
CDA Navalcarnero,1571
Condal Club,2000
AFC Telford United,6380
1. HFC Humenné,4750
FC Kuusysi Lahti,4400
Мажейкяй (футбольный клуб),2400
Gazelle Football Club,30000
FC Santa Claus,4000
Avispa Fukuoka,22563
Club de Deportes Ñublense,12000
Chainat Football Club,12000
AS Tempête Mocaf,20000
FC Callatis Mangalia,5000
KS Shkumbini Peqin,5000
Grasshopper Club Zürich (femminile),1300
Universidad Católica de Murcia Club de Fútbol,6500
Club Deportivo Orientación Marítima,7000
Club Deportivo Olímpic,9000
CD Iruña,2500
Schetissu-Sunkar Taldyqorghan,2500
FC Gloria Buzău,18000
Словацко (футбольный клуб),8121
Atlético Monzón,5000
Skála ÍF,2000
Brusque FC,5000
SC Rheindorf Altach,8500
Ameri Tiflis,1000
SC Young Fellows Juventus,2850
KÍ Klaksvík,530
Mengíbar CF,2000
Печ (футбольный клуб),7000
Holmalunds IF,3000
كارديف سيتي,33280
FC Rimavská Sobota,5000
SVグレーディヒ,4128
Comunicaciones Fútbol Club,17022
FC KooTeePee Kotka,4780
Ньор (футбольный клуб),10898
Associazione Sportiva Dilettantistica Unione Calcio Riccione,7000
Granada Club de Fútbol,23934
Football Club Machida Zelvia,10622
Rodopa Smolan,6000
Cumberland United FC,2500
C.S.D. Comunicaciones,17022
Брайтенрайн,1500
FCルーアン,12018
Águilas Doradas,14000
FK Belasica,6500
FC Spartak Plovdiv,3500
GKS Tychy,15150
Caledonia AIA,23000
Fudbalski Klub Dečić Tuzi,3000
FC UTA Arad,2000
Managua F.C.,9000
Apollon Smyrnis,14856
Berliner Fussball Club Preussen 1894 e.V.,5000
Kauno Futbolo Rankinio Klubas Atletas,1
凱萊布澤烏足球會,18000
Nuuk Idraetslag,2000
Стад Мальен,60000
Thai Port Football Club,12000
FC Samtredia,3000
SC Sagamihara,15000
FC Dila Gori,5000
Vancouver Whitecaps FC (2009),22120
AO Itabaiana,14123
維捷布斯克足球俱樂部,8100
