http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaLand
"Lamar, Pennsylvania",2890000.0
Idlewild (Californie),1190000.0
Morris-Turnberry (Ontario),376550000.0
"McIntosh, New Mexico",57676400.0
East Hampton (Connecticut),92200000.0
Кливленд,201240000.0
伊利里亞鎮區 (費耶特縣),95441100.0
Nuovo Messico,3.1459e+11
أبل فالي (يوتا),105413000.0
Saint-Zacharie (Quebec),186660000.0
"Jackson Township, Greene County, Indiana",126884000.0
Battle Creek (Michigan),110359000.0
Paroisse de Kent,839810000.0
Lac des Mille Lacs 22A2,31280000.0
Gmina South Fork (hrabstwo Delaware),108313000.0
Diriamba,349000000.0
Donnacona (miasto),20020000.0
"Lime Creek Township, Cerro Gordo County, Iowa",82905500.0
"Cañones, New Mexico",10717400.0
"Val-Alain, Quebec",102320000.0
"Darby Township, Union County, Ohio",81700000.0
Arts District (Dallas),284899.0
Fossambault-sur-le-Lac,11380000.0
Cabuya (Panama),60600000.0
Distrito electoral de Walsh (Illinois),69200000.0
Valdepiélagos,17000000.0
Camiri,19000000.0
"Glenelg Parish, New Brunswick",505220000.0
"Pipe Creek Township, Madison County, Indiana",109841000.0
Natashquan,203510000.0
"Municipio de Estherville (condado de Emmet, Iowa)",92750000.0
Montana,3.76978e+11
洛杉矶,1214700000.0
Dharaan,100000000.0
"Jackson Township, Sullivan County, Indiana",112043000.0
"Caimito, San Juan, Puerto Rico",14063600.0
Santa Mónica (California),21794700.0
"Longmeadow, Massachusetts",23309900.0
"Iona, South Dakota",325562000.0
馬納爾區,1880000000.0
Albion (Michigan),11421800.0
エイムズ (アイオワ州),62700000.0
Ivujivik,35210000.0
"Derby Parish, New Brunswick",61010000.0
Alturas (Florida),139678000.0
"Cedar Ridge, Tuolumne County, California",20172000.0
"Oberlin, Pennsylvania",340000.0
"Municipio de Etna (condado de Kosciusko, Indiana)",52240100.0
Nesseby,1366890000.0
يوريكا (ميزوري),26806400.0
"Municipio de Frederika (condado de Bremer, Iowa)",48795400.0
"Poole, Nebraska",7000000.0
Нашвилл,1305430000.0
Lindsay (Nebraska),880000.0
Querevalo,34500000.0
"Sainte-Marguerite-du-Lac-Masson, Quebec",92620000.0
لاك ديفينينس (كيبك),101630000.0
Harrington Park,4745000.0
Los Angeles,1214000000.0
Cloridorme,160220000.0
Saint-Roch-Ouest,20780000.0
Notre-Dame-des-Bois,191770000.0
"San Antonito, Bernalillo County, New Mexico",6332520.0
"Notre-Dame-des-Sept-Douleurs, Quebec",11610000.0
Kennedy Meadows,15081000.0
Municipio de Montmorency (Illinois),92669800.0
Villarino de los Aires,102640000.0
Oyster Bay (New York),270395000.0
"Crestmore Heights, California",745917.0
"Pajaro Dunes, California",6635550.0
Bukedea (district),1051700000.0
"Golconda No. 1 Precinct, Pope County, Illinois",125070000.0
Watkins (Iowa),1100000.0
"Walker, Mono County, California",47757000.0
San Fidel (Nuevo México),10898700.0
Sutherlin,15930000.0
"Ithaca, New York",14100000.0
Gmina Washington (hrabstwo Black Hawk),37830000.0
ヒューストン,1642100000.0
Питтсбург,143744000.0
Havaí,16638000000.0
"Municipio de Afton (condado de Sanborn, Dakota del Sur)",89300000.0
"Pleasant Township, LaPorte County, Indiana",63946800.0
Délįne,79440000.0
Hearst (Ontario),98730000.0
Gmina Le Roy (Iowa),54220000.0
Première Nation d'Aroland,3210000.0
Disraeli (ciudad),6910000.0
Dubai International City,8000000.0
Power (Montana),3884980.0
Double Spring,22700000.0
Brooktrails,18836000.0
Eastvale (California),29538800.0
Cascade Township (Iowa),92669800.0
Колумбия (Миссури),163376000.0
"Municipio de Polk (condado de Washington, Indiana)",92825200.0
ミズーリ州,1.78455e+11
Little River (California),4330460.0
"Municipio de Wayne (condado de Starke, Indiana)",94042500.0
"Baker Township, Izard County, Arkansas",52115700.0
阿卡迪亚 (佛罗里达州),10570000.0
Donggala Regency,10471700000.0
イーストウォータールー郡区 (アイオワ州ブラックホーク郡),38030000.0
Bell Canyon,9379000.0
Cherry Valley Township (Ohio),62100000.0
Eugene,113234000.0
"Gardiner (CDP), New York",9900000.0
"Municipio de Cedar (condado de Callaway, Misuri)",121790000.0
Nueva Frontera,155250000.0
"Keeler Farm, New Mexico",29502600.0
نورت دام دي بونتمين (كيبك),262930000.0
Allenwood (Pensilvania),1522910.0
Eureka (Misuri),26806400.0
Mississaugas of the New Credit First Nation,25130000.0
"Municipio de Pleasant (condado de Brown, Ohio)",92800000.0
Gorham (New Hampshire),82600000.0
Machar,184620000.0
Gerber (California),2390000.0
"Howard Township, Knox County, Ohio",58600000.0
New Richmond (Quebec),168840000.0
"Hague, Saskatchewan",1080000.0
"Saint-Malachie, Quebec",100610000.0
Hagerstown (Maryland),31550000.0
Runnels County,2722080000.0
Kinnear's Mills,94090000.0
Stoke,256520000.0
Shady Cove,4950000.0
"Algernon Township, Custer County, Nebraska",239289000.0
"Municipio de Fugit (condado de Decatur, Indiana)",110489000.0
"Jackson Township, Putnam County, Indiana",89510000.0
洛思阿圖斯 (加利福尼亞州),16801300.0
"New Village, New Jersey",2457900.0
Palm Springs (Kalifornien),243761000.0
Power (Montana),3900000.0
Bridgeport (Connecticut),41439800.0
"Municipio de Geneseo (condado de Cerro Gordo, Iowa)",93230000.0
Marble (Carolina del Norte),2800000.0
普瓦斯基縣 (肯塔基州),1704210000.0
Des Moines,230302000.0
"Lime Creek Township, Cerro Gordo County, Iowa",82900000.0
Xian de Shunchang,1985000000.0
モービル (アラバマ州),305360000.0
Gwatemala (miasto),1905000000.0
Ciudad Antigua,147000000.0
"Municipio de Addison (condado de Shelby, Indiana)",71820400.0
بولبلي,60774100.0
Communauté métropolitaine de Montréal,4258310000.0
"Kenneth Township, Sheridan County, Kansas",92566200.0
Setenil de las Bodegas,82000000.0
Municipio de South Branch (Nebraska),92488500.0
Des Moines,233300000.0
波斯特鎮區 (阿勒馬基縣),91012200.0
"Greenville Township, Floyd County, Indiana",86479700.0
Teviston (California),5622860.0
Montreal,365130000.0
Fort Collins,120500000.0
"Municipio de Bigger (condado de Jennings, Indiana)",79486700.0
"Oneida Township, Delaware County, Iowa",94870000.0
Gmina Jackson (hrabstwo Benton),93239600.0
Los Angeles,1214000000.0
Columbia (Missouri),163376000.0
Danbury (Wisconsin),3273740.0
"Lemon Hill, California",4213000.0
Saint-Luc-de-Vincennes,54150000.0
Gmina Grand Meadow (hrabstwo Cherokee),94260000.0
"Sparta Precinct, Randolph County, Illinois",125600000.0
"Municipio de Jackson (condado de Bremer, Iowa)",62884900.0
Gmina Pilot Mound (Iowa),57756700.0
"Lebec, California",39701900.0
"Paradise, Mono County, California",11271600.0
لاك بوابوسكاش (كيبك),99390000.0
"Afton Township, Sanborn County, South Dakota",89300000.0
"Сент-Антони-Виллидж (город, Миннесота)",5830000.0
Hagerstown (Maryland),31550000.0
"Granby, Quebec (township)",80670000.0
Сан-Диего,842238000.0
"Coal Valley Township, Rock Island County, Illinois",30510100.0
Березань (город),32920000.0
"Ash Grove Township, Iroquois County, Illinois",158067000.0
"East Broughton, Quebec",8730000.0
"Municipio de Eudora (condado de Douglas, Kansas)",128160000.0
Krásná (okres Cheb),21840000.0
"Lac-Oscar, Quebec",1689660000.0
Gmina Bloomfield (hrabstwo Trumbull),65800000.0
"Municipio de Washington (condado de Jackson, Indiana)",92877000.0
Annapolis (Illinois),80000.0
"Wiscasset (CDP), Maine",10101000.0
Saint-Jean-de-Dieu,151020000.0
"Municipio de Bird City (condado de Cheyenne, Kansas)",884092000.0
Municipio de French Lick,139471000.0
"Saint-Damien-de-Buckland, Quebec",82270000.0
Arkansas (staat),1.34856e+11
Franklin (Wisconsin),89560000.0
Bennett Springs (Misuri),10700000.0
Boone (Karolina Północna),15720000.0
Isu (Nigeria),40000000.0
"Municipio de Centre (condado de St. Joseph, Indiana)",50064500.0
Honolulu,156700000.0
Jenner (California),5464870.0
Chibougamau,699310000.0
"Pleasant Township, Franklin County, Ohio",111300000.0
مونتريال,365130000.0
"Fort Collins, Colorado",120500000.0
Hatfield (Wisconsin),3462810.0
Розуэлл,77300000.0
Connecticut,12559000000.0
Cullomburg (Alabama),13843500.0
Maragüez (Ponce),13752800.0
Tangerang Selatan,147190000.0
Summerset,5720000.0
"Municipio de Washington (condado de Bremer, Iowa)",51126400.0
"Municipio de Lime Creek (condado de Cerro Gordo, Iowa)",82900000.0
Greenbriar (Florida),1500000.0
Logan Creek,4500000.0
Vallée d'Annapolis,8366320000.0
コロラドスプリングス,503900000.0
アストリア (オレゴン州),15950000.0
"Pleasant Valley Township, Cerro Gordo County, Iowa",93090000.0
Montana,3.76978e+11
"Catmon, Bulacan",8285370.0
Palm Springs,243761000.0
كينغسي فولز (كيبك),69580000.0
普萊森特瓦利鎮區 (堪薩斯州考利縣),117350000.0
Gmina Nodaway (hrabstwo Adams),91193500.0
Gmina Grove (hrabstwo Cass),91310000.0
Argentijns Antarctica,9.65597e+11
Timber Cove (California),14636000.0
Gmina Union City,79430000.0
Саньша,13000000.0
إيست هامبتون (كونيتيكت),92203600.0
"Rose Hills, California",1137000.0
Valdepiélagos,17000000.0
Rural Municipality of Star City No. 428,824850000.0
Sierra Brooks (California),3549000.0
"Pine Flat, California",3010000.0
Coats Bend (Alabama),22144400.0
"Quinton (CDP), New Jersey",2292140.0
Concord (Míchigan),3884980.0
"Brookdale, New Jersey",4152000.0
Mimbres (Nuevo México),11491800.0
"Portland, Oregon",346000000.0
Austin,686088000.0
McClenney Tract,1595000.0
Jackson (Michigan),28153200.0
Fruitridge Pocket,1574710.0
"Gmina Jefferson (hrabstwo Butler, Iowa)",93750000.0
"Henryville, Quebec",64920000.0
Arlington (Wyoming),10500000.0
Diablo Range (census county division),1542740000.0
特拉华州,5068000000.0
"Bluewater, Ontario",416990000.0
Menifee (Califórnia),120345000.0
Kegaska,4100000.0
Montpellier (Québec),248340000.0
Sacramento (Nuevo México),16959200.0
Anson (Maine),122999000.0
