http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/populationDensity
Hagerstown (Indiana),514.9
"Massillon Township, Cedar County, Iowa",3.6
Jevargi,4511.53
Henningsvaer,1480.0
西藏自治区,2.59
Contea di Runnels,3.86102
Jiangxia,321.0
كوديري (ساسكاتشوان),46.8
"Municipio de Cedar (condado de Buffalo, Nebraska)",2.12356
"Shawnee Township, Bates County, Missouri",3.0
Araguaína,38.33
"Rutherford Township, Martin County, Indiana",8.41703
"Petite-Vallée, Quebec",4.5
Güéjar Sierra,12.0
Minneapolis,2890.0
Santovenia de la Valdoncina,59.1
Florești (Moldavia),1018.5
卡斯特尔诺,3.0
"Tessier, Saskatchewan",20.0
Cubla,1.0
Cea (Spagna),4.72
Mountainair,410.89
Прнявор,61.0
Gmina Orthel,2.7
尤寧普雷里鎮區 (阿勒馬基縣),8.3012
María de Huerva,19.7
"Blackbird Township, Thurston County, Nebraska",18.8032
Вильяркемадо,16.8
"Mercer Township, Adams County, Iowa",1.66024
カルホーン郡区 (アイオワ州カルホーン郡),2.04634
Qeqqata,9620.0
Форнолес,3.2
"Pilot Grove Township, Cooper County, Missouri",12.2
"Tribune Township, Greeley County, Kansas",2.12356
菲澤紹博尼,179.87
"Clear Lake Township, Steuben County, Indiana",32.2781
Doboj Jug,432.0
Броница (Дрогобычский район),191.7
"Wills Township, LaPorte County, Indiana",27.838
サラマンカ,4034.0
Leira,8.0
安德拉特斯,143.44
La Pesquera (Cuenca),3.7
"Municipio de Blackwater (condado de Cooper, Misuri)",6.3
"Posey Township, Harrison County, Indiana",28.3013
Maebashi,1081.0
レッドオーク郡区 (アイオワ州シーダー郡),3.2
鴻嶺鎮,697.5
Imigrante,39.9
"Municipio de Washington (condado de Adams, Iowa)",1.5
Quiñonería,0.4
"Paint Creek Township, Allamakee County, Iowa",5.8
Fuentes de Jiloca,11.4
Valdealgorfa,15.5
"Prnjavor, Bosnia and Herzegovina",61.0
Gmina Twin Lakes (Iowa),15.4
Camañas,1.9
Syria,118.34
Bikács,14.1
納哈薩,17.9
Kostajnica (Gemeinde),74.0
Estercuel,5.7
Strenči,283.0
Paal (België),453.0
"Jackson Township, Bremer County, Iowa",22.3
Obón,1.1
"Nokomis, Saskatchewan",167.3
Сердидо,29.37
Ponykowyzja,443.0
Gavilanes,23.9
Palikrowy,291.0
Bartolomé Masó,84.3
Manuel Tames,27.0
"Municipio de Wayne (condado de Kosciusko, Indiana)",248.92
Вильяфлор,8.2
大梅多鎮區 (克萊頓縣),5.94597
Calaceite,14.1
Saint-Côme–Linière,21.8
Distretto di Kendujhar,217.0
Bladworth,71.2
"Municipio de Bean Blossom (condado de Monroe, Indiana)",30.9654
Villadecanes,90.4
Olexandrija (Riwne),1653.1
Wiscasset (Maine),58.4945
"Municipio de Bennington (condado de Black Hawk, Iowa)",5.4
Tejada,1.54
"Portland Township, Cerro Gordo County, Iowa",3.9
佩德羅貝坦庫特,83.0
El Tiemblo,54.3
San Juan del Olmo,5.2
Sinkiang,13.0
拉佩斯克拉,3.7
"Cortes de Aragón, Teruel",4.6
Salacgrīva,260.0
Bargarh (Distrikt),253.0
Tibet Autonomous Region,2.59
"Municipio de Railroad (condado de Starke, Indiana)",12.9344
"Penn State Erie (Behrend), Pennsylvania",802.4
プレザント郡区 (アイオワ州アパヌース郡),7.8
"Greencastle Township, Putnam County, Indiana",147.761
"Municipio de Washington (condado de Appanoose, Iowa)",7.7
"Municipio de East Union (condado de Wayne, Ohio)",70.8111
Brickell,10541.4
Biatorbágy,217.4
比卡奇,14.1
Karcag,61.25
Ferreruela de Huerva,3.8
"Abreus, Cuba",53.8
Powassan,15.04
新島村,97.9
Gmina Calhoun (Iowa),2.04634
Вильябрас,3.9
"Margaretta Township, Erie County, Ohio",70.8
Bosanska Kostajnica,74.0
"Jackson Township, Sandusky County, Ohio",17.2588
Омитама,352.0
Sektor 1 (Bukarest),3396.1
Fórnoles,3.2
Downtown Jacksonville,650.196
Gara (Bács-Kiskun),44.8
Микиты,339.0
Nesseby,0.64
Ballville Township,72.8961
"Flat Rock Township, Bartholomew County, Indiana",19.5368
丰特埃洛尔莫德斯卡尔,13.6
アルカディア郡区 (アイオワ州キャロル郡),8.03092
Yuncos,440.2
Amberley (Ontario),9.5
La Garganta,22.1
Hagerstown (Indiana),514.906
Urbano Noris,51.9
بادوليس (سرقسطة),5.6
Fermont,6.1
Lac-Simon (Papineau),10.1
Väjern,1688.0
Municipal District of Smoky River No. 130,0.7
Липково (община),101.03
Ainaži,198.0
Valle del Zalabí,21.5
"Magnolia Springs, Alabama",311.8
Texcatepec,63.28
Nowojaworowsk,14911.0
"Municipio de Ewoldt (condado de Carroll, Iowa)",3.2
Вильямайор,360.07
"Chertsey, Quebec",16.8
Okinawa (Okinawa),2625.12
"Iowa Township, Benton County, Iowa",4.98072
Cianorte,79.4
ベニントン郡区 (アイオワ州ブラックホーク郡),5.4
Lapa (district of São Paulo),6.007
Illescas,277.7
"Cameron Heights, Edmonton",1424.1
"Municipio de Jackson (condado de Kosciusko, Indiana)",16.6024
"Kirkland Township, Adams County, Indiana",14.8263
伊斯纳托拉夫,13.8
"Beaumont Centre, Lexington",844.019
比谢多,3.9
平潭県,1078.0
Municipio de Konče,15.17
Paroisse de Caraquet,12.7
Kumagaya,1240.0
Torrelacárcel,7.1
أنشون,247.85
Torrelacárcel,7.1
Mõisaküla,430.0
Oyam (district),173.0
La Tablada,8453.0
Palaciosrubios,12.8
"North Fork Township, Delaware County, Iowa",5.44404
Ciudad Mante,65.9
Las Parras de Castellote,2.1
里奥德瓦,5.6
Lopare,56.0
Bartolomé Masó,84.3
"Jefferson Township, Adams County, Indiana",17.4518
A Rúa,131.12
"St. John Township, Lake County, Indiana",657.378
Fórnoles,3.2
ブラックホーク郡区 (アイオワ州ブラックホーク郡),30.7
Kikai (Kagoshima),134.0
Bisaurri,3.9
Domaljevac-Šamac,117.0
Villa Duarte,5981.46
プレザント郡区 (アイオワ州カス郡),14.2472
Pedro-Rodríguez,14.6
"Municipio de French (condado de Adams, Indiana)",17.529
Глушин,180.51
阿尔万切斯德马希纳,34.0
阿尔亨特,3.7
Kiskunmajsa,53.5
Kōriyama,435.0
