http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Northumberland Regional High School,956
Cumberland High School (Wisconsin),277
Université pour femmes Ewha,19503
Gaston Junior/Senior High School,564
Seattle Country Day School,356
Swami Vivekananda Institute of Technology,1980
Heinrich-von-Gagern-Gymnasium,1000
Rich East High School,1000
Berner Fachhochschule,6664
Reddish Vale High School,1100
Maplebrook School,40
Mountain View College Academy,130
Collins College of Hospitality Management,1000
Banovallum School,573
Harvard Graduate School of Design,362
Wayne High School (Indiana),1417
Harvard Graduate School of Design,182
Universiteit van Tallinn,10016
"Apeejay School, Pitampura, Delhi",2600
Omaha Northwest High School,1213
Mid Valley School District,1706
Cypress Lake High School,1603
Università Claude-Bernard Lyon 1,35000
Arts Academy in the Woods,300
Manchester Academy (secondary school),912
Kolej Tuanku Ja'afar,628
"Clark High School (Plano, Texas)",1587
King's Hall School,320
Uniwersytet Talliński,10016
Cotwall End Primary School,420
Dartmouth College,6350
柬埔寨金边皇家大学,20000
St. Vrain Valley School District,29382
Faculte de Theologie Evangelique de Boma,60
Scituate High School (Rhode Island),536
Coastal Christian School,204
Universidad Regiomontana,8004
Mediterranea University of Reggio Calabria,10
Collège Harper,56441
Ressu-Gymnasium,680
Université de Maurice,12273
جامعة ماك إيوان,19606
Azabu High School,1800
Instituto Superior de Engenharia do Porto,6600
Wit-Russische Staatsuniversiteit,44877
Science Park High School (New Jersey),800
Белорусский государственный университет информатики и радиоэлектроники,17000
"York House School, Redheath",274
"Wakefield High School (Arlington County, Virginia)",1364
Institut d’études politiques d’Aix-en-Provence,1925
"Paul Laurence Dunbar High School (Fort Worth, Texas)",1098
Hochschule Mainz,4805
Nuova Università di Lisbona,19500
Kings Manor Community College,1337
Yuba City Charter School,148
Kidderminster College,2858
Bishop McNamara High School,870
Rogue River High School,446
Crow Middle/High School,193
Université de Tunis,28000
力学と電気の専門学校,1500
Epic Bible College,312
St Hilda's Church of England High School,863
Universität von Ghana,38000
Crandall University,685
"Denbigh High School, Denbighshire",500
Technische Universität Kielce,10000
The James Young High School,1120
Shenendehowa Central School District,9800
Clear Horizons Early College High School,350
École nationale vétérinaire d’Alfort,700
Sapir Academic College,8000
Texline Independent School District,157
Central Baptist College,881
Heidelberg University (Ohio),1300
Florida Southern College,2500
White Station High School,2263
Université de l'Atlantique,12248
Prout School,663
Zurich University of Applied Sciences,15334
Outwood Academy Danum,1979
Tacoma School of the Arts,450
Tennessee Governor's Academy for Math and Science,22
Langley Fine Arts School,900
Stirling High School,972
"Leland High School (San Jose, California)",1849
West Orange-Cove Consolidated Independent School District,2538
Echo School (Oregon),271
مدرسة طب جامعة ديوك,450
Oakwood Park Grammar School,994
Rappahannock County High School,400
Santa Fe Indian School,709
Purulia Polytechnic,550
Trevor G. Browne High School,3170
University of León,13
Niagara District Secondary School,265
Catholic Memorial School,707
Williamson Senior High School,551
British School in the Netherlands,2300
"St. Xavier's School, Durgapur",1200
Penang Free School,1800
"Carlsbad High School (Carlsbad, New Mexico)",2010
Academia de Bellas Artes Nanyang,2400
Chilton Trinity School,937
Erasmus Universiteit Rotterdam,26212
Osborne High School (Georgia),1984
Dulwich College Suzhou,900
Grey High School,800
Bucerius Law School,557
Colchester Sixth Form College,3200
Summer Creek High School,2019
"Coronado High School (El Paso, Texas)",3335
Universidade Carlos III de Madrid,18676
University of Colorado Denver,18000
Universidade Federal da Bahia,27549
Fullerton College,25000
Ndejje University,5000
汉堡大学,42106
Gairloch High School,160
Università del Salento,17974
West Davidson High School,803
Linnaeus University,15000
EM Lyon Business School,3300
Singidunum University,10000
Universidad Politécnica de Filipinas,48213
Laney College,18806
Canarsie High School,2885
Sarah Tucker College,3300
"Government Science College, Matale",500
Archbishop Temple School,760
David Oppenheimer Elementary School,360
基尔马诺克学院,572
Madrid–Waddington Central School,700
Northeastern High School (Indiana),423
Susquenita School District,1756
Sunny Hills High School,2410
Lakeridge High School,1103
斯图加特大学,24642
Madison High School (Idaho),1073
Uniwersytet w Maceracie,11213
Glasscock County Independent School District,260
Souderton Area High School,2725
Universität Alexandru Ioan Cuza Iași,25724
Université du Salento,17974
Université de Séoul,11855
Harlington Upper School,1401
Universidad de la Cuenca del Plata,2009
Koninklijke Academie van Beeldende Kunsten,1000
Theodore Roosevelt High School (Gary),602
Université Roi Juan Carlos,37939
Università di Lleida,9650
Université de la Réunion,12000
Allatoona High School,1773
吉林省实验中学,5000
Universiteti i Prishtinës,42
Western Technical-Commercial School,1018
Weir High School,640
Forest Lake Academy,340
Hart County High School,1150
University of Rhode Island,16613
フランクフルト音楽・舞台芸術大学,900
Hamilton High School (Texas),253
卓克索大學,26359
Bishop Johnson School and College,8000
Nordwest-Universität (Südafrika),64081
Associated Hebrew Schools of Toronto,2000
Highlands Ranch High School,1760
Université de médecine de Lublin,6500
The Apprentice School,725
Università Politecnica delle Marche,17500
Cressex Community School,752
Marlin High School (Texas),278
Del Mar College,12236
Lisle High School,543
Alpena Community College,2000
ESME Sudria,1500
"Loreto Secondary School, Navan",1
Pierre Elliott Trudeau High School,1784
Universidad Full Sail,16100
Mohonasen High School,1200
Whitinsville Christian School,570
Crichton Street Public School,510
University of Cauca,12837
Uniwersytet w Sassari,13000
Libera Università Maria SS. Assunta,8
Henley College Coventry,5000
Słowacki Uniwersytet Techniczny w Bratysławie,18375
Universidad Drexel,26359
Université de Teramo,10000
Technische Universiteit Eindhoven,7100
Claysburg-Kimmel School District,872
National Institute of Technology Agartala,3300
Walker-Hackensack-Akeley High School,265
West Somerset College,1111
John Marshall High School (Los Angeles),2700
Ankole Western University,325
Bridgewater School,521
جامعة غرب باريس نانتير لاديفونس,32000
Marian Central Catholic High School,734
Geneva Academy,37
East High School (Des Moines),2235
Wyoming Catholic College,150
جامعة كييتي,30000
光州科学技術院,1794
James Gillespie's High School,1150
Padua Franciscan High School,830
Omaha South High School,1775
马德里理工大学,35833
Crispus Attucks High School,441
Stonesoup School,30
Bangkok University,28000
Mapleton Junior/Senior High School,81
Millsaps College,985
Штутгартская высшая техническая школа,4
Universidad de Tamkang,27491
Mansfield High School (Massachusetts),1333
جامعة برنستون,8088
Хемницкий технический университет,10850
C. S. Lewis Academy,227
Trinity School for Ministry,213
National Law University Odisha,635
Universidad de Finlandia Oriental,15000
Firth Park Academy,1376
St. Vincent's High School,3500
Newark Catholic High School,304
Gymnasium der Technischen Universität Kaunas,310
The Bulmershe School,1078
North Gwinnett High School,3000
University of Monastir,22577
Handsworth Grange Community Sports College,1100
哈佛大学文理研究生院,4033
Thomas Jefferson Arts Academy,826
"Holy Cross School (Salem, India)",4300
Robert F. Hall Catholic Secondary School,1938
Mfantsipim School,2500
The Hill School,52275
Spotsylvania High School,1160
Word of God Christian Academy,172
Morris Catholic High School,400
Universidad de África,1200
王立プノンペン大学,20000
"Southwest High School (Fort Worth, Texas)",1288
SMS Tengku Muhammad Faris Petra,763
American University of Afghanistan,1151
Tunis El Manar University,45000
Naval School (Portugal),270
Cambria Heights School District,1494
The Regent's International School Bangkok,600
Abilene Christian University,4427
Uniwersytet Medyczny w Lublinie,6500
Landau Forte College,1025
Raman Research Institute,53
Blessed Cardinal Newman Catholic High School,1255
Томский государственный педагогический университет,6847
Chalmers University of Technology,11000
Università di Macquarie,39335
Beachwood City Schools,1496
Weiser High School,494
Broward College,67000
Westmont Hilltop School District,1618
Samuel Robertson Technical Secondary School,978
"Presentation College, Bray",630
Sichuan Agricultural University,40000
American School in Japan,1520
Brno University of Technology,24000
Universidade Nacional do Laos,26673
Delta State University,3324
"Saint Joseph's Academy, Kilmarnock",750
Chopticon High School,2006
Southeastern Greene School District,608
Cypress Bay High School,4403
"Northeast High School (St. Petersburg, Florida)",1970
Carlucci American International School of Lisbon,675
Туркменский государственный институт экономики и управления,3000
FON University,5300
Isidore Newman School,919
