http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/populationDensity
Sør-Varanger,2.54
Condado de Gray (Kansas),2.6641
Берум,547.0
Фло (коммуна),2.0
Bremanger,5.0
مقاطعة أكاديا (لويزيانا),36.2936
Benton County (Mississippi),8.10815
"Элк (округ, Канзас)",1.73746
Salangen,5.1
Contea di Appanoose,10.0387
バーバー郡 (アラバマ州),11.9
Condado de Wallace,0.617763
Sola (Noruega),381.1
Hrabstwo Allen (Indiana),208.73
Træna,30.0
杰克逊县 (密歇根州),88.0313
Condado de Belmont,50.9655
مقاطعة فرانكلين (تينيسي),28.5716
Aroostook County,4.24712
Verran,4.7
"Берти (округ, Северная Каролина)",11.5831
ボミ郡,42.2
アパッチ郡 (アリゾナ州),2.47105
Hrabstwo Benton (Minnesota),36.2936
古爾 (挪威),8.0
坎伯蘭縣 (賓夕法尼亞州),174.518
Sørum,64.0
赫廷傑縣 (北達科他州),0.849425
Radøy,47.0
Contea di Finney,10.8109
懷恩多特縣 (堪薩斯州),401.16
蓋于拉,5.4
Åsnes,8.0
Siljan (Norwegia),12.0
Comté d'Adams (Dakota du Nord),0.926645
迪巴卡縣,0.347492
Condado de Gove,0.965255
バートウ郡 (ジョージア州),84.1703
"Norton County, Kansas",2.50966
布魯克縣,101.931
Haskell County (Kansas),2.85716
Skien,83.0
Condado de Logan (Kansas),1.00387
Accomack County,9.65255
Beiarn,0.93
Alstahaug,39.2
歐蘭,69.7
Contea di Allen (Indiana),208.881
Roan,2.8
"Baker County, Oregon",2.04634
Namsos,17.2
Rissa,11.0
Albemarle County,56.3709
Ål,4.0
Gjerdrum,60.0
Несодден,265.0
"Андерсон (округ, Техас)",21.2356
Briscoe County,0.694984
Aomori (prefektura),154.0
مقاطعة بيلترامي (مينيسوتا),6.94984
Hrabstwo Linn (Kansas),6.17763
Contea di Franklin (Kansas),17.3746
Comté de Kiowa (Kansas),1.35136
Bristol Bay Borough,0.772204
Balestrand,3.3
Contea di Blaine (Oklahoma),5.01933
Contea di Barbour (Alabama),11.9
Karasjok,0.49
Hrabstwo Bay (Floryda),86.1008
Aukra,54.3
Enebakk,47.0
Kvam,14.8
Condado de Blount (Tennessee),84.9425
Halsa,5.5
"Бат (округ, Кентукки)",16.2163
Județ de Dolj,89.0
Haugesund,534.5
Tottori Prefecture,163.0
Skaun,31.1
Lardal,9.0
Hrabstwo Jackson (Michigan),88.0313
Contea di Ashtabula,55.9848
鮑伊縣 (德克薩斯州),40.5407
ブラックフォード郡 (インディアナ州),29.7299
Spydeberg,35.0
Comté de Yarmouth,11.9
Frogn,155.0
Namsskogan,0.7
奧莫特,3.0
Alta (Finnmark),5.15
金曼縣 (堪薩斯州),3.51353
克維特綏,85.0
Jewell County,1.31275
アンテロープ郡,3.0116
"Queens County, Nova Scotia",4.6
Roan,2.8
Condado de Aiken,57.5292
Sola (Norwegen),381.1
Aichi,1454.94
南蘭,9.0
比縣 (德克薩斯州),13.8997
Siljan,12.0
"Бентон (округ, Айова)",13.8997
Rømskog,4.0
Traill County,3.62936
Austrheim,49.9
Sarpsborg,134.0
Hrabstwo Miami (Kansas),22.0078
Chase County (Kansas),1.38997
"Олкорн (округ, Миссисипи)",35.9075
ブラッドフォード郡 (ペンシルベニア州),20.4634
Hrabstwo Franklin (Kansas),17.3746
Lierne,0.5
"Баннок (округ, Айдахо)",28.5716
Comté d'Alcona,6.17763
夏延縣 (堪薩斯州),1.04248
مقاطعة أنوكا (مينيسوتا),301.932
Scott County (Indiana),49.04
圣克莱尔县 (亚拉巴马州),50.9655
バルポル郡,8.6
Nore og Uvdal,1.0
Hareid,65.8
Condado de Clark (Kansas),0.888035
Levanger,30.7
Gjerdrum,60.0
Бё (Нурланн),11.5
Tinn,3.0
Lenvik,13.4
San Mateo County,653.671
Condado de Tuscola (Michigan),26.641
Hrabstwo McPherson (Kansas),12.3553
Brown County (Illinois),8.88035
フィリップス郡 (カンザス州),2.47105
Eidsberg,44.0
Vegårshei,5.9
Condado de Bear Lake,2.35522
Hrabstwo LaSalle (Illinois),37.838
ياردروم,60.0
مقاطعة دونيفان (كانساس),7.72204
"Cook County, Illinois",2135.14
Vik (Norwegen),3.4
Wanju County,116.1
Condado de LaPorte,71.815
Wanju,116.1
Comté de Boone (Iowa),17.7607
Lavangen,3.4
大巴萨县,28.3
Contea di Morton (Kansas),1.69885
Comté d'Albany (New York),224.711
Parrocchia di Beauregard,11.9692
"Бейкер (округ, Флорида)",17.7607
Мудум,27.0
Sauda,9.4
Boyd County (Kentucky),119.692
Condado de Appanoose,10.0387
特罗姆瑟,27.9
Hemnes,3.2
Eid (Norwegen),14.1
Vennesla,36.0
拉德島,47.0
نارفيك,9.7
De Baca County,0.347492
مقاطعة شيريدان (كانساس),1.1197
Jølster,5.0
Sokndal,12.4
"Berrien County, Georgia",16.6024
Bannock County,28.5716
アルベマール郡 (バージニア州),56.3709
Квитсёй,85.0
奧德班縣 (愛阿華州),5.40543
"Салин (округ, Канзас)",29.7299
Lunner,31.0
Comté d'Adams (Pennsylvanie),76.0621
Vestnes,19.1
Valle (Norwegen),1.1
Comté de Bibb (Alabama),14.2858
Bomi County,42.2
Sandnes,262.2
Comté de Runnels,3.86102
Vestnes,19.1
"Франклин (округ, Теннесси)",28.5716
Gmina Lund (Norwegia),9.2
アディソン郡 (バーモント州),18.5329
Øyer,8.0
Beaverhead County,0.656374
Benzie County,21.2356
Nøtterøy,343.0
مقاطعة أندرسون (تينيسي),86.1008
Namsos,17.2
"Нортон (округ, Канзас)",2.50966
Inverness County,5.0
Bastrop County,32.4326
District de Cheongwon,152.0
Contea di Bell (Texas),113.9
拉尔维克,82.0
Hrabstwo Atchison (Missouri),3.86102
"Алфалфа (округ, Оклахома)",2.50966
布蘭德縣 (維吉尼亞州),6.94984
Дымбовица (жудец),127.0
مقاطعة وودسون (كانساس),2.54827
ヴァードー,3.53
Voss,8.2
諾勒-于夫達爾,1.0
Condado de Adams (Idaho),1.1197
Vang (Norvegia),1.0
مقاطعة باكستر (أركنساس),28.9577
Volda,16.8
Karlsøy,2.3
Lørenskog,453.0
"Уайт (округ, Джорджия)",43.6295
"Амелиа (округ, Виргиния)",13.7
Condado de Aitkin,3.43631
Øyer,8.0
Сильян (Норвегия),12.0
Askim,225.0
Boise County,1.42858
エイキン郡 (ミネソタ州),3.43631
Eidsberg,44.0
Contea di Brown (Illinois),8.88035
Agdenes,5.8
Contea di Sumner (Kansas),7.72204
西托滕,54.0
Hrabstwo Boone (Illinois),74.5177
Барду,1.5
本希尔县 (佐治亚州),27.4133
"Águas Claras, Federal District",430.7
"Осейдж (округ, Канзас)",8.88035
兰纳尔斯县 (德克萨斯州),3.86102
Vestnes,19.1
Andrews County,3.82241
Contea di Audubon,5.40543
Condado de Ford (Kansas),11.9692
邁阿密縣 (堪薩斯州),22.0078
Tingvoll,9.7
Ulstein,83.4
Contea di Allen (Kansas),10.4248
纳尔维克,9.7
تيدال,0.7
Pulaski County (Kentucky),37.0658
Comté de Bingham,8.49425
Steinkjer (gemeente),14.9
Aurskog-Høland,15.0
バーバー郡 (ウェストバージニア州),18.919
Condado de Anderson (Tennessee),86.1008
Comté de Bonneville,21.6217
Orkdal,20.0
セイリーン郡 (カンザス州),29.7299
Outaouais,12.1
Barron County,20.4634
"Бей (округ, Флорида)",86.1008
Rana (Noruega),6.1
"Бейли (округ, Техас)",3.35909
Contea di Adams (Iowa),3.86102
Nesna,10.0
Sandøy,63.4
"Мэрион (округ, Канзас)",5.01933
Kvitsøy,85.0
"Адамс (округ, Индиана)",38.9963
ブレア郡 (ペンシルベニア州),92.2784
Rennesøy,73.9
ネオショ郡 (カンザス州),11.197
沃格島 (挪威),35.8
