http://dbpedia.org/ontology/SoccerClub,SoccerClub,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,14
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,14
http://dbpedia.org/resource/2003–04_Manchester_City_F.C._season,2003–04 Manchester City F.C. season,25
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,26
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,29
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,7
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,45
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,17
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,10
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,5
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,34
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,27
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,20
http://dbpedia.org/resource/F.C._Cape_Town,F.C. Cape Town,15
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,31
http://dbpedia.org/resource/Vipers_SC,Vipers SC,3
http://dbpedia.org/resource/Benadir_SC,Benadir SC,29
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,1
http://dbpedia.org/resource/Chhlam_Samuth,Chhlam Samuth,9
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,16
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,19
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,10
http://dbpedia.org/resource/Vipers_SC,Vipers SC,10
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,9
http://dbpedia.org/resource/FK_Brskovo,FK Brskovo,13
http://dbpedia.org/resource/F.C._Cape_Town,F.C. Cape Town,26
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,3
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,7
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,11
http://dbpedia.org/resource/2015–16_KS_Cracovia_(football)_season,2015–16 KS Cracovia (football) season,19
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,8
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,2
http://dbpedia.org/resource/2015–16_KS_Cracovia_(football)_season,2015–16 KS Cracovia (football) season,22
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,11
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,18
http://dbpedia.org/resource/2003–04_Manchester_City_F.C._season,2003–04 Manchester City F.C. season,26
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,12
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,17
http://dbpedia.org/resource/Fortuna_Ålesund,Fortuna Ålesund,11
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,11
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,16
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,32
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,1
http://dbpedia.org/resource/Toledo_BM,Toledo BM,19
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,9
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,22
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,23
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,20
http://dbpedia.org/resource/Toledo_BM,Toledo BM,20
http://dbpedia.org/resource/Toledo_BM,Toledo BM,17
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,21
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,5
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,14
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,43
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,4
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,44
http://dbpedia.org/resource/FK_Bratstvo_Cijevna,FK Bratstvo Cijevna,14
