http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Université de Reggio de Calabre,10
Armand Hammer United World College of the American West,55
Col·legi Casp,1667
Université catholique de l'Ouest,12211
Mid Valley School District,1798
William A. Hough High School,2570
Sparrows Point High School,833
Broadland High School,724
The Hill School,54271
Black Mountain College,1154
Zurich University of Applied Sciences,14670
Università Tecnica di Lisbona,21584
オスナブリュック大学,10632
Saint Louis University Laboratory High School,2680
Northern Nash High School,1371
"Junípero Serra High School (San Mateo, California)",910
King Edward VII School (Johannesburg),1200
Mount Graham High School,150
Chryston High School,1939
Lisle High School,566
Hudson High School (Wisconsin),1744
エクス＝アン＝プロヴァンス政治学院,1920
Rogers High School (Arkansas),1925
Shanghai University of International Business and Economics,9843
Bristol Borough School District,1264
Beaverton High School,1637
Asutosh College,4178
桂林理工大学,36234
The Bear Creek School,796
Mascoutah Community High School,1021
Mount Morris Consolidated Schools,659
University of Illinois at Chicago College of Dentistry,398
"Northwestern High School (Maple, Wisconsin)",435
Universidad Politécnica Estatal de San Petersburgo,29011
Cadet College Hasan Abdal,1
Bellefonte Area School District,2942
Universidad de Stavanger,10081
Waverly High School (Kansas),121
Flint Hill School,1141
ANU College of Physical and Mathematical Sciences,2263
Westonbirt School,213
Father Leo J. Austin Catholic Secondary School,968
City Christian Schools,314
Università di Richmond,489
Cape Breton Highlands Education Centre,368
哈佛大学文理研究生院,4159
Nogales High School (Arizona),1687
E. L. Crossley Secondary School,822
"Don Bosco School, Park Circus",3633
Anne Arundel Community College,50989
Three Lakes High School,68
Universität Stockholm,69601
Islamische Universität Medina,22571
Westview High School (San Diego),2251
University of Hawaii,48410
Universidad Nacional de San Antonio Abad del Cusco,14855
Angelo State University College of Graduate Studies,710
La Joya Community High School,1773
Escuela Nacional de Santa Brígida,958
Harper College,54220
جامعة الشمال الغربي مدرسة فينبرغ للطب,632
University of Iloilo,6843
SUCCESS Academy,378
Little Flower Academy,459
Backwell School,1762
Hostos Community College,6346
Nationale Forschungsuniversität für Elektronische Technologie,4308
Strong Vincent High School,655
Universidad de Concepción,22367
Dartmouth College,6232
Moniteau School District,1466
"Zahira College, Colombo",5188
Lindenhurst Senior High School,2318
Arlington Heights High School,1822
Morton Ranch High School,3447
Marche Polytechnic University,17272
Smoky Hill High School,2220
High Arcal School,1192
哥伦比亚大学,26627
Eagle Point High School,1171
"Anglo Chinese School, Klang",1140
Vignan University,7274
Universiteit van Niš,26528
Blackheath High School,708
卡尔斯鲁厄理工学院,25149
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1469
Branham High School,1532
British School in the Netherlands,2380
South Eugene High School,1619
ESME Sudria,1500
Università di Tunisi,27738
Universität La Réunion,11966
Seaford Senior High School,824
Universidad de Concepción,23827
Norwegian School of Economics,3345
Universidad de Dalarna,15617
Nuova Università di Lisbona,18748
Foothills School of Arts and Sciences,153
Universidad Anáhuac del Sur,2034
St Mary Redcliffe and Temple School,1778
University of Primorska,5222
Республиканский университет (Уругвай),82453
Brookwood School,404
Franklin College (Indiana),1003
Nash Central High School,1243
University of Swaziland,5556
Morgantown High School,1746
Reed College,1435
林奈大學,14842
Edgewood Senior High School,576
The Khaitan School,3263
"Benedictine High School (Cleveland, Ohio)",438
Nestucca High School,220
أكاديمية كونمينغ الدولية,80
Owen Valley Community High School,818
Bezalel Academy of Arts and Design,2060
モンペリエ大学,42756
Forres Academy,1006
Norwegische Handelshochschule,3358
"Lawrence School (Sagamore Hills, Ohio)",303
Greeley West High School,1406
Wingate University,3166
Upper Darby High School,3593
ニューヨークフィルムアカデミー,6834
Escuela de Santa María (Puerto España),1190
جامعة البنجاب,45762
Universidade de Magallanes,6
Lakshmi Narain College of Technology,5162
الجامعة الاتحادية في باهيا,28879
Fort Hays State University,14506
Celje First Grammar School,1023
Goffs School,1386
Université de Stuttgart,25652
William Penn High School (Delaware),2223
École nationale supérieure des arts et industries textiles,11172
Byuksung College,441
Chesapeake College,2582
Black Mountain College,1146
ワーナー・パシフィック大学,1396
"The Village School (Houston, Texas)",1674
Whitefield Christian Schools,285
Università della Città di Manila,13325
Lejeune High School,514
海南大学,31600
Institut de technologie de Karlsruhe,25995
"Highlands High School (Natrona Heights, Pennsylvania)",833
المدرسة الأمريكية في الدوحة,2180
Jiangnan University,30915
Royal University of Phnom Penh,20654
Eleanor Roosevelt High School (California),3826
Cleveland Heights High School,1903
Trinity Washington University,2034
"School of Economics, UNAM",3
杜克大学医学院,439
Universität Singidunum,10186
RCSI-Bahrain,1140
Los Angeles City College,21039
"Washington High School (Phoenix, Arizona)",1843
アリゾナ州立大学,11730
"Meridian School, Royston",475
Pine Hills Adventist Academy,141
Windesheim (onderwijsinstelling),19911
Government College of Commerce & Economics,4023
筲箕灣官立中學,1094
Университет Коста-Рики,44
Alton C. Crews Middle School,1257
Zurich International School,1476
Pontificia Universidad Católica del Perú,18209
マリー・キュリー・スクウォドフスカ大学,25392
Leolo High School,525
"Stanborough School, Welwyn Garden City",1105
Avonworth High School,440
EMLYON Business School,3447
Staatsuniversiteit van Linguïstiek Jerevan,3988
Wilmington Academy,773
Birkdale School,1018
Université d'État de l'Arizona,13694
Università degli Studi di Bari Aldo Moro,51233
Ticonderoga High School,286
Saint Louis University School of Social Work,1074
素罗娜丽科技大学,13901
Andrews High School (South Carolina),540
Université de Busitema,1531
جامعة داكوتا الشمالية مدرسة الطب والعلوم الصحية,253
Escuela de Música de Calcuta,950
Ballou High School,1192
Norwegian International School,208
Université de sciences appliquées de Mayence,4952
Université pontificale catholique du Pérou,17628
Staatliche Polytechnische Universität Sankt Petersburg,29102
"Mariner High School (Everett, Washington)",2178
Päpstliche Katholische Universität von Argentinien,17811
Wills Point High School,780
ジェームズ・マディソン大学,20442
كلية الأمير سلطان لعلوم الطيران,6625
Pine Tree Independent School District,4686
Franklin Heights High School,1159
Uniwersytet Damasceński,219552
Technical University of Liberec,9385
Universidad Católica De La Santísima Concepción,5287
Poynton High School,1669
Tung Wah Group of Hospitals S. C. Gaw Memorial College,963
McAllen High School,2228
美国天主教大学哥伦布法学院,502
伍德罗·威尔逊高中,1871
Southborough High School,762
St. Charles West High School,711
Universidade de Estocolmo,69969
Universidade de Montpellier,40097
Driffield School,1873
كلية هارفرد للأعمال,1780
Stratford High School (Connecticut),1117
Universidad San Francisco de Quito,5325
Olean High School,810
Maliyadeva College,5009
Gorgan University,3511
"Clint Junior High School (El Paso, Texas)",392
"North Star Academy (Redwood City, California)",551
Florida State University student housing,8109
Albany High School (Georgia),948
Madison Central High School (Kentucky),1789
福州格致中学,1982
University of Banja Luka,17743
"Good Shepherd Convent, Chennai",952
I.E.S. Mariano Quintanilla,729
Uniwersytet w Niszu,26428
Manzar-e-Islam,380
Bayside High School (Virginia),1918
Columbia-universiteit,2099
École nationale vétérinaire d'Alfort,696
Texas Tech University Health Sciences Center El Paso,477
Amphitheater Public Schools,16220
Bellarine Secondary College,1438
Pavol Jozef Šafárik Universität in Košice,5800
"Royal Academy of Art, The Hague",993
Białoruski Uniwersytet Państwowy,44901
Alexander Jan Cuza-universiteit van Iași,25761
جامعة دمشق,204897
Sonoraville High School,1093
Union High School (Oregon),243
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,1927
Union High School (Utah),863
Saba University School of Medicine,490
"St. Joseph High School (Hilo, Hawaii)",287
Centro Universitario de Svalbard,485
Cactus High School,1227
Stanford University,16070
広西師範大学,23566
Falls Church High School,1506
Università della Florida Meridionale,49833
Universidad Panthéon-Assas,17280
Kalinga Polytechnic,1247
Community College of Baltimore County,69604
Robert M. La Follette School of Public Affairs,108
Albertus Magnus High School,506
Daugavpils University,4116
馬禮遜美國學校,229
Novia University of Applied Sciences,4031
Oak Hill Academy (New Jersey),387
Polytechnic University of the Philippines,49544
Human Resources University,50843
Cypress Bay High School,4197
"Aquinas Academy (Livingston, New Jersey)",157
مدرسة KIIT الدولية,89
Kingswood Regional High School,742
Community Baptist Christian School,105
聖方濟大學,3510
Theodore Roosevelt High School (San Antonio),2974
V. J. and Angela Skutt Catholic High School,547
Cégep Limoilou,3106
Canton Area School District,1098
TC Beirne School of Law,1906
东北财经大学,20909
City of Liverpool College,22279
St. Dominic Savio Catholic High School,347
Harvard Business School,1903
Turlock High School,2199
West Albany High School,1471
Cabot High School,1963
Morrison Academy,141
Instituto de Tecnología de Georgia,24110
Seneca High School (New Jersey),1207
Escola Brasileira de Administração Pública e de Empresas,800
جامعة تونس المنار,45754
Hanover Public School District,1827
Goerdeler-Gymnasium Paderborn,902
Hoover High School (Alabama),2775
Wisconsin Lutheran Seminary,210
Universidad de Colombo,11500
Thomas Aquinas College,357
Université de Messine,22789
North Knox High School,648
Campus Bio-Medico,1690
Centre national d’enseignement à distance,125933
Alexander Hamilton Jr./Sr. High School,434
Laguna College of Art and Design,558
Montebello High School,3090
Bellwood-Antis School District,1273
Mahidol Wittayanusorn School,720
Академия музыкальных искусств (Прага),1483
"St Augustine's Roman Catholic High School, Billington",1109
Central Christian Schools,273
Testbourne Community School,796
جامعة دالهاوسي,19020
Cégep Garneau,7988
Montgomery High School (New Jersey),1738
Asian Institute of Tourism,374
Great Lakes Christian College,241
جامعة جوزيف فورييه,17040
University of Missouri–Kansas City School of Law,449
Texas A&M University System,142362
Francis Howell North High School,1831
Colton High School (California),3237
Yamagata University,8638
Instituto Gwangju de Ciencia y Tecnología,1829
Touro College of Osteopathic Medicine,519
Tai Poutini Polytechnic,2572
Harvard Business School,2096
Universidade Tecnológica Nacional (Argentina),72945
Freeport Area School District,2051
جامعة دركسل,25768
St. Augustine Catholic High School (Ontario),1393
Edgewood High School of the Sacred Heart,551
Crawford County High School (Indiana),795
Universidad de Macquarie,39316
Academy of Technology,2645
Hilltop Christian School,294
Texas Wesleyan University,3291
Millbrook School,317
Universidad William Penn,1607
Christopher Columbus High School (Miami-Dade County),1373
La Pine Senior High School,523
East Carolina University College of Business,3241
Sir John Cass Redcoat School,1898
UWC-USA,24
Chaffey High School,3477
冰島藝術學院,444
Università di Wageningen,10789
Valjevo Gymnasium,770
Highgate School,1444
Woodchurch High School,1276
EHOVE Career Center,813
Greenwood High School (Arkansas),796
Washington State Community College,2349
The Wellington Academy,1113
Cocke County High School,1122
Universidad Francesa en Armenia,2080
亞利桑那州立大學,13670
Mid-Valley Christian Academy,71
Brown University,9260
Durban High School,1081
Riverside High School (South Carolina),1680
Université de Playa Ancha,10938
Cass City Jr./Sr. High School,517
Texas A&M University–Commerce,12086
Armstrong School District (Pennsylvania),5229
Hotel Institute Montreux,1319
Université d'Ankara,42596
University of the Republic (Uruguay),79744
Newburgh Free Academy,4283
亨利四世中学,2018
Centreville Layton School,89
Dniepropetrowski Uniwersytet Narodowy im. Ołesia Honczara,20194
Christian Brothers Academy (New Jersey),987
The Benjamin Britten Music Academy,790
Laboratory School of Phranakhon Si Ayutthaya Rajabhat University,694
Universidad de Kragujevac,14083
Bangpakok Wittayakom School,2973
Universidade de Kent (Estados Unidos),42279
Universidad Metropolitana de Ciencias de la Educación,6389
Illinois College of Optometry,626
Harvard Business School,155
Hampton Roads Academy,667
El Colegio de México,470
Monroe Township High School,2062
Harrisburg Christian School,292
Kingsburg High School,960
Craigroyston Community High School,359
Uniwersytet Świętych Cyryla i Metodego w Skopje,48834
Fakir Mohan University,14834
Fayetteville-Manlius Central School District,1618
Universidad de Perugia,27614
Ecole Polytechnique de l'Université d'Orléans,1020
Blue Mountain High School,917
約翰·霍普金斯大學醫學院,1435
ESME Sudria,1504
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10879
Brethren Christian Junior/Senior High School,360
Universidad Federal del Extremo Oriente,39441
East Hall High School,1132
義守大學,18193
Lahore College of Arts and Sciences,3802
Semmelweis University,10380
John Dwyer Technology Academy,1041
Oxford Spires Academy,775
Gayatri Vidya Parishad College of Engineering,2820
Ithaca College School of Humanities and Sciences,2213
"Royal University of Agriculture, Cambodia",10225
Universidade do Estado do Arizona,10737
Shaker Heights High School,1895
Bridgewater School,540
Uniwersytet w Maceracie,11010
莱姆顿学院,3565
Lake Region High School (Florida),1676
Cody High School (Wyoming),675
Betty Shabazz International Charter School,636
SMK Mambau,1135
IE商学院,5759
Our Lady of Sion School,556
Punjab University Law College,1511
St George's School in Switzerland,475
The Charter School,1048
مدرسة طب سان دييغو (جامعة كاليفورنيا),465
MacEwan University,19411
Viktor Rydberg Gymnasium,1257
Deer Park High School (Texas),3913
Colony High School (Alaska),1239
East Aurora High School (New York),695
Carlisle Area School District,4724
Université catholique de sciences appliquées de Mayence,1092
Oregon City Service Learning Academy,168
Valentines High School,1645
Uniwersytet Panamerykański,16242
"Heritage High School (Saginaw, Michigan)",1588
Acadia University,4326
Lycée International de Saint-Germain-en-Laye,3058
Institut d'études politiques de Lyon,1434
纽约大学法学院,1700
St. Anne's College (Sri Lanka),3120
Università di Economia Nazionale e Mondiale,21149
Université de Nottingham,41870
"Parkside School, Cullingworth",1029
London Contemporary Dance School,173
Whitewater High School (Georgia),1768
Bedford Area School District,2383
Liberton High School,604
Academia Secondary School,881
高雄市私立普門高級中學,1017
Shandong University of Science and Technology,47
Xaveriuscollege (Borgerhout),837
North Augusta High School,1571
Universidad Pedagógica Nacional (Kolumbien),10700
Jeffersonville High School,2074
New College School,164
Winterhill School,1235
East Boston High School,1436
Universiteit van Dar es Salaam,20408
歐洲大學,3
Pakistan Urdu School,1914
Box Hill School,436
Antietam School District,1090
Easton Area High School,2581
"The Pentecostal Assembly School, Bokaro",1780
University of Colorado Denver,17947
Ursuline College (Chatham),1352
Lyceum-Northwestern University,4542
Ballyclare High School,1221
Wayne High School (Ohio),1569
Southern New Hampshire University,57090
ORT Braude College of Engineering,5395
Lycée Alborz,1627
East Pennsboro Area School District,2651
Rumson Country Day School,435
"North High School (Phoenix, Arizona)",2554
Universidade Rey Juan Carlos,39618
"Heritage High School (Lynchburg, Virginia)",1062
المدرسة العليا للعلوم بهانسونغ,347
Alde Valley Academy,1
Индианский университет,112200
Blairsville-Saltsburg School District,1703
Word of God Christian Academy,173
Universidade de Concepción (Chile),23536
Citadel High School,1281
Carpenter Community Charter School,989
American University of Afghanistan,1140
Alta High School (Utah),2426
Albanian School of Magistrates,26
Islamic University in Uganda,6281
St. Maurice School,692
University of Papua New Guinea,15248
Holy Cross Catholic Academy,871
"Oak Grove School (Ojai, California)",202
安徽工程大学,19312
Antelope High School,1633
Indian Mountain School,248
Ithaca College,7100
Los Angeles Southwest College,7834
IE Business School,5727
Université normale du Zhejiang,20805
John Dewey High School,3250
Donald A Wilson Secondary School,1649
Harvard Business School,1983
Université de Calabre,36002
American School in Taichung,180
EU Business School,3
Norwegian School of Economics,3206
Burlington High School (Iowa),1430
Coudersport Area School District,798
El Colegio de México,455
"Ponderosa High School (Parker, Colorado)",1381
Timmins High and Vocational School,796
魏瑪包豪斯大學,3951
Université d'Alger,96788
Université de Tsukuba,16195
Old Scona Academic High School,348
Captain John L. Chapin High School,1949
Mount Royal Collegiate,862
Fort Meade Middle-Senior High School,694
Montanuniversität Leoben,3617
"Indian Institute of Information Technology and Management, Gwalior",742
Waltham Forest College,9625
Arizona State University,3816
Bullis School,758
"St. Joseph's Boys' High School, Bangalore",12
Universidad Cristiana de Abilene,4458
Barnwell School,1861
جامعة الطب وطب الأسنان في نيوجيرسي - مدرسة طب روبرت وود جونسون,565
Trillium Charter School,347
Ohio State University,55770
Università degli Studi di Foggia,11346
Northeast Metropolitan Regional Vocational High School,1292
Otto-Hahn-Gymnasium (Gifhorn),1496
Francis Howell Central High School,1866
EU Business School,3
Penn Cambria School District,1777
"Bluffton High School (Bluffton, Ohio)",361
Université islamique d'Ouganda,5791
Distrito Escolar Independiente de Lake Travis,8389
Université d'État de l'Iowa,37041
Universidade Federal de Juiz de Fora,15725
Harding Academy (Memphis),1011
"Dulles High School (Sugar Land, Texas)",2114
"Apeejay School, Pitampura, Delhi",2481
Farragut High School,1659
Mihai Eminescu National College (Oradea),0
Sarasas Ektra School,3011
香港公開大學,16639
College Zarządzania - Studia Akademickie,12460
Georgia State University College of Law,440
Ridgewood High School (Illinois),838
Kingsway Regional High School,1658
Woodside High School (Virginia),1980
Chace Community School,1196
Broadoak Mathematics and Computing College,938
Opportunity Center,148
Tashi Namgyal Academy,2093
福州第一中学,2100
Princeton University,8185
Georges Vanier Secondary School,971
"Faculdade de Engenharia, Pune",3959
Universität Erfurt,5396
Highworth Warneford School,884
Ardhi University,2605
Universidad Federal del Estado de Río de Janeiro,8552
M. M. Robinson High School,878
Universität Messina,23322
Bridgton Academy,193
Armwood High School,2143
Fuzhou Gezhi High School,1891
Ramapo College,5982
Pacific Crest Community School,75
Pace University High School,407
Teaneck High School,1290
Weiser High School,512
Université de Sassari,13496
Università degli Studi di Messina,22596
Escuela Preparatoria Malibú,1170
Institut national des sciences appliquées de Toulouse,2145
Canyonville Christian Academy,118
Universidad de Yamanashi,4968
Koninklijke Academie van Beeldende Kunsten,952
Barbara Ingram School for the Arts,275
Iowa State University,37706
Townsend Harris High School,1133
American School of Milan,794
Miramar High School,2671
Colorado Heights University,391
Instituto Tecnológico de Massachusetts,11194
جامعة غوتنبرغ,35445
North Cambridge Academy,454
Greenfields School,115
Artesia High School (California),1953
Fayetteville-Manlius Central School District,1524
Red River High School,1165
Норвежская школа менеджмента,18926
Lycée Henri-IV,2006
New Brunswick Community College,3893
Los Osos High School,4246
南新罕布什爾大學,65116
Peninsula High School (San Bruno),253
达特茅斯学院,6150
Северо-Восточный федеральный университет,15838
西印度群岛大学,37232
Deutsche Evangelische Oberschule Kairo,1371
Winchester High School (Massachusetts),1231
Devenish College,657
"St. Paul High School (Santa Fe Springs, California)",574
Scuola di economia di Stoccolma,1635
Greer High School,2991
"Redhill School, Stourbridge",1197
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1971
Wren Hollow Elementary School,462
University of Mosul,31438
Landmark School,318
Cooper City High School,2289
Università Islamica di Medina,22635
Universidad Regiomontana,8298
Sturgis Charter Public School,713
Texas A&M International University,7302
Городской университет Нью-Йорка,530622
Christian Academy of Madison,106
Université catholique argentine,18043
"North High School (North St. Paul, Minnesota)",2387
"Grange School, Northwich",1147
Seattle Jewish Community School,95
"Concord High School (Elkhart, Indiana)",1674
Cristo Rey Jesuit College Preparatory of Houston,476
Minnetonka High School,3109
極東連邦大学,42759
深圳中学,3894
جامعة ماكواري,37598
"Sainik School, Korukonda",533
Bell County High School,777
Académie tchèque des arts musicaux,1544
Nootka Elementary School,449
State Elementary School Pondok Kelapa 09 Pagi,404
Anatolia College,2144
Королевский университет Пномпеня,19449
Secondary Board High School,1146
アリゾナ州立大学,13732
黎巴嫩大學,69911
Umatilla High School (Oregon),390
Barrington Municipal High School,732
German European School Singapore,1527
Integrated College Dungannon,535
Académie russe des arts du théâtre,1470
Silverton High School (Texas),169
William Horlick High School,12
Cass High School (Indiana),804
Lakehill Preparatory School,374
Jorhat Engineering College,1524
Kimberley School,1335
Технологический институт Карлсруэ,25425
Harvard Business School,157
Royal Oak High School,1806
Harrogate High School,551
TAGOS Leadership Academy,76
Dominican College Sion Hill,408
Medford School District (Oregon),862
"College of Engineering, Adoor",1588
中華基督教會協和書院,1253
Royal Blind School,71
マサチューセッツ大学,70826
Maastricht Academy of Music,578
Beaumont College,291
École de l'Air,523
Mar Baselios College of Engineering and Technology,2728
Eau Gallie High School,9
Allen Academy,328
St. Andrew's Preparatory School,203
Saint Camillus Academy,206
"Southwest High School (Fort Worth, Texas)",1227
Carlisle Area School District,5141
台中美國學校,176
"New College, Teachers College, Columbia University",715
Milwaukee Area Technical College,9970
Ramona Convent Secondary School,432
"Theodore Roosevelt High School (Kent, Ohio)",1306
Università tecnica statale di Novosibirsk,14181
Universiti Teknikal Malaysia Melaka,10490
Leeds Business School,5231
KIIT International School,1433
Birmingham Conservatoire,607
Norden High School and Sports College,677
Spotsylvania County Public Schools,23012
Terre Haute South Vigo High School,1808
University of Sassari,13337
Feinberg School of Medicine,3217
Adventist University of Health Sciences,1804
Shattuck-Saint Mary's,468
Holly Springs High School,2372
UC Berkeley School of Public Health,414
Kearny High School (New Jersey),1729
Tallinn University,9645
Chatsmore Catholic High School,601
Украинский физико-математический лицей,303
University of León,13
Geneva Academy,36
"Foothill High School (Palo Cedro, California)",1812
Roger Bacon High School,435
Lawrence High School (Kansas),1479
Marple Hall School,1377
The Academy of Science and Entrepreneurship,122
Неаполитанский университет,77510
旧金山大学,11223
Dalton Public Schools,5639
Coolum State High School,805
"Evergreen High School (Vancouver, Washington)",2287
Sagesse High School,1036
Llandovery College,342
San Bernardino High School,937
曼隆學院,785
Technische Universiteit Chalmers,10728
Cros-Lex High School,788
Aldridge School,1512
Prempeh College,2159
Humphreys College Laurence Drivon School of Law,148
Institut national des sciences appliquées de Toulouse,2136
Moraine Valley Community College,36240
Princess Nora bint Abdul Rahman University,50355
McNeil High School,2650
Instituto Politécnico Nacional,177556
Maria Curie-Skłodowska University,25686
Université Columbia,1996
Университет Николая Коперника,29572
ワシュテノー・コミュニティ・カレッジ,13035
Université de Tunis - El Manar,47082
جامعة الملكة أروى,4997
Université de Cagliari,29879
Uniwersytet Kolombo,11218
Universidad Sofía de Tokio,11949
Western Beaver County School District,756
"Campion College, Regina",861
Collège Saint-Xavier de Calcutta,2212
Lycée français de Pondichéry,1426
Russian-Tajik Slavonic University,3220
Riverton High School (Utah),1946
Pensacola Catholic High School,666
Knightdale High School,1651
Portland Waldorf School,353
Universität Yamagata,9433
Sandia High School,1975
Calcutta School of Music,1043
Estacada High School,739
Noakhali Government College,9501
Federale Universiteit van Bahia,26453
Geneva High School (Ohio),786
New Kent High School,916
Whitinsville Christian School,581
Helene-Lange-Gymnasium (Hamburg),952
Birmingham School of Law,475
Westview Centennial Secondary School,1240
European University of Lefke,5
"St. George's Girls' School (Penang, Malaysia)",1319
St Francis of Assisi Catholic Technology College,1059
Buchtel Community Learning Center,785
"College of Engineering, Pune",3876
Warrior Run School District,1522
Institut d'Administration des Entreprises,46899
UIUC College of Applied Health Sciences,2309
Archbishop Tenison's Church of England School,551
廣州美國人國際學校,1020
"Saint Mary's School (Raleigh, North Carolina)",285
Hochschule für Musik Carl Maria von Weber,1
哈佛商学院,1900
Universität Fukushima,4365
Portledge School,469
Columbia University,1968
"New College, Telford",1439
Tomlinson Middle School,786
Sharda Group of Institutions,20800
Eagle High School,1515
Uniwersytet Techniczny w Warnie,7803
Carman-Ainsworth High School,1383
"St. Joseph's Convent High School, Adilabad",2909
Lehman Catholic High School,197
Grant Community High School,1968
Commercial Academy of Satu Mare,978
The Elizabethan Academy,1176
Stanford University,16054
American University School of International Service,763
Ithaca College,6638
Carlucci American International School of Lisbon,707
Prince Edward School,1234
Tenali Engineering College,359
Connections Alternative School,86
"Huntington School, York",1522
Académie militaire turque,4063
Harvard Graduate School of Design,174
Sargodha Institute of Technology,1094
Hall High School (Arkansas),1263
カウナス工科大学附属ギムナジウム,313
Weydon School,1083
University of Rijeka,19543
Sydney Law School,3188
Macquarie University,38071
EU Business School,3
Delaware County Community College,13646
San Benito High School (Texas),1942
Hall Garth Community Arts College,702
ヘルシンキ芸術デザイン大学,2031
Университет сельского хозяйства Фейсалабада,15623
Mayville State University,1081
キエフ大学,19823
MEF International School Istanbul,466
Holliston High School,896
High School of Fashion Industries,1815
Cambridge Rindge and Latin School,1902
Harvard Business School,145
جامعة قرطاج,47296
Charleston Southern University,3709
Odle Middle School,866
Grantham Preparatory School,118
Hayesfield Girls' School,1088
Harvard Graduate School of Design,346
Bullitt Central High School,1262
亞利桑那州立大學,3840
Cuyamaca College,8265
Benjamin Elijah Mays High School,1765
