http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Mory-Montcrux,108
Raman District,93840
Le Plessis-Dorin,188
"Municipio de Blackbird (condado de Thurston, Nebraska)",1350
"Mendham, Saskatchewan",46
L'Épinay-le-Comte,187
Frymburk (Boêmia do Sul),1312
Boissy-aux-Cailles,318
Śliwin,226
Charmoille (Doubs),307
"Alai, Iran",40
Raben Steinfeld,1131
Half Moon Lake (Alberta),241
Mory,344
Nawabganj (Unnao),10259
Sankt Martin am Tennengebirge,1456
"Pepperell (CDP), Massachusetts",2537
Starzyno (Puck),1190
Königsfeld (Eifel),650
Piotrowice (powiat oświęcimski),1965
Florești (Mehedinți),2861
Peyrelongue-Abos,136
Границе (район Хеб),2305
Aappilattoq (Kujalleq),129
Promina,1164
Lagny,577
Крепи (Эна),2010
"Jung District, Ulsan",238791
Huby-Saint-Leu,992
"Stawno, Kamień County",149
Ar-Rastan,38412
Garden Plain Township (Illinois),1103
"Takah, West Azerbaijan",97
Taufkirchen (Vils),9638
Dommartin (Ain),887
Drage (Frise-du-Nord),591
Saint-Sauveur-Marville,978
"Tejada, Province of Burgos",34
Сенан (Испания),52
Zuglio,604
Marsac-sur-Don,1287
Pepperell (Massachusetts),11834
Blankenburg (quartiere di Berlino),6469
Везенберг (Гольштейн),1130
Le Plessis-aux-Bois,254
"Bonpland, Corrientes",1036
Hebrom,211067
El Campillo de la Jara,417
Lety (Prague-West District),1257
Provincia di Bokeo,152501
Hagen (Mozela),254
Garzewko,156
圣西普里安 (科雷兹省),339
Dommartin-aux-Bois,412
قسم راز الريفي (مقاطعة بجنورد),5986
Saint-Sauveur-des-Landes,1380
Fors (Deux-Sèvres),1688
Abbecourt,782
Lega araba,404060707
Jussy (Yonne),478
Villa Oliva,985
Schönwald (Brandenburg),1290
Hagen (Holstein),390
Saint-Sauveur-de-Pierrepont,137
Bonbon (Haïti),6611
Доммартен-ле-Кок,62
La Celle-sur-Loire,784
Biedkowo,185
Saint-Sauveur-d’Émalleville,1104
Сегура-де-лос-Баньос,42
Spitz (Autriche),1744
Paroisse de North Lake,252
Marest,285
La Villedieu (Charente-Maritime),233
Cressy,286
Mashan,401208
Bemowo Piskie,1252
Берндорф (Нижняя Австрия),8480
Santísima Trinidad (Asunción),4618
Kaifu (Changsha),461509
圣布里克苏拉内 (奥恩省),159
Huerta (Castille-et-León),302
Brzeziny (powiat janowski),104
Perthes (Haute-Marne),625
Saint-Genis-l'Argentière,830
Landser (Frankrijk),1597
"Blankenburg, Unstrut-Hainich-Kreis",168
Seyssel (Górna Sabaudia),2022
Marsac-en-Livradois,1410
Rti (Lučani),536
Commune de Oru,917
"Nowe Biskupice, Lubusz Voivodeship",115
"Drama, Šentjernej",93
Raz Rural District,5817
ウスチ＝マヤ地区,8857
Saint-Brice (Charente),1117
Saint-Brice-sous-Rânes,173
Botany Bay City,38219
Akbarabad-e Pain,32
Grunwald (województwo łódzkie),58
Breitenstein (Südharz),530
Soto de Cerrato,216
Dompierre-sous-Sanvignes,77
Сото-де-ла-Вега,1950
Boulogne (Vendée),697
圣索弗德皮伊诺尔芒 (吉伦特省),425
Pers-Jussy,2677
Dommartin-lès-Cuiseaux,701
"Akbarabad, Khonj",94
Sinkiang,22355913
"Ziviyeh, Baneh",604
"Taqa, Iran",62
Río Cauto,46076
Sindh,55336961
Syria,17688926
Mala Remeta,147
Beauregard (Lot),244
Vila Maria (distrito de São Paulo),109
Strongyli (Crete),0
"Jussy, Yonne",476
Boissy-le-Bois,194
Luc-la-Primaube,5693
Amancio (Cuba),41284
"Pain, Kerman",14
圣马丁 (南魏恩斯特拉瑟县),1857
"Werder, Ethiopia",18100
Зандберг (Бавария),2695
那賀町,11983
"La Celle, Allier",417
Bistra (Alba),5253
Velle-sur-Moselle,272
Gournay-en-Bray,6575
Bad Deutsch-Altenburg,1435
Фурн-Кабардес,63
Mikulovice (Znojmo District),649
Boulogne (Wandea),677
Hussein Dey (distrito),234344
Dommartin-lès-Remiremont,1829
Moissy-Moulinot,26
Rewal,907
Коп (город в Германии),195
Libkov (okres Domažlice),113
Saint-Sauveur (Meurthe e Mosella),51
Medinilla (gemeente),150
Saint-Martin-des-Champs (Cher),345
أكبر أباد (مقاطعة فسا),2269
Paska,122
Andon (Alpes-Maritimes),588
Saint-Cyprien (Corrèze),340
贝恩多夫 (莱茵兰-普法尔茨州),563
Sherbourne,171
حيدرالات (مقاطعة فومن),707
Spital am Pyhrn,2161
Rivera (Zwitserland),1906
Boulogne (Vendeia),691
Schönwald (Brandebourg),1178
Crépy (Pas-de-Calais),177
バーンパコン郡,89470
Эль-Кампильо-де-ла-Хара,429
サウス・イースト・クイーンズランド,3252434
Mée,201
Podunajské Biskupice,20379
"Rajnagar, Chhatarpur",12525
El Alia,27773
Biskupice Podgórne,192
"Recologne, Haute-Saône",34
Jussy (Aisne),1277
Banatska Palanka,803
Gournay-sur-Aronde,618
Fara Olivana con Sola,1221
Pigna (Italie),951
Andover Township (Ohio),2636
Loria (Italie),8688
"Krasne, Rzeszów County",3604
"Biskupice, Miechów County",417
Fors (Deux-Sèvres),1667
Porta (Pirenei Orientali),126
北欖坡,120171
Fuente-Olmedo,46
Market Lavington,2316
Saint-Sauveur-en-Rue,1119
Río Segundo (ciudad),23042
Sind,57153968
Saint-Sauveur-en-Puisaye,960
"Saint-Cyprien-de-Napierville, Quebec",1913
Proseč (Vysočina),78
Noisy-sur-Oise,687
Lignerolles (Orne),159
Cugnasco-Gerra,2567
Moritz (Zerbst),346
Azur (Landes),581
Ustronie Morskie,1832
Saint-Sauveur-la-Vallée,39
Saint-Brice-sous-Rânes,161
Biskupice (Olomouc),246
Saint-Perreux,1026
Saint-Sauveur-des-Landes,1353
Brzeziny (powiat poddębicki),124
Kielno (województwo pomorskie),1007
Postolin (wieś w województwie pomorskim),519
"Sylte, Norddal",402
Distrito de Barranca,58588
Boissy-sous-Saint-Yon,3541
Hafr al-Batin,268089
维里努勒伊,1910
Vigneux-de-Bretagne,4944
"Lignerolles, Côte-d'Or",50
Provincia de Salavan,321932
Raben Steinfeld,1102
Saint-Brice (Manche),116
Обердорф (Верхний Рейн),578
Azur,575
Viry (Alta Saboia),3339
Kula (Bulgarien),3225
La Villedieu-du-Clain,1474
سالافان,339228
Steinfeld (Nadrenia-Palatynat),1916
L'Isle-Adam,11533
Seyssel (Alta Savoia),2087
Świerzno (województwo zachodniopomorskie),696
"Saint-Sauveur, Somme",1396
"Jazan, Alborz",326
Вергара (Уругвай),3972
Żmudź (województwo lubelskie),638
"Breslau, Ontario",2410
Pogorzała Wieś,440
Limbach (Sassonia),1560
洛拉德尔里奥,19794
Le Plessis-Gassot,67
Marnes,238
Trient,1915
Sankt Martin im Sulmtal,2961
Берге (Нижняя Саксония),3552
La Celle-en-Morvan,450
"Seri, Bheri",1629
Haharinskyi District,137470
Bonneuil (Charente),264
格里明山麓圣马丁,821
Cromac,274
Munizipalität Achmeta,41034
Ist (island),175
Rzeczyca (powiat bialski),921
Xian de Wuyi (Zhejiang),329689
Ongar,6267
"Grunwald, Łódź Voivodeship",59
Offa (Nigeria),90925
Agia Vavaraklooster,1351
Boissy-Maugis,383
Plaisance (Aveyron),234
Comanche (Bolivia),3982
Акаюкан,79921
Kulina (Aleksinac),721
Delta (Brazilië),6622
Nova Aurora (Paraná),11734
أكبر أباد (مقاطعة تشالوس),524
"Dahlem, Lower Saxony",509
Rastán,41790
Dampierre-lès-Conflans,257
"Saix, Vienne",206
Świętajno (powiat olecki),1609
Neuenkirchen (Cuxhaven),1519
Horka I,363
Copenhagen Municipality,620230
Аильонес,1097
"Takht, Hamadan",1973
Dommartin-la-Montagne,45
Le Mée,258
Brusque (miasto w Brazylii),123301
Штайнфельд (Шлезвиг),752
Jyderup,4152
博卡 (诺瓦拉省),1137
Кампания (Италия),5647201
"Río Segundo, Córdoba",23255
Sosa (Eibenstock),2103
Le Plessis-aux-Bois,262
Weyer (Górna Austria),4535
Dommartin (Ain),834
Kopp (Rijnland),189
Soto y Amío,1015
Janów (Brzeziny),59
Dompierre-les-Églises,378
Morašice (Moravia meridionale),242
Veddige,2095
Kurzętnik,3213
Alto (Piemont),114
Champlin (Nièvre),47
Dimitrovgrad (obchtina),54703
Рекена (провинция),68744
"Porta, Pyrénées-Orientales",126
Dompierre (Oise),228
Moissy-Moulinot,25
Zuglio,652
Gans (Gironda),182
希烏島,269
Saint-Sauveur-en-Rue,1129
庫尼亞斯科-傑拉,2625
"Naval, Huesca",258
La Celle-Dunoise,601
利夫拉杜瓦地区马尔萨克 (多姆山省),1410
"Orville, Côte-d'Or",188
ラブラドール地方,27522
"Horrocks, Western Australia",133
"Suri, Khuzestan",19
Bevern (Schleswig-Holstein),560
Perthes (Senna e Marna),2184
Krasne (powiat przeworski),373
Kuła,3428
Kikai,7404
"Kurti, Iran",854
Rafah,148482
貝爾加拉 (烏拉圭),3852
"Municipio de Pleasant (condado de Fairfield, Ohio)",6319
