http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Tabacundo,6258
Kuszk (Isfahan),11259
Imabari (Ehime),177878
Dalkhola,64844
Салехабад (Хамадан),7419
Chakhtarsk,48815
"Nagano, Nagano",359360
ناها (أوكيناوا),321478
حويق,1225
محمديه (قزوين),41349
貝爾加拉 (烏拉圭),3768
Kodigenahalli,12997
Cachi (Salta),2202
卡洛斯帕斯鎮,71734
Sangar,6140
Турсунзаде,36864
Avola,30171
Hebron,220611
فيلنوهيرسك,22877
布德沃爾,122640
Удайпур,473885
Fatehpur Chaurasi,5374
Battambang,140110
Hebron (Palestina),211654
Barhalganj,121661
Acatic,18315
Tumaco,203050
Valle del Zalabí,2384
Kheralu,20826
佩烏莫,14134
奥尔萨拉迪普利亚,3291
Ramallah,26229
Sancoale,15494
ルサカ,1812557
Caivano,36476
"Ranipur, Uttarakhand",45213
Уаско,9413
"Eshqabad, Razavi Khorasan",1369
"Kuroshio, Kōchi",13408
桐生市,111452
Akhnoor,11563
Taixing,1125882
Shizuoka,675899
Ghatampur,35217
Garian,189616
كوماغايا (سايتاما),205919
Sefid Dasht,5988
Raipur Rani,7356
Qeydar,30303
Koch Bihar (Stadt),111751
Hōfu,115120
Florestal,5998
Сейдун,5687
Ōsaki,132612
Petare,384247
Maham,17781
Ishigaki,51071
هشجين,4736
Dhahran,139826
Manikpur Sarhat,14910
Tsukubamirai,51232
Runiz,6006
Duyun,545845
Carutapera,20768
Makarba,18069
Chhota Udaipur,27476
Villamanrique de la Condesa,4053
Bajva,9316
Kutiyana,16431
Nai Bazar,11622
Khorramabad (Mazandaran),10211
Kerakat,13675
Curitibanos,38991
صفرو,63493
Taixing,1049307
"Shady Cove, Oregon",2778
Farooqnagar,36265
Matsue,186291
Dubai International City,118050
Kela Chay,11451
Bandar-e Genawe,61228
Loudi,3880009
Sundargarh,44278
Qal'eh-ye Tol,8390
Kurgunta,8528
Xinle,442657
"Hagerstown, Maryland",39976
Témara,305359
"Matamoros, Coahuila",49401
Naraingarh,29964
维贾耶普拉,34814
Черноморск (город),61195
Loudi,3664729
蘇菲安,8846
"Bromont, Quebec",7796
Rudrapur,1197707
Rafah,153629
Mahuvar,9250
三豐市,70082
Сигуатепеке,77133
Nowodnistrowsk,11309
Cheeka,41529
Rampur Maniharan,27330
"Florești, Moldova",15607
巴加特迪,34642
Lianyuan,1012695
Kanchrapara,119065
科迪盖纳哈尔利,13092
Shirvan (Iran),82584
Adjohoun,58476
"Tempoal de Sánchez, Veracruz",11959
Umarkhed,48732
Lasht-e Nesha,10430
Буский повят,73858
Acarigua,208063
Forbesganj,51492
科利科,8
Niyodogawa,7949
Santo Domingo (Equador),505472
梅格拉杰,11312
Araioses,36981
"Sirsi, Karnataka",62804
Kanodar,11555
Chornomorsk,59549
霍尼亚拉,65285
立川市,185797
Jingjiang,692821
Paine (Chile),47709
ゴロンタロ,179780
Chanasma,16129
Gohana,64545
San Ramón de la Nueva Orán,81570
Calapor,11609
Harij,18864
Bhawanipatna,87426
"Kotwa, India",12927
Hodal,75379
Мачали,44589
Dingzhou,1230937
Carrión de los Céspedes,2452
Bolechów (miasto),21525
米爾諾格勒,48654
Verjnodniprovsk,17304
香南市,33481
Thaltej,44488
Abdan,5961
Mataundh,8384
恰莫利戈佩斯赫瓦尔,100463
アルコルコン,160985
Huadian,431925
拉迈,4212
Lakarka,6993
Lathikata,6786
Агрестина,24241
Umarkhed,48160
Chamgardan,16361
Керенд-э-Герб,8146
Atotonilco El Alto,51043
Azizpur,10137
Villarrobledo,26458
库马尔加特,14698
Daye,775626
Takaoka,182125
Sefrou,61705
Rohraband,4249
Lauthaha,8043
Al Amarat,71460
Omitama,50783
Ipiales,129381
Jalostotitlán,73207
Gharyan,185771
Ranavav,48035
巴苏德布普尔,222427
Kitahiroshima,58840
Vachkivtsi,5684
Villa Purificación,10653
Ausa (città),228504
Kazlų Rūda (plaats),7590
加劳恩达,30015
Dharoti Khurd,33397
Itaituba,100185
贾夫拉巴德,25019
Tempoal de Sánchez,12584
Tchoust,64989
Guirim,6057
Sasauli,15214
Osaki,139344
Neem-Ka-Thana,73283
Huejuquilla el Alto,7559
قرة آغاج,4030
Barwadih,8231
واكاياما (واكاياما),361590
Daveluyville,952
Khariar,15220
Matamoros (Coahuila),47925
Al-Aghwat,128327
法泰赫普尔乔拉西,5367
迪格维贾伊格拉姆,9731
Makhdumpur,31248
Hagerstown (Maryland),38799
Maharajganj (hoofdstad),24987
"Bhadravati, Maharashtra",58541
Gorontalo (ville),183733
鲁拉,15160
فياروبليدو,25830
Madhogarh,51305
卡內魯將軍鎮 (巴拉那州),13564
Municipio de Tolimán (Jalisco),8616
Dastjerd,6700
Alcaudete,11602
Ajhuwa,14947
"Jainagar, Bihar",30709
Belalcázar (Cordoue),2544
Torban (Khetri Leikai),4772
木曽町,13532
Sualkuchi,14043
نخل (مصر),11437
"Chattahoochee Hills, Georgia",2456
Fuente Obejuna,4912
Ciudad López Mateos,509123
Dharmanagar,46224
大津市,354060
Amvrosiivka,19798
صفي أباد (خراسان),3136
Catió,9129
San Ramón de la Nueva Orán,85856
Suzano,280751
Juchitlán,5520
Andahuaylas,35156
洛塔 (智利),47870
Iwakuni,135962
Khrew,17691
Guadalcázar (Córdoba),1635
كوشك (إصفهان),11487
Chaklasi,34890
جنوب تانغيرانغ,1501403
Ayagawa,25435
Venturosa,16704
Gajraula,57415
Kumagaya,207465
Naha (Okinawa),333973
Anbar Olum,5914
チャラタ,26959
ホニアラ,61467
Bagh-e Bahadoran,8460
Tetyjów,13778
Kirovs'k,29896
Molina (Curicó),39424
Pipiganj,10957
Bagasara,30260
Kawardha,47347
Самбалпур,330855
Powiat de Busko,75644
Nasukarasuyama,27168
نافتش,3708
Petare,363838
Mingora,236783
北卡拉斯,6488
塔爾塔爾,10881
Nayagarh,16970
ورزقان,3526
Chirkunda,45149
Khordha,116790
Ataq,35886
Sewastopol,411430
Abadeh Tashk,6417
Vahdattiyeh,10644
ايواوغلي,3238
Pervomaïsk (oblast de Mykolaïv),63620
رحيم أباد (غيلان),6891
克拉斯諾赫拉德,28429
Eshkenan,7520
Saraidhela,25151
Bangarapet,44593
Gun Carriage Factory Jabalpur,15850
涟源市,990876
Tadpatri,113487
Fossambault-sur-le-Lac,1660
Донгхой,153
Johns Creek,79760
Ranavav,46345
Chanasma,16034
Karachiya,7986
Berestechko,1720
Harand,6820
小美玉市,52935
Shimonoseki,288154
Shizuoka (cidade),706958
Araioses,38441
Dhrol,23127
"Moriguchi, Osaka",148282
古尔加奥恩鲁拉尔,17523
Hola Prystan,16491
Collipulli,22800
奇特巴拉加奥恩,19936
Rampur Maniharan,29250
Bhikhi,17031
Songadh,39303
Ganj Dundawara,41454
فيلا ديل ريو (قرطبة),7442
Camaçari,288391
Sufian,8749
Хорасган,89862
Rapar,57508
تشامغردان,15896
达斯纳,24786
比克拉姆加恩杰,135167
Sarāb (Stadt),40323
Juschnoukrajinsk,41836
Babrala,14374
Korehi,3156
كوليبيولي (تشيلي),24486
斯哈赫科特,25555
科亞卡科,283381
Ahualulco de Mercado,22121
道雷赫拉,18796
Tapalpa,16048
Gariadhar,31379
Szirwan (Iran),85076
Umbergaon,26922
Вильямартин,11848
Samthar,19571
Surendranagar Dudhrej,162800
Dasna,23486
تازه أباد (كرمانشاه),7135
Beauceville,6406
Mitoyo,73026
Salaya,29687
Gohand,7226
Fatehganj Purvi,8052
普拉恩蒂杰,21503
El Harrach,49119
Zarasai,8372
Mosty (miasto),17610
Sarsawa,18271
Shiggaon,25194
Касгандж,105128
Khairabad (Sitapur),48472
"Nili, Afghanistan",18827
宇部市,187606
Catió,9448
Tonaya,5701
Tanda (Rampur),40405
Municipio Tomatlán (Jalisco),36287
Porompat,5216
贾卡尔马恩迪,7216
Titron,10157
Банджарбару,214881
Rustamnagar Sahaspur,14648
洛斯帕拉西奥西维利亚夫兰卡,34088
Nasrabad (Esfahan),5793
Ratia (India),38594
Kheralu,20888
巴瓦尔,30964
Kichha,31582
Dezab,9991
Dharaan,135328
巴利亚里,11173
Santiponce,7843
诺沃斯赫赫拉,8775
阿巴代赫塔什克,6000
Barika,109535
Pratapsasan,12086
卡特拉斯,53309
Baraut,100561
阿維爾,34623
Koratty,16842
Ивакуни,142471
Villamartín,11793
Gandevi,15780
Tuljapur,31135
Araioses,37084
Moriguchi,141183
Yatsushiro,130272
Mainaguri,30403
前橋市,331737
Venturosa,17483
Katras,50843
Kotwa,12030
Uchana,44852
纳尔卡恩达,2712
Malin (obwód żytomierski),26114
"Kōge, Fukuoka",7716
Khedbrahma,25085
赤壁市,529046
拉希马特普尔,16887
Shōdoshima,16298
Rewari (Rural),4531
Gawan,9657
Mahudha,15704
قلعة تل,9011
الخليل,205556
Honiara,61573
Morella,2833
塞塔尼亚,34245
Jewar,32891
هاجرستاون,38512
Chaboksar,7737
Iwakuni,135359
Chacabuco,40566
Dataganj,21761
"Kiryū, Gunma",116097
Radha Kunda,5692
"Gol Tappeh, Hamadan",1827
Davorlim,11345
Лозовая,72500
Titron,10628
Achalpur,587870
