http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
فيس بوك,14003
Foursquare,209
Disqus,63
Kalypso Media,125
Hōwa Kōgyō,1234
Bomis,10
Wanne-Herner Eisenbahn und Hafen,193
Activision,3940
X-FAB,2397
Kraš,2559
Bodum,492
Advance Publications,25844
Rolls-Royce,1311
バシネフチ,8124
سيات (سيارة),12347
London Brick Company,205
Facepunch Studios,26
武田藥品,29275
BMC Software,7018
Villeroy & Boch,10684
Qatar Islamic Bank,492
Swarovski Optik,832
Ferrocarril de Echizen,89
Private Media Group,38
Kawasaki Heavy Industries,34029
Lawrence & Foulks,152
Челябинский тракторный завод,20146
Fabbrica di trattori di Čeljabinsk,13354
JN Data A/S,540
RWE Supply & Trading CZ,27
ウェスタン・デジタル,78174
"Lilpop, Rau i Loewenstein",4045
The Emirates Group,159
SJD Accountancy,189
Ferrovial,60252
Roth & Rau,1264
Tata Steel,81260
Iseki Nōki,6249
Amstrad,85
Apex Digital,49
Adam Aircraft Industries,31
Gerber Legendary Blades,293
蘋果公司,119286
Cadbury,72608
魁北克电力公司,20323
Carlyle Group,1694
Shuanghui Group,62273
R. J. Reynolds Tobacco Company,4048
Safra National Bank of New York,419
Rural Electrification Corporation,617
Livestream,99
Benelux Film Distributors,10
Filippi (Bootswerft),58
Maxell,4001
بورلاند,1083
Ceragon,1069
SimilarWeb,300
Banco Macro,7412
UCoz,100
كانتاس,27505
Bank of the Philippine Islands,12955
James Martin & Co,700
Color Press Group,317
CMA CGM,19599
Thales Training & Simulation,1977
Volkswagen AG,617690
Binckbank,556
Doeren Mayhew,314
Kraft Foods,24019
Nintendo Integrated Research & Development,146
Kartuli Pilmi,782
Кремиковский металлургический комбинат,6856
マイクロソフト,112164
Tod's,3227
Berkshire Hathaway,315506
Melitta,3801
KUKA,11905
ノー・フィア (アパレル),430
Energiapolar,7
Bentley (automerk),3603
Polycom,3751
Grupo SM,1918
福南梅森,5174
Tiffany & Co.,10430
ソニー,125
Haemimont Games,49
Willis (assurance),18594
Doğuş Group,42
カンタス航空,28728
CeramTec,4
京福電気鉄道,906
AGF (società),30163
Robert Half International,15385
Kaspersky Lab,2923
خطوط بيغاسوس,3452
Firefly Studios,27
Olympus,39087
Idemitsu Kosan,7811
オンタリオ・パワー・ジェネレーション,11382
Elia System Operator,1217
Cing,30
Zoic Studios,147
British Broadcasting Corporation,21973
Groupe SEB,25690
ATB Financial,5170
Segal McCambridge Singer & Mahoney,344
Schering,24802
American International Group,66023
ルクソーフラックス,83
Dean Markley Strings,21
KGHM Polska Miedź,29328
Washington Mutual,46992
ガス・ナトゥラル・フェノーサ,18742
Qantas,28855
Taco Bell,170760
愛爾蘭聯合銀行,10237
Mexx,6011
UnitedHealth Group,190703
Julius Meinl,570
Motala Verkstad,182
Thales Training&Simulation,2035
WestJet,13949
WH Group,62932
أكاماي,6159
西武鐵道,3154
フィールプラス,70
VAUDE,1559
Bombardier,64927
Richlyn Systems,8
AVL List,7787
Indústria Aeronáutica Neiva,1261
探索傳播,6930
Volkswagen,624
هارلي-ديفيدسون,5701
新东方学校,18484
Aeronautical Engineers Australia,45
ChoicePoint,5011
Petrof,1028
Galp Energia,7497
Harte Hanks,4910
مجموعة شيندلر,53239
البنك السعودي الهولندي,1552
東橫INN,7029
Legg Mason,3479
Petrobras,77
Denel,7763
St. Luke's House,199
Hydro-Québec,19571
Politico,305
Westmalle (bière),21
Claas,9603
FANUC,5613
出光兴产,7527
Egon Zehnder,443
Nortel,18
Toyota Motor Manufacturing Alabama,1107
Talend,475
Fox Entertainment Group,11874
BEHER,91
Abbott (entreprise),71449
Permira,193
Ziraat Bankası,24113
Viking Line,2695
Idacorp,1973
Mashable,119
インターナショナル・ウォッチ・カンパニー,322
Itaú,60105
CTL Logistics,2402
Hornby,209
GasTerra,171
OmniScriptum,71
Grupo Petrópolis,2541
Euronet Worldwide,4217
AAA Cooper,4440
Knight Capital Group,1474
PRISA,15090
Helly Hansen,597
Spotify,1523
Evraz,102703
Cholamandalam MS General Insurance,690
Gojo Industries,1928
S&T Dynamics,1167
Perfetti Van Melle,17051
Boston Scientific,23745
Yahoo! Japan,5372
Bundesdruckerei,1273
Enel Green Power,3686
Köln-Düsseldorfer Deutsche Rheinschiffahrt,189
Exor,299852
Nippon Ham,14782
Visionary Related Entertainment,62
SGL Carbon,6474
Volksbank Gruppe,4424
Lockheed Martin,128997
Target Corporation,331148
Biocompatibles,91
Temmler,952
Bugatti Automobiles,74
Philippine Postal Corporation,10945
Chrysler,74224
EA Canada,1241
Proton Bank,664
DLF Limited,11165
Perot Systems,23526
Zebra Imaging,55
FXCM,846
Tip Top Bakeries,9785
フラポート,20177
DeWitt Stern Group,185
Steve Jackson Games,43
Freud Communications,195
Polycom,3766
Brasfield & Gorrie,2497
US Microbics,20
DuPont,50891
Huf Haus,419
ハーレーダビッドソン,5749
Cellcom Israel,7023
Air Canada Jazz,4525
Nexen,3127
RealNetworks,1060
Eclipse Aviation,824
ゼロックス,147831
FUN Labs,93
Perfetti Van Melle,16427
Gas Natural,17913
訊連科技,513
Enron,20939
大日本住友製藥,4421
Amedei,32
Discovery Communications,7283
M&G,1041
Uralkali,11426
Tabasco (przyprawa),196
Warner Music Group,3452
Rush & Cash,1598
Save Mart Supermarkets,16780
Yellow Media,3331
Communications Corporation of America,334
ViaSat,3429
Lamborghini,1154
Peters (bakery),571
LS cable & system,9486
Petrol Ofisi,990
American Airlines,108575
Krones,11931
Bruno Banani,92
الخطوط الجوية الأمريكية,110921
Solyndra,1127
Kraft Foods Group,22476
Vyatta,52
James Purdey & Sons,60
SNC-Lavalin,37183
ACE Limited,20879
Pfleiderer,5108
StudiVZ,12
Rail4captrain,179
Zastava Arms,2230
Uber (Unternehmen),6555
Asia Pacific Airlines (Papua-Neuguinea),43
Viacom,10914
Sopwith Aviation Company,5210
Groupe Würth,66220
NBK Capital,176
DMG Mori Aktiengesellschaft,7155
Amstrad,86
Petrokemija,1541
