http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Op zoek naar Maria,11
Pod koszem,103
Миссия невыполнима (телесериал),176
Spider-Man and His Amazing Friends,24
Lo que el tiempo nos dejó,6
G-Men '75,365
Orphan Black,39
Glue (TV series),8
Naked & Funny,120
Saan Darating Ang Umaga?,84
I Borgia (serie televisiva francese),37
Wheeler Dealers,161
Mommy XXX,13
Iron Man: Armored Adventures,51
Rizzoli & Isles,109
Romanzo criminale – La serie,21
According to Jim,180
Como en el cine,237
Gilmore Girls,150
スターゲイト アトランティス,102
I Got a Rocket,50
Cook's Country,75
Pamiętniki wampirów (seria 1),21
Przygody kota Gotfryda,25
La Petite Boutique (série télévisée d'animation),13
Forever in My Heart,72
CBC Drama '73,10
Questa casa non è un albergo,12
Tuulepealne maa,12
Close to Home - Giustizia ad ogni costo,43
Sherlock Yack,51
Johnny Midnight (TV series),39
Cybermatt,107
Fortysomething,6
Presença de Anita,16
The First 48: Missing Persons,15
Разбивающая сердца,10
إمباكت ريسلنغ,647
The Storyteller,9
李小龙传奇,49
True Beauty (season 1),8
Aşk-ı Memnu (TV series),77
Second Chance (game show),94
Eyewitness (1994 TV series),40
Newlyweds (TV series),53
"Murder, She Wrote",269
Da Qing Fengyun,42
Tokusou Sentai Dekaranger,51
Hunter (Australian TV series),24
Most Evil,38
Hot Wheels Battle Force 5,54
Gawayn,101
CHAOS (serie de televisión),13
Deadly Games,13
Sortilegio (telenovela),87
Ask Harriet,13
Gostiya iz buduschego,5
Pulitzer Prize Playhouse,55
The Storyteller,9
Da Vinci's Demons,29
Papà prende moglie,8
Les Aventures de Sonic,64
Live with Chris Moyles,65
小鲤鱼历险记,53
Diplomatic Immunity (New Zealand TV series),13
Ménage à trois (série télévisée),22
SCORPION/スコーピオン,48
Diff'rent Strokes,181
Fix & Foxi and Friends,54
The Duke (TV series),13
K-9 (TV series),26
Atinale Al Precio,905
Ballet Shoes (TV serial),6
الاخوة والاخوات (مسلسل),107
De Legende van Korra,54
Dio vede e provvede,19
John from Cincinnati,10
HEROES REBORN/ヒーローズ・リボーン,13
لحبك (مسلسل),92
Centennial (miniseries),12
蝙蝠侠 (动画影集),89
La virgen de las siete calles,15
Pebbles i Bamm-Bamm,21
Get Karl! Oh Soo-jung,16
Manitoba 100,5
The Newsroom (Canadian TV series),33
Blue Mountain State,39
Через реку в Детройт,6
Genseishin Justirisers,51
Hyperdrive,12
Stripperella,13
Cracker (televisieserie),26
Karkú,78
Nobuta wo Produce,10
Gears and Tears,6
Жизнь как приговор,32
Lock n' Load with R. Lee Ermey,13
L'ispettore Giusti,6
Keeping Up Appearances,42
Hana yori dango (serie televisiva),9
حدث ذات يوم كوكب الأرض,27
Project Runway Philippines,33
The Wanda Sykes Show,21
Where the Legend Begins,27
ربيع الطفولة,13
The Nutty Squirrels Present,30
Alcatraz (série télévisée),13
Kröd Mändoon and the Flaming Sword of Fire,6
Benny & Ralph: due cuccioli per amici,26
Lost,121
Padre in affitto,13
Quinceañera (telenovela),104
The Office (UK TV series),12
Jayce and the Wheeled Warriors,64
Watchmen: Motion Comic,12
包青天 (1993年電視劇),237
Spojrzenia,18
A to Z (電視劇),13
The Krypton Factor,263
Vamp (telenovela),175
Kirk (TV series),32
Impact Wrestling,658
Bhootwala Serial,89
Rainbow Brite,1
الرحمة (مسلسل),45
La presencia de Anita,16
Quick Before They Catch Us,21
In Sickness and in Health,48
Cyberchase,108
Jayce i gwiezdni Wojownicy,65
The Legendary Siblings,39
Bundesvision Song Contest,11
全員逃走中,6
Ring of the Nibelungs,2
I delitti del cuoco,11
Red Dwarf: Back to Earth,3
Open House (Ireland),752
Double Time (TV drama),1
I-Witness,905
Catalina y Sebastián,120
The War at Home,43
Cro (série télévisée d'animation),20
Now Look Here,14
Watchdog (TV series),851
雪花 (韓國電視劇),16
Scorpion (serie televisiva),51
Running in Heels,8
Ángeles sin paraíso,155
Shirts & Skins,6
江山風雨情,43
Mitwa Phool Kamal Ke,171
