http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Carabobo Fútbol Club,10225
Swift Hesperange,3291
FC Lugano,6361
Les Astres Football Club,28509
Unión Deportiva Fuerteventura,2013
Free State Stars,19147
Granada CF,24838
Milsami Orgiejów,2697
Deportivo Guastatoya,2731
FKS Stal Mielec,6273
Borussia Mönchengladbach,55451
Nacional Táchira,40152
Carpi FC 1909,4575
MC Oran,37004
Dynamos Football Club (Afrique du Sud),20314
FC Felgueiras,6980
Ascot United F.C.,1145
PSAP Sigli,15215
VV Capelle,4243
Kickers Emden,6541
Витебск (футбольный клуб),7690
Nagdlunguaq-48,2012
AO Kavala,11666
Мелилья (футбольный клуб),12048
Foolad Natanz F.C.,5234
Club Deportivo Coslada,2403
Stade Centrafricain,22790
Erbil SC,41101
FK Mladost Podgorica,2102
كيلتي هارتز,2270
نادي كهر دورود لرستان,3467
FK Zemun Belgrado,11330
Borussia Dortmund,85326
Antalyaspor Kulübü,32415
Deportivo Galicia,14762
Futbol'nogo kluba CSKA Pamir,6296
Győri ETO Football Club,17825
Ballspielverein Borussia 1909 e. V. Dortmund,74288
Audax Italiano La Florida,11643
SC Hakoah Berlin,5736
伊斯克拉斯塔利足球俱樂部,4881
布羅尼體育會,15376
Icheon Citizen,23420
FK Gostivar,989
SC Fürstenfeldbruck,5333
Pumas Morelos,15229
Смена-Зенит,21301
FC Chiasso,10082
"Рязань (футбольный клуб, 1995)",22906
Nagdlunguaq-48,1921
Lokomotiv Gorna Orjachovitsa,10849
Paxtakor Taschkent,36006
US Ivry,1879
Dakar UC,9589
Akonangui Football Club,4494
Jeunesse sportive de Kabylie,14348
Darwen Football Club,4123
Comunicaciones Buenos Aires,3994
Apolonia Fier,6196
CD As Pontes,1989
Sănătatea Cluj,1892
Sirijus Klaipėda,9195
Heather St John's F.C.,1563
Kırklarelispor,2161
Athletic Club,52065
大田コレイル,16999
Pachuca Juniors,29745
برسيبورا جايابورا,30593
Valdez S.C.,12512
Club Deportivo Lugo,7062
Racing Club Vichy football,4875
FK Banga Gargždai,1852
CD Feirense,5890
KS Iliria,3368
FK Rostów,15461
Sporting Praia,8511
Clodiense S.S.D.,3527
Envigado FC,12053
CS Pandurii Târgu Jiu,19218
Caravaca Club de Fútbol,1815
Гостивар (футбольный клуб),1018
UD Gijón Industrial,3123
Évian Thonon Gaillard Football Club,15506
Forest F.C.,968
Saint-George SA,33137
1. FC Tatran Prešov,5341
Club Esportiu Alaior,2549
Pärnu Linnameeskond,1452
A.C. Palazzolo,5813
佩塔提克瓦工人足球俱乐部,11958
Bogotá F.C.,8457
Лез Астр,28312
Cabinteely F.C.,1555
Thể Công,22397
伊维恩托农盖拉德足球俱乐部,17426
FC Nanumaga,1333
FC Stavropol,15441
Ordizia KE,1806
Persib Maung Bandung,39377
拉達陶裡亞蒂足球會,15827
Lydney Town A.F.C.,99
Podosfairiki Anonymi Etaireia Atromitos,10462
نادي الوند همدان,8316
Anges de Notsè,979
Skövde AIK,4735
Al Moqaouloun al-Arab,33423
US Vibonese Calcio,6378
SC Weiz,1974
كاواساكي فرونتال,23600
Nistru Otaci,2039
Football Club Chiasso,10655
FC Darida,6519
Montedio Yamagata,18688
JK Tulevik Viljandi,2570
Virginia Beach Mariners,8863
Sokoł Saratów,14995
Porto Alegre Futebol Clube,481
アフリカ・スポール,20190
Ahli Sidab Club,19352
بوروسيا مونشنغلادباخ,55685
"Неман (футбольный клуб, Мосты)",2389
Clube Atlético Ferroviário,22047
アルビールSC,37599
Цуг-94 (футбольный клуб),4774
Herfølge Boldklub Køge,8
D.C. United,41373
ホアンアイン・ザライFC,12055
Sham Shui Po SA,1248
FC Dynamo Kirov,1999
MKS Kluczbork,2088
Pécsi Mecsek Futball Club,6208
Nepal Police Club,20294
Al-Wakrah Sport Club,12534
Kapaz PFC,24920
Club Deportivo Burriana,4255
Polonia Wilno,5687
HVV Hollandia,2480
Ванкувер Уайткэпс,22725
Melbourne Victory,50695
Club Deportivo Everest,3204
沃绍什体育俱乐部,18759
Guerreros Atlixco,1690
CD Anguiano,940
В-Варен Нагасаки,21665
Реал Аранхуэс,7309
Rayo Vallecano de Madrid (femminile),2263
Club de Deportes Santiago Morning,4771
Tacuarembó FC,12866
Benfica Lisbonne B,2607
SD Ponferradina B,5720
KP Chemik Police,2841
"Эстремадура (футбольный клуб, 2007)",10741
FC Locarno,9837
A.C. Belluno 1905,2715
IR Tanger,42807
União São João EC,24406
Yaracuyanos FC,10041
Hapoel Kfar Saba,5741
Impuls Diliżan,2210
Barenburger Sportverein Kickers Emden e.V.,7158
SCラインドルフ・アルタッハ,8900
Football Club de Gueugnon,13372
CD Guijuelo,1429
Club Deportivo Unión Juventud,25196
Associação Académica da Praia,7694
UD Salamanca,17134
Association Sportive Beauvais Oise,10128
Maccabi Ahi Nazareth F.C.,5146
Podosfairikos Anonymi Etaireia Apollon,14690
Raed Chabab Kouba,10301
密歇根雄鹿队,1884
نادي لوغانو,5948
CP Valdivia,688
Йени Малатьяспор,13807
SC Opel Rüsselsheim,7082
Jalgpalliklubi Narva Trans,2409
Città di Brindisi,8358
CD Coslada,2360
Atletico Piombino,3
Coton Sport FC de Garoua,21279
Seregno Football Club 1913,3801
BFC Preussen,4514
Brickfield Rangers F.C.,1062
Racing Club Haïtien,9629
SVヴィルヘルムスハーフェン,6610
Melbourne Victory Football Club,29870
Тур (футбольный клуб),17467
CD Guijuelo,1555
Klubi Sportiv Kamza,4444
Sporting de Huelva,734
Seregno Calcio,3377
SpVgg Landshut,10823
Association sportive de Korofina,31979
Rudnianka Rudna Wielka,490
SG Quelle Fürth,7174
Ferroviário Atlético Clube (CE),4190
Hafari Ahvaz F.C.,32246
Sportfreunde Eisbachtal,6086
Real Club España,1006
Apollon Limassol,13546
马斯里体育俱乐部,17579
ドロヘダ・ユナイテッドFC,1774
Maghreb Tétouan,13446
FK Baumit Jablonec,5769
BSC Old Boys Basel,8079
FC Locarno,11059
Águia de Marabá Futebol Clube,4471
Мазаалай,3315
FC Dinamo Kutaisi,13784
California Victory,9984
Highlands Park F.C.,13422
Inter Fútbol Sala,2645
Club de Deportes Santiago Morning,5047
Maritzburg United,11971
伊蒂法克足球俱乐部,27211
Альмерия B,14767
Pandurii Târgu Jiu,18931
HNK Šibenik,8198
Dila Gori,5179
Desportivo Maputo,4
Deportes Quindío,22277
Mangotsfield United F.C.,2481
برسيبو بوجونيغورو,13929
SpVgg Ludwigsburg,16635
Club Deportivo Ferroviario Almirante Arturo Fernández Vial,31601
Samut Prakan United F.C.,938
FC Milsami Orhei,2330
Futbol'nyj Klub Metallurg Lipeck,15217
Desportivo de Maputo,4
Металлург-Оскол,14969
Porto Alegre FC,509
Club Atlético Progreso,7002
Al-Khor,10740
Sestao River Club,8808
Torslanda Idrottsklubb,1612
جومبي يونايتد,11071
"Свифт (футбольный клуб, Эсперанж)",2732
卡法薩巴夏普爾足球會,6054
El Mansoura Sporting Club,21120
皇家普托斯足球會,31612
Fußball- und Sportverein Erlangen-Bruck e.V.,938
Glebe Rangers F.C.,1019
Stal Rzeszów,12172
Jönköpings Södra Idrottsförening,5644
Freetown City F.C.,27027
Beitar Nes Tubruk F.C.,507
النادي الأهلي (قطر),18141
Al Mansourah Sporting Club,18113
JEF United Ichihara Chiba,20168
CD Masnou,2211
Dallas Sidekicks (1984–2004),15979
Al-Ahly Benghazi,55409
Barendrechtse Voetbalvereniging Barendrecht,1545
Náxara CD,1033
CD Beniel,3861
Athletic Club,52631
SV Grödig,3589
FC KTP Kotka,4372
Haro Deportivo,4157
Diósgyőri VTK,10288
Fudbalski Klub Makedonija Gjorče Petrov,3039
أولمبيك تشاتيفا,9650
OFC Pomorie,2010
AFC Săgeata Năvodari,5529
Club Deportivo Mendi,1617
FK Kuban Krasnodar,28914
Tipton Town L.F.C.,929
نادي المغرب الفاسي,40554
Víkingur Gøta,1831
Amiens Sporting Club Football,10924
Monagas Sport Club,47103
FK Sileks Kratovo,1787
Győri ETO FC,14790
FCザリア・バルツィ,5794
Club Deportivo Lagun Onak,1391
Al-Suwaiq,13014
ハノイT&T FC,22481
Persebaya Surabaya,57214
Fútbol Club Deportivo Galicia,15467
CD Ensidesa,1495
FC Avangard Podolsk,11516
SKA-Energia Chabarovsk,16864
US Yatenga Ouahigouya,4830
Budapesti Vasas Sport Club,20420
佩西比萬隆,40048
Club Oriental de Football,1827
Łokomotiw Mezdra,5408
帕莱斯蒂诺体育俱乐部,12945
Futbol'nyj Klub Dinamo Vologda,10436
Club Deportes Cobresal,19026
Sociedade Boca Júnior Futebol Clube,2200
Al-Ansar (Beirut),23023
Кобресоль,18651
FC Arbon 05,1498
FC Clifton Hill,2174
Glebe Rangers FC,984
11 октября (футбольный клуб),15778
Каха Сеговия,2824
CD La Muela,1432
AD Cerro de Reyes,3325
Patriotas FC,19655
Club de Fútbol Villanovense,3765
AS Cherbourg,6559
FK Rostov,16411
FK İnter Baku,8453
Qviding FIF,4
UN Käerjéng 97,922
メルボルン・ビクトリーFC,33160
Torslanda IK,1412
Aris SC,2079
CE Alaior,2480
Mouloudia d’Oujda,31645
科佩爾足球俱樂部,4122
ASD Chieri Calcio 1955,3012
Hapoel Ramat Gan FC,40424
Carabobo FC,9234
نادي أنجي محج قلعة,23667
Brisbane Roar,52696
AC Allianssi,4672
Club Deportivo Godoy Cruz Antonio Tomba,22768
Chamois Niort,11590
FK Zemun,9512
Diósgyőri VTK,12631
MFK Viz-Sinara Yekaterinburg,4760
TSV Rain am Lech,3
KS Kastrioti,9810
Эльденсе,4304
Al-Khor Sports Club,11534
FC Iskra-Stal Rîbnița,4198
TSG 1899 Hoffenheim II,7070
União Desportiva Oliveirense,4027
La Roche Vendée Football,9331
メルボルン・ビクトリーFC,48388
Krabi F.C.,6686
Aydınspor Kulübü,16729
ヴェルダー・ブレーメン,47721
نصر حسين داي,22548
Club Deportivo Alcoyano,4452
哈維德夫足球會,11031
Al-Arabi (Qatar),13051
FK Koeban Krasnodar,29210
Nadi Football Club,18071
Portimonense SC,9112
شباب بلوزداد,15205
Jeanne d'Arc de Drancy,2736
Dunakanyar-Vác FC,10904
Real Potosí,29445
Étoile sportive Football Club Malley,3188
Samut Prakan F.C.,3206
Hangzhou Lücheng Zuqiu Julebu,54615
F.C. Vittoria,2771
VV Capelle,4332
CD Puerta Bonita,4148
Jenisiej Krasnojarsk (piłka nożna),24321
Football Club Jazz Pori,12346
Taipei Physical Education College,18375
SV Alsenborn,7747
Melbourne Victory Football Club,56119
Nîmes Olympique,17867
Tallinna JK Legion,525
Ponte San Pietro-Isola,1820
鲁维奥尼尤俱乐部,4596
Hertha BSC Berlin,74709
Universidad San Martín,17224
Al-Gharafa Sports Club,24026
Brusque Futebol Clube,5268
Corporación Club Deportivo Tuluá,17156
Dianella White Eagles SC,1494
Atlético Granadilla,2075
Carolina RailHawks,9474
Racing Club Haïtien,10503
Clube Recreativo Desportivo do Libolo,9600
Хоангань Зялай,12374
普列夫利亞礦工足球俱樂部,5257
Al-Arabi (Koeweit),23670
نادي فارزيم,11571
Clube Recreativo Desportivo do Libolo,8873
Association Sportive des Forces Armées Royales (AS.FAR),54286
Singburi F.C.,3056
祖安奧列治,23019
Olympic Real de Bangui,37370
Zorka-BDU Mińsk,1347
梅西亞天主教大學足球會,6297
Al-Rayyan Sports Club,28126
نيوكاسل يونايتد,46606
الاتحاد الرياضي لمدينة سطيف,28004
Sporting Clube Farense,16170
Ventforet Kofu,15775
Аскар Луго,2392
FC Bern,13421
União Desportiva Oliveirense,4238
圖積蘭奴斯足球會,25544
SD Reocín (women),966
Club Deportivo Zuera,2605
FC Hakoah,98
"Deportivo Alavés ""B""",2313
Kawkab Marrakech,41
UD Barbastro,5416
Football Club Wiltz 71,2259
GKS Tychy (piłka nożna),15855
Karvan Yevlax,4531
Étoile Carouge Football Club,7068
Association Sportive La Jeunesse d'Esch,3795
نادي كريتيل,11670
Jönköpings Södra Idrottsförening,5601
SC Dornach,2470
Interblock Lublana,504
Timersoqatigiiffik Nagdlunguak 1948,2064
FC Wohlen,5140
TSG 1899 Hoffenheim II,6900
タンペレーン・パロ・ヴェイコト,4996
Эмирейтс (футбольный клуб),4671
Club Deportivo Cobeña,2145
ED Láncara,5505
Windsor Arch Ka I,1467
W Connection,10122
CD San Roque,3776
FC Kreuzlingen,1269
Tractor Sazi FC,64566
VfL Oldenburg,3368
Conilon Futebol Clube de Jaguaré,3985
Zimbru Chișinău,10352
Sociedad Deportiva Huesca,5367
FCスタッド・ニヨン,7097
Diambars Football Club de Saly,1880
Marca Futsal,1105
Shabab Al-Dhahiriya SC,24502
JEF United Ichihara Chiba Ladies,12467
Portland Timbers sub-23,18777
Athlītikos Syllogos Olympiakos Volou 1937,8632
Suwon FC,11959
Нитра (футбольный клуб),5286
Hoboken FC 1912,1722
Аль-Батин (футбольный клуб),3147
FK Púchov,5746
Millwall Lionesses Ladies Football Club,20709
新波洛茨克足球俱樂部,5776
Stade Tunisien,19057
JA Drancy,2650
紐約城足球俱樂部,30764
Grêmio Esportivo Sapucaiense,2449
Inter Moengotapoe,4838
Energhetic Dubosary,2905
AD Guíxols,2545
秋明足球會,11792
FC Cetatea Suceava,14101
Club Deportivo Azuqueca,908
Tatran Liptowski Mikułasz,1912
El Mansoura SC,17533
Klubi Sportiv Flamurtari Vlorë,8791
BA Stars F.C.,41
Трухильянос (футбольный клуб),25394
Unión Deportiva Puzol,1922
ドンカスター・ローヴァーズ・ベルズLFC,15790
Novelda CF,5480
Floridsdorfer AC,3143
Hibernians Football Club,3791
HNK Šibenik,8440
Нафтан (футбольный клуб),5314
Cwmaman Institute F.C.,5546
Deportes Tolima,33523
Società Sportiva Lazio,74005
FSV Erlangen-Bruck,943
Teraktor Sazi Tebriz,59915
CD Huachipato,10847
FC Samtredia,3301
Stade Malien,52402
Gölbaşıspor,4532
Al-Ahly Doha Sports Club,17743
"Хапоэль (футбольный клуб, Беэр-Шева)",17600
كريستال بالاس,25212
نادي ناكيفوبو فيلا,4773
FCジェムチュジナ・ソチ,9551
SV Werder Bremen,38506
Al-Fateh Saudi Club,18805
Botafogo FC (João Pessoa),28025
FC Hebros,5222
Sportclub Rheindorf Altach,9391
نادي وحدت قم,2857
FC Breitenrain,1602
Real Maya,5011
Club Atlético San Martín (San Miguel de Tucumán),32909
Al-Gharafa Sports Club,26871
FK Sutjeska Nikšić,5558
UDサラマンカ,16860
Football Club Déifferdeng 03,2308
Elazığspor,15270
Pärnu Linnameeskond,1544
CS Avion,5029
Депортиво Колония,7764
Alfonso Ugarte de Chiclín,23330
SV Wienerberg,3
Кабушкорп,13134
Club Deportivo Jorge Wilstermann,38094
نادي الكرخ,5809
Зимбру (футбольный клуб),10503
MFK Zemplín Michalovce,4487
SV Memmelsdorf/Ofr.,4060
Ferroviário Atlético Clube (Fortaleza),4385
FC Blau-Weiß Linz,2205
نادي المنصورة,19396
CSD Independiente del Valle,7476
PFK Turan Tovuz,10520
Nadi Football Association,19151
Astana Fwtbol Klwbı,31846
Oeste FC,15616
Navarro Club de Fútbol,1423
FK 11 Oktomvri,16073
CF Trival Valderas,938
呂姆朗日足球俱樂部,3274
Ilva Bagnolese,7423
Mietałłurg-Kuzbass Nowokuźnieck,8833
FC Dunărea Călărași,10569
FK Shkendija 79 Tetovo,15710
"Олимпик (футбольный клуб, Сафи)",16956
Rampla Juniors FC,6062
Ferro Carril Oeste,26513
Acqui Calcio 1911,1602
Turn- und Sportverein 1927 Ampfing,9332
FC Lugano,6011
Postel 2000 FC,31136
Looktabfah F.C.,19906
CP Calasancio,515
UD Almansa,5120
Al-Najaf Football Club,13080
Sportkring Sint-Niklaas,3277
Al-Rayyan Sports Club,25842
インテル・バクーPFC,8110
NKインテルブロック・リュブリャナ,492
Club Deportivo Everest,3439
جمعية الحرس الوطني,10152
نادي اتحاد طنجة,47303
Goslarer SC 08,5348
Envigado F.C.,12026
OFK Mladost Lješkopolje,1167
Yeni Malatyaspor,12715
TPV Tampere,5388
Hartlepool United Football Club,6913
霍布羅體育會,7224
Impuls Sports Club Erebuni Dilidjan,1926
Futbol'nyj Klub Gazovik Orenburg,7499
キャリック・レンジャーズFC,5674
Società Sportiva Maceratese,6227
Deportivo Pereira,27971
Drogheda United F.C.,1985
Tourbillon Football Club,31910
嘉莱黄英足球俱乐部,12238
FC ViOn Zlaté Moravce,4114
卡莱尔联足球俱乐部,18548
CF Gandarío Sanse,999
PFK Burgas,2761
FC Kalamata,4446
SK Kladno,4167
Gérone Fútbol Club,9799
Playas de Castellón FS,5813
NAC Breda,16994
GÍ Gøta,2052
Goslarer SC,5071
Víkingur Ólafsvík,1012
Cortuluá,16857
Greifswalder SV 04,8002
ENPPI Club,14452
阿拉伯承包商SC,38790
Пярну Линнамеесконд,1441
古迪比足球會,5188
Agrupación Deportiva San Juan,1514
Olympique Club de Khouribga,10606
FSVツヴィッカウ,9807
Futbol'nyj Klub Znamja Truda,8036
F.C. Shahrdari Bandar Abbas,9716
NSTG Asch,2862
NK Rudar Velenje,2385
Football Club de Gueugnon,12873
AD Orcasitas,2936
Vancouver Whitecaps,19140
Moadon Kaduregel Hapoel Ramat Gan Giv'atayim,37618
Фрибур (футбольный клуб),9374
Bobo Sports,11356
Floridsdorfer Athletiksport-Club,2847
Club Deportivo Tuilla,2751
Emirates Club,5467
UN Käerjéng 97,1090
РБ Лейпциг,43881
Enskede Idrottsklubb,928
FKバンガ・ガルグジュダイ,1801
Лупаренсе,798
UE Llagostera,3501
FC New York,5593
Red Sea FC,18578
Эйр Юнайтед,1485
VfB Helmbrechts,15964
Mes Kerman Football Club,13999
Budapesti Vasutas Sport Club,3906
Unión Deportiva Almansa,5019
Macaé EFC,23
薩利亞巴堤足球會,5517
Torslanda IK,1627
نادي ليناريس,12552
Unione Sportiva Dilettantistica Palmese,5178
Debreceni Vasutas Sport Club,18874
紐約紅牛,23439
FC Istiklol,27244
Red Bull Brasil,18491
Sharjah FC,10659
Győri ETO FC,16561
FC Santa Claus,3646
Águia de Marabá FC,4405
利亚戈斯特拉体育联盟,3631
Hobro IK,8225
Corporación Club Deportes Tolima,27958
Budapesti Vasutas Sport Club,3463
Club Deportivo Illescas,983
Real Madriz,3030
Charlotte Independence,4348
Club Deportivo Real Mamoré,11369
Unión Deportiva Fuerteventura,1965
Coton Sport FC de Garoua,19882
Varzim SC,10575
Ittihad Alexandrie,90856
CD Fernández Vial,29665
BV Cloppenburg,5212
United Petrotrin Football Club,9070
Athlitikos Syllogos Anagennisi,6013
Lancy Football Club,1497
"Аль-Ахли (футбольный клуб, Дубай)",9890
Selangor FA,83660
Thể Công,19227
Vöcklabrucker SC,5027
C.D. Olivais e Moscavide,3359
Atlético Bello,4533
CA San Martín (Tucumán),29744
Unión Estepona CF,4374
ВА Тлемсен,19635
Club Deportivo Humanes,2014
Club Deportivo Lugo,8491
Blauw-Wit Amsterdam,1766
Tampereen Pallo-Veikot,5174
Maghreb Fez,42777
Sapekhburto Klubi Dila,4999
Avispa Fukuoka,20535
National Port Authority Anchors,10472
CSKA Pomir Doesjanbe,6719
Fussballclub Blau-Weiß Linz,2065
Defensor Villa del Mar,10663
Al-Merreikh Al-Fasher,10032
Deportivo Nueva Concepción,3131
USV Hercules,916
1. FC Gera 03,16189
"Младост (футбольный клуб, Апатин)",3171
FC Botoșani,11513
Atlético Fútbol Club,30342
Feyenoord Rotterdam,51488
Association sportive Lyon-Duchère,5484
Atlético Levante Unión Deportiva,896
皇家維戈塞爾塔俱樂部,31257
卡爾季察足球會,5062
Borussia Dortmund,78446
Hapoel Kfar Saba,6611
Club Deportivo Universidad San Martín de Porres,17855
Impulse FC,1338
Albirex Niigata Ladies,17339
"Аякс (футбольный клуб, Кейптаун)",55042
Racing Charleroi Couillet Fleurus,904
Shkumbini Peqin,5477
Tampereen Pallo-Veikot,5374
Ньон (футбольный клуб),6528
Athlītikos Omilos Kavala,9751
Żemczużyna Soczi,9050
VfL Oldenburg,3533
Club Atlético River Ebro,2696
Monterrey La Raza (2007–10),16130
Skalnik Gracze,1093
Club Deportivo Huarte,1500
Grêmio Atlético Sampaio,5949
Club Deportivo Azogues,9586
Colegio Nacional Iquitos,25929
Santos Futebol Clube de Angola,15979
アル・ムハッラク・クラブ,9945
Doncaster Rovers Belles Ladies Football Club,15106
KF Hajvalia,918
Ashanti Gold Obuasi,26277
Unión Salaverry,19705
DFK Dainava Alytus,3465
藤枝MYFC,13224
Богота (футбольный клуб),7296
Unione Sportiva Dilettantistica 1913 Seregno Calcio,3747
نادي بريزبن رور,53873
Football Club Niutao,1435
MKS Kluczbork,2152
USブローニュ,15575
FC Ryazan,26396
Carpi F.C. 1909,4288
Пуэрта Бонита,3923
AS Trenčín,3196
Grasshopper Club Zürich (women),1212
Woodley United F.C.,1853
Mouloudia Club d'Oujda,35279
大城府足球會,1925
CD Trofense,5314
アレマ・インドネシアFC,41855
Montego Bay United F.C.,7291
Club Deportivo Puertollano,7176
Suwon FMC WFC,28561
波哥大足球會,7515
AC Bellinzona,5213
SC Borussia 04 Fulda,19881
Valdez Sporting Club,11627
PTTラヨーンFC,11433
FC Monnerich,3058
Agrupación Deportiva Cantabria,1097
1. FC Tatran Prešov,5650
Arema Malang,38510
سبورت وانكايو,18877
Прогресс Нидеркорн,4684
AD Ceuta,6341
UD Collerense (women),931
Hangzhou Greentown Football Club,54791
Pumas Morelos,15317
Muharraq Club,9946
Sông Lam Nghệ An,19628
C.S.D. Independiente del Valle,7439
Ettifaq FC,29338
FC Chernomorets Novorossiysk,11391
Club Deportes Cobresal,21088
Macaé Esporte Futebol Clube,20
Valencia Club de Fútbol Femenino,2880
Sporting Club de Lutxana,1908
FC Callatis Mangalia,4669
Marca Futsal,1206
Corporación Deportes Quindío,22748
FK Atletas Kaunas,1
Sydney FC (W-League),42720
Фастав (футбольный клуб),6738
Futbolniy Klub Zhemchuzhina-Sochi,9992
Borussia Dortmund,79051
Unió Esportiva Llagostera,3643
Marsa FC,3238
Yangon United F.C.,3789
普雷紹夫足球俱樂部,5636
Deportivo Rayo Cantabria,1034
Stade Malien,64027
Al-Khor Sports Club,11005
塔夸伦博足球俱乐部,13198
VfL Oldenburg,3855
Gaborone United Sporting Club,21135
Étoile Filante de Lomé,10857
Army United Football Club,21267
Petite Rivière Noire SC,5406
Società Sportiva Acqui Calcio 1911,1694
NK Interblock,459
US Rumelange,2620
النادي العربي (قطر),12956
نادي النسور,15718
Fath Union Sport de Rabat,14701
白蘭恩體育會,18370
Silmo Mocuba,5
哈特尔普尔联足球俱乐部,8224
A.C. Rodengo Saiano,2563
MFK Dubnica,5829
FC Koper,4316
Goole A.F.C.,2715
FK Mladost Apatin,2828
CDA Navalcarnero,1552
Condal Club,2228
AFC Telford United,6880
1. HFC Humenné,5238
FC Kuusysi Lahti,4292
Мажейкяй (футбольный клуб),2324
Gazelle Football Club,29652
FC Santa Claus,4299
Avispa Fukuoka,22166
Club de Deportes Ñublense,11231
Chainat Football Club,12675
AS Tempête Mocaf,21124
FC Callatis Mangalia,4985
KS Shkumbini Peqin,5350
Grasshopper Club Zürich (femminile),1281
Universidad Católica de Murcia Club de Fútbol,6221
Club Deportivo Orientación Marítima,7077
Club Deportivo Olímpic,8443
CD Iruña,2675
Schetissu-Sunkar Taldyqorghan,2408
FC Gloria Buzău,20140
Словацко (футбольный клуб),8734
Atlético Monzón,5299
Skála ÍF,2009
Brusque FC,4985
SC Rheindorf Altach,8373
Ameri Tiflis,975
SC Young Fellows Juventus,3015
KÍ Klaksvík,530
Mengíbar CF,1751
Печ (футбольный клуб),7092
Holmalunds IF,2847
كارديف سيتي,32409
FC Rimavská Sobota,4715
SVグレーディヒ,3957
Comunicaciones Fútbol Club,15691
FC KooTeePee Kotka,4552
Ньор (футбольный клуб),11466
Associazione Sportiva Dilettantistica Unione Calcio Riccione,6873
Granada Club de Fútbol,22423
Football Club Machida Zelvia,10184
Rodopa Smolan,6468
Cumberland United FC,2613
C.S.D. Comunicaciones,16803
Брайтенрайн,1488
FCルーアン,12521
Águilas Doradas,13099
FK Belasica,6070
FC Spartak Plovdiv,3569
GKS Tychy,14749
Caledonia AIA,23329
Fudbalski Klub Dečić Tuzi,2949
FC UTA Arad,2025
Managua F.C.,9259
Apollon Smyrnis,14754
Berliner Fussball Club Preussen 1894 e.V.,4760
Kauno Futbolo Rankinio Klubas Atletas,1
凱萊布澤烏足球會,16994
Nuuk Idraetslag,2143
Стад Мальен,64133
Thai Port Football Club,12516
FC Samtredia,3099
SC Sagamihara,13924
FC Dila Gori,4411
Vancouver Whitecaps FC (2009),20500
AO Itabaiana,15870
維捷布斯克足球俱樂部,7443
GBK,3111
Unión Salaverry,18950
