http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
"St. Francis de Sales High School (Toledo, Ohio)",669
Highgate School,1391
Université d'État de Zanzibar,2123
Central Dauphin East High School,1247
West Chester Henderson High School (Pennsylvania),1302
Nonsuch High School,1308
École des hautes études en sciences sociales,3106
Sonia Shankman Orthogenic School,42
福州第三中学,2027
Университет Папуа — Новой Гвинеи,14387
Universidade de Estugarda,22132
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1418
Bethany College (Saskatchewan),0
Grape Creek High School,325
吉林省实验中学,5410
Green Lawns High School,1252
Университет Коменского,30508
Mardela Middle and High School,746
Armwood High School,2009
Harvard Graduate School of Design,392
Ulverstone High School,426
Université Saint-Clément d'Ohrid de Bitola,14964
Edgewood High School (Indiana),701
聖彼得堡國立資訊科技機械與光學大學,12078
Gardens Commercial High School,676
Parmiter's School,1177
Academia de Bellas Artes de Viena,1140
College of the Holy Cross,3024
Montebello High School,2939
Schreiner University,1241
Hirschi High School,1001
Mountain View College Academy,136
纽约法学院,33
Bentley Wood High School,1034
A&M Consolidated High School,2708
Connellsville Area School District,5430
Westmont Hilltop High School,659
Università degli Studi di Salerno,37937
Université de Hambourg,39742
"Ambleside Primary School, Nottingham",472
Ysgol Bryn Alyn,752
Sint-Maartenscollege,1654
Academia de Carreras Farragut,1001
West Side Leadership Academy,1049
Anhui Jianzhu University,16138
Stillwater Area Public Schools,9217
Sutherlin High School,427
Brearley School,723
Ramona Convent Secondary School,394
Pionier Boys' School,403
Fairfield Area School District,1031
Cedarview Middle School,723
University of Sassari,12899
Polytechnikum Mailand,45918
"Hudson Catholic High School (Hudson, Massachusetts)",115
Menaul School,215
Collegium Civitas,1762
Streator Township High School,930
"Roosevelt High School (Lubbock, Texas)",320
North Paulding High School,2379
Université islamique de Médine,23437
Orchard Farm High School,511
Université de Carthage,46304
Pierre Elliott Trudeau High School,1765
曼谷大學,28627
Magnus Church of England Academy,1060
Kingsway High School,969
College of Management Academic Studies,11023
جامعة ريدجو كالابريا المتوسطية,11
Bulacan State University,26806
"Sacred Heart School (Saratoga, California)",239
West York Area High School,945
Misr Universität für Wissenschaft und Technologie,17462
Froebel College of Education,240
Universidad Nacional de las Artes,16916
Sistema Universitario de Indiana,117055
Blackhawk School District,2872
The Benjamin Britten Music Academy,754
Universidad Del Pacífico – Ecuador,1528
Midd-West School District,2270
亞歷山德魯伊萬庫扎大學,25408
Davidson Day School,2
Dan Knott Junior High,541
The Willows Academy,224
ニューヨーク大学・ロー・スクール,1485
东芬兰大学,13856
Norges Handelshøyskole,2869
Cranford High School,1116
Universidad de Lund,41530
Nyack College,2994
新躍大學,14112
West Hall High School,1036
Indiana University – Purdue University Columbus,1815
Vineland Senior High School South,2808
St. Patrick's High School (Ottawa),1179
Herbert Henry Dow High School,1306
パデュー大学,40446
Universidad Nacional de San Luis,13015
University of Idaho College of Law,326
George Washington University School of Medicine & Health Sciences,737
Immaculate Heart High School (Los Angeles),219
Libera Università Internazionale degli Studi Sociali Guido Carli,8254
National University of Saint Augustine,27706
United World College–USA,27
Baltimore Civitas Middle/High School,369
Moorpark College,14291
East Carolina University College of Business,3790
Universidad Pedagógica Nacional (México),22524
Lejeune High School,556
Alonzo and Tracy Mourning Senior High Biscayne Bay Campus,1930
Universidad Tecnológica Chalmers,10697
Escuela Preparatoria Palisades Charter,2781
David Anderson High School,469
浙江理工大学,28468
Kibuli Secondary School,1478
Calvin Park Public School,357
Millard South High School,1694
Halifax County High School,1826
麻省药科与健康科学大学,7022
San Dieguito Academy,1797
Community High School (West Chicago),2253
جامعة ستافانغر,9516
International School of Kigali,239
Slowakische Technische Universität Bratislava,16663
Oasis Academy Brightstowe,646
Papieski Uniwersytet Świętego Tomasza z Akwinu,1043
"Notre Dame Academy (Park Hills, Kentucky)",564
Universidade Pantheon-Assas,17576
Sangju National University,4591
Tottenville High School,3773
Kathmandu University High School,598
Università americana in Afghanistan,1013
Redwood High School (Visalia),2328
International University of Monaco,520
Ludlow Church of England School,831
Greenway High School,1399
Nogales High School (Arizona),1771
Shau Kei Wan Government Secondary School,1012
Valley Forge Military Academy and College,663
Willamina High School,332
Universidad SIM,11925
東ウクライナ国立大学,35026
Université Alexandru Ioan Cuza de Iași,26550
Henry Wise Wood Senior High School,1189
La Salle University (Ozamiz),5304
The John Carroll School,664
Butler County Community College (Pennsylvania),1726
Università Brown,9005
Artesia High School (California),1856
Uniwersytet Ekonomiczny w Poznaniu,10093
École supérieure de musique et de théâtre Felix Mendelssohn Bartholdy de Leipzig,809
Landmark School,145
Harrisburg High School (Oregon),262
Lanakila Baptist High School,71
Universität Hasselt,5547
Nipawin Bible College,45
Britton-Macon Area School District,493
Technische und Humanistische Akademie in Bielsko-Biała,7732
Eastview Secondary School,1516
Rose and Alex Pilibos Armenian School,1069
Università di Richmond,499
"Department of Business Management, University of Calcutta",32
Cégep de l'Abitibi-Témiscamingue,2385
Zionsville Community High School,1728
جامعة بانتيون أساس,18204
جامعة أنقرة,41548
King Ecgbert School,1373
Uniwersytet w Bernie,17992
Macquarie University,39458
Université de Oradea,21331
Webster University Vienna,455
Université normale de Guangxi,23297
Dover High School (Arkansas),361
"Foothill High School (Orange County, California)",2246
Russische Staatliche Geisteswissenschaftliche Universität,5580
Mira Mesa Senior High School,2648
Universidad Pierre y Marie Curie,27905
Union County Academy for Allied Health Sciences,241
King Charles I School,1303
BRAC University,6184
安徽中医药大学,7879
Mapleton Junior/Senior High School,77
Bloomfield Junior-Senior High School,423
Warminster School,557
Monarch Park Collegiate Institute,953
"St Mary's School, Colchester",386
Escuela de cine Marubi,0
Université de Chieti,31236
De Shalit High School,2255
Celje First Grammar School,1085
New College Nottingham,20856
Paraclete High School,883
Universiti Putra Malaysia,24987
Wellsprings Friends School,63
Grove Academy,1156
Университет штата Аризона,53153
Lycée Français de Shanghai,1278
希尔中学,55944
Sankt-Petersburski Państwowy Instytut Górniczy,17748
Center for Transnational Legal Studies,55
Welshpool High School,1527
Université Saints-Cyrille-et-Méthode de Skopje,54649
Hatch End High School,1345
Georgiana Bruce Kirby Preparatory School,261
Universidad Estatal Belarusa de Informática y Radioelectrónica,15752
Universiteit voor Scheikunde en Technologie Praag,4092
Cleveland Heights High School,1981
Natick High School,1820
San Francisco Day School,386
Université de sciences appliquées de Mayence,4475
Universidad Externado de Colombia,13453
Bandon Senior High School,258
Eagle Harbor High School,153
埃里温国立大学,9306
Oberoi International School,1572
Kampala International University,12069
"Frontier High School (Bakersfield, California)",2093
巴黎第十大学,33544
Дурбанский технологический университет,25026
Conemaugh Township Area School District,1100
Technische Universiteit Eindhoven,6846
Crichton Street Public School,493
Epsom College,786
"Dhaka University of Engineering & Technology, Gazipur",2321
The Gifted Students' School-Iraq,59
Mountain Lakes High School,714
Arizona State University,4259
"New College, Telford",1343
Università degli Studi di Palermo,46
Université pontificale catholique du Pérou,15200
University of San Diego School of Law,997
潍坊医学院,13659
Universidad de La Rioja,7005
Landau Forte College,1008
Bronzeville Scholastic Institute,409
University of Brescia,13269
Universidade Federal da Bahia,25575
Свальбардский международный университет,536
Northern Illinois University College of Law,302
Escuela Colombiana de Ingeniería,5074
Mountain Vista High School,2177
Cedar Hill High School,1568
"Columbia Graduate School of Architecture, Planning and Preservation",620
克兰纳特管理学院,3034
École supérieure de réalisation audiovisuelle,2010
Canarsie High School,2742
Riddle High School,190
University of Dar es Salaam,18515
Frazier School District,1113
Université du sud du New Hampshire,3923
Armadillo Technical Institute,105
国立台中文華高級中学,2362
Spring Grove Area School District,3944
Unitec Institute of Technology,9392
Tarlac State University – Laboratory School,552
Black Mountain College,1314
Uniwersytet Technologii i Ekonomii w Budapeszcie,20626
NewSchool of Architecture and Design,584
哈佛商学院,1716
Mayo School of Health Sciences,1635
Anschutz Medical Campus,3737
Abilene Christian University,4271
Hardaway High School,2083
Minot High School,2054
Lockport Township High School,3769
Université technique de Crète,3334
Russian State University for the Humanities,5055
Austin Area School District,266
Bhawani Dayal Arya College,896
William Aberhart High School,1408
SMK Sentul Utama,1113
Estacada Alternative High School,159
Vanguard College Preparatory School,244
Kaunas University of Technology Gymnasium,334
Arizona State University,47898
Muskego-Norway School District,5449
"Indian Institute of Science Education and Research, Thiruvananthapuram",609
New York Law School,33
Universidad de Tsukuba,15571
珠海學院,1743
"Theodore Roosevelt High School (Kent, Ohio)",1278
Angelo State University College of Graduate Studies,660
University of Rhode Island,17113
"Pacific High School (Port Orford, Oregon)",86
St. Louis Community College–Wildwood,2264
Goerdeler-Gymnasium Paderborn,915
Fort Collins High School,1511
Great Bridge High School,1652
Bethel-Tate High School,605
"North Side High School (Fort Wayne, Indiana)",1856
KIIT International School,1579
Fruitland High School,467
Orange High School (North Carolina),1236
Dartmouth College,6022
Ponitz Career Technology Center,627
Academia de Arte e Design - Bezalel,2112
Eindhoven University of Technology,6678
Bay de Noc Community College,5476
Cadet College Hasan Abdal,1
West Hempstead High School,1027
Longyan University,7792
Oregon Connections Academy,3900
Wit-Russische Pedagogische Staatsuniversiteit,21449
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10136
Geneva Medical College,617
亨利四世中学,2003
Roosevelt High School (South Dakota),2194
Rockford University,1317
North Carolina Central University,10188
"Mesquite High School (Gilbert, Arizona)",2030
"St Catherine's School, Ventnor",55
Satriwitthaya 2 School,4690
Mill Creek High School,4185
معهد كارلسروه للتكنولوجيا,24880
McCutcheon High School,1711
Université Catholique de l’Ouest,12334
Université d'État de Kent,28638
أكاديمية كونمينغ الدولية,160
Технологический университет имени Насир ад-Дина Туси,7684
West Lothian College,8440
The Fallibroome Academy,1561
コメンスキー大学,26787
淡江大学,28504
Hochschule Dalarna,15763
Midd-West School District,2040
Black Forest Academy,330
Malatya Science High School,369
Clay-Chalkville High School,1361
Oratory Preparatory School,322
Université catholique argentine,15860
Alton Convent School,554
Pakenham Secondary College,1170
Naval School (Portugal),268
Бэйлорский университет,17591
European University of Lefke,5
Rangpur Zilla School,1775
Hartsville High School,1170
Wetherby School,237
Henry P. Becton Regional High School,476
Bernard Mizeki College,457
Arts and Technology High School,77
"Brewer High School (Fort Worth, Texas)",1610
Cypress Falls High School,3796
Lawrence High School (New York),1027
斯德哥尔摩大学,65880
University of Montpellier,41014
"West End Preparatory School, Harrogate",45
Willamette Valley Christian School,175
Fachhochschule St. Pölten,2369
Fachhochschule Dortmund,10739
