http://dbpedia.org/ontology/Band,http://dbpedia.org/ontology/runtime
The Dudesons,1500.0
Drawing Restraint 9,8100.0
Drawing Restraint 9,8100.0
Drawing Restraint 9 (film),8100.0
Drawing Restraint 9,8100.0
The 1 Second Film,3661.0
The 1 Second Film,3661.0
Moody Bluegrass (musical project),2911.0
Moody Bluegrass (musical project),3971.0
The Songs of Zamran: Son of Olias,18000.0
Acoustic Sessions,60.0
Acoustic Sessions (Shinedown EP),60.0
Acoustic Sessions,120.0
Acoustic Sessions (Shinedown EP),120.0
Errol Flynn (album),2979.0
Living in the Moment (Across Five Aprils EP),1093.0
She's on Fire (Amy Holland song),223.0
All I Want to Do Is Rock,53.0
Colin Meloy Sings Morrissey,1069.0
Public Pressure,2544.0
パブリック・プレッシャー,2544.0
Rootjoose,3852.0
The Be Five,2925.0
Genesis Revisited,4603.0
Genesis Revisited,4603.0
Genesis Revisited,4603.0
Poor Little Fool,152.0
Poor Little Fool,152.0
The Magician's House,1800.0
Little Bitty Pretty One,142.0
Little Bitty Pretty One,142.0
St. Louis to Liverpool,1894.0
St. Louis to Liverpool,1894.0
St. Louis to Liverpool,1894.0
Vileness Fats,1020.0
Slumber Party Massacre II,4500.0
Slumber Party Massacre II,4500.0
Slumber Party Massacre II,4500.0
Slumber Party Massacre 2,4500.0
Кровавая вечеринка 2,4500.0
Slumber Party Massacre 2,4500.0
The Head Shop,1892.0
The Head Shop,1892.0
Artistička radna akcija,3027.0
Long Dim Road,2668.0
Greasy Geezers Revival Jubilee,1162.0
In Person at Carnegie Hall,2195.0
In Person at Carnegie Hall,6775.0
Hot Dog Buddy Buddy,154.0
Cancer Ward (album),4715.0
Francie and Josie,1500.0
Apocalypse (Mahavishnu Orchestra album),3143.0
Apocalypse (album),3143.0
Apocalypse (album),3143.0
Heaven and Earth (ProjeKct X album),4348.0
Heaven and Earth (ProjeKct X),4348.0
Picture This (Channel 4),3600.0
The One (Chubb Rock album),2605.0
Brown-eyed Handsome Man,127.0
Brown Eyed Handsome Man,127.0
Brown Eyed Handsome Man,127.0
Brown-eyed Handsome Man,139.0
Brown Eyed Handsome Man,139.0
Brown Eyed Handsome Man,139.0
Histoire(s) du cinéma,15960.0
Histoire(s) du cinéma,15960.0
ゴダールの映画史,15960.0
Histoire(s) du cinéma,15960.0
Histoire(s) du cinéma,15960.0
KBC Band (album),2471.0
Slick Dogs and Ponies,2557.0
Strangers In Night - The Music Of Bert Kaempfert,3900.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
デヴィル・ウィズアウト・ア・コーズ,4272.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
Devil Without a Cause,4272.0
Early Mornin' Stoned Pimp,3959.0
Early Mornin' Stoned Pimp,3959.0
Early Morning Stoned Pimp,3959.0
Early Mornin' Stoned Pimp,3959.0
Early Mornin’ Stoned Pimp,3959.0
Let's Rock,4740.0
"Music, Martinis and Misanthropy",2449.0
Lost Souls Like Us,2307.0
The Angie House,3472.0
The Practice Sessions,1624.0
Aluminium (album),2058.0
Aluminium,2058.0
Kirk Brandon's 10:51,3263.0
Orangutang (band),2828.0
Cocky (album),3816.0
Cocky (álbum),3816.0
Cocky,3816.0
Cocky,3816.0
コーキー,3816.0
Cocky,3816.0
Cocky,3816.0
Fantastic Voyage (canción de Lakeside),370.0
Fantastic Voyage (Lakeside song),370.0
How Long (Betcha' Got a Chick on the Side),210.0
Tunguska (album),3130.0
The Wild One (Lied),150.0
Wild One (Johnny O'Keefe song),150.0
The Wild One (Lied),218.0
Wild One (Johnny O'Keefe song),218.0
Windows (Charlie Daniels album),2416.0
Handy Man (song),118.0
Handy Man (song),131.0
Handy Man (song),197.0
Limited Edition (Benjy Davis Project EP),1205.0
Little Sister (Elvis Presley song),180.0
Little Sister (piosenka Elvisa Presleya),180.0
Little Sister (песня Элвиса Пресли),180.0
Little Sister (Elvis Presley song),181.0
Little Sister (piosenka Elvisa Presleya),181.0
Little Sister (песня Элвиса Пресли),181.0
Move On (2012),8400.0
Двигайся,8400.0
Move On (2012 film),8400.0
Only Time Will Tell,288.0
Only Time Will Tell (song),288.0
Peggy Sue,149.0
Peggy Sue,149.0
Peggy Sue,149.0
Peggy Sue (chanson),149.0
ペギー・スー,149.0
Peggy Sue,149.0
Peggy Sue,149.0
Triple Trouble (song),163.0
It's Your Thing,167.0
Oui Avant-Garde á Chance,3226.0
Oui Avant-Garde á Chance,3226.0
Oui Avant-Garde a Chance,3226.0
Oui Avant-Garde á Chance,3226.0
State of Flow,2845.0
State of Flow,2845.0
State of Flow,3096.0
State of Flow,3096.0
The Big Knockover,1877.0
The Big Knockover,1877.0
Ché (band),2135.0
Ché (band),2135.0
Ché (banda),2135.0
Crooklyn Dodgers,274.0
Crooklyn Dodgers,274.0
Crooklyn Dodgers,274.0
Crooklyn Dodgers,304.0
Crooklyn Dodgers,304.0
Crooklyn Dodgers,304.0
First Comes First,2022.0
Hale and Pace,1800.0
Live (Our Lady Peace album),4660.0
Live (Our Lady Peace),4660.0
Live (álbum de Our Lady Peace),4660.0
Long Tall Sally,130.0
Long Tall Sally,130.0
Long Tall Sally,130.0
Long Tall Sally,130.0
Long Tall Sally/Slippin' and Slidin',130.0
ロング・トール・サリー,130.0
Long Tall Sally,130.0
Long Tall Sally,130.0
Long Tall Sally,130.0
Righteous Boy,2809.0
Alone I Play,4284.0
Alone I Play,4284.0
Astral Signal,2434.0
Liebe mit zwanzig,7200.0
L'amore a vent'anni,7200.0
L'Amour à 20 ans,7200.0
二十歳の恋,7200.0
Miłość dwudziestolatków,7200.0
O Amor aos Vinte Anos,7200.0
Love at Twenty,7200.0
Eurotechno,1539.0
Flaming Schoolgirls,2087.0
Flaming Schoolgirls,2087.0
Flaming Schoolgirls,2087.0
I'm the Urban Spaceman,143.0
I'm the Urban Spaceman,143.0
I'm the Urban Spaceman,143.0
Living in Neon,3966.0
About Love (album),2364.0
About Love,2364.0
About Love (album),2364.0
Megapuss,2877.0
Megapuss,2877.0
Motor City Motors,3600.0
The Many Facets of Roger,2413.0
Turn Out the Night,210.0
Waitin' in School,122.0
EP 2 (Odd Year & The Reverb Junkie EP),872.0
I'm Less Here,255.0
Big Chuck and Lil' John,9000.0
A Decade,4507.0
A Decade,4507.0
A Decade,4507.0
Roadrunner United,4615.0
Roadrunner United,4615.0
The All-Star Sessions,4615.0
Roadrunner United,4615.0
ロードランナー・ユナイテッド,4615.0
Roadrunner United,4615.0
Roadrunner United,4615.0
Roadrunner United,4615.0
Ultraforce,1320.0
Ultraforce,1320.0
Ultraforce,1320.0
Dust (Benjy Davis Project album),2820.0
Lucille (Little Richard song),141.0
Lucille (chanson de Little Richard),141.0
Lucille (Little Richard),141.0
ルシール (曲),141.0
Lucille (песня Литла Ричарда),141.0
K-15,-600.0
Toy Matinee,2925.0
Por Vida,1863.0
Por Vida (Kali Uchis album),1863.0
Cherry Bomb,139.0
Cherry Bomb,139.0
Cherry Bomb (The Runaways song),139.0
Different Directions (Champion album),2155.0
Fight Fire with Fire (canción de Kansas),220.0
Fight Fire with Fire (Kansas song),220.0
In Good Company (Canadian Chamber Choir album),3228.0
Cry Cry Cry,2960.0
Jurassic Park (film score),4393.0
Jurassic Park (colonna sonora),4393.0
That'll Be the Day,136.0
That'll Be the Day,136.0
That'll Be the Day (singolo),136.0
That'll Be the Day (chanson),136.0
That’ll Be the Day,136.0
Ballet for a Girl in Buchannon,775.0
Beckett on Film,38820.0
Hold Me Tight,152.0
Hold Me Tight,152.0
Hold Me Tight,152.0
Hold Me Tight (The Beatles),152.0
Hold Me Tight,152.0
Hold Me Tight,152.0
Hold Me Tight,152.0
Burns Blue,3203.0
Daterape,1313.0
Doctor Butcher,3000.0
Doctor Butcher,3000.0
Doctor Butcher,3000.0
Doctor Butcher,3000.0
I Only Want to Be with You,157.0
I Only Want to Be with You,157.0
二人だけのデート,157.0
I Only Want to Be with You,165.0
I Only Want to Be with You,165.0
二人だけのデート,165.0
I Only Want to Be with You,191.0
I Only Want to Be with You,191.0
二人だけのデート,191.0
I Only Want to Be with You,207.0
I Only Want to Be with You,207.0
二人だけのデート,207.0
Forgotten Roads: The Best of If,3945.0
Hit 'Em High (The Monstars' Anthem),257.0
Hit 'Em High (The Monstars' Anthem),257.0
"Lovers, Fighters, Sinners, Saints",1966.0
Walls Fall Down,151.0
Rock Will Never Die,2476.0
Rock Will Never Die,2476.0
Rock Will Never Die,2476.0
Rock Will Never Die,2895.0
Rock Will Never Die,2895.0
Rock Will Never Die,2895.0
Rock Will Never Die,4080.0
Rock Will Never Die,4080.0
Rock Will Never Die,4080.0
A Dose of Rock 'n' Roll,204.0
A Dose of Rock 'n' Roll,204.0
A Dose of Rock ’n’ Roll,204.0
A Dose of Rock 'n' Roll,204.0
Hundred Miles,172.0
Hundred Miles,172.0
Tele-rugby,600.0
