http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Focide (unità periferica),2.12e+09
Fokida,2.12e+09
フォキダ県,2.12e+09
Fócida,2.12e+09
Fokida,2.12e+09
Фокида,2.12e+09
福基斯州,2.12e+09
Aetolia-Acarnania,5.461e+09
إيتوليا-أكارنانيا,5.461e+09
Ätolien-Akarnanien,5.461e+09
Etolia-Acarnania,5.461e+09
Nome d'Étolie-Acarnanie,5.461e+09
Etolia-Acarnania,5.461e+09
Etoloakarnania,5.461e+09
エトリア＝アカルナニア県,5.461e+09
Nomos Etolia i Akarnania,5.461e+09
Etólia-Acarnânia,5.461e+09
Этолия и Акарнания,5.461e+09
埃托利亞-阿卡納尼亞州,5.461e+09
Argolis,2.154e+09
أرغوليذا,2.154e+09
Argolis,2.154e+09
Argólida,2.154e+09
Argolide,2.154e+09
Argolide (unità periferica),2.154e+09
アルゴリダ県,2.154e+09
Argolis,2.154e+09
Jednostka regionalna Argolida,2.154e+09
Argólida,2.154e+09
Арголида,2.154e+09
阿爾戈利斯州,2.154e+09
Arta (regional unit),1.662e+09
Arta (Regionalbezirk),1.662e+09
Unidad periférica de Arta,1.662e+09
Arta (district régional),1.662e+09
Arta (unità periferica),1.662e+09
Jednostka regionalna Arta,1.662e+09
Arta (unidade regional),1.662e+09
Elis (regional unit),2.618e+09
إيليا (مقاطعة),2.618e+09
Elis (Regionalbezirk),2.618e+09
Élide,2.618e+09
Élide,2.618e+09
Elide (unità periferica),2.618e+09
イリア県,2.618e+09
Ilia (departement),2.618e+09
Jednostka regionalna Elida,2.618e+09
Élida,2.618e+09
伊利亞州,2.618e+09
Evros (regional unit),4.242e+09
Evros (Regionalbezirk),4.242e+09
Unidad periférica de Evros,4.242e+09
Evros (unità periferica),4.242e+09
Jednostka regionalna Ewros,4.242e+09
Evrytania,1.868e+09
إفريتانيا,1.868e+09
Evrytania,1.868e+09
Euritania,1.868e+09
Eurytanie,1.868e+09
Euritania,1.868e+09
エヴリタニア県,1.868e+09
Evrytania,1.868e+09
Euritânia,1.868e+09
Nomos Eurytania,1.868e+09
Эвритания,1.868e+09
埃夫里塔尼亞州,1.868e+09
Federal District (Brazil),5.802e+09
القطاع الفدرالي البرازيلي,5.802e+09
Distrito Federal do Brasil,5.802e+09
Distrito Federal (Brasil),5.802e+09
District fédéral (Brésil),5.802e+09
Distretto Federale (Brasile),5.802e+09
ブラジリア連邦直轄区,5.802e+09
Federaal District (Brazilië),5.802e+09
Dystrykt Federalny (Brazylia),5.802e+09
Distrito Federal (Brasil),5.802e+09
Федеральный округ (Бразилия),5.802e+09
聯邦區 (巴西),5.802e+09
Florina (regional unit),1.924e+09
فلورينا (مقاطعة),1.924e+09
フロリナ県,1.924e+09
Florina (departement),1.924e+09
Флорина (ном),1.924e+09
弗洛里納州,1.924e+09
Imathia,1.701e+09
إيماثيا,1.701e+09
Imathia,1.701e+09
Unidad periférica de Emacia,1.701e+09
Imathie,1.701e+09
イマティア県,1.701e+09
Imathia,1.701e+09
Nomos Imatia,1.701e+09
Emátia,1.701e+09
Иматия,1.701e+09
伊馬夏州,1.701e+09
Karditsa (regional unit),2.636e+09
كارذيتسا (مقاطعة),2.636e+09
Karditsa (Regionalbezirk),2.636e+09
Unidad periférica de Karditsa,2.636e+09
Karditsa (unità periferica),2.636e+09
Karditsa (district régional),2.636e+09
カルディツァ県,2.636e+09
Jednostka regionalna Karditsa,2.636e+09
Cardítsa (unidade regional),2.636e+09
卡爾季察州,2.636e+09
Kilkis (regional unit),2.519e+09
كيلكيس (مقاطعة),2.519e+09
Kilkis (Regionalbezirk),2.519e+09
Unidad periférica de Kilkís,2.519e+09
Kilkís (district régional),2.519e+09
Kilkis (unità periferica),2.519e+09
キルキス県,2.519e+09
Kilkis (regionale eenheid),2.519e+09
Jednostka regionalna Kilkis,2.519e+09
Kilkis (unidade regional),2.519e+09
基爾基斯州,2.519e+09
Kluane National Park and Reserve,2.2013e+10
Kluane-Nationalpark,2.2013e+10
Parque nacional Kluane,2.2013e+10
Parc national et réserve de parc national de Kluane,2.2013e+10
Kluane National Park and Reserve,2.2013e+10
Nationaal park Kluane,2.2013e+10
Park Narodowy Kluane,2.2013e+10
Parque e Reserva Nacional Kluane,2.2013e+10
Клуэйн (национальный парк),2.2013e+10
克鲁瓦尼国家公园及保留地,2.2013e+10
Magnesia (regional unit),2.367e+09
Magnisia,2.367e+09
Unidad periférica de Magnesia,2.367e+09
Jednostka regionalna Magnezja,2.367e+09
Phthiotis,4.44e+09
فثيوتيس,4.44e+09
Fthiotida,4.44e+09
Ftiótide,4.44e+09
Ftiotide (unità periferica),4.44e+09
Phthiotide,4.44e+09
フティオティダ県,4.44e+09
Phthiotis,4.44e+09
Jednostka regionalna Ftiotyda,4.44e+09
Ftiótida,4.44e+09
Фтиотида,4.44e+09
弗西奧蒂斯州,4.44e+09
Pieria (regional unit),1.516e+09
بييريا,1.516e+09
Pieria,1.516e+09
Unidad periférica de Piería,1.516e+09
Piérie,1.516e+09
Pieria (unità periferica),1.516e+09
ピエリア県,1.516e+09
Piëria,1.516e+09
Jednostka regionalna Pieria,1.516e+09
Pieria,1.516e+09
Пиерия,1.516e+09
皮埃里亞州,1.516e+09
Thesprotia,1.515e+09
ثيسبروتيا,1.515e+09
Thesprotia,1.515e+09
Unidad periférica de Tesprotia,1.515e+09
Nome de Thesprotie,1.515e+09
Tesprozia (unità periferica),1.515e+09
テスプロティア県,1.515e+09
Thesprotia,1.515e+09
Tesprócia,1.515e+09
Теспротия,1.515e+09
塞斯普羅蒂亞州,1.515e+09
Chania (regional unit),2.376e+09
خانيا (مقاطعة),2.376e+09
Chania (Regionalbezirk),2.376e+09
Unidad periférica de La Canea,2.376e+09
La Canée (district régional),2.376e+09
La Canea (unità periferica),2.376e+09
Chania (departement),2.376e+09
ハニア県,2.376e+09
Jednostka regionalna Chania,2.376e+09
Chania (unidade regional),2.376e+09
干尼亞州,2.376e+09
Chimney Rock National Historic Site,335889.0
Chimney Rock National Historic Site,335889.0
Chimney Rock,335889.0
チムニーロック国立史跡,335889.0
Corinthia,2.29e+09
كورينثيا,2.29e+09
Korinthia,2.29e+09
Corintia,2.29e+09
Corinthie,2.29e+09
Corinzia (unità periferica),2.29e+09
コリンティア県,2.29e+09
Jednostka regionalna Koryntia,2.29e+09
Coríntia,2.29e+09
Коринфия,2.29e+09
科林西亞州,2.29e+09
Drama (regional unit),3.468e+09
دراما (مقاطعة),3.468e+09
Drama (Regionalbezirk),3.468e+09
Unidad periférica de Drama,3.468e+09
Drama (unità periferica),3.468e+09
Drama (departement),3.468e+09
ドラマ県,3.468e+09
Jednostka regionalna Drama,3.468e+09
Drama (unidade regional),3.468e+09
茲拉馬州,3.468e+09
Grevena (regional unit),2.291e+09
Grevena (Regionalbezirk),2.291e+09
Unidad periférica de Grevená,2.291e+09
Grevena (unità periferica),2.291e+09
Jednostka regionalna Grewena,2.291e+09
Grevena (unidade regional),2.291e+09
Heraklion (regional unit),2.641e+09
Iraklio (Regionalbezirk),2.641e+09
Unidad periférica de Heraclión,2.641e+09
Héraklion (district régional),2.641e+09
Candia (unità periferica),2.641e+09
Jednostka regionalna Heraklion,2.641e+09
Heraclião (unidade regional),2.641e+09
Ioannina (regional unit),4.99e+09
يانينة (مقاطعة),4.99e+09
Ioannina (Regionalbezirk),4.99e+09
Unidad periférica de Ioánina,4.99e+09
Giannina (unità periferica),4.99e+09
Ioannina (district régional),4.99e+09
ヨアニナ県,4.99e+09
Ioannina (departement),4.99e+09
Nomos Janina,4.99e+09
Janina (unidade regional),4.99e+09
Янина (ном),4.99e+09
約阿尼納州,4.99e+09
Kastoria (regional unit),1.72e+09
كاستوريا (مقاطعة),1.72e+09
Kastoria (Regionalbezirk),1.72e+09
Unidad periférica de Kastoriá,1.72e+09
Kastoria (unità periferica),1.72e+09
カストリア県,1.72e+09
Jednostka regionalna Kastoria,1.72e+09
Castória (unidade regional),1.72e+09
卡斯托里亞州,1.72e+09
Kavala (regional unit),1.728e+09
Kavala (Regionalbezirk),1.728e+09
Unidad periférica de Kavala,1.728e+09
Kavala (unità periferica),1.728e+09
Jednostka regionalna Kawala,1.728e+09
Cavala (unidade regional),1.728e+09
Kozani (regional unit),3.516e+09
Kozani (Regionalbezirk),3.516e+09
Unidad periférica de Kozani,3.516e+09
Kozani (district régional),3.516e+09
Kozani (unità periferica),3.516e+09
Jednostka regionalna Kozani,3.516e+09
Cozani (unidade regional),3.516e+09
Lake Allatoona,4.86027e+07
Larissa (regional unit),5.381e+09
Larisa (Regionalbezirk),5.381e+09
Unidad periférica de Larisa,5.381e+09
Larissa (unità periferica),5.381e+09
Jednostka regionalna Larisa,5.381e+09
Lárissa (unidade regional),5.381e+09
Pompeys Pillar National Monument,206390.0
Pompeys Pillar National Monument,206390.0
Monument national de la colonne de Pompey,206390.0
Preveza (regional unit),1.036e+09
Preveza (Regionalbezirk),1.036e+09
Unidad periférica de Préveza,1.036e+09
Prevesa (unità periferica),1.036e+09
Jednostka regionalna Preweza,1.036e+09
Preveza (unidade regional),1.036e+09
Rethymno (regional unit),1.496e+09
Rethymno (Regionalbezirk),1.496e+09
Unidad periférica de Rétino,1.496e+09
Réthymnon (district régional),1.496e+09
Retimno (unità periferica),1.496e+09
Jednostka regionalna Retimno,1.496e+09
Retimno (unidade regional),1.496e+09
Serres (regional unit),3.968e+09
Serres (Regionalbezirk),3.968e+09
Unidad periférica de Serres,3.968e+09
Serres (unità periferica),3.968e+09
Serrès (district régional),3.968e+09
Jednostka regionalna Seres,3.968e+09
Serres (unidade regional),3.968e+09
Somerville Lake,4.63608e+07
Thessaloniki (regional unit),3.683e+09
سالونيك (مقاطعة),3.683e+09
Thessaloniki (Regionalbezirk),3.683e+09
Unidad periférica de Tesalónica,3.683e+09
Salonicco (unità periferica),3.683e+09
Thessalonique (district régional),3.683e+09
テッサロニキ県,3.683e+09
Thessaloniki (departement),3.683e+09
Jednostka regionalna Saloniki,3.683e+09
Salonica (unidade regional),3.683e+09
Салоники (ном),3.683e+09
塞薩洛尼基州,3.683e+09
Trikala (regional unit),3.38348e+09
Trikala (Regionalbezirk),3.38348e+09
Trikala (district régional),3.38348e+09
Trikala (unità periferica),3.38348e+09
Jednostka regionalna Trikala,3.38348e+09
Trikala (unidade regional),3.38348e+09
Xanthi (regional unit),1.793e+09
Xanthi (Regionalbezirk),1.793e+09
Unidad periférica de Xánthi,1.793e+09
Xanthi (unità periferica),1.793e+09
Jednostka regionalna Ksanti,1.793e+09
Xanti (unidade regional),1.793e+09
Perry Lake (Kansas),4.51063e+07
Rainbow Basin,7.93589e+06
Central Athens (regional unit),8.74e+07
وسط أثينا,8.74e+07
Athen-Zentrum (Regionalbezirk),8.74e+07
Atenas Central,8.74e+07
Atene Centrale,8.74e+07
Athènes-Centre,8.74e+07
Jednostka regionalna Ateny-Sektor Centralny,8.74e+07
Atenas Central,8.74e+07
中雅典,8.74e+07
Rhodope (regional unit),2.543e+09
Rodopi (Regionalbezirk),2.543e+09
Unidad periférica de Ródope,2.543e+09
Jednostka regionalna Rodopy,2.543e+09
Ródope (unidade regional),2.543e+09
Piraeus (regional unit),5.04e+07
Piräus (Regionalbezirk),5.04e+07
Unidad periférica de El Pireo,5.04e+07
Il Pireo (unità periferica),5.04e+07
Le Pirée (district régional),5.04e+07
ピレウス県,5.04e+07
Jednostka regionalna Pireus,5.04e+07
Pireu (unidade regional),5.04e+07
ماياو,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Maiao,8.8e+06
Маиао,8.8e+06
Maiao,8.8e+06
Paros (regional unit),2.415e+08
Paros (Regionalbezirk),2.415e+08
Paro (unità periferica),2.415e+08
Paros (district régional),2.415e+08
パロス県,2.415e+08
Jednostka regionalna Paros,2.415e+08
Paros (unidade regional),2.415e+08
Naxos (regional unit),6.221e+08
Naxos (Regionalbezirk),6.221e+08
Nasso (unità periferica),6.221e+08
Naxos (district régional),6.221e+08
ナクソス県,6.221e+08
Jednostka regionalna Naksos,6.221e+08
Naxos (unidade regional),6.221e+08
Islands (regional unit),8.976e+08
جزر (أتيكا),8.976e+08
Inseln (Regionalbezirk Attikas),8.976e+08
Unidad periférica de Islas,8.976e+08
Isole (unità periferica),8.976e+08
Îles (district régional),8.976e+08
諸島県,8.976e+08
Jednostka regionalna Wyspy,8.976e+08
Ilhas (unidade regional),8.976e+08
Ikaria (regional unit),3.006e+08
Ikaria (Regionalbezirk),3.006e+08
Icaria (unità periferica),3.006e+08
イカリア県,3.006e+08
Jednostka regionalna Ikaria,3.006e+08
Icária (unidade regional),3.006e+08
Karpathos (regional unit),3.743e+08
Karpathos (Regionalbezirk),3.743e+08
Unidad periférica de Kárpatos,3.743e+08
Scarpanto (unità periferica),3.743e+08
Karpathos (district régional),3.743e+08
カルパトス県,3.743e+08
Jednostka regionalna Karpatos,3.743e+08
Cárpatos (unidade regional),3.743e+08
Kea-Kythnos,2.474e+08
Kea-Kythnos,2.474e+08
Unidad periférica de Ceos-Citnos,2.474e+08
Ceo-Citno,2.474e+08
Kéa-Kythnos,2.474e+08
ケア＝キトノス県,2.474e+08
Jednostka regionalna Kiea-Kitnos,2.474e+08
Ceos-Cítnos (unidade regional),2.474e+08
Kos (regional unit),3.372e+08
Kos (Regionalbezirk),3.372e+08
Coo (unità periferica),3.372e+08
Kos (district régional),3.372e+08
コス県,3.372e+08
Jednostka regionalna Kos,3.372e+08
Cós (unidade regional),3.372e+08
Milos (regional unit),3.625e+08
Milos (Regionalbezirk),3.625e+08
Milo (unità periferica),3.625e+08
Milos (district régional),3.625e+08
ミロス県,3.625e+08
Jednostka regionalna Milos,3.625e+08
Milos (unidade regional),3.625e+08
North Athens (regional unit),1.407e+08
شمال أثينا,1.407e+08
Athen-Nord (Regionalbezirk),1.407e+08
Atenas Septentrional,1.407e+08
Atene Settentrionale,1.407e+08
Athènes-Nord,1.407e+08
Jednostka regionalna Ateny-Sektor Północny,1.407e+08
Atenas Setentrional,1.407e+08
北雅典,1.407e+08
Rhodes (regional unit),1.5872e+09
Rhodos (Regionalbezirk),1.5872e+09
Rodi (unità periferica),1.5872e+09
Rhodes (district régional),1.5872e+09
ロドス県,1.5872e+09
Jednostka regionalna Rodos,1.5872e+09
Rodes (unidade regional),1.5872e+09
South Athens (regional unit),6.94e+07
Athen-Süd (Regionalbezirk),6.94e+07
Atenas Meridional,6.94e+07
Atene Meridionale,6.94e+07
Athènes-Sud,6.94e+07
Jednostka regionalna Ateny-Sektor Południowy,6.94e+07
Atenas Meridional,6.94e+07
Kalymnos (regional unit),3.997e+08
Kalymnos (Regionalbezirk),3.997e+08
Calimno (unità periferica),3.997e+08
Kalymnos (district régional),3.997e+08
カリムノス県,3.997e+08
Jednostka regionalna Kalimnos,3.997e+08
Calímnos (unidade regional),3.997e+08
Lemnos (regional unit),5.209e+08
Limnos (Regionalbezirk),5.209e+08
Lemno (unità periferica),5.209e+08
リムノス県,5.209e+08
Jednostka regionalna Limnos,5.209e+08
Lemnos (unidade regional),5.209e+08
