http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/area
First Presbyterian Church of Ontario Center,4856.23
First Presbyterian Church of Rumson,8093.71
First Presbyterian Church of Ulysses,4451.54
First Presbyterian Church of Wapakoneta,4046.86
First Presbyterian Church of West Chester,1214.06
"Fort Mitchell, Nebraska",80937.1
George and Temperance Adams House,1214.06
Gov. Thomas Bennett House,4046.86
"Grace Church (Scottsville, New York)",3561.23
"Grace Church (Yorktown, Virginia)",4046.86
Grace Church Van Vorst,1618.74
"Grace Episcopal Church (Astoria, Oregon)",4046.86
"Grace Episcopal Church (Hopkinsville, Kentucky)",1618.74
"Grace Episcopal Church (Keswick, Virginia)",20234.3
"Grace Episcopal Church (Kirkwood, Missouri)",2023.43
"Grace Episcopal Church (Middletown, New York)",4046.86
"Grace Episcopal Church (Mount Meigs, Alabama)",13354.6
"Grace Episcopal Church (Paducah, Kentucky)",8093.71
"Grace Episcopal Church (Plainfield, New Jersey)",6879.66
"Grace Episcopal Church (Sandusky, Ohio)",4046.86
"Grace Episcopal Church (Spring Hill, Tennessee)",4046.86
"Grace Episcopal Church (St. Francisville, Louisiana)",36421.7
"Grasmere (Rhinebeck, New York)",242811.0
"Greenlawn (Middletown, Delaware)",20234.3
Hambley-Wallace House,6879.66
Holy Trinity Church (Nashville),4046.86
James Perry House,52609.1
Jersey City YMCA,12140.6
John Alexander Lackey House,9307.77
John Hill House,1214.06
Jonathan M. Bennett House,4046.86
"Joseph Adams House (Layton, Utah)",24281.1
Joseph T. Adams House,4046.86
"Liberty Hall (Forest, Virginia)",21043.7
"Liberty Hall (Machiasport, Maine)",4046.86
"Liberty Hall (Quakertown, Pennsylvania)",809.371
"Liberty Hall (Windsor, North Carolina)",20234.3
Liberty Tower (Dayton),4046.86
"Lincoln School (Davenport, Iowa)",13395.1
"Lincoln School (Oskaloosa, Iowa)",9712.46
Luther Henry Caldwell House,3237.49
Mathewson Farm,67784.8
"Mount Hope Cemetery (Raleigh, North Carolina)",118573.0
"Oak Grove School (Winston-Salem, North Carolina)",2023.43
"Old First Presbyterian Church (Newark, Delaware)",1618.74
"Old First Presbyterian Church (Wilmington, Delaware)",4046.86
Park Place School,4046.86
Plaza de España (Agaña),1618.74
Plaza de España (Hagåtña),1618.74
"Prospect Hill (Fincastle, Virginia)",44515.4
"Prospect Hill (Long Green, Maryland)",202343.0
"Prospect Hill Historic District (New Haven, Connecticut)",748668.0
Randleman Graded School,8903.08
Richard Alsop IV House,8093.71
Richmond Academy of Medicine,1214.06
"Rokeby (Barrytown, New York)",1.76848e+06
"Rokeby (Ferrisburg, Vermont)",343983.0
"Rokeby (King George, Virginia)",202343.0
"Rokeby (Leesburg, Virginia)",202343.0
"Sacred Heart Church, School and Rectory",408732.0
"Sacred Heart Church (Trenton, New Jersey)",8093.71
Samuel Caldwell House,4046.86
Samuel W. Seeley House,1618.74
Sparta First Presbyterian Church,4046.86
"St. James Episcopal Church, Mill Creek",40468.6
"St. James Episcopal Church (Boardman, Ohio)",4046.86
"St. James Episcopal Church (Grosse Ile, Michigan)",4046.86
"St. James Episcopal Church (La Grange, Texas)",4046.86
"St. James Episcopal Church (Milwaukee, Wisconsin)",3237.49
"St. James Episcopal Church (Muncy, Pennsylvania)",1214.06
"St. James Episcopal Church (Old Town, Maine)",2023.43
"St. James Episcopal Church (Watkins Glen, New York)",4046.86
"St. Mark's Episcopal Church (Ashland, New Hampshire)",3237.49
"St. Mark's Episcopal Church (Green Island, New York)",2023.43
"St. Mark's Episcopal Church (Halifax, North Carolina)",2023.43
"St. Mark's Episcopal Church (Huntersville, North Carolina)",39254.5
"St. Mark's Episcopal Church (Mt. Kisco, New York)",10117.1
"St. Mark's Episcopal Church (Pinewood, South Carolina)",8093.71
"St. Mark's Episcopal Church (St. Albans, West Virginia)",6070.28
"St. Mark's Episcopal Church (West Orange, New Jersey)",10117.1
"St. Mary's Episcopal Church (Elverson, Pennsylvania)",5260.91
"St. Mary's Episcopal Church (Franklin, Louisiana)",101171.0
"St. Mary's Episcopal Church (Middlesboro, Kentucky)",2023.43
"St. Paul's Church (New Melle, Missouri)",12545.3
"St. Paul's Church and Cemetery (Newton, North Carolina)",24281.1
"St. Paul's Church and Cemetery (Paris Hill, New York)",10117.1
St. Stanislaus Church Historic District,45324.8
"St. Stephen's Church (Bradys Bend, Pennsylvania)",2023.43
Stagecoach Inn of Chappell Hill,4046.86
"State Theatre (Easton, Pennsylvania)",2428.11
"Stony Point (Greenwood, South Carolina)",20234.3
"Sweet Briar (Geneseo, New York)",996510.0
"Tanglewood (Akron, Alabama)",1.94249e+06
"Tanglewood (Chillicothe, Ohio)",12545.3
Tanglewood Plantation,40468.6
"Terwilliger House (Shawangunk, New York)",275591.0
The Holston,687.966
Thomas Beaver Free Library and Danville YMCA,1214.06
Timothy Wallace House,1618.74
Trinity Episcopal Church-Fairfield,4451.54
"Trinity Episcopal Church (Bend, Oregon)",1214.06
"Trinity Episcopal Church (Cheyneyville, Louisiana)",8093.71
"Trinity Episcopal Church (Claverack, New York)",5260.91
"Trinity Episcopal Church (Independence, Missouri)",404.686
"Trinity Episcopal Church (Iowa City, Iowa)",3237.49
"Trinity Episcopal Church (McArthur, Ohio)",4046.86
"Trinity Episcopal Church (Mobile, Alabama)",4451.54
"Trinity Episcopal Church (Mobile, Alabama)",4451.54
"Trinity Episcopal Church (Portsmouth, Virginia)",36421.7
"Trinity Episcopal Church (Potsdam, New York)",12545.3
"Trinity Episcopal Church (Staunton, Virginia)",40063.9
"Trinity Episcopal Church (Wilmington, Delaware)",4046.86
"Trinity Episcopal Church (Woodbridge, New Jersey)",18615.5
"Trinity Episcopal Church Complex (Saugerties, New York)",19424.9
"Trinity Episcopal Church and Parish House (Watertown, New York)",4451.54
Tulip Methodist Church,809.371
Wayland E. Poole House,809.371
"Wesley Chapel (Hopetown, Ohio)",4046.86
"Windsor Castle (Toano, Virginia)",202343.0
"Y-Bridge (Zanesville, Ohio)",8093.71
"YMCA (Salem, Massachusetts)",3237.49
Auditorio conmemorativo municipal de Shreveport,8093.71
Shreveport Municipal Memorial Auditorium,8093.71
Wing Park Golf Course,210437.0
Acorn Hall,20234.3
Alden Park Manor,153781.0
Anderson College Historic District,32374.9
"Anderson Downtown Historic District (Anderson, South Carolina)",2023.43
"Anderson Downtown Historic District (Anderson, South Carolina)",58679.4
Anna Ranch Heritage Center,14164.0
Anne Arundel County Free School,5665.6
Arrowmont School of Arts and Crafts,20234.3
"Bethany Congregational Church (Quincy, Massachusetts)",3237.49
"Brandon Hall (Washington, Mississippi)",162684.0
Bryn Du Mansion,202343.0
Buckley Homestead,11735.9
Cardona Residence,260.0
College of Physicians of Philadelphia,4046.86
Connecticut River Museum,3237.49
Daniel Cragin Mill,16187.4
Dunlap coke ovens,24281.1
"First Congregational Church and Parsonage (Kittery, Maine)",8093.71
First Territorial Capitol of Kansas,11331.2
Fort Martin Scott,93077.7
Freedom Congregational Church,8093.71
Gen. William A. Mills House,1214.06
Indiana Territorial Capitol,404.686
Kent Plantation House,16187.4
Knapp Farm,20234.3
Kūkaniloko Birthstones State Monument,20234.3
Kukaniloko Birth Site,20234.3
Laurel Hill Farm,287327.0
Long Branch Plantation,1.61874e+06
Merced Theatre,2104.37
Teatro Merced,2104.37
Merced Theatre,2104.37
Moore-Turner Garden,485623.0
New Imperial Hotel,809.371
Old Bergen Church,2023.43
Old Presbyterian Meeting House,2023.43
Parkside East Historic District,914590.0
Pearl S. Buck Birthplace,66368.4
Pinecroft,129742.0
Queen City Pool and Pool House,44515.4
Reedy River Falls Historic Park and Greenway,24281.1
Reedy River Falls Historic Park and Greenway,32374.9
Rika’s Landing Roadhouse,9307.77
Rika's Landing Roadhouse,9307.77
St. Elizabeth Health Services,6070.28
Temple Hall,1.1574e+06
"The Cloisters (Lutherville, Maryland)",214483.0
Thomas FitzSimons High School,10117.1
Wills Eye Hospital,3237.49
Fall Creek Meeting House,7284.34
Gruenewald House,4046.86
A. C. Gilbert's Discovery Village,809.371
A. M. Lamb House,20639.0
Abbott-Page House,4046.86
Acton House,4046.86
Adams Street Double House,4046.86
Amelia Barr House,10521.8
J. F. Wiessner & Sons Brewing Company,11331.2
American Brewery (building),11331.2
Anderson Brothers Department Store,4046.86
"Antioch Hall, North and South Halls",12140.6
"Arcade Hotel (Springfield, Ohio)",4046.86
Architects and Engineers Building,2023.43
"Armstrong Farm (Crane Township, Wyandot County, Ohio)",2.17235e+06
Ashville Depot,4046.86
Athens Governmental Buildings,15782.7
Austin F. Williams Carriagehouse and House,10521.8
Barnett Bobb House,404.686
Bathhouse Row,24281.1
Bedford Springs Hotel Historic District,1.21406e+06
Bernard H. Moormann House,4046.86
Bob White Covered Bridge,40468.6
Brattleboro Retreat,2.50905e+06
Bremo Slave Chapel,4046.86
Brown Farmstead,457699.0
Bull Stone House,485623.0
Buskirk Bridge,4046.86
Butler Square,5212.35
Cairo Rosenwald School,14973.4
Capt. Edward Durant House,386.848
Carlyle House,4046.86
Carroll Mansion,16187.4
Carvey–Gatfield House,9712.46
Champion Hill Battlefield,1.61874e+07
Charles B. Russell House,4046.86
Charles H. Burwell House,20234.3
Charles H. Patten House,8093.71
"Charles Woodruff House (Wyoming, Ohio)",3237.49
Cheney Brothers Historic District,708200.0
"Chicago, Milwaukee, St. Paul and Pacific Railroad: South Cle Elum Yard",97124.6
Church Park Historic District,4.12779e+06
Church of the Presidents (New Jersey),404.686
Claflin School,6070.28
"Clarksville Historic District (Austin, Texas)",1.23429e+06
Cleveland House,9307.77
Cliveden (Benjamin Chew House),21853.0
Cobblestone Historic District,3642.17
Colden Mansion Ruins,32374.9
Connecticut Agricultural Experiment Station,25292.9
Connecticut Agricultural Experiment Station,25292.9
Cornwall Friends Meeting House,21853.0
Cragsmoor Historic District,1.46496e+06
Cranmer Park,98338.6
Cromwell Manor,28328.0
Cromwell Manor,28328.0
Cumberland and Oxford Canal,5.96911e+06
Daniel Aldrich Cottage and Sawmill,42492.0
Daniel Sutherland House,8093.71
Doane College Historic Buildings,32374.9
Downtown Santa Ana Historic Districts,99148.0
E. B. White House,4046.86
Easton Cemetery,236741.0
Edward R. Stearns House,33993.6
Eleutherian Mills,773759.0
Elias Hinshaw House,4046.86
Elwood Downtown Historic District,182109.0
Ephraim Smith House,24281.1
Femco Farms,28328.0
"First Reformed Dutch Church, Hackensack",6474.97
Fort Payne Opera House,809.371
Fort Pownall,12140.6
Fort Pownall,12140.6
Форт Паунэлл,12140.6
Fort Southerland,24281.1
Frederic Remington House,182109.0
Frederick Lunkenheimer House,4046.86
Fredrika Bremer Intermediate School,4046.86
Gallatin Gateway Inn,61916.9
Gallatin Presbyterian Church,4856.23
Gen. William Grose House,4046.86
George Clayson House,1618.74
George Hoadley Jr. House,4046.86
George T. Wisner House,16187.4
George and John R. Hunt Memorial Building,40063.9
Gilbert Millspaugh House,808.256
Gilbert Millspaugh House,4046.86
Glassell Park Elementary School,4046.86
Golden Plough Tavern,4046.86
Great Falls Portage,3.11608e+07
Heinrich A. Rattermann House,4046.86
Gould Guggenheim Estate,874121.0
Palacio Hempstead,874121.0
Hempstead House,874121.0
Henry County Courthouse (Indiana),5260.91
Henry Probasco House,80937.1
High Street Commercial Block,1618.74
Himmel's Church Covered Bridge,404.686
Hoodin Building,4046.86
Houston House,0.0
Hudson River State Hospital,1.19787e+06
"Indiana Theatre (Indianapolis, Indiana)",4046.86
Jackson County Courthouse (Minnesota),4046.86
James Akey Farm,339127.0
James B. Weaver House,4046.86
Jane Ross Reeves Octagon House,16187.4
Jefferson Schoolhouse,4046.86
Jenkins-DuBois Farm,435442.0
Jethro Coffin House,3035.14
Jethro Coffin House,3035.14
John H. Addams Homestead,22257.7
John R. Oughton House,29137.4
John Sullivan House,8093.71
John Trumbull Birthplace,12140.6
John Wesley McElroy House,2832.8
Jonathan Sturges House,5665.6
Jose Castro House,4046.86
Josiah Kirby House,4451.54
Juan de Anza House,1011.71
Juan de Anza House,1011.71
Julia-Ann Square Historic District,141640.0
Justus Ramsey Stone House,4046.86
Kanabec County Courthouse,4046.86
Kellogg's Grove,226624.0
"Kellogg House (Cincinnati, Ohio)",4046.86
Kennicott Grove,202343.0
Kimberly Mansion,12140.6
King Homestead,4046.86
Knightstown Academy,4046.86
L.B. Robb Drugstore,4046.86
"Lamb's Creek Church (Sealston, Virginia)",40468.6
Landsford Canal,2.67093e+06
Langdon House,4046.86
Langstroth Cottage,0.0
Laurel Homes Historic District,137593.0
Lena Water Tower,4046.86
Lillybanks,5665.6
Locust Lawn Estate,97124.6
Lombardy Apartment Building,0.0
Lord & Burnham Building,3237.49
Lower Main Street Historic District,202343.0
LuNeack House,4046.86
Manitoga,303514.0
Manitoga,303514.0
Mardot Antique Shop,4046.86
Marsh Hall (Yale University),27518.6
Martin County Courthouse (Minnesota),4046.86
Mayslake Peabody Estate,352077.0
Midtown Corinth Historic District,339936.0
Montgomery-Grand-Liberty Streets Historic District,4.08732e+06
Moore's Crossing Historic District,1.23429e+06
Mountain Iron Mine,971246.0
Navajo Nation Council Chamber,6474.97
New Hotel Carquinez,2023.43
New York Life Insurance Building,10117.1
New York Life Building,10117.1
New York Life Building,10117.1
New York Life Building,10117.1
ニューヨークライフビル,10117.1
New York Life Building,10117.1
Нью-Йорк-Лайф-билдинг,10117.1
纽约人寿保险大厦,10117.1
Noble County Sheriff's House and Jail,1618.74
Northern Pacific Railroad Shops Historic District,101171.0
Norwell Residence,4046.86
Norwood Municipal Building,2832.8
Ohio National Guard Armory,4046.86
Old Gothic Barns,4046.86
Old Main (Bethany College),4046.86
Old Sheldon Church Ruins,18210.9
Oliver Brewster House,16187.4
Oliver Brewster House,16187.4
Oliver Wolcott House,48562.3
Orange County Courthouse (Indiana),4046.86
Oswegatchie Pumping Station,7689.03
Oxford Female Institute,4046.86
Packer's National Bank Building,4046.86
Park Flats,4046.86
Penn Alto Building,1618.74
Pennsylvania Match Company,23471.8
Perry Hall Mansion,15782.7
Pfleger Family Houses,2023.43
Pico Canyon Oilfield,3.43983e+06
Pipestone County Courthouse,12140.6
Port Gibson Battlefield,8.41746e+06
Probasco Fountain,0.0
Professor William Pabodie House,1214.06
Ralph Bunche High School,31565.5
Rankin Ranch,364217.0
Rawl-Couch House,8498.4
Reformed Church of Shawangunk,16187.4
Rhinebeck Village Historic District,675825.0
Rice County Courthouse and Jail,20234.3
Riley Lucas Bartholomew House,4046.86
"Robert Frost Farm (Derry, New Hampshire)",52609.1
Rondout–West Strand Historic District,230671.0
Roudebush Farm,36421.7
Salmon P. Chase Birthplace,16187.4
Samuel Huntington Birthplace,129499.0
San Jacinto Battleground State Historic Site,4.85623e+06
Sawyer Farmhouse,7689.03
Scarlet Oaks,4046.86
"Sears, Roebuck and Company Complex",64749.7
Senator Stephen Benton Elkins House,3237.49
Seven Islands Methodist Church,3237.49
Shield's Crossing,10926.5
Sinnissippi Mounds,24281.1
Smith Clove Meeting House,8093.71
Smith Clove Meetinghouse,8093.71
Sorlie Memorial Bridge,4046.86
Spencer Township Hall,4046.86
St. Peter's Lick Run Historic District,121406.0
St. Peter the Apostle Church,2023.43
Stephen Tyng Mather Home,115335.0
Sugar Creek Covered Bridge,2023.43
Sycamore-13th Street Grouping,6070.28
Taylor-Zent House,4046.86
Taylors Falls Public Library,1011.71
The Farm House (Knapp–Wilson House),4046.86
Thomas Jansen House,156209.0
Thorstein Veblen Farmstead,40468.6
"Tower Hotel (Anderson, Indiana)",4046.86
"Trinity-St. Paul's Episcopal Church (New Rochelle, New York)",6474.97
Tuthilltown Gristmill,5665.6
New York Telephone Building,3642.17
Verizon Building,3642.17
Barclay-Vesey Building,3642.17
Verizon Building,3642.17
Edifício Verizon,3642.17
威訊大樓,3642.17
Village of Addyston Historic District,1.4164e+06
Walt Whitman Birthplace State Historic Site,5260.91
Warner Parks,1.07808e+07
Wilder-Swaim House,2023.43
Wilford Wood House,8093.71
Wilkin County Courthouse,4046.86
William Floyd House,2.47263e+06
William Henry Harrison Tomb State Memorial,56656.0
William Resor House,4046.86
William Stearns House,7689.03
Winton Place Methodist Episcopal Church,4046.86
Baker Ropp House,40468.6
"Brick Presbyterian Church Complex (Rochester, New York)",2832.8
"Cohn House (Folsom, California)",1214.06
Hopson-Swan Estate,31970.2
Hopson House,4046.86
James C. Purnell House,12545.3
Orrin and Roxanne Fairman Kinyon House,11331.2
R.C. Ropp House,2832.8
"Richmond School (Philadelphia, Pennsylvania)",8903.08
Seipsville Hotel,8093.71
"St. Nicholas Catholic Church (Passaic, New Jersey)",404.686
"Thomas Jefferson School (Philadelphia, Pennsylvania)",8093.71
Ambrose Parsons House,8093.71
August Olson House,1214.06
"Bridge No. 4 (La Crosse, Wisconsin)",2832.8
Brotherton Farm,31970.2
Charles and Fae Olson House,6070.28
Charlotte County Courthouse (Virginia),8093.71
Crocker-McMillin Mansion-Immaculate Conception Seminary,86198.0
David Tuthill Farmstead,3237.49
"Denver and Rio Grande Depot (Montrose, Colorado)",2023.43
Dirck Westbrook Stone House,20234.3
Draper-Steadman House,14568.7
Fidler's Mill,10117.1
"Forest Hills School (Franklin, Tennessee)",4046.86
Forshee-Van Orden House,24281.1
Hadden-Margolis House,4856.23
Hapgood House,5260.91
"Harrisville Historic District (Harrisville, West Virginia)",214483.0
Harry E. Donnell House,18210.9
Hinchman-Lippincott House,3237.49
"Home of Peace Cemetery (Helena, Montana)",20234.3
Isaac Roosevelt House,7689.03
James Lynch House,3642.17
Jantzen Knitting Mills Company Building,6474.97
Jesse and Ira Tuthill House,7689.03
John Gehman Farm,352077.0
Jonathan Pyne House,9307.77
Lake McDonald Lodge Coffee Shop,6879.66
Louis and Ellen Olson House,2306.71
Lozier House and Van Riper Mill,28328.0
Luman Andrews House,7284.34
Martin Schultz House,15378.1
Maxwell Chambers House,2023.43
Meek Mansion,40468.6
Merchant Tower,809.371
Mount Saint Joseph (West Virginia),178062.0
"New Era Building (Lancaster, Pennsylvania)",809.371
New Herrnhut Moravian Church,16187.4
New London Academy (Virginia),74866.8
"Peabody Institute (Danvers, Massachusetts)",17725.2
Phineas Chapman Lounsbury House,4046.86
Rad Slavin cis. 112 Z.C.B.J. Hall,15378.1
Rainsford Historic District,801278.0
Rieser-Shoemaker Farm,554419.0
Rieser Mill,4046.86
Roswell and Elizabeth Garst Farmstead Historic District,215697.0
Samuel Cunningham House,12140.6
"Saturday Club (Wayne, Pennsylvania)",809.371
School of Tropical Medicine (Puerto Rico),15782.7
Sloat House,4451.54
"Standard Drug Company (Meridian, Mississippi)",4451.54
Stephen Hogeboom House,4451.54
"Stewart Hall (Morgantown, West Virginia)",2023.43
Stockade Historic District,331842.0
Stone Tavern at Roney's Point,12140.6
Tefft-Steadman House,2428.11
Thomas Barron House,53823.2
Tunxis Hose Firehouse,1214.06
Tuthill-Lapham House,3642.17
Vardy Community School,28328.0
Vardy Community School,28328.0
Warenski-Duvall Commercial Building and Apartments,4046.86
Webbley,3237.49
William Minott House,1214.06
William Pepperrell House,4046.86
William and Annie MacMaster House,1214.06
Bonnie & Clyde Garage Apartment,4046.86
Browncroft Historic District,469435.0
"Federal Building, United States Post Office and Courthouse (Hilo, Hawaii)",4046.86
Imiola Church,4451.54
Kahikolu Church,10521.8
Kona Coffee Living History Farm,8093.71
Pequot Fort,12140.6
Pequot Fort,12140.6
Waiola Church,10279.0
Durham's Chapel School,6070.28
Levi F. Warren Jr. High School,15652.2
Wisconsin Heights Battlefield,283280.0
Astoria Elks Building,809.371
Boyd School,4046.86
Calpak Plant No. 11,24281.1
"First United Presbyterian Church (Athens, Tennessee)",1214.06
Greens Farms School,36421.7
Hackney Chapel AME Zion Church,5544.19
Holy Rosary Historic District,10926.5
Hurlbutt Street School,1214.06
James A. Redden Federal Courthouse,1625.8
Marsh Foundation School,1.21406e+06
Masonic Female College and Cokesbury Conference School,5.84285e+07
Music Hall Evangelical Lutheran Church,809.371
Newcastle Commercial District (Wyoming),34398.3
"Olivet United Methodist Church, Parsonage and School",14164.0
Oxford Female College,0.0
"St. Nicholas' Catholic Church (Zanesville, Ohio)",0.0
White House United Methodist Church,16187.4
Basilica of the National Shrine of the Little Flower,9712.46
Basilique du National Shrine of the Little Flower,9712.46
Chrysler Museum of Art,40063.9
Museo Chrysler,40063.9
Chrysler Museum of Art,40063.9
Chrysler Museum of Art,40063.9
クライスラー美術館,40063.9
"Spanish Town, Baton Rouge, Louisiana",199915.0
"St. Anne's Episcopal Church (Middletown, Delaware)",20234.3
"St. Peter's Cathedral (Scranton, Pennsylvania)",5260.91
Cathédrale Saint-Pierre de Scranton,5260.91
Wilton House Museum,8093.71
Allaire Village,1.33546e+06
Beverly National Cemetery,260618.0
"Cathedral of San Carlos Borromeo (Monterey, California)",2023.43
Catedral de San Carlos Borromeo,2023.43
Cattedrale di San Carlo Borromeo (Monterey),2023.43
Kathedraal van San Carlos Borromeo,2023.43
Catedral de San Carlos Borromeo,2023.43
Centenary College of Louisiana at Jackson,161874.0
Chippiannock Cemetery,311608.0
El Cortez (Las Vegas),4208.51
El Cortez,4208.51
Finn's Point National Cemetery,260618.0
Fort Chadbourne,91054.3
Fort Pike,38849.8
Fort Pike,38849.8
Harriton House,55846.6
Henry B. Plant Museum,18210.9
Henry B. Plant Museum,18210.9
Highland Park Village,40468.6
Highland Park Village,40468.6
Highland Park Village,40468.6
Huntsville Depot,11331.2
John Work House and Mill Site,93077.7
Keeler Tavern,8903.08
"Liberty Hall (Crawfordville, Georgia)",28328.0
Loring-Greenough House,7284.34
"Lundberg Bakery (Austin, Texas)",404.686
Martin Van Buren National Historic Site,505857.0
Oheka,93887.1
Castillo Oheka,93887.1
Oheka Castle,93887.1
"Old Stone Fort (Schoharie, New York)",1618.74
"Pendarvis, Wisconsin",18615.5
Peoria City Hall,3237.49
Peoria Marriott Pere Marquette,4046.86
Saint Paul's Church National Historic Site,24281.1
"Sequoyah Hills, Knoxville, Tennessee",72843.4
Soudan Underground Mine State Park,1.2181e+06
Soudan Underground Mine State Park,1.2181e+06
"St. Florian Church (Hamtramck, Michigan)",335889.0
Église Saint-Florian (Hamtramck),335889.0
Parafia św. Floriana w Hamtramck,335889.0
The Omni Homestead Resort,109265.0
ホームステッド (バージニア州ホットスプリングス),109265.0
Trenton Bath House,35207.7
Villa Louis,68796.6
Watervliet Arsenal,574654.0
Welkinweir,655591.0
Wiawaka Holiday House,241193.0
Wilson Building (Dallas),6070.28
Fortín de San Gerónimo,1618.74
Fortín de San Gerónimo,1618.74
"Annunciation School (Buffalo, New York)",2428.11
Église de la Sainte-Trinité de Buffalo,5260.91
Blessed Trinity Roman Catholic Church Buildings,5260.91
Buffalo Gas Light Company Works,12140.6
Buffalo Tennis and Squash Club,4046.86
Connecticut Street Armory,12140.6
County and City Hall,12140.6
Durham Memorial A.M.E. Zion Church,2832.8
"Engine House No. 28 (Buffalo, New York)",404.686
Frances Canyon Ruin,10117.1
Gerard Crane House,121406.0
Gerard Crane House,121406.0
Hellenic Orthodox Church of the Annunciation,5260.91
Howe-Waffle House and Carriage House,1214.06
James and Fanny How House,809.371
Laurel and Michigan Avenues Row,2023.43
Mansion Historic District,182109.0
Mansion Historic District,182109.0
Nashville Arcade,20234.3
Pierce Arrow Factory Complex,137593.0
Richmond Avenue Methodist-Episcopal Church,4046.86
Saturn Club,6879.66
Southwood Two-Teacher School,11331.2
"Victoria Avenue (Riverside, California)",358956.0
Aaron Barber Memorial Building,4451.54
Abner Woodworth House,97124.6
Abram Gaar House and Farm,32374.9
Adams-Ryan House,2023.43
Addison Village Hall,1214.06
Adsit Cobblestone Farmhouse,8093.71
Adsit House,1214.06
Ahu A Umi Heiau,20234.3
"Alden, Babcock and Calvert Apartments",404.686
Alfred Hocking House,2023.43
Alfred Village Historic District,222577.0
Aline Covered Bridge,404.686
Allenstown Meeting House,1618.74
Allis-Bushnell House,4046.86
