http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/maximumElevation
Monumento nacional Cuevas de Oregón,1670.3
Monument national des cavernes de l'Oregon,1670.3
Oregon Caves National Monument,1670.3
Peneda-Gerês National Park,1559.0
Nationalpark Peneda-Gerês,1559.0
Parque nacional de Peneda-Gerês,1559.0
Parco nazionale di Peneda-Gerês,1559.0
Parc national de Peneda-Gerês,1559.0
Park Narodowy Peneda-Gerês,1559.0
Nationaal park Peneda-Gerês,1559.0
Parque Nacional da Peneda-Gerês,1559.0
Пенеда-Жереш,1559.0
Petrified Forest National Park,1900.43
Petrified-Forest-Nationalpark,1900.43
Parque nacional del Bosque Petrificado,1900.43
Parc national de Petrified Forest,1900.43
Parco nazionale di Petrified Forest,1900.43
化石の森国立公園,1900.43
Petrified Forest National Park,1900.43
Park Narodowy Skamieniałego Lasu,1900.43
Parque Nacional da Floresta Petrificada,1900.43
Петрифайд-Форест (национальный парк),1900.43
石化林國家公園,1900.43
Pilot Mountain State Park,683.057
Pilot Mountain State Park,683.057
South Downs National Park,280.0
South-Downs-Nationalpark,280.0
Park Narodowy South Downs,280.0
南唐斯国家公园,280.0
Wayne National Forest,416.966
Bosque nacional Wayne,416.966
Forêt nationale de Wayne,416.966
Albany Pine Bush,109.728
Antelope Island,2010.0
Antelope Island (Utah),2010.0
Isla Antílope,2010.0
Antelope Island,2010.0
Antelope Island State Park,2010.46
Antelope Island State Park,2010.46
Parc d'État d'Antelope Island,2010.46
Park stanowy Antelope Island,2010.46
Beacon Rock State Park,729.082
Beacon Rock State Park,729.082
Blackdown Hills,315.0
Blackdown Hills,315.0
Blackdown Hills,315.0
Dolly Sods Wilderness,1256.69
George Washington and Jefferson National Forests,1746.2
Forêts nationales de George Washington et de Jefferson,1746.2
Goblin Valley State Park,1755.65
Goblin Valley State Park,1755.65
Parc d'État de Goblin Valley,1755.65
Гоблин-Вали,1755.65
Hudson Highlands State Park,490.728
John Day Fossil Beds National Monument,1371.6
John Day Fossil Beds National Monument,1371.6
John Day Fossil Beds National Monument,1371.6
Oak Mountain State Park,384.048
Vikos–Aoös National Park,2497.0
Parque nacional del Vikos-Aoos,2497.0
Parc national de Vikos-Aoos,2497.0
Park Narodowy Wikos-Wjosa,2497.0
Викос-Аоос,2497.0
Mount Tom State Park,392.887
Mount Tom State Park,392.887
Muotkatunturi Wilderness Area,590.0
Муоткатунтури,590.0
Parque natural do Alvão,1280.0
Nature Park of Alvão,1280.0
Parc naturel du Alvão,1280.0
Parque Natural do Alvão,1280.0
Fremont Indian State Park and Museum,1859.89
Snow Canyon State Park,1531.01
Snow Canyon State Park,1531.01
Parc d'État de Snow Canyon,1531.01
Cheaha State Park,733.654
Jockey's Ridge State Park,30.48
Parc d'État de Jockey's Ridge,30.48
Parc d'État de Mount Holyoke Range,303.886
Mount Holyoke Range State Park,303.886
Mount Spokane State Park,1793.14
Mount Sugarloaf State Reservation,241.097
Parque nacional natural Podilski Tovtry,486.0
"National Environmental Park ""Podilski Tovtry""",486.0
Nationaal Park Podilski Tovtry,486.0
Подольские Товтры (национальный парк),486.0
Pálava,550.0
Pálava,550.0
Pálava Protected Landscape Area,550.0
Obszar Chronionego Krajobrazu Palava,550.0
Appleby Fells,750.0
Balcones Canyonlands National Wildlife Refuge,750.0
F. Gilbert Hills State Forest,73.152
Fernow Experimental Forest,1112.52
Willard Brook State Forest,243.84
Wilson Mountain Reservation,85.0392
Wilson Mountain Reservation,85.0392
Regionaler Naturpark Ballons des Vosges,1424.0
Parc naturel régional des Ballons des Vosges,1424.0
Regionaal natuurpark Ballons des Vosges,1424.0
Ballons des Vosges Nature Park,1424.0
Big Draft Wilderness,951.281
Camden Hills State Park,416.052
Camden Hills State Park,416.052
Jasen (reserve),2500.0
Parque Natural da Terceira,298.0
Nature Park of Terceira,298.0
River Highlands State Park,45.72
River Highlands State Park,45.72
Selden Neck State Park,70.104
Selden Neck State Park,70.104
Stoddard Hill State Park,55.7784
Stoddard Hill State Park,55.7784
Telkkämäki Nature Reserve,195.0
Brecon Beacons,886.0
Brecon Beacons,886.0
Brecon Beacons,886.0
Brecon Beacons,886.0
Brecon Beacons,886.0
Lake District,978.103
ليك ديستريكت,978.103
Lake District,978.103
Distrito de los Lagos,978.103
Lake District,978.103
Lake District,978.103
湖水地方,978.103
Lake District,978.103
Lake District,978.103
Lake District,978.103
湖区,978.103
Озёрный край (Великобритания),978.103
Aliso and Wood Canyons Wilderness Park,315.773
Aliso and Wood Canyons Wilderness Park,315.773
Cranberry Wilderness,1388.67
Laurel Fork North Wilderness,1146.96
Laurel Fork South Wilderness,1214.02
Mountain Lake Wilderness,1219.2
Křivoklátsko,617.0
Křivoklátsko,617.0
Křivoklátsko Protected Landscape Area,617.0
Nationalpark Große Fatra,1592.0
Parque nacional de Veľká Fatra,1592.0
Veľká Fatra National Park,1592.0
Parc national Grande Fatra,1592.0
Nationaal Park Veľká Fatra,1592.0
Park Narodowy Wielka Fatra,1592.0
大法特拉山國家公園,1592.0
Maya-Biosphärenreservat,636.0
Reserva de la biosfera maya,636.0
Maya Biosphere Reserve,636.0
Réserve de biosphère Maya,636.0
Monongahela National Forest,1482.24
Forêt nationale de Monongahela,1482.24
Monongahela National Forest,1482.24
Brecon Beacons National Park,886.0
Brecon-Beacons-Nationalpark,886.0
ブレコンビーコンズ国立公園,886.0
Park Narodowy Brecon Beacons,886.0
Брекон-Биконс (национальный парк),886.0
布雷肯比肯斯國家公園,886.0
Forest of Bowland,561.0
Forest of Bowland,561.0
Forest of Bowland,561.0
North York Moors,454.152
North York Moors,454.152
North York Moors,454.152
Parc national des North York Moors,454.152
North York Moors,454.152
North York Moors,454.152
北約克沼澤國家公園,454.152
Reserva de la biosfera transfronteriza Trifinio-Fraternidad,2400.0
Trifinio biosphere reserve,2400.0
الحديقة الوطنية بجبل السرج,1357.0
Parc national de Jebel Serj,1357.0
Jebel Serj National Park,1357.0
Národní park Podyjí,536.0
Parque nacional Podyjí,536.0
Parco nazionale di Podyjí,536.0
Park Narodowy „Podyje”,536.0
Nationaal park Podyjí,536.0
Подийи,536.0
波迪伊國家公園,536.0
Podyjí National Park,536.0
Recreational Forest Reserve of Pinhal da Paz,317.0
Moon Lake State Forest Recreation Area,411.48
Great Bear Wilderness,2653.0
Otter Creek Wilderness,1192.38
Pawling Nature Reserve,320.954
Parque natural de la Arrábida,499.0
Parc naturel de l'Arrábida,499.0
Parque Natural da Arrábida,499.0
Nature Park of Arrábida,499.0
Almindingen,161.849
Almindingen,161.849
Almindingen,161.849
Český les Protected Landscape Area,1042.0
Antelope Island bison herd,2010.0
Бумделинг (заказник),6000.0
Bumdeling Wildlife Sanctuary,6000.0
Torsa Nge Czen Rangdżung Sungkjop,4800.0
Торса (заповедник),4800.0
Jigme Khesar Strict Nature Reserve,4800.0
Jigme-Singye-Wangchuck-Nationalpark,4925.0
Parque nacional de Jigme Singye Wangchuck,4925.0
Park Narodowy Dżigme Senge Wangczʽuk,4925.0
Национальный парк Джигме Сингье Вангчука,4925.0
Jigme Singye Wangchuck National Park,4925.0
Кхалинг (заповедник),2200.0
Jomotsangkha Wildlife Sanctuary,2200.0
Nature Park of Faial,1043.0
Phipsoo-Reservat,1600.0
Pʽipso Semczen Sungkjop Kʽorju,1600.0
Пхибсу (заказник),1600.0
Phibsoo Wildlife Sanctuary,1600.0
Parque nacional de Thrumshingla,4400.0
Park Narodowy Tʽrumsingla,4400.0
Национальный парк Тхрумшинг,4400.0
Phrumsengla National Park,4400.0
Parque Centenario de Wangchuck,5100.0
Парк столетия династии Вангчук,5100.0
Wangchuck Centennial National Park,5100.0
Jardim Duque da Terceira,67.0
Duke of Terceira Garden,67.0
Roc de Chère National Nature Reserve,651.0
Beskydy Protected Landscape Area,1323.0
Obszar Chronionego Krajobrazu Beskidy,1323.0
Lehigh Gorge State Park,461.467
McCroskey State Park,1317.96
Nationalpark Poloniny,1208.0
Parque nacional de Poloniny,1208.0
Poloniny National Park,1208.0
Parco nazionale Poloniny,1208.0
Parc national des Poloniny,1208.0
Park Narodowy Połoniny,1208.0
Nationaal Park Poloniny,1208.0
Полонины,1208.0
波洛內尼山國家公園,1208.0
Sculptured Rocks Natural Area,408.432
White Memorial Foundation,341.376
Réserve naturelle nationale du delta de la Dranse,380.0
Delta de la Dranse National Nature Reserve,380.0
Yorkshire Dales National Park,736.0
Yorkshire Dales National Park,736.0
Йоркшир-Дейлс,736.0
Häädetkeidas Strict Nature Reserve,160.0
Karkali Strict Nature Reserve,80.0
Kevo Strict Nature Reserve,640.0
Koivusuo Strict Nature Reserve,215.0
Maltio Strict Nature Reserve,478.0
Olvassuo Strict Nature Reserve,209.0
Paljakka Strict Nature Reserve,380.0
Pisavaara Strict Nature Reserve,260.0
Runkaus Strict Nature Reserve,155.0
Salamanperä Strict Nature Reserve,205.0
Sinivuori Strict Nature Reserve,198.0
Sompio Strict Nature Reserve,540.0
Sukerijärvi Strict Nature Reserve,260.0
Vaskijärvi Strict Nature Reserve,68.0
Vesijako Strict Nature Reserve,165.0
Värriö Strict Nature Reserve,615.0
