http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaLand
"Galloway, West Virginia",1.62392e+06
"Municipio de Grasshopper (condado de Atchison, Kansas)",1.702e+08
"Grasshopper Township, Atchison County, Kansas",1.702e+08
格拉斯霍珀鎮區 (堪薩斯州艾奇遜縣),1.702e+08
"Hampshire, Tennessee",1.8557e+08
Juda (Wisconsin),691527.0
"Juda, Wisconsin",691527.0
"Municipio de Leyden (condado de Cook, Illinois)",5.139e+07
"Leyden Township, Cook County, Illinois",5.139e+07
Lily Lake (Wisconsin),1.35974e+06
"Lily Lake, Wisconsin",1.35974e+06
"Lime Lake, New York",6.2e+06
مونت فالين (كيبك),3.50805e+10
Mont-Valin,3.50805e+10
"Mont-Valin, Quebec",3.50805e+10
Paroisse de North Lake,4.4066e+08
"North Lake Parish, New Brunswick",4.4066e+08
Saint-Cyprien (Rivière-du-Loup),1.3813e+08
"Saint-Cyprien, Bas-Saint-Laurent, Quebec",1.3813e+08
Saint-Cyprien (Les Etchemins),9.362e+07
Saint-Cyprien (Quebec),9.362e+07
"Saint-Cyprien, Chaudière-Appalaches, Quebec",9.362e+07
Saint-Cyprien-de-Napierville,9.71e+07
Saint-Cyprien-de-Napierville,9.71e+07
"Saint-Cyprien-de-Napierville, Quebec",9.71e+07
Swan Lake (Montana),1.96969e+07
"Swan Lake, Montana",1.96969e+07
"Taconic Shores, New York",2.2e+06
Unorganized South East Cochrane District,5.319e+07
Unorganized South West Cochrane District,5.5371e+08
"Wakulla, North Carolina",2.22e+06
"Wakulla, North Carolina",2.22739e+06
Zamboanga City,1.4147e+09
مدينة زامبوانجا,1.4147e+09
Zamboanga City,1.4147e+09
Zamboanga,1.4147e+09
Zamboanga,1.4147e+09
Zamboanga,1.4147e+09
サンボアンガ,1.4147e+09
Zamboanga City,1.4147e+09
Zamboanga,1.4147e+09
Zamboanga,1.4147e+09
Замбоанга,1.4147e+09
三宝颜,1.4147e+09
Andover Township (Ohio),5.75e+07
Municipio de Andover (Ohio),5.75e+07
"Andover Township, Ashtabula County, Ohio",5.75e+07
Municipio de Andover (Illinois),9.47418e+07
"Andover Township, Henry County, Illinois",9.47418e+07
Avilla (Arkansas),1.51618e+07
"Avilla, Arkansas",1.51618e+07
"Municipio de Avilla (condado de Comanche, Kansas)",3.08701e+08
"Avilla Township, Comanche County, Kansas",3.08701e+08
阿維拉鎮區 (堪薩斯州科曼奇縣),3.08701e+08
"Municipio de Avilla (condado de Comanche, Kansas)",3.0871e+08
"Avilla Township, Comanche County, Kansas",3.0871e+08
阿維拉鎮區 (堪薩斯州科曼奇縣),3.0871e+08
"Municipio de Avon (condado de Coffey, Kansas)",8.012e+07
"Avon Township, Coffey County, Kansas",8.012e+07
埃文鎮區 (堪薩斯州科菲縣),8.012e+07
"Municipio de Avon (condado de Coffey, Kansas)",8.01342e+07
"Avon Township, Coffey County, Kansas",8.01342e+07
埃文鎮區 (堪薩斯州科菲縣),8.01342e+07
"Municipio de Avon (condado de Lake, Illinois)",5.82e+07
"Avon Township, Lake County, Illinois",5.82e+07
Bartow (Virginia Occidental),1.20175e+06
"Bartow, West Virginia",1.20175e+06
Boquerón (Chiriquí),3.99e+07
Boquerón (Panama),3.99e+07
Boquerón (Panama),3.99e+07
"Boquerón, Chiriquí",3.99e+07
博克龙 (奇里基省),3.99e+07
"Municipio de Braceville (condado de Grundy, Illinois)",4.6309e+07
"Braceville Township, Grundy County, Illinois",4.6309e+07
Caballero (Coclé),4.15e+07
Caballero (Panama),4.15e+07
"Caballero, Coclé",4.15e+07
Caballo (Nuevo México),2.5356e+06
"Caballo, New Mexico",2.5356e+06
Campana (Panamá),7.51e+07
"Campana, Panama",7.51e+07
Carpenter (Wyoming),600000.0
"Carpenter, Wyoming",600000.0
"Municipio de Carpenter (condado de Jasper, Indiana)",1.3543e+08
"Carpenter Township, Jasper County, Indiana",1.3543e+08
"Municipio de Cedar (condado de Antelope, Nebraska)",9.202e+07
"Cedar Township, Antelope County, Nebraska",9.202e+07
"Municipio de Cedar (condado de Benton, Iowa)",1.1079e+08
"Cedar Township, Benton County, Iowa",1.1079e+08
Gmina Cedar (hrabstwo Benton),1.1079e+08
"Municipio de Cedar (condado de Benton, Iowa)",1.108e+08
"Cedar Township, Benton County, Iowa",1.108e+08
Gmina Cedar (hrabstwo Benton),1.108e+08
"Municipio de Cedar (condado de Black Hawk, Iowa)",7.07844e+07
シダー郡区 (アイオワ州ブラックホーク郡),7.07844e+07
"Cedar Township, Black Hawk County, Iowa",7.07844e+07
Gmina Cedar (hrabstwo Black Hawk),7.07844e+07
"Municipio de Cedar (condado de Black Hawk, Iowa)",7.08e+07
シダー郡区 (アイオワ州ブラックホーク郡),7.08e+07
"Cedar Township, Black Hawk County, Iowa",7.08e+07
Gmina Cedar (hrabstwo Black Hawk),7.08e+07
"Municipio de Cedar (condado de Boone, Misuri)",4.98832e+08
"Cedar Township, Boone County, Missouri",4.98832e+08
"Municipio de Cedar (condado de Buffalo, Nebraska)",9.264e+07
"Cedar Township, Buffalo County, Nebraska",9.264e+07
"Municipio de Cedar (condado de Buffalo, Nebraska)",9.26439e+07
"Cedar Township, Buffalo County, Nebraska",9.26439e+07
"Municipio de Cedar (condado de Calhoun, Iowa)",9.37058e+07
シダー郡区 (アイオワ州カルホーン郡),9.37058e+07
"Cedar Township, Calhoun County, Iowa",9.37058e+07
Gmina Cedar (hrabstwo Calhoun),9.37058e+07
"Municipio de Cedar (condado de Calhoun, Iowa)",9.372e+07
シダー郡区 (アイオワ州カルホーン郡),9.372e+07
"Cedar Township, Calhoun County, Iowa",9.372e+07
Gmina Cedar (hrabstwo Calhoun),9.372e+07
"Municipio de Cedar (condado de Callaway, Misuri)",1.21781e+08
"Cedar Township, Callaway County, Missouri",1.21781e+08
"Municipio de Cedar (condado de Callaway, Misuri)",1.2179e+08
"Cedar Township, Callaway County, Missouri",1.2179e+08
"Municipio de Cedar (condado de Carroll, Arkansas)",9.25506e+07
"Cedar Township, Carroll County, Arkansas",9.25506e+07
"Municipio de Cedar (condado de Chase, Kansas)",1.42035e+08
"Cedar Township, Chase County, Kansas",1.42035e+08
錫達鎮區 (堪薩斯州蔡斯縣),1.42035e+08
"Municipio de Cedar (condado de Chase, Kansas)",1.4204e+08
"Cedar Township, Chase County, Kansas",1.4204e+08
錫達鎮區 (堪薩斯州蔡斯縣),1.4204e+08
"Municipio de Cedar (condado de Cherokee, Iowa)",9.386e+07
"Cedar Township, Cherokee County, Iowa",9.386e+07
Gmina Cedar (hrabstwo Cherokee),9.386e+07
"Municipio de Cedar (condado de Cherokee, Iowa)",9.38612e+07
"Cedar Township, Cherokee County, Iowa",9.38612e+07
Gmina Cedar (hrabstwo Cherokee),9.38612e+07
"Municipio de Cedar (condado de Cowley, Kansas)",1.19139e+08
"Cedar Township, Cowley County, Kansas",1.19139e+08
錫達鎮區 (堪薩斯州考利縣),1.19139e+08
"Municipio de Cedar (condado de Cowley, Kansas)",1.1915e+08
"Cedar Township, Cowley County, Kansas",1.1915e+08
錫達鎮區 (堪薩斯州考利縣),1.1915e+08
"Municipio de Cedar (condado de Floyd, Iowa)",8.254e+07
Gmina Cedar (hrabstwo Floyd),8.254e+07
"Cedar Township, Floyd County, Iowa",8.254e+07
"Municipio de Cedar (condado de Floyd, Iowa)",8.25429e+07
Gmina Cedar (hrabstwo Floyd),8.25429e+07
"Cedar Township, Floyd County, Iowa",8.25429e+07
"Municipio de Cedar (condado de Jackson, Kansas)",1.0341e+08
"Cedar Township, Jackson County, Kansas",1.0341e+08
"Municipio de Cedar (condado de Jackson, Kansas)",1.03418e+08
"Cedar Township, Jackson County, Kansas",1.03418e+08
"Municipio de Cedar (condado de Knox, Illinois)",9.32396e+07
"Cedar Township, Knox County, Illinois",9.32396e+07
"Municipio de Cedar (condado de Nance, Nebraska)",1.06164e+08
"Cedar Township, Nance County, Nebraska",1.06164e+08
"Municipio de Cedar (condado de Nance, Nebraska)",1.0617e+08
"Cedar Township, Nance County, Nebraska",1.0617e+08
"Chautauqua (CDP), New York",1.1e+06
"Municipio de Comanche (condado de Barton, Kansas)",1.66847e+08
"Comanche Township, Barton County, Kansas",1.66847e+08
科曼奇鎮區 (巴頓縣),1.66847e+08
"Municipio de Comanche (condado de Barton, Kansas)",1.6685e+08
"Comanche Township, Barton County, Kansas",1.6685e+08
科曼奇鎮區 (巴頓縣),1.6685e+08
Comfort (Virginia Occidental),2.60035e+06
"Comfort, West Virginia",2.60035e+06
Cristóbal (Panamá),4.285e+08
Cristóbal (Panama),4.285e+08
"Cristóbal, Colón",4.285e+08
Cristóbal (Panama),4.285e+08
克里斯托弗 (科隆省),4.285e+08
"Municipio de Curran (condado de Sangamon, Illinois)",7.25456e+07
"Curran Township, Sangamon County, Illinois",7.25456e+07
De Smet (Idaho),2.47862e+06
De Smet (Idaho),2.47862e+06
"De Smet, Idaho",2.47862e+06
Deer Island (Oregón),1.3e+06
"Deer Island, Oregon",1.3e+06
دلتا (ألاباما),2.01682e+07
Delta (Alabama),2.01682e+07
Delta (Alabama),2.01682e+07
"Delta, Alabama",2.01682e+07
"Municipio de Dodds (condado de Jefferson, Illinois)",9.52339e+07
"Dodds Township, Jefferson County, Illinois",9.52339e+07
"Municipio de East Union (condado de Wayne, Ohio)",9.22e+07
"East Union Township, Wayne County, Ohio",9.22e+07
"Municipio de East Union (condado de Wayne, Ohio)",9.22036e+07
"East Union Township, Wayne County, Ohio",9.22036e+07
"Municipio de Eel (condado de Cass, Indiana)",2.41905e+07
"Eel Township, Cass County, Indiana",2.41905e+07
"Municipio de Eel (condado de Cass, Indiana)",2.42e+07
"Eel Township, Cass County, Indiana",2.42e+07
"Municipio de Ela (condado de Lake, Illinois)",8.91e+07
"Ela Township, Lake County, Illinois",8.91e+07
"Faraday, Ontario",2.1797e+08
Faraday (Ontario),2.1797e+08
Fort Thomas (Arizona),2.24552e+07
"Fort Thomas, Arizona",2.24552e+07
Fowlerville (Nueva York),2.33358e+06
"Fowlerville, Livingston County, New York",2.33358e+06
"Municipio de Garden Plain (condado de Sedgwick, Kansas)",9.22554e+07
"Garden Plain Township, Sedgwick County, Kansas",9.22554e+07
Garden Plain Township (Illinois),7.95126e+07
"Municipio de Garden Plain (condado de Whiteside, Illinois)",7.95126e+07
"Garden Plain Township, Whiteside County, Illinois",7.95126e+07
"Gauthier, Ontario",8.859e+07
Gauthier (Ontario),8.859e+07
"Municipio de Genoa (condado de DeKalb, Illinois)",9.33432e+07
"Genoa Township, DeKalb County, Illinois",9.33432e+07
"Municipio de Genoa (condado de Nance, Nebraska)",8.347e+07
"Genoa Township, Nance County, Nebraska",8.347e+07
"Municipio de Genoa (condado de Nance, Nebraska)",8.34753e+07
"Genoa Township, Nance County, Nebraska",8.34753e+07
George Mason (Virginia),6.52e+06
"George Mason, Virginia",6.52e+06
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",9.426e+07
"Grand Meadow Township, Cherokee County, Iowa",9.426e+07
Gmina Grand Meadow (hrabstwo Cherokee),9.426e+07
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",9.42756e+07
"Grand Meadow Township, Cherokee County, Iowa",9.42756e+07
Gmina Grand Meadow (hrabstwo Cherokee),9.42756e+07
"Municipio de Grand Meadow (condado de Clayton, Iowa)",9.357e+07
Gmina Grand Meadow (hrabstwo Clayton),9.357e+07
"Grand Meadow Township, Clayton County, Iowa",9.357e+07
大梅多鎮區 (克萊頓縣),9.357e+07
"Municipio de Grand Meadow (condado de Clayton, Iowa)",9.35763e+07
Gmina Grand Meadow (hrabstwo Clayton),9.35763e+07
"Grand Meadow Township, Clayton County, Iowa",9.35763e+07
大梅多鎮區 (克萊頓縣),9.35763e+07
Paroisse d'Harcourt,1.17005e+09
"Harcourt Parish, New Brunswick",1.17005e+09
Hilldale,2.2e+06
"Hilldale, Pennsylvania",2.2e+06
Juan Díaz (Coclé),8.56e+07
Juan Díaz (Panama),8.56e+07
"Juan Díaz, Coclé",8.56e+07
Juan Díaz (Panamá),3.4e+07
Juan Díaz,3.4e+07
"Juan Díaz, Panama City",3.4e+07
لاك دو كيرف (كيبك),7.314e+07
Lac-du-Cerf,7.314e+07
"Lac-du-Cerf, Quebec",7.314e+07
"Municipio de Lansing (condado de Allamakee, Iowa)",1.1809e+08
ランシング郡区 (アイオワ州アラマキー郡),1.1809e+08
"Lansing Township, Allamakee County, Iowa",1.1809e+08
Gmina Lansing (Iowa),1.1809e+08
蘭辛鎮區 (阿勒馬基縣),1.1809e+08
"Municipio de Lansing (condado de Allamakee, Iowa)",1.18103e+08
ランシング郡区 (アイオワ州アラマキー郡),1.18103e+08
"Lansing Township, Allamakee County, Iowa",1.18103e+08
Gmina Lansing (Iowa),1.18103e+08
蘭辛鎮區 (阿勒馬基縣),1.18103e+08
"Leira, Oppland",8.5e+08
Leira,8.5e+08
لوروا,3.08468e+07
Leroy (Alabama),3.08468e+07
"Leroy, Alabama",3.08468e+07
Machin (Ontario),2.8984e+08
"Machin, Ontario",2.8984e+08
Machin (Ontario),2.8984e+08
Malo (Washington),310799.0
"Malo, Washington",310799.0
Martell (California),6.05021e+06
"Martell, California",6.05021e+06
Martell (California),6.051e+06
"Martell, California",6.051e+06
Menominee Township (Illinois),7.25197e+07
"Municipio de Menominee (condado de Jo Daviess, Illinois)",7.25197e+07
"Menominee Township, Jo Daviess County, Illinois",7.25197e+07
"Municipio de Milburn (condado de Custer, Nebraska)",1.174e+08
"Milburn Township, Custer County, Nebraska",1.174e+08
"Municipio de Milburn (condado de Custer, Nebraska)",1.17404e+08
"Milburn Township, Custer County, Nebraska",1.17404e+08
Municipio de Millcreek (Indiana),1.10618e+08
"Millcreek Township, Fountain County, Indiana",1.10618e+08
"Municipio de Mineral (condado de Barry, Misuri)",1.5692e+08
"Mineral Township, Barry County, Missouri",1.5692e+08
"Municipio de Mineral (condado de Barry, Misuri)",1.56927e+08
"Mineral Township, Barry County, Missouri",1.56927e+08
"Municipio de Mineral (condado de Bureau, Illinois)",9.3136e+07
"Mineral Township, Bureau County, Illinois",9.3136e+07
"Municipio de Mineral (condado de Cherokee, Kansas)",7.92536e+07
"Mineral Township, Cherokee County, Kansas",7.92536e+07
米納勒爾鎮區 (堪薩斯州切羅基縣),7.92536e+07
"Municipio de Mineral (condado de Cherokee, Kansas)",7.926e+07
"Mineral Township, Cherokee County, Kansas",7.926e+07
米納勒爾鎮區 (堪薩斯州切羅基縣),7.926e+07
"Mount Winans, Baltimore",295259.0
"Municipio de Nevada (condado de Livingston, Illinois)",9.46123e+07
"Nevada Township, Livingston County, Illinois",9.46123e+07
"Municipio de Nevins (condado de Vigo, Indiana)",7.915e+07
"Nevins Township, Vigo County, Indiana",7.915e+07
Newcastle Township (Ohio),6.686e+07
"Municipio de Newcastle (condado de Coshocton, Ohio)",6.686e+07
"Newcastle Township, Coshocton County, Ohio",6.686e+07
"Municipio de Newcastle (condado de Dixon, Nebraska)",9.828e+07
"Newcastle Township, Dixon County, Nebraska",9.828e+07
"Municipio de Newcastle (condado de Dixon, Nebraska)",9.829e+07
"Newcastle Township, Dixon County, Nebraska",9.829e+07
"Nord, California",5.45192e+06
"Nord, California",5.453e+06
نورت دام دي ستانبريدج (كيبك),4.394e+07
Notre-Dame-de-Stanbridge,4.394e+07
Notre-Dame-de-Stanbridge,4.394e+07
"Notre-Dame-de-Stanbridge, Quebec",4.394e+07
Oden (Míchigan),1.6e+06
"Oden, Michigan",1.6e+06
"Municipio de Palacky (condado de Ellsworth, Kansas)",9.427e+07
"Palacky Township, Ellsworth County, Kansas",9.427e+07
"Municipio de Palacky (condado de Ellsworth, Kansas)",9.42756e+07
"Palacky Township, Ellsworth County, Kansas",9.42756e+07
Paradise (California),1.12716e+07
"Paradise, Mono County, California",1.12716e+07
Paradise (California),1.1272e+07
"Paradise, Mono County, California",1.1272e+07
Parks (Nebraska),460000.0
"Parks, Nebraska",460000.0
"Penn State Erie (Behrend), Pennsylvania",2e+06
"Pepperell, Massachusetts",5.84e+07
بيبريل (ماساتشوستس),5.84e+07
Pepperell (Massachusetts),5.84e+07
Pepperell,5.84e+07
Pepperell (Massachusetts),5.84e+07
"Pepperell, Massachusetts",5.85337e+07
بيبريل (ماساتشوستس),5.85337e+07
Pepperell (Massachusetts),5.85337e+07
Pepperell,5.85337e+07
Pepperell (Massachusetts),5.85337e+07
"Pepperell (condado de Middlesex, Massachusetts)",5.17998e+06
"Pepperell (CDP), Massachusetts",5.17998e+06
"Pepperell (condado de Middlesex, Massachusetts)",5.2e+06
"Pepperell (CDP), Massachusetts",5.2e+06
"Municipio de Platte (condado de Andrew, Misuri)",1.4668e+08
"Platte Township (Contea di Andrew, Missouri)",1.4668e+08
"Platte Township, Andrew County, Missouri",1.4668e+08
"Municipio de Platte (condado de Buchanan, Misuri)",7.966e+07
"Platte Township, Buchanan County, Missouri",7.966e+07
"Municipio de Platte (condado de Buchanan, Misuri)",7.9668e+07
"Platte Township, Buchanan County, Missouri",7.9668e+07
"Municipio de Platte (condado de Buffalo, Nebraska)",6.02172e+07
"Platte Township, Buffalo County, Nebraska",6.02172e+07
"Municipio de Platte (condado de Buffalo, Nebraska)",6.023e+07
"Platte Township, Buffalo County, Nebraska",6.023e+07
"Municipio de Platte (condado de Butler, Nebraska)",4.45996e+07
"Platte Township, Butler County, Nebraska",4.45996e+07
"Municipio de Platte (condado de Butler, Nebraska)",4.461e+07
"Platte Township, Butler County, Nebraska",4.461e+07
"Municipio de Platte (condado de Dodge, Nebraska)",8.75934e+07
"Platte Township, Dodge County, Nebraska",8.75934e+07
"Municipio de Platte (condado de Dodge, Nebraska)",8.76e+07
"Platte Township, Dodge County, Nebraska",8.76e+07
"Municipio de Pleasant (condado de Allen, Indiana)",9.09345e+07
"Pleasant Township, Allen County, Indiana",9.09345e+07
"Municipio de Pleasant (condado de Allen, Indiana)",9.094e+07
"Pleasant Township, Allen County, Indiana",9.094e+07
"Municipio de Pleasant (condado de Appanoose, Iowa)",1.0135e+08
プレザント郡区 (アイオワ州アパヌース郡),1.0135e+08
"Pleasant Township, Appanoose County, Iowa",1.0135e+08
Gmina Pleasant (hrabstwo Appanoose),1.0135e+08
"Pleasant Township (Brown County, Ohio)",9.28e+07
"Municipio de Pleasant (condado de Brown, Ohio)",9.28e+07
"Pleasant Township, Brown County, Ohio",9.28e+07
"Municipio de Pleasant (condado de Butler, Kansas)",9.339e+07
"Pleasant Township, Butler County, Kansas",9.339e+07
普萊森特鎮區 (巴特勒縣),9.339e+07
"Municipio de Pleasant (condado de Butler, Kansas)",9.3395e+07
"Pleasant Township, Butler County, Kansas",9.3395e+07
普萊森特鎮區 (巴特勒縣),9.3395e+07
"Municipio de Pleasant (condado de Cass, Iowa)",9.12453e+07
プレザント郡区 (アイオワ州カス郡),9.12453e+07
"Pleasant Township, Cass County, Iowa",9.12453e+07
"Gmina Pleasant (hrabstwo Cass, Iowa)",9.12453e+07
"Municipio de Pleasant (condado de Cass, Iowa)",9.125e+07
プレザント郡区 (アイオワ州カス郡),9.125e+07
"Pleasant Township, Cass County, Iowa",9.125e+07
"Gmina Pleasant (hrabstwo Cass, Iowa)",9.125e+07
"Pleasant Township (Clark County, Ohio)",1.092e+08
"Municipio de Pleasant (condado de Clark, Ohio)",1.092e+08
"Pleasant Township, Clark County, Ohio",1.092e+08
"Municipio de Pleasant (condado de Coffey, Kansas)",1.58093e+08
"Pleasant Township, Coffey County, Kansas",1.58093e+08
普萊森特鎮區 (堪薩斯州科菲縣),1.58093e+08
"Municipio de Pleasant (condado de Coffey, Kansas)",1.581e+08
"Pleasant Township, Coffey County, Kansas",1.581e+08
普萊森特鎮區 (堪薩斯州科菲縣),1.581e+08
"Municipio de Pleasant (condado de Fairfield, Ohio)",8.97e+07
"Pleasant Township, Fairfield County, Ohio",8.97e+07
"Municipio de Pleasant (condado de Franklin, Ohio)",1.113e+08
"Pleasant Township, Franklin County, Ohio",1.113e+08
Municipio de Pleasant (Illinois),9.63217e+07
"Pleasant Township, Fulton County, Illinois",9.63217e+07
"Municipio de Pleasant (condado de Grant, Indiana)",9.02093e+07
"Pleasant Township, Grant County, Indiana",9.02093e+07
"Municipio de Pleasant (condado de Harvey, Kansas)",9.341e+07
"Pleasant Township, Harvey County, Kansas",9.341e+07
"Municipio de Pleasant (condado de Harvey, Kansas)",9.34209e+07
"Pleasant Township, Harvey County, Kansas",9.34209e+07
"Municipio de Pleasant (condado de Johnson, Indiana)",9.13489e+07
"Pleasant Township, Johnson County, Indiana",9.13489e+07
"Municipio de Pleasant (condado de Knox, Ohio)",4.7e+07
"Pleasant Township, Knox County, Ohio",4.7e+07
"Municipio de Pleasant (condado de Knox, Ohio)",4.71378e+07
"Pleasant Township, Knox County, Ohio",4.71378e+07
"Municipio de Pleasant (condado de LaPorte, Indiana)",6.39468e+07
"Pleasant Township, LaPorte County, Indiana",6.39468e+07
"Municipio de Pleasant (condado de Madison, Ohio)",8.1e+07
"Pleasant Township, Madison County, Ohio",8.1e+07
"Municipio de Pleasant (condado de Madison, Ohio)",8.10666e+07
"Pleasant Township, Madison County, Ohio",8.10666e+07
"Municipio de Pleasant (condado de Perry, Ohio)",4.09218e+07
"Pleasant Township, Perry County, Ohio",4.09218e+07
"Municipio de Pleasant (condado de Perry, Ohio)",4.1e+07
"Pleasant Township, Perry County, Ohio",4.1e+07
"Municipio de Pleasant (condado de Porter, Indiana)",1.46826e+08
"Pleasant Township, Porter County, Indiana",1.46826e+08
"Municipio de Pleasant (condado de Porter, Indiana)",1.4683e+08
"Pleasant Township, Porter County, Indiana",1.4683e+08
"Municipio de Pleasant (condado de Steuben, Indiana)",8.30868e+07
"Pleasant Township, Steuben County, Indiana",8.30868e+07
"Municipio de Pleasant (condado de Switzerland, Indiana)",1.1787e+08
"Pleasant Township, Switzerland County, Indiana",1.1787e+08
"Municipio de Pleasant (condado de Wabash, Indiana)",1.4061e+08
"Pleasant Township, Wabash County, Indiana",1.4061e+08
"Municipio de Pleasant Valley (condado de Carroll, Iowa)",8.9769e+07
プレザントバレー郡区 (アイオワ州キャロル郡),8.9769e+07
"Pleasant Valley Township, Carroll County, Iowa",8.9769e+07
Gmina Pleasant Valley (hrabstwo Carroll),8.9769e+07
"Municipio de Pleasant Valley (condado de Carroll, Iowa)",8.977e+07
プレザントバレー郡区 (アイオワ州キャロル郡),8.977e+07
"Pleasant Valley Township, Carroll County, Iowa",8.977e+07
Gmina Pleasant Valley (hrabstwo Carroll),8.977e+07
"Municipio de Pleasant Valley (condado de Cerro Gordo, Iowa)",9.30842e+07
プレザントバレー郡区 (アイオワ州セロゴード郡),9.30842e+07
"Pleasant Valley Township, Cerro Gordo County, Iowa",9.30842e+07
Gmina Pleasant Valley (hrabstwo Cerro Gordo),9.30842e+07
"Municipio de Pleasant Valley (condado de Cerro Gordo, Iowa)",9.309e+07
プレザントバレー郡区 (アイオワ州セロゴード郡),9.309e+07
"Pleasant Valley Township, Cerro Gordo County, Iowa",9.309e+07
Gmina Pleasant Valley (hrabstwo Cerro Gordo),9.309e+07
"Municipio de Pleasant Valley (condado de Cowley, Kansas)",1.1735e+08
"Pleasant Valley Township, Cowley County, Kansas",1.1735e+08
普萊森特瓦利鎮區 (堪薩斯州考利縣),1.1735e+08
"Municipio de Pleasant Valley (condado de Cowley, Kansas)",1.17352e+08
"Pleasant Valley Township, Cowley County, Kansas",1.17352e+08
普萊森特瓦利鎮區 (堪薩斯州考利縣),1.17352e+08
"Municipio de Pleasant Valley (condado de Decatur, Kansas)",9.26439e+07
"Pleasant Valley Township, Decatur County, Kansas",9.26439e+07
"Municipio de Pleasant Valley (condado de Decatur, Kansas)",9.265e+07
"Pleasant Valley Township, Decatur County, Kansas",9.265e+07
Municipio de Pleasant Valley (Nebraska),9.333e+07
"Pleasant Valley Township, Dodge County, Nebraska",9.333e+07
Municipio de Pleasant Valley (Nebraska),9.33432e+07
"Pleasant Valley Township, Dodge County, Nebraska",9.33432e+07
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",9.489e+07
Gmina Pleasant Valley (hrabstwo Fayette),9.489e+07
普萊森特瓦利鎮區 (費耶特縣),9.489e+07
"Pleasant Valley Township, Fayette County, Iowa",9.489e+07
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",9.48972e+07
Gmina Pleasant Valley (hrabstwo Fayette),9.48972e+07
普萊森特瓦利鎮區 (費耶特縣),9.48972e+07
"Pleasant Valley Township, Fayette County, Iowa",9.48972e+07
"Municipio de Pleasant Valley (condado de Finney, Kansas)",3.71042e+08
"Pleasant Valley Township, Finney County, Kansas",3.71042e+08
普萊森特瓦利鎮區 (芬尼縣),3.71042e+08
"Municipio de Pleasant Valley (condado de Finney, Kansas)",3.7105e+08
"Pleasant Valley Township, Finney County, Kansas",3.7105e+08
普萊森特瓦利鎮區 (芬尼縣),3.7105e+08
Pleasant Valley Township (Illinois),9.4949e+07
Municipio de Pleasant Valley (Illinois),9.4949e+07
"Pleasant Valley Township, Jo Daviess County, Illinois",9.4949e+07
Pomfret (Maryland),7.1e+06
"Pomfret, Maryland",7.1e+06
Poole (Nebraska),7e+06
"Poole, Nebraska",7e+06
Potrerillos (Panama),5.54e+07
波特雷里约斯 (奇里基省),5.54e+07
"Potrerillos, Chiriquí",5.54e+07
"Municipio de Rosefield (condado de Peoria, Illinois)",9.42238e+07
