http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/length
Kavaratti,5000.0
Каваратти,5000.0
Kavaratti,5000.0
卡瓦拉蒂,5000.0
Pontchartrain Expressway,10460.7
Lindbergh Boulevard,35405.6
Waterview Connection,2500.0
Gertrude L. Thebaud,41.0
Florida State Road 45,483684.0
Norwegian National Road 23,40200.0
Hainan,156000.0
هاينان,156000.0
Hainan,156000.0
Hainan,156000.0
Hainan,156000.0
Hainan,156000.0
海南省,156000.0
Hainan,156000.0
Hajnan,156000.0
Hainan,156000.0
Хайнань,156000.0
海南省,156000.0
Waikato Expressway,67300.0
Waikato Expressway,67300.0
Interstate 10 in Florida,582674.0
Kawartha Lakes Road 49,18000.0
"Hudson, New York",3218.69
هدسون (نيويورك),3218.69
Hudson (New York),3218.69
Hudson (Nueva York),3218.69
Hudson (New York),3218.69
Hudson (New York),3218.69
Hudson (New York),3218.69
Hudson (Nova Iorque),3218.69
Hudson (Nowy Jork),3218.69
Хадсон (Нью-Йорк),3218.69
哈德逊 (纽约州),3218.69
"Porters Lake, Nova Scotia",19000.0
EastLink (Melbourne),39000.0
EastLink,39000.0
Morava (Fluss),185000.0
Great Morava,185000.0
Gran Morava,185000.0
Morava (Serbie),185000.0
Grande Morava,185000.0
Morava (Servië),185000.0
Morawa (prawy dopływ Dunaju),185000.0
Морава (нижний приток Дуная),185000.0
大摩拉瓦河,185000.0
Covini C6W,4.18
Covini C6W,4.18
Covini C6W,4.18
Campus Corner,804.672
Butterley Tunnel,2819.1
Downtown Connector,11909.1
Lac-à-la-Tortue,3400.0
"Lac-à-la-Tortue, Quebec",3400.0
Florida State Road 811,37949.9
Florida State Road 78,115900.0
Florida State Road 990,4779.75
Saskatchewan Highway 1,651200.0
Saskatchewan Highway 1,651200.0
Autoroute 1 (Saskatchewan),651200.0
Saskatchewan Highway 1,651200.0
Bugsuk,17000.0
Bugsuk,17000.0
Bugsuk,17000.0
ブグスク島,17000.0
Virginia State Route 659 (Loudoun and Prince William Counties),25749.5
Rokeby Bypass,2000.0
Deserto Sevier,168981.0
Sevier Desert,168981.0
Deserto di Tonopah,48280.3
Tonopah Desert,48280.3
Rodovia Régis Bittencourt (SP-230),496000.0
Rodovia Régis Bittencourt,496000.0
Rodovia Régis Bittencourt,496000.0
Missouri Route 266,26130.9
Manitoba Highway 1,490000.0
Manitoba Highway 1,490000.0
Route 1 (Manitoba),490000.0
Jordan (Teheran),5500.0
Bulevar África,5500.0
Jordan (Téhéran),5500.0
Nelson Mandela Boulevard (Jordan Street) Tehran,5500.0
Bridge in Cumberland Township,78.0288
Grutas de García,3500.0
Grutas de García,3500.0
Acacia Highway,13000.0
Doran Expressway,4500.0
