http://dbpedia.org/ontology/SportFacility,http://dbpedia.org/ontology/maximumElevation
Breuil-Cervinia,3899.0
Bridger Bowl Ski Area,2651.76
Loveland Ski Area,3429.0
Loveland Ski Area,3965.45
Mad River Glen,1108.56
Ski Idlewild,2773.68
Blue Cow Mountain,1890.0
Blue Cow,1890.0
Bolton Valley,960.12
Boyne Mountain Resort,341.376
Soldier Hollow,1792.83
Soldier Hollow,1792.83
Soldier Hollow,1792.83
Soldier Hollow,1792.83
Soldier Hollow,1792.83
士兵山谷,1792.83
Stoneham Mountain Resort,593.0
Station touristique Stoneham,593.0
Station touristique Stoneham,593.0
Auron,2452.0
Auron,2452.0
Auron (ski resort),2452.0
Auron (stazione sciistica),2452.0
Auron,2452.0
Орон (горнолыжный курорт),2452.0
Snow Valley Mountain Resort,2389.94
Snow Valley Ski Club,665.0
Bristol Mountain Ski Resort,655.32
Dodge Ridge Ski Area,2499.36
Nätschen,2344.0
Nätschen,2344.0
Iizuna Kogen,1480.0
飯綱高原スキー場,1480.0
Iizuna Kogen Ski Area,1480.0
Rosa Chutor,2320.0
Centro de Esquí Roza Jútor,2320.0
Rosa Khutor,2320.0
Roza Chutor,2320.0
Ośrodek narciarski Roza Chutor,2320.0
Роза Хутор,2320.0
羅莎庫塔滑雪度假村,2320.0
Rosa Khutor Alpine Resort,2320.0
Valle Nevado,5430.0
Valle Nevado,5430.0
Valle Nevado,5430.0
Valle Nevado,5430.0
Valle Nevado,5430.0
Bear Creek Ski and Recreation Area,335.28
Beaver Mountain,2682.24
Breckenridge Ski Resort,3961.79
Brian Head Ski Resort,3328.42
Broken River Ski Area,1820.0
Cardrona Alpine Resort,1894.0
カードローナ・アルパイン・リゾート,1894.0
Cascade Mountain (ski area),387.096
Hidden Valley (New Jersey),437.388
Hidden Valley Highlands,389.0
Hidden Valley Resort (Pennsylvania),876.3
Monarch Ski Area,3645.41
Mount St. Louis Moonstone,382.0
Mount Washington Alpine Resort,1590.0
Revelstoke Mountain Resort,2225.0
Selwyn Snowfields,1614.0
Selwyn Snowfields,1614.0
Selwyn Snowfields,1614.0
Stratton Mountain Resort,1181.1
The Summit at Snoqualmie,1652.02
Willamette Pass Resort,2036.98
Willamette Pass,2036.98
Winter Park Resort,3675.89
Winter Park Resort,3675.89
Canyon Ski Area,899.0
Mount Bachelor ski area,2763.01
Mount Bachelor (station),2763.01
Păltiniș (Sibiu),1681.0
Păltiniș,1681.0
Alpenglow at Arctic Valley,1219.2
Big White Ski Resort,2319.0
Big White Ski Resort,2319.0
Big White,2319.0
Camelback Mountain Resort,650.138
Castle Mountain Resort,2377.0
Copper Mountain (Colorado),3753.0
Copper Mountain,3753.0
Copper Mountain,3753.0
Copper Mountain,3753.0
Dollar Mountain,2023.26
Flaine,2561.0
Flaine,2561.0
Flaine,2561.0
Flaine,2561.0
Flaine,2561.0
Flaine,2561.0
Flaine,2561.0
Harper Mountain,1524.0
Hoodoo (ski area),1738.27
Hoodoo (station),1738.27
Les Menuires,2850.0
Les Menuires,2850.0
Les Menuires,2850.0
Les Menuires,2850.0
Les Menuires,2850.0
Les Menuires,2850.0
Levi (Finnland),531.0
"Levi, Finland",531.0
Levi (Finlande),531.0
Levi (stazione sciistica),531.0
Levi (stad),531.0
Levi,531.0
Леви (Финляндия),531.0
Powder Mountain,2712.72
Semenic,1410.0
Semenic-Gebirge,1410.0
Семенич,1410.0
Smugglers' Notch,1109.0
Solitude Mountain Resort,3058.67
Steamboat Ski Resort,3221.13
Sunshine Village,2730.0
Sunshine Village,2730.0
Sunshine (stazione sciistica),2730.0
West Mountain (ski area),448.056
Wintergreen Resort,1071.37
Purgatory Resort,3298.55
Ski Bromont,565.0
Hunter Mountain (ski area),975.36
ハンターマウンテン塩原,1638.0
Hunter Mountain Shiobara,1638.0
Mount Sunapee Resort,836.066
Echo Valley Ski Area,1188.72
Mount Rose Ski Tahoe,2956.56
Terry Peak,2153.11
Blue Marsh Ski Resort,176.784
Kamiskotia Snow Resort,396.85
Jungbong,1370.0
Чунбон,1370.0
Jeongseon Alpine Centre,1370.0
Centre de ski du mont Sutton,968.0
Mont Sutton,968.0
Arapahoe Basin,3977.64
Fernie Alpine Resort,2149.0
Jay Peak Resort,1175.92
Marble Mountain Ski Resort,546.0
Marquette Mountain,383.134
Mont Tremblant Resort,875.0
Tremblant,875.0
モントランブラン・リゾート,875.0
Méribel,2952.0
Méribel,2952.0
Méribel,2952.0
Méribel,2952.0
Méribel,2952.0
Méribel,2952.0
Méribel,2952.0
Мерибель,2952.0
"Snowbird, Utah",3352.8
Snowbird (Utah),3352.8
スノーバード,3352.8
Sundance Resort,2514.6
Sundance (Utah),2514.6
Sundance (Utah),2514.6
日舞渡假村,2514.6
"Thredbo, New South Wales",2037.0
Thredbo,2037.0
Thredbo,2037.0
Thredbo,2037.0
Val Thorens,3220.0
Val Thorens,3220.0
Val Thorens,3220.0
Val Thorens,3220.0
Val Thorens,3220.0
Val Thorens,3220.0
Валь Торанс,3220.0
Vale Thorens,3220.0
Whakapapa skifield,2300.0
Whistler Blackcomb,2182.0
Whistler-Blackcomb,2182.0
Whistler Blackcomb,2182.0
ウィスラー・ブラッコム,2182.0
Whistler Blackcomb,2182.0
Whistler Blackcomb,2182.0
Whistler Blackcomb,2182.0
Уистлер-Блэккомб,2182.0
Whistler Blackcomb,2436.0
Whistler-Blackcomb,2436.0
Whistler Blackcomb,2436.0
ウィスラー・ブラッコム,2436.0
Whistler Blackcomb,2436.0
Whistler Blackcomb,2436.0
Whistler Blackcomb,2436.0
Уистлер-Блэккомб,2436.0
Aspen Mountain (ski area),3417.42
Bald Mountain (Idaho),2788.92
Bald Mountain (Idaho),2788.92
Big Sky Resort,3403.4
Bogus Basin,2310.99
Богус-Бейсин,2310.99
Buttermilk (ski area),3017.52
Canada Olympic Park,1250.0
Canada Olympic Park,1250.0
Parc national olympique du Canada,1250.0
Canada Olympic Park,1250.0
Канадский олимпийский парк,1250.0
Cypress Mountain Ski Area,1440.0
Cypress Mountain,1440.0
Cypress Mountain,1440.0
Cypress Mountain,1440.0
Cypress Mountain,1440.0
Cypress Mountain Resort,1440.0
Montanha Cypress,1440.0
Сайпресс-Маунтин,1440.0
賽普拉斯山滑雪場,1440.0
Dizin,3600.0
Dizin,3600.0
Dizin,3600.0
Dizin,3600.0
Дизин,3600.0
Marmot Basin,2612.0
Masella,2635.0
La Masella,2635.0
Masella,2635.0
Masella,2635.0
Masella,2635.0
Mount Ashland Ski Area,2286.0
Mount Ashland Ski Area,2286.0
Mountain Creek,454.0
Mt. Baker Ski Area,1551.13
Panorama Mountain Village,2375.0
Panorama Mountain Village,2375.0
Panorama (stazione sciistica),2375.0
Panorama (Kanada),2375.0
Silver Star Mountain Resort,1915.0
Silver Star (stazione sciistica),1915.0
Snowbasin,2849.88
Snowbasin,2849.88
Snowbasin,2849.88
Сноубэйсин,2849.88
Snowshoe Mountain,1477.67
Sugarloaf (ski resort),1291.44
Sugarloaf (Skigebiet),1291.44
Sugarloaf,1291.44
Sugarloaf (ośrodek narciarski),1291.44
Sun Peaks Resort,2152.0
Sun Peaks Resort,2152.0
Sun Peaks,2152.0
Wachusett Mountain (ski area),611.429
Wolf Mountain,1981.2
Whitewater Ski Resort,2045.0
Whitewater Ski Resort,2400.0
Alpine Meadows (Kalifornien),2632.56
Alpine Meadows (ski resort),2632.56
Brundage Mountain,2328.67
Edelweiss Valley,350.0
サッポロテイネ,1023.0
Sapporo Teine,1023.0
Anthony Lakes (ski area),2438.4
"Beidahu, Jilin",1359.0
北大湖スキー場,1359.0
Beidahu,1359.0
北大湖滑雪場,1359.0
Fortress Mountain Resort,2500.0
Fortress Mountain,2500.0
Pajarito Mountain Ski Area,3182.11
Ski Cooper,3566.16
Espace Killy,3550.0
Espace Killy,3550.0
Espace Killy,3550.0
Espace Killy,3550.0
Espaço Killy,3550.0
Jasná,2024.0
Jasná,2024.0
Jasná,2024.0
Jasná,2024.0
Ясна,2024.0
Laurel Mountain Ski Resort,853.44
Piancavallo,2251.0
Piancavallo,2251.0
Piancavallo,2251.0
Piancavallo,2251.0
Piancavallo,2251.0
Piancavallo,2251.0
Piancavallo,2251.0
Stevens Pass Ski Area,1706.88
Stevens Pass Ski Area,1781.56
Alpine Valley Resort (Wisconsin),384.048
Awakino ski area,1950.0
Bear Mountain (ski area),2683.76
Calabogie Peaks,386.0
Cataloochee Ski Area,1645.92
Crested Butte Mountain Resort,3709.42
Echo Mountain Park,3246.12
Perfect North Slopes,243.84
Sunrise Park Resort,3383.28
Val Cenis Vanoise,2800.0
Val Cenis Vanoise,2800.0
Val Cenis,2800.0
Welch Village,323.088
Bela Ski Resort,965.0
Burke Mountain Ski Area,995.782
Camden Snow Bowl,329.184
Cerkno Ski Resort,1300.0
China Peak,2654.5
Golte Ski Resort,1600.0
Happo-one,1831.0
白馬八方尾根スキー場,1831.0
Hakuba Happoone Winter Resort,1831.0
Javornik Ski Resort,1220.0
Kanin-Sella Nevea Ski Resort,2292.0
Kobla Ski Resort,1480.0
Kope–Ribnica Pohorje Ski Resort,1542.0
Kranjska Gora Ski Resort,1623.0
Skigebiet Krvavec,1971.0
Krvavec,1971.0
Krvavec Ski Resort,1971.0
Maribor Pohorje Ski Resort,1327.0
Nozawa Onsen Snow Resort,1650.0
野沢温泉スキー場,1650.0
Nozawa Onsen Snow Resort,1650.0
Rogla,1517.0
Rogla,1517.0
Rogla,1517.0
Rogla,1517.0
Рогла,1517.0
Rogla Ski Resort,1517.0
Soriška Planina,1550.0
Soriška Planina Ski Resort,1550.0
Stari Vrh,1216.0
Stari Vrh Ski Resort,1216.0
Trije Kralji Ski Resort,1344.0
Velika Planina Ski Resort,1412.0
Vogel Ski Resort,1800.0
Guzet-neige,2100.0
Guzet Neige,2100.0
Guzet-Neige,2100.0
Hudson Bay Mountain,1650.0
Hudson Bay Mountain,1650.0
Norefjell Ski Resort,1188.0
Peyragudes,2240.0
Peyragudes,2240.0
Peyragudes,2240.0
Ski Chantecler,457.0
Ski Montcalm,330.0
Ski Montcalm,330.0
Stryn Sommerski,1640.0
SuperDévoluy,2500.0
SuperDévoluy,2500.0
White Hills Ski Resort,381.0
Alta Ski Area,3215.64
Alta Ski Area,3215.64
Aspen Highlands,3559.45
Bretton Woods Mountain Resort,944.88
Brighton Ski Resort,3276.6
Cooper Spur ski area,1325.88
Gore Mountain (ski resort),1097.28
Isola 2000,2610.0
Isola 2000,2610.0
Isola 2000,2610.0
Isola 2000,2610.0
Keystone Resort,3781.96
Mont Orford,850.0
Mont Orford,850.0
Mount Mawson,1320.0
Mount Mawson,1320.0
Mont Mawson,1320.0
Mount Snow,1097.28
Mount Snow,1097.28
Mount Snow,1097.28
Poiana Brașov,1799.0
Poiana Brașov,1799.0
Poiana Brașov,1799.0
Poiana Brașov,1799.0
Пояна-Брашов,1799.0
Serre Chevalier,2800.0
Serre Chevalier,2800.0
Serre Chevalier,2800.0
Serre Chevalier,2800.0
Serre Chevalier,2800.0
Serre Chevalier,2800.0
Shawnee Mountain Ski Area,411.785
Squaw Valley Ski Resort,2758.44
Squaw Valley Ski Resort,2758.44
Squaw Valley Ski Resort,2758.44
斯阔谷滑雪渡假胜地,2758.44
Stowe Mountain Resort,1133.55
Tyrol Basin,344.424
Mount Hood Skibowl,1532.23
Snowmass (ski area),3813.05
Sugarbush Resort,1244.5
Alyeska Resort,838.2
Alyeska Resort,1200.61
Jiminy Peak (ski area),723.9
Moonlight Basin,3403.4
Mount Southington,160.02
Mountain High,2377.44
Mountain High,2438.4
Mountain High,2499.36
Mount Kato,256.032
Tussey Mountain Ski Area,554.431
Appalachian Ski Mountain,1219.2
Bear Mountain Ski Hill,990.0
Blandford Ski Area,454.152
Skigebiet am Cannon Mountain,1274.06
Cannon Mountain Ski Area,1274.06
Greek Peak Mountain Resort,640.08
Hafjell,1030.0
Hafjell,1030.0
Hafjell,1030.0
Hafjell,1030.0
Hafjell,1030.0
Hafjell,1030.0
Mont Saint-Sauveur,416.0
Mont Sainte-Marie,582.168
Mont Ste. Marie,582.168
Pine Creek Ski Area,2499.36
Snow King Mountain,2379.88
White Pine Ski Resort,2895.6
Afton Alps,213.36
Ascutney Mountain Resort,768.096
Catamount Ski Area,609.6
Chapelco,1980.0
Chapelco,1980.0
Chapelco,1980.0
Chapelco,1980.0
Craigieburn Valley Ski Area,1922.0
Great Divide Montana,2204.62
"La Rosière, Savoie",2642.0
La Rosière (Montvalezan),2642.0
La Rosière (Montvalezan),2642.0
La Rosière (Savoie),2642.0
Las Vegas Ski and Snowboard Resort,2900.17
Nassfeld,2000.0
Nassfeld,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Plateau de Beille,2000.0
Poley Mountain,277.368
Porters Ski Area,1995.0
Spirit Mountain (ski area),402.336
Planche des Belles Filles,1148.0
Planche des Belles Filles,1148.0
Planche des Belles Filles,1148.0
Planche des Belles Filles,1148.0
La Planche des Belles Filles,1148.0
Pooladkaf,3231.0
Pooladkaf,3231.0
Hotham Alpine Resort,1861.0
Eaton Mountain,256.032
Powderhouse Hill (ski area),73.152
Big Squaw Mountain Resort,890.016
Great Canadian Heliskiing,2969.97
Alp 2500,2535.0
Alp 2500,2535.0
Alp 2500,2535.0
Alp 2500,2535.0
Boreal Mountain Resort,2346.96
Bromley Mountain,994.562
Homewood Mountain Resort,2402.0
Homewood Mountain Resort,2402.0
Killington Ski Resort,1289.0
Kirkwood Mountain Resort,2987.04
Les Arcs,3250.0
Les Arcs (estación de esquí),3250.0
Les Arcs (Savoie),3250.0
Les Arcs,3250.0
Les Arcs (Savoie),3250.0
Les Arcs,3250.0
Лез-Арк (Савойя),3250.0
Liberty Mountain Resort,362.712
Madonna di Campiglio,2600.0
Madonna di Campiglio,2600.0
Madonna di Campiglio,2600.0
Madonna di Campiglio,2600.0
Madonna di Campiglio,2600.0
マドンナ・ディ・カンピーリオ,2600.0
Madonna di Campiglio,2600.0
Madonna di Campiglio,2600.0
Мадонна-ди-Кампильо,2600.0
Madonna di Campiglio,2600.0
Montage Mountain Ski Resort,597.408
Pico Mountain,1209.14
Estación de esquí de Sierra Nevada,3300.0
Sierra Nevada (station de ski),3300.0
Sierra Nevada (stazione sciistica),3300.0
Sierra Nevada (ośrodek sportów zimowych w Hiszpanii),3300.0
Serra Nevada (estação de esqui),3300.0
Sierra Nevada Ski Station,3300.0
Telluride Ski Resort,4008.12
Timberline Lodge ski area,2602.99
Treble Cone,2088.0
トレブルコーン,2088.0
Bear Valley (resort),2590.8
"Charlotte Pass, New South Wales",1964.0
Charlotte Pass,1964.0
Charlotte Pass,1964.0
Deer Valley,2916.94
Deer Valley,2916.94
Deer Valley,2916.94
"Falls Creek, Victoria",1780.0
Falls Creek (Victoria),1780.0
Falls Creek,1780.0
Falls Creek (Victoria),1780.0
Heavenly Mountain Resort,3068.42
Heavenly Mountain Resort,3068.42
Heavenly Valley,3068.42
Heavenly Valley,3068.42
Heavenly Mountain Resort,3068.42
Heavenly Valley,3068.42
La Plagne,3250.0
La Plagne,3250.0
La Plagne,3250.0
La Plagne,3250.0
La Plagne,3250.0
La Plagne,3250.0
La Plagne,3250.0
Les Trois Vallées,3230.0
Trois Vallées,3230.0
Les Trois-Vallées,3230.0
Les Trois Vallées,3230.0
Les Trois Vallées,3230.0
Trzy Doliny,3230.0
Les Trois Vallées,3230.0
Mammoth Mountain Ski Area,3368.95
Mammoth Mountain Ski Area,3368.95
Ohau (skifield),1925.0
Pamporovo,1928.0
Pamporowo,1928.0
Pamporovo,1928.0
Pamporovo,1928.0
Pamporowo,1928.0
Пампорово,1928.0
Portes du Soleil,2466.0
Portes du Soleil,2466.0
Portes du Soleil,2466.0
Portes du Soleil,2466.0
Portes du Soleil,2466.0
Portes du Soleil,2466.0
Turoa,2322.0
Milwaukee Ski Bowl,1220.0
Suicide Six,365.76
Canyons Resort,3044.95
Badger Pass Ski Area,2438.4
Yosemite Ski & Snowboard Area,2438.4
Badger Pass Ski Area,2438.4
Ferguson Ridge Ski Area,1780.03
Tiffindell Ski Resort,2900.0
Tiffindell,2900.0
Warner Canyon,1829.71
Niseko Mt. Resort Grand Hirafu,1200.0
ニセコマウンテンリゾート グラン・ヒラフ,1200.0
Afri-Ski,3222.0
Afri-Ski,3222.0
Afriski,3222.0
Afri-Ski,3222.0
アフリスキー,3222.0
Afri-Ski,3222.0
Buckhorn Ski Club,2408.83
Grand Massif,2561.0
Grand Massif,2561.0
Grand Massif,2561.0
Grand Massif,2561.0
Lutsen Mountains,514.502
Pla d'Adet,3194.0
Pla d'Adet,3194.0
Saint-Lary-Soulan (station),3194.0
Super Besse,1800.0
Super-Besse,1800.0
Super-Besse,1800.0
Super Besse,1800.0
Super Besse,1800.0
Super Besse,1800.0
Luchon-Superbagnères,2256.0
Luchon-Superbagnères,2256.0
Luchon-Superbagnères,2256.0
Superbagnères,2256.0
Lauberhornrennen,2315.0
Trofeo del Lauberhorn,2315.0
Lauberhornrennen,2315.0
Lauberhorn ski races,2315.0
Plattekill Mountain,1066.8
安比高原スキー場,1328.0
Appi Kogen Ski Resort,1328.0
Bryce Resort,533.4
Baker Mountain (ski area),233.782
Whaleback (ski area),548.64
Front Range Ski Club,10650.0
Le Désert et le Granier,1200.0
Le Désert d'Entremont,1200.0
Le Markstein,1268.0
Le Markstein,1268.0
Le Markstein,1268.0
Markstein,1268.0
Le Markstein,1268.0
Rathvel,1481.0
Rathvel,1481.0
Gibson Pass Ski Area,1788.57
Gibson Pass Ski Area,1789.0
Park City Mountain Resort,3048.0
Seven Springs Mountain Resort,912.571
Donner Ski Ranch,2371.65
Elk Mountain Ski Area,820.522
Elk Ridge Ski Area,2484.12
富良野スキー場,1209.0
Furano Ski Resort,1209.0
Great Bear Recreation Park,466.344
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Les Deux Alpes,3600.0
Ле дез Альп,3600.0
Les Deux Alpes,3600.0
Mad River Mountain,445.008
Magic Mountain Resort,2206.75
Mount Baldy Ski Area,180.0
Mount Baldy Ski Area,2123.0
Mount Baldy Ski Lifts,2621.28
Red Mountain Resort,2072.0
Saddleback Maine (ski resort),1255.78
Ski Wentworth,302.0
Wisp Ski Resort,949.452
Powderhorn Resort,3002.28
Bukowel,1372.0
Bukovel,1372.0
Bukovel,1372.0
Boekovel,1372.0
Bukowel,1372.0
Буковель,1372.0
La Mongie,2872.0
La Mongie,2872.0
La Mongie,2872.0
La Mongie,2872.0
La Mongie,2872.0
La Mongie,2872.0
Mount Pakenham,222.504
Ober Gatlinburg,1005.84
Mount Eyak,365.76
"Silver Summit, Alberta",1448.0
Estación de Esquí Vodafone,1984.0
Station de Ski Vodafone,1984.0
Vodafone Ski Resort,1984.0
Estância de Esqui Vodafone,1984.0
Chimgon,3309.0
Chimgan,3309.0
Tchimgan,3309.0
Chimgan,3309.0
Chimgan,3309.0
Hogadon Ski Area,2438.4
Monterreal,3445.0
Monterreal,3445.0
Monterreal,3445.0
Asessippi Ski Area,553.0
Farellones,3333.0
Фареллонес,3333.0
Farellones,3333.0
Les Paccots,1487.0
Les Paccots,1487.0
Thunderhill Ski Area,573.0
Skigebiet Masik-Ryong,1360.0
Station de ski du mont Masik,1360.0
馬息嶺スキー場,1360.0
馬息嶺滑雪場,1360.0
Masikryong Ski Resort,1360.0
Roundtop Mountain Resort,406.908
"Stagecoach, Colorado",2788.92
Kimberley Alpine Resort,1982.0
La Tania,2732.0
La Tania,2732.0
Ла-Танья,2732.0
Mount Pleasant of Edinboro,472.745
Peek'n Peak,548.64
Phoenix Mountain Ski Resort,1479.0
Powder King Mountain Resort,1829.0
Kongsberg Skisenter,565.0
Mont Sainte-Anne,800.0
Mont Sainte-Anne,800.0
Mont-Sainte-Anne,800.0
Mont-Sainte-Anne,800.0
Mont-Sainte-Anne,800.0
Mont-Sainte-Anne,800.0
Mount Buller Alpine Resort,1780.0
North–South Ski Bowl,1154.58
Perisher,2054.0
Perisher,2054.0
Perisher,2054.0
Perisher Ski Resort,2054.0
Rotarun Ski Area,1796.8
Sipapu (ski area),2820.92
Snowy Range Ski Area,3048.0
Tahoe Donner,2240.28
Tahoe Donner Downhill,2255.52
Tenney Mountain Ski Resort,655.015
Wolf Ridge Ski Resort,1402.08
Rødkleiva,479.0
Rødkleiva,479.0
Rødkleiva,479.0
Alpe du Grand Serre,2184.0
Alpe du Grand Serre,2184.0
Crotched Mountain Ski & Ride,629.717
Espace Diamant,2069.0
Espace Diamant,2069.0
Avoriaz,2466.0
Avoriaz,2466.0
Avoriaz,2466.0
Avoriaz,2466.0
Avoriaz,2466.0
Avoriaz,2466.0
Avoriaz,2466.0
Авориаз,2466.0
Bluewood Ski Area,1728.22
Hurricane Ridge Ski and Snowboard Area,1676.4
Magic Mountain Ski Area,868.68
Mission Ridge Ski Area,2078.74
Mount Spokane Ski and Snowboard Park,1794.97
Snow Summit,2491.44
Waterville Valley Resort,1170.43
White Pass Ski Area,1981.2
White Pass Ski Area,1981.2
Whitefish Mountain Resort,2077.82
Whitefish Mountain Resort,2077.82
Big Mountain (Montana),2077.82
Alta Badia,2550.0
Alta Badia,2550.0
Alta Badia,2550.0
Alta Badia,2550.0
Alta Badia,2550.0
Alta Badia,2550.0
Alta Badia,2550.0
Angel Fire Resort,3254.35
Baqueira-Beret,2510.0
Baqueira Beret,2510.0
Baqueira-Beret,2510.0
Baqueira Beret,2510.0
Baqueira-Beret,2510.0
Baqueira-Beret,2510.0
Bear Paw Ski Bowl,1609.34
Belleayre Ski Center,1045.2
Blacktail Mountain Ski Area,2069.29
Devil's Head Resort,432.816
Discovery Ski Area,2486.56
Glenshee Ski Centre,1068.02
Granite Peak Ski Area,594.36
Horseshoe Resort,406.0
Kelly Canyon,2011.68
Kvitfjell,1039.0
Kvitfjell,1039.0
Kvitfjell,1039.0
Kvitfjell,1039.0
Kvitfjell,1039.0
Kvitfjell,1039.0
Kvitfjell,1039.0
La Tzoumaz,2354.0
La Tzoumaz,2354.0
La Tzoumaz,2354.0
Le Massif,806.0
Le Massif,806.0
Le Massif,806.0
Little Ski Hill,1706.88
Lookout Pass Ski and Recreation Area,1722.12
Lost Trail Powder Mountain,2499.36
Lost Valley Ski Area,146.304
