http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
Marquette Harbor Light,12.192
Mokohinau Islands Lighthouse,14.0
Faro de las Islas Mokohinau,14.0
Mokohinau Islands Lighthouse,14.0
Poe Reef Light,17.0688
Port Sanilac Light,17.9832
South Manitou Island Lighthouse,19.812
St Bees Lighthouse,17.0
St Bees Lighthouse,17.0
Latarnia morska St Bees,17.0
Сент-Бисский маяк,17.0
Naze Tower,26.2128
Phare de Calcanhar,62.0
Farol do Calcanhar,62.0
Calcanhar Lighthouse,62.0
Cat Island Light,9.144
Phare de Dunkerque,63.0
Faro de Dunkerque,63.0
Phare de Dunkerque,63.0
Vuurtoren van Duinkerke,63.0
Dunkirk lighthouse,63.0
Scurdie Ness,39.0
Willamette River Light,7.3152
Örskär,32.0
Örskär,32.0
Dueodde Fyr,47.0
Dueodde Fyr,47.0
Dueodde Lighthouse,47.0
Giordan Lighthouse,22.0
Phare de Ta' Gurdan,22.0
Giordan Lighthouse,22.0
Phare des Héaux de Bréhat,56.9976
Phare des Héaux de Bréhat,56.9976
Héaux de Bréhat lighthouse,56.9976
Nieuwe Sluis,284.0
Nieuwe Sluis,284.0
Nieuwe Sluis,284.0
Nieuwe Sluis,284.0
Odderøya fyr,6.0
Odderøya Lighthouse,6.0
Phare de Ploumanac’h,14.9352
Phare de Ploumanac'h,14.9352
Faro di Ploumanac'h,14.9352
Ploumanac'h lighthouse,14.9352
Phare de Saint-Mathieu,36.8808
Faro de Saint-Mathieu,36.8808
Phare de Saint-Mathieu,36.8808
Farol de Saint Mathieu,36.8808
Saint-Mathieu lighthouse,36.8808
Phare des Sept-Îles,20.0
Phare des Sept-Îles,20.0
Sept-Îles lighthouse,20.0
Wyborn Reef Light,21.0312
Wyborn Reef Light,21.0312
アナドル灯台,19.0
Anadolu Feneri,19.0
Apo Reef Light,36.0
Bagatao Island Lighthouse,8.8
Batag Island Lighthouse,30.8
ビヤルクタンガール灯台,6.0
Bjargtangar lighthouse,6.0
Blacksod Lighthouse,12.0
Bugui Point Lighthouse,15.0
Burnham-on-Sea High Lighthouse,30.0
Burnham-on-Sea Low lighthouse,9.0
Phare du cap Branco,18.0
Farol do Cabo Branco,18.0
Cabo Branco Lighthouse,18.0
Isla Cabra (Filipinas),20.5
Cabra Island Lighthouse,20.5
Faro de Cabo Engaño,14.5
Cape Engaño Lighthouse,14.5
Phare de Cap Melville,27.5
Cape Melville Lighthouse,27.5
Capones Island Lighthouse,19.812
Faro de Hraunhafnartangi,19.0
Phare de Hraunhafnartangi,19.0
Hraunhafnartangi lighthouse,19.0
Faro de Knarrarós,22.0
Knarraros lighthouse,22.0
Faro de Marbella,29.0
Lighthouse of Marbella,29.0
Isla de Man (Bahamas),18.0
Man Island (Bahamas),18.0
水ノ子島灯台,39.25
Mizunokojima Lighthouse,39.25
ルメリ灯台,30.0
Rumeli Feneri,30.0
Rumeli Feneri,30.0
Ahirkapi,26.0
Маяк Ахыркапы,26.0
Ahırkapı Feneri,26.0
Phare Archer Point,5.7912
Archer Point Light,5.7912
Phare de l'île Booby,17.9832
Booby Island Light,17.9832
Bulwer Island Light,15.8496
Bustard Head Light,17.6784
Cape Don Light,35.9664
Farol do Cabo Fourcroy,14.9352
Cape Fourcroy Light,14.9352
Cape Hotham Light,16.4592
"Colchester Reef Light (Lake Erie, West)",12.0
East Vernon Light,10.9728
Emery Point Light,9.4488
Faro de Mersin,15.0
Mersin Feneri,15.0
Phare Milnerton,21.0
Milnerton Lighthouse,21.0
New Burnett Heads Light,19.812
Old Burnett Heads Light,9.144
Point Charles Light,32.004
Faro de Punta Brava,19.0
Phare de Punta Brava,19.0
Punta Brava Lighthouse,19.0
Sandy Cape Light,25.908
尻屋埼灯台,32.82
Shiriyazaki Lighthouse,32.82
Bremstein Lighthouse,27.0
Faro de Cabo de la Roca,22.0
Farol do Cabo da Roca,22.0
Cabo da Roca Lighthouse,22.0
Cape Wickham Lighthouse,48.0
Farol da Ponta de São Jorge,14.0
Farol da Ponta de São Jorge,14.0
Farol da Ponta de São Jorge,14.0
Farol da Ponta de São Lourenço,10.0
Farol da Ponta de São Lourenço,10.0
Farol da Ponta de São Lourenço,10.0
Farol da Ribeira Brava,6.0
Farol da Ribeira Brava,6.0
Farol da Ribeira Brava,6.0
Farol de Regufe,22.0
Farol de Regufe,22.0
Feistein Lighthouse,26.0
Flatholmen Lighthouse,8.2
Gjeslingene Lighthouse,24.3
Gunfleet Lighthouse,23.0
Faro alto di IJmuiden,43.0
Hoge vuurtoren van IJmuiden,43.0
Hoge vuurtoren van IJmuiden,43.0
Jomfruland Lighthouse,31.0
Kvassheim Lighthouse,9.3
Kvitsøy Lighthouse,27.0
Faro basso di IJmuiden,24.0
Lage vuurtoren van IJmuiden,24.0
Lage vuurtoren van IJmuiden,24.0
Myken Lighthouse,12.5
Nærøysund Lighthouse,13.9
Obrestad Lighthouse,16.5
Ryvarden Lighthouse,10.0
Faro di Scheveningen,30.0
Vuurtoren van Scheveningen,30.0
Scheveningen Lighthouse,30.0
Sklinna Lighthouse,14.3
Ytterøyane Lighthouse,20.4
Faro Punta de Rasca,32.0
Punta Rasca Lighthouse,32.0
Faro de Punta de Teno,20.0
Punta de Teno Lighthouse,20.0
Faro de Punta La Entallada,12.0
Punta La Entallada Lighthouse,12.0
Faro de Estaca de Bares,10.0
Estaca de Bares Lighthouse,10.0
Faro Evangelistas,13.0
Phare Evangelistas,13.0
Evangelistas Lighthouse,13.0
Faro de Punta Sardina,24.0
Punta Sardina Lighthouse,24.0
Faro de Punta del Castillete,21.0
Punta del Castillete Lighthouse,21.0
Faro de Góra Szwedów,17.0
Latarnia Morska Góra Szwedów,17.0
Góra Szwedów Lighthouse,17.0
Alki Point Light,11.2776
Alki Point Light,11.2776
Alpena Light,10.3632
Cape D'Aguilar,9.7
Cabo D'Aguilar,9.7
Cap d'Aguilar,9.7
Capo d'Aguilar,9.7
鶴咀,9.7
Cayos Cat,3.6576
Cat Cays,3.6576
Daedalus Reef,9.144
Desdemona Sands Light,14.6304
Hornby Lighthouse,9.144
Vuurtoren van Hornby,9.144
Macquarie Lighthouse,26.0
Macquarie Lighthouse,26.0
Phare Macquarie,26.0
Маккуори (маяк),26.0
麥覺理燈塔,26.0
Malpeque Harbour Approach Range Lights,15.2
Malpeque Outer Range Lights,14.0
Pharos Lighthouse (Fleetwood),27.0
Pharos Lighthouse (Fleetwood),27.0
Маяк Фарос (Флитвуд),27.0
Punta Gorda Light,8.2296
بونتا ديل فارو,37.0
Capo Peloro,37.0
Punta del Faro,37.0
Capo Peloro,37.0
Punta del Faro,37.0
Rattray Head,34.0
San Cristóbal Lighthouse,15.0
St. Catherine's Oratory,10.8
Watts Island Light,14.6304
Capo Vaticano,8.0
Capo Vaticano,8.0
Capo Vaticano,8.0
Capo Vaticano,8.0
Egg Island (Bahamas),18.0
Isla Huevo,18.0
Эгг-Айленд (остров),18.0
"Green Island, Hong Kong",12.0
Isla Verde (China),12.0
Green Island (Hongkong),12.0
青洲 (中西區),12.0
Klein Curaçao,20.0
Klein Curaçao,20.0
Klein Curazao,20.0
Klein Curaçao,20.0
Klein Curaçao,20.0
Klein Curaçao,20.0
Klein Curaçao,20.0
Малый Кюрасао,20.0
Klein Curaçao,20.0
مسكان,11.0
Miskan Island,11.0
Isla Miskan,11.0
Muckle Skerry,36.0
Muckle Skerry (Orkney),36.0
Muckle Skerry,36.0
Muckle Skerry,36.0
Muckle Skerry,36.0
Nobska Light,12.192
North Foreland,26.0
North Foreland,26.0
Plymouth Breakwater,23.5
Plymouth Breakwater,23.5
Sombrero (Insel),15.0
"Sombrero, Anguilla",15.0
Isla Sombrero,15.0
Sombrero (Anguilla),15.0
Sombrero (Anguilla),15.0
ソンブレロ島,15.0
Sombrero (eiland),15.0
Sombrero (Anguilla),15.0
Sombrero (ilha),15.0
松布雷羅島 (安圭拉),15.0
Alcatraz Island Light,25.6032
Phare d'Alcatraz,25.6032
Capo Sandalo Lighthouse,30.0
Phare de Capo Sandalo,30.0
Carysfort Reef Light,36.576
Duluth North Pier Light,10.9728
Erie Harbor North Pier Light,10.3632
Estevan Point,30.5
Phare d'Estevan Point,30.5
Kenosha North Pier Light,15.24
Minneapolis Shoal Light Station,21.336
"Muckle Holm, Yell Sound",32.0
Newport Harbor Light,10.668
Offer Wadham lighthouse,12.0
Rock of Ages Light,35.6616
Scotch Cap Light,7.9248
Phare du cap Scotch,7.9248
Tue Marshes Light,12.4968
Turnberry Castle,24.0
Castelo Turnberry,24.0
Wood Island Light,14.3256
Danskammer Point Light,9.4488
Cape May Lighthouse,47.8536
Bay Rock Light,8.0
Burry Port Lighthouse,6.0
Clarence River Light,17.0688
Phare Nojimazaki,29.0
野島埼灯台,29.0
Nojimazaki Lighthouse,29.0
Watwick Point Beacon,50.0
West Blockhouse Point Beacons,9.0
Saybrook Breakwater Light,14.6304
Phare de Saybrook Breakwater,14.6304
Phare Amédée,56.0
Faro Amédée,56.0
Amédée lighthouse,56.0
Phare Amédée,56.0
Amédéevuurtoren,56.0
Avery Point Light,16.764
Phare d'Avery Point,16.764
Baker Shoal Range Rear Light,33.528
Beaver Island Head Light,14.0208
Bellevue Range Rear Light,28.3464
Big Bay Point Light,19.5072
Black Rock Harbor Light,12.4968
Phare de Black Rock Harbor,12.4968
Bridgeport Harbor Light,15.8496
Phare de Bridgeport Harbor,15.8496
Cape Borda Lightstation,10.0
Cape Henlopen Light,21.0312
Cape Sarichef Light,7.0
Phare du cap Sarichef,7.0
Charity Island Light,13.716
Cheboygan Crib Light,7.62
Cherry Island Range Rear Light,10.668
Covesea Skerries Lighthouse,36.0
Latarnia morska Covesea Skerries,36.0
Fairway Island Light,1.8288
Phare de l'île Fairway,1.8288
"Fort Point Light, San Francisco",8.2296
Fourteen Foot Bank Light,12.192
Great Captain Island Light,15.5448
Phare de Great Captain Island,15.5448
Grosse Point Light,34.4424
Lime Point Light Station,6.096
Lime Point Light,6.096
Phare de Lime Point,6.096
Lincoln Rock Light,9.144
Phare de Lincoln Rock,9.144
Lincoln Rock Light,9.144
Liston Range Front Light,13.716
Liston Range Rear Light,36.576
Little Cumberland Island Light,18.288
Long Beach Light,12.8016
Lynde Point Light,19.812
Mahon River Light,11.2776
Mare Island Light,23.1648
Marstein fyr,17.3
Marstein Lighthouse,17.3
Mendota (Bete Grise) Light,12.8016
Middle Bay Light,12.4968
Mobile Point Range Lights,14.9352
New Castle Range Front Light,18.288
New Castle Range Rear Light,27.432
New London Harbor Light,27.1272
New London Ledge Light,17.6784
New Point Loma Lighthouse,21.336
Peck Ledge Light,16.4592
Phare de Sainte Marie,21.3
Phare de Sainte-Marie,21.3
Phare de Sainte Marie,21.3
圣玛丽灯塔,21.3
Piney Point Light,10.3632
Point Arguello Light,6.096
Point Blunt Light,18.288
Point Bonita Light,10.0584
Point Bonita Lighthouse,10.0584
Point Conception Light,15.8496
Point Diablo Light,25.908
Point Diablo Light,25.908
Point Montara Light,9.144
Point Reyes Lighthouse,10.668
Point Reyes Lighthouse,10.668
Phare de Point Reyes,10.668
Point Reyes Lighthouse,10.668
Latarnia Point Reyes,10.668
Point San Luis Light,12.192
Robbins Reef Lighthouse,13.716
Robbins Reef Light,13.716
Saginaw River Rear Range Light,17.9832
Santa Cruz Breakwater Light,12.6492
Sapelo Island Light,24.384
Sapelo Island Range Front Light,7.62
South Foreland Lighthouse,21.0
Fari di South Foreland,21.0
Southwest Ledge Light,13.716
St. Simons Island Light,31.6992
Stamford Harbor Ledge Light,18.288
Stratford Point Light,10.668
Sugar Pine Point Light,4.5
Tongue Point Light,9.4488
Trinidad Head Light,7.62
Tybee Island Light,43.8912
Tybee Island Range Front Light,7.3152
Withernsea Lighthouse,39.0
Yerba Buena Light,7.62
Ar Men,32.0
Faro de Ar Men,32.0
Phare d'Ar-Men,32.0
Ar Men,32.0
Faro di Ar-Men,32.0
Ar Men,32.0
Ar Men,32.0
Ар-Мен,32.0
Esha Ness Lighthouse,12.0
Esha Ness Lighthouse,12.0
Faro de Colina Gibbs,35.6616
Gibbs Hill Lighthouse,35.6616
Gibbs Hill Lighthouse,35.6616
Grand River (Fairport Harbor) Light,18.288
Woodman Light,13.0
Woodman Light,13.0
Leuchtturm Warnemünde,36.9
Warnemünde Lighthouse,36.9
Waackaack Rear Range Light,29.2608
Barbers Point Light (Hawaii),12.8016
Cleft of the Rock Light,10.3632
Eilean Musdile,26.0
Eilean Musdile,26.0
Eilean Musdile,26.0
Faro de Eluanbi,21.4
鵝鑾鼻燈塔,21.4
Eluanbi Lighthouse,21.4
Frying Pan Shoals Light,24.384
Hellisøy Lighthouse,32.3
Humboldt Harbor Light,13.716
Lady's Rock,12.0
Phare de Preguiças,35.0
Farol de Preguiças,35.0
Preguiças Lighthouse,35.0
Punta Stilo,15.0
Punta Stilo,15.0
Punta Stilo,15.0
Punta Stilo,15.0
South Bass Island Light,18.288
South Bass Island Light,18.288
Spectacle Reef Light,24.384
Tinicum Island Rear Range Light,25.908
Bathurst Lighthouse,19.2
Bathurst Lighthouse,19.2
Falkner Island Light,14.0208
Phare de Falkner Island,14.0208
Fenwick Island Light,26.5176
Fort Gratiot Light,25.908
Île Verte (San Pedro y Miquelón),6.0
"Green Island (Fortune), Newfoundland and Labrador",6.0
Île Verte (Terre-Neuve-et-Labrador),6.0
Île Verte (Saint-Pierre e Miquelon),6.0
Leuchtturm Kampen,40.0
"Kampen lighthouse, Sylt",40.0
Kish Bank,31.0
Montague Island Light,21.0312
Plum Island Light,15.24
Plum Island Range Lights,19.812
Sabin Point Light,10.9728
Split Rock Lighthouse,16.4592
Phare de Split Rock,16.4592
Whalers Bluff Lighthouse,12.0
Old Yaquina Bay Lighthouse,15.5448
Yaquina Bay Light,15.5448
Yaquina Bay Lighthouse,15.5448
Yaquina Head Light,28.3464
Yaquina Head Lighthouse,28.3464
Faro Yaquina Head,28.3464
Yaquina Head Light,28.3464
Yaquina Head Lighthouse,28.3464
Маяк Йакина,28.3464
Northwest Passage Light,14.3256
Sombrero Key Light,43.2816
"Coquet Island, England",22.0
Coquet (eiland),22.0
"Lighthouse, Chennai",45.72
Isla As Salama,24.0
Quoin Island (Persian Gulf),24.0
Cape Canaveral Light,46.0248
Farol do Cabo Canaveral,46.0248
Haifa Lee Breakwater Light,25.0
Koskela Light,5.0
Little Traverse Light,12.4968
Noordertoren,36.0
Noordertoren (Schiermonnikoog),36.0
North Tower (lighthouse),36.0
Point Lookout Light,12.4968
"Point Lookout Light, Australia",4.8768
Seal Point Lighthouse,27.75
Sentinel Island Lighthouse,15.5448
Sentinel Island Light,15.5448
Phare de l'île Sentinel,15.5448
Turkey Point Light,10.668
Barber's Point Light (New York),10.9728
Capo Engaño (Repubblica Dominicana),20.0
Cape Engaño (Dominican Republic),20.0
Entrance Island (British Columbia),14.0
Fisgard Lighthouse,14.6
Fisgard Lighthouse National Historic Site,14.6
Phare de Fisgard,14.6
Farol de Fisgard,14.6
费斯嘉灯塔,14.6
"Little Holm, Yell Sound",7.0
Longstone Lighthouse,26.0
Faro di Longstone,26.0
Latarnia morska Longstone,26.0
Лонгстонский маяк,26.0
Marblehead Light (Massachusetts),32.004
Marblehead Light (Ohio),15.24
Mispillion Light,19.812
Nab Tower,17.0
Latarnia morska Nab Tower,17.0
Pamban Lighthouse,20.0
Seul Choix Light,23.4696
Triton Light,7.62
Troubridge Island Lighthouse,24.0
Faro de Cabo de las Agujas,27.0
Phare du cap des Aiguilles,27.0
Kaap Agulhasvuurtoren,27.0
Cape Agulhas Lighthouse,27.0
Chantry Island Lightstation Tower,26.0
Farallon Island Light Station,12.4968
Farallon Island Light,12.4968
Whiteford Lighthouse,13.5
Faro di Whiteford,13.5
Ailsa Craig Lighthouse,11.0
Latarnia morska Ailsa Craig,11.0
Faro di Cromer,18.0
Cromer Lighthouse,18.0
Latarnia morska Cromer,18.0
Кромерский маяк,18.0
"Georgetown Lighthouse, Guyana",30.0
Faro de Georgetown,30.0
Holmengrå Lighthouse,16.0
Ludlam's Beach Light,10.9728
Sand Island Light (Alabama),39.9288
Sand Island Light (Wisconsin),12.8016
West Quoddy Head Light,14.9352
West Quoddy Head,14.9352
West Quoddy Head,14.9352
West Quoddy Head,14.9352
Cape Hatteras Light,64.008
Phare du cap Hatteras,64.008
Farol do Cabo Hatteras,64.008
Маяк мыса Хаттерас,64.008
Low Head Lighthouse,19.0
Cape North Lighthouse,29.0
Cowan Cowan Point Light,1.6764
Sea Hill Light,13.0
Execution Rocks Light,18.288
Fanad,22.0
Fanad,22.0
Fanad,22.0
Fanad,22.0
Fanad,22.0
Loch Eriboll,5.0
Loch Eriboll,5.0
Fiordo de Eriboll,5.0
Loch Eriboll,5.0
Loch Eriboll,5.0
Point Iroquois Light,19.812
St Abb's Head,9.0
Cabo de St. Abb,9.0
セント・アバズ・ヘッド,9.0
Stepping Stones Light,14.0208
Sea Girt Light,13.4112
فنار بورسعيد القديم,56.0
Faro de Puerto Saíd,56.0
Phare de Port-Saïd,56.0
Port Said Lighthouse,56.0
Faro de Punta de Arinaga,14.0
Vuurtoren van Punta de Arinaga,14.0
Punta de Arinaga Lighthouse,14.0
Landegode fyr,29.0
Landegode Lighthouse,29.0
Cape Byron Light,22.5552
Faro del Cabo Byron,22.5552
Cape Byron Light,22.5552
De Ven (Leuchtturm),15.0
De Ven,15.0
De Ven,15.0
Leuchtturm Eierland,34.7
Faro de Eierland,34.7
Phare de Eierland,34.7
Faro di Eierland,34.7
Vuurtoren Eierland,34.7
Eierland Lighthouse,34.7
Grassy Hill Light,6.096
Grassy Hill Light,6.096
Leuchtturm Huisduinen,55.5
Phare d'Huisduinen,55.5
Lange Jaap,55.5
Lange Jaap,55.5
Vuurtoren aan de Maasvlakte,65.8368
Phare de Maasvlakte,65.8368
Vuurtoren aan de Maasvlakte,65.8368
Maasvlakte Light,65.8368
Leuchtturm (Patras),13.0
Phare de Patras,13.0
Patras Lighthouse,13.0
Point Perpendicular Light,18.8976
Point Perpendicular Light,18.8976
Point Perpendicular Light,92.6592
Point Perpendicular Light,92.6592
Leuchtturm von Stavoren,15.7
Faro di Stavoren,15.7
Vuurtoren van Stavoren,15.7
Stavoren Lighthouse,15.7
Leuchtturm Ulenge,26.0
Faro Ulenge,26.0
Ulenge Island Rear Range Lighthouse,26.0
Westerlichttoren,50.0
West Schouwen,50.0
Вестерлихтторен,50.0
Westerlichttoren,50.0
Butt of Lewis Lighthouse,37.0
Butt of Lewis Lighthouse,37.0
Dog Island Lighthouse,36.0
Dog Island Lighthouse,36.0
Eilean Glas Lighthouse,30.0
Eilean Glas Lighthouse,30.0
Phare de Gatteville,75.2856
Phare de Gatteville,75.2856
Гатвиль (маяк),75.2856
Phare de Gatteville,75.2856
Faro de Punta Abona,39.0
Punta Abona Lighthouse,39.0
Faro de Arenas Blancas,38.0
Arenas Blancas Lighthouse,38.0
Eigerøy fyr,32.9
Eigerøy Lighthouse,32.9
Far de Formentor,22.0
Faro de Formentor,22.0
Formentor Lighthouse,22.0
Leuchtturm Kikut,18.0
Phare de Kikut (Wisełka),18.0
Latarnia Morska Kikut,18.0
Kikut Lighthouse,18.0
Leuchtturm Klaipėda,40.0
Klaipėda Lighthouse,40.0
Kråkenes fyr,10.5
Kråkenes Lighthouse,10.5
Lyngør fyr,17.0
Lyngør Lighthouse,17.0
Faro de Maspalomas,56.0
Faro de Maspalomas,56.0
Faro di Maspalomas,56.0
Phare de Maspalomas,56.0
Faro de Maspalomas,56.0
Maspalomas Lighthouse,56.0
Faro de Punta Pechiguera,50.0
Faro de Punta Pechiguera,50.0
Vuurtoren van Punta Pechiguera,50.0
Pechiguera Lighthouse,50.0
South Stack Lighthouse,28.0
Latarnia morska South Stack,28.0
South Stack Lighthouse,28.0
Tuhawaiki Point Lighthouse,9.0
Tuhawaiki Point Lighthouse,9.0
Vibberodden fyr,9.5
Vibberodden Lighthouse,9.5
Andenes Lighthouse,40.0
Ballenas Island Light,11.0
Faro de Bøkfjord,10.0
Bøkfjord Lighthouse,10.0
Farol de Câmara de Lobos,5.0
Farol de Câmara de Lobos,5.0
Farol de Câmara de Lobos,5.0
Filtvet Lighthouse,14.0
Fjøløy Lighthouse,8.2
Fuglenes Lighthouse,5.0
Fugløykalven Lighthouse,8.5
Færder Lighthouse,43.0
Geita Lighthouse,10.0
Geitungen Lighthouse,11.2
Glåpen Lighthouse,10.0
Hekkingen Lighthouse,10.0
Hendanes Lighthouse,12.0
Kalsholmen Lighthouse,13.5
Kjølnes Lighthouse,22.0
Kvanhovden Lighthouse,10.0
Makkaur Lighthouse,12.0
Moholmen Lighthouse,13.3
Måløy–Skarholmen Lighthouse,34.2
Ontonagon Light,10.3632
Rotvær Lighthouse,12.0
Saltholmen Lighthouse,6.0
Seaton Carew lighthouse,19.0
Skongenes Lighthouse,10.0
Skrova Lighthouse,24.5
Slåtterøy Lighthouse,25.1
Stabben Lighthouse,15.6
Thunder Bay Island Light,19.2024
Faro de Torsvåg,9.6
Torsvåg Lighthouse,9.6
Træna Lighthouse,18.0
Ulvesund Lighthouse,14.5
Utvær Lighthouse,31.0
Vardø Lighthouse,20.0
Værøy Lighthouse,13.8
Ytterholmen Lighthouse,9.0
Åsvær Lighthouse,18.5
Barøy Lighthouse,7.0
Faro de Cap-des-Rosiers,34.1
Phare de Cap-des-Rosiers,34.1
Cap-des-Rosiers Lighthouse,34.1
Danger Point Lighthouse,17.0
Faro de Punta Europa,20.0
