http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/runtime
Pardon My Backfire,952.0
Pardon My Backfire,952.0
Pardon My Scotch,1119.0
Pardon My Scotch,1119.0
Pop Goes the Easel,1097.0
Pop Goes the Easel,1097.0
Restless Knights,971.0
Restless Knights,971.0
Sing a Song of Six Pants,1014.0
Sing a Song of Six Pants,1014.0
Slippery Silks,1035.0
Slippery Silks,1035.0
Tassels in the Air,1029.0
Termites of 1938,993.0
Termites of 1938,993.0
Three Little Beers,976.0
Three Little Beers,976.0
Violent Is the Word for Curly,1057.0
Violent Is the Word for Curly,1057.0
Psycho (franchise),36420.0
Corny Casanovas,978.0
Corny Casanovas,978.0
Fiddlers Three (1948 film),1026.0
Fiddlers Three,1026.0
Scream (franchise),27540.0
سكريم (سلسلة أفلام),27540.0
Scream (Franchise),27540.0
Scream (franquicia),27540.0
Scream (série de films),27540.0
Scream (serie di film),27540.0
Scream (série de filmes),27540.0
Крик (серия фильмов),27540.0
Worst Driver television franchise,1800.0
Stan Lee's Mighty 7,3960.0
أتحدى الدقيقة,3600.0
Die perfekte Minute,3600.0
Un minuto per vincere,3600.0
60 secondes chrono (jeu télévisé),3600.0
1分間チャレンジ 〜めざせ!100万ドル,3600.0
Binnen De Minuut,3600.0
Milion w minutę,3600.0
Ganha num Minuto,3600.0
决战一分钟,3600.0
Minute to Win It,3600.0
Bubble Trouble (film),990.0
Bubble Trouble (filme),990.0
Dutiful But Dumb,1007.0
Three Sappy People,1037.0
仮面ライダー×仮面ライダー 鎧武&ウィザード 天下分け目の戦国MOVIE大合戦,5520.0
假面騎士×假面騎士 鎧武 & Wizard 天下決勝之戰國MOVIE大合戰,5520.0
Kamen Rider × Kamen Rider Gaim & Wizard: The Fateful Sengoku Movie Battle,5520.0
Men in Black (Kurzfilm),1082.0
"Men in Black (film, 1934)",1082.0
Men in Black (1934 film),1082.0
The Drive (TV series),1800.0
The Real Housewives,-2640.0
The Real Housewives,-2640.0
The Real Housewives,-2640.0
The Real Housewives,-2640.0
The Real Housewives,-2640.0
Настоящие домохозяйки,-2640.0
Half-Wits Holiday,1049.0
Half-Wits Holiday,1049.0
I Can Hardly Wait,1107.0
I Can Hardly Wait,1107.0
Nutty but Nice,1065.0
Three Little Pigskins,1105.0
Three Little Pigskins,1105.0
Three Little Pigskins,1105.0
Détour mortel (série de films),32700.0
Wrong Turn (filmserie),32700.0
Поворот не туда (серия фильмов),32700.0
Wrong Turn (film series),32700.0
From Dusk Till Dawn (franquicia),18840.0
From Dusk Till Dawn (franquia),18840.0
From Dusk till Dawn (franchise),18840.0
Cash and Carry (film),1101.0
Cash and Carry,1101.0
The Matrix (franchise),23580.0
Matrix,23580.0
Matrix (trilogia),23580.0
Matrix (série de films),23580.0
Matrix (franquia),23580.0
Матрица (трилогия),23580.0
黑客帝国系列,23580.0
Creature Comforts,600.0
Creature Comforts (Fernsehserie),600.0
Interviste mai viste,600.0
Creature Comforts,600.0
快適な生活〜ぼくらはみんないきている〜,600.0
Zwierzo-zwierzenia,600.0
Creature Comforts,600.0
В мире животных (мультсериал),600.0
Pyramid (game show),1320.0
الهرم (برنامج تلفزيوني),1320.0
Die Pyramide (Fernsehsendung),1320.0
Pyramid (programa de televisión),1320.0
Pyramide (jeu télévisé),1320.0
Pyramid,1320.0
Пирамида (телеигра),1320.0
Pyramid (game show),2640.0
الهرم (برنامج تلفزيوني),2640.0
Die Pyramide (Fernsehsendung),2640.0
Pyramid (programa de televisión),2640.0
Pyramide (jeu télévisé),2640.0
Pyramid,2640.0
Пирамида (телеигра),2640.0
Music of Chrono Trigger,2793.0
Colonna sonora delle serie Chrono,2793.0
Discografia da série Chrono,2793.0
Музыка Chrono Trigger,2793.0
Music of Chrono Trigger,3033.0
Colonna sonora delle serie Chrono,3033.0
Discografia da série Chrono,3033.0
Музыка Chrono Trigger,3033.0
Music of Chrono Trigger,3226.0
Colonna sonora delle serie Chrono,3226.0
Discografia da série Chrono,3226.0
Музыка Chrono Trigger,3226.0
Battletoads,1320.0
Battletoads,1320.0
Battletoads (серия игр),1320.0
Final Destination,27300.0
الوجهة النهائية (سلسلة),27300.0
Destino final (franquicia),27300.0
Destination finale (série de films),27300.0
Пункт назначения (серия фильмов),27300.0
Final Destination (franquia),27300.0
I'll Never Heil Again,1089.0
I'll Never Heil Again,1089.0
Horses' Collars,1081.0
Horses' Collars,1081.0
Uncivil Warriors,1173.0
Uncivil Warriors,1173.0
Dizzy Pilots,1005.0
Dizzy Pilots,1005.0
Some More of Samoa,1000.0
We Want Our Mummy,987.0
Baby Sitters Jitters,968.0
Baby Sitters Jitters,968.0
Juken Sentai Gekiranger vs Boukenger,2760.0
Apocalypse (film series),23460.0
Music of the Perfect Dark series,4436.0
Music of the Perfect Dark series,8322.0
Britney Rears,5520.0
Britney Rears,5520.0
Visionaries: Knights of the Magical Light,1320.0
Visionarios: Caballeros de la Luz Mágica,1320.0
Visionaries: Knights of the Magical Light,1320.0
Wizjonersi: Rycerze Światła,1320.0
Visionaries: Knights of the Magical Light,1320.0
Back to the Woods (1937 film),1167.0
Back to the Woods,1167.0
Fright Night (1947 film),1061.0
Idle Roomers (1944 film),1009.0
Out West (1947 film),1052.0
Out West,1052.0
The Ghost Talks (1949 film),967.0
"Honey, I Shrunk the Kids (franchise)",16800.0
Once Upon a Time in China (film series),39420.0
Brideless Groom,996.0
Brideless Groom,996.0
3 Dumb Clucks,1009.0
3 Dumb Clucks,1009.0
A Bird in the Head,1014.0
A Ducking They Did Go,976.0
A Ducking They Did Go,976.0
A Gem of a Jam,987.0
A Gem of a Jam,987.0
A Missed Fortune,966.0
A Missed Fortune,966.0
A Snitch in Time,988.0
A Snitch in Time,988.0
All Gummed Up,1087.0
All the World's a Stooge,963.0
Back from the Front,1061.0
Back from the Front,1061.0
Beer Barrel Polecats,1041.0
Beer Barrel Polecats,1041.0
Blunder Boys,954.0
Blunder Boys,954.0
Booby Dupes,1022.0
Busy Buddies (film),1002.0
Cactus Makes Perfect,1038.0
Cactus Makes Perfect,1038.0
Calling All Curs,1039.0
Commotion on the Ocean,994.0
Commotion on the Ocean,994.0
Cookoo Cavaliers,1044.0
Cookoo Cavaliers,1044.0
Crash Goes the Hash,1056.0
Crime on Their Hands,1064.0
Crime on Their Hands,1064.0
Cuckoo on a Choo Choo,928.0
Cuckoo on a Choo Choo,928.0
Don't Throw That Knife,950.0
Don't Throw That Knife,950.0
Dopey Dicks,943.0
Dopey Dicks,943.0
Even as IOU,937.0
Even as IOU,937.0
Flagpole Jitters,915.0
Flagpole Jitters,915.0
Flat Foot Stooges,937.0
Flat Foot Stooges,937.0
For Crimin' Out Loud,928.0
For Crimin' Out Loud,928.0
From Nurse to Worse (1940 film),1003.0
From Nurse to Worse,1003.0
Fuelin' Around,1000.0
Fuelin' Around,1000.0
G.I. Wanna Home,944.0
G.I. Wanna Home,944.0
Gents Without Cents,1138.0
Gents Without Cents,1138.0
Gents in a Jam,972.0
Gents in a Jam,972.0
Goof on the Roof,983.0
Goof on the Roof,983.0
Gypped in the Penthouse,967.0
Gypped in the Penthouse,967.0
He Cooked His Goose,937.0
He Cooked His Goose,937.0
"Healthy, Wealthy and Dumb",984.0
"Healthy, Wealthy and Dumb",984.0
Higher Than a Kite,1048.0
Higher Than a Kite,1048.0
Hokus Pokus (1949 film),968.0
Hokus Pokus,968.0
Horsing Around,927.0
Hot Ice (1955 film),968.0
Hugs and Mugs,957.0
Hugs and Mugs,957.0
Hula-La-La,966.0
Hula-La-La,966.0
Husbands Beware,960.0
Husbands Beware,960.0
I'm a Monkey's Uncle,916.0
Idiots Deluxe,1048.0
If a Body Meets a Body,1087.0
In the Sweet Pie and Pie,1045.0
Income Tax Sappy,988.0
Income Tax Sappy,988.0
Knutzy Knights,922.0
Knutzy Knights,922.0
"Listen, Judge",1021.0
"Listen, Judge",1021.0
Love at First Bite (1950 film),954.0
Love at First Bite (1950),954.0
Matri-Phony,1030.0
Matri-Phony,1030.0
Merry Mavericks,946.0
Merry Mavericks,946.0
Monkey Businessmen,1080.0
Monkey Businessmen,1080.0
Musty Musketeers,955.0
Musty Musketeers,955.0
Mutts to You,1082.0
Mutts to You,1082.0
"No Census, No Feeling",989.0
Of Cash and Hash,946.0
Of Cash and Hash,946.0
Outer Space Jitters,977.0
Outer Space Jitters,977.0
Pals and Gals,1001.0
Pals and Gals,1001.0
Pardon My Clutch,916.0
Pardon My Clutch,916.0
Pest Man Wins,961.0
Pest Man Wins,961.0
Phony Express,1029.0
Pies and Guys,969.0
Pies and Guys,969.0
Punchy Cowpunchers,1035.0
Punchy Cowpunchers,1035.0
Quiz Whizz,925.0
Quiz Whizz,925.0
"Rip, Sew and Stitch",992.0
"Rip, Sew and Stitch",992.0
Rockin' thru the Rockies,1044.0
Rumpus in the Harem,956.0
Rumpus in the Harem,956.0
Rusty Romeos,976.0
Rusty Romeos,976.0
Sappy Bull Fighters,912.0
Sappy Bull Fighters,912.0
Saved by the Belle,1042.0
Scheming Schemers,954.0
Scheming Schemers,954.0
Scotched in Scotland,931.0
Scotched in Scotland,931.0
Scrambled Brains,950.0
Scrambled Brains,950.0
Self-Made Maids,947.0
Self-Made Maids,947.0
Shivering Sherlocks,1037.0
Shivering Sherlocks,1037.0
Shot in the Frontier,952.0
Shot in the Frontier,952.0
Slaphappy Sleuths,969.0
Slaphappy Sleuths,969.0
So Long Mr. Chumps,1052.0
Sock-a-Bye Baby,1065.0
Space Ship Sappy,975.0
Space Ship Sappy,975.0
Spook Louder,967.0
Spook Louder,967.0
Stone Age Romeos,948.0
Studio Stoops,960.0
Sweet and Hot,977.0
Sweet and Hot,977.0
The Hot Scots,1036.0
The Hot Scots,1036.0
The Sitter Downers,934.0
The Sitter Downers,934.0
The Three Troubledoers,1024.0
The Three Troubledoers,1024.0
The Tooth Will Out,959.0
The Tooth Will Out,959.0
The Yoke's on Me,968.0
The Yoke's on Me,968.0
They Stooge to Conga,932.0
Three Arabian Nuts,943.0
Three Dark Horses,991.0
Three Hams on Rye,938.0
Three Little Pirates,1071.0
Three Little Pirates,1071.0
Three Little Sew and Sews,947.0
Three Little Twirps,927.0
Three Loan Wolves,1000.0
Three Loan Wolves,1000.0
Three Missing Links,1084.0
Three Missing Links,1084.0
Three Pests in a Mess,919.0
Three Pests in a Mess,919.0
Tricky Dicks,950.0
Tricky Dicks,950.0
Uncivil War Birds,1036.0
Uncivil War Birds,1036.0
Up in Daisy's Penthouse,992.0
Up in Daisy's Penthouse,992.0
Vagabond Loafers,951.0
Vagabond Loafers,951.0
"Yes, We Have No Bonanza",947.0
"Yes, We Have No Bonanza",947.0
Woman Haters,1158.0
Woman Haters,1158.0
Goofs and Saddles,1030.0
Goofs and Saddles,1030.0
Loco Boy Makes Good,1044.0
Loose Loot,954.0
Loose Loot,954.0
Playing the Ponies,1027.0
Playing the Ponies,1027.0
Wee Wee Monsieur,1043.0
Wee Wee Monsieur,1043.0
Boobs in Arms,1075.0
Boobs in Arms,1075.0
Heavenly Daze,1007.0
