http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/elevation
Cordillera Occidental (Colombia),4100.0
Cordillère Occidentale (Colombie),4100.0
Cordigliera Occidentale (Colombia),4100.0
Cordillera Occidental (Colombia),4100.0
Cordilheira Ocidental (Colômbia),4100.0
Западная Кордильера (Колумбия),4100.0
哥倫比亞西部山脈,4100.0
Cordillera Oriental (Colombia),5410.0
Cordillera Oriental (Colombia),5410.0
Cordillère Orientale (Colombie),5410.0
Cordillera Oriental (Colombia),5410.0
Cordillera Oriental (Colombia),5410.0
Cordilheira Oriental (Colômbia),5410.0
Восточная Кордильера (Колумбия),5410.0
哥倫比亞東部山脈,5410.0
Desert Hills (Nevada),1542.0
Double H Mountains,1834.0
Frankland Range,1083.0
Frankland Range,1083.0
Kikai Caldera,704.0
Kikai-Caldera,704.0
Caldeira de Kikai,704.0
鬼界カルデラ,704.0
Kikai (vulkaan),704.0
Monts des Ksour,2236.0
Ksour Range,2236.0
Langenberg (Habichtswald),556.7
Langenberg (Habichtswald),556.7
Kleiner Kaukasus,4090.0
Lesser Caucasus,4090.0
Cáucaso Menor,4090.0
Petit Caucase,4090.0
Caucaso Minore,4090.0
小コーカサス山脈,4090.0
Kleine Kaukasus,4090.0
Mały Kaukaz,4090.0
Малый Кавказ,4090.0
Cáucaso Menor,4090.0
小高加索山脈,4090.0
Monti Ernici,2064.0
Montes Hérnicos,2064.0
Monti Ernici,2064.0
Monti Ernici,2064.0
North Mountain (Nova Scotia),235.0
Eulengebirge,1014.8
Owl Mountains,1014.8
Góry Sowie,1014.8
Góry Sowie,1014.8
Prospect Hill (New South Wales),117.0
Rimo Muztagh,7516.0
Rimo Muztagh,7516.0
Rimo Muztagh,7516.0
Spenser Mountains,2300.0
Spenser Mountains,2300.0
Strawberry Range,2750.0
Strawberry Mountains,2750.0
Tantalus Range,2603.0
Tuscarora Mountains,2345.0
Baldwin Hills (mountain range),103.0
Bighorn Mountains (California),1744.0
Calumet Mountains,829.0
Darwin Hills,1832.0
كركونوشه,1603.0
Riesengebirge,1603.0
Montañas de los Gigantes,1603.0
Monts des Géants,1603.0
Monti dei Giganti,1603.0
Reuzengebergte,1603.0
Karkonosze,1603.0
Крконоше,1603.0
Montanhas dos Gigantes,1603.0
克尔科诺谢山,1603.0
Krkonoše,1603.0
Ferghanagebirge,4893.0
Monts Ferghana,4893.0
Monti Fergana,4893.0
Góry Fergańskie,4893.0
Ферганский хребет,4893.0
Fergana Range,4893.0
Grassy Range,1572.0
Little Chuckwalla Mountains,610.0
Alexander Hills,1005.0
جبال البابور,2004.0
Babors,2004.0
Babor Mountains,2004.0
Big Salmon Range,2174.0
Биг-Салмон,2174.0
Cedar Mountains (Nevada),2465.0
Clarke Range,1270.0
Clarke Range,1270.0
Cordillera de los Frailes,5438.0
Cordillera de los Frailes,5438.0
弗賴萊斯山脈,5438.0
Cordillera de los Frailes,5438.0
Glass House Mountains,556.0
Monts Glass House,556.0
Glass House Mountains,556.0
Гласс-Хаус (холмы),556.0
Luang Prabang Range,2120.0
Monti di Luang Prabang,2120.0
Mount Buchon,552.0
Rawson Mountains (California),814.3
Stubai Alps,3507.0
Stubaier Alpen,3507.0
Alpes de Stubai,3507.0
Alpi dello Stubai,3507.0
Stubaier Alpen,3507.0
Stubaier Alpen,3507.0
Штубайские Альпы,3507.0
Alpes de Stubai,3507.0
斯圖拜阿爾卑斯山脈,3507.0
The Girdle,522.0
Bucegi Mountains,2505.0
Bucegi-Gebirge,2505.0
Montes Bucegi,2505.0
Monts Bucegi,2505.0
Monti Bucegi,2505.0
Bucegigebergte,2505.0
Bucegi,2505.0
Бучеджи,2505.0
布切吉山脈,2505.0
Long Mynd,516.0
Long Mynd,516.0
Winston Churchill Range,3747.0
Chaînon Winston Churchill,3747.0
Hohe Schrecke,370.1
Hohe Schrecke,370.1
Monte Limbara,1362.0
Monte Limbara,1362.0
Monte Limbara,1362.0
Monte Limbara,1362.0
Mount Limbara,1362.0
Piskomgebirge,4048.0
Massif de Pskem,4048.0
Piskom (góry),4048.0
Пскемский хребет,4048.0
Pskem Mountains,4048.0
Südliche Karnische Alpen,2703.0
Préalpes carniques,2703.0
Prealpi Carniche,2703.0
Pré-Alpes Cárnicos,2703.0
Carnic Prealps,2703.0
Gailtal Alps,2770.0
Gailtaler Alpen,2770.0
Alpes de Gailtal,2770.0
Alpi della Gail,2770.0
Alpy Gailtalskie,2770.0
Alpes de Gail,2770.0
蓋爾塔爾阿爾卑斯山脈,2770.0
Breheimen,2172.0
Breheimen,2172.0
Breheimen,2172.0
Massif du Néouvielle,3192.0
Néouvielle massif,3192.0
Maciço de Néouvielle,3192.0
Yatsugatake,2899.0
Groupe volcanique méridional de Yatsugatake,2899.0
八ヶ岳,2899.0
Southern Yatsugatake Volcanic Group,2899.0
八岳,2899.0
Alpes septentrionales salzburgueses,2941.0
Alpi Settentrionali Salisburghesi,2941.0
Alpes setentrionais de Salisburgo,2941.0
北薩爾茨堡阿爾卑斯山脈,2941.0
Northern Salzburg Alps,2941.0
Bamboesberg,2208.0
Bamboesberg,2208.0
Karre Mountains,1410.0
Montes Groulx,1104.0
Monts Groulx,1104.0
Les Monts Groulx,1104.0
Kellerwald,675.3
Kellerwald,675.3
Kellerwald,675.3
Kellerwald,675.3
Kellerwald,675.3
Western Ghats,2695.0
غاتس الغربية,2695.0
Westghats,2695.0
Ghats occidentales,2695.0
Ghats occidentaux,2695.0
Ghati occidentali,2695.0
西ガーツ山脈,2695.0
West-Ghats,2695.0
Ghaty Zachodnie,2695.0
Gates Ocidentais,2695.0
Западные Гаты,2695.0
西高止山脉,2695.0
Bregenz Forest,2134.0
Bregenzerwald,2134.0
Bregenzerwald,2134.0
Bregenzerwald,2134.0
Bregenzerwald,2134.0
Bregenzerwald,2134.0
Bregenzerwald,2134.0
布雷根茨沃尔德,2134.0
Coast Mountains,4019.0
Coast Mountains,4019.0
Montañas Costeras,4019.0
Chaîne Côtière,4019.0
Montagne Costiere,4019.0
Coast Mountains,4019.0
Góry Nadbrzeżne (łańcuch górski),4019.0
Montanhas Costeiras,4019.0
Береговой хребет,4019.0
海岸山脈 (北美),4019.0
Eifel,747.0
إيفيل,747.0
Eifel,747.0
Eifel,747.0
Eifel,747.0
Eifel,747.0
Eifel,747.0
アイフェル,747.0
Eifel,747.0
Eifel,747.0
Айфель,747.0
埃菲尔山,747.0
Gennargentu,1834.0
Gennargentu,1834.0
Gennargentu,1834.0
Gennargentu,1834.0
Massiccio del Gennargentu,1834.0
Monti del Gennargentu,1834.0
真圖山,1834.0
Ore Mountains,1244.0
جبال الخام,1244.0
Erzgebirge,1244.0
Montes Metálicos,1244.0
Monts Métallifères (Europe centrale),1244.0
Monti Metalliferi,1244.0
エルツ山地,1244.0
Ertsgebergte,1244.0
Rudawy,1244.0
Montes Metalíferos,1244.0
Рудные горы,1244.0
厄尔士山脉,1244.0
Spessart,586.0
Spessart,586.0
Spessart,586.0
Spessart,586.0
Spessart,586.0
Spessart (gebergte),586.0
Spessart,586.0
施佩萨尔特,586.0
Torngat Mountains,1652.0
Torngatberge,1652.0
Montes Torngat,1652.0
Monts Torngat,1652.0
トーンガット山脈,1652.0
Torngat (bergketen),1652.0
Torngat,1652.0
Торнгат,1652.0
Ball Range,3311.0
Funeral Mountains,2043.0
Kananaskis Range,3185.0
Chaînon Kananaskis,3185.0
Liverpool Range,1300.0
Liverpool Range,1300.0
Montes Liverpool,1300.0
Ливерпул (хребет),1300.0
Nipesotsu-Maruyama Volcanic Group,2012.9
Groupe volcanique Nipesotsu-Maruyama,2012.9
ニペソツ山,2012.9
Adobe Range,2479.0
Sierra Adobe,2479.0
Hawaiian–Emperor seamount chain,4207.0
Hawaii-Emperor-Kette,4207.0
Cadena de montes submarinos Hawái-Emperador,4207.0
Chaîne sous-marine Hawaï-Empereur,4207.0
Catena sottomarina Hawaii-Emperor,4207.0
天皇海山群,4207.0
Grzbiet Hawajski,4207.0
Hawaï-Emperorketen,4207.0
Гавайский хребет,4207.0
夏威夷-天皇海山链,4207.0
Kitzbühel Alps,2558.0
Kitzbüheler Alpen,2558.0
Alpes de Kitzbühel,2558.0
Alpi di Kitzbühel,2558.0
Kitzbüheler Alpen,2558.0
Alpy Kitzbühelskie,2558.0
Alpes de Kitzbuhel,2558.0
基茨比厄爾阿爾卑斯山脈,2558.0
Pangaion Hills,1956.0
Pangeo,1956.0
Pangeo,1956.0
Pangée (massif),1956.0
Pangeo,1956.0
Pangajon,1956.0
Satpura Range,1350.0
Satpuragebirge,1350.0
Cordillera Satpura,1350.0
Monti Satpura,1350.0
Satpura,1350.0
サトプラ山脈,1350.0
Satpura,1350.0
Сатпура,1350.0
薩特布拉山脈,1350.0
شومافا,1456.0
Bohemian Forest,1456.0
Böhmerwald,1456.0
Selva de Bohemia,1456.0
Forêt de Bohême,1456.0
Selva Boema,1456.0
ベーマーの森,1456.0
Bohemer Woud,1456.0
Szumawa,1456.0
Шумава,1456.0
波希米亚森林,1456.0
French Alps,4810.45
Französische Alpen,4810.45
Alpi francesi,4810.45
Alpes françaises,4810.45
Французские Альпы,4810.45
法國阿爾卑斯山,4810.45
جبال العمور,2008.0
Djebel Amour,2008.0
Amour Range,2008.0
جبال النقب,1037.0
Negev Mountains,1037.0
Bregenz Forest Mountains,2134.0
Bregenzerwaldgebirge,2134.0
Massif du Bregenzerwald,2134.0
Prealpi di Bregenz,2134.0
Bregenzerwaldgebirge,2134.0
Las Bregencki,2134.0
Pré-Alpes de Bregenz,2134.0
布雷根茨森林山脈,2134.0
Cordillera Subbética,2027.0
Cordilheira Subbética,2027.0
Subbaetic System,2027.0
Кордильера-Суббетика,2027.0
薩貝蒂科山脈,2027.0
Sierra de las Tinajas Altas,843.0
Tinajas Altas Mountains,843.0
Dientes de Navarino,1195.0
Dientes de Navarino,1195.0
Monts Otish,1135.0
Montes Otish,1135.0
Monts Otish,1135.0
Otish,1135.0
Отиш (горы),1135.0
Otish Mountains,1135.0
Tyndall Range,1179.0
Tyndall Range,1179.0
Croda da Lago,2715.0
Croda da Lago,2715.0
Croda da Lago,2715.0
Croda da Lago,2715.0
Lukanische Dolomiten,1455.0
Dolomitas lucanos,1455.0
Dolomiti lucane,1455.0
Lucanische Dolomieten,1455.0
Dolomiti lucane,1455.0
蒙特山脈,1123.0
Mare de Déu del Mont,1123.0
Monts Mashike,1491.6
Mashike Mountains,1491.6
Qalorujoorneq,676.0
Qalorujoorneq,676.0
Monts Shokanbetsudake,1491.6
Shokanbetsudake Mountains,1491.6
Sierra Arana,2027.0
Serra Arana,2027.0
阿拉納山脈,2027.0
Sierra Arana,2027.0
Sierra del Tigre,2359.8
Farnham Group,3493.0
Monti Jing,1852.0
荊山 (山脈),1852.0
Jing Mountains,1852.0
保爾斯山脈,1091.6
Serra de Paüls,1091.6
埃斯皮納山脈,1181.6
Serra de l'Espina,1181.6
Sierra de Chiribiquete,800.0
Serranía de Chiribiquete,800.0
Serranía de Chiribiquete,800.0
Sierra de Cuera,1315.0
庫埃拉山脈,1315.0
Sierra de Cuera,1315.0
塔萊斯達爾卡拉山脈,635.0
Talaies d'Alcalà,635.0
Tarcău Mountains,1664.0
Galician Massif,2127.0
Macizo Galaico-Leonés,2127.0
Massif galicien,2127.0
Masyw Galicyjski,2127.0
加利西亞山脈,2127.0
Sierra de Solorio,1366.0
索洛里奧山脈,1366.0
Sierra de Solorio,1366.0
Alaska Range,6190.5
Alaskakette,6190.5
Cordillera de Alaska,6190.5
Chaîne d'Alaska,6190.5
Catena dell'Alaska,6190.5
アラスカ山脈,6190.5
Alaska (góry),6190.5
Alaskagebergte,6190.5
Cordilheira do Alasca,6190.5
Аляскинский хребет,6190.5
阿拉斯加山脈,6190.5
Arrochar Alps,1011.0
Alpy Cowal i Arrochar,1011.0
Bacon Hills,294.0
Montes Baffin,2147.0
Monts Baffin,2147.0
Baffin Mountains,2147.0
Góry Baffina,2147.0
Montes Baffin,2147.0
Горы Баффина,2147.0
Balls (mountain range),2413.0
Čierna hora,1029.0
Montagne Noire (Slovaquie),1029.0
Чьерна-Гора,1029.0
"Black Mountain, Slovakia",1029.0
Chilean Coast Range,3114.0
Cordillera de la Costa,3114.0
Cordillera de la Costa (Pacífico Sur),3114.0
Cordigliera della Costa (Cile),3114.0
Cordillère de la Costa (Andes centrales),3114.0
Kordyliera Nadbrzeżna,3114.0
Cordilheira da Costa do Pacífico Sul,3114.0
Береговая Кордильера,3114.0
智利海岸山脈,3114.0
Diablo Range,1597.0
Diablo Range,1597.0
Chaîne Diablo,1597.0
Diablo Range,1597.0
Montanhas Diablo,1597.0
Iron Mountains (California),665.0
Železné hory,697.0
Góry Żelazne,697.0
Iron Mountains (Czech Republic),697.0
Karen Hills,2623.0
Monts Kii,1914.6
紀伊山地,1914.6
Góry Kii,1914.6
Kii Mountains,1914.6
Little San Bernardino Mountains,1772.0
リトルサンバーナディーノ山脈,1772.0
Mount Royal Range,1586.0
Cadena del Monte Royal,1586.0
Mount Royal Range,1586.0
North Shore Mountains,1788.0
North Shore Mountains,1788.0
Montagnes North Shore,1788.0
Pacific Coast Ranges,5959.0
سلاسل جبال ساحل المحيط الهادئ,5959.0
Liste der Gebirgsketten an der nordamerikanischen Pazifikküste,5959.0
Cadena costera del Pacífico,5959.0
Chaînes côtières du Pacifique,5959.0
Catena Costiera Pacifica,5959.0
Pacific Coast Range,5959.0
Góry Nadbrzeżne,5959.0
Береговые хребты,5959.0
Cadeias montanhosas da costa do Pacífico,5959.0
太平洋海岸山脈,5959.0
Pamir Mountains,7649.0
جبال بامير,7649.0
Pamir (Gebirge),7649.0
Cordillera del Pamir,7649.0
Pamir,7649.0
Pamir,7649.0
パミール高原,7649.0
Pamir,7649.0
Pamir,7649.0
Pamir,7649.0
Памир,7649.0
帕米爾高原,7649.0
Rainbow Range (Rocky Mountains),3954.0
Saint Elias Mountains,5959.0
جبل سينت الياس,5959.0
Eliaskette,5959.0
Montañas San Elías,5959.0
Chaîne Saint-Élie,5959.0
Monti Sant'Elia,5959.0
St. Elias-gebergte,5959.0
セイントイライアス山地,5959.0
Góry Świętego Eliasza,5959.0
Горы Святого Ильи,5959.0
Montanhas de Santo Elias,5959.0
聖埃利亞斯山脈,5959.0
Saline Range,1999.0
Santa Rosa Range,2966.0
Sierra de Santa Rosa,2966.0
Sentinel Range,4892.0
Sentinel Range,4892.0
Cordillera Sentinel,4892.0
Sentinel Range,4892.0
Massif Sentinel,4892.0
森蒂納爾嶺,4892.0
Parque natural de la Sierra Calderona,907.0
Sierra Calderona,907.0
卡爾德羅納山脈,907.0
Serra Calderona,907.0
Serra da Cantareira,1135.0
Serra da Cantareira,1135.0
Serra da Cantareira,1135.0
Serra da Cantareira,1135.0
Serra da Estrela,1993.0
Serra da Estrela,1993.0
Sierra de la Estrella,1993.0
Serra da Estrela,1993.0
Serra da Estrela,1993.0
Serra da Estrela,1993.0
エストレーラ山脈,1993.0
Serra da Estrela,1993.0
Serra da Estrela,1993.0
Серра-да-Эштрела (горный хребет),1993.0
埃什特雷拉山脈,1993.0
Serra de Monchique,902.0
Sierra de Monchique,902.0
Serra de Monchique,902.0
Serra de Monchique,902.0
Serra de Monchique,902.0
Serra de Monchique,902.0
Серра-ди-Моншики,902.0
聖佩雷山脈,541.0
Serra de Sant Pere,541.0
瓦利瓦納山脈,1275.0
Serra de Vallivana,1275.0
埃斯帕迪利亞山脈,968.0
Serra de l'Espadella,968.0
Sierra Madre Mountains (California),1783.0
Sierra Madre Mountains,1783.0
Sierra Madre Mountains,1783.0
Sierra Madre (Kalifornia),1783.0
Sierra Madre Oriental,3700.0
Sierra Madre Oriental,3700.0
Sierra Madre Oriental,3700.0
Sierra Madre orientale,3700.0
Sierra Madre Orientale,3700.0
Oostelijke Sierra Madre,3700.0
Sierra Madre Wschodnia,3700.0
Sierra Madre Oriental,3700.0
Восточная Сьерра-Мадре,3700.0
東馬德雷山脈,3700.0
Sierra Madre Range (Wyoming),3354.0
Sierra Madre de Chiapas,4220.0
Sierra Madre de Chiapas,4220.0
Sierra Madre de Chiapas,4220.0
Sierra Madre de Chiapas,4220.0
Sierra Madre de Chiapas,4220.0
Sierra Madre van Chiapas,4220.0
Sierra Madre de Chiapas,4220.0
Сьерра-Мадре-де-Чьяпас,4220.0
恰帕斯马德雷山脉,4220.0
Sierra Madre del Sur,3703.0
Sierra Madre del Sur,3703.0
Sierra Madre del Sur,3703.0
Sierra Madre del Sur,3703.0
Sierra Madre del Sud,3703.0
Zuidelijke Sierra Madre,3703.0
Sierra Madre Południowa,3703.0
Serra Madre do Sul,3703.0
Южная Сьерра-Мадре,3703.0
South Downs,271.0
South Downs,271.0
South Downs,271.0
South Downs,271.0
South Downs,271.0
South Downs,271.0
Саут-Даунс,271.0
Stokes Range,412.0
Tank Mountains,735.0
Tenasserim Hills,2187.0
Tenasserim-Gebirge,2187.0
Montes Tenasserim,2187.0
Chaîne Tenasserim,2187.0
Monti del Tenasserim,2187.0
Montes Tenasserim,2187.0
他念他翁山,2187.0
Ōu Mountains,2038.0
Ōu-Gebirge,2038.0
Monts Ōu,2038.0
奥羽山脈,2038.0
Góry Ōu,2038.0
Оу,2038.0
奧羽山脈,2038.0
جبال أنايمالاي,2695.0
Anaimalai Hills,2695.0
Anaimalai,2695.0
Анаймалай (хребет),2695.0
阿奈馬萊丘陵,2695.0
Beaverfoot Range,2722.0
Executive Committee Range,4285.0
Executive Committee Range,4285.0
Executive Committee Range,4285.0
Эгзекьютив-Коммитти,4285.0
執委山脈,4285.0
Făgăraș Mountains,2544.0
Făgăraș-Gebirge,2544.0
Monts Făgăraș,2544.0
Monti Făgăraș,2544.0
Făgărașgebergte,2544.0
Góry Fogaraskie,2544.0
Фэгэраш (горный массив),2544.0
弗格拉什山脈,2544.0
Goda Mountains,1780.0
Goda-Massiv,1780.0
Monts Goda,1780.0
Großer Kaukasus,5642.0
Greater Caucasus,5642.0
Gran Cáucaso,5642.0
Grand Caucase,5642.0
Gran Caucaso,5642.0
Grote Kaukasus,5642.0
大コーカサス山脈,5642.0
Wielki Kaukaz,5642.0
Большой Кавказ,5642.0
Grande Cáucaso,5642.0
大高加索山脈,5642.0
Holzberg,444.5
Holzberg (Höhenzug),444.5
Jemez Mountains,3524.0
Sierra de Jémez,3524.0
Rimutaka Range,940.0
Rimutaka Range,940.0
Montes Rimutaka,940.0
Rimutaka,940.0
Montes Rimutaka,940.0
Silvermine Mountains,694.0
Montañas Silvermines,694.0
Monti Silvermine,694.0
Tibesti Mountains,3445.0
جبال تيبستي,3445.0
Tibesti,3445.0
Tibesti,3445.0
Massif du Tibesti,3445.0
Tibesti,3445.0
ティベスティ山地,3445.0
Tibestigebergte,3445.0
Tibesti,3445.0
Tibesti,3445.0
Тибести,3445.0
提贝斯提高原,3445.0
Altun,6245.0
Altyn-Tagh,6245.0
Altyn-Tagh,6245.0
Altyn-Tagh,6245.0
Altyn-Tagh,6245.0
アルチン山脈,6245.0
Altyn Tagh,6245.0
Ałtyn-Tag,6245.0
Алтынтаг,6245.0
Altyn-Tagh,6245.0
阿尔金山脉,6245.0
Big Valley Mountains,1928.0
Bloody Run Hills,2087.0
Cardamom Mountains,1813.0
Chuor Phnom Krâvanh,1813.0
Montes Cardamomos,1813.0
Monti Cardamomi,1813.0
Chaîne des Cardamomes,1813.0
Góry Kardamonowe,1813.0
Montanhas Cardamomo,1813.0
Кравань,1813.0
豆蔻山脉,1813.0
Cordillera de Vilcanota,6384.0
Cordillère de Vilcanota,6384.0
Cordillera de Vilcanota,6384.0
Cordilheira Vilcanota,6384.0
Кордильера-де-Вильканота,6384.0
韋爾卡努塔山脈,6384.0
Cordillera Vilcanota,6384.0
Dunnigan Hills,87.0
Long Range Mountains,814.0
Long Range Mountains,814.0
Monts Long Range,814.0
ロングレンジ山脈,814.0
Long Range (bergketen),814.0
Лонг-Рейндж,814.0
Mont Pilat,1432.0
Pilat,1432.0
Mont Pilat,1432.0
Piute Mountains,964.0
Piute Mountains,964.0
Randen (Gebirge),930.0
Randen (mountain range),930.0
Slowakisches Erzgebirge,1476.0
Slovak Ore Mountains,1476.0
Monts Métallifères slovaques,1476.0
Monti Metalliferi Slovacchi,1476.0
Rudawy Słowackie,1476.0
Slowaaks Ertsgebergte,1476.0
Словацкие Рудные горы,1476.0
Cactus Range,2300.0
Pala (Dolomiten),3192.0
Grupo Pala,3192.0
Pale di San Martino,3192.0
Pala group,3192.0
Escambray Mountains,960.0
Escambray,960.0
Escambray,960.0
Escambray,960.0
Sierra del Escambray,960.0
Escambray,960.0
Эскамбрай,960.0
Marrah Mountains,3042.0
جبل مرة,3042.0
Marra,3042.0
Djebel Marra,3042.0
Jebel Marra,3042.0
Jebel Marra,3042.0
Dżabal Marra,3042.0
Jebel Marra,3042.0
Марра,3042.0
馬拉山脈,3042.0
United States Range,1860.0
United States Range,1860.0
Cordillera de los Estados Unidos,1860.0
Chaîne United States,1860.0
Чатыр-Тау,321.7
Chatyr-Tau,321.7
Hessisches Kegelspiel,629.9
Hessian Skittles,629.9
Kakschaaltoo,7439.0
Kakszaał,7439.0
Какшаал-Тоо,7439.0
Kakshaal Too,7439.0
Kungej-Alatau,4771.0
Monti Küngöy Ala,4771.0
Küngej Ałatau,4771.0
Кюнгёй-Ала-Тоо,4771.0
Küngöy Ala-Too Range,4771.0
Sheeffry Hills,772.0
Monti Aurunci,1533.0
Montes Auruncos,1533.0
Aurunci Mountains,1533.0
Monti Aurunci,1533.0
Monts Aurunces,1533.0
Monti Aurunci,1533.0
Baikalgebirge,2572.0
Montes Baikal,2572.0
Baikal Mountains,2572.0
Monts Baïkal,2572.0
Monti del Bajkal,2572.0
バイカル山脈,2572.0
Baikalgebergte,2572.0
Góry Bajkalskie,2572.0
Montanhas Baikal,2572.0
Байкальский хребет,2572.0
貝加爾山脈,2572.0
Basque Mountains,1551.0
Montes vascos,1551.0
Montagnes basques,1551.0
バスク山脈,1551.0
Góry Baskijskie,1551.0
Montes Bascos,1551.0
Баскские горы,1551.0
巴斯克山脈,1551.0
Bow Range,3543.0
Chaînon Bow,3543.0
Bow Range,3543.0
Crowsnest Range,2812.0
Egan Range,2709.0
High Rock Range,3218.0
Hot Creek Range,3123.0
Kleine Karpaten,768.0
Pequeños Cárpatos,768.0
Little Carpathians,768.0
Piccoli Carpazi,768.0
Kleine Karpaten,768.0
Małe Karpaty,768.0
Малые Карпаты,768.0
小喀爾巴阡山脈,768.0
South Jasper Ranges,3363.0
Arctic Cordillera,2616.0
Arktische Kordillere,2616.0
