http://dbpedia.org/ontology/TableTennisPlayer,http://dbpedia.org/ontology/height
Shaimaa Abdul-Aziz,1.6
Tara Profitt,0.0
Anthony Amalraj,1.6
Lin Ye,1.65
Kenta Matsudaira,1.69
Kenta Matsudaira,1.69
松平健太,1.69
Kenta Matsudaira,1.69
Kenta Matsudaira,1.69
Kenta Matsudaira,1.69
松平健太,1.69
Peter Karlsson (table tennis),1.89
Peter Karlsson (Tischtennisspieler),1.89
Peter Karlsson (pongiste),1.89
Peter Karlsson,1.89
ペーテル・カールソン,1.89
Peter Karlsson,1.89
Peter Karlsson (tenisista stołowy),1.89
Peter Karlsson,1.89
彼得·卡尔松,1.89
ノシャド・アラミヤン,1.7
Noshad Alamian,1.7
Andrew Baggaley,1.8
Christophe Legoût,1.77
Christophe Legoût,1.77
クリストフ・ルグー,1.77
Christophe Legoût,1.77
Christophe Legoût,1.77
Christophe Legoût,1.77
Sara Ramírez (tenista de mesa),1.63
Sara Ramírez (table tennis),1.63
Wilson Zhang,1.63
زينة شعبان,1.74
Zaina Schaban,1.74
ゼイナ・シャバン,1.74
"Шабан, Зейна",1.74
Zeina Shaban,1.74
Adriana Diaz (table tennis),1.6
Slobodan Grujić,1.79
Slobodan Grujić,1.79
Slobodan Grujić,1.79
Zhou Yu (Tischtennisspieler),1.77
周雨,1.77
Zhou Yu (table tennis),1.77
دينغ نينغ,1.71
Ding Ning,1.71
Ding Ning,1.71
Ding Ning,1.71
Ding Ning,1.71
丁寧 (卓球選手),1.71
Ding Ning,1.71
Ding Ning,1.71
Ding Ning,1.71
Дин Нин,1.71
丁宁,1.71
Ding Ning,1.71
لي شياو شيا,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
李暁霞,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
Li Xiaoxia,1.74
Ли Сяося,1.74
李晓霞,1.74
لي شيون,1.61
Liu Shiwen,1.61
Liu Shiwen,1.61
Liu Shiwen,1.61
劉詩ブン,1.61
Liu Shiwen,1.61
Liu Shiwen,1.61
劉詩雯,1.61
Liu Shiwen,1.61
Dmitri Wjatscheslawowitsch Masunow,1.65
ドミトリ・マズノフ,1.65
Dmitri Mazoenov,1.65
"Мазунов, Дмитрий Вячеславович",1.65
Dmitry Mazunov,1.65
Iizzwa Medina,1.62
Eugene Wang,1.74
Kim Song-i,1.61
Kim Song-i,1.61
Kim Song-i,1.61
キム・ソンイ,1.61
金松怡,1.61
Kim Song-i,1.61
Christian Süß,1.86
Christian Süss,1.86
Christian Süß,1.86
クリスティアン・ズース,1.86
Christian Süß,1.86
Christian Süß,1.86
Christian Süß,1.86
Christian Süß,1.86
克里斯蒂安·苏斯,1.86
Feng Tianwei,1.64
Feng Tianwei,1.64
Feng Tianwei,1.64
馮天薇,1.64
Feng Tian Wei,1.64
Feng Tianwei,1.64
Feng Tianwei,1.64
Фэн Тяньвэй,1.64
Feng Tianwei,1.64
冯天薇,1.64
Kelly Sibley,1.72
Natalia Partyka,1.73
Natalia Partyka,1.73
Natalia Partyka,1.73
ナタリア・パルティカ,1.73
Natalia Partyka,1.73
Natalia Partyka,1.73
Natalia Partyka,1.73
"Партыка, Наталья",1.73
娜達莉雅·柏迪卡,1.73
Wang Yuegu,1.55
Wang Yuegu,1.55
Wang Yuegu,1.55
王越古,1.55
Wang Yue Gu,1.55
Wang Yuegu,1.55
Ван Юэгу,1.55
Wang Yuegu,1.55
Wang Yuegu,1.55
王越古,1.55
السيد لاشين,1.76
El-sayed Lashin,1.76
Cem Zeng,1.7
Vladislavs Agurjanovs,1.86
Wu Yang,1.72
武杨,1.72
Wu Yang,1.72
Doo Hoi Kem,1.65
Doo Hoi Kem,1.65
杜凱琹,1.65
Doo Hoi Kem,1.65
Liam Pitchford,1.82
Liam Pitchford,1.82
Liam Pitchford,1.82
Suthasini Sawettabut,1.67
Suthasini Sawettabut,1.67
Wong Chun Ting,1.7
Wong Chun Ting,1.7
黃鎮廷,1.7
Wong Chun Ting,1.7
デクスター・セントルイス,1.82
Dexter St. Louis,1.82
Victorine Agum Fomum,1.5
杨芬,1.7
Yang Fen,1.7
Đoàn Kiến Quốc,1.65
Adrian Crișan,1.85
Adrian Crișan,1.85
アドリアン・クリシャン,1.85
Adrian Crișan,1.85
Adrian Crişan,1.85
Adrian Crișan,1.85
"Кришан, Адриан",1.85
Guo Yue,1.61
Guo Yue (table tennis),1.61
Guo Yue,1.61
Guo Yue,1.61
Guo Yue,1.61
郭躍,1.61
Guo Yue,1.61
Guo Yue,1.61
Guo Yue,1.61
Го Юэ,1.61
郭跃,1.61
Hunor Szőcs,1.7
Hyun Jung-hwa,1.66
Hyun Jung-hwa,1.66
Hyun Jung-hwa,1.66
Hyun Jung-hwa,1.66
Hyun Jung-hwa,1.66
Hyun Jung-Hwa,1.66
Хён Джон Хва,1.66
Hyun Jung-hwa,1.66
Li Jiao,1.67
Li Jiao,1.67
リー・ジャオ,1.67
Li Jiao,1.67
Li Jiao (table tennis),1.67
Li Jiao,1.67
Ли Цзяо,1.67
李佼,1.67
ما لونغ,1.75
Ma Long,1.75
Ma Long,1.75
Ma Long,1.75
Ma Long,1.75
馬龍,1.75
Ma Long,1.75
Ma Long,1.75
Ma Long,1.75
Ма Лун,1.75
马龙 (乒乓球运动员),1.75
Ma Long (table tennis),1.75
Oh Sang-eun,1.86
Oh Sang-Eun,1.86
Oh Sang-eun,1.86
Oh Sang-eun,1.86
呉尚垠,1.86
Oh Sang-eun,1.86
Oh Sang-eun,1.86
Oh Sang-eun,1.86
Oh Sang-Eun,1.86
吳尚垠,1.86
Park Mi-young,1.61
朴美英,1.61
Park Mi-young,1.61
Park Mi-young,1.61
Park Mi-Young,1.61
Park Mi-young,1.61
朴美英,1.61
ريو سونج مين,1.78
Ryu Seung-min,1.78
Ryu Seung-min,1.78
Ryu Seung Min,1.78
Ryu Seung-min,1.78
Ryu Seung-min,1.78
柳承敏,1.78
Ryu Seung-min,1.78
Ryu Seung-min,1.78
Ryu Seung-Min,1.78
柳承敏,1.78
Ю Сын Мин,1.78
Yang Ha-eun,1.7
Yang Ha-eun,1.7
梁夏銀,1.7
Yang Ha-eun,1.7
Yang Zi,1.83
Yang Zi (table tennis),1.83
Yang Zi,1.83
杨子 (乒乓球运动员),1.83
Chuang Chih-Yuan,1.69
Chuan Chih-yuan,1.69
荘智淵,1.69
Chuang Chih-yuan,1.69
Chuang Chih-yuan,1.69
莊智淵,1.69
Jian Fang Lay,1.63
Pär Gerell,1.73
Pär Gerell,1.73
Pär Gerell,1.73
Skylet Andrew,1.8288
Sky Andrew,1.8288
Cai Zhenhua,1.76
蔡振华,1.76
Cai Zhenhua,1.76
Tiago Apolónia,1.85
Tiago Apolónia,1.85
ティアゴ・アポローニャ,1.85
Tiago Apolónia,1.85
Tiago Apolónia,1.85
"Аполония, Тьягу",1.85
蒂亞哥·阿波羅尼亞,1.85
Tiago Apolónia,1.85
Ai Fukuhara,1.55
Ai Fukuhara,1.55
Ai Fukuhara,1.55
Ai Fukuhara,1.55
Ai Fukuhara,1.55
福原愛,1.55
Ai Fukuhara,1.55
Ai Fukuhara,1.55
Ai Fukuhara,1.55
福原爱,1.55
Li Jia Wei,1.73
Li Jiawei,1.73
Li Jiawei,1.73
Li Jiawei,1.73
Li Jiawei,1.73
リ・ジャウェイ,1.73
Li Jia Wei,1.73
Li Jiawei,1.73
Li Jiawei,1.73
Ли Цзявэй,1.73
李佳薇 (乒乓球运动员),1.73
Dang Ye-seo,1.58
Dang Ye-seo,1.58
唐イェ序,1.58
Dang Ye-seo,1.58
Dang Ye-seo,1.58
Dang Ye-Seo,1.58
Dang Ye-seo,1.58
Тан Йе Со,1.58
唐汭序,1.58
Kyle Davis (table tennis),1.78
Li Ching (Tischtennisspieler),1.66
Li Ching (table tennis),1.66
Li Ching,1.66
Li Ching,1.66
Li Ching,1.66
李靜 (乒乓球運動員),1.66
Zoran Primorac,1.86
Zoran Primorac,1.86
Zoran Primorac,1.86
Zoran Primorac,1.86
ゾラン・プリモラッツ,1.86
Zoran Primorac,1.86
Zoran Primorac,1.86
"Приморац, Зоран",1.86
Zoran Primorac,1.86
佐兰·普里莫拉茨,1.86
He Zhiwen,1.73
He Zhiwen,1.73
He Zhi Wen,1.73
He Zhiwen,1.73
He Zhiwen,1.73
He Zhi Wen,1.73
Хэ Чживэнь,1.73
何志文 (乒乓球运动员),1.73
Zhang Xueling,1.63
张雪玲,1.63
Joo Se-hyuk,1.8
Joo Sae-hyuk,1.8
Joo Se-Hyuk,1.8
Joo Se-hyuk,1.8
Joo Se-hyuk,1.8
朱世赫,1.8
Joo Se-hyuk,1.8
Joo Se-hyuk,1.8
Joo Se-Hyuk,1.8
Чу Се Хёк,1.8
朱世爀,1.8
Mouma Das,1.49
Adrien Mattenet,1.87
Adrien Mattenet,1.87
アドリアン・マテネ,1.87
Adrien Mattenet,1.87
"Маттене, Адрьен",1.87
Adrien Mattenet,1.87
Tin-Tin Ho,1.55
Richard Gonzales (table tennis),1.73
Zhou Yihan,1.68
Mariano Lukov,1.78
Pierre-Luc Thériault,1.75
Afshin Norouzi,1.79
Afshin Norouzi,1.79
Chiang Peng-Lung,1.84
蒋澎龍,1.84
Chiang Peng-lung,1.84
Chiang Peng-lung,1.84
蔣澎龍,1.84
Wei Yan Tao,1.71
Kristin Silbereisen,1.68
クリスティン・シルベライセン,1.68
Kristin Silbereisen,1.68
Marcos Freitas,1.82
Marcos Freitas,1.82
マルコス・フレイタス,1.82
Marcos Freitas,1.82
Marcos Freitas,1.82
"Фрейташ, Маркуш",1.82
馬科斯·弗雷塔斯,1.82
Marcos Freitas,1.82
Patrick Baum (Tischtennisspieler),1.82
Patrick Baum,1.82
パトリック・バウム,1.82
Patrick Baum,1.82
帕特里克·鲍姆,1.82
Patrick Baum (table tennis),1.82
Seiya Kishikawa,1.68
Seiya Kishikawa,1.68
岸川聖也,1.68
Seiya Kishikawa,1.68
Seiya Kishikawa,1.68
岸川聖也,1.68
Seiya Kishikawa,1.68
ケリー・ファン・ゾン,1.53
Kelly van Zon,1.53
Kelly van Zon,1.53
Nikoleta Stefanova,1.7
Nikoleta Stefanova,1.7
Nikoleta Stefanova,1.7
Nikoleta Stefanova,1.7
Nikoleta Stefanova,1.7
Robert Gardos,1.78
Robert Gardos,1.78
ロベルト・ガルドシュ,1.78
Robert Gardos,1.78
Robert Gardos,1.78
Sayaka Hirano,1.58
Sayaka Hirano,1.58
Sayaka Hirano,1.58
Sayaka Hirano,1.58
平野早矢香,1.58
Sayaka Hirano,1.58
Sayaka Hirano,1.58
Sayaka Hirano,1.58
Sayaka Hirano,1.58
平野早矢香,1.58
Uladsimir Samsonau,1.89
Vladimir Samsonov,1.89
Vladimir Samsonov,1.89
Uladzimir Samsonaŭ,1.89
ブラディミル・サムソノフ,1.89
Vladimir Samsonov,1.89
Uładzimir Samsonau,1.89
Vladimir Samsonov,1.89
Vladimir Samsonov,1.89
"Самсонов, Владимир Викторович (спортсмен)",1.89
弗拉基米尔·维克托罗维奇·萨姆索诺夫,1.89
Turgut Polat,1.65
Jun Mizutani,1.72
Jun Mizutani,1.72
Jun Mizutani,1.72
水谷隼,1.72
Jun Mizutani,1.72
Jun Mizutani,1.72
Jun Mizutani,1.72
"Мидзутани, Дзюн",1.72
水谷隼,1.72
Jun Mizutani,1.72
Krisztina Tóth (Tischtennisspielerin),1.64
Krisztina Tóth,1.64
Krisztina Tóth,1.64
Krisztina Tóth,1.64
Krisztina Tóth (tenisistka stołowa),1.64
"Тот, Кристина",1.64
Krisztina Tóth,1.64
Wang Liqin,1.85
Wang Liqin,1.85
Wang Liqin,1.85
Wang Liqin,1.85
Wang Liqin,1.85
王励勤,1.85
Wang Liqin,1.85
Wang Liqin,1.85
Wang Liqin,1.85
Ван Лицинь,1.85
王励勤,1.85
Sharath Kamal,1.87
A. Sharath Kamal,1.87
Sharath Kamal,1.87
Wu Jiaduo,1.65
Wu Jiaduo,1.65
Wu Jiaduo,1.65
Wu Jiaduo,1.65
Wu Jiaduo,1.65
吴佳多,1.65
Kalinikos Kreanga,1.68
Kalínikos Kreánga,1.68
Kalinikos Kreanga,1.68
カリニコス・クレアンガ,1.68
Kalinikos Kreanga,1.68
Kalinikos Kreannga,1.68
"Креанга, Калиникос",1.68
Kalinikos Kreanga,1.68
卡里尼科斯·格林卡,1.68
Biljana Golić,1.7
Tan Ruiwu,1.64
Ruiwu Tan,1.64
Tan Ruiwu,1.64
Tan Ruiwu,1.64
桑亞嬋,1.6
Song Ah Sim,1.6
Neha Aggarwal,1.7
تيمو بول,1.81
Timo Boll,1.81
Timo Boll,1.81
Timo Boll,1.81
Timo Boll,1.81
Timo Boll,1.81
ティモ・ボル,1.81
Timo Boll,1.81
Timo Boll,1.81
Timo Boll,1.81
"Болль, Тимо",1.81
蒂莫·波尔,1.81
Melek Hu,1.65
フー・メレク,1.65
"Ху, Мелек",1.65
侯美玲,1.65
Melek Hu,1.65
Murat Eriş,1.72
Meral Yıldız Ali,1.74
Sam Walker (table tennis),1.83
Xu Xin,1.81
Xu Xin,1.81
許キン,1.81
Xu Xin,1.81
Xu Xin,1.81
Сюй Синь,1.81
许昕,1.81
Xu Xin (table tennis),1.81
تشانغ يى نينغ,1.68
Zhang Yining,1.68
Zhang Yining,1.68
Zhang Yining,1.68
Zhang Yining,1.68
Zhang Yining,1.68
張怡寧,1.68
Zhang Yining,1.68
Zhang Yining,1.68
Zhang Yining,1.68
Чжан Инин,1.68
张怡宁,1.68
Dimitrij Ovtcharov,1.86
Dimitrij Ovtcharov,1.86
Dimitrij Ovtcharov,1.86
Dimitrij Ovtcharov,1.86
ドミトリ・オフチャロフ,1.86
Dimitrij Ovtcharov,1.86
Dimitrij Ovtcharov,1.86
Dimitrij Ovtcharov,1.86
"Овчаров, Дмитрий Михайлович",1.86
Dimitrij Ovtcharov,1.86
迪米特里·奥恰洛夫,1.86
Kim Kyung-ah,1.65
Kim Kyung-ah,1.65
Kim Kyungah,1.65
金キョン娥,1.65
Kim Kyung-ah,1.65
Kim Kyung-ah,1.65
Kim Kyung-Ah,1.65
金暻娥,1.65
Zhang Jike,1.78
Zhang Jike,1.78
Zhang Jike,1.78
Zhang Jike,1.78
張継科,1.78
Zhang Jike,1.78
Zhang Jike,1.78
Zhang Jike,1.78
Чжан Цзикэ,1.78
张继科,1.78
Zhang Jike,1.78
Zhenqi Barthel,1.64
Zhenqi Barthel,1.64
孫禎琦,1.64
Zhenqi Barthel,1.64
Daniela Dodean,1.7
Daniela Dodean,1.7
ダニエラ・ドデアン,1.7
Daniela Dodean,1.7
Daniela Dodean,1.7
Daniela Dodean,1.7
Elizabeta Samara,1.71
Elizabeta Samara,1.71
エリザベタ・サマラ,1.71
Elizabeta Samara,1.71
Elizabeta Samara,1.71
Elizabeta Samara,1.71
Gao Jun,1.69
Gao Jun,1.69
Gao Jun,1.69
Gao Jun,1.69
Gao Jun,1.69
高军 (乒乓球运动员),1.69
Gao Ning,1.79
Gao Ning,1.79
Gao Ning,1.79
Gao Ning,1.79
Gao Ning,1.79
高宁,1.79
Georgina Póta,1.7
Georgina Póta,1.7
ゲオルギナ・ポータ,1.7
Georgina Pota,1.7
Georgina Póta,1.7
Georgina Póta,1.7
喬吉娜·波塔,1.7
Haruna Fukuoka,1.56
福岡春菜,1.56
Haruna Fukuoka,1.56
Liu Jia,1.6
Liu Jia,1.6
リュウ・ジャ,1.6
Liu Jia,1.6
Liu Jia,1.6
Liu Jia,1.6
Liu Jia,1.6
劉佳 (乒乓球運動員),1.6
Nanthana Komwong,1.59
Nanthana Komwong,1.59
四元奈生美,1.5
Naomi Yotsumoto,1.5
Naomi Yotsumoto,1.5
Ni Xialian,1.57
Ni Xia Lian,1.57
Ni Xialian,1.57
Ni Xialian,1.57
Ni Xialian,1.57
Ни Сялянь,1.57
倪夏莲,1.57
Petra Lovas,1.58
Petra Lovas,1.58
Shen Yanfei,1.62
Shen Yanfei,1.62
Shen Yanfei,1.62
Shen Yanfei,1.62
沈燕飞,1.62
Weranika Paulowitsch,1.76
ベロニカ・パブロビッチ,1.76
Weronika Pawłowicz,1.76
Veronika Pavlovich,1.76
Wiktoryja Paulowitsch,1.76
Viktoria Pavlovich,1.76
ビクトリア・パブロビッチ,1.76
Viktoria Pavlovitsj,1.76
Wiktoria Pawłowicz,1.76
"Павлович, Виктория Владимировна",1.76
Viktoria Pavlovich,1.76
维多利亚·帕夫洛维奇,1.76
Lau Sui Fei,1.62
柳絮飛,1.62
Lau Sui Fei,1.62
Damien Éloi,1.65
Damien Éloi,1.65
Damien Eloi,1.65
ダミアン・エロワ,1.65
Damien Éloi,1.65
达米安·埃洛瓦,1.65
Damien Éloi,1.65
Alexander Igorewitsch Schibajew,1.92
"Шибаев, Александр Игоревич",1.92
Alexander Shibaev (table tennis),1.92
Chen Meng,1.66
Chen Meng,1.66
陈梦,1.66
Chen Meng,1.66
Jung Young-sik,1.82
鄭榮植,1.82
Jung Young-sik,1.82
János Jakab,1.79
János Jakab,1.79
János Jakab,1.79
Kou Lei,1.77
Коу Лей,1.77
Kou Lei,1.77
Lin Ju,1.73
Ju Lin,1.73
Lin Ju,1.73
Lin Ju,1.73
Lin Ju,1.73
Thelma Thall,1.6764
Thelma Thall,1.6764
Yo Kan,1.81
韓陽,1.81
Yo Kan,1.81
Yo Kan,1.81
Wang Mengli,1.65
Brian Afanador,1.75
Ian Lariba,1.62
Ian Lariba,1.62
Manika Batra,1.8
