http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/areaLand
Bintan Island,2.40228e+09
بنتان (جزيرة),2.40228e+09
Bintan,2.40228e+09
Bintan,2.40228e+09
Bintan,2.40228e+09
Bintan,2.40228e+09
ビンタン島,2.40228e+09
Bintan,2.40228e+09
Bintan,2.40228e+09
Bintão,2.40228e+09
Бинтан,2.40228e+09
民丹島,2.40228e+09
Galiano Island,6.015e+07
Galiano Island,6.015e+07
Isla Galiano,6.015e+07
Île Galiano,6.015e+07
Umnak,1.77676e+09
Umnak,1.77676e+09
Isla Umnak,1.77676e+09
Umnak,1.77676e+09
Umnak,1.77676e+09
ウムナック島,1.77676e+09
Umnak,1.77676e+09
Умнак,1.77676e+09
Ilha Umnak,1.77676e+09
烏姆納克島,1.77676e+09
Flagler Monument Island,18129.9
Sugar Island 37A,410000.0
Grande-Île (Quebec),5.68e+06
"Grande-Île, Quebec",5.68e+06
Grande Île (Québec),5.68e+06
Pingelap,1.8e+06
Pingelap,1.8e+06
Pingelap,1.8e+06
Pingelap,1.8e+06
Pingelap,1.8e+06
Pingelap,1.8e+06
平格拉普環礁,1.8e+06
Folly Island,3.18e+07
Folly Island,3.18e+07
Folly Island,3.18569e+07
Folly Island,3.18569e+07
Cockburn Island (Huronsee),1.7104e+08
Cockburn Island (Ontario),1.7104e+08
Cockburn Island,1.7104e+08
Steamboat Island,25899.9
Cousins Island,2.7e+06
Cousins Island (Maine),2.7e+06
Isla Nijhum Dwip,3.865e+07
Nijhum Dwip,3.865e+07
Saltspring Island,1.827e+08
Saltspring Island,1.827e+08
Isla Saltspring,1.827e+08
Île Saltspring,1.827e+08
ソルトスプリング島,1.827e+08
鹽泉島,1.827e+08
Isla Bastimentos,6.22e+07
Bastimentos,6.22e+07
Bastimentos,6.22e+07
巴斯蒂門多斯島,6.22e+07
Bastimentos Island,6.22e+07
"Littlejohn Island, Maine",900000.0
