http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/width
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
Renault 7,1.525
دبابة مارك الخامسة,3.6576
Mark V (Panzer),3.6576
Tanque Mark V,3.6576
Mark V tank,3.6576
Mark V (char),3.6576
Mark V,3.6576
Mark V,3.6576
Mark V,3.6576
Jaguar XK-SS,1.66
Jaguar XKSS,1.66
Jaguar XKSS,1.66
Jaguar XKSS,1.66
Jaguar XKSS,1.66
ジャガー・XKSS,1.66
Jaguar XKSS,1.66
BRDM-2 (EST),2.75
Fiat Panorama,1.545
Fiat Panorama,1.545
Fiat 147 Panorama,1.545
Fiat Panorama,1.545
Fiat Panorama,1.545
Lexus NX,1.86944
Lexus NX,1.86944
Lexus NX,1.86944
レクサス・NX,1.86944
Lexus NX,1.86944
Lexus NX,1.86944
Lexus NX,1.86944
Vehículo Ligero de Asalto,2.11
Light Strike Vehicle,2.11
Light Strike Vehicle,2.11
LSV (戦闘車両),2.11
Simca Alvorada,1.75
Simca Alvorada,1.75
Simca Alvorada,1.75
BMW 5 Series (E34),1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
BMW E34,1.751
Mercedes-Benz 450SEL 6.9,1.87
Mercedes-Benz 450 SEL 6.9,1.87
Mercedes-Benz 450SEL 6.9,1.87
Mercedes-Benz 450SEL 6.9,1.87
Fiat Regata,1.651
Fiat Regata,1.651
Fiat Regata,1.651
Fiat Regata,1.651
Fiat Regata,1.651
Fiat Regata,1.651
フィアット・レガータ,1.651
Fiat Regata,1.651
Fiat Regata,1.651
Fiat Regata,1.651
Merkur Scorpio,1.7653
رانا,1.684
Runna,1.684
Runna,1.684
IKCO Runna,1.684
ホンダ・ヴェゼル,1.77
Honda Vezel,1.77
Honda Vezel,1.77
Honda Vezel,1.77
Irisbus Récréo,2.5
Irisbus Récréo,2.5
Karosa Récréo,2.5
Karosa Récréo,2.5
Racetrack Playa,2000.0
Racetrack Playa,2000.0
Racetrack Playa,2000.0
Racetrack Playa,2000.0
Racetrack Playa,2000.0
Рейстрек-Плайя,2000.0
Toyota Sprinter Marino,1.695
トヨタ・スプリンターマリノ,1.695
Toyota Sprinter Marino,1.695
Toyota Sprinter Marino,1.695
مرسيدس بنز دبليو 222,1.899
Mercedes-Benz Baureihe 222,1.899
Mercedes-Benz W222,1.899
メルセデス・ベンツ・W222,1.899
Mercedes-Benz W222,1.899
Mercedes-Benz S-Класс (W222),1.899
Mercedes-Benz S-Class (W222),1.899
AC Greyhound,1.6637
AC Greyhound,1.6637
AC Greyhound,1.6637
Pandur II,2.67
Pandur II,2.67
Pandur II,2.67
パンデュールII,2.67
Pandur II,2.67
Pandur II,2.67
潘德2型裝甲車,2.67
رينو كويد,1.579
Renault Kwid,1.579
Renault Kwid,1.579
Renault Kwid,1.579
Renault Kwid,1.579
Renault Kwid,1.579
هيونداي فيراكروز,1.95
Hyundai ix55,1.95
Hyundai Veracruz,1.95
Hyundai Veracruz,1.95
Hyundai iX55,1.95
Hyundai Veracruz,1.95
ヒュンダイ・ベラクルーズ,1.95
Hyundai ix55,1.95
Hyundai ix55,1.95
Hyundai Veracruz,1.95
Hyundai ix55,1.95
بيجو 3008,1.837
Peugeot 3008,1.837
Peugeot 3008,1.837
Peugeot 3008 I,1.837
Peugeot 3008,1.837
プジョー・3008,1.837
Peugeot 3008,1.837
Peugeot 3008,1.837
Peugeot 3008,1.837
Peugeot 3008,1.837
Peugeot 3008,1.837
标致3008,1.837
بي إم دبليو اكس 5 (اي 53),1.87198
BMW X5 (E53),1.87198
BMW E53,1.87198
BMW E53,1.87198
BMW E53,1.87198
BMW E53,1.87198
BMW E53,1.87198
BMW X5 (E53),1.87198
Mitsubishi Concept X,1.81
Mitsubishi Lancer Evolution X,1.81
Mitsubishi Lancer Evolution X,1.81
RM-70,2.5
RM-70 multiple rocket launcher,2.5
RM-70,2.5
RM-70,2.5
RM-70,2.5
RM-70,2.5
Chevrolet Bolt,1.7653
Chevrolet Bolt,1.7653
Chevrolet Bolt,1.7653
Chevrolet Bolt,1.7653
Chrysler Pacifica (CS),2.01422
Chrysler Pacifica (CS),2.01422
Chrysler Pacifica,2.01422
Chrysler Pacifica,2.01422
Chrysler Pacifica,2.01422
Chrysler Pacifica,2.01422
Chrysler Pacifica,2.01422
Chrysler Pacifica,2.01422
Ford GPA,1.6256
Ford GPA,1.6256
Ford GPA,1.6256
フォード GPA,1.6256
Ford GPA,1.6256
Ford GPA,1.6256
Ford GPA,1.6256
福特GPA兩棲吉普車,1.6256
بي إم دبليو اكس 5 (اي 70),1.933
BMW X5 (E70),1.933
BMW E70,1.933
BMW E70,1.933
BMW E70,1.933
BMW E70,1.933
BMW E70,1.933
BMW X5 (E70),1.933
Bedford OXA,1.63
Bedford OXA,1.63
Bedford OXA,1.63
ベッドフォード OXA,1.63
Bedford OX,1.63
Bedford OXA,1.63
Bedford OXA (CBC),1.63
Solaris Urbino 18,2.55
Solaris Urbino 18,2.55
Solaris Urbino 18,2.55
Kossila Oxbow,118.872
Typ 97 90-mm-Infanterie-Mörser,0.6096
九七式軽迫撃砲,0.6096
Type 97 90 mm Infantry Mortar,0.6096
Luxgen U6,1.825
بي واي دي (جي ثري),1.705
BYD G3,1.705
BYD G3,1.705
Renault Captur,1.778
Renault Captur,1.778
Renault Captur,1.778
Renault Captur,1.778
ルノー・キャプチャー,1.778
Renault Captur,1.778
Renault Captur,1.778
Renault Captur,1.778
Renault Captur,1.778
Renault Captur,1.778
GMC Syclone,1.64592
GMC Syclone,1.64592
GMC Syclone,1.64592
GMC・サイクロン,1.64592
GMC Syclone,1.64592
GMC Syclone,1.64592
Renault Fluence Z.E.,1.813
ルノー・フルエンスZ.E.,1.813
Renault Fluence Z.E.,1.813
Renault Fluence Z.E.,1.813
Chery Tiggo,1.765
Chery Tiggo,1.765
Chery Tiggo,1.765
Chery Tiggo,1.765
Chery Tiggo,1.765
Chery Tiggo,1.765
奇瑞瑞虎,1.765
بي إم دبليو إكس6,1.979
BMW X6,1.979
BMW X6,1.979
BMW X6,1.979
BMW X6,1.979
BMW X6,1.979
BMW・X6,1.979
BMW X6,1.979
BMW X6,1.979
BMW X6,1.979
BMW X6,1.979
Valuk,2.5
فورد سي 4 كاكتوس,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Citroën C4 Cactus,1.729
Mini Countryman,1.789
Mini Countryman,1.789
Mini Countryman,1.789
Mini Countryman (2010),1.789
Mini Countryman,1.789
Mini Countryman,1.789
Mini Countryman,1.789
Mini Countryman,1.789
Austin Champ,1.65
Austin Champ,1.65
Austin Champ,1.65
Austin Champ,1.65
Wolseley 15/50,1.5494
Wolseley 15/50,1.5494
Wolseley 15/50,1.5494
Wolseley 15/50,1.5494
Dodge Omni 024,1.694
Dodge Omni 024,1.694
Dodge Omni 024,1.694
Dodge Omni 024,1.694
Dodge Omni 024,1.694
Ford Mustang SVO,1.75514
Elefant,3.38
إيليفانت,3.38
Elefant (Jagdpanzer),3.38
Elefant,3.38
Jagdpanzer Elefant,3.38
Elefant (cacciacarri),3.38
エレファント重駆逐戦車,3.38
Elefant,3.38
Elefant,3.38
Фердинанд (САУ),3.38
Elefant (Jagdpanzer),3.38
象式重驅逐戰車,3.38
85/89式装甲兵員輸送車,3.06
YW 531H,3.06
85式装甲输送车,3.06
Type 85 AFV,3.06
Buick Envision,1.804
Buick Envision,1.804
別克Envision,1.804
Buick Envision,1.804
Vektor SP1,0.0405
ベクターSP1,0.0405
Pistolet Vektor SP1,0.0405
Fruit Ridge (Michigan),12874.8
M-84AS,3.73
M-84AS,3.73
M2001,3.73
M-84AS主戰坦克,3.73
マツダ・エチュード,1.645
馬自達Etude,1.645
Mazda Étude,1.645
Stridsvagn m/37,1.85
Stridsvagn m/37,1.85
Strv m/37,1.85
Stridsvagn m/37,1.85
ZIS-115,1.96
ЗИС-115,1.96
ZIS-115,1.96
Saint Alkmund's Way Footbridge,5.0
