http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,http://dbpedia.org/ontology/areaTotal
Leckhampton Hill and Charlton Kings Common,638000.0
Lineover Wood,203000.0
Longhope Hill,2000.0
Lydney Cliff,80000.0
Meezy Hurst,43000.0
Minchinhampton Common,1.827e+06
Nagshead SSSI,1.2012e+06
New Park Quarry,13000.0
Nibley Knoll,32000.0
Notgrove Railway Cutting,17000.0
Oakenhill Railway Cutting,8100.0
Old Bow and Old Ham Mines,403000.0
"Old River Severn, Upper Lode",37200.0
"Pennsylvania Fields, Sedbury",270300.0
Poor's Allotment,285700.0
Puckham Woods,323800.0
Puddlebrook Quarry,7000.0
Range Farm Fields,128000.0
Robin's Wood Hill Quarry,16700.0
Rodborough Common,1.16e+06
"Rough Bank, Miserden",92000.0
Scully Grove Quarry,4000.0
"Severn Ham, Tewkesbury",708200.0
Shorn Cliff and Caswell Woods,692000.0
Slade Brook,36300.0
Speech House Oaks,162600.0
Stony Furlong Railway Cutting,27000.0
The Hudnalls,944000.0
Tudor Farm Bank,36800.0
Turvey's Piece,10200.0
Upham Meadow and Summer Leasow,1.04e+06
Westbury Brook Ironstone Mine,156900.0
Whelford Meadow,18600.0
Wigpool Ironstone Mine,348800.0
Wildmoorway Meadows,126000.0
Winson Meadows,79300.0
Wood Green Quarry & Railway Cutting,3000.0
Yarley Meadows,122000.0
Barns Batch Spinney,600.0
"Castle Hill, Brighton",1.135e+06
Compton Down,1.963e+06
Malvern Hills,7.323e+06
Malvern Hills (Landschaft),7.323e+06
Malvern Hills,7.323e+06
Malvern Hills,7.323e+06
Severn Estuary,1.4368e+07
Estuaire de la Severn,1.4368e+07
Severn Estuary,1.595e+08
Estuaire de la Severn,1.595e+08
Hartlebury Common,902000.0
Nine Wells,12000.0
Axbridge Hill and Fry's Hill,648000.0
Banwell Caves,17000.0
Banwell Ochre Caves,124600.0
Bleadon Hill,135205.0
Bowlditch Quarry,2428.11
Brockley Hall Stables,647.497
Brown's Folly,398615.0
Buckover Road Cutting,17000.0
Burledge Hill,487000.0
Chancellor's Farm,342000.0
Cleaves Wood,403755.0
Clevedon Shore,3804.05
Combe Down and Bathampton Down Mines,62200.2
Compton Martin Ochre Mine,8498.4
Congrove Field and The Tumps,124643.0
Crook Peak to Shute Shelve Hill,3.322e+06
Dundry Main Road South Quarry,7284.34
Edford Woods and Meadows,543000.0
Emborough Quarries,10000.0
Hampton Rocks Cutting,13000.0
Hartcliff Rocks Quarry,16000.0
"Hinton Hill, Wellow",2500.0
Holly Lane SSSI,5000.0
Huish Colliery Quarry,8000.0
Kilmersdon Road Quarry,4300.0
King's Sedgemoor,8.22e+06
Kingdown and Middledown,57000.0
Lamb Leer,145900.0
Littledean Hall,200.0
Long Dole Wood and Meadows SSSI,98000.0
Lower Woods,2.801e+06
Max Bog,106000.0
Newton St Loe SSSI,22600.0
"North Road Quarry, Bath",3000.0
Plaster's Green Meadows,43000.0
Portishead Pier to Black Nore SSSI,718000.0
Purn Hill,61000.0
Puxton Moor,310700.0
Rodney Stoke SSSI,696000.0
Shiplate Slait,339000.0
Spring Cove Cliffs,20000.0
St. Dunstan's Well Catchment,398000.0
Stinchcombe,286000.0
Stinchcombe,286000.0
"Tickenham, Nailsea and Kenn Moors SSSI",1.294e+06
Uphill Cliff,198000.0
Walton Common,255000.0
Weston-in-Gordano SSSI,125500.0
Weston Big Wood,374800.0
Writhlington SSSI,5000.0
Wurt Pit and Devil's Punchbowl,2000.0
Yanal Bog,16000.0
Lower Moors (St Mary's),102000.0
Pamber Forest and Silchester Common,3.39936e+06
Berner's Heath,1.4956e+06
Bixley Heath,49000.0
Castle Down,581000.0
Derwent Ings,6.62434e+06
Askham Bog,447987.0
Studland and Godlingston Heath National Nature Reserve,7.59e+06
"Hobbs Quarry SSSI, Longhope",10000.0
"Hobbs Quarry SSSI, Shepton Mallet",5000.0
Compton Chine to Steephill Cove SSSI,6.292e+06
"King's Quay, Isle of Wight",972000.0
Rifle Butts Quarry,2832.8
Allerthorpe Common,91459.0
Barn Hill Meadows,34803.0
Beckhead Plantation,14852.0
Belshaw,809.371
"Black Ditches, Cavenham",17000.0
Mottey Meadows,180490.0
Chichester Harbour,3.695e+07
Weir Wood Reservoir,1.51352e+06
Weir Wood Reservoir,1.51352e+06
Alverstone Marshes,838000.0
America Wood,214000.0
Arreton Down,298000.0
Barnhill Quarry,31000.0
Bembridge School And Cliffs SSSI,125800.0
Bickley Wood,95000.0
Bishop's Hill Wood,306000.0
Bodkin Hazel Wood,106200.0
Brinkmarsh Quarry,5000.0
Cattybrook Brickpit,22000.0
"Cleeve Wood, Hanham",89000.0
Bois de Cleeve,89000.0
Cullimore's Quarry,9000.0
Damery Road Section,5000.0
Hawkesbury Meadow,33000.0
Hawkesbury Quarry,2500.0
Monkswood Valley,307000.0
Priory Woods,29400.0
"Quarry Steps, Durdham Down",60.0
"Slickstones Quarry, Cromhall",27000.0
Slickstones Quarry,27000.0
Tytherington Quarry,9000.0
Upton Coombe,74000.0
Winterbourne Railway Cutting,19900.0
Bridgwater Bay,3.5741e+07
Bridgwater Bay,3.5741e+07
Cogley Wood,607000.0
Red Moor (nature reserve),891000.0
Braunton Burrows,1.3567e+07
Braunton Burrows,1.3567e+07
Pagham Harbour,6.159e+06
Chailey Common,1.69e+06
Dee Estuary,1.36739e+08
Dibbinsdale,532162.0
Heswall Dales,295825.0
Thurstaston Common,707795.0
Holme Moor & Clean Moor,108000.0
Kingweston Meadows,115000.0
Lang's Farm,75000.0
Langford Heathfield,954000.0
Babcary Meadows,136000.0
"Badgeworth SSSI, Gloucestershire",30800.0
Barle Valley,1.042e+06
Barrington Hill Meadows,161000.0
Ben Knowle,15000.0
Black Down and Sampford Commons,1.552e+06
Briggins Moor,378000.0
Bruton railway cutting,17000.0
"Catcott, Edington and Chilton Moors",1.083e+07
Cloford Quarry,399200.0
Cook's Wood Quarry,8000.0
Curry and Hay Moors,4.728e+06
Doulting Railway Cutting,28000.0
Dunster Park and Heathlands,4.666e+06
Exmoor Coastal Heaths,1.7583e+07
Fivehead Woods and Meadow,624000.0
Freshmoor,112000.0
Friar's Oven,40000.0
Ge-mare Farm Fields,41000.0
Glenthorne,133000.0
Godminster Lane Quarry and Railway Cutting,8000.0
Great Breach and Copley Woods,648000.0
Greylake,93000.0
Hardington Moor,87000.0
Holwell Quarries,13000.0
Hurcott Farm,263000.0
Hurcott Lane Cutting,4800.0
Langmead and Weston Level,1.688e+06
Langport Railway Cutting,5000.0
Laycock Railway Cutting,13000.0
Leighton Road Cutting,6000.0
Long Lye,117000.0
Long Lye Meadow,33000.0
Longleat Woods,2.499e+06
Maes Down,2000.0
Maesbury Railway Cutting,20000.0
Midger,657000.0
"Miller's Hill, Milborne Wick",6000.0
Moon's Hill Quarry,34200.0
Moorlinch SSSI,2.26e+06
North Brewham Meadows,89000.0
North Curry Meadow,13000.0
North Exmoor SSSI,1.20053e+08
North Moor,6.763e+06
"Old Iron Works, Mells",2500.0
Postlebury Wood,870000.0
Prior's Park & Adcombe Wood,1.036e+06
"Ringdown SSSI, Somerset",40000.0
Roebuck Meadows,36000.0
Ruttersleigh,970000.0
Sandpit Hole and Bishop's Lot,18000.0
"Seavington St. Mary SSSI, Somerset",3000.0
Shapwick Heath,3.94e+06
Sharpham Moor Plot,5000.0
Shepton Montague Railway Cutting,16100.0
Snowdon Hill Quarry,6000.0
South Exmoor SSSI,3.1327e+07
Southey and Gotleigh Moors,813000.0
Southlake Moor,1.961e+06
Sparkford Wood,84000.0
Stowell Meadow,28000.0
Street Heath,125000.0
Tealham and Tadham Moors,9.176e+06
Thurlbear Wood and Quarrylands,267000.0
Twinhills Woods and Meadows,212000.0
Viaduct Quarry,3000.0
Walton and Ivythorn Hills,349000.0
West Moor SSSI,2.13e+06
West Sedgemoor,1.016e+07
Westhay Heath,259000.0
Westhay Moor,5.13667e+06
Windsor Hill Marsh,8400.0
Windsor Hill Quarry,8000.0
Ditchling Common,636000.0
Ditchling Common,636000.0
Arger Fen,487000.0
Box Farm Meadows SSSI,83000.0
Chaceley Meadow SSSI,18000.0
Croes Robert Wood,180000.0
Daneway Banks SSSI,170000.0
Gaer Wood,136000.0
Graig Wood,143000.0
Harper's Grove – Lord's Grove,222000.0
Stenders Quarry,28000.0
Wangford Warren and Carr,540600.0
Wotton Hill,261000.0
Aber Taf,1.4943e+07
Waldron Cutting,1900.0
Lacey's Farm Quarry,1300.0
Newtown River,6.193e+06
Rew Down,235000.0
High Halstow NNR,524877.0
Marazion Marsh,633000.0
North Wirral Coastal Park,2.10987e+07
Quoisley Meres,282500.0
"Bourne SSSI, Avon",84700.7
"Folly Farm, Somerset",193600.0
Priddy Caves,676000.0
Priddy Pools,527000.0
Aller Hill,184000.0
Aller and Beer Woods,568988.0
"Dungeness, Romney Marsh and Rye Bay",9.09e+07
Park House Outbuildings,100.0
Red Rocks (SSSI),113757.0
Willingdon Down,602000.0
Bembridge Down,563000.0
Bonchurch Landslips,282000.0
Bouldnor and Hamstead Cliffs,957000.0
Leck Fell,7.031e+06
Prospect Quarry,43000.0
Thorness Bay,862000.0
Brimble Pit and Cross Swallet Basins,1.543e+06
King's Wood and Urchin Wood SSSI,1.281e+06
Western Rocks (Scilly-Inseln),627000.0
"Western Rocks, Isole Scilly",627000.0
"Western Rocks, Isles of Scilly",627000.0
Acaster South Ings,383000.0
Angram Bottoms,98000.0
"Arkle Beck Meadows, Whaw",84000.0
Brading Marshes to St. Helen's Ledges SSSI,4.885e+06
Briddlesford Copses,1.672e+06
Cridmore Bog,144000.0
Garston's Down,203000.0
Greatwood And Cliff Copses SSSI,163000.0
Headon Warren and West High Down SSSI,2.763e+06
Locks Farm Meadow,23000.0
Northpark Copse,99000.0
Rowridge Valley,398000.0
Ryde Sands and Wootton Creek SSSI,4.244e+06
Whitecliff Bay And Bembridge Ledges SSSI,1.316e+06
Cissbury,819000.0
Cissbury Ring,819000.0
Pulborough Brooks,1.5883e+06
Aire Point to Carrick Du SSSI,7.0481e+06
Bracklesham Bay,2.019e+06
Chanctonbury Hill,786000.0
Ebbor Gorge,634547.0
Goonhilly Downs,1.271e+07
Lower Bostraze and Leswidden SSSI,23000.0
Hesketh Golf Links,146092.0
Stanley Bank Meadow,148924.0
The Dungeon SSSI,11331.2
Amberley Wild Brooks,3.226e+06
Arlington Reservoir,994000.0
Ashburnham Park,1.007e+06
Bedford Purlieus National Nature Reserve,2.11e+06
Bingletts Wood,158600.0
Brighton to Newhaven Cliffs,1.675e+06
Burgh Hill Farm Meadow,9500.0
Buxted Park,834300.0
Clayton to Offham Escarpment,4.296e+06
Dallington Forest,162000.0
Eridge Green,84000.0
Folkington Reservoir,57000.0
Hastingford Cutting,500.0
Hemingfold Meadow,49100.0
High Rocks,32000.0
High Woods,335000.0
Houghton Green Cliff,1250.0
Kingston Escarpment and Iford Hill,644000.0
Leasam Heronry Wood,22000.0
Lewes Brooks,3.33e+06
Lewes Downs,1.498e+06
Milton Gate Marsh,186000.0
Paines Cross Meadow,36600.0
Park Corner Heath,35000.0
Penn's Rocks,101000.0
Plashett Park Wood,1.543e+06
Rock Wood,103000.0
Sapperton Meadows,146000.0
Southerham Grey Pit,84000.0
Southerham Machine Bottom Pit,16000.0
Southerham Works Pit,8300.0
St. Dunstan's Farm Meadows,102000.0
Stockland Farm Meadows,58000.0
Willingford Meadows,114000.0
Woodwalton Fen,2.09e+06
Aber Afon Seiont,64000.0
Goblin Combe,518700.0
"Kenn Church, Kenn Pier & Yew Tree Farm SSSI",153700.0
Parham Park,2.634e+06
Parham Park,2.634e+06
Пэрэм-парк,2.634e+06
Wet Moor,4.91e+06
Blue Anchor to Lilstock Coast SSSI,7.428e+06
Brassey SSSI,21000.0
Dymock Woods SSSI,530000.0
Lower Wye Gorge SSSI,650000.0
Boxgrove Quarry,98300.0
"Eartham Pit, Boxgrove",98300.0
Eartham Pit,98300.0
Eartham Pit,98300.0
Wolstonbury Hill,586000.0
Arkengarthdale Gunnerside and Reeth Moors,7.63472e+07
Cheesefoot Head,129000.0
Fore Wood,215000.0
Redlake Meadows & Hoggs Moor,305300.0
Soudley Ponds,70400.0
Sylvia's Meadow,44600.0
Ryedale Windypits,112260.0
Ryedale Windypits,112260.0
Aller Sand Pit,2200.0
Allt Penycoed Stream Section,16200.0
Allt y Gaer,35000.0
Allt y wern,60000.0
Andrew's Wood,235000.0
Beacon Bog,115000.0
Birdshill Quarry,4000.0
Coed Cochion Quarry,400.0
Crûg Farm Quarry,5000.0
Cwm Twrch,24000.0
Hogmoor Inclosure,7.68e+06
Mynydd Llangyndeyrn,852000.0
Caeau Pant-y-Bryn,82000.0
Gwernydd Penbre,492000.0
Rhosydd Llanpumsaint,394000.0
Allen Confluence Gravels,49000.0
Allendale Moors,5.28281e+07
Allolee to Walltown,339000.0
Alnmouth Saltmarsh and Dunes,1.084e+06
Gweunydd Glan-y-glasnant,125000.0
Machynys Ponds,64000.0
Smarts Quarry,26000.0
Arcot Hall Grasslands and Ponds,680800.0
Aules Hill Meadows,122600.0
Bamburgh Coast and Hills,565000.0
Barelees Pond,13400.0
Barrow Burn Meadows,54000.0
Barrow Meadow,49000.0
Bavington Crags,44000.0
Beltingham River Shingle,47000.0
Bewick and Beanley Moors,3.43495e+07
Billsmoor Park and Grasslees Wood,1.12e+06
Brada Hill,24000.0
Bradford Kames,1.394e+06
Briarwood Banks,240000.0
Brunton Bank Quarry,21800.0
Burnfoot River Shingle and Wydon Nabb,203000.0
Campfield Kettle Hole,29200.0
Walthamstow Wetlands,2.11e+06
