http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/weight
洛特·弗里斯,72000.0
لودوفيك توربين,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Ludovic Turpin,57000.0
Magnus Johansson (Eishockeyspieler),81648.0
Magnus Johansson,81648.0
Magnus Johansson (ice hockey),81648.0
Magnus Johansson (hokeista),81648.0
"Юханссон, Магнус",81648.0
Michael Gordon (rugby à XIII),89000.0
Michael Gordon (rugby league),89000.0
Michael Stone (American football),93895.2
Michael Stone (Eishockeyspieler),90720.0
Michael Stone (hockey sur glace),90720.0
Michael Stone (ice hockey),90720.0
Misaki Gushiken,52880.0
Nathan Mauger,98000.0
Nathan Mauger,98000.0
Nathan Mauger,98000.0
Nikolai Volkoff,143000.0
Nikolai Volkoff,143000.0
Nikolai Volkoff,143000.0
Nikolai Volkoff,143000.0
ニコライ・ボルコフ,143000.0
Nikolai Volkoff,143000.0
Nikolai Volkoff,143000.0
Nikolai Volkoff,143000.0
Николай Волков (рестлер),143000.0
尼古拉·沃爾科夫,143000.0
Nikolina Horvat,53000.0
Oleg Sidorov,83000.0
Oleg Sidorov,83000.0
Paul Steinmetz,85000.0
Peter Schaefer,90720.0
Peter Schaefer (ice hockey),90720.0
Peter Schaefer,90720.0
"Шефер, Питер",90720.0
Péter Horváth,74000.0
Péter Horváth,74000.0
Pınar Saka,53000.0
Raman Hrabarenka,104328.0
Raman Hrabarenka,104328.0
Raman Hrabarenka,104328.0
"Граборенко, Роман Андреевич",104328.0
Raman Hrabarenka,104328.0
Raman Piatrushenka,91000.0
Raman Piatrushenka,91000.0
Raman Pjatrušėnka,91000.0
Raman Piatrushenka,91000.0
Raman Piatruszenka,91000.0
Roman Petrushenko,91000.0
"Петрушенко, Роман Иванович",91000.0
Ramone Moore,86184.0
Ramone Moore,86184.0
Ramone Moore,86184.0
Rich Melzer,101788.0
Richard Melzer,101788.0
Rich Melzer,101788.0
Richard White (Rugbyspieler),101000.0
Tiny White,101000.0
Richard White (rugbista),101000.0
Richard White (rugby union),101000.0
Richard Williams (rugby league),92000.0
Rocco Grimaldi,81648.0
Rocco Grimaldi,81648.0
Rocco Grimaldi,81648.0
Rovshan Huseynov,60000.0
Ryo Mabuchi,60000.0
Shiro Koshinaka,105000.0
Shiro Koshinaka,105000.0
Shiro Koshinaka,105000.0
越中詩郎,105000.0
Steve Cook (bodybuilder),100019.0
Sven Andrighetto,84823.2
Sven Andrighetto,84823.2
"Андригетто, Свен",84823.2
Sven Andrighetto,84823.2
Sven Butenschön,97524.0
Sven Butenschön,97524.0
Sven Butenschön,97524.0
Sven Kaldre,87091.2
Sven Lundgren,75000.0
Sven Lundgren,75000.0
Sven Lundgren,75000.0
Sven Lundgren,75000.0
Sven Lundgren,75000.0
Sven Nylander,84823.2
Sven Nylander,84823.2
Sven Nylander,84823.2
Sven Nylander,84823.2
Sven Nylander,84823.2
Sven Thorgren,69854.4
Sven Thorgren,69854.4
Sven Thorgren,69854.4
Sven Thorgren,69854.4
Sven Thorgren,69854.4
Tat'jana Popova,73029.6
"Попова, Татьяна Сергеевна",73029.6
Tatiana Popova,73029.6
Ted Harris (ice hockey),79380.0
Ted Harris,79380.0
The Missing Link (wrestler),113400.0
The Missing Link (wrestler),113400.0
デューイ・ロバートソン,113400.0
Dewey Robertson,113400.0
أدونيس هسلم,106596.0
Udonis Haslem,106596.0
Udonis Haslem,106596.0
Udonis Haslem,106596.0
Udonis Haslem,106596.0
Udonis Haslem,106596.0
ユドニス・ハスレム,106596.0
Udonis Haslem,106596.0
Udonis Haslem,106596.0
"Хаслем, Удонис",106596.0
乌杜尼斯·哈斯勒姆,106596.0
Veronika Popova,65000.0
Wieronika Popowa,65000.0
"Попова, Вероника Андреевна",65000.0
Veronika Popova,65000.0
فيكتور سادا,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
Víctor Sada,92988.0
"Сада, Виктор",92988.0
馬淵よしの,46000.0
Yoshino Mabuchi,46000.0
A. J. Johnson (linebacker),110225.0
Aaron Whittaker,80000.0
Adam Brown (ice hockey),79380.0
Adam Brown (swimmer),95000.0
Adam Larsson,93441.6
Adam Larsson,93441.6
Adam Larsson,93441.6
Adam Larsson,93441.6
"Ларссон, Адам",93441.6
Adam Larsson,93441.6
Adam McQuaid,94802.4
Adam McQuaid,94802.4
Adam McQuaid,94802.4
Adrienne Goodson,73936.8
Adrienne Goodson,73936.8
Agustín Pichot,77000.0
Agustín Pichot,77000.0
Agustín Pichot,77000.0
Agustín Pichot,77000.0
Agustín Pichot,77000.0
アガスティン・ピチョット,77000.0
Agustín Pichot,77000.0
"Пишот, Агустин",77000.0
Aidan Guerra,103000.0
Aidan Guerra,103000.0
Akeem Haynes,71000.0
"Хейнс, Аким",71000.0
Akeem Haynes,71000.0
Akeem Richmond,81648.0
Akeem Richmond,81648.0
أكيم فارغاس,89812.8
Akeem Vargas,89812.8
Akeem Vargas,89812.8
Akeem Vargas,89812.8
Akeem Vargas,89812.8
Akeem Vargas,89812.8
Živilė Raudonienė,74390.4
Živilė Raudonienė,74390.4
Aksana,74390.4
Aksana,74390.4
ジビル・ラウドニーネ,74390.4
Živilė Raudonienė,74390.4
Aksana,74390.4
Aksana,74390.4
Аксана,74390.4
Aksana (wrestler),74390.4
Aksana Mjankowa,85000.0
Aksana Miankova,85000.0
Aksana Miankova,85000.0
Aksana Mjan'kova,85000.0
アクサナ・ミアンコワ,85000.0
Aksana Miankova,85000.0
Aksana Miańkowa,85000.0
Aksana Miankova,85000.0
"Менькова, Оксана Владимировна",85000.0
Aksana Miankova,85000.0
Al MacNeil,81648.0
Al MacNeil,81648.0
Al MacNeil,81648.0
Al MacNeil,81648.0
Al Vergara,74844.0
Alan Smith (rugby union),100000.0
Alejandro Bermúdez,75000.0
Alejandro Bermúdez,75000.0
Alex Goode,85000.0
Alex Goode,85000.0
Alex Goode,85000.0
Alex Goode,85000.0
阿歷克斯·古德,85000.0
أليكس جروزا,98884.8
Alex Groza,98884.8
Alex Groza,98884.8
Alex Groza,98884.8
Alex Groza,98884.8
Alex Groza,98884.8
Alex Groza,98884.8
"Гроза, Алекс",98884.8
亚历克斯·格罗扎,98884.8
Alexander Michailowitsch Buturlin,89812.8
"Бутурлин, Александр Михайлович",89812.8
Alexander Buturlin (ice hockey),89812.8
Alexander Horst,85000.0
Alexander Horst,85000.0
Alexander Horst,85000.0
Alexander Horst,85000.0
亞歷山大·霍斯特,85000.0
"Макаров, Александр Сергеевич (хоккеист)",92988.0
"Alexander Makarov (ice hockey, born 1989)",92988.0
Alexandre Picard (Eishockeystürmer),93441.6
Alexandre Picard (ice hockey),93441.6
"Alexandre Picard (hockey sur glace, octobre 1985)",93441.6
Alexandre Picard (attaccante di hockey su ghiaccio),93441.6
Alexandre Pichot,72000.0
Alexandre Pichot,72000.0
Alexandre Pichot,72000.0
Alexandre Pichot,72000.0
Alexandre Pichot,72000.0
Alexandre Pichot,72000.0
Alfred Schmidt (Gewichtheber),60000.0
Alfred Schmidt (haltérophilie),60000.0
Alfred Schmidt (weightlifter),60000.0
Alfred Schmidt (sztangista),60000.0
"Шмидт, Альфред (тяжелоатлет)",60000.0
Alison Bales,98884.8
Alison Bales,98884.8
Alison Bales,98884.8
Alison Bales,98884.8
ألن جونسون,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
アレン・ジョンソン,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
Allen Johnson,74844.0
"Джонсон, Аллен",74844.0
阿兰·约翰逊,74844.0
Amancio Paraschiv,71000.0
Andrew Campbell (Eishockeyspieler),93441.6
Andrew Campbell,93441.6
Andrew Campbell (ice hockey),93441.6
Andrew Clark (ice hockey),86184.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
"Лэдд, Эндрю",92988.0
Andrew Smith (basketball),110225.0
Andrew Smith (rugby),104000.0
أندرو ويغينز,90266.4
Andrew Wiggins,90266.4
Andrew Wiggins,90266.4
Andrew Wiggins,90266.4
Andrew Wiggins,90266.4
アンドリュー・ウィギンス,90266.4
Andrew Wiggins,90266.4
Andrew Wiggins,90266.4
Andrew Wiggins,90266.4
"Уиггинс, Эндрю",90266.4
安德魯·威金斯,90266.4
Andrew Wiggins,90266.4
Andy Brown (ice hockey),83916.0
Andy Brown,83916.0
Andy Duncan,88452.0
Andy Duncan,88452.0
安迪·邓肯,88452.0
Andy Duncan (basketball),88452.0
Andy Goode,97000.0
Andy Goode,97000.0
Andy Goode,97000.0
Angelo Esposito,86184.0
Angelo Esposito,86184.0
Angelo Esposito,86184.0
Anita Cifra,71000.0
Anneliese Heard,55000.0
Anneliese Heard,55000.0
Anthony Minichiello,91000.0
Anthony Minichiello,91000.0
Anthony Minichiello,91000.0
أنتوني روبرسون,81648.0
Anthony Roberson,81648.0
Anthony Roberson,81648.0
Anthony Roberson,81648.0
Anthony Roberson,81648.0
Anthony Roberson,81648.0
أنتوني ستيوارت,92000.0
Anthony Stewart (basketball),92000.0
Anthony Stewart,102060.0
Anthony Stewart (ice hockey),102060.0
Anthony Stewart,102060.0
Anthony Stewart,102060.0
أنطونيو ديفيس,97524.0
Antonio Davis,97524.0
Antonio Davis,97524.0
Antonio Davis,97524.0
Antonio Davis,97524.0
Antonio Davis,97524.0
アントニオ・デイビス,97524.0
Antonio Davis,97524.0
安东尼奥·戴维斯,97524.0
أنطونيو إينوكي,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
アントニオ猪木,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
Antonio Inoki,108864.0
"Иноки, Антонио",108864.0
安東尼奧·豬木,108864.0
Antonio Látimer,108864.0
Antonio Latimer,108864.0
Antonio Látimer,108864.0
Antonio Látimer,108864.0
أنطونيو مكديس,111132.0
Antonio McDyess,111132.0
Antonio McDyess,111132.0
Antonio McDyess,111132.0
Antonio McDyess,111132.0
Antonio McDyess,111132.0
アントニオ・マクダイス,111132.0
Antonio McDyess,111132.0
Antonio McDyess,111132.0
"Макдайесс, Антонио",111132.0
安东尼奥·麦克戴斯,111132.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
"Фонтана, Арианна",55000.0
阿莉安娜·方塔娜,55000.0
Ariel Hernández,75000.0
Ariel Hernández (boxer),75000.0
Ariel Hernández,75000.0
Ariel Hernández,75000.0
Ariel Hernández,75000.0
"Эрнандес, Ариэль",75000.0
BG Uys,115000.0
Bahri Tanrıkulu,85000.0
Bahri Tanrıkulu,85000.0
Bahri Tanrıkulu,85000.0
Bahri Tanrıkulu,85000.0
Bahri Tanrikulu,85000.0
Bahri Tanrıkulu,85000.0
Bahri Tanrıkulu,85000.0
"Танрыкулу, Бахри",85000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
Beata Mikołajczyk,68000.0
"Миколайчик, Беата",68000.0
Beauregarde,90720.0
Ben Davis,109771.0
Ben Davis,109771.0
Ben Davis (basketball),109771.0
本·戴维斯 (篮球员),109771.0
Ben Hinshelwood,100000.0
Ben Hinshelwood,100000.0
Bestia 666,95000.0
Bill Allen,92988.0
Bill Allen (basketball),92988.0
Bill Blair (basketball),79380.0
Bill Blair,79380.0
Bill Blair,79380.0
Bill Schaefer (field hockey),74000.0
بيلي تومسون (كرة سلة),88452.0
Billy Thompson (basketball),88452.0
Billy Thompson,88452.0
Billy Thompson,88452.0
Billy Thompson,88452.0
Billy Thompson,88452.0
Billy Thompson,88452.0
Billy Thompson (ice hockey),90720.0
Billy Thompson (hockey sur glace),90720.0
Björn Svensson,87091.2
Blair Betts,95256.0
Blair Betts,95256.0
Blair Betts,95256.0
"Беттс, Блэйр",95256.0
Bo Ljungberg,77000.0
Bo Ljungberg,77000.0
Bo Ljungberg,77000.0
Bob Ferguson (ice hockey),83916.0
Bob Kinney,97524.0
Bob Kinney,97524.0
"Кинни, Боб",97524.0
鲍伯·金尼,97524.0
Bob Kinney,97524.0
Bob Lindner,94000.0
بوبي براون (كرة سلة),83916.0
Bobby Brown (Basketballspieler),83916.0
Bobby Brown (baloncestista),83916.0
Bobby Brown (cestista),83916.0
Bobby Brown (basket-ball),83916.0
Bobby Brown (koszykarz),83916.0
Bobby Brown (basketball),83916.0
鲍比·布朗 (篮球运动员),83916.0
Bobby Brown (Freestyle-Skier),83916.0
Bobby Brown (ski acrobatique),83916.0
ボビー・ブラウン (フリースタイルスキーヤー),83916.0
Bobby Brown (freestyleskiër),83916.0
Bobby Brown (narciarz dowolny),83916.0
Bobby Brown (freestyle skier),83916.0
Bobby Carpenter,90720.0
Bobby Carpenter (ice hockey),90720.0
Bobby Carpenter,90720.0
Bobby Ray Parks Jr.,97524.0
Brad Mika,122926.0
Brad Mika,122926.0
Brad Moran,82555.2
Brad Moran (ice hockey),82555.2
Brad Scott (fighter),84369.6
Brandon Nolan,86184.0
Daniela Uribe,63000.0
Brenda Daniela Uribe,63000.0
Brenda Uribe,63000.0
Brendan Smith (Eishockeyspieler),89812.8
Brendan Smith (hockey sur glace),89812.8
Brendan Smith (ice hockey),89812.8
Brendan Smith,89812.8
"Смит, Брендан (хоккеист)",89812.8
Brendan Witt,101153.0
Brendan Witt,101153.0
Brendan Witt,101153.0
"Уитт, Брендан",101153.0
Brett Harkins,78019.2
Brett Harkins,78019.2
Brett Hull,90720.0
Brett Hull,90720.0
Brett Hull,90720.0
ブレット・ハル,90720.0
Brett Hull,90720.0
"Халл, Бретт",90720.0
Brett Hull,90720.0
بريت ماهر,82000.0
Brett Maher,82000.0
Brett Maher,82000.0
Brett Maher,82000.0
Brett Maher,82000.0
Brett Morris,96000.0
Brett Morris,96000.0
Brett Quigley,72576.0
Brett Salisbury,111132.0
Brett Sterling,79380.0
Brett Sterling,79380.0
Brett Sterling,79380.0
Brett Wheeler,102000.0
براين آدمز (مصارع),142884.0
Brian Adams (wrestler),142884.0
Brian Adams (Wrestler),142884.0
Brian Adams (luchador),142884.0
Brian Adams (wrestler),142884.0
Brian Adams,142884.0
ブライアン・アダムス (プロレスラー),142884.0
Brian Adams (worstelaar),142884.0
Brian Adams (lutador),142884.0
Brian Bowles,61236.0
Brian Bowles,61236.0
ブライアン・ボウルズ,61236.0
Brian Bowles (fighter),61236.0
Brian Bowles (lutador),61236.0
Brian Carney (rugby),91000.0
Brian Carney,91000.0
Brian Carney,91000.0
Brian Hill (basketball),79380.0
Brian Hill,79380.0
Brian Hill,79380.0
ブライアン・ヒル,79380.0
Brian Hill (ice hockey),79380.0
Brian Hill (swimmer),88000.0
Brian Smith (defensive back),81648.0
Brian Smith (defensive end),107050.0
"Brian Smith (ice hockey, born 1937)",80740.8
"Brian Smith (ice hockey, born 1940)",77112.0
"Brian Smith (rugby league, born 1954)",76000.0
Brian Smith (rugby à XIII),76000.0
Brock Gillespie,77112.0
Brock Gillespie,77112.0
Brock Gillespie,77112.0
Bruce Douglas (basketball),88452.0
Bruce Douglas (cestista),88452.0
布鲁斯·道格拉斯,88452.0
Bruce Douglas (rugby union),115000.0
Bruce Douglas,115000.0
Bruce Douglas (rugbista),115000.0
Bruce Hart (wrestler),96163.2
Bruce Hart,96163.2
Bruce Hart,96163.2
Bruce Hart (lutador),96163.2
Bruna Genovese,50000.0
Bruna Genovese,50000.0
