http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/elevation
Malheur National Wildlife Refuge,1256.08
Malheur National Wildlife Refuge,1256.08
Refuge faunique national de Malheur,1256.08
Manuel F. Correllus State Forest,15.8496
Misquamicut State Beach,2.1336
Moncove Lake State Park,786.994
Montauk State Park,284.988
Moore State Park,997.0
Moran State Park,284.074
Parc d'État Moran,284.074
Moran State Park,284.074
Mount Everett State Reservation,793.09
Mount Rogers National Recreation Area,1363.98
Myles Standish State Forest,43.8912
Pipestem Resort State Park,819.912
Prickett's Fort State Park,295.961
Parc d'État de Prickett's Fort,295.961
Putnam Memorial State Park,182.88
Putnam Memorial State Park,182.88
Rocky Gap State Park,355.092
Salisbury Beach State Reservation,3.048
Sam A. Baker State Park,281.026
Sandisfield State Forest,509.93
Silver Sands State Park,2.1336
Silver Sands State Park,2.1336
Slide Rock State Park,1502.66
Slide Rock State Park,1502.66
Spruce Knob-Seneca Rocks National Recreation Area,586.13
Swallow Falls State Park,726.034
Taum Sauk Mountain State Park,540.106
Thomas Hart Benton Home and Studio State Historic Site,291.084
Thomas Hart Benton Home and Studio State Historic Site,291.084
Tomlinson Run State Park,338.023
Tu-Endie-Wei State Park,164.897
Tubac Presidio State Historic Park,1066.8
Tygart Lake State Park,419.1
Upper Pine Bottom State Park,285.902
Parc d'État de Upper Pine Bottom,285.902
Valley Falls State Park,474.878
Валли-Фолс (парк штата),474.878
Wallace Falls State Park,291.084
Washington State Park,205.13
Washoe Lake State Park,1534.06
Washoe Lake State Park,1534.06
Park Stanowy Jezioro Washoe,1534.06
Washoe Lake State Park,1534.06
Watoga State Park,882.091
Watters Smith Memorial State Park,314.858
Wells State Park (Massachusetts),220.98
Wildcat Den State Park,191.11
Cerro El Baúl,2650.0
Cerro El Baúl,2650.0
Cerro El Baúl,2650.0
Cerro Miramundo,650.0
Cerro Miramundo,650.0
Kedarnath Wildlife Sanctuary,1160.0
Parque nacional Los Aposentos,1750.0
Los Aposentos,1750.0
Parque nacional Naciones Unidas,1450.0
Naciones Unidas National Park,1450.0
Parque nacional Riscos de Momostenango,2200.0
Riscos de Momostenango,2200.0
Church of Senhor do Socorro,690.0
Cuevas del Silvino,60.0
Cuevas del Silvino,60.0
Morphy Lake State Park,2438.4
Percha Dam State Park,1249.68
Reserva Florestal de Recreio das Fontinhas,374.0
Recreational Forest Reserve of Fontinhas,374.0
Reserva Florestal de Recreio de Valverde,135.0
Recreational Forest Reserve of Valverde,135.0
"Monumento Natural da Pedreira do Campo, do Figueiral e Prainha",100.0
Regional Natural Monument of Pedreira do Campo,100.0
Roaring Plains West Wilderness,1227.43
Rockhound State Park,1371.6
Storrie Lake State Park,2011.68
Bažantnice u Pracejovic,398.0
Elgin Schoolhouse State Historic Site,1036.93
Greenleaf Lake State Recreation Area,330.098
W.J.B. Greenwood Provincial Park,310.0
Řežabinec a Řežabinecké tůně,378.0
Beaver Creek Provincial Park (Manitoba),219.0
Beaver Dam State Park (Nevada),1630.07
Park stanowy Beaver Dam (Nevada),1630.07
Belle Isle Marsh Reservation,0.0
Belle Isle Marsh Reservation,0.0
Boyd Conservation Area,167.0
Buffalo Lake National Wildlife Refuge,1140.0
Cedar Creek State Park,307.848
Flint Hills,512.0
Prairies d'herbes hautes des Flint Hills,512.0
Flint Hills,512.0
Flint Hills,512.0
"Forest Park (Portland, Oregon)",218.846
Forest Park (Portland),218.846
Forest Park (parc),218.846
波特兰森林公园,218.846
Fort Atkinson (Nebraska),327.05
Fort Atkinson (Nebraska),327.05
Fort Defiance State Park,442.874
Frontenac State Park,210.922
Parc d'État de Frontenac,210.922
Harriman State Park (Idaho),1865.38
Isla James (Washington),22.86
James Island (San Juan Islands),22.86
詹姆斯岛 (圣胡安群岛),22.86
Jerome State Historic Park,1500.84
Jerome State Historic Park,1500.84
New Germany State Park,754.99
North Bend Rail Trail,260.909
North Bend State Park,299.009
Pinnacle Rock State Park,944.88
Platte River State Park,338.023
Revere Beach,3.048
Revere Beach,3.048
Parque estatal Lago de Santa Rosa,1463.04
Santa Rosa Lake State Park,1463.04
Silver Lake State Park (New Hampshire),81.9912
St. Joe State Park,282.854
St. Joe State Park,282.854
Stony Brook Reservation,45.1104
Stony Brook Reservation,45.1104
Susquehanna State Park (Maryland),64.9224
薩斯奎哈納州立公園 (馬里蘭州),64.9224
Tyringham Cobble,411.0
Tyringham Cobble,411.0
Parc d'État de Yuba,1554.48
Yuba State Park,1554.48
Parc d'État de Bluewater Lake,2255.52
Bluewater Lake State Park,2255.52
Bluff Point State Park,32.9184
Bluff Point State Park,32.9184
Sanctuaire de Notre-Dame de Lapa,893.0
Santuário de Nossa Senhora da Lapa,893.0
Chapel of Nossa Senhora da Lapa (Sernancelhe),893.0
Eugene T. Mahoney State Park,363.017
Higganum Reservoir State Park,28.956
Higganum Reservoir State Park,28.956
Tůně u Hajské,387.0
Leesylvania State Park,0.0
Black Rock Forest,427.33
Black Rock State Park,160.02
Black Rock State Park,160.02
Cedar Bluff State Park,665.988
Parc d'État de Hyrum,1432.56
Hyrum State Park,1432.56
Lackawanna State Park,345.948
Mickey Hot Springs,1229.87
Mount Washington State Forest,448.056
Natural Bridge State Park (Massachusetts),298.094
Natural Bridge State Park (Massachusetts),298.094
Natural Bridge State Park (Massachusetts),298.094
Pisgah State Park,298.094
Rice Lake State Park,383.134
Parc d'État de Rice Lake,383.134
Sandy Point State Park,3.9624
Parc d'État Sebago Lake,81.9912
Sebago Lake State Park,81.9912
Split Rock Creek State Park,494.995
Tonto Natural Bridge State Park,1380.74
Tonto Natural Bridge,1380.74
Twin Falls Resort State Park,602.894
Wakonda State Park,248.107
Battle Ground Lake State Park,155.143
Cacapon Resort State Park,288.95
Fields Spring State Park,1213.1
Lahontan State Recreation Area,1297.84
Purgatory Chasm State Reservation,143.866
Seneca Creek State Park,67.056
Park stanowy Seneca Creek,67.056
William O'Brien State Park,244.145
Alewife Brook Reservation,3.6576
Alewife Brook Reservation,3.6576
Ames Nowell State Park,52.1208
Audra State Park,551.993
Ayubia National Park,2438.4
Parque nacional de Ayubia,2438.4
Banning State Park,341.986
Parc d'État de Banning,341.986
Bash Bish Falls State Park,345.034
Bash Bish Falls State Park,345.034
Bear Head Lake State Park,459.029
Parc d'État de Bear Head Lake,459.029
Bear Head Lake State Park,459.029
Bear Rocks Preserve,1218.9
Beartown State Park,1043.94
Бэртаун (парк штата),1043.94
Beaver Creek Valley State Park,253.898
Parc d'État de Beaver Creek Valley,253.898
Beech Fork State Park,220.066
Бич-Форк (парк штата),220.066
Berkeley Springs State Park,188.062
Беркли-Спрингс (парк штата),188.062
Big Bay State Park,195.986
Big Bay State Park,195.986
Big Stone Lake State Park,302.057
Blennerhassett Island Historical State Park,175.26
Blennerhassett Island Historic State Park,175.26
Бленнерхассетт-Айленд (парк штата),175.26
Bowring Ranch State Historical Park,993.038
Bradbury Mountain State Park,124.054
Buccaneer State Park,3.048
Buffalo River State Park (Minnesota),299.009
Cape Disappointment State Park,6.096
Cape Disappointment State Park,6.096
Cascade River State Park,223.114
Cheney State Park,441.96
Cimarron National Grassland,1033.0
Clark Creek Natural Area,13.1064
Clarkco State Park,98.1456
Clinton State Park,270.967
Codorus State Park,189.586
Coral Pink Sand Dunes State Park,1828.8
Coral Pink Sand Dunes State Park,1828.8
Parc d'État de Coral Pink Sand Dunes,1828.8
コーラルピンク砂丘州立公園,1828.8
Coral Pink Sand Dunes State Park,1828.8
Park stanowy Coral Pink Sand Dunes,1828.8
Cranberry Glades,1036.32
Crawford State Park (Kansas),302.971
Cross Timbers State Park,270.967
Crow Wing State Park,352.958
Custer State Park,1438.96
Parc d'État Custer,1438.96
Park stanowy Custer,1438.96
Droop Mountain Battlefield State Park,946.099
Друп-Маунтин-Батлфилд,946.099
Eagle Island State Park (Idaho),830.275
Edwards Run Wildlife Management Area,248.717
Eisenhower State Park (Kansas),330.098
El Dorado State Park,412.09
Elk City State Park,253.898
Flandrau State Park,259.994
Parc d'État Flandrau,259.994
Florewood State Park,39.9288
Fort Mill Ridge Wildlife Management Area,291.998
Fort Necessity National Battlefield,595.884
Fort Necessity,595.884
Fort Necessity,595.884
Great Meadows,595.884
Fort Snelling State Park,213.055
Parc d'État de Fort Snelling,213.055
Franklin Mountains State Park,1653.84
Freetown-Fall River State Forest,63.0936
Gaudineer Scenic Area,1217.98
Gauley River National Recreation Area,419.1
Gauley River National Recreation Area,419.1
George H. Crosby Manitou State Park,423.977
Glacial Lakes State Park,370.942
Glendalough State Park,405.079
Golden Memorial State Park,141.122
Gooseberry Falls State Park,253.898
Gooseberry Falls State Park,253.898
Parc d'État de Gooseberry Falls,253.898
Grand Portage State Park,257.861
Parc d'État de Grand Portage,257.861
Ha Ha Tonka State Park,214.884
Harkness Memorial State Park,9.144
Harkness Memorial State Park,9.144
Parque estatal conmemorativo de Harkness,9.144
Hawks Nest State Park,383.134
Hayes Lake State Park,366.065
Holmes County State Park,121.006
Holyoke Heritage State Park,35.052
Horseneck Beach State Reservation,4.8768
Hugh White State Park,95.0976
Illahee State Park,81.9912
Interstate Park,270.053
Jay Cooke State Park,282.854
Parc d'État de Jay Cooke,282.854
John A. Latsch State Park,262.128
Parc d'État John A. Latsch,262.128
John W. Kyle State Park,91.1352
Johnson's Shut-Ins State Park,337.109
Judge C. R. Magney State Park,327.05
Parc d'État du Juge C. R. Magney,327.05
Lake Lowndes State Park,73.152
LeFleur's Bluff State Park,85.0392
Parc d'État de LeFleur's Bluff,85.0392
Leadbetter Point State Park,13.1064
Leadbetter Point State Park,13.1064
Leroy Percy State Park,32.9184
Living Desert Zoo and Gardens State Park,975.36
Living Desert Zoo and Gardens State Park,975.36
Lost River State Park,620.878
Manchester State Park (Washington),6.096
Middlesex Fells Reservation,56.9976
Middlesex Fells Reservation,56.9976
Minneopa State Park,260.909
Monument Rocks (Kansas),802.0
Mount Blue State Park,370.027
Mount Greylock State Reservation,1062.84
Mushroom Rock State Park,488.0
Mushroom Rock State Park,488.0
Myre-Big Island State Park,374.904
Natchez State Park,72.8472
Nathaniel Mountain Wildlife Management Area,585.826
Nerstrand-Big Woods State Park,331.013
Pacific Pines State Park,4.8768
Pacific Pines State Park,4.8768
Paul B. Johnson State Park,67.056
Percy Quin State Park,99.9744
Ponca State Park,353.873
Providence Canyon State Park,152.4
Rocky Neck State Park,17.9832
Rocky Neck State Park,17.9832
Rye Patch State Recreation Area,1260.96
Saint Croix State Park,284.988
Parc d'État de Saint Croix,284.988
Shepard State Park,3.9624
Short Mountain Wildlife Management Area,624.535
St. Clement's Island State Park,3.048
Stone State Park,369.113
Tombigbee State Park,118.872
Trace State Park,121.92
Wall Doxey State Park,102.108
Washington Monument State Park,427.025
Washington Monument State Park,427.025
Washington Monument State Park,427.025
Park stanowy Washington Monument,427.025
Wild River State Park,235.915
Worlds End State Park,358.14
Parque Estatal del Fin del Mundo,358.14
Parc d'État de Worlds End,358.14
"Hope Island State Park (Mason County, Washington)",22.86
Pavlova Huť Nature Reserve,750.0
Allagash Wilderness Waterway,282.854
Bear Lake State Park (Utah),1798.32
Erving State Forest,232.867
Erving State Forest,232.867
Pillsbury Point State Park,434.035
Rock Creek State Park,281.026
Sand Hill Wildlife Management Area,365.76
Van Meter State Park,202.082
Parc d'État d'East Canyon,1737.36
East Canyon State Park,1737.36
Fenton Lake State Park,2407.92
Pahute Peak Wilderness,1677.0
Black Rock Desert Wilderness,1207.0
Parc d'État de Bottomless Lakes,1066.8
Bottomless Lakes State Park,1066.8
Clayton Lake State Park (New Mexico),1536.19
Clayton Lake State Park,1536.19
Dolliver Memorial State Park,306.324
East Fork High Rock Canyon Wilderness,1738.0
Garden of Santa Barbara (Braga),187.0
Jardim de Santa Bárbara,187.0
Hearts Content Scenic Area,576.986
High Rock Canyon Wilderness,1743.0
Leslie Gulch,818.083
Little High Rock Canyon Wilderness,1677.0
North Black Rock Range Wilderness,1918.0
North Jackson Mountains Wilderness,2363.0
South Jackson Mountains Wilderness,2290.0
Bhimbandh Wildlife Sanctuary,80.0
Parc d'État de Brantley Lake,1005.84
Brantley Lake State Park,1005.84
Caballo Lake State Park,1249.68
Chief Cornstalk Wildlife Management Area,228.6
Cimarron Canyon State Park,2286.0
Conaway Run Lake Wildlife Management Area,243.84
Dunkard Fork Wildlife Management Area,254.508
Eagle Nest Lake State Park,2529.84
Elephant Butte Lake State Park,1371.6
Fork Creek Wildlife Management Area,277.368
Frozen Camp Wildlife Management Area,204.216
Parc d'État de Great Salt Lake,1280.16
Great Salt Lake State Park,1280.16
Green Bottom Wildlife Management Area,164.592
Hillcrest Wildlife Management Area,328.574
Horse Creek Wildlife Management Area,361.798
Hughes River Wildlife Management Area,190.5
Hyde Memorial State Park,2590.8
Lewis Wetzel Wildlife Management Area,239.268
Manzano Mountains State Park,2316.48
McClintic Wildlife Management Area,178.308
Meadow River Wildlife Management Area,731.825
Mill Creek Wildlife Management Area,186.842
Nagarjunsagar-Srisailam Tiger Reserve,917.0
Pakke Tiger Reserve,2040.0
Pewit's Nest State Natural Area,271.882
Pleasant Creek Wildlife Management Area,370.332
Red Fleet State Park,1676.4
Riordan Mansion State Historic Park,2103.12
Utah Field House of Natural History State Park Museum,1615.44
Parque Estatal Monte Wasatch,1798.32
Wasatch Mountain State Park,1798.32
Wills Mountain State Park,245.059
Yuma Quartermaster Depot State Historic Park,36.576
Benger Swamp,15.0
Coed Nant Menascin,240.0
Buçaco Forest,547.0
Finley Point State Park,887.882
Frenchtown Pond State Park,965.911
Greycliff Prairie Dog Town State Park,1097.28
Greycliff Prairie Dog Town State Park,1097.28
Hell Creek State Park,680.009
Lake Mary Ronan State Park,1149.1
Logan State Park,1015.9
Pirogue Island State Park,722.681
Wayfarers State Park,890.93
Boyce Thompson Arboretum State Park,740.969
Boyce Thompson Arboretum State Park,740.969
Parque Estatal del Arboreto de Boyce Thompson,740.969
Bruneau Dunes State Park,752.856
Capulin Volcano National Monument,2494.0
Capulin Volcano National Monument,2494.0
Capulin Volcano National Monument,2494.0
Capulin Volcano National Monument,2494.0
Капилен,2494.0
Chatfield Hollow State Park,42.9768
Chatfield Hollow State Park,42.9768
Crowders Mountain State Park,422.148
Parc d'État de Crowders Mountain,422.148
Crowders Mountain State Park,422.148
Farragut State Park,626.059
Goose Creek State Park,0.0
Parc d'État de Goose Creek,0.0
Gorges State Park,579.12
Parc d'État de Gorges,579.12
Grand Army Plaza,39.9288
Grand Army Plaza (Brooklyn),39.9288
Grand Army Plaza,39.9288
Великая армейская площадь (Бруклин),39.9288
大军团广场 (布鲁克林),39.9288
Grulla National Wildlife Refuge,1177.0
Hammocks Beach State Park,0.0
Parc d'État de Hammocks Beach,0.0
Hells Gate State Park,223.418
Itasca State Park,474.878
Itasca State Park,474.878
Parc d'État d'Itasca,474.878
Jones Lake State Park,22.86
Jordan Lake State Recreation Area,65.8368
Kartchner Caverns State Park,1442.92
Kartchner Caverns State Park,1442.92
Parc d'État de Kartchner Caverns,1442.92
Kerr Lake State Recreation Area,96.9264
Kodachrome Basin State Park,1767.84
Kodachrome Basin State Park,1767.84
Parc d'État de Kodachrome Basin,1767.84
Kodachrome Basin State Park,1767.84
Park stanowy Kodachrome Basin,1767.84
Lake James State Park,365.76
Lake Norman State Park,243.84
Lake Norman State Park,243.84
Lake Waccamaw State Park,13.716
Ledges State Park,319.126
Lumber River State Park,31.0896
Medoc Mountain State Park,67.3608
Parc d'État de Medoc Mountain,67.3608
Merchants Millpond State Park,10.9728
Morrow Mountain State Park,134.112
Mount Jefferson State Natural Area,1420.37
Mount Mitchell State Park,1940.36
Parc d'État de Mount Mitchell,1940.36
Muleshoe National Wildlife Refuge,1143.0
New River State Park,827.837
Oregon Caves National Monument and Preserve,1334.11
Oregon Caves National Monument,1334.11
Monumento nacional Cuevas de Oregón,1334.11
Monument national des cavernes de l'Oregon,1334.11
Oregon Caves National Monument,1334.11
Peneda-Gerês National Park,381.0
Nationalpark Peneda-Gerês,381.0
Parque nacional de Peneda-Gerês,381.0
Parco nazionale di Peneda-Gerês,381.0
Parc national de Peneda-Gerês,381.0
Park Narodowy Peneda-Gerês,381.0
Nationaal park Peneda-Gerês,381.0
Parque Nacional da Peneda-Gerês,381.0
Пенеда-Жереш,381.0
Petrified Forest National Park,1656.89
Petrified-Forest-Nationalpark,1656.89
Parque nacional del Bosque Petrificado,1656.89
Parc national de Petrified Forest,1656.89
Parco nazionale di Petrified Forest,1656.89
化石の森国立公園,1656.89
Petrified Forest National Park,1656.89
Park Narodowy Skamieniałego Lasu,1656.89
Parque Nacional da Floresta Petrificada,1656.89
Петрифайд-Форест (национальный парк),1656.89
石化林國家公園,1656.89
Pettigrew State Park,3.048
佩蒂格魯州立公園,3.048
Raven Rock State Park,39.9288
Route 66 State Park,132.893
Singletary Lake State Park,15.24
Stone Mountain State Park,702.564
Stone Mountain State Park,702.564
Utah Lake State Park,1371.6
Parque Estatal del Lago Utah,1371.6
Afton State Park,285.902
Parc d'État d'Afton,285.902
Albany Pine Bush,97.536
Antelope Island State Park,1617.88
Antelope Island State Park,1617.88
Parc d'État d'Antelope Island,1617.88
Park stanowy Antelope Island,1617.88
Ashfall Fossil Beds,524.256
Beacon Rock State Park,599.846
Beacon Rock State Park,599.846
Bear Lake State Park (Idaho),1798.32
Blake Island,57.912
"Blake Island, Washington",57.912
Blue Springs State Park,92.0496
Bridle Trails State Park,155.143
Buck's Pocket State Park,232.867
Campbell Falls State Park Reserve,348.996
Campbell Falls State Park Reserve,348.996
Carley State Park,316.078
Catalina State Park,869.899
Cathedral Gorge State Park,1468.83
Cathedral Gorge State Park,1468.83
Crawford State Park (Washington),826.922
Crawford State Park (Washington),826.922
Crowder State Park,231.038
Dead Horse Point State Park,1798.32
Dead Horse Point State Park,1798.32
Dead Horse Point,1798.32
Parc d'État de Dead Horse Point,1798.32
Dead Horse Point State Park,1798.32
Park stanowy Dead Horse Point,1798.32
Deep Creek Lake State Park,750.113
Park stanowy Deep Creek Lake,750.113
Devil's Lake State Park (Wisconsin),405.079
Dolly Sods Wilderness,762.0
Elephant Rocks State Park,388.01
Father Hennepin State Park,388.925
Parc d'État de Father Hennepin,388.925
Forestville Mystery Cave State Park,385.877
Fort Abraham Lincoln,524.866
Fort Abraham Lincoln,524.866
Fuerte Abraham Lincoln,524.866
Fort Abraham Lincoln,524.866
Fort Abraham Lincoln,524.866
Fort Abraham Lincoln,524.866
Fort Columbia State Park,216.103
Fort Columbia State Park,216.103
Fort Frederick State Park,143.866
George P. Cossar State Park,84.1248
Ginkgo Petrified Forest State Park,241.097
Goldendale Observatory State Park,641.909
Goldendale Observatory State Park,641.909
Goosenecks State Park,1371.6
Goosenecks State Park,1371.6
Parc d'État de Goosenecks,1371.6
Parco statale di Goosenecks,1371.6
Goosenecks State Park,1371.6
Park stanowy Goosenecks,1371.6
Great River Bluffs State Park,387.096
Parc d'État de Great River Bluffs,387.096
Hudson Highlands State Park,384.048
J. P. Coleman State Park,170.078
Joe Wheeler State Park,174.041
John Day Fossil Beds National Monument,683.971
John Day Fossil Beds National Monument,683.971
John Day Fossil Beds National Monument,683.971
Keyhole State Park,1253.95
Keyhole State Park,1253.95
Lake Chelan State Park,339.852
Lake Guntersville State Park,270.053
Maquoketa Caves State Park,249.022
Massacre Rocks State Park,1341.12
Massacre Rocks State Park,1341.12
Parc d'État de Massacre Rocks,1341.12
Park stanowy Massacre Rocks,1341.12
Massasoit State Park,11.8872
Millersylvania State Park,61.8744
Monte Sano State Park,490.118
Mystery Bay State Park,4.8768
Oak Mountain State Park,223.114
Picacho Peak State Park,609.6
Point Lookout State Park,0.0
Quoddy Head State Park,11.8872
Quoddy Head State Park,11.8872
Rhododendron State Park,363.017
Rhododendron State Park,363.017
Rhododendron State Park,363.017
Ricketts Glen State Park,669.95
Ricketts Glen State Park,669.95
Parc d'État de Ricketts Glen,669.95
Ricketts Glen State Park,669.95
Rollins State Park,331.927
Savanna Portage State Park,390.144
Spencer Spit State Park,46.9392
Split Rock Lighthouse State Park,221.894
Split Rock Lighthouse State Park,221.894
Parc d'État de Split Rock Lighthouse,221.894
Spring Mountain Ranch State Park,1135.99
Squantz Pond State Park,139.903
Squantz Pond State Park,139.903
Sun Lakes-Dry Falls State Park,387.096
Tishomingo State Park,156.972
Tsuu T'ina Nation Indian Reserve No. 145,1160.0
Valley of Fire State Park,751.027
Valley of Fire,751.027
Parque estatal Valle del Fuego,751.027
Valley of Fire,751.027
Valley of Fire,751.027
Park stanowy Valley of Fire,751.027
Parque Estadual Vale do Fogo,751.027
وادي رم,1750.0
Wadi Rum,1750.0
Wadi Rum,1750.0
Uadi Rum,1750.0
Wadi Rum,1750.0
Uadi Rum,1750.0
Wadi Rum,1750.0
ワディ・ラム,1750.0
Wadi Rum,1750.0
Wadi Rum,1750.0
Вади-Рам,1750.0
瓦地伦,1750.0
Whitewater State Park,274.015
Wye Oak,13.1064
Wye Oak State Park,13.1064
Clark Island (Washington),28.956
Berwind Lake Wildlife Management Area,580.034
Chickasaw State Park (Alabama),39.9288
Réserve écologique des Gannet Islands,69.0
Gannet Islands Ecological Reserve,69.0
Mount Tom State Park,299.009
Mount Tom State Park,299.009
Mount Tom State Reservation,191.11
Patapsco Valley State Park,113.995
Sinks Canyon State Park,2089.1
Sinks Canyon State Park,2089.1
Parc d'État de Starvation,1737.36
Starvation State Park,1737.36
Buckskin Mountain State Park,120.091
Lake Bemidji State Park,410.87
Parc d'État de Lake Bemidji,410.87
Lake Maria State Park,299.009
Parque natural do Alvão,381.0
Nature Park of Alvão,381.0
Parc naturel du Alvão,381.0
Parque Natural do Alvão,381.0
Baltistan Wildlife Sanctuary,2400.0
Belmont Courthouse State Historic Park,2253.08
Belmont Courthouse State Historic Park,2253.08
Belmont Courthouse State Historic Park,2253.08
Cave Lake State Park,2193.95
Cave Lake State Park,2193.95
Park stanowy Cave Lake,2193.95
Dayton State Park,1328.93
Echo Canyon State Park,1630.07
Park stanowy Kanion Echa,1630.07
Kershaw–Ryan State Park,1464.56
Lake Shetek State Park,459.029
Lake Shetek State Park,459.029
Lake Tahoe – Nevada State Park,2401.82
