http://dbpedia.org/ontology/Wrestler,http://dbpedia.org/ontology/height
Yoshi Tatsu,1.85
Naofumi Yamamoto,1.85
Naofumi Yamamoto,1.85
Yoshi Tatsu,1.85
山本尚史,1.85
Naofumi Yamamoto,1.85
Yoshi Tatsu,1.85
Naofumi Yamamoto,1.85
"Ямамото, Наофуми",1.85
Yoshi Tatsu,1.85
Suren Markosyan,1.72
Suren Nalbandjan,1.63
"Налбандян, Сурен Рубенович",1.63
Suren Nalbandyan,1.63
Adelmo Bulgarelli,1.84
Adelmo Bulgarelli,1.84
Adelmo Bulgarelli,1.84
Adelmo Bulgarelli,1.84
"Булгарелли, Адельмо",1.84
Artak Hovhannisyan,1.69
Cat Power (wrestler),1.778
キャサリン・パワー,1.778
Catherine Power,1.778
César Curiel,1.74
Dale Veasey,1.7272
ドリー・ディクソン,1.75
Dory Dixon,1.75
Dory Funk,1.8034
Dory Funk,1.8034
Dory Funk,1.8034
ドリー・ファンク・シニア,1.8034
Dory Funk,1.8034
Earl Hebner,1.7018
إيرل هيبنر,1.7018
Earl Hebner,1.7018
Earl Hebner,1.7018
Earl Hebner,1.7018
Earl Hebner,1.7018
Earl Hebner,1.7018
El Gallo (wrestler),1.72
Electroshock (luchador),1.88
エレクトロ・ショック,1.88
Electroshock (wrestler),1.88
Ignazio Fabra,1.61
Ignazio Fabra,1.61
Ignazio Fabra,1.61
Ignazio Fabra,1.61
Ignazio Fabra,1.61
"Фабра, Игнацио",1.61
Jimmy Del Ray,1.778
Jimmy Del Ray,1.778
Jimmy Del Ray,1.778
Joe Coffey (professional wrestler),1.7018
József Balla,1.9
"Балла, Йожеф",1.9
József Balla,1.9
星野勘太郎,1.7
Kantaro Hoshino,1.7
Koji Kanemoto,1.8
Kōji Kanemoto,1.8
Kōji Kanemoto,1.8
金本浩二,1.8
Kory Chavis,1.905
Luke Robinson,1.8542
Luke Robinson (wrestler),1.8542
Marek Švec,1.86
Marek Švec,1.86
Marek Švec,1.86
Marek Švec,1.86
Mascarita Divina,1.56
Mascarita Dorada,1.34
Mascarita Dorada,1.34
Mascarita Dorada,1.34
Mascarita Dorada,1.34
Mascarita Dorada,1.34
Mascarita Sagrada,1.35
Mascarita Sagrada,1.35
Mascarita Sagrada,1.35
Mascarita Sagrada (2007),1.2
ミステリオッソ,1.72
Misterioso (wrestler),1.72
Paul Orndorff,1.8288
Paul Orndorff,1.8288
Paul Orndorff,1.8288
Paul Orndorff,1.8288
Paul Orndorff,1.8288
ポール・オーンドーフ,1.8288
Paul Orndorff,1.8288
Richard Parkyn,1.8288
Şərif Şərifov,1.8
Şərif Şərifov,1.8
Şərif Şərifov,1.8
シャリフ・シャリホフ,1.8
Şərif Şərifov,1.8
Sharif Sharifov,1.8
"Шарифов, Шариф Наидгаджавович",1.8
Sharif Sharifov,1.8
ボディガー,1.75
The Bodyguard (wrestler),1.75
バリエンテ,1.7
Valiente (wrestler),1.7
Wenelin Wenkow,1.63
Venelin Venkov,1.63
Zhirair Hovhannisian,1.73
Zhirayr Hovhannisyan,1.73
Bull Buchanan,1.9812
Barry Buchanan,1.9812
Barry Buchanan,1.9812
Barry Buchanan,1.9812
バリー・ブキャナン,1.9812
Barry Buchanan,1.9812
Barry Buchanan,1.9812
Clarence Mason,1.7526
آدم روز,1.8542
Ray Leppan,1.8542
Adam Rose,1.8542
Ray Leppan,1.8542
レイ・レッパン,1.8542
Ray Leppan,1.8542
Raymond Leppan,1.8542
Adam Rose,1.8542
"Роуз, Адам",1.8542
Adam Rose,1.8542
بو دالاس,1.8542
Bo Dallas,1.8542
Taylor Rotunda,1.8542
Bo Dallas,1.8542
Taylor Rotunda,1.8542
テイラー・ロタンダ,1.8542
Taylor Rotunda,1.8542
Bo Dallas,1.8542
Bo Dallas,1.8542
Бо Даллас,1.8542
波·達勒斯,1.8542
Bo Dallas,1.8542
سي جي باركر,1.905
Joe Robinson,1.905
Joe Robinson (catch),1.905
ジョー・ロビンソン,1.905
CJ Parker,1.905
كورت هوكينز,1.8542
Curt Hawkins,1.8542
Brian Myers,1.8542
Brian Myers,1.8542
Curt Hawkins,1.8542
ブライアン・マイヤーズ,1.8542
Curt Hawkins,1.8542
Curt Hawkins,1.8542
Curt Hawkins,1.8542
Curt Hawkins,1.8542
Курт Хоукинс,1.8542
كورتيس اكسل,1.905
Curtis Axel,1.905
Joe Hennig,1.905
Joseph Hennig,1.905
Curtis Axel,1.905
ジョー・ヘニング,1.905
Joe Hennig,1.905
Curtis Axel,1.905
Curtis Axel,1.905
"Хенниг, Джо",1.905
Curtis Axel,1.905
柯爾提斯·艾克賽爾,1.905
إبيكو,1.8288
Orlando Colón,1.8288
Orlando Colón,1.8288
Orlando Colón,1.8288
オーランド・コロン,1.8288
Orlando Colón,1.8288
Epico,1.8288
"Колон, Орландо",1.8288
Epico,1.8288
إيريك رون,2.032
Erick Rowan,2.032
Erick Rowan,2.032
Erick Rowan,2.032
Erick Rowan,2.032
ジョセフ・ルード,2.032
Joseph Ruud,2.032
Erick Rowan,2.032
Erick Rowan,2.032
"Роуэн, Эрик",2.032
埃爾伊克·洛望,2.032
Erick Rowan,2.032
فين بالور,1.8034
Fergal Devitt,1.8034
Fergal Devitt,1.8034
Finn Bálor,1.8034
Finn Bálor,1.8034
Finn Bálor,1.8034
ファーガル・デヴィット,1.8034
Finn Bálor,1.8034
Finn Bálor,1.8034
Finn Bálor,1.8034
Финн Балор,1.8034
هونيكو,1.778
Jorge Arias,1.778
Hunico,1.778
Sin Cara (Hunico),1.778
ホルヘ・アリアス,1.778
Jorge Arias,1.778
Hunico,1.778
Hunico,1.778
Унико,1.778
جيسون جوردين,1.905
Jason Jordan,1.905
Jason Jordan,1.905
Nathan Everhart,1.905
Jason Jordan,1.905
Jason Jordan,1.905
Jason Jordan,1.905
كونر,1.9304
Ryan Parmeter,1.9304
Ryan Parmeter,1.9304
Konnor O'Brian,1.9304
ライアン・パーメーター,1.9304
Ryan Parmeter,1.9304
Konnor,1.9304
Konnor,1.9304
Konnor (wrestler),1.9304
康納·歐布萊恩 (摔角手),1.9304
لوك هاربر,1.9558
Luke Harper,1.9558
Luke Harper,1.9558
Luke Harper,1.9558
Luke Harper,1.9558
ジョン・フーバー,1.9558
Jon Huber,1.9558
Luke Harper,1.9558
Luke Harper,1.9558
Luke Harper,1.9558
Люк Харпер,1.9558
盧克·哈波爾,1.9558
سمر راي,1.524
Summer Rae,1.524
Summer Rae,1.524
Summer Rae,1.524
Danielle Moinet,1.524
Summer Rae,1.524
Саммер Рэй,1.524
Summer Rae,1.524
فيكتور (مصارع),1.8796
Eric Thompson (luchador),1.8796
Rick Victor,1.8796
Eric Thompson (catcheur),1.8796
エリック・トンプソン,1.8796
Viktor,1.8796
Viktor,1.8796
瑞克·維克托,1.8796
Viktor (wrestler),1.8796
أكزافير وودز,1.8034
Xavier Woods,1.8034
Xavier Woods,1.8034
Xavier Woods,1.8034
Xavier Woods,1.8034
オースティン・ワトソン,1.8034
Xavier Woods,1.8034
Consequences Creed,1.8034
Xavier Woods,1.8034
Xavier Woods,1.8034
Illja Mate,1.87
Illya Mate,1.87
Illya Mate,1.87
"Мате, Илья Фёдорович",1.87
Ilya Mate,1.87
Art Crews,1.8542
葛西純,1.73
Jun Kasai,1.73
Jun Kasai,1.73
Angel of Death (wrestler),1.9558
ハイビスカスみぃ,1.52
Apple Miyuki,1.52
Bill Tabb,1.8796
Chip Minton,1.8542
Chip Minton,1.8542
Dances with Dudley,1.8034
ダンプ松本,1.63
Dump Matsumoto,1.63
ジェシー・バー,1.8288
Ferrin Barr Jr.,1.8288
Glenn Kulka,1.905
Gustav Freij,1.7
Gustav Freij,1.7
Gustav Freij,1.7
Gustav Freij,1.7
Gustav Freij,1.7
Gustav Freij,1.7
"Фрей, Густав",1.7
Hubert Gallant,1.778
Johan Richthoff,1.98
Johan Richthoff,1.98
Johan Richthoff,1.98
Johan Richthoff,1.98
Johan Richthoff,1.98
Johan Richthoff,1.98
"Рихтгоф, Юхан",1.98
Jordan Radev,1.7018
Karloff Lagarde,1.69
Kengo Mashimo,1.8
真霜拳號,1.8
Kengo Mashimo,1.8
カート・ベイヤー,1.9
Kurt Beyer,1.9
La Máscara,1.75
ラ・マスカラ,1.75
La Máscara (wrestler),1.75
Lou Perez,1.8288
Marty Scurll,1.7018
Marty Scurll,1.7526
Mijaín López,1.98
Mijaín López Núñez,1.98
Mijaín López,1.98
Mijaín López,1.98
ミハイン・ロペス,1.98
Mijaín López,1.98
Mijaín López,1.98
"Лопес Нуньес, Михаин",1.98
Mijaín López,1.98
Ranger Ross,1.778
Ric Savage,1.9558
Ric Savage,1.9558
Rick Fuller,1.9558
リック・フーラー,1.9558
Rick Fuller,1.9558
Rick Michaels,1.8288
Ricky Rice,1.8796
Rudolf Svensson,1.91
Rudolf Svensson,1.91
Rudolf Svensson,1.91
Rudolf Svensson,1.91
Rudolf Svensson,1.91
Rudolf Svensson,1.91
"Свенссон, Рудольф",1.91
Soldat Ustinov,1.9558
Steve Bradley,1.8796
Stevie Knight,1.8034
The Italian Stallion (wrestler),1.905
ウイルバー・スナイダー,1.8796
Wilbur Snyder,1.8796
Abe Jacobs,1.905
Billy Suede,1.7018
Chris Botherway,1.8288
Dennis Rivera,1.8796
El Phantasmo,1.8288
Pequeño Violencia,1.57
Scotty Mac,1.7526
Mark Briscoe,1.8288
Mark Briscoe,1.8288
マーク・ブリスコ,1.8288
Mark Briscoe,1.8288
Mark Briscoe,1.8288
Amber O'Neal,1.7272
Amber O'Neal,1.7272
Amber O'Neal,1.7272
アンバー・オニール,1.7272
Danshoku Dino,1.79
Danshoku Dino,1.79
男色ディーノ,1.79
كيلي كيلي,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
ケリー・ケリー,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
Kelly Kelly,1.651
Келли Келли,1.651
Alex Pourteau,1.8034
Bubblegum (wrestler),1.6764
بوفايسار سايتيف,1.83
Buwaissar Chamidowitsch Saitijew,1.83
Buvaisar Saitíyev,1.83
Buvaisar Saitiev,1.83
Buvaysar Saytiev,1.83
Buvajsar Sajtiev,1.83
ブバイサ・サイティエフ,1.83
Buwajsar Sajtijew,1.83
"Сайтиев, Бувайсар Хамидович",1.83
Donna Christanello,1.7272
ドナ・クリスタネーロ,1.7272
Elizabeth Miklosi,1.6256
Fidel Sierra,1.8796
Greg Bownds,1.8288
Ikuto Hidaka,1.7
Ikuto Hidaka,1.7
日高郁人,1.7
J. P. Monroe,1.778
Mad Man Pondo,1.778
マッドマン・ポンド,1.778
Mad Man Pondo,1.778
Masaki Okimoto,1.65
Masaki Okimoto,1.65
沖本摩幸,1.65
Masato Yoshino,1.73
Masato Yoshino,1.73
Masato Yoshino,1.73
Masato Yoshino,1.73
吉野正人,1.73
Mika Akino,1.6
AKINO (プロレスラー),1.6
Osamu Nishimura,1.85
Osamu Nishimura,1.85
西村修,1.85
Roni Jonah,1.7526
Roni Jonah,1.7526
Roni Jonah,1.7526
Rusty Brooks,1.8288
سانتينو ماريلا,1.8288
Santino Marella,1.8288
Anthony Carelli,1.8288
Santino Marella,1.8288
Santino Marella,1.8288
Santino Marella,1.8288
サンティーノ・マレラ,1.8288
Santino Marella,1.8288
Santino Marella,1.8288
Santino Marella,1.8288
Сантино Марелла,1.8288
桑提諾·馬瑞拉,1.8288
Sirelda,1.778
ジェイミー・ドーンシー,1.778
Takuya Sugi,1.63
Takuya Sugi,1.63
Takuya Sugi,1.63
SUGI,1.63
The Maestro (wrestler),1.8542
إي جي ستايلز,1.8034
A.J. Styles,1.8034
AJ Styles,1.8034
A.J. Styles,1.8034
A.J. Styles,1.8034
A.J. Styles,1.8034
アレン・ジョーンズ,1.8034
A.J. Styles,1.8034
A.J. Styles,1.8034
A.J. Styles,1.8034
Эй Джей Стайлз,1.8034
Eugene (wrestler),1.8288
Nick Dinsmore,1.8288
Nick Dinsmore,1.8288
Nicholas Dinsmore,1.8288
Eugene (wrestler),1.8288
ニコラス・ディンスモア,1.8288
Nick Dinsmore,1.8288
Nick Dinsmore,1.8288
José Lothario,1.7018
Jose Lothario,1.7018
ホセ・ロザリオ,1.7018
Jose Lothario,1.7018
Brian Pillman,1.8288
Brian Pillman,1.8288
Brian Pillman,1.8288
Brian Pillman,1.8288
Brian Pillman,1.8288
ブライアン・ピルマン,1.8288
Brian Pillman,1.8288
Brian Pillman,1.8288
布萊恩·菲爾曼,1.8288
لوثر رينز,1.9558
Luther Reigns,1.9558
Matt Wiese,1.9558
Luther Reigns,1.9558
Matt Wiese,1.9558
マット・ヴィーゼ,1.9558
Matt Cappotelli,1.8288
Matt Cappotelli,1.8288
Matt Cappotelli,1.8288
Matt Cappotelli,1.8288
Nidia Guenard,1.6764
Nidia (wrestler),1.6764
Nidia Guenard,1.6764
"Гьюнард, Нидия",1.6764
Tiffany Million,1.651
Tyffany Million,1.651
Tiffany Million,1.651
Tyffany Million,1.651
Johan Eurén,1.92
Johan Eurén,1.92
Johan Eurén,1.92
Johan Eurén,1.92
Johan Eurén,1.92
Johan Eurén,1.92
"Джабурян, Мигран",1.6
米赫蘭·傑布瑞恩,1.6
Mihran Jaburyan,1.6
أيدين أنجليش,1.905
Matt Rehwoldt,1.905
Aiden English,1.905
Matt Rehwoldt,1.905
マット・リーヴォルト,1.905
Aiden English,1.905
Aiden English,1.905
Aiden English,1.905
بارون كوربن,2.032
Baron Corbin,2.032
Thomas Pestock,2.032
Baron Corbin,2.032
Thomas Pestock,2.032
トム・ペストック,2.032
Baron Corbin,2.032
Baron Corbin,2.032
برودس كلاي,2.0066
George Murdoch (luchador),2.0066
George Murdoch,2.0066
Brodus Clay,2.0066
ブローダス・クレイ,2.0066
Brodus Clay,2.0066
Brodus Clay,2.0066
Brodus Clay,2.0066
Бродус Клэй,2.0066
Brodus Clay,2.0066
سايمون غوتش,1.905
John Smith (luchador profesional),1.905
Ryan Drago,1.905
Simon Gotch,1.905
ライアン・ドラゴ,1.905
Simon Gotch,1.905
Simon Gotch,1.905
Simon Gotch,1.905
سيلفستر ليفورت,1.8
Thomas La Ruffa,1.8
Tom La Ruffa,1.8
Sylvester Lefort,1.8
トム・ラ・ルファ,1.8
Sylvester Lefort,1.8
توم فيليبس,1.8288
Tom Phillips (comentarista),1.8288
Tom Phillips (wrestling),1.8288
Alicia Fox,1.7526
Alicia Fox,1.7526
Alicia Fox,1.7526
Alicia Fox,1.7526
ビクトリア・クロフォード,1.7526
Victoria Crawford,1.7526
Alicia Fox,1.7526
Alicia Fox,1.7526
Alicia Fox,1.7526
Алисия Фокс,1.7526
ベスティア・サルバヘ,1.72
Bestia Salvaje,1.72
Chase Tatum,1.9304
Don Curtis,1.8542
Eino Aukusti Leino,1.74
Eino Leino (lutte),1.74
Eino Aukusti Leino,1.74
Eino Leino (wrestler),1.74
"Лейно, Эйно (борец)",1.74
Gō Shiozaki,1.83
潮崎豪,1.83
Go Shiozaki,1.83
Jon Bolen,1.778
Jordan McColl,1.778
Kenichi Sakai,1.78
Ken45゜,1.78
Kenichi Sakai,1.78
Konan Big,1.85
Konan Big,1.85
Lena Yada,1.6256
Lena Yada,1.6256
Lena Yada,1.6256
Lena Yada,1.6256
"Яда, Лена",1.6256
Martin Casaus,1.8796
René Guajardo,1.69
Ricky Landell,1.8542
Yoshiyuki Saito,1.78
SAITO,1.78
Super Shisa,1.78
Taiji Ishimori,1.63
Taiji Ishimori,1.63
石森太二,1.63
Taiji Ishimori,1.63
Takeshi Sato,1.78
Takeshi Sato,1.78
Brahman Brothers,1.7
バラモン兄弟,1.7
The Brahman Brothers,1.7
Tony Salantri,1.8542
Aero Star,1.69
Aero Star,1.69
エアロスター (プロレスラー),1.69
Aero Star,1.69
アニー・ソーシャル,1.6002
Annie Social,1.6002
"Dragón Rojo, Jr.",1.8
ドラゴン・ロホ・ジュニア,1.8
Dragón Rojo Jr.,1.8
El Ángel (wrestler),1.73
Fuzzy Cupid,1.2192
Iceberg (wrestler),1.8542
Joe Líder,1.7526
ジョー・ライダー,1.7526
Joe Líder,1.7526
Kzy,1.7
Kzy,1.7
Laredo Kid,1.7
ラレド・キッド,1.7
Laredo Kid,1.7
ローラ・ゴンザレス,1.63
Lola Gonzales,1.63
Mikael Judas,1.9304
マイケル・ジューダス,1.9304
Mikael Judas,1.9304
Mikael Judas,1.9304
Miss Janeth,1.65
Pegasso,1.7
レイ・コメタ,1.72
Rey Cometa,1.72
Sam Johnston,1.778
Sami Callihan,1.778
サミ・キャラハン,1.778
Sami Callihan,1.778
Sangre Azteca,1.75
サングレ・アステカ,1.75
Sangre Azteca,1.75
Super Fly (wrestler),1.68
Tyrant Eric Dawson,1.8288
Vordell Walker,1.8288
Vordell Walker,1.8288
ウェズナー・ビュージック,1.778
Wesna,1.778
スレイマ,1.6256
Zuleyma,1.6256
Almat Kebispajew,1.66
Almat Kebispayev,1.66
Ałmat Kebyspajew,1.66
"Кебиспаев, Алмат Кабдрашевич",1.66
Almat Kebispayev,1.66
Cenk İldem,1.82
Cenk İldem,1.82
Cenk İldem,1.82
Cenk İldem,1.82
Cenk İldem,1.82
"Ильдем, Дженк",1.82
Cenk İldem,1.82
Aqschürek Tanatarow,1.7
Akzhurek Tanatarov,1.7
Akzhurek Tanatarov,1.7
Akżürek Tangatarow,1.7
"Танатаров, Акжурек Достыкович",1.7
Akzhurek Tanatarov,1.7
Anastasija Grigorjeva,1.7
Anastasija Grigorjeva,1.7
Anastasija Grigorjeva,1.7
Anastasija Grigorjeva,1.7
"Григорьева, Анастасия",1.7
Anastasija Grigorjeva,1.7
Cha Kwang-su,1.64
Cha Kwang-su,1.64
Cha Kwang-su,1.64
Dorothy Yeats,1.6
Dorothy Yeats,1.6
Dorothy Yeats,1.6
Dorothy Yeats,1.6
Ellis Coleman,1.75
Ellis Coleman,1.75
Ellis Coleman,1.75
Helen Maroulis,1.6002
Helen Maroulis,1.6002
Helen Maroulis,1.6002
ヘレン・マルーリス,1.6002
Helen Maroulis,1.6002
Helen Maroulis,1.6002
"Марулис, Хелен",1.6002
Helen Maroulis,1.6002
Iossif Tschuhaschwili,1.88
Iosif Chugoshvili,1.88
Ioseb Czugoszwili,1.88
"Чугошвили, Иосиф Иванович",1.88
Ioseb Chugoshvili,1.88
Jaime Yusept Espinal,1.78
Jaime Espinal,1.78
Jaime Espinal,1.78
Jaime Espinal,1.78
"Эспиналь, Хайме",1.78
Jaime Espinal,1.78
Camaləddin Məhəmmədov,1.85
Cәmalәddin Mәhәmmәdov,1.85
Camaləddin Maqomedov,1.85
Dżamaładdin Magomiedow,1.85
"Магомедов, Джамаладдин Гаджиевич",1.85
Jamaladdin Magomedov,1.85
Komeil Ghasemi,1.83
