http://dbpedia.org/ontology/WinterSportPlayer,http://dbpedia.org/ontology/weight
Krzysztof Oliwa,111132.0
Krzysztof Oliwa,111132.0
Krzysztof Oliwa,111132.0
"Олива, Кшиштоф",111132.0
Kurtis Mucha,83462.4
Larry Hillman,81648.0
Larry Hillman,81648.0
Larry Wright,79380.0
Larry Wright (ice hockey),79380.0
Len Frig,86184.0
Luke Sellars,88452.0
Luke Sellars,88452.0
Luke Sellars,88452.0
Magnus Svensson (Eishockeyspieler),81648.0
Magnus Svensson (hockey sur glace),81648.0
Magnus Svensson (ice hockey b. 1963),81648.0
Mario Tremblay,83916.0
Mario Tremblay,83916.0
Mark Fitzpatrick,89812.8
Mark Fitzpatrick,89812.8
Mark Fitzpatrick,89812.8
Mark Green (ice hockey),90720.0
Mark Hunter (Eishockeyspieler),92988.0
Mark Hunter (ice hockey),92988.0
Mark Hunter,92988.0
"Хантер, Марк (хоккеист)",92988.0
Mark Murphy (Eishockeyspieler),91627.2
Mark Murphy (ice hockey),91627.2
Mark Stuart,97524.0
Mark Stuart (ice hockey),97524.0
Mark Stuart,97524.0
"Стюарт, Марк",97524.0
Markus Mattsson,82555.2
Markus Mattsson,82555.2
Markus Mattsson,82555.2
Martin Kariya,79380.0
Martin Kariya,79380.0
Martin Kariya,79380.0
Martin Kariya,79380.0
マーティン・カリヤ,79380.0
"Кария, Мартин",79380.0
"Mathieu Roy (Eishockeyspieler, 1983)",97070.4
Mathieu Roy,97070.4
"Mathieu Roy (hockey sur glace, 1983)",97070.4
"Mathieu Roy (hockey sur glace, 1986)",88905.6
Mathieu Roy (ice hockey),88905.6
Mike Brennan,92988.0
Mike Brennan,92988.0
Michael Brennan (ice hockey),92988.0
Michael Davies,80740.8
Michael Davies (hockey sur glace),80740.8
Michael Davies (ice hockey),80740.8
Michael Rupp,110225.0
Michael Rupp,110225.0
Michael Rupp,110225.0
Michael Rupp,110225.0
"Рапп, Майкл",110225.0
Mika Hannula,86184.0
Mika Hannula,86184.0
Mika Hannula,86184.0
Mika Hannula,86184.0
"Ханнула, Мика",86184.0
Mika Niskanen,87998.4
Mika Noronen,86637.6
Mika Noronen,86637.6
Mika Noronen,86637.6
Mika Noronen,86637.6
"Норонен, Мика",86637.6
Mika Strömberg,85730.4
Mika Strömberg,85730.4
Mika Strömberg,85730.4
Mika Zibanejad,95709.6
Mika Zibanejad,95709.6
"Зибанежад, Мика",95709.6
Mika Zibanejad,95709.6
Mike Bales,84823.2
Mike Bales,84823.2
Mike Ricci,90720.0
Mike Ricci,90720.0
Mike Ricci,90720.0
"Риччи, Майк",90720.0
Newsy Lalonde,76204.8
Newsy Lalonde,76204.8
Édouard Lalonde,76204.8
Newsy Lalonde,76204.8
Nick Sirota,85276.8
Nick Sirota,85276.8
Nolan Schaefer,88452.0
Nolan Schaefer,88452.0
Nolan Schaefer,88452.0
Nolan Schaefer,88452.0
"Шефер, Нолан",88452.0
Oliver Ekman Larsson,91173.6
Oliver Ekman Larsson,91173.6
Oliver Ekman Larsson,91173.6
"Экман-Ларссон, Оливер",91173.6
Oliver Ekman-Larsson,91173.6
Oly Hicks,83916.0
Owen Nolan,97070.4
Owen Nolan,97070.4
Owen Nolan,97070.4
Owen Nolan,97070.4
Owen Nolan,97070.4
"Нолан, Оуэн",97070.4
Pat Hughes (ice hockey),81648.0
Pat Jablonski,84823.2
Pat Jablonski,84823.2
Pat Rupp,81648.0
Pat Rupp,81648.0
Pat Rupp,81648.0
Patrice Bergeron,88452.0
Patrice Bergeron,88452.0
Patrice Bergeron,88452.0
Patrice Bergeron,88452.0
Patrice Bergeron,88452.0
"Бержерон, Патрис",88452.0
Patrick O’Sullivan,86184.0
Patrick O'Sullivan,86184.0
Patrick O'Sullivan,86184.0
Patrick Roy,86184.0
Patrick Roy,86184.0
Patrick Roy (hockey sur glace),86184.0
Patrick Roy,86184.0
パトリック・ロワ,86184.0
Patrick Roy,86184.0
Patrick Roy,86184.0
"Руа, Патрик",86184.0
Patrick Russell (ice hockey),92988.0
Paul Ballantyne,90720.0
Paul Ballantyne (ice hockey),90720.0
Paul Kariya,81648.0
Paul Kariya,81648.0
Paul Kariya,81648.0
Paul Kariya,81648.0
ポール・カリヤ,81648.0
Paul Kariya,81648.0
Paul Kariya,81648.0
"Кария, Пол",81648.0
Pavel Rosa,87998.4
Pavel Rosa,87998.4
Pavel Rosa,87998.4
Pavel Rosa,87998.4
Pavel Rosa,87998.4
Percy Traub,79380.0
Percy Traub,79380.0
Peter Morris (ice hockey),74844.0
Phil Esposito,92988.0
Phil Esposito,92988.0
Phil Esposito,92988.0
フィル・エスポジト,92988.0
Phil Esposito,92988.0
Phil Esposito,92988.0
"Эспозито, Фил",92988.0
Phil Esposito,92988.0
Randy Wood,88452.0
Randy Wood (ice hockey),88452.0
René Robert (Eishockeyspieler),83462.4
René Robert,83462.4
René Robert (hockey sur glace),83462.4
"Ron Anderson (ice hockey, born 1945)",77112.0
"Ron Anderson (ice hockey, born 1948)",83916.0
"Ron Anderson (ice hockey, born 1950)",74844.0
Ron Lalonde,77112.0
Ron Stackhouse,83916.0
Ron Stackhouse,83916.0
Ron Stackhouse,83916.0
Rory Fitzpatrick,95256.0
Rory Fitzpatrick,95256.0
Rory Fitzpatrick,95256.0
ロリー・フィッツパトリック,95256.0
Ross Smith (ice hockey),83462.4
Ryan Flinn (ice hockey),112493.0
Ryan Flinn,112493.0
Ryan Johnson (Eishockeyspieler),90266.4
Ryan Johnson (ice hockey),90266.4
Ryan Johnson (hockey sur glace),90266.4
Réal Cloutier,83916.0
Réal Cloutier,83916.0
Réal Cloutier,83916.0
Scott Nichol,81648.0
Scott Nichol,81648.0
Scott Nichol,81648.0
Scott Thomas (ice hockey),91627.2
Sean Gauthier,91627.2
Sean Gauthier,91627.2
Shawn Bates,95256.0
Shawn Bates,95256.0
"Бэйтс, Шон",95256.0
Steve Kariya,77112.0
Steve Kariya,77112.0
Steve Kariya,77112.0
スティーヴ・カリヤ,77112.0
Stéphane Beauregard,86184.0
Stéphane Beauregard,86184.0
Sébastien Charpentier (Eishockeyspieler),80287.2
Sébastien Charpentier (ice hockey),80287.2
Sébastien Charpentier (hockey sur glace),80287.2
Terry Smith (ice hockey),83916.0
Tim Miller (Eishockeyspieler),86184.0
Tim Miller (ice hockey),86184.0
Tim Young (Eishockeyspieler),86184.0
Tim Young (ice hockey),86184.0
Tim Young (hockey sur glace),86184.0
Timmy Pettersson,87091.2
Timmy Pettersson,87091.2
"Петтерссон, Тимми",87091.2
Timmy Pettersson,87091.2
Todd Harkins,95256.0
Todd Marchant,81648.0
Todd Marchant,81648.0
Todd Marchant,81648.0
"Маршан, Тодд",81648.0
"Tom Williams (ice hockey, born 1951)",84823.2
"Tom Williams (hockey sur glace, 1951)",84823.2
Tommy Smith (ice hockey),68040.0
Tommy Smith (Eishockeyspieler),68040.0
Tommy Smith (hockey sur glace),68040.0
Tomáš Filippi,84823.2
"Филиппи, Томаш",84823.2
Tomáš Filippi,84823.2
Tony Esposito,83916.0
Tony Esposito,83916.0
Tony Esposito,83916.0
Tony Esposito (hockeista su ghiaccio),83916.0
トニー・エスポジト,83916.0
Tony Esposito (hokeista),83916.0
"Эспозито, Энтони Джеймс",83916.0
Ville Peltonen,82555.2
Ville Peltonen,82555.2
Ville Peltonen,82555.2
Ville Peltonen,82555.2
Ville Peltonen,82555.2
"Пелтонен, Вилле",82555.2
Yang Yang (A),60000.0
Yang Yang (A),60000.0
Yang Yang (A),60000.0
Yang Yang (A),60000.0
楊揚,60000.0
Yang Yang (A),60000.0
Yang Yang (A),60000.0
Yang Yang (A),60000.0
Ян Ян (A),60000.0
楊揚,60000.0
Yann Danis,83916.0
Yann Danis,83916.0
Yann Danis,83916.0
Zac Dalpe,88452.0
Zac Dalpe,88452.0
Zac Rinaldo,83916.0
Zac Rinaldo,83916.0
Zac Rinaldo,83916.0
Antonín Dušek,87998.4
Brett Leonhardt,83916.0
Chris McPhail,94802.4
Ernie Dickens,78472.8
Ernie Dickens,78472.8
Jan Holub (ice hockey),81648.0
Jan Plodek,74844.0
Karol Jets,72122.4
Lucas Burnett,101606.0
Marek Pinc,74844.0
Marek Pinc,74844.0
Marek Pinc,74844.0
Marek Černošek,89812.8
Michal Fikrt,84823.2
Michal Fikrt,84823.2
Michal Fikrt,84823.2
Mikko Niemi (ice hockey),79833.6
Paul Postma,88452.0
Paul Postma,88452.0
Paul Postma,88452.0
Pavel Kašpařík,93895.2
Pavel Kašpařík,93895.2
Petr Čáslava,99792.0
Petr Čáslava,99792.0
Petr Čáslava,99792.0
"Часлава, Петр",99792.0
Petr Čáslava,99792.0
Petr Šachl,88452.0
Petr Šachl,88452.0
Tomáš Duba,76658.4
Tomáš Duba,76658.4
Tomáš Rolinek,83916.0
Tomáš Rolinek,83916.0
Tomáš Rolinek,83916.0
"Ролинек, Томаш",83916.0
Tomáš Rolinek,83916.0
Valdemar Jiruš,95709.6
Václav Skuhravý,99792.0
Václav Skuhravý,99792.0
Bill Touhey,70308.0
Bill Touhey,70308.0
Bruce Eakin,86184.0
Bruce Eakin,86184.0
Cody Eakin,87091.2
Cody Eakin,87091.2
"Икин, Коди",87091.2
Cody Eakin,87091.2
Daniel Brodin,73936.8
Daniel Brodin,73936.8
Daniel Brodin,73936.8
Dominic Jalbert,76204.8
Donald Audette,87091.2
Donald Audette,87091.2
Donald Audette,87091.2
Frank Fredrickson,81648.0
Frank Fredrickson,81648.0
Frank Fredrickson,81648.0
Frank Fredrickson,81648.0
Haldor Halderson,90720.0
Haldor Halderson,90720.0
Haldor Halderson,90720.0
Hamby Shore,79380.0
Samuel Shore,79380.0
James Sanford (hockey sur glace),91173.6
James Sanford (ice hockey),91173.6
Jay Pandolfo,86184.0
Jay Pandolfo,86184.0
Jay Pandolfo,86184.0
Jay Pandolfo,86184.0
Jay Pandolfo,86184.0
"Пандолфо, Джей",86184.0
Jay Pandolfo,86184.0
John Ingoldsby,95256.0
Jonas Brodin,87998.4
Jonas Brodin,87998.4
Jonas Brodin,87998.4
Jonas Brodin,87998.4
Juuso Puustinen,83916.0
Juuso Puustinen,83916.0
Juuso Puustinen,83916.0
Kevin Evans (Eishockeyspieler),82555.2
Kevin Evans (ice hockey),82555.2
Marcus Ragnarsson,94802.4
Marcus Ragnarsson,94802.4
Marcus Ragnarsson,94802.4
Michael Leighton,84369.6
Michael Leighton,84369.6
Michael Leighton,84369.6
"Лейтон, Майкл",84369.6
Mikko Markkanen,79833.6
Reto Berra,95256.0
Reto Berra,95256.0
Reto Berra,95256.0
"Берра, Рето",95256.0
Reto Berra,95256.0
Reto Suri,83916.0
Reto Suri,83916.0
"Зури, Рето",83916.0
Reto Suri,83916.0
Ryan Hegarty,95256.0
Sami Lepistö,87998.4
Sami Lepistö,87998.4
Sami Lepistö,87998.4
Sami Lepistö,87998.4
Sami Lepistö,87998.4
"Леписто, Сами",87998.4
Scott Kelman,89359.2
Ted Lindsay,73936.8
Ted Lindsay,73936.8
Ted Lindsay,73936.8
テッド・リンジー,73936.8
Ted Lindsay,73936.8
Ted Lindsay,73936.8
"Линдсей, Тед",73936.8
Teemu Eronen,79833.6
"Эронен, Теэму",79833.6
Teemu Eronen,79833.6
Teemu Hartikainen,99792.0
Teemu Hartikainen,99792.0
Teemu Hartikainen,99792.0
"Хартикайнен, Теему",99792.0
Teemu Hartikainen,99792.0
Teemu Kesä,94802.4
Teemu Kesä,94802.4
Teemu Lassila,87091.2
Teemu Lassila,87091.2
Teemu Lassila,87091.2
"Лассила, Теему",87091.2
Teemu Lassila,87091.2
Teemu Metso,79833.6
Teemu Normio,94802.4
Teemu Normio,94802.4
Teemu Ramstedt,84823.2
Teemu Ramstedt,84823.2
"Рамстедт, Теему",84823.2
Teemu Ramstedt,84823.2
Teemu Rautiainen,69854.4
Teemu Riihijärvi,97070.4
Teemu Riihijärvi,97070.4
Teemu Riihijärvi,97070.4
Teemu Rinkinen,80740.8
Teemu Rinkinen,80740.8
Teemu Virtanen,92080.8
Thomas Hurley (ice hockey),91173.6
Todd Kelman,88452.0
Tony Salmelainen,83916.0
Tony Salmelainen,83916.0
Tony Salmelainen,83916.0
Tony Salmelainen,83916.0
Trond Magnussen,84823.2
Witali Michailowitsch Jeremejew,75751.2
Vitali Ieremeïev,75751.2
Witalij Jeriemiejew,75751.2
"Еремеев, Виталий Михайлович",75751.2
Vitali Yeremeyev,75751.2
Wayne Hall (ice hockey),74844.0
Wayne Van Dorp,102060.0
Wayne Van Dorp,102060.0
Wayne van Dorp,102060.0
Adam Cracknell,95709.6
Adam Cracknell,95709.6
Adam Cracknell,95709.6
Adam Rundqvist,83916.0
Al MacInnis,92534.4
Al MacInnis,92534.4
Al MacInnis,92534.4
Al MacInnis,92534.4
"Макиннис, Эл",92534.4
Alan May,90720.0
Alan May,90720.0
Alex Kim,88452.0
Alex Kim (ice hockey),88452.0
Alex Ritson,78019.2
Alex Wood (ice hockey),74844.0
"Майер, Александр Владимирович",81194.4
Alexander Mayer (ice hockey),81194.4
Alexei Sergejewitsch Zwetkow,83916.0
Alekseï Tsvetkov,83916.0
Aleksiej Cwietkow,83916.0
"Цветков, Алексей Сергеевич (хоккеист)",83916.0
Alexei Tsvetkov (ice hockey),83916.0
Allen Bourbeau,78926.4
Anders Eriksson (Eishockeyspieler),97070.4
"Anders Eriksson (ice hockey, born 1975)",97070.4
Anders Eriksson,97070.4
"Anders Eriksson (ice hockey, born 1985)",88905.6
Andreas Athanasiou,88452.0
Andreas Athanasiou,88452.0
Andrei Anatoljewitsch Kirjuchin,90266.4
Andreï Kirioukhine,90266.4
Andrej Kirjuchin,90266.4
Andriej Kiriuchin,90266.4
"Кирюхин, Андрей Анатольевич",90266.4
Andrei Kiryukhin,90266.4
"Самохвалов, Андрей Викторович",87091.2
Andrei Samokhvalov,87091.2
Andrei Vasilyev (ice hockey),81648.0
Andrej Hočevar,84823.2
Andrej Hočevar,84823.2
"Хочевар, Андрей",84823.2
Andrej Hočevar,84823.2
Andrew Carroll (ice hockey),87998.4
Andrew Hammond,97977.6
Andrew Hammond,97977.6
"Хаммонд, Эндрю",97977.6
Andrew Hammond (ice hockey),97977.6
Andrew Shaw,81648.0
Andrew Shaw (hockey sur glace),81648.0
"Шоу, Эндрю",81648.0
Andrew Shaw (ice hockey),81648.0
Antti Halonen,92080.8
Art Jones (ice hockey),68040.0
"Амиров, Артур Рустемович",73029.6
Artur Amirov,73029.6
Artyom Borodkin,79833.6
Artūrs Irbe,86184.0
Artūrs Irbe,86184.0
Artūrs Irbe,86184.0
