http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Anderson County High School (Kansas),554
Highgate School,1433
BI挪威商學院,18401
Polyvalente Thomas-Albert,612
Smolny College,563
Arizona State University,13698
Driffield School,1851
كلية الحرس السلطاني العماني التقنية,286
Университет ИТМО,11733
Gujarat University,343314
The Lodge School,967
David Oppenheimer Elementary School,360
"Woodlands Academy, Coventry",836
Charlestown High School,961
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1522
Mediterranea University of Reggio Calabria,10
"Rye High School (Rye, New York)",974
The Kurt Hahn Expeditionary Learning School,376
Bradford Area High School,984
Universidad Tecnológica de Pomerania Occidental,15239
Shelton State Community College,7246
"Northwestern High School (Rock Hill, South Carolina)",1878
Ánimo Venice Charter High School,614
Университет Анкары,43522
Arizona State University,3864
Sacred Heart Sr. Sec. School (Sidhpur),2141
West York Area High School,1008
Spruce Creek High School,2836
Bishopshalt School,1249
Mackintosh School of Architecture,445
Tomlinscote School,1523
TC Beirne School of Law,2082
ANU College of Physical and Mathematical Sciences,2236
Lehi High School,2197
Wolverhampton Grammar School,751
Pennsylvania Governor's School for the Arts,197
Université nationale de Chungbuk,19144
"La Salle University, Colombia",15
Kangwon National University School of Law,116
James E. Taylor High School,2803
"Northwest High School (Canal Fulton, Ohio)",730
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5653
Harvard Graduate School of Design,859
"Prince of Wales' College, Moratuwa",5103
Woodham High School,795
Conemaugh Township Area School District,928
Universidad Rice,6323
"Cedar Ridge Middle School (Hyde Park, Utah)",615
Daniel Boone Area School District,3851
Allen Academy,334
Black Mountain College,1154
Springbrook High School,1813
Northern Michigan University,8798
KIIT International School,86
Smithers Secondary School,443
アイントホーフェン工科大学,7353
Feinberg School of Medicine,631
Universidade de Economia Mundial e Nacional,21937
Henley College Coventry,5107
ジョージア工科大学,24297
University of Palermo,46
"Universidade de São Petersburgo de Tecnologia da Informação, Mecânica e Ótica",11463
Little Rock Christian Academy,1450
Reedsport Community Charter School,317
福建省福州第一中学,2053
Georgia Institute of Technology,24878
Universiteit van Indiana,114284
Roundwood Park School,1218
Alfredo M. Velayo College of Accountancy,3816
Universidad de tecnología de Mauricio,4411
Lango College,826
George Washington University Law School,266
EMLYON経営大学院,3438
Abercorn School,406
"Legacy High School (Vancouver, Washington)",269
Union High School (Oregon),233
"Facultad de Radiofísica, Electrónica y Sistemas Informáticos (Universidad de Kiev)",591
Triton Regional High School (New Jersey),1324
Institut d'études politiques de Toulouse,1760
Pisgah High School,1006
"Canterbury School (St. Petersburg, Florida)",480
St. Augustine Preparatory School,697
Maastricht School of Management,2089
Chancellor's School,1046
Cranberry Area School District,1242
Massachusetts Institute of Technology,11378
Hochschule für Technik Stuttgart,4
"Ursuline High School, Wimbledon",1270
Collège Montmorency,7619
Deerfield High School (Wisconsin),230
Chung Ling Butterworth High School,2424
ダーラナ大学,15500
Regional Institute of Management and Technology,11708
IE Business School,5603
École internationale de Hô Chi Minh-Ville,1017
Lassiter High School,2231
Glen Ridge High School,855
Universität Stavanger,10140
College of Osteopathic Medicine of the Pacific,1165
Carman-Ainsworth High School,1379
Университет Пенджаба,43117
Universidade Federal de Juiz de Fora,16969
Iowa State University,36650
International School of Uganda,559
四川农业大学,39311
Mandalay Technological University,2868
Азербайджанский государственный университет нефти и промышленности,10685
SupOptique,243
Austin Area School District,209
St. Paul High School (Virginia),206
Sidney Stringer Academy,1343
Päpstliche Universität Heiliger Thomas von Aquin,987
Distrito Escolar Independiente de Tyler,17300
Myanmar Aerospace Engineering University,274
St Peter's Church of England Aided School,2009
Great Marlow School,1262
Dryden High School,580
Stanford University,15277
Sandia High School,1850
约阿尼纳大学,15565
Université de Kagoshima,10007
Coleg Glan Hafren,11600
Budapest University of Technology and Economics,20220
Thousand Oaks High School,2504
克劳斯塔尔工业大学,1
Universidade de Bréscia,13668
Canandaigua Academy,1164
纽约市立大学,508548
Ironwood Ridge High School,1926
Клаустальский технический университет,1
Arizona State University,4169
جامعة رايس,6468
Arcadia High School (Wisconsin),342
Wauconda High School,1368
Elizabeth High School (New Jersey),778
Иркутский государственный лингвистический университет,4269
大阪府立清水谷高等學校,922
Blue Mountain High School,892
Bucerius Law School,560
Small Heath School,1279
Университет Коменского,25408
Zabol University,14855
Dartmouth College,6469
"Università di Medicina e Farmacia ""Grigore T. Popa""",11859
Heller School for Social Policy and Management,508
Angelo State University College of Graduate Studies,736
Fort Hays State University,14356
Università degli Studi dell'Insubria,9
Shiraz University of Technology,1128
"Jefferson High School (Edgewater, Colorado)",627
Sant Gadge Baba Amravati University,86608
Serra Catholic High School,322
University of Nordland,5901
Eureka High School (Illinois),496
Universidad de Lyon I - Claude Bernard,35038
Оснабрюкский университет,11502
"Evangelical Christian School (Fort Myers, Florida)",623
Strathcona-Tweedsmuir School,734
北密歇根大學,8625
Menlo-Atherton High School,2162
Comenius-Universität Bratislava,27952
جامعة ولاية نيويورك - جامعة أبستيت الطبية,1475
Nueva Granada Military University,24
Bell Gardens High School,3440
Université des sciences et technologies de Mbarara,3143
State Elementary School Cipinang Melayu 11 Petang,326
Kesteven and Sleaford High School,817
Римский университет Ла Сапиенца,112089
Université d'État de Bélarus d'informatique et de radioélectronique,16324
Universiteit van Nottingham,42715
"Aalto University School of Arts, Design and Architecture",1944
Harmony Area School District,369
Gymnasium der Technischen Universität Kaunas,309
جامعة البحرين الطبية,1165
浙江海洋学院,14752
Harvard Graduate School of Education,902
Columbia University,2096
Uniwersytet Acadia,4173
East Linn Christian Academy,274
Bellaire High School (Ohio),511
Permian High School,3700
Bodwell High School,598
Dr. Babasaheb Ambedkar Technological University,4129
Innisfree House School,772
Ursuline College (Chatham),1350
Coral Springs Charter School,1628
亞利桑那州立大學,50449
University of Central Punjab,5056
"Pacific High School (San Bernardino, California)",1318
Central Tech High School,1174
"St Augustine's Roman Catholic High School, Billington",1053
Lviv University,11992
East Kentwood High School,1907
Universität Pierre und Marie Curie,31125
Sheridan Japanese School,91
جامعة كينت,42211
Киевский национальный университет имени Тараса Шевченко,19341
Blacklick Valley School District,676
阿尔托大学艺术设计学院,1931
University of Minnesota Crookston,1937
"Roosevelt High School (Lubbock, Texas)",315
Université Alexandru Ioan Cuza de Iași,25927
St Augustine's Church of England High School,972
University of Perpetual Help System JONELTA - GMA Campus,4041
West Side Leadership Academy,1117
里斯本新大學,19387
St. Andrew's Episcopal School (Maryland),553
Rye Neck High School,417
J. W. Sexsmith Elementary School,407
Camborne Science and International Academy,1285
鹿兒島大學,10960
Blessed John Henry Newman Roman Catholic College,1497
Pimlico Academy,1219
Cocalico School District,3300
Umatilla High School (Oregon),390
Université islamique d'Ouganda,6142
Rosebery School for Girls,1406
Bradley Stoke Community School,1166
Carre's Grammar School,831
デウスト大学,2263
Columbia University,2098
Riddle High School,224
Université du Rosaire,11975
Accademia di belle arti di Vienna,1286
Black Mountain College,1169
Stockport Academy,704
Sprague High School,1838
Black Mountain College,1187
Federale Universiteit van Bahia,27882
University of Virginia College of Arts and Sciences,11678
Technische Staatsuniversiteit van Armenië,9586
Banbury Academy,978
St Gregory's Catholic High School,981
Xaveriuscollege (Borgerhout),813
كلية المكسيك,456
Stayton High School,805
Universidad de Bulacán,28881
Asheville–Buncombe Technical Community College,24610
Bristol Law School,297
Cégep Garneau,7630
Conemaugh Valley School District,1032
