http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of South Korean football transfers winter 2011–12,67
Tacoma Tides,9
2009–10 Ipswich Town F.C. season,6
List of Latvian football transfers winter 2013–14,27
2014 Indonesian Inter Island Cup squads,6
2000–01 Fulham F.C. season,1
قوائم كأس العالم للأندية لكرة القدم 2013,28
List of Ukrainian football transfers summer 2010,6
List of Greek football transfers summer 2012,46
2013年中国足球冬季转会列表,29
2010–11 Club Universidad Nacional season,13
List of Bulgarian football transfers summer 2013,90
List of Dutch football transfers winter 2010–11,43
2012 Wake Forest Demon Deacons men's soccer team,0
Sliema Hotsticks Hockey Club,14
List of Latvian football transfers summer 2014,3
2006 FIFA Club World Cup squads,15
Laguna F.C.,15
List of Latvian football transfers winter 2011–12,13
List of Russian football transfers summer 2010,25
2002–03 Manchester City F.C. season,7
List of German football transfers winter 2008–09,1
Manchester City Football Club 2002-2003,17
List of Latvian football transfers summer 2012,27
2010–11 C.F. Pachuca season,5
List of Greek football transfers summer 2012,13
Клубный чемпионат мира по футболу 2013 (составы),17
Sportsklubben Brann 2006,3
Penn State Nittany Lions men's soccer,22
List of Macedonian football transfers winter 2014–15,6
List of Russian football transfers winter 2010–11,63
Club Universidad Nacional 2010-2011,22
List of German football transfers summer 2009,31
Convocazioni per la Coppa del mondo per club FIFA 2008,26
List of Russian football transfers winter 2011–12,54
Ohio State Buckeyes men's soccer,28
Green Bay Phoenix men's soccer,17
Elencos da Copa do Mundo de Clubes da FIFA de 2012,23
List of Russian football transfers summer 2012,3
List of Norwegian football transfers winter 2012–13,34
List of Belgian football transfers winter 2009–10,16
List of Maltese football transfers summer 2009,4
Shabab Al-Bireh Institute,7
2012–13 Walsall F.C. season,28
List of Cypriot football transfers summer 2013,80
Convocazioni per la Coppa del mondo per club FIFA 2010,32
List of Russian football transfers winter 2009–10,72
2008 Colo-Colo season,12
List of Azerbaijan football transfers summer 2013,37
2009–10 Paris Saint-Germain F.C. (Ladies) season,19
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,33
Manchester City Football Club 2002-2003,29
Convocazioni per la Coppa del mondo per club FIFA 2013,83
Laguna Football Club,11
Maryland Terrapins men's soccer,13
List of Hungarian football transfers summer 2013,98
Club Universidad Nacional 2010-2011,11
List of Belgian football transfers winter 2012–13,96
List of Belgian football transfers summer 2014,9
2004 South Carolina Gamecocks men's Soccer Team,10
List of Japanese football transfers summer 2012,25
List of Latvian football transfers summer 2012,88
List of Latvian football transfers summer 2014,11
List of German football transfers winter 2012–13,12
List of Russian football transfers summer 2013,17
UC Santa Barbara Gauchos men's soccer,18
Maybank HC,23
1982 CIS Men's Soccer Championship,3
List of Norwegian football transfers summer 2014,73
List of Mexican football transfers winter 2013–14,4
Radford Highlanders women's soccer,8
List of Albanian football transfers winter 2009–10,10
Virginia Cavaliers men's soccer,1
UR La Louvière Centre,7
Клубный чемпионат мира по футболу 2012 (составы),33
2013–14 Stationery Stores season,14
List of Macedonian football transfers winter 2014–15,32
List of Russian football transfers summer 2012,21
2003–04 Fulham F.C. season,16
List of Iranian football transfers summer 2013,46
2004–05 Fulham F.C. season,16
Toledo BM,5
葉士域治2009年至2010年球季,7
2007 South Carolina Gamecocks men's soccer team,14
List of German football transfers summer 2010,22
List of Japanese football transfers winter 2011–12,31
List of Japanese football transfers winter 2009–10,36
Unione Sportiva Città di Palermo 2004-2005,47
2013–14 UEFA Youth League squads,1
List of Serbian football transfers winter 2011–12,17
2003–04 Fulham F.C. season,18
2014 Indonesian Inter Island Cup qualification squads,20
List of Norwegian football transfers winter 2012–13,14
List of Mexican football transfers winter 2013–14,19
List of Ukrainian football transfers winter 2008–09,26
List of Estonian football transfers winter 2012–13,16
List of Chinese football transfers summer 2013,44
List of Russian football transfers summer 2012,96
List of Bulgarian football transfers summer 2012,16
Delta Queens F.C.,1
List of Maltese football transfers summer 2012,98
2012 Wake Forest Demon Deacons men's soccer team,13
List of Bulgarian football transfers winter 2013–14,39
List of Iranian football transfers winter 2013–14,22
2012–13 Grimsby Town F.C. season,25
List of Hungarian football transfers winter 2011–12,31
List of Albanian football transfers winter 2009–10,23
UR La Louvière Centre,15
Clemson Tigers men's soccer,12
2013–14 Vitória F.C. season,21
List of Norwegian football transfers winter 2012–13,8
List of Bulgarian football transfers summer 2012,78
List of Bulgarian football transfers summer 2013,19
1996–97 UE Lleida season,16
FIU Panthers men's soccer,11
List of Russian football transfers summer 2012,75
List of Belgian football transfers summer 2009,18
List of Hungarian football transfers summer 2012,54
Delaware Fightin' Blue Hens men's soccer,12
List of Russian football transfers winter 2011–12,25
List of German football transfers winter 2008–09,37
List of Maltese football transfers winter 2009–10,21
Detroit Ignition,19
List of Japanese football transfers winter 2009–10,13
Wake Forest Demon Deacons women's soccer,4
List of Hungarian football transfers summer 2012,95
List of Cypriot football transfers winter 2013–14,26
List of Belgian football transfers summer 2010,39
List of Maltese football transfers winter 2009–10,27
List of Serbian football transfers summer 2013,3
List of Belgian football transfers winter 2012–13,6
List of Russian football transfers summer 2010,81
List of Norwegian football transfers 2010,32
1999 Indiana Hoosiers men's soccer team,10
List of Serbian football transfers summer 2012,25
List of Azerbaijan football transfers summer 2009,26
List of Dutch football transfers winter 2010–11,16
UC Santa Barbara Gauchos men's soccer,16
List of French football transfers summer 2013,6
2013–14 UEFA Youth League squads,47
List of Serbian football transfers summer 2012,21
List of Azerbaijan football transfers summer 2011,16
List of Bulgarian football transfers summer 2010,16
2014 Indonesian Inter Island Cup squads,8
Football for Hope,17
List of Albanian football transfers summer 2013,5
List of Cypriot football transfers summer 2013,27
List of Hungarian football transfers summer 2012,22
UC Santa Barbara Gauchos men's soccer,21
Клубный чемпионат мира по футболу 2008 (составы),21
List of Latvian football transfers summer 2012,77
Hóquei Clube de Braga,8
List of Serbian football transfers summer 2012,20
List of Bulgarian football transfers summer 2010,25
2008–09 Queensland Roar W-League season,12
List of Mexican football transfers winter 2013–14,22
List of Russian football transfers summer 2012,62
List of Azerbaijan football transfers summer 2011,2
List of German football transfers summer 2013,19
2008 FIFA Club World Cup squads,1
2010–11 Club Atlas season,16
Al Sadd Handball Team,4
2006–07 Fulham F.C. season,29
List of North American Soccer League transfers in 2014,12
List of Mexican football transfers summer 2012,33
2006–07 Plymouth Argyle F.C. season,15
List of German football transfers summer 2012,29
Convocazioni per la Coppa del mondo per club FIFA 2006,1
2010–11 Club Atlas season,5
List of South Korean football transfers winter 2011–12,35
2013–14 UEFA Youth League squads,86
Convocazioni per la Coppa del mondo per club FIFA 2012,40
List of Maltese football transfers summer 2013,14
List of Chinese football transfers winter 2013,2
葉士域治2009年至2010年球季,45
List of Hungarian football transfers summer 2012,76
2010–11 Estudiantes Tecos season,2
List of Turkish football transfers summer 2013,36
Elencos da Copa do Mundo de Clubes da FIFA de 2010,3
Olympiacos B.C. season 2008–09,7
List of Estonian football transfers winter 2012–13,9
List of South Korean football transfers winter 2011–12,31
2013年中国足球冬季转会列表,50
2005 South Carolina Gamecocks men's soccer team,22
Клубный чемпионат мира по футболу 2010 (составы),17
Radford Highlanders women's soccer,30
List of Cypriot football transfers winter 2011–12,64
Clemson Tigers men's soccer,28
2006 CIS Men's Soccer Championship,2
Football for Hope,16
Delaware Fightin' Blue Hens men's soccer,8
List of German football transfers summer 2008,3
List of Ukrainian football transfers winter 2008–09,21
List of Turkish football transfers summer 2014,11
List of Hungarian football transfers summer 2010,14
List of Chinese football transfers summer 2013,54
1999–2000 Blackpool F.C. season,11
2010–11 West Ham United F.C. season,8
List of Mexican football transfers summer 2010,19
List of Bosnia and Herzegovina football transfers summer 2013,17
2008–09 Sydney FC W-League season,3
List of Belgian football transfers winter 2011–12,37
Manchester City Football Club 2002-2003,24
All-time Saint Louis Athletica roster,18
List of Iranian football transfers winter 2011–12,24
List of Norwegian football transfers 2010,11
2000–01 Manchester City F.C. season,15
2014–15 UEFA Youth League squads,29
List of Hungarian football transfers summer 2010,28
West Ham United FC in het seizoen 2012/13,48
2011–12 Grimsby Town F.C. season,17
2008 Colo-Colo season,33
List of Azerbaijan football transfers winter 2011,9
2013–14 Grimsby Town F.C. season,17
Al-Sadd Sports Club Handball,20
2010–11 C.F. Pachuca season,3
2012–13 Galatasaray S.K. Basketball season,4
2014 Indonesian Inter Island Cup squads,79
List of Club Universitario de Deportes players,2
List of German football transfers winter 2009–10,31
Delta Queens,36
All-time Saint Louis Athletica roster,11
List of Hungarian football transfers summer 2013,45
List of Hungarian football transfers summer 2012,23
Клубный чемпионат мира по футболу 2008 (составы),8
2010–11 C.F. Pachuca season,7
2013–14 Maccabi Tel Aviv F.C. season,15
2012–13 Walsall F.C. season,18
2000–01 Manchester City F.C. season,23
List of Mexican Football Transfers Winter 2011–12,13
2007 CIS Men's Soccer Championship,13
List of Russian football transfers winter 2009–10,84
2010–11 San Luis F.C. season,21
Shabab Al-Bireh Institute,6
List of Hungarian football transfers winter 2013–14,88
2012–13 West Ham United F.C. season,37
2010–11 C.F. Monterrey season,21
2006–07 Plymouth Argyle F.C. season,11
List of Russian football transfers winter 2009–10,53
List of Latvian football transfers winter 2013–14,15
FK Bratstvo Cijevna,14
List of Japanese football transfers summer 2013,32
Клубный чемпионат мира по футболу 2010 (составы),3
All-time Saint Louis Athletica roster,25
List of Iranian football transfers winter 2013–14,1
List of Macedonian football transfers winter 2014–15,59
F.C. Cape Town,8
2008 CIS Men's Soccer Championship,11
List of Russian football transfers summer 2013,3
2013–14 Grimsby Town F.C. season,10
2010–11 West Ham United F.C. season,25
List of Qatari football transfers summer 2012,23
List of Belgian football transfers summer 2015,23
List of Azerbaijan football transfers summer 2012,9
Manchester City Football Club 2000-2001,30
2013–14 Viborg FF season,5
2008–09 Sydney FC W-League season,21
List of Mexican football transfers summer 2013,15
List of Russian football transfers summer 2013,42
List of Norwegian football transfers winter 2012–13,27
2008–09 Queensland Roar W-League season,11
List of Hungarian football transfers summer 2013,92
Ajax Sportman Combinatie,14
List of Iranian football transfers summer 2009,1
Lijst van Bundesliga-transfers zomer 2012,38
2014 Indonesian Inter Island Cup squads,3
2006–07 Fulham F.C. season,38
List of Cypriot football transfers winter 2011–12,35
List of Turkish football transfers summer 2013,68
2008–09 Blackpool F.C. season,24
West Ham United F.C. Reserves and Academy,25
UR La Louvière Centre,8
2012–13 West Ham United F.C. season,25
West Ham United F.C. Reserves and Academy,51
List of Hungarian football transfers winter 2011–12,43
List of Hungarian football transfers summer 2010,4
2010–11 US Créteil-Lusitanos season,1
List of Azerbaijan football transfers winter 2014,30
2010–11 Puebla F.C. season,25
List of Hungarian football transfers summer 2012,10
List of Japanese football transfers summer 2013,32
Union Royale La Louvière Centre,1
2009–10 Paris Saint-Germain F.C. (Ladies) season,16
List of Azerbaijan football transfers summer 2010,20
List of Chinese football transfers winter 2012,15
List of South Korean football transfers summer 2012,9
West Ham United F.C. Reserves and Academy,59
List of Mexican football transfers summer 2012,8
2013–14 UEFA Youth League squads,7
Detroit Ignition,88
Green Bay Phoenix men's soccer,3
List of North American Soccer League transfers in 2014,29
List of Russian football transfers winter 2009–10,52
List of Slovak football transfers summer 2013,10
2011–12 Grimsby Town F.C. season,18
List of German football transfers winter 2009–10,21
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,7
List of South Korean football transfers summer 2012,8
List of Estonian football transfers winter 2012–13,90
List of Ukrainian football transfers winter 2008–09,17
List of Russian football transfers summer 2013,29
2006 South Carolina Gamecocks men's Soccer Team,27
List of Ukrainian football transfers winter 2014–15,27
2013–14 Maccabi Tel Aviv F.C. season,27
List of Hungarian football transfers summer 2010,28
2010–11 Club América season,39
Maybank HC,4
Al Rayyan Handball Team,20
List of Belgian football transfers summer 2009,5
St. Francis Brooklyn Terriers men's soccer,6
2010–11 Atlante F.C. season,7
1996–97 UE Lleida season,23
List of Bosnia and Herzegovina football transfers summer 2013,102
List of Chinese football transfers winter 2013,19
