http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Volksbank Gruppe,165190
Velcro,3011
Freightliner (Bahngesellschaft),2257
Bigpoint Games,812
Geox,2306
Faronics,95
Seibu Railway,3397
AOL,6720
State Life Insurance Corporation of Pakistan,4829
Unipetrol,3321
Eastman Kodak,7144
Shmaltz Brewing Company,30
Harley-Davidson,6680
الخطوط الجوية الإيطالية,18226
MEED,109
Industrias Kaiser Argentina,9107
Forjas Taurus,3670
وكالة ترند للأنباء,125
Mainfreight,5820
Recorded Future,77
Eik Banki,351
Hybricon Corporation,90
Hino Motors,23607
Feelplus,62
Highland Capital Management,92
R. J. Reynolds Tobacco Company,3274
Copersucar,11468
Allseas,2499
Unipart,7782
Live Nation Entertainment,13839
Bombardier Aerospace,27333
Yola (webhost),90
Canadian Institute for Health Information,629
سيفوي,239007
Hewlett Packard Enterprise Services,154418
Euronet,3461
本田技研工业,239199
豊和工業,1230
Knetwit,17
The Pokémon Company,419
Legg Mason,2747
Acerinox,6384
ベイン・アンド・カンパニー,5850
Sprint Corporation,32153
Bombardier Aéronautique,28157
Medavie Blue Cross,1914
Short Brothers,5777
Beachcomber Hotels,5264
横川公司,8758
Beter Bed,2297
Foursquare,204
Bombardier,60673
Haas Automation,1430
Grupo Volkswagen,609761
Telefónica,135413
Soft On Demand,138
Petrof,1017
Motorola,37389
北欧特許庁,7
Nanjing Ange Pharmaceutical,39
هوفمان-لا روش,77198
フェーズワン,326
Euronet Worldwide,4297
Ukrtelecom,125624
NeXT,649
Electro-Mech Scoreboards,79
Kao,5635
Surf Canyon,4
ファーストグループ,118130
Sagami Tetsudō,1016
MET ART,51
Arlington Capital Partners,22
プジョー,184422
Xperia,7084
Artland,26
EA Bright Light,94
スプリント (企業),32987
Aston Martin,1414
Kyosho,154
Cascades (company),11541
ARC資源,602
National Cooperative Business Association,73
تيفاني أند كومباني,10295
RTI International Metals,1264
Kone,52412
任天堂企画開発本部,75
オーストラリア郵便公社,34032
Gehl Company,535
Tengelmann (Unternehmen),71992
Toei Company,278
Fun Labs,78
CodeWeavers,29
Vietnam Electricity,110755
Piranha Bytes,23
NextGen Healthcare Information Systems,1806
Nichia,8651
DYO Boya Fabrikaları,751
Centergazservice-opt,55
Pilgrim's Pride,33730
Ontario Power Generation,11603
コレコ,584
Lowe’s,255088
C&S Wholesale Grocers,12905
TCL Corporation,73665
FirstGroup,112446
Strates Shows,442
Love's Travel Stops & Country Stores,18301
Novelis,13282
Diamond Comic Distributors,610
Wera Tools,723
Richlyn Systems,7
ナショナルインスツルメンツ,7226
مجموعة شيندلر,58033
Shin-Keisei Electric Railway,447
Groupe Kaba,6537
通用汽车,255545
Yahoo! Japan,5825
Aston Martin,1430
DeWitt Stern Group,189
Bashneft,9144
Brasil Kirin,11037
发那科,6345
إي إف,39291
Paschim Gujarat Vij,14353
Carlson Rezidor Hotel Group,79460
UnitedHealth,204098
Dacia (automerk),11355
日產汽車,135463
Hawker Pacific Aerospace,359
Schindler (empresa),51446
NIIT,2488
Naiad Press,6
Toda Racing,42
M&G,905
Steigenberger Hotels,6857
Elektroprivreda Bosne i Hercegovine,5
Enel,73868
Tarong Energy,542
Antonio Zamperla,509
The Grasshopper Company,337
HADAG,77
Mumias Sugar Company Limited,1815
Danubius Hotels Group,5220
Vinci (empresa),179434
Windstream Holdings,13654
LizardTech,32
Australia and New Zealand Banking Group,49538
Bank Zachodni WBK,9065
Elorac,55
Midmark,1452
Coca-Cola Amatil,16635
MK12,9
Морской попечительский совет,110
コダック,7112
SEAT,12650
Jord International,219
Dainippon Sumitomo Pharma,4278
TCL Corporation,72374
Cielo,1147
Qatar Steel,1667
Palmer and Harvey,3392
Cumerio Med,1274
X-FAB,2133
Mikroelektronika,48
クライスラー,71432
Amedei,36
Extra Aircraft,76
Washington Mutual,40606
索尼,124
Unipetrol,3660
Jimdo,160
OCZ Storage Solutions,606
Koninklijke Gazelle,635
Gluster,54
熊谷組,2453
Malwarebytes,162
Meyer Werft,5479
Exor,289147
Country Road,10560
テレコム・ニュージーランド,5485
Coleco,665
FireEye,2602
Doosan Corporation,3547
BT Group,89588
Korea Hydro & Nuclear Power,10130
Finansbank,14566
General Casualty Insurance,1883
Wiggle,0
BT Group,80961
Dillinger Hütte,4792
Xchanging,7314
Nordic Patent Institute,9
Esse stoves,95
سي بي إس إنتراكتيف,2276
Telia Company,31936
Marvelous Entertainment,214
OTP (entreprise),39075
Microsoft,131657
NBCUniversal Cable Entertainment Group,21
Powszechny Zakład Ubezpieczeń,17608
Trivest,18
GEA Group,18528
Gildemeister (entreprise),7355
Hydro-Québec,22267
Eclipse Aviation,873
Clough Harbour,530
Monroe Bank & Trust,327
Rising Production,50
Illinois Tool Works,63958
Idemitsu Kōsan,6913
Onkyo,2440
Kalypso Media,113
Witt Weiden,2132
Russell Brands,10317
Audi,92256
CenturyLink,51597
Wild Oak Music Group,26
PPGインダストリーズ,39122
Unipetrol,3110
جاكو (شركة ملابس رياضة),163
Abu Dhabi Media,1687
EasyJet,9371
JSOL,1412
Bomis (spółka internetowa),9
Epcos,19167
Nokia Networks,50645
Kuzeybatı,24
FANUC,5348
Rouses,4503
Star Watch Case Company,132
7-Eleven,43595
Van Leeuwen Pipe and Tube Group,1256
Atomic Energy of Canada,3686
Warner Music Group,3980
Poggenpohl,424
Niigata Transys,386
Invictus Games,57
Arcadis NV,28899
コネ (会社),54587
Claas,8555
Adobe Systems,16131
Steve Jackson Games,42
TOSE,859
Aniplex,63
Hermès International,11235
瑞士邮政,65
Daiichi Sankyo,31703
CarComplaints.com,9
JTEKT,8803
ALTEN,17321
Monte dei Paschi di Siena,27185
Integrated Device Technology,1326
Salomon Brothers,6638
Niki,823
三越伊勢丹ホールディングス,16856
Fabio Perini S.p.A.,505
مجموعة بي تي,75179
Punchcut,39
American Airlines,119980
ギルバート+トビン,471
西捷航空,15992
Volkswagen AG,639455
オペル,37382
Arrow Electronics,13885
Lucidworks,75
Owens-Illinois,21332
Alcan,74655
クリスタル映像,24
Companhia Siderúrgica Nacional,22656
Ingra (construction company),114
Renren,4548
Mälarenergi,738
Radwin,217
Bodog,1179
Bomis,10
Aniplex,65
توسي (شركة),961
Etihad Airways,22693
Vergnet,159
Shoprite,120058
Live Nation Entertainment,7297
WonderHowTo,12
Guy Gannett Communications,2035
Yahoo! Japan,4885
Sunwing Airlines,1727
EvoBus,15664
VAUDE,1672
OP Financial Group,14673
OpenDNS,215
Celulosa Arauco y Constitución,14248
Mainichi Broadcasting System,540
Z Energy,2823
Ford Motor Argentina,1821
Brisa,2741
Genesis Energy Limited,1106
GGB Bearing Technology,988
Nintendo Integrated Research & Development,251
Nero AG,418
شركة سرت للنفط,6527
Allianz,163543
ESET,910
ヤマザキマザック,7196
Tandberg Television,1103
JTEKT,45631
هارلي-ديفيدسون,5936
Sensient,3822
Sipa Press,88
Arthur Andersen,89688
Neversoft,105
Eclipse Aviation,852
Elia System Operator,1053
Enron,22561
Air New Zealand,10945
Hitachi Data Systems,5585
Allied Irish Banks,8531
La Quinta Inns & Suites,7680
Target Corporation,333099
現代自動車,115118
Anglo Irish Bank,0
Caja Madrid,14793
富国银行集团,279249
BenQ-Siemens,2217
SeAZ,59
Quantic Dream,180
PrivatBank,0
Scottish Power,9076
Steigenberger Hotel Group,7304
Finansbank,13654
Valmet,13399
Cielo S.A.,1109
Fox Entertainment Group,12749
Sirius XM Holdings,1728
Macromedia,1488
Air Canada Jazz,5694
Celio (retailer),1879
Siebel Systems,5419
KID,44
Texas Instruments,25697
オーウェンズ・イリノイ,25533
如新,4794
Škoda Auto,29982
Harley-Davidson,6502
TCL Corporation,65377
Goldfarb Seligman & Co.,208
IOI集團,34643
Capitec Bank,12726
PostNord,35285
Thrifty White,1430
Sopra Steria,29592
BDO国际,60224
T-Hrvatski Telekom,4827
易捷航空,10740
Havas,15858
Raidió Teilifís Éireann,1952
AES Eletropaulo,8253
Trebjesa brewery,264
Müller (entreprise),24122
H.R. Gray,58
Tabasco (salsa),224
Com Hem,596
Cowi,4660
Kalypso Media,133
Focal-JMLab,174
ニュージーランド航空,11139
Wera-Werk,777
Freedom Group,2852
Bain & Company,6377
Valor Security Services,8099
PSION,988
Toray,43770
Allaire Iron Works,1870
Banque Bonhôte,62
Schneider Kreuznach,707
Barilla,7
Intermap Technologies,130
Gainward,22
IVG Immobilien,630
Chedraui,30442
PopCap Games,436
Fjord Line,277
Seoul Metropolitan Rapid Transit Corporation,7146
Energizer,5717
Thor Industries,9203
Firstmark Credit Union,259
Polycom (entreprise),3629
Grezzo (videogiochi),72
Pitney Bowes,13750
Marine Stewardship Council,159
Sonar Entertainment,86
Cessna,8686
Citroën,12747
Mainfreight,7054
HQ Bank,195
دايملر,292054
Rolls-Royce Motor Cars,1564
Cbeyond,2076
Extreme Pita,2248
Sony Xperia,7652
大商集团,232574
Yıldız Holding,44330
コザン,52513
Damon's Grill,219
Postnord,39979
GlobalSpec,208
Wikispaces,9
Velcro,2014
Verint Systems,4364
Petrof,1157
Bentley Motors,3798
TGT Oil and Gas Services,325
داسيا,14999
A. Lange & Söhne,574
TV3 Group,291
ريديكارد,2225
Caterpillar Energy Solutions,1282
Volkswagen Aktiengesellschaft,517497
Renren,4889
DLF Limited,12590
Safeway Inc.,304058
並木精密宝石,570
Sord Computer Corporation,373
Allaire Iron Works,1649
Nexans,28523
NACCO Industries,9298
Staples Argentina,170
WH Group,62728
Nintendo Entertainment Analysis and Development,738
Linoma Software,41
贝恩资本,1035
Bose Corporation,13834
CenterPoint Energy,2459
SIX Financial Information,1058
Mine Safety Appliances,4815
Yamazaki Mazak,6051
Geox,2688
Hyundai Heavy Industries,28261
CloudMade,40
Sightline Media Group,186
Iluka Resources,999
シュナイダーエレクトリック,164191
Henry Schein,20412
Shōgakukan,759
NLR Air Transport Safety Institute,28
Nihon Bungeisha,89
Meat Products of India,72
DuPont,42418
سيليو,1989
Anritsu,4478
Geox,2785
London Brick Company,195
CMA CGM,20502
VTB Bank,95
Optimal Energy,140
Komercijalna banka,4196
Permira,171
Berkshire Hathaway,335802
Actel,419
ソニー,131
Politico,337
Tamedia,3362
Private Media Group,42
Rémy Cointreau,1642
Dolphin Integration,208
Nortel,15
General Motors,194347
Piranha Bytes,27
Centre for Process Innovation,255
يانمار,17215
Fairhurst (company),479
CipSoft GmbH,97
京福電氣鐵道,796
Paz Oil,2174
Amway,22211
Innovation Place Research Park,133
Ingra,130
"Lilpop, Rau i Loewenstein",391
Hitachi Maxell,4745
Honda Manufacturing of Alabama,3011
Scient,1192
Nutreco,10565
"View, Inc.",203
تويوتا,313454
Companhia Siderúrgica Nacional,21375
ATR (company),128742
Mills James,140
Alitalia,14204
Ontario Power Generation,11515
Edelman (Agentur),5865
OCZ,638
Pizza Hut,147317
ShadowTV,18
Pedigree Petfoods,1159
Feelplus,70
Pan Asia Technical Automotive Center,1710
SoftDEL Systems,86
Steorn,19
BMO Harris Bank,12732
Boralex,191
Hearst Corporation,22977
Myford,19
ICLEI – Local Governments for Sustainability,190
X-Fab,2960
VitalityHealth,1233
AOL,5999
Douglas Holding,20171
MSC Software,1289
Boeing,121864
Coca-Cola Bottling Company of Cape Cod,79
Dacia,13156
VRZ Karlovo,333
Axel Springer SE,14087
格拉納達股份,5043
Axel Springer SE,15301
Duke Energy,30361
Citroën,12589
Randall Made Knives,18
Wells Fargo,258444
ユーロディズニーSCA,12319
Sherritt International,7317
大日本住友製藥,7215
Banca centrale della Norvegia,548
Nihon Bussan,35
Gainward,17
Oil Refineries,1972
Ancestry.com,1048
Shoprite (Isle of Man),624
ボーズ (企業),13783
Caterpillar Inc.,125513
Ardagh Group,16111
Rio Tinto Alcan,64224
アイホップ,29913
Toei Company,390
Vaillancourt Folk Art,21
Lingo24,255
Brasil Kirin,10197
Océ,20240
"Luce, Forward, Hamilton & Scripps",454
Gas Natural,16691
Euro Disney S.C.A.,14192
HSBC Bank (China) Company Limited,5545
Allianz France,31537
Apex Digital,42
China National Nuclear Corporation,82954
Nortel,37
Livechat Software,72
Atomics International,9006
Anglo-Eastern Group,1422
ソフトマックス (ゲームソフト),115
AET (company),2925
Sun Microsystems,34432
Yves Rocher,12326
Rietumu Banka,844
扶桑社,197
Catamaran Corporation,1133
Krones AG,13368
Aniplex,98
Coop (Suiza),80156
Tamoil,1185
Zynga,1743
Kyōshō,161
Princess Auto,2279
Miele,15
阳翼航空,1455
BDO International,61751
Radon Labs,118
Vinci (przedsiębiorstwo),206230
Hyundai Motor,112609
信越化学工業,18803
Alawar,394
Oliver Wyman,3853
أغنيتوم,52
Chunsoft,58
Ex Libris Group,543
EvoBus,14650
Niki,854
Gold Fields,54102
Consumer Cellular,885
Banca Intesa Beograd,3384
Hess Corporation,2359
Endurance International Group,2033
Salomon (Sportartikelhersteller),2742
Apple,120075
Promise Technology,490
Tiffany & Co.,11439
Posten Norge,18882
Bandai Namco Games,1029
Target Corporation,290971
Sord Computer Corporation,425
Hyundai Engineering (HEC),6376
Inpex,2314
Kawasaki Heavy Industries,34496
Island Officials,30
AOL,4785
R. J. Reynolds Tobacco Company,4611
KGHM Polska Miedź,29658
شركة توي,298
Trafigura,5266
J Hudson & Co,90
Bardahl,38
Wintershall,2296
Volksbank,4606
ユナイテッド・エアウェイズ,768
NeXT,628
Webtrekk,125
小学館,720
Urban Outfitters,27842
Zoho Corporation,3717
Aker Arctic,48
MGM Resorts International,63580
Asda,151622
Vidyo,285
SIX Financial Information,1165
IVG Immobilien,514
Tiffany & Co.,8985
English Retreads,6
Introversion Software,9
Benetton Group,8728
Fiat Chrysler Automobiles,215587
Alten,17960
Hanson Cement,1237
Adobe Systems,15996
Pizza Hut,138019
Walter P Moore,595
Fluke Corporation,2630
Hitachi (azienda),304158
StayFriends.de,100
Harris Williams & Co.,188
Nintendo Integrated Research & Development,159
Audi,83111
Nynas,773
WEC Energy Group,10038
NTTコムウェア,5202
Aviation Repair Technologies,229
Bburago,160
Netscape,2817
RJ Reynolds Tobacco Company,4386
The Pokémon Company,510
TNK-BP,50472
Ameriabank,564
Onkyo,2323
Viking Air,602
Viking Line,3116
Aluminum Corporation of China Limited,91534
Würth,68494
Douglas Pharmaceuticals,407
Trafigura,4999
Studio Trophis Production Company,3
Zynga,1644
Southwest Research Institute,2731
Terex Material Handling & Port Solutions,5117
Oriflame,7625
Marine Stewardship Council,162
Credit Europe Bank,4398
Ascom,1726
LG Display,43680
Southwest Research Institute,3178
فيليبس,123657
Compagnie maritime d'affrètement - Compagnie générale maritime,20614
IDT Corporation,1267
The Aluminum Association,16
Daimler,347706
Digital Equipment Corporation,143999
Farmland Industries,16441
"Kuhn, Loeb & Co",572
MSC Crociere,20430
Wiggle,0
Kaō,4521
Banco Nossa Caixa,15556
P&H Mining Equipment,2122
Brocade Communications Systems,4819
九鬼 (アダルトビデオ),102
Norilsk Nickel,78683
Bambi a.d.,897
Financial Navigator,115
Nortel,40
Introversion Software,8
"Tose Co., Ltd.",936
Telelogic,1338
Haglöfs,186
Rémy Cointreau,1692
Wargaming Chicago-Baltimore,138
Schering,27736
華盛頓互惠,43189
福兰媒体集团,829
Asia Commercial Bank,9711
BMCソフトウェア,6879
Extra (supermarket),11397
Trust (electronics company),296
Freightliner Group,2576
PlentyOfFish,82
相模鐵道,1152
CyberLink,394
1E (Unternehmen),260
Sopwith Aviation Company,4273
Granada plc,32279
United Internet,6288
Fabbrica di trattori di Čeljabinsk,18586
SimBin Studios,47
DLF Limited,11526
Tallink,6292
アプライド・マイクロ・サーキット,652
Cadbury plc,1691
CoStar Group,2471
Tom Tailor,7303
Tahera (mining company),15
テレフォニカ,125008
Unternehmensgruppe Theo Müller,22706
Ingredion,9626
カンタス航空,30934
Light Rail Transit Authority,100
红牛公司,10668
BW Group,4301
ヘイズ・スペシャリスト・リクルートメント,7403
レゴ,16864
Tongaat Hulett,25549
Forjas Taurus,3487
Community Health Systems,155399
Eight Inc.,181
薩普托公司,13533
ラガルデール,24038
Bank of Scotland,18570
Fortune Brands,21714
LG Display,42014
Saab,14087
Gameplanet,3
有斐閣,115
Cadbury plc,72636
Kone (Unternehmen),43718
Boston Medical Group,136
International Watch Company,297
Schering,24868
朗讯,31145
Shōgakukan,628
Westmalle (Bier),24
Mizuho Financial Group,62528
Brooks (entreprise),501
サロモン,2609
MapInfo Corporation,827
Lycos,67
Banco de Venezuela,3988
Forsythe Technology,888
Molho Tabasco,221
BBDO,15990
Georgia Power,7447
Toyota Peugeot Citroën Automobile Czech,3146
Ikon Office Solutions,23793
Bigpoint,839
Energy Transfer Partners,5196
Mind CTI,399
Дельта Банк (Украина),0
戴比尔斯,16874
Firefly Studios,31
بي إم دبليو,114854
Hanza Media,1552
総合車両製作所,1144
Juicy Couture,159
Nissan,131063
Oracle Corporation,154331
"Marder, Luse, & Co.",72
Volkswagen,648
富士ゼロックス,48497
The Pokémon Company,349
Kawasaki Heavy Industries,25356
フルーク・コーポレーション,2240
Al Faisaliah Group,4716
PrivatBank,0
Volksbank,158869
Mary Kay,5690
Coca-Cola Bottling Company United,4421
Gorenje d.d.,9984
Taurus (manufacturer),3359
Companhia Siderúrgica Nacional,18682
ソッピース,4588
ヴァイキングライン,3039
PlaSmart,12
Uttara Bank,3996
Nordea,33193
アイリスオーヤマ,2380
Storebrand,2385
Banca Monte dei Paschi di Siena,27927
Applied Science International,103
Leo Pharma,4452
Eidos Montréal,549
Roth & Rau,1224
Netflix,3031
Raven Software,201
Daiichi Sankyo,30419
Id Software,186
Telefónica O2 Czech Republic,3444
Conair Corporation,3567
Altria Group,8661
Jako,154
Telia Company,23230
西夫韦公司,226410
Viacom,10987
Steer Davies Gleave,319
International Watch Company,287
CEVA (azienda),175
Isetan Mitsukoshi Holdings,17312
21st Century Fox,24457
明基西門子,3215
99 Cents Only Stores,10714
班尼顿,7924
سيسنا,6960
Toyo Tire & Rubber,9863
MannanLife,77
ニキ航空,742
PrivatBank,0
ボンバルディア・トランスポーテーション,38736
ウィンダムワールドワイド,31832
PNC Financial Services,50768
Trafigura,6395
Singulus Technologies,431
Granada plc,5477
Alpha Bank Srbija Beograd,1568
川崎重工業,37916
IQMS,269
Coleco,552
Taser International,512
Coca-Cola Amatil,14527
China Airlines,9463
أودي,82045
ElringKlinger,4781
Timex,2129
CUBE Entertainment,51
Wikidot,4
Zebra Imaging,56
Oracle,126465
Vietnam Asset Management,14
Lycos,61
メリタ,4102
OpenTable,639
America Online,6732
KIPCO,12367
クイーンズランド鉄道,6601
Uber (empresa),7217
Brickworks Limited,1467
クーカ,13273
Saskatchewan Wheat Pool,4289
TechniSat,2545
Altair Engineering,1461
DisplayLink,139
Taco Bell,200776
ホグロフス,175
ThyssenKrupp,132076
Bechtle,7488
Nokia,110568
Nu Skin Enterprises,5551
Saizeriya,1192
フィールプラス,85
Oyak Renault Otomobil Fabrikaları,6817
Porsche,21731
Time Inc.,7535
Norwegian State Railways (1883–1996),13180
Italcementi,21509
Eesti Energia,6627
Dentsply Sirona,11808
Bank of the Philippine Islands,9850
SureFire,508
إكسترا للطائرات,72
Kaspersky,2678
SIX Financial Information,1149
Wild About Fruit Company,118
怡安集团,91565
沃倫貝格工業,3030
Lego,16982
Arianespace,346
Framo,1128
Vaalco Energy,116
BMW,138102
Gas Natural,17568
IMIDRO,4961
OTP Group,37545
Rostelecom,153337
Australia and New Zealand Banking Group,38531
Lagardere,23570
Privredna banka Zagreb,4277
Bodum,549
Enfocus,57
Whirlpool Corporation,86113
ARIKA,52
Kazanorgsintez,7877
MGM Mirage,61600
Bharti Airtel,25803
Кремиковский металлургический комбинат,6900
Mediterranean Shipping Company,23786
Nokia Networks,56450
Lycos,80
Дельта (НТЦ),6280
بورلاند,881
Activision,4550
Viking Line,3069
Rado,553
DNB ASA,8868
الخطوط الجوية الملكية الهولندية,29661
FXCMジャパン証券,911
ネクスエンタテインメント,169
نينتندو,5161
Yara,15290
Imperial Chemical Industries,29406
網景,2614
Íslandspóstur,1239
Wells Fargo,263370
500px,40
フッティルーテン,2080
Qt Development Frameworks,204
Saab,14963
Allianz,177389
Lamborghini,1027
Cybex International,517
Ontario Student Trustees' Association,18
Grupo Safra,27953
Dainippon Sumitomo Pharma,4517
Sun Microsystems,42930
NOS (Unternehmen),2219
Camus,592
Pretoria Portland Cement,3353
Aston Martin,1282
Sageview Capital,21
Iron Mountain (entreprise),18155
ベントレー,3220
General Motors,192636
Telefónica,125847
Rush & Cash,1446
SNC Lavalin,40922
Metrovías,3911
Müller (company),22141
Qaym,8
Nex Entertainment,200
NJVC,1321
PopCap Games,411
Dean Markley Strings,19
PRISA,17166
ВолгаТелеком,48708
Futurice,223
Gazelle (rower),558
Dish Network,16426
レッドハット,7997
海纳国际集团,1378
Nintendo Integrated Research & Development,281
WNS Global Services,35672
Meezan Bank,9772
Nintendo,4827
HSBC Bank Bermuda,927
Bomis,10
Adobe Systems,13800
Allseas,2386
"JPL (Integrated Communications, Inc.)",71
KGHM Polska Miedź,28030
伊夫·黎雪 (公司),17286
Acquia,704
Psion,913
Agora (przedsiębiorstwo),3611
شكودا أوتو,26936
Fibria,14264
IResQ,20
Rift Valley Railways Consortium,1920
Fitch Ratings,2199
Nihon Bussan,32
Bomis,11
National Logistics Cell,6121
China Airlines,12057
Chipotle Mexican Grill,38390
Bank of the City of Buenos Aires,3597
Schneider Electric,178876
Aras Corp,169
EE Technologies,195
The Lego Group,17242
Fuze (company),614
Feelplus,76
Qantas,24886
Ordet (company),11
Ericsson,115543
CinemaNow,145
7-Eleven,47608
Alitalia,16029
Chrysler,74578
Argon ST,756
Western Digital,63474
Mammoet (bedrijf),3672
Aramark,286280
Nationalbank der Republik Usbekistan,10436
Mediterranean Shipping Company,27260
Zynga,1738
Huf Haus,508
Kolej Seibu,2649
Infitec,18
Arika,48
Washington Mutual,48666
Nortel,29
Tamedia,3842
Juicy Couture,193
Vienna Insurance Group,19712
LEGO,14357
Denel,6369
R.J. Reynolds Tobacco,4360
Raidió Teilifís Éireann,1934
Redfin,208
Intrepid Travel,1813
Detroit (bedrijf),2169
JTEKT,46987
Rostelecom,161333
"Butler, Shine, Stern & Partners",165
Lamborghini,1229
Institute of Oil Transportation,304
库卡,12964
إريكسون,91273
Jerini,180
Tiffany & Co.,8724
Voltas,4679
Standard Oil,58807
Lidl,312538
Rakon,441
阿提哈德航空,16593
Xperia,7586
RTÉ,1978
Stadler Rail,7181
Ashley Furniture HomeStores,4066
National Mineral Development Corporation,6242
Jimdo,204
BitTorrent (公司),124
StudiVZ,10
Bundesimmobiliengesellschaft,791
Qt Development Frameworks,219
"Mexican Restaurants, Inc.",2617
Bic (company),8713
Carlson Wagonlit Travel,20749
Demag Cranes AG,6648
Miele,17
Nevada State Bank,904
Daiichi Sankyo,33367
Cranswick plc,4205
富士通天,4124
Allegheny Technologies,8688
MGA Entertainment,984
Agro (company),143
Private Media Group,34
TrønderBilene,266
Jay Cashman,910
SouthPeak Games,107
Össur,1999
Conseil international pour les initiatives écologiques locales,156
Oliver Wyman,4666
CPFL Energia,9283
WorldNet Telecommunications,190
Clearwire,748
DeepRootLinux,28
Buhler Industries,1110
プラッサー&トイラー,3403
Dangote Group,28878
ITC (company),24496
Indian Institute of Hardware Technology,1058
NTT Comware,3914
بتروفاك,23927
ERT (company),812
MET ART,48
SunOpta,1649
Bwin,1407
Sensory Sweep Studios,91
H. J. Heinz Company,28882
شوفرسال,11209
ジェイテクト,8616
Timex,2397
ドバイ・ホールディング,16915
SR Telecom,0
Saab,12907
A. Lange & Söhne,574
Camus (Cognac),511
Mattel,30077
Roland (Unternehmen),3108
IMIDRO,4311
FactSet Research Systems,9472
Nintendo Software Planning and Development,69
Redes Energéticas Nacionais,607
Takeda Pharmaceutical Company,29409
Powszechny Zakład Ubezpieczeń,16143
Facebook,11704
Enagás,1245
"Amuse, Inc.",263
Banca Popolare di Milano,7721
HSBC Bank (China),4974
Banque cantonale de Grisons,766
Siderúrgica del Orinoco,15387
EasyJet,9125
Canyon Bicycles,705
Rolls-Royce Motor Cars,1505
Umicore,13460
Lamborghini,1133
المجموعة العالمية الأمريكية,73206
CenterPoint Energy,1995
Shuanghui,69211
Bjarke Ingels Group,370
Lockheed Martin,129562
SNC-Lavalin,38079
Conrad (entreprise),4871
Designworks,143
Schneider Electric Egypt,585
セスナ,9263
Bank of Baroda Uganda Limited,201
Heckler & Koch,656
ماتيل,26835
Лента (сеть магазинов),39484
Plenty Of Fish,66
Banque Privée Edmond de Rothschild,1833
Patron Capital,74
Intel,81389
ويسترن ديجيتال,78383
Orc Software,261
OCZ Storage Solutions,486
Lazard,2508
Lambesis Agency,44
Chrysler,76848
Bomis,11
Chedraui,32009
Uruit,52
RHB Bank,16701
万代南梦宫娱乐,1000
Trust (entreprise),218
Major League Productions,33
Akamai Technologies,5661
Gree Electric Appliances,42560
Discovery Communications,6335
Boeing,169263
Mitsubishi Research Institute,4138
現代重工業,25063
SeAZ,42
Scottish Widows,3366
塔巴斯科辣椒醬,206
Brantano Footwear,2509
Claas,9564
必胜客,162445
Toyo Tire & Rubber Company,9656
Angel Trains,114
Anritsu,3482
Transmeta,23
Azaleos,223
Netflix,3987
Bavaria,1086
Tōhō,1828
