http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Secrets and Lies,16
Mrs. Brown's Boys,29
"Ne daj se, Nina",55
McMillan y esposa,37
HeartBeat (1988 TV series),18
The Bellflower Bunnies,49
House of Venus Show,16
愛情合約,17
Fisica o chimica,81
Quinceañera,102
愛情合約〜Love Contract〜,23
Murder Prevention,6
Ponderosa,20
Nuovo Mondo Selvaggio,6
The Paper Chase (TV series),52
Guadalupe (telenovela),196
Świat według Ludwiczka,41
「法」妻,129
Sons of Tucson,12
Un tritone per amico,35
Kami no Shizuku (TV series),8
Viva Piñata (TV series),60
"Land of the Lost (série télévisée, 1974)",48
Char Khooneh,170
Main Teri Parchhain Hoon,209
"World War II Behind Closed Doors: Stalin, the Nazis and the West",6
ゆかいなブレディー家,11
Оружие будущего (телесериал),32
Stargate – Kommando SG-1,189
Impas (serial telewizyjny),16
Happy Valley (TV series),10
Affari a quattro ruote,155
廉政行動2007,5
Soldiers of Fortune (TV series),62
Física o Química,78
Who Wants to Be a Millionaire? (Philippine game show),229
Powracający,15
Mona der Vampir,64
Beauty Queen (TV series),64
Alvin y las ardillas (serie de televisión de 2015),59
リゾーリ&アイルズ ヒロインたちの捜査線,87
والاس وغروميت,6
Jerks of All Trades,1
Krod Mandoon i Gorejąca Klinga Ognia,6
Old Christine,92
Legenda Korry,44
The Sonny & Cher Comedy Hour,55
Qin Wang Li Shimin,39
El búho (miniserie),59
Electric Dreams: The World of Philip K. Dick,3
مئة خطبة وخطبة (مسلسل),14
Wallace & Gromit,2
Contra viento y marea,157
Emergency (Philippine TV program),531
Booker,20
La virgen de las siete calles,13
Napoleon and Love,8
Archie Bunker's Place,100
أصدقاء المدرسة,21
Ang Iibigin Ay Ikaw Pa Rin,91
Xiaolin Showdown,50
"Kobra, übernehmen Sie",172
Captain Star,12
Sanctuary (serie de televisión),7
Silver Spoons,121
Cidade Nua,38
Steptoe and Son,50
Orphan Black,41
大明帝国 朱元璋,41
The Secret Saturdays,37
Empire (miniserie televisiva),6
James May's Toy Stories,6
Sonic the Hedgehog (TV series),26
Mystery and Imagination,22
Ким Пять-с-Плюсом,89
C'mon Midffîld!,28
Ultraman Orb,26
Da Vinci's Demons,26
Into the Badlands (serie de televisión),6
"Machos (série télévisée, 2003)",169
Grandpa in My Pocket,59
Puchaty ogród,79
Once Upon a Time... Life,26
4th and Long,8
Come Dine with Me Australia,64
Martha Bla Bla,79
爆発!デューク,144
Zanzibar (TV series),41
AfterMASH,35
Gli incubi di Dario Argento,9
Farscape: The Peacekeeper Wars,2
Whale Wars,59
Brigade du crime,261
Skazany na śmierć,76
The Amazing Spiez!,51
Fortysomething,6
我要做廚神 澳洲版,72
La figlia di Elisa - Ritorno a Rivombrosa,16
The Secret Saturdays,38
Fist of Fury (TV series),25
Denshi Sentai Denziman,45
Accused (série télévisée),10
Deal or No Deal (Tunisia),17
Conflictos de un médico,21
Zheng He Xia Xiyang (TV series),64
The Adventures of Clint and Mac,15
The Price Is Right (U.S. game show),82
Samson en Gert,641
How'd You Get So Rich?,14
Nos vies secrètes,80
The Project (TV program),1889
Elite World Cops,7
Gino il pollo,32
Chuggington,147
Broń przyszłości,31
Victorious (série télévisée),51
ストリートファイター 暗殺拳,12
Yam Roll,45
Mako Mermaids - Vita da tritone,72
Bob le bricoleur,291
Dobranocny Ogród,81
Saddle Rash,1
The Loop (Australian TV series),216
Pinoy Bingo Night,55
超级无敌掌门狗,2
Naked and Funny,128
Spenser (serie televisiva),4
Felicity,89
Resurrection (serie de televisión),19
The Real World: London,26
Llamas de la vida,221
Stella (U.S. TV series),11
Miami Medical,14
Genie in the House,79
لونلي غيرل 15,584
Jared ‚Coop‘ Cooper – Highschoolanwalt,31
Karkú,80
The Black Donnellys,11
Flashpoint,80
Torrente (telenovela),121
Kids and Company,37
Southland,33
Hotellet,61
Most Evil,36
Triángulo (serie de televisión),29
Climbing Great Buildings,17
The Prince Who Turns into a Frog,27
Mask (série de televisão),20
尸研所,6
Dogg After Dark,7
30 روك,141
ジ・アドヴェンチャー・オブ・トゥイズル,56
T.I.'s Road to Redemption,10
Pointless,126
Tough Love (season 2),10
Crossbones (serie televisiva),10
Power Play (Dutch TV series),17
The Littles,28
Barrera de amor,126
The City (telerrealidad),37
Scooby-Doo! Mystery Incorporated,47
戇夫成龍,19
Catalina y Sebastián,108
皇家反千組,22
Mary Kay and Johnny,300
Let's Go (1976 TV series),232
Общее дело (телесериал),13
Contra viento y marea,115
Moving Up,57
Time Masters (game show),182
"I'm Sorry, I Love You",17
The Bridge: Na granicy,21
Bundesvision Song Contest,11
Who Wants to Be a Millionaire? (Philippine game show),5
16 and Pregnant,57
Banshee (TV series),35
Wonder Pets,46
Twice in a Lifetime (TV series),55
Dark Kingdom: The Dragon King,2
Taxi (Fernsehserie),110
Mitwa Phool Kamal Ke,163
Heroes Reborn (serie de televisión),13
Gorące Hawaje,19
Un commissario a Roma,12
Muppets Tonight,22
Улица Сезам,4702
The Electric Company (2009 TV series),52
Ellen Burstyn Show,13
Couleur Pacifique,11
The ABC Afternoon Playbreak,9
That's Life (1968 TV series),34
Alles was zählt,3075
L'undicesima ora,40
Vilma (Philippine TV Series),511
Doen met 'n Miljoen!,62
I miei due papà,58
Hélène et les Garçons,315
Intervision-Liederwettbewerb,5
A Great Way to Care,20
The Family (Fernsehserie),11
Halt and Catch Fire (série télévisée),27
Chuanqi Huangdi Zhu Yuanzhang,41
洛神 (テレビドラマ),23
Alphas (série télévisée),23
傑瑞米·凱爾秀,2856
Wallace y Gromit,6
The Gates (Fernsehserie),14
Lynch (serie de televisión),13
传奇皇帝朱元璋,52
Aquarius (série télévisée),27
Code Black (série télévisée),21
Kochen mit Luis,16
Black Sash (TV series),7
Sherri,12
Powers (serie televisiva),19
Hero 108,124
Southland (serial telewizyjny),34
Ravenswood (serie televisiva),12
Mission: Impossible,152
Adventure Inc.,21
I Borgia (serie televisiva francese),41
W słońcu Kalifornii,13
Night Court,215
Temptation (série de televisão),21
Summerhill (TV series),4
Biancaneve a Beverly Hills,24
Beacon Hill (web series),11
"Boa Sorte, Charlie!",88
Royal Tramp (TV series),50
Audrina,9
Disaster Masters,19
Animal Show,70
Zane's Sex Chronicles,20
Hergé's Adventures of Tintin,113
Hawaii Five-O,301
Голые и смешные,121
Rêves et Cauchemars (série télévisée),8
Eclipse (telenovela),31
Tutti gli uomini sono uguali,7
ウォレスとグルミット,2
I en annan del av Köping,18
This Is Nightlive,6
Prehistoric Megastorms,7
Chuck (televisieserie),90
"Qua la zampa, Doggie",11
اكبح حماسك,80
لغز المدينة,47
Stargate SG-1,200
Touch (serie de televisión),26
Tutti pazzi per amore,71
30 Rock,169
魂归故里,13
Soccer Aid,13
Sanctuary (serial telewizyjny),49
Уоллес и Громит,37
Erotic Confessions,58
Stargate Universe,40
Line of Fire (2002 TV series),97
Beyond (TV series),58
A Woman Named Jackie,3
The Demon Headmaster (TV series),20
Doc McStuffins,107
Xiaolin Showdown,59
Smash (serial telewizyjny),32
Jayce y los Guerreros Rodantes,51
Smash (Fernsehserie),35
Zeke und Luther,73
Doctor in the House (serial telewizyjny),24
ストリートファイター 暗殺拳,1
The Sitcom Showdown,5
Distretto di Polizia,232
La que no podía amar,156
Huhu Uhu – Abenteuer im Kreuzkrötenkraut,31
Una famiglia a tutto gas,47
"Goede tijden, slechte tijden",4669
Monster Allergy,45
What to Eat Now,10
In the Night Garden...,105
スターゲイト ユニバース,42
İntikam,41
Bit Museum,5
Tosh.0,228
Aquarius (U.S. TV series),29
Better Call Saul,20
Brothers & Sisters,127
Amor en custodia (Mexican telenovela),231
Сорвиголова (телесериал),29
Heartbeat (UK TV series),328
Falcon Crest,244
Verbotene Liebe,5369
The Midnight Special (TV series),410
Le avventure di Johnny Quest,58
Plan Totalnej Porażki,27
NASA 360,23
ラリーのミッドライフ★クライシス,62
Jake and the Kid (TV series),13
It's a Knockout (Australian game show),87
ホテル・カエサル,3214
Tokusō Sentai Dekaranger,41
Amoureusement vôtre,3002
Hootenanny (muziekprogramma),21
Familienstreit de Luxe,38
Super Robot Mach Baron,26
Triple Z (TV series),59
Twarda gra,28
Live on Tape,57
星期天真好,490
The Daily Habit,875
I Polykatoikia,145
La que no podía amar,152
Soccer Aid,14
"Dawno, dawno temu",122
Bestia (serial telewizyjny),13
Жили были… первооткрыватели,23
Safe House (Fernsehserie),9
Once Upon a Time,109
The Carrie Diaries (serie de televisión),22
Buzzer Beat,10
Sorted (TV series),6
Desaparecido (série de televisão),16
Było sobie życie,26
Pointless,751
Adventures of Sonic the Hedgehog,65
Mega Disasters,44
Prison Break,80
Металлопокалипсис,72
The Charmings,23
Conviction (2006 TV series),12
Amber Dhara,111
Imbarchiamoci per un grande viaggio,25
Brain (serie de televisión),17
Ulica Sezamkowa,4334
成吉思汗 (無綫電視劇),10
The Story of Maths,4
Neeli Aankhen,27
識法代言人,25
L'Homme de nulle part (série télévisée),24
紅楼夢 〜愛の宴〜,55
Heroes Reborn,12
ストーリーテラー,4
Wolf Lake,10
The Snow Queen (serie de televisión),16
Los sábados secretos,33
الموتى السائرون,84
ستارغيت إس جي 1 (مسلسل),206
L'avvocato Porta,7
Skyways,170
Absolutely Fabulous,32
La mujer perfecta,127
Italia's Next Top Model (cycle 1),11
Podwójne uderzenie (reality show),15
Ivory Tower (Harvard Undergraduate Television),29
Out There,30
Isa TKM,104
Hrvatski Top Model,25
Happy Family (2003 TV series),26
Firefly (TV series),13
Придурки из Хаззарда (телесериал),156
L'Homme qui valait trois milliards,90
Banjun Drama,85
Victorious,65
The Beiderbecke Affair,6
الأسطورة بروس لي,57
Los hermanos Venture,4
Hec Ramsey,10
Polizeibericht (Fernsehserie),347
House of Anubis,195
空港城市,18
College (serie televisiva),12
リロ・アンド・スティッチ ザ・シリーズ,71
The Power of Women,19
A Double Shot at Love,9
Happy Days,228
Grownups (2006 TV series),23
Monday Nitro,261
ザ・コミッシュ,111
Nun-ui yeo-wang,18
Wallace e Gromit,1
Hollywood Squares,1250
Orthros no Inu,9
Cousins (TV series),3
Stoked : Ça va surfer !,53
Burn Notice (season 2),16
ボブとはたらくブーブーズ,300
Kotopies,57
Stompin' Tom's Canada,25
Glue (TV series),9
Highlander: The Series,113
康熙王朝,51
Distretto di Polizia,223
État d'alerte,6
Buffy the Vampire Slayer (televisieserie),169
Es war einmal … der Weltraum,24
Soldiers: A History of Men in Battle,13
Zero Hour (2004 TV series),15
The Real Hustle,102
X-Files : Aux frontières du réel,211
Dead Famous (TV series),31
Body Farm - Corpi da reato,6
"Aşk-ı Memnu (série télévisée, 2008)",85
Nostromo (TV serial),4
Dr. House - Medical Division,159
Alias Smith and Jones,53
Melrose Place (2009 TV series),20
The Game (televisieserie),143
Quiller,11
Classic Goldie,2
Julia (serie de televisión),82
Bébé Clifford,41
The Batman,66
Crackerjack (TV series),496
The Fresh Beat Band,65
This Hour Has Seven Days,45
Life with Louie,39
Cantinflas Show,48
Mammamia!,25
Buck Rogers,32
Chuck (Fernsehserie),82
Pole Position (TV series),12
"Bonkers, der listige Luchs von Hollywood",75
Seeta Aur Geeta (TV series),101
Captain Z-Ro,22
Чёрный Иисус (телесериал),19
Children's Hospital (BBC TV series),108
Animal Kingdom,12
ウォレスとグルミット,1
Grease: You're the One That I Want!,9
Danny Phantom,53
Eye Candy,10
Love Bites (telessérie),9
The New Avengers (TV series),27
Soup of the Day,23
Outlaws (1960 TV series),42
Princess Hours,23
Fly by Night (TV series),11
The City (reality show),32
Heroes Reborn,14
Wonder Woman (televisieserie),60
I favolosi Tiny,100
Ultraman Leo,49
Ascension (mini-série),6
Ja w kapeli,42
Wo de yi wan mian bao,12
The End of Obrenović Dynasty,13
The Office (versión británica),12
Vientos de agua,12
Aşk-ı Memnu (TV series),82
Meet the Press,15466
"Conor, der Kelte",15
快打旋風：暗殺拳,11
Due onesti fuorilegge,58
سبيرل زون (مسلسل كرتوني),78
The Paradise,17
The New Adventures of Old Christine,77
Raccontami,50
Trollz,31
The American West,7
An Aussie Goes Bolly,6
Mission: Impossible,192
My Friend Tony,18
World of Sport,1205
Isa TVB,82
Huntik: Secrets & Seekers,50
Casa Keaton,141
Tylko Ty!,136
Io e i miei parassiti,56
女検察官アナベス・チェイス,44
妻の誘惑,147
宮 (2006年電視劇),21
A Double Shot at Love,10
Table of Glory,21
Awake (serie de televisión),12
Giochiamo all'avventura con l'alce Elliot,31
The Stagers,31
Believe (serie televisiva),13
Pop Fiction,8
Opowieści z Tinga Tinga,103
Graceland (serial telewizyjny),38
BedHead,5
الأشرعة السوداء,31
A Kind of Magic (série animada),22
Indagini ad alta quota,133
Shaggy e Scooby-Doo,27
Sisters (TV series),148
Rizzoli and Isles,98
私の億万LOVE,12
Beast Wars,52
Shagun,764
小爸爸上學去,15
My Kind of Music,51
Moje drugie ja (serial telewizyjny),66
Absolut relativ,22
The Adventures of Chuck and Friends,89
"Goede tijden, slechte tijden",6410
Barrera de amor,136
Súbete a mi moto (telenovela),179
Dark Shadows (soap opera),1428
Dragnet (franchise),101
Un mundo perfecto (programa de televisión),5
Una moglie per papà (serie televisiva),71
La Méthode Becky,24
$h*! My Dad Says,18
Nick Knight – Der Vampircop,74
Life With Louie,31
Nurse Jackie,92
Shark Tank,151
絕代雙驕 (1977年電視劇),63
كيك باتاوسكي: المغامر,59
Sport Nation,17
Room 222,96
Portuguese in Asia,48
10 Things I Hate About You (série),22
Miasteczko Salem (miniserial),2
暗警,22
Dyplomata (film),2
Norma e Felice,16
Хорошая жена (телесериал),150
Ten Dollar Dinners,34
美麗高解像,17
Into the Badlands,6
"Hazardzista, dziewczyna i zabójca",1
Бэкстром,12
Orphan Black,34
Noblesse Oblige (TV series),24
H.R. Pufnstuf,15
Designing Women,159
Newstopia,29
Storyteller (serie televisiva),4
Ai confini dell'universo,29
Russell Howard's Good News,109
Nonni and Manni,6
Silk Stalkings,180
It's Always Jan,25
綁架 (電視劇),15
Русская рулетка (телеигра),116
Sentinel (serie televisiva),67
Beaver Falls (TV series),13
High Society (serie de televisión),15
The Storyteller,4
Verbotene Liebe,4058
Mów mi swatka,18
Butch Patterson: Private Dick,33
Le Dino Train,96
Charlie's Angels,105
Tutti Frutti (1987 TV series),6
被禁止的爱,4744
成吉思汗 (2004年電視劇),29
La llaman Mariamor,162
Daredevil (serial telewizyjny),25
I Love Money (season 4),10
Rita Rocks,39
ゆかいなブレディー家,137
Alegrijes y rebujos,124
Time Warp,31
Raumpatrouille – Die phantastischen Abenteuer des Raumschiffes Orion,6
Honey West (TV series),32
Sonic (serie animata),29
飞天大盗,55
Kidnapped – 13 Tage Hoffnung,11
假面 (電視劇),19
What Would Brian Boitano Make?,16
Komen Eten,1313
Spenser (serie televisiva),53
Огни ночной пятницы,70
Абсурдное природоведение,13
Gorejący krzew (serial telewizyjny),3
High Society (1995 TV series),12
Heroes: Odrodzenie,14
Ultraman Ace,57
Quinceañera,109
Wallace y Gromit,2
30 Rock,129
Jumanji (animatieserie),40
Kosmiczny Szeryf Gavan,36
淵蓋蘇文 (テレビドラマ),108
Floricienta,357
Schneller als das Auge,32
Rose and Maloney,9
Wallace e Gromit,2
Family Ties,152
Cidade Nua,99
Cory en la Casa Blanca,30
Звёздные врата: Бесконечность,24
Expeditie Robinson,203
Temptation Island (TV series),26
In the Heat of the Night (TV series),153
That Was Then,4
Avventure in paradiso,90
獵鷹 (電視劇),16
Belle's,6
The West (film),7
Persone scomparse (serie televisiva),16
Better Call Saul,22
Hollywood Squares,34
"Empire (Fernsehserie, 2005)",6
テレタビーズ,442
JejeMom,13
Flashpoint (série télévisée),60
Real Chance of Love (season 1),13
Camaleones,145
Laguna Beach: The Real Orange County,41
帕瓦特·奥特曼,14
Anubis (série télévisée),206
The Godzilla Power Hour,27
Work Out,28
"Ночная смена (телесериал, 2014)",33
Sounds Good,4
Stargate Universe,40
كل ده خيال,23
香港テロ対策ユニット CTU,19
Bamzooki,12
Ferdy,51
The Oregon Trail (TV series),17
Questa casa non è un albergo,12
Cory alla Casa Bianca,38
Doc (série télévisée),103
Orson Welles' Sketch Book,6
The Unforgettable Memory,946
Уоллес и Громит,6
Iridella (serie televisiva),4
Mes deux papas (série télévisée),51
Guadalupe (telenovela),233
Demony Da Vinci,25
"To, co najważniejsze",2316
Timothy Goes to School,26
Monster Allergy,56
Angie Tribeca,20
The Criminal Investigator II,32
Power (TV series),28
Les Revenants (série télévisée),15
The Pressure Cooker,1
特攻野郎Aチーム,93
Friday Night Lights (série),74
Cro (série télévisée d'animation),18
Til Death - Per tutta la vita,68
Wild Oats (TV series),6
Sensitive Skin (UK TV series),12
Instynkt mordercy (serial telewizyjny),15
双天至尊Ⅲ,35
快打旋風：暗殺拳,1
Heartland (2007 U.S. TV series),9
Homeland (serie de televisión),53
Planeta Sheena,22
Sport Billy,31
La valle dei dinosauri,50
De Kronieken van Narnia (miniserie),17
Quantum Leap,85
Qual é o Seu Talento?,109
Wordplay (UK game show),97
Smash (serie televisiva),32
فيكتوريوس,55
Adventure Time,228
De meester en Margarita (televisieserie uit 2005),8
Los Cuentos de Tinga Tinga,109
Argumental,38
パークス・アンド・レクリエーション,114
Astigs,14
CatDog,58
More Stories from Inside Quebec,6
"The Killing (série télévisée, 2007)",43
Moses Jones,3
Towards the Republic,72
フレンズ (2002年のテレビドラマ),4
The Quatermass Experiment (miniserie televisiva),6
Bad Guys (TV series),11
Homeland Security USA,13
One Night Stand (Canadian TV series),10
Whale Wars,57
Dark Knight,25
Física o Química,82
A corazón abierto,159
Planet Sheen,28
Robotskin,6
パワーパフガールズ,80
Vamp (telenovela),167
Pan ili Propal,59
El nuevo show del Pájaro Loco,145
Die Muppet Show,128
Weird Nature,6
Il capo dei capi,6
コーリー ホワイトハウスでチョー大変!,33
Je ne devrais pas être en vie,53
Amen (TV series),123
Movies That Shook the World,14
Яркая Радуга,15
Блоссом (телесериал),118
ファーゴ (テレビドラマ),19
Pasión Morena,205
A to Z (TV series),13
Bermúdez (telenovela),72
Bêtes de télé,64
ドラ猫大将,29
Genghis Khan (TVB TV series),9
Hrvatski Top Model,20
The Chris Isaak Hour,8
Geronimo Stilton (serial animowany),76
Your Geek News,58
Mehr Schein als Sein,46
Gofrette,22
Le nuove avventure di Braccio di Ferro,32
Single Father (TV series),4
Angie Tribeca,23
Buck Rogers en el siglo XXV,35
Purple Playhouse,7
Sherlock Jak,54
Cheerleader Nation,8
Kick Buttowski: Suburban Daredevil,41
Amor prohibido (serie de televisión),71
Being Victor,6
美味關係 (台灣電視劇),25
"Wyluzuj, Scooby Doo!",23
Dumped,4
The Last of the Baskets,11
"Pueblo chico, infierno grande",117
Часовой (телесериал),67
Big (série télévisée),15
