http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Russian football transfers summer 2010,64
List of Russian football transfers winter 2009–10,54
2013–14 Valenciennes FC season,23
2014–15 UEFA Youth League squads,33
Al Rayyan Handball Team,13
2010–11 Puebla F.C. season,147
List of Russian football transfers winter 2011–12,31
Wake Forest Demon Deacons men's soccer,6
2014–15 UEFA Youth League squads,23
Ignition de Détroit,60
2007 CIS Men's Soccer Championship,16
2006 SK Brann season,6
Lisbon Lions,13
List of Chinese football transfers winter 2014,31
List of Serbian football transfers summer 2012,5
List of Dutch football transfers winter 2010–11,6
"Al-Arabi (Saudi Arabia, handball club)",9
List of Slovak football transfers summer 2012,4
List of Latvian football transfers summer 2013,27
List of South Korean football transfers winter 2013–14,4
Ajax Sportsman Combinatie,71
List of Hungarian football transfers summer 2010,8
List of Mexican football transfers winter 2013–14,13
Syracuse Orange men's soccer,14
Ohio State Buckeyes men's soccer,30
Maryland Terrapins men's soccer,17
List of Belgian football transfers summer 2009,6
Sliema Hotsticks Hockey Club,14
List of Greek football transfers summer 2012,8
2006–07 Plymouth Argyle F.C. season,30
List of Chinese football transfers winter 2014,23
Clemson Tigers men's soccer,31
List of Turkish football transfers summer 2013,81
List of Russian football transfers summer 2013,34
2013 FIFA Club World Cup squads,31
List of Bulgarian football transfers winter 2010–11,57
2007 CIS Men's Soccer Championship,22
2004–05 Fulham F.C. season,10
List of Macedonian football transfers winter 2014–15,30
List of Mexican football transfers summer 2012,21
List of Belgian football transfers winter 2013–14,28
1996–97 UE Lleida season,6
葉士域治2009年至2010年球季,40
2012–13 West Ham United F.C. season,51
List of Belgian football transfers winter 2013–14,79
List of German football transfers summer 2008,12
List of Serbian football transfers summer 2013,79
List of German football transfers summer 2010,19
List of Belgian football transfers summer 2010,8
1999–2000 Blackpool F.C. season,19
Akron Zips men's soccer,18
List of Greek football transfers summer 2010,24
List of Russian football transfers winter 2010–11,15
List of Club Universitario de Deportes players,10
2010 FIFA Club World Cup squads,21
UR La Louvière Centre,25
Akron Zips men's soccer,20
List of Cypriot football transfers winter 2013–14,37
List of Russian football transfers summer 2013,49
Convocazioni per la Coppa del mondo per club FIFA 2012,23
List of Belgian football transfers winter 2013–14,40
List of Azerbaijan football transfers summer 2011,96
FK Bratstvo Cijevna,16
List of Maltese football transfers summer 2010,73
Green Bay Phoenix men's soccer,22
List of Greek football transfers summer 2010,27
Elencos da Copa do Mundo de Clubes da FIFA de 2010,34
List of Slovak football transfers summer 2013,46
Convocazioni per la Coppa del mondo per club FIFA 2006,28
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,32
List of German football transfers summer 2010,16
List of South Korean football transfers winter 2011–12,5
List of Latvian football transfers summer 2013,12
2010–11 Club Atlas season,60
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,31
1996–97 UE Lleida season,6
List of Ukrainian football transfers summer 2009,78
List of Maltese football transfers summer 2013,12
List of Mexican football transfers summer 2012,35
UC Santa Barbara Gauchos men's soccer,26
List of Serbian football transfers summer 2012,30
2009 Carolina RailHawks FC season,24
List of Iranian football transfers summer 2012,29
Manchester City Football Club 2000-2001,1
Ohio State Buckeyes men's soccer,29
Los Angeles Skyhawks,4
2009 Carolina RailHawks FC season,9
List of Cypriot football transfers winter 2013–14,105
List of Russian football transfers winter 2011–12,32
Клубный чемпионат мира по футболу 2008 (составы),8
Ohio State Buckeyes men's soccer,23
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,25
List of Serbian football transfers summer 2012,24
2000–01 Manchester City F.C. season,30
2007 CIS Men's Soccer Championship,6
List of Norwegian football transfers 2010,25
List of Norwegian football transfers summer 2014,29
List of Latvian football transfers winter 2013–14,2
2000–01 Fulham F.C. season,24
Full Members Cup 1988-89,7
2014 Indonesian Inter Island Cup qualification squads,27
List of Chinese football transfers winter 2014,56
Elencos da Copa do Mundo de Clubes da FIFA de 2012,23
List of Bulgarian football transfers summer 2012,69
List of Russian football transfers summer 2012,3
1996–97 UE Lleida season,7
List of German football transfers summer 2010,24
List of Russian football transfers summer 2013,97
2008 FIFA Club World Cup squads,27
List of Macedonian football transfers winter 2014–15,23
List of Estonian football transfers summer 2013,10
List of Bulgarian football transfers winter 2010–11,30
List of Russian football transfers summer 2010,25
List of Iranian football transfers winter 2013–14,30
List of Cypriot football transfers winter 2013–14,12
List of Russian football transfers winter 2011–12,75
List of Maltese football transfers winter 2009–10,24
List of Latvian football transfers summer 2013,22
Green Bay Phoenix men's soccer,6
List of Slovak football transfers summer 2013,26
2010–11 Deportivo Toluca season,12
List of Maltese football transfers summer 2009,5
List of Mexican football transfers summer 2013,28
Shabab Al-Bireh Institute,16
List of Chinese football transfers winter 2013,37
Toledo BM,4
Cal Poly Mustangs men's soccer,16
List of Russian football transfers summer 2010,62
List of Cypriot football transfers summer 2013,17
List of Japanese football transfers summer 2012,45
Клубный чемпионат мира по футболу 2013 (составы),31
List of Russian football transfers winter 2010–11,23
List of Greek football transfers summer 2012,19
List of Cypriot football transfers winter 2013–14,9
List of Serbian football transfers summer 2012,23
List of Greek football transfers summer 2010,43
List of Iranian football transfers summer 2009,16
2005 South Carolina Gamecocks men's soccer team,11
List of Bulgarian football transfers winter 2013–14,46
Elencos da Copa do Mundo de Clubes da FIFA de 2010,6
List of Turkish football transfers summer 2013,86
List of Norwegian football transfers 2010,24
2013–14 UEFA Youth League squads,12
2009–10 Paris Saint-Germain F.C. (Ladies) season,17
List of Iranian football transfers winter 2013–14,35
Клубный чемпионат мира по футболу 2013 (составы),9
UC Santa Barbara Gauchos men's soccer,9
2009–10 Göztepe A.Ş. season,9
2010–11 Club Necaxa season,20
List of Latvian football transfers summer 2013,9
2011–12 Grimsby Town F.C. season,4
Lijst van Bundesliga-transfers zomer 2012,30
2004–05 Fulham F.C. season,20
2013–14 SC Eendracht Aalst season,5
List of Iranian football transfers summer 2010,20
1999 Indiana Hoosiers men's soccer team,3
List of Estonian football transfers summer 2013,22
List of Estonian football transfers winter 2012–13,18
2013–14 UEFA Youth League squads,83
List of Iranian football transfers summer 2013,25
List of Greek football transfers summer 2010,85
2010–11 Querétaro F.C. season,32
List of Belgian football transfers summer 2009,17
List of Latvian football transfers winter 2013–14,22
List of Cypriot football transfers summer 2013,80
List of Hungarian football transfers winter 2011–12,9
Laguna Football Club,5
List of Mexican football transfers summer 2012,3
2014 Indonesian Inter Island Cup qualification squads,22
葉士域治2009年至2010年球季,20
2010–11 C.F. Monterrey season,18
List of Ukrainian football transfers winter 2008–09,50
List of Slovak football transfers summer 2012,48
List of Iranian football transfers summer 2011,24
List of Serbian football transfers winter 2011–12,72
List of Maltese football transfers summer 2009,7
List of Chinese football transfers summer 2010,34
List of Japanese football transfers summer 2012,22
2014–15 UEFA Youth League squads,37
2012 FIFA Club World Cup squads,5
List of Bulgarian football transfers winter 2013–14,35
List of Hungarian football transfers winter 2011–12,39
2010 FIFA Club World Cup squads,95
2004–05 Fulham F.C. season,20
List of Belgian football transfers winter 2013–14,20
List of Maltese football transfers winter 2009–10,20
List of Iranian football transfers summer 2010,14
List of Ukrainian football transfers winter 2014–15,36
List of Iranian football transfers winter 2013–14,16
Charlotte 49ers men's soccer,6
List of Iranian football transfers winter 2010–11,28
List of Bosnian football transfers winter 2013–14,6
Клубный чемпионат мира по футболу 2012 (составы),16
List of Latvian football transfers winter 2011–12,72
Elencos da Copa do Mundo de Clubes da FIFA de 2010,29
List of Azerbaijan football transfers summer 2013,22
2006 South Carolina Gamecocks men's Soccer Team,20
List of Macedonian football transfers winter 2014–15,35
Union Royale La Louvière Centre,15
Клубный чемпионат мира по футболу 2010 (составы),5
List of Hungarian football transfers summer 2013,11
2010–11 Puebla F.C. season,4
2012 FIFA Club World Cup squads,12
2013–14 Vitória F.C. season,10
2004 South Carolina Gamecocks men's Soccer Team,3
2002–03 Manchester City F.C. season,21
2010–11 Club Atlas season,8
List of Hungarian football transfers summer 2012,53
List of Chinese football transfers winter 2011,16
List of Bulgarian football transfers winter 2011–12,29
Manchester City Football Club 2002-2003,14
List of Iranian football transfers summer 2009,18
List of Turkish football transfers summer 2013,99
UR La Louvière Centre,103
List of Norwegian football transfers summer 2014,7
List of Bulgarian football transfers winter 2010–11,6
List of Bulgarian football transfers winter 2011–12,96
List of Chinese football transfers winter 2013,26
Detroit Ignition,13
Elencos da Copa do Mundo de Clubes da FIFA de 2013,1
Lisbon Lions,5
List of Serbian football transfers summer 2010,25
Detroit Ignition,24
List of Qatari football transfers summer 2012,24
List of Bulgarian football transfers winter 2013–14,77
List of Iranian football transfers summer 2011,12
Elencos da Copa do Mundo de Clubes da FIFA de 2010,19
2013年中国足球冬季转会列表,8
List of Azerbaijan football transfers summer 2012,85
2010–11 C.F. Monterrey season,26
List of Hungarian football transfers summer 2012,34
2014 Indonesian Inter Island Cup qualification squads,8
Sliema Hotsticks Hockey Club,3
List of Cypriot football transfers summer 2013,49
UMBC Retrievers men's soccer,19
2002–03 Manchester City F.C. season,17
List of Bulgarian football transfers winter 2011–12,33
2011–12 Grimsby Town F.C. season,20
Universitario Lima/Lista piłkarzy,6
List of Hungarian football transfers summer 2010,59
Hóquei Clube de Braga,4
List of Turkish football transfers summer 2014,27
Convocazioni per la Coppa del mondo per club FIFA 2006,2
List of Bulgarian football transfers winter 2010–11,25
2013–14 UEFA Youth League squads,50
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,30
List of Turkish football transfers summer 2010,105
UR La Louvière Centre,9
List of South Korean football transfers winter 2013–14,22
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,31
List of Maltese football transfers summer 2013,25
UC Santa Barbara Gauchos men's soccer,13
List of Belgian football transfers summer 2010,4
FIU Panthers men's soccer,4
2008 FIFA Club World Cup squads,10
List of Norwegian football transfers 2010,8
List of Chinese football transfers winter 2013,4
List of Chinese football transfers summer 2013,61
List of Iranian football transfers summer 2012,8
Penn State Nittany Lions men's soccer,2
2005 South Carolina Gamecocks men's soccer team,18
List of Greek football transfers summer 2012,6
List of Albanian football transfers summer 2013,4
2002–03 Manchester City F.C. season,22
List of Latvian football transfers winter 2011–12,53
Manchester City Football Club 2000-2001,13
All-time Saint Louis Athletica roster,7
List of Bulgarian football transfers winter 2011–12,20
2010–11 Atlante F.C. season,4
List of Albanian football transfers winter 2009–10,13
Meelin GAA,17
Convocazioni per la Coppa del mondo per club FIFA 2008,10
2014 Indonesian Inter Island Cup squads,80
Maybank HC,2
List of South Korean football transfers winter 2011–12,25
List of Russian football transfers summer 2012,81
List of Bulgarian football transfers winter 2011–12,14
Los Angeles Skyhawks,13
List of Maltese football transfers summer 2010,6
List of Hungarian football transfers summer 2012,79
List of Latvian football transfers winter 2013–14,13
List of Qatari football transfers winter 2011–12,21
2013–14 Valenciennes FC season,12
List of Chinese football transfers winter 2012,39
List of Iranian football transfers winter 2013–14,79
2010–11 Club Universidad Nacional season,1
List of Bosnia and Herzegovina football transfers summer 2013,9
Tacoma Tides,8
List of Azerbaijan football transfers winter 2010,12
2009–10 Ipswich Town F.C. season,7
List of Iranian football transfers winter 2011–12,31
Ajax Sportsman Combinatie,5
List of Bulgarian football transfers summer 2012,15
Elencos da Copa do Mundo de Clubes da FIFA de 2010,18
UMBC Retrievers men's soccer,25
List of Maltese football transfers winter 2009–10,88
List of South Korean football transfers summer 2012,20
List of Serbian football transfers summer 2010,1
List of Azerbaijan football transfers winter 2011,33
2010–11 Atlante F.C. season,29
List of Slovak football transfers summer 2012,14
List of Hungarian football transfers summer 2010,4
2013–14 C.F. União season,3
List of Azerbaijan football transfers summer 2010,19
2010–11 Club Universidad Nacional season,82
List of Slovak football transfers summer 2012,20
List of Albanian football transfers winter 2009–10,21
Club Universidad Nacional 2010-2011,16
List of Iranian football transfers summer 2011,20
Convocazioni per la Coppa del mondo per club FIFA 2012,14
2014 Indonesian Inter Island Cup qualification squads,7
Delaware Fightin' Blue Hens men's soccer,28
List of Turkish football transfers summer 2010,21
List of Russian football transfers winter 2009–10,61
List of Russian football transfers winter 2009–10,84
2006 SK Brann season,8
Lijst van Bundesliga-transfers zomer 2013,16
Clemson Tigers men's soccer,13
List of South Korean football transfers summer 2012,22
2013年中国足球冬季转会列表,53
2010–11 Tigres UANL season,14
List of Latvian football transfers summer 2013,3
List of Latvian football transfers summer 2013,21
Sportsklubben Brann 2006,30
List of Iranian football transfers summer 2009,6
List of South Korean football transfers winter 2011–12,44
List of Serbian football transfers summer 2013,3
Клубный чемпионат мира по футболу 2013 (составы),30
2013 FIFA Club World Cup squads,27
List of Iranian football transfers summer 2009,42
List of Japanese football transfers summer 2013,49
Convocazioni per la Coppa del mondo per club FIFA 2008,2
2010–11 Deportivo Toluca season,13
List of Ukrainian football transfers summer 2010,3
葉士域治2009年至2010年球季,40
List of Qatari football transfers winter 2011–12,63
2012–13 Grimsby Town F.C. season,12
List of German football transfers winter 2008–09,5
List of Bulgarian football transfers summer 2012,12
2010 Saint Louis Athletica season,25
Lijst van Bundesliga-transfers zomer 2012,9
List of Serbian football transfers winter 2013–14,27
Toledo BM,6
List of German football transfers winter 2012–13,21
2013–14 SC Eendracht Aalst season,23
List of South Korean football transfers winter 2011–12,50
2012 FIFA Club World Cup squads,35
List of German football transfers summer 2013,36
FIU Panthers men's soccer,32
List of Turkish football transfers summer 2013,1
2013年中国足球冬季转会列表,14
Ignition de Détroit,81
2010–11 San Luis F.C. season,25
List of Serbian football transfers summer 2012,8
2011–12 Grimsby Town F.C. season,9
List of Slovak football transfers summer 2013,20
List of Chinese football transfers winter 2013,10
List of Russian football transfers summer 2013,81
2009–10 Ipswich Town F.C. season,4
2002–03 Manchester City F.C. season,34
2012 Wake Forest Demon Deacons men's soccer team,31
2014–15 UEFA Youth League squads,52
2012–13 Grimsby Town F.C. season,3
Toledo Balonmano,2
2006 FIFA Club World Cup squads,14
List of Iranian football transfers winter 2013–14,37
2014–15 UEFA Youth League squads,32
List of Chinese football transfers summer 2010,25
Sportsklubben Brann 2007,22
2010–11 US Créteil-Lusitanos season,16
Elencos da Copa do Mundo de Clubes da FIFA de 2013,19
Laguna Football Club,9
Клубный чемпионат мира по футболу 2013 (составы),36
2013–14 SC Eendracht Aalst season,20
List of Hungarian football transfers winter 2013–14,2
Клубный чемпионат мира по футболу 2013 (составы),7
List of Chinese football transfers winter 2012,15
2004–05 Fulham F.C. season,14
List of Ukrainian football transfers summer 2009,16
List of Russian football transfers winter 2009–10,67
2012–13 Grimsby Town F.C. season,4
Football for Hope,24
F.C. Cape Town,9
List of Belgian football transfers winter 2008–09,29
List of Serbian football transfers winter 2013–14,102
List of Bulgarian football transfers winter 2013–14,34
2010–11 Club Necaxa season,6
2013–14 UEFA Youth League squads,50
List of Russian football transfers winter 2010–11,57
List of Serbian football transfers summer 2012,6
List of Azerbaijan football transfers winter 2012,12
2009–10 Göztepe A.Ş. season,6
List of Maltese football transfers summer 2008,11
UR La Louvière Centre,9
List of Cypriot football transfers winter 2011–12,74
List of Iranian football transfers summer 2012,34
2005 South Carolina Gamecocks men's soccer team,24
2013–14 Maccabi Tel Aviv F.C. season,10
Convocazioni per la Coppa del mondo per club FIFA 2008,34
List of Azerbaijan football transfers summer 2013,39
List of Russian football transfers winter 2009–10,49
List of Azerbaijan football transfers summer 2012,92
List of Azerbaijan football transfers summer 2010,16
List of Azerbaijan football transfers summer 2012,11
Penn State Nittany Lions men's soccer,10
2010–11 Estudiantes Tecos season,5
2010–11 Querétaro F.C. season,2
List of Russian football transfers winter 2011–12,59
West Ham United FC in het seizoen 2012/13,34
List of Belgian football transfers summer 2009,68
Lijst van Bundesliga-transfers zomer 2013,18
2013–14 Valenciennes FC season,3
2012–13 Walsall F.C. season,18
List of Mexican football transfers winter 2013–14,9
List of Macedonian football transfers winter 2014–15,27
2014–15 UEFA Youth League squads,8
2010–11 Atlante F.C. season,33
Sapura HC,14
Manchester City Football Club 2000-2001,11
Olympiacos B.C. season 2008–09,4
List of Azerbaijan football transfers winter 2011,17
Клубный чемпионат мира по футболу 2013 (составы),6
List of Serbian football transfers summer 2010,2
2008 CIS Men's Soccer Championship,2
List of Azerbaijan football transfers winter 2012,22
List of Norwegian football transfers winter 2012–13,3
2010–11 Estudiantes Tecos season,1
Elencos da Copa do Mundo de Clubes da FIFA de 2012,23
List of Cypriot football transfers summer 2013,83
List of Russian football transfers winter 2011–12,30
Ohio State Buckeyes men's soccer,19
All-time Saint Louis Athletica roster,24
Akron Zips men's soccer,15
List of Bulgarian football transfers winter 2013–14,29
Al-Sadd Sports Club Handball,16
South Florida Bulls men's soccer,9
2010–11 West Ham United F.C. season,12
List of Greek football transfers summer 2012,22
List of Azerbaijan football transfers winter 2010,17
List of Hungarian football transfers summer 2012,27
List of Chinese football transfers summer 2013,55
List of Russian football transfers winter 2009–10,34
List of Cypriot football transfers summer 2013,8
葉士域治2009年至2010年球季,47
List of South Korean football transfers summer 2012,49
List of Albanian football transfers summer 2011,18
List of Belgian football transfers summer 2009,11
List of South Korean football transfers winter 2013–14,43
Sliema Hotsticks Hockey Club,4
2010–11 Club América season,8
Meelin GAA,12
Al Sadd SC (handball),12
2014 Indonesian Inter Island Cup squads,75
List of Macedonian football transfers winter 2014–15,3
Convocazioni per la Coppa del mondo per club FIFA 2008,28
List of German football transfers summer 2008,6
List of Belgian football transfers summer 2014,20
2008–09 Blackpool F.C. season,33
2012–13 West Ham United F.C. season,51
List of Japanese football transfers winter 2009–10,5
List of Greek football transfers summer 2010,11
List of Russian football transfers summer 2010,48
List of Mexican football transfers summer 2013,2
List of Hungarian football transfers summer 2012,20
List of Russian football transfers summer 2013,28
Elencos da Copa do Mundo de Clubes da FIFA de 2010,2
List of Cypriot football transfers summer 2013,48
List of Cypriot football transfers winter 2013–14,25
Al Rayyan Handball Team,1
2013–14 Stationery Stores season,7
List of Japanese football transfers summer 2012,2
2010–11 Club Universidad Nacional season,15
List of Belgian football transfers summer 2015,5
List of Ukrainian football transfers winter 2008–09,37
2013–14 UEFA Youth League squads,64
List of Bulgarian football transfers summer 2010,9
List of Russian football transfers winter 2009–10,34
2000–01 Fulham F.C. season,14
2002–03 Manchester City F.C. season,24
2007 SK Brann season,15
Wake Forest Demon Deacons men's soccer,17
South Florida Bulls men's soccer,20
List of Bulgarian football transfers summer 2013,81
List of Hungarian football transfers winter 2013–14,24
List of Norwegian football transfers summer 2014,4
2010 Rochester Rhinos season,9
2010–11 C.F. Monterrey season,57
2014 Indonesian Inter Island Cup qualification squads,16
List of German football transfers winter 2008–09,15
List of Russian football transfers summer 2013,18
List of German football transfers summer 2008,34
List of Hungarian football transfers winter 2013–14,83
List of Bulgarian football transfers summer 2010,88
2010–11 Deportivo Toluca season,5
List of Estonian football transfers winter 2012–13,29
Hóquei Clube de Braga,2
2009–10 Göztepe A.Ş. season,10
List of Ukrainian football transfers summer 2009,9
List of Hungarian football transfers summer 2010,31
2009–10 Göztepe A.Ş. season,18
Lijst van Bundesliga-transfers zomer 2012,36
2004–05 Fulham F.C. season,13
List of Dutch football transfers winter 2010–11,20
2010–11 Deportivo Toluca season,16
2014 Indonesian Inter Island Cup qualification squads,9
1980 CIS Men's Soccer Championship,5
List of German football transfers summer 2012,29
2012–13 Grimsby Town F.C. season,1
Convocazioni per la Coppa del mondo per club FIFA 2012,18
Convocazioni per la Coppa del mondo per club FIFA 2010,91
2014–15 UEFA Youth League squads,48
List of Russian football transfers summer 2010,1
2006–07 Plymouth Argyle F.C. season,17
List of Norwegian football transfers winter 2012–13,9
2012–13 Walsall F.C. season,19
List of Azerbaijan football transfers summer 2009,29
Olympiacos B.C. season 2008–09,17
List of Russian football transfers summer 2013,36
List of South Korean football transfers winter 2011–12,24
Клубный чемпионат мира по футболу 2012 (составы),27
Green Bay Phoenix men's soccer,10
List of Greek football transfers summer 2012,26
List of Azerbaijan football transfers summer 2010,11
Ajax Sportman Combinatie,97
List of German football transfers winter 2008–09,31
All-time Saint Louis Athletica roster,21
Detroit Ignition,3
Olympiacos B.C. season 2008–09,13
List of German football transfers summer 2009,29
2014–15 Grimsby Town F.C. season,5
Green Bay Phoenix men's soccer,20
